-0.025163-0.0044657i,-0.021157-0.0068118i,-0.012364-0.012963i,-0.034987-0.0073162i,-0.027019+0.0019308i,-0.035421-0.0022727i,-0.066575-0.038389i,-0.032681-0.014741i,-0.021579+0.0027245i,0.0057358+0.0077625i,-0.0047296+0.0074588i,-0.0083093+0.017775i,0.0058376+0.0079919i,-0.0011535+0.0032587i,0.0042614+0.0038227i,0.004832+0.025732i,0.021895+0.01997i,0.0014335-0.00020895i,0.0012282-0.0046159i,0.0088262+4.5806e-05i,0.0050544-0.00030649i,0.0022412+0.0014894i,0.0012835-0.00059164i,-0.024059-0.0013353i,-0.0045546-0.0043064i,-5.4701e-05+0.0030728i,0.0047131-0.0041487i,-0.0018899-0.00042165i,-0.00029742+0.0012762i,-0.0019799-0.0013338i,-0.0034372-0.00025088i,-0.0070129-0.0083384i,-0.0048652-0.0071474i,-0.00068395+0.00029015i,-0.00024905-0.0021333i,0.00083563+0.022001i,0.0026797-0.0038173i,0.00067338-0.0042376i,0.0028588-0.0018165i,-0.0031584-0.0030769i,0.00088648-0.00011944i,0.0083789-0.0018888i,0.0029342-0.0022271i,0.00035338+0.0034033i,-0.014062+0.01562i,-0.026796+0.053655i,-0.0052951-0.037478i,-0.014972-0.018668i,-0.040122-0.01608i,-0.027042-0.012422i,0.037027-0.011771i,0.0064131-0.029903i,0.013287-0.03787i,-0.0074987-0.029723i,0.025119-0.023297i,0.013398+0.0072577i,0.028149-0.035698i,-0.0017396-0.0045195i,0.0062639-0.0089205i,-0.0007487-0.0058761i,0.00033113-0.036069i,-0.013761+0.029696i,0.009059-0.011543i,-0.0086051-0.0049074i,-0.00267-0.0021855i,0.00019247-0.015245i,-0.0076586+0.0061478i,0.0043224+0.0063672i,-0.001618+0.028897i,0.0025389+0.00081766i,-0.0070837-0.0043861i,-0.0041011-0.0060744i,-0.014604-0.0096298i,-0.0023756-0.0053128i,-0.034281+0.0065613i,-0.0047196-0.0086917i,-0.012879-0.0010401i,-0.010318-0.0056999i,0.0017231-0.0020949i,-0.013646+0.0022882i,-0.0015217-0.00072869i,0.0056132+0.0061664i,0.0036873-0.0054138i,-0.014434-0.014588i,0.007558+0.0085182i,-0.016578+0.0051474i,0.0042761+0.00048509i,-0.019237-0.0031466i,-0.016862-0.0048717i,-0.014774-0.035407i,0.020335-0.0092043i,-0.039692-0.024683i,-0.010373+0.0050793i,0.017569+0.01546i,-0.022622+0.017565i,-0.0044997-0.003782i
0.0045248+0.013493i,-0.0029482+0.014898i,-0.0022642+0.026047i,0.0021754+0.024662i,0.00031594+0.028823i,0.011188+0.022097i,-0.0087799+0.025566i,-0.0051452+0.021619i,0.011364+0.0045598i,0.0020246-0.0055994i,0.0019045-0.0001549i,0.0058063-0.0026617i,0.000597-0.0014727i,0.00015534-0.0032564i,2.1456e-05-0.0016757i,0.0061986-0.0064196i,-0.0034344-0.0042099i,-0.0015514+0.0022877i,-6.5893e-07+0.00029393i,-0.00022265+0.0019927i,-0.0026336+7.3982e-05i,-9.8492e-06+0.00012225i,0.0012349+0.00030156i,-0.0080682-0.0039143i,-0.000704-0.00081712i,-0.0024247+0.00059772i,-0.0040677+0.00014552i,-0.0018146+0.00029526i,-0.0020547+0.00044332i,-0.00035657-0.00053513i,-0.0032769+0.00046168i,0.0012648-0.0021627i,0.00082511-0.0029046i,-0.00036169-0.0011767i,-0.0016968+0.00056772i,-0.001194-0.0041942i,-0.0022142+0.0014174i,0.0019625-0.00032063i,-0.00033295+0.002337i,0.0022489+0.0061431i,0.00010607+0.00073329i,-0.001316+0.00019888i,-0.0013925-0.0018536i,0.003013+0.0041461i,0.015023+0.0063817i,0.04486-0.054163i,-0.026658+0.0057745i,0.018497-0.027386i,-0.022609-0.033493i,-0.011799+0.0028163i,-0.032551+0.034291i,-0.019548+0.005132i,-0.016178+0.0084113i,-0.0020294-0.018032i,-0.04042-0.020837i,-0.0081708+0.0017022i,-0.028424+0.011772i,0.002353+0.014337i,0.00092708+0.005266i,-0.0040415-0.0049296i,7.6682e-05+0.002182i,-0.013984-0.0045647i,0.0050056+0.013099i,-0.00139+0.0077728i,-0.0020814+0.003764i,0.00085158+0.006061i,0.002651+0.0027109i,-0.0014379+0.018665i,0.0042048+0.015602i,0.0051073-0.0053327i,0.011518-0.0053089i,0.0083086+0.0025802i,-0.0040264-0.0064251i,6.5713e-05-0.0022997i,0.019231-0.03189i,0.008948+0.0042745i,0.0078978-0.0015693i,0.0026986-0.00057775i,0.0064768-0.0087086i,0.022213+0.000612i,0.0057048-0.0034033i,0.0018591-0.0073747i,0.0049294-0.0027784i,0.017411+0.0041038i,0.0066969+0.0028843i,0.0032817-0.0033899i,0.0084797+0.010154i,-0.001362+0.0047993i,0.0075498+0.0099619i,-0.013463-0.014361i,-0.008861+0.0021094i,-0.0085828-0.013897i,-0.0083991-0.0045831i,-0.039684+0.0065985i,-0.0059006+0.0040301i,-0.01207+5.6176e-05i
0.0068238+0.012239i,-0.0011476+0.012448i,0.0041846+0.021654i,0.0058418+0.022178i,0.0043963+0.026951i,0.014401+0.019706i,-0.0056038+0.026243i,-0.00096938+0.021439i,0.011092+0.00067268i,0.00018712-0.0057129i,0.0020998+0.00035527i,0.0046632-0.0049841i,0.00011932-0.0021592i,0.00037579-0.0029688i,-0.00057008-0.0014898i,0.0026625-0.0062044i,-0.0054547-0.0021029i,-0.00052149+0.0025811i,0.00099533+0.00028181i,0.0010741+0.0017499i,-0.0019308+0.0016378i,0.00047564+0.00054232i,0.0015046-0.00021414i,-0.0076959-0.001396i,-0.00069325-0.00037647i,-0.0020479+0.0015179i,-0.0032664+0.0019512i,-0.001285+0.00080298i,-0.0015852+0.00093823i,-0.00018539-0.00014551i,-0.0027282+0.0018802i,-0.00032763-0.0017562i,-0.00094-0.0028917i,-0.0015002-0.0010451i,-0.0022492+0.0011036i,-0.00021946-0.0032746i,-0.0012189+0.0020195i,0.00098753-0.0011476i,0.00014544+0.002445i,0.0038146+0.0040809i,0.000515+0.00067781i,-0.0016461+0.00047943i,-0.0021342-0.0014693i,0.00428+0.0028626i,0.015637+0.0017762i,0.024339-0.06443i,-0.020697+0.013489i,0.0077362-0.035331i,-0.0342-0.02575i,-0.0092296+0.0060661i,-0.020869+0.039866i,-0.015756+0.010719i,-0.0052118+0.0033989i,-0.0042793-0.01648i,-0.044997-0.0049322i,-0.0080961+0.0022239i,-0.023629+0.023193i,0.005879+0.010159i,0.0017138+0.0034111i,-0.0089249-0.0064421i,-0.0020691+0.0046577i,-0.013918+0.0037611i,0.010297+0.0093752i,0.00091243+0.009646i,-0.00073441+0.0039946i,0.0033456+0.0068993i,0.0039394+0.0025053i,0.0064796+0.014923i,0.0092758+0.0087949i,-0.001396-0.0080341i,0.0058002-0.0066772i,0.0075244+0.0012316i,-0.0067221+6.9609e-05i,-0.00063286+0.00025454i,0.0050362-0.032181i,0.010796+0.0017679i,0.0080853-0.0046747i,0.0040386-0.0022698i,0.0013855-0.0059432i,0.021041-0.0093589i,0.0030232-0.0049021i,-0.0016618-0.006162i,0.0011185-0.002609i,0.015183-0.0024419i,0.0074787+0.001741i,0.0028666-0.0018789i,0.011722+0.0064508i,6.8549e-05+0.0057732i,0.00989+0.0062303i,-0.018654-0.012919i,-0.004548-0.012064i,-0.0077921-0.011754i,-0.0079978-0.0030824i,-0.034116+0.020174i,-0.0039833+0.0050332i,-0.010579+0.002093i
0.0097008+0.010555i,-0.00019864+0.011053i,0.0071118+0.01616i,0.0085773+0.019603i,0.0091742+0.025231i,0.017405+0.016643i,-0.0014231+0.026723i,0.0030539+0.020292i,0.0093584-0.0021092i,-0.0015562-0.0051447i,0.0030768+0.00019072i,0.0010508-0.00567i,-0.00054612-0.0022989i,-0.00023253-0.0031358i,-0.00098239-0.0011753i,-0.00055712-0.0045128i,-0.0058743+0.00079318i,0.00061453+0.0024861i,0.0014736-0.00094946i,0.0022248+0.00057637i,-0.00057643+0.0021816i,0.0013574+0.0001409i,0.0014135-0.00084474i,-0.0077651-0.00017478i,-0.00060135+5.2863e-05i,-0.00091232+0.0025029i,-0.0016111+0.0025088i,-0.00056151+0.0011457i,-0.00097405+0.0012568i,-0.00021205-0.00029693i,-0.0016445+0.0027062i,-0.0010388-0.0011187i,-0.002146-0.0016471i,-0.0021823-0.00019588i,-0.001736+0.0022351i,0.00073391-0.0038247i,-0.00050569+0.0018584i,6.9275e-05-0.0014343i,0.0016382+0.0019197i,0.0041422+0.0023796i,0.00090417+0.00052468i,-0.00070387+0.00134i,-0.0027087-0.00097676i,0.0044891+0.00080819i,0.014767-0.0020994i,0.002561-0.06426i,-0.010573+0.017059i,-0.0041898-0.036769i,-0.037609-0.016183i,-0.0037336+0.0071965i,-0.0066798+0.040216i,-0.0046867+0.011852i,-0.0041422-0.0039485i,-0.0058007-0.015188i,-0.041532+0.0094911i,-0.0073429+0.0038707i,-0.011575+0.03035i,0.0070923+0.006233i,-0.00031511+0.0010666i,-0.016483-0.0030199i,-0.0011339+0.0061517i,-0.0090965+0.008883i,0.012024+0.0028954i,0.0041802+0.0098758i,-0.0015765+0.004762i,0.0048062+0.0048259i,0.0050977+0.00035505i,0.0087087+0.0083578i,0.0086863+0.0028108i,-0.0068818-0.0031582i,0.0037067-0.0059458i,0.0088457-0.00016174i,-0.0027704+0.007331i,0.0018808+0.0019209i,-0.0047892-0.027839i,0.011947-0.0033228i,0.0053078-0.007232i,0.0024788-0.0038803i,0.0013785-0.0046512i,0.013367-0.016628i,-4.586e-05-0.0019534i,-0.0040365-0.0036611i,-2.3142e-05+0.00035757i,0.01132-0.0063064i,0.010385-0.0019777i,0.0040905-0.0031983i,0.014852+0.00073659i,0.0038834+0.0048757i,0.01022+0.0023282i,-0.022415-0.0060142i,-0.015101-0.020819i,-0.0063945-0.013734i,-0.0060489-0.0034841i,-0.023979+0.026483i,-0.0034624+0.00027654i,-0.0083652-0.00099034i
0.012397+0.0072187i,0.0015968+0.010572i,0.0078095+0.011128i,0.011118+0.017454i,0.013478+0.021573i,0.019926+0.012783i,0.0035924+0.026432i,0.0068571+0.018273i,0.0075531-0.0032203i,-0.0029911-0.003927i,0.0035232-0.0013756i,-0.0012682-0.0038237i,-0.001407-0.0022612i,-0.0013184-0.0024812i,-0.0015219-0.00084833i,-0.0016916-0.0015934i,-0.0046063+0.0034543i,0.0014086+0.0017821i,0.00090196-0.0013449i,0.0020952-0.0010448i,0.00049086+0.0019369i,0.0017004-0.00071749i,0.0011023-0.0014819i,-0.007839+0.0019376i,-0.00028848+1.4841e-05i,0.00086152+0.0017792i,-0.00019737+0.0023226i,0.00015941+0.00092375i,-0.00019554+0.0015583i,-0.00028348+6.3068e-06i,-0.0004855+0.0028921i,-0.0016885-0.00046828i,-0.0028119-0.00033411i,-0.0021848+0.0010296i,-0.00067641+0.0026325i,0.00057072-0.0057898i,0.00044455+0.0019837i,-0.00077335-0.0010511i,0.0019599+0.00053403i,0.0041866+0.0011166i,0.0012688-2.4982e-05i,0.00024161+0.0010727i,-0.003006-8.8492e-05i,0.0028977-0.0017427i,0.013299-0.0050603i,-0.01551-0.053246i,-0.0015331+0.014007i,-0.014398-0.033925i,-0.040798-0.0072548i,0.0012936+0.0048498i,0.0048695+0.035045i,0.0032991+0.0044762i,-0.0048422-0.0050537i,-0.0061442-0.013011i,-0.034617+0.018606i,-0.0063988+0.0054269i,0.00079625+0.029547i,0.0073173+0.0029663i,-0.0034059+0.0021818i,-0.019608+0.0065942i,-0.00065255+0.0082468i,-0.0043475+0.0096537i,0.0094269-0.0029949i,0.0079253+0.0085726i,-0.00022016+0.0072192i,0.0042748+0.0044206i,0.0051577-0.0028814i,0.0070559+0.0030144i,0.0054245+1.4809e-05i,-0.0053177+0.0008354i,0.0016581-0.005766i,0.0085744-0.0027226i,0.0056658+0.0079361i,0.0032129+0.00018726i,-0.010151-0.021957i,0.009247-0.007343i,0.0024998-0.0082785i,0.0014558-0.0029088i,9.9023e-05-0.0051743i,0.005436-0.017749i,0.0025547-0.00092153i,-0.0046815-0.00069007i,0.0024237+0.0020274i,0.0075794-0.007536i,0.0084351-0.0071108i,0.0019951-0.0040474i,0.012136-0.0076283i,0.0046267+0.00099082i,0.010001-0.0021046i,-0.018959+0.0022425i,-0.027321-0.018298i,-0.010741-0.018224i,-0.0062769-0.0056789i,-0.015216+0.027376i,-0.0085101-0.00048189i,-0.01171-0.00030488i
0.013299+0.0034545i,0.0022698+0.0087732i,0.0064825+0.0075387i,0.013574+0.014733i,0.016434+0.017319i,0.021241+0.0085382i,0.0088127+0.02433i,0.009881+0.015362i,0.006532-0.0036798i,-0.0033437-0.0024755i,0.0024628-0.0024625i,-0.0018853-0.0021302i,-0.0021774-0.0018742i,-0.001459-0.0016941i,-0.0017765-0.00021946i,-0.0010858+0.00058151i,-0.0023573+0.0051241i,0.0016542+0.0010675i,0.00072476-0.0012314i,0.0011115-0.0019986i,0.00091411+0.0013292i,0.001426-0.0013781i,0.00036215-0.0018132i,-0.0059366+0.0037969i,-0.00035264-0.00026104i,0.0011294+0.00028467i,0.00096246+0.0014272i,0.00050923+0.00054107i,0.0007011+0.0012646i,0.00017946+0.00015919i,0.00041761+0.0027557i,-0.0016956+0.00013413i,-0.0027309+0.0012836i,-0.0015868+0.0019917i,8.8261e-05+0.0026812i,-0.001325-0.0075996i,0.0010189+0.0014019i,-0.00093284-0.00020692i,0.0016254-0.00014675i,0.0038041+0.00019806i,0.0011046-0.00071643i,0.00050657+0.00053984i,-0.0027051+0.00077047i,0.00063182-0.001096i,0.011551-0.0070392i,-0.019822-0.038739i,0.0032849+0.0086884i,-0.023509-0.027699i,-0.04142+0.0039785i,0.0036941-0.00022898i,0.013106+0.027309i,0.0055209-0.0030717i,-0.0039386-0.0070786i,-0.0050382-0.013159i,-0.028204+0.025331i,-0.0047066+0.0063576i,0.012316+0.024113i,0.0068205+0.00039355i,-0.0044097+0.005738i,-0.016693+0.014682i,0.0019414+0.0095434i,0.00049084+0.010442i,0.0039608-0.0042654i,0.01065+0.00555i,0.0029047+0.0081611i,0.0050836+0.0046889i,0.0038269-0.005338i,0.003707+0.0028692i,0.0025068+0.00086474i,-0.0046651+0.0030271i,0.00011486-0.0044336i,0.007066-0.0051263i,0.0095175+0.0028123i,0.0032214-0.0014832i,-0.013289-0.019386i,0.0055268-0.0096211i,-0.00095632-0.0083734i,0.0026058-0.002576i,-0.0015537-0.0039495i,5.0235e-07-0.016046i,0.0033676-0.0030494i,-0.0028628+0.0021794i,0.004749+0.00033869i,0.0053014-0.0083594i,0.0036581-0.011122i,0.0017216-0.0041914i,0.0054232-0.011512i,0.0026911-0.00039957i,0.00581-0.0060583i,-0.012609+0.0035861i,-0.036983-0.0077625i,-0.016845-0.017944i,-0.0079485-0.0072243i,-0.0088576+0.026524i,-0.012863+0.0030206i,-0.011407+0.0035936i
0.013182+7.8115e-05i,0.0024289+0.0081258i,0.0049961+0.0061344i,0.015454+0.011499i,0.017871+0.012872i,0.022054+0.0045379i,0.013624+0.020631i,0.011912+0.012i,0.0061738-0.0043953i,-0.0036543-0.0019201i,0.00086306-0.0027249i,-0.0020364-0.00065473i,-0.0030404-0.0011588i,-0.0014577-0.0014394i,-0.0018762+0.00037818i,0.00019843+0.0016067i,0.00044367+0.0054057i,0.0016967+0.00055593i,0.00035228-0.0015205i,2.3834e-05-0.0022412i,0.0015154+0.00092162i,0.0010351-0.0019397i,-0.00024292-0.0016687i,-0.0046966+0.0038485i,-0.00057132-0.00010797i,0.00047138-0.00057749i,0.0011632+0.00027696i,0.00078085-9.5178e-06i,0.0012505+0.00046638i,0.00040549-0.00029521i,0.0013395+0.0024754i,-0.0015326+0.00048708i,-0.0017201+0.0024791i,-0.00057324+0.0023838i,0.00085157+0.0025568i,-0.0043499-0.0083353i,0.0012158+0.00044733i,-0.00061305+0.00012459i,0.001408-0.00072657i,0.0034438-0.00020406i,0.00072709-0.00082128i,0.00049224+0.00035582i,-0.002184+0.0011632i,-2.7006e-05+0.00037413i,0.0099463-0.008188i,-0.017857-0.031714i,0.0052032+0.0042536i,-0.027957-0.017042i,-0.035976+0.017011i,0.00062298-0.004739i,0.016919+0.019215i,0.0053867-0.0093198i,-0.0042007-0.0084245i,-0.0066995-0.01349i,-0.020222+0.030394i,-0.0038365+0.0073431i,0.017973+0.011801i,0.0060036-0.0019508i,-0.0026681+0.0089535i,-0.0098281+0.020788i,0.0048866+0.0082979i,0.0057635+0.0072251i,0.0016749-0.0021468i,0.012691+0.00082806i,0.005944+0.0075374i,0.0062896+0.0037971i,-0.0010708-0.0077116i,0.0035572+0.0050424i,0.0030065+0.0028791i,-0.001811+0.0064225i,0.000328-0.0035879i,0.0054082-0.0060826i,0.010157-0.0025642i,0.0027153-0.0033539i,-0.019355-0.017168i,0.0016548-0.010152i,-0.0044672-0.0069272i,0.0012118-0.0040382i,-0.0017085-0.0019223i,-0.0027755-0.012858i,0.001809-0.0048515i,-0.00045858+0.0025703i,0.0045172-0.003717i,0.0022761-0.008983i,-0.003175-0.011312i,0.00036733-0.0057139i,0.00014815-0.010085i,0.0022689-0.0011944i,0.0008783-0.0063306i,-0.0097788+0.0035728i,-0.034219+0.0091548i,-0.022693-0.014928i,-0.010236-0.0071696i,-0.0050897+0.026005i,-0.01177+0.0089914i,-0.0068075+0.0049072i
0.012372-0.003034i,0.0033042+0.0081799i,0.0041801+0.0057665i,0.016548+0.0079397i,0.018364+0.0091819i,0.022331+0.00017249i,0.017187+0.01579i,0.013022+0.0087699i,0.0057779-0.0051749i,-0.0041899-0.00087755i,-0.00035907-0.0019783i,-0.0010096+0.0006623i,-0.0035583-5.8231e-05i,-0.0019855-0.0015576i,-0.0018562+0.0010123i,0.0012688+0.0018915i,0.0026635+0.0044177i,0.0016273+0.0002133i,9.3607e-05-0.0015951i,-0.00086211-0.001803i,0.0019411+0.00022881i,0.00032152-0.0023664i,-0.00068179-0.0013447i,-0.0040864+0.0048485i,-0.00052888-0.00010315i,-0.00031589-0.00066901i,0.0010213-0.0004308i,0.00052468-0.00079828i,0.0011906-0.00049358i,9.1561e-05-0.00086417i,0.002171+0.0017751i,-0.0011162+0.0012923i,-1.005e-05+0.0026161i,0.00043657+0.002283i,0.0015979+0.0018057i,-0.0078003-0.0076928i,0.0011289-0.00018762i,-0.00051348-3.6979e-05i,0.0008853-0.0013692i,0.0032176-0.00066297i,0.0005149-0.00089236i,0.00080676+0.00013342i,-0.0018318+0.0012405i,0.0003949+0.0011887i,0.0091113-0.0097044i,-0.018019-0.030682i,0.0063042+0.00086664i,-0.025638-0.0078315i,-0.0252+0.026198i,-0.0019404-0.0048219i,0.019224+0.012607i,0.0025288-0.014644i,-0.0043928-0.0094945i,-0.0074949-0.011521i,-0.011824+0.033402i,-0.001175+0.0073665i,0.012886+0.00048176i,0.0037425-0.0045646i,0.00037128+0.010216i,-0.0020746+0.021761i,0.0062504+0.0058842i,0.0066671+0.0021335i,0.0020494-0.00087449i,0.012111-0.0033579i,0.010177+0.0053638i,0.0073665+0.0032007i,-0.0051876-0.0030867i,0.0057563+0.0056182i,0.0046797+0.0034531i,0.0019605+0.0064775i,-0.00035325-0.0037762i,0.0037997-0.0074319i,0.0082895-0.0091626i,-0.00020705-0.0039799i,-0.025416-0.010106i,-0.0017109-0.0094641i,-0.0064573-0.0035494i,0.00090838-0.0021049i,-0.0015768-0.0014539i,-0.004263-0.012375i,-0.00050422-0.0057925i,0.00078999+0.0010425i,0.0016041-0.0047711i,0.00040225-0.0082361i,-0.0071448-0.0070584i,-0.0026106-0.0056632i,-0.0039881-0.0083582i,0.00062132-0.0021929i,-0.0017385-0.0040108i,-0.006845+0.0039966i,-0.02627+0.011413i,-0.023467-0.010565i,-0.012223-0.0062993i,0.00029349+0.023815i,-0.0093931+0.011507i,-0.0050933+0.0037353i
0.010884-0.0056091i,0.0051468+0.0082056i,0.0041359+0.006124i,0.016853+0.0045889i,0.018302+0.0059429i,0.021474-0.0040496i,0.019472+0.010378i,0.013583+0.0058217i,0.0053084-0.0063043i,-0.0042831+0.00040253i,-0.00053617-0.00090202i,0.00016492+0.00047925i,-0.0036745+0.0012787i,-0.0030339-0.00075115i,-0.0014636+0.0017507i,0.0023019+0.0013044i,0.0039908+0.0028173i,0.0017404-9.6413e-05i,-0.00028177-0.0016396i,-0.0011607-0.00093631i,0.0019631-0.00064499i,-0.00037921-0.0020993i,-0.00087397-0.00097123i,-0.0019151+0.0057365i,-0.00079022-9.5648e-05i,-0.00068151-0.00046962i,0.00041872-0.0011172i,-0.00019989-0.0012473i,0.00063029-0.0012987i,-0.00049683-0.0010093i,0.0024812+0.00081754i,-0.00019417+0.0011148i,0.00075267+0.0018601i,0.0011371+0.0017942i,0.0018155+0.0010583i,-0.010847-0.0051049i,0.00071099-0.00084012i,-0.00077535+0.00011168i,-5.9308e-05-0.0019051i,0.0031107-0.00098852i,0.00033787-0.00098785i,0.00087464-0.00020218i,-0.0017045+0.0012748i,0.0010548+0.0014509i,0.00754-0.011812i,-0.022553-0.029358i,0.0056595-0.003173i,-0.023464-0.0016917i,-0.013128+0.028869i,-0.0044621-0.0045921i,0.020775+0.005645i,-0.00093785-0.016769i,-0.0053317-0.010425i,-0.0069499-0.0088975i,-0.0023813+0.034203i,0.00092846+0.0062603i,0.0074393-0.00091597i,0.00069194-0.0057074i,0.0047838+0.010833i,0.0046364+0.019582i,0.0062729+0.0033104i,0.0050719-0.0018224i,0.0014185-0.00035989i,0.0094828-0.0079771i,0.012649+0.00072884i,0.0088113+0.0016357i,-0.0049645+0.00036166i,0.0082876+0.0049256i,0.0065512+0.0030972i,0.005988+0.0045465i,-0.0011815-0.0032487i,0.0023083-0.0087051i,0.0028232-0.012388i,-0.0013563-0.0019067i,-0.028266-0.00032564i,-0.0040089-0.008255i,-0.0064191+6.0644e-05i,0.0017518-0.0016065i,-0.0020115-0.00072518i,-0.007414-0.012016i,-0.0031529-0.0052615i,0.001448+0.00036758i,-0.00013276-0.0045996i,-0.00077614-0.0080379i,-0.0088351-0.0036625i,-0.0052113-0.0033173i,-0.0069082-0.0052059i,-0.00036382-0.002485i,-0.0022394-0.0023398i,-0.0038323+0.0037821i,-0.024146+0.012932i,-0.022709-0.0081346i,-0.014133-0.0045172i,0.002311+0.022285i,-0.0079094+0.012459i,-0.0039629+0.0028415i
0.0091971-0.0074251i,0.0076734+0.0070092i,0.0055029+0.006273i,0.016588+0.001385i,0.018374+0.0033136i,0.019791-0.0078106i,0.020089+0.0041761i,0.013687+0.0029567i,0.004338-0.0075173i,-0.0040892+0.0015262i,-0.00025351-0.00058838i,0.00023597-0.00041851i,-0.0031963+0.0026531i,-0.0030796+0.0005556i,-0.00072956+0.0022178i,0.0024097+0.00031726i,0.004406+0.0009895i,0.0015483-0.00064984i,-0.00078248-0.0012229i,-0.00088833-0.00043069i,0.0017969-0.0014707i,-0.00069958-0.0017961i,-0.00085298-0.00066129i,0.00016064+0.0053098i,-0.0010783+0.00010408i,-0.0011469-0.00017373i,-0.00077297-0.0014681i,-0.00099792-0.0012036i,-0.0003044-0.0017733i,-0.0010511-0.00087062i,0.0024232-6.1225e-05i,-0.0001746+0.00093889i,0.0010192+0.0013613i,0.0015832+0.0011277i,0.0018392+0.00039651i,-0.012352-0.001293i,-0.0001955-0.0011097i,-0.00066923+0.00037894i,-0.0011495-0.0018283i,0.0030176-0.0015322i,4.2521e-05-0.00094732i,0.00088897-0.00044772i,-0.0016298+0.0014359i,0.0014587+0.0013893i,0.0048191-0.012935i,-0.028101-0.023159i,0.0040879-0.0061048i,-0.017109+0.003814i,-0.0024718+0.028935i,-0.0060417-0.0014041i,0.020616-0.0019813i,-0.0017428-0.019267i,-0.0056901-0.0098451i,-0.0042478-0.006063i,0.0065248+0.031926i,0.0016975+0.0042633i,0.0042417-0.0019349i,-0.0030258-0.0054428i,0.0098993+0.0079239i,0.0086373+0.01581i,0.0045161+0.0015994i,0.0029297-0.0046617i,0.0027129+0.0019278i,0.0046653-0.01035i,0.012343-0.0057495i,0.0095123-0.0010134i,-0.00443+0.0029107i,0.011456+0.0027743i,0.009196+0.0005572i,0.007472-1.3584e-05i,-0.0014813-0.002666i,-0.00054365-0.0092811i,-0.0044121-0.012057i,-0.00043134-9.3039e-05i,-0.027+0.010115i,-0.0059887-0.0069891i,-0.0045138+0.0028154i,0.0022073-0.0044823i,-0.0018105+0.00090342i,-0.01163-0.009361i,-0.0055265-0.0027368i,0.0013415-0.00092065i,-0.0017995-0.0040309i,-0.0029098-0.0074913i,-0.0087908+0.0012825i,-0.0053993+7.3599e-05i,-0.0083322-0.0013685i,-0.0018127-0.0032266i,-0.0022081-0.001775i,-0.0013162+0.0031018i,-0.022973+0.019249i,-0.023053-0.0089596i,-0.013343-0.0019607i,0.0061523+0.021437i,-0.006852+0.014854i,-0.0021871+0.0005134i
0.0075971-0.0087439i,0.0097267+0.0048179i,0.0071531+0.0049973i,0.015646-0.0015604i,0.018302+0.00064113i,0.017731-0.010772i,0.018585-0.0013014i,0.013293+0.00035987i,0.0031351-0.0084697i,-0.0037539+0.00262i,-0.00036905-0.00053092i,-0.00049396-0.00057892i,-0.0022246+0.0035658i,-0.0026103+0.0016887i,-7.5817e-05+0.0023305i,0.0016832-0.00028049i,0.004008-0.00057327i,0.0013079-0.0009259i,-0.00066057-0.00080686i,-0.00050683-0.00024592i,0.0015065-0.0022306i,-0.0008927-0.001631i,-0.00068216-0.00051083i,0.0015136+0.0046238i,-0.0011589+0.00034238i,-0.0014154+0.00044224i,-0.0020033-0.00093382i,-0.0015139-0.00068282i,-0.0014237-0.0016446i,-0.0016059-0.00047241i,0.0020923-0.00077449i,-1.909e-05+0.0011266i,0.0013401+0.00087696i,0.0017655+0.00040007i,0.0015799-0.0001711i,-0.01228+0.0027405i,-0.00099018-0.00085026i,-0.00069168+0.00032305i,-0.0021434-0.0011645i,0.0026887-0.0023236i,-3.2546e-05-0.00076451i,0.00092052-0.00084515i,-0.0015769+0.0018009i,0.0018019+0.0011469i,0.0025962-0.012987i,-0.028315-0.014221i,0.00081919-0.0076972i,-0.010833+0.003612i,0.0080081+0.026445i,-0.004844+0.0029972i,0.017245-0.0085401i,-0.0051846-0.0239i,-0.0043034-0.0096388i,0.00066505-0.0048594i,0.014775+0.026223i,0.0014943+0.0031708i,0.00099941-0.0013462i,-0.0054129-0.0030707i,0.011966+0.0021438i,0.011597+0.012706i,0.0023764+0.0022474i,-0.00050269-0.0070966i,0.0060673+0.00045375i,-0.00038468-0.0098077i,0.0077972-0.010041i,0.0090129-0.0043579i,-0.0039956+0.004848i,0.013037-0.0026705i,0.0089239-0.0047044i,0.0062111-0.0044025i,-0.001745-0.0023269i,-0.0035082-0.0085583i,-0.0089959-0.0069438i,0.00097525-0.00058654i,-0.020917+0.02099i,-0.0078704-0.0049515i,-0.0018218+0.0039187i,-0.0010837-0.005488i,-0.00047291+0.0013362i,-0.014615-0.0045701i,-0.004937+0.0008601i,0.00014921-0.0020069i,-0.0035513-0.0026596i,-0.0047233-0.0057017i,-0.005747+0.0043637i,-0.0037611+0.0022886i,-0.007779+0.003068i,-0.0045552-0.0026615i,-0.0025432-0.0014467i,0.0027516+0.0027226i,-0.012297+0.025038i,-0.02716-0.0073694i,-0.011826-0.0018465i,0.0084437+0.019206i,-0.0035551+0.017237i,-0.002956-0.0029606i
