-0.023303+0.00077896i,-0.024148+0.00023559i,-0.014862-0.0117i,-0.034409-0.014551i,-0.030499+0.0007542i,-0.032887+0.0054434i,-0.056412-0.016475i,-0.032984-0.017818i,-0.029444+0.00095865i,0.0066199+0.003531i,-0.0033155+0.0068649i,-0.0068612+0.016334i,0.0062304+0.010402i,0.0020842+0.0034994i,0.0048853+0.0032662i,0.0050948+0.017282i,0.023273+0.02098i,0.001034-0.00084849i,0.000201-0.0056821i,0.0070914-0.00037467i,0.004128-0.0004205i,0.002162+0.0021004i,0.00068815-0.00028614i,-0.016192+0.0017469i,-0.0060444-0.0038948i,-0.0012187+0.002432i,0.0010559-0.0015346i,-0.0014314-0.00022161i,-0.0011943+0.0010814i,-0.0023439-0.0021729i,-0.0040471-8.9138e-05i,-0.0053007-0.0020246i,-0.00184-0.00024918i,-0.00016004-0.00039374i,0.00042989-0.0029998i,0.0010123+0.013118i,0.0015256-0.0029162i,0.00075187-0.003242i,0.0041859-0.0024279i,-0.0013652-0.0028847i,0.00059303-0.00042225i,0.0076205-0.00033514i,0.0046154-0.0027347i,0.00053292+0.0019213i,-0.014015+0.01427i,-0.027396+0.053767i,-0.0094505-0.035962i,-0.017152-0.018152i,-0.040824-0.01631i,-0.029074-0.01328i,0.037452-0.013336i,0.0055544-0.030708i,0.013681-0.038275i,-0.0097027-0.030429i,0.024637-0.022695i,0.014276+0.0061141i,0.02446-0.038163i,-0.0025067-0.004264i,0.0064764-0.0091023i,-0.00078009-0.0060743i,0.00092323-0.034165i,-0.013116+0.028732i,0.0089577-0.012342i,-0.00861-0.0051808i,-0.0029179-0.001902i,-0.00094264-0.015354i,-0.0098051+0.006108i,0.003069+0.0076795i,0.00072011+0.025803i,0.0027342+0.00030574i,-0.0075899-0.0043496i,-0.004421-0.0059546i,-0.014565-0.009957i,-0.0027801-0.0059612i,-0.036329+0.013158i,-0.0044764-0.0090153i,-0.013492-0.00095194i,-0.010992-0.0073401i,0.001026-0.0018344i,-0.014661+0.0013798i,-0.0013579-0.00069342i,0.0063779+0.0063218i,0.0033021-0.0050568i,-0.014743-0.014977i,0.007827+0.0086969i,-0.016089+0.0055328i,0.0052476-0.00088024i,-0.019654-0.0021119i,-0.015974-0.003984i,-0.017803-0.035065i,0.020479-0.010972i,-0.03257-0.031538i,-0.0088621+0.0035055i,0.018338+0.015117i,-0.021652+0.017183i,-0.0036417-0.0030728i
-0.023674+0.004169i,-0.022423+0.0065989i,-0.016224-0.011486i,-0.036604-0.010112i,-0.029193+0.0021198i,-0.032279+0.011707i,-0.056254-0.0067205i,-0.03385-0.012231i,-0.025817+0.0073631i,0.0051896+0.001711i,-0.0033992+0.0058419i,0.00067853+0.018124i,0.009485+0.0064672i,0.00092559+0.0040124i,0.0050708+0.0014559i,0.0074766+0.013329i,0.024541+0.012289i,0.0018103-0.00013799i,-0.0016043-0.0040539i,0.0056155-0.0031895i,0.0033157-0.0016979i,0.0021148+0.0012094i,0.00077096-0.00039976i,-0.0088505+0.006493i,-0.007653-0.0011872i,0.00090337+0.0021736i,-0.00017576-0.00052645i,-0.00068293+0.00099318i,0.00049638+0.0010748i,-0.0029997-0.00096576i,-0.0027641+0.0011397i,-0.0048879-0.00081585i,-0.0032705-0.0040618i,8.5685e-05-0.00064839i,0.00046788-0.0022676i,0.0042727+0.010527i,0.0007043-0.0035189i,-0.0007439-0.0030889i,0.004163-0.0045883i,-0.0010191-0.0024636i,0.00079858+5.0739e-05i,0.0071025-0.003651i,0.0016051-0.0033059i,-0.00111+0.0019686i,-0.0094744+0.015022i,-0.0069505+0.058675i,-0.017089-0.034163i,-0.027421-0.018479i,-0.03014-0.0049701i,-0.02128-0.0014863i,0.034198-0.035085i,0.0052759-0.04441i,0.0164-0.03845i,-0.015412-0.031116i,0.015036-0.018474i,0.011956-0.0039683i,0.0036491-0.039194i,9.038e-05-0.0011643i,-0.0012354-0.01705i,-0.002253-0.0076825i,-0.022552-0.03136i,-0.0015263+0.025058i,0.0028566-0.015754i,-0.010909-0.00046133i,-0.0014043-0.00087802i,-0.0076079-0.014274i,-0.008017+0.010759i,0.0090874+0.0075715i,0.01746+0.017548i,0.0012325-0.0021377i,-0.0077462+2.794e-05i,-0.0084919-0.0050084i,-0.019978+0.00041496i,-0.0028096-0.0043108i,-0.033719+0.010029i,-0.0082185-0.0038201i,-0.01296+0.0039598i,-0.013024-0.001785i,-0.0019544-0.0060347i,-0.012047+0.0048418i,-0.00052516-0.0027088i,0.0036325+0.00015491i,-0.00025488-0.0055759i,-0.01946-0.0024192i,0.0085419+0.0039131i,-0.010555+0.010742i,0.0049313-0.0033812i,-0.016975+0.0055746i,-0.017727+0.0005937i,-0.023115-0.031438i,0.015494-0.018754i,-0.055196+0.004172i,-0.00025537-0.0048531i,0.019214+0.009024i,-0.013744+0.022863i,-0.010589-0.0079652i
-0.022477+0.0079316i,-0.019162+0.0083633i,-0.018835-0.011261i,-0.038548-0.0037494i,-0.02879+0.0035906i,-0.030391+0.018093i,-0.057294+0.0040488i,-0.035954-0.0069652i,-0.022709+0.010681i,0.0039975+0.00087323i,-0.0029396+0.0081738i,0.0068769+0.014467i,0.0098679+0.0020432i,0.001085+0.0047628i,0.0048051+0.00021405i,0.0087236+0.0097563i,0.025835+0.004185i,0.0031619-0.00073654i,-0.002023-0.0025068i,0.0040368-0.004084i,0.001598-0.0020396i,0.0024702+0.0016411i,0.00060025-0.00083675i,-0.0029183+0.0090269i,-0.0071907+0.0010849i,0.0031322+0.0015278i,-0.00048225+4.1082e-05i,0.00058727+0.00078755i,0.0006545+0.00046617i,-0.0029071+0.00023735i,-0.0019752+0.0016282i,-0.0045784+0.00099294i,-0.0057874-0.0007769i,-1.6715e-05-0.0011638i,0.00048077-0.0038105i,0.00665+0.0073628i,-0.00026705-0.0032113i,-0.0018175-0.0023119i,0.0018739-0.0070559i,-0.0016698-0.0025024i,0.0010677-8.8383e-05i,0.0042119-0.0055978i,0.0013048-0.0026193i,-0.0012265+0.0029428i,-0.0064135+0.013485i,0.010811+0.056499i,-0.024405-0.029341i,-0.03507-0.0083762i,-0.016536-0.0041623i,-0.013437-0.0047393i,0.023204-0.052438i,-0.0078837-0.055786i,0.020751-0.044935i,-0.021099-0.025695i,0.010851-0.018063i,0.0079834-0.0078332i,-0.00060352-0.038457i,0.008233-0.0059286i,-0.010886-0.015066i,-0.0038507-0.010079i,-0.036925-0.017725i,0.0047181+0.021891i,-0.0055178-0.016044i,-0.0086073+0.0028535i,-0.0027047-0.0011279i,-0.014068-0.010593i,-0.00050984+0.014085i,0.014378+0.00023915i,0.02299+0.0041866i,0.00051586-0.0025918i,-0.007226+0.00048887i,-0.01082-0.0010254i,-0.015092+0.010003i,-0.0073752-0.0024629i,-0.031646+0.027164i,-0.0075088+0.00033313i,-0.0099392+0.0096854i,-0.014205+0.0075936i,-0.0080168-0.0044681i,-0.0098192+0.0079619i,-0.0020221-0.0023531i,-0.00074574-0.00031563i,-0.003045-0.0052764i,-0.011648+0.0067565i,0.0075589-0.0011354i,-0.005954+0.012049i,0.0018467-0.0065577i,-0.013126+0.0092014i,-0.015191+0.0049326i,-0.025541-0.026289i,0.007981-0.020217i,-0.04232+0.0065579i,-0.0079235-0.014736i,0.018796+0.0018738i,-0.0024586+0.020869i,-0.013435-0.0048477i
-0.020324+0.011661i,-0.018433+0.0092484i,-0.022157-0.010431i,-0.036997+0.0034058i,-0.029312+0.004996i,-0.025688+0.024025i,-0.053695+0.018835i,-0.037383+0.0013952i,-0.02021+0.014976i,0.0034236+0.00067037i,0.00038014+0.0095948i,0.0090567+0.010101i,0.0084748-0.001517i,0.0029216+0.0060687i,0.0038691-0.0010124i,0.0081741+0.0056018i,0.023269-0.005691i,0.003043-0.0025119i,-0.0027316-0.00037512i,0.0015547-0.0048072i,0.0014713-0.0014615i,0.0037793+0.00071986i,0.00025843-0.00099087i,0.0035456+0.0097233i,-0.0055949+0.0023904i,-0.0020323-0.002353i,0.00036866-0.00042631i,0.00051762+4.8437e-05i,0.0012379+0.00046977i,-0.0028533+0.0011941i,-0.00088109+0.0022098i,-0.0033792+0.0021417i,-0.0055753+0.0018745i,-0.00034001-0.0011935i,-0.0021448-0.0038515i,0.0064282+0.0046813i,-0.0012772-0.0031895i,-0.0022766-0.0013263i,-0.0012841-0.0071601i,-0.0015833-0.0015896i,0.00099948-0.00056668i,0.00095307-0.0057443i,0.00033343-0.002702i,-0.00068601+0.0024391i,-0.003879+0.012484i,0.027081+0.04922i,-0.029491-0.021676i,-0.033757+0.0053623i,-0.010894-0.0079984i,-0.011178-0.0058317i,0.0032222-0.067062i,-0.026986-0.055418i,0.016112-0.060984i,-0.022878-0.02094i,0.0064013-0.016249i,0.0027321-0.011014i,-0.013717-0.035028i,0.0037418-0.016269i,-0.014659-0.0085561i,-0.0094323-0.012446i,-0.042312+0.002591i,0.013892+0.015361i,-0.012687-0.012282i,-0.0061831+0.0035574i,-0.0032682+2.157e-05i,-0.018039-0.0039843i,0.007109+0.0095911i,0.014333-0.0075671i,0.021679-0.0063526i,-0.00020398-0.002894i,-0.0088617+0.0016914i,-0.011049+0.0042729i,-0.0095465+0.017355i,-0.0084726+0.0026677i,-0.020428+0.037916i,-0.0069353+0.0020917i,-0.0036409+0.011634i,-0.0075064+0.014345i,-0.011437+0.002072i,-0.0040478+0.0093192i,-0.0031835-0.0013871i,-0.0030109+0.0022253i,-0.0059128-0.0040158i,-0.0057961+0.0067261i,0.0020171-0.0052259i,-0.0028694+0.014456i,-0.0029539-0.0056983i,-0.0085668+0.011815i,-0.013259+0.0053649i,-0.026795-0.022986i,0.0076888-0.017812i,-0.03635+0.018922i,-0.018842-0.015142i,0.018177-0.004527i,0.0052401+0.01473i,-0.012299-0.00072758i
-0.01705+0.015455i,-0.017771+0.012202i,-0.027333-0.0074269i,-0.033994+0.0085007i,-0.031251+0.0073457i,-0.019866+0.028534i,-0.042544+0.027775i,-0.033346+0.009745i,-0.013249+0.017761i,0.003005+0.00075487i,0.0034848+0.0077659i,0.010478+0.0068569i,0.0061892-0.0034228i,0.0057028+0.0047836i,0.002974-0.0014844i,0.0064499+0.00457i,0.013967-0.013207i,0.0010517-0.0032699i,-0.00088101+0.0027424i,-0.0003473-0.0040796i,0.0017726-0.001363i,0.0037959-0.00059135i,-0.00046681-0.00070358i,0.010014+0.005138i,-0.00434+0.0041806i,-0.0016215-0.0022303i,-2.9395e-05-0.00033284i,0.0010647+0.00012019i,0.0016886-0.00029422i,-0.0017727+0.0025703i,0.00056831+0.0021786i,-0.0018672+0.0029736i,-0.003654+0.0032262i,-0.0010783-0.0012884i,-0.0029952-0.0021694i,0.007156+0.0038639i,-0.0021938-0.0022413i,-0.0027478-0.00038899i,-0.0037038-0.0052005i,-0.0015824-0.0026602i,0.00052569-0.00094075i,-0.00088956-0.0037664i,5.3486e-05-0.0018028i,-0.0015417+0.0030435i,-0.0027733+0.010265i,0.040933+0.034778i,-0.028442-0.011199i,-0.025056+0.015914i,-0.0078662-0.012674i,-0.00865-0.0061227i,-0.024484-0.070048i,-0.041312-0.045969i,-0.0038979-0.072019i,-0.027703-0.012796i,0.0051484-0.013264i,-0.002452-0.011035i,-0.02396-0.026585i,-0.0051462-0.017964i,-0.016516-0.0049032i,-0.018586-0.0083168i,-0.03718+0.018401i,0.014823+0.0050857i,-0.017348-0.0060452i,-0.0052085+0.0040213i,-0.0035671+0.0021681i,-0.017677+0.0047348i,0.0062927+0.0035809i,0.011956-0.01255i,0.017013-0.014535i,-0.0016347-0.0029639i,-0.010665+0.0058518i,-0.0079266+0.0082989i,-0.0017297+0.019862i,-0.0067087+0.0073429i,-0.014661+0.040387i,-0.0071208+0.0034947i,1.8498e-05+0.0097993i,9.7913e-05+0.015066i,-0.010409+0.0083865i,-0.0018232+0.0066939i,-0.0048865-0.00053002i,-0.0026279+0.0055717i,-0.010055-0.0013388i,-0.0050724+0.0048985i,-0.0031968-0.0029782i,0.0033228+0.01619i,-0.0061643-0.0032626i,-0.0021295+0.012448i,-0.013877+0.0072949i,-0.030819-0.017346i,0.011949-0.024165i,-0.022936+0.032734i,-0.027303-0.0047272i,0.01353-0.01086i,0.0071343+0.0068606i,-0.010218-0.0014547i
-0.012825+0.017406i,-0.014548+0.0148i,-0.030954+7.9521e-06i,-0.031741+0.012128i,-0.033716+0.012764i,-0.012605+0.030804i,-0.032427+0.03133i,-0.027479+0.014328i,-0.0084821+0.01719i,0.0026543+0.00088915i,0.0041733+0.0062175i,0.011038+0.0021469i,0.0038955-0.0044824i,0.0071243+0.0024102i,0.0022391-0.0017199i,0.0063004+0.0047143i,0.0052087-0.012414i,-0.00049259-0.0035831i,0.001949+0.0023938i,-0.0014783-0.0032016i,0.0017502-0.002983i,0.0033973-0.001558i,-0.00043215-0.00014426i,0.011004-0.0024051i,-0.0007937+0.0057045i,-0.00042316-0.0009985i,0.00069992+0.0012289i,0.001422-0.0011766i,0.0013061-0.0015122i,0.00046563+0.0031053i,0.001869+0.0010995i,-0.00062839+0.0027558i,-0.0024663+0.0044551i,-0.0014126-0.00043831i,-0.0026648-0.0010223i,0.0082469+0.0015671i,-0.0028941-0.00116i,-0.0029882+0.00038596i,-0.0051121-0.0031792i,-0.0046621-0.0037786i,0.00025026-0.00069381i,-0.0012752-0.002194i,-0.0002173-0.0014424i,-0.00055438+0.0040697i,-0.0030877+0.009669i,0.038212+0.015317i,-0.019199-0.0057265i,-0.016243+0.022043i,-0.0063232-0.015306i,-0.0059505-0.0098624i,-0.049194-0.05452i,-0.052881-0.031667i,-0.021937-0.068517i,-0.021682+0.0028057i,0.010196-0.0099537i,-0.0061284-0.0090819i,-0.026584-0.011978i,-0.012286-0.017453i,-0.020585+0.0015462i,-0.018347+0.0011087i,-0.026451+0.034685i,0.012201-0.0012078i,-0.015367+0.0025888i,-0.0065974+0.0045325i,-0.0005139+0.0039891i,-0.013043+0.011045i,0.0060672+0.0041416i,0.0068987-0.023928i,0.004534-0.022439i,-0.0052118-0.0035936i,-0.0093412+0.011726i,-0.0059258+0.0099775i,0.0068951+0.020476i,-0.001913+0.0094764i,-0.0008751+0.05391i,-0.0067972+0.0049533i,0.0012134+0.009369i,0.0060607+0.012166i,-0.0048281+0.014941i,-0.0011718+0.0077582i,-0.0067404+0.0020608i,0.00088777+0.0075699i,-0.0092784+0.0081938i,-0.0065998+0.0062151i,-0.0028558+0.0027675i,0.0076869+0.012056i,-0.007904-0.0017009i,0.001187+0.0072481i,-0.010441+0.012209i,-0.028398-0.0050341i,0.0034792-0.038708i,0.0010229+0.030743i,-0.022561+0.0060312i,0.01365-0.019528i,0.0064211-0.0013041i,-0.010306+0.00097315i
-0.0082839+0.018618i,-0.013257+0.01523i,-0.031619+0.0083144i,-0.028878+0.016504i,-0.032923+0.02063i,-0.0058465+0.030696i,-0.02431+0.032247i,-0.022182+0.016541i,-0.0060762+0.016794i,0.0035425+0.00054366i,0.0065888+0.0051781i,0.0079963-0.0014969i,0.0011107-0.0040845i,0.0076012-0.00054694i,0.0017202-0.0019028i,0.0071117+0.0048147i,0.00033113-0.0082784i,-0.0027179-0.0034496i,0.0027604+0.00022458i,-0.0019128-0.0020875i,0.00050456-0.0035513i,0.0042592-0.00057358i,-0.00029043+0.00012133i,0.0075349-0.0070694i,0.0032929+0.00399i,-0.00073634-0.0003584i,0.0017011-0.0008385i,0.00057314-0.0021672i,0.00030844-0.0014685i,0.0017241+0.0017383i,0.001891-0.00030305i,0.00071271+0.0024414i,0.00051853+0.0045197i,-0.0011611+0.00026859i,-0.0033391-0.00052402i,0.0077887-0.0011316i,-0.0022249+0.00020564i,-0.0025953+0.0015397i,-0.0055885-6.7878e-05i,-0.0064543-0.00117i,-0.00027283-0.00086883i,-0.00093551-0.0022994i,-0.00012742-0.001259i,0.00020766+0.0029483i,-0.002705+0.010316i,0.031163+0.013344i,-0.015586-0.0085023i,-0.00014041+0.023597i,-0.005793-0.017764i,-0.011637-0.014706i,-0.059834-0.034126i,-0.051101-0.012913i,-0.046188-0.060252i,-0.0085744+0.0057481i,0.012729-0.021695i,-0.0075326-0.0060655i,-0.022-0.006446i,-0.023329-0.011586i,-0.014706+0.010944i,-0.01567+0.0056824i,-0.0032376+0.038377i,0.0097447-0.0051224i,-0.013277+0.0046333i,-0.003472+0.0059427i,-0.00094936+0.0013004i,-0.0063838+0.014724i,0.0084763+0.0013379i,-0.010677-0.025803i,-0.014224-0.018395i,-0.0055491+0.0027862i,-0.0037958+0.015132i,-0.00091176+0.011431i,0.015125+0.013397i,0.0018076+0.0086442i,0.025943+0.050973i,-0.0036003+0.0069979i,0.0039193+0.0088777i,0.0091999+0.0077069i,0.0044343+0.016082i,-0.00259+0.0080902i,-0.0061686+0.0079426i,0.005445+0.0077506i,-0.0032505+0.012406i,-0.0072577+0.0087684i,-0.0010961+0.0037259i,0.0085744+0.007452i,-0.0088964+0.0016495i,0.001792+0.0028392i,-0.0052091+0.012027i,-0.021231+0.00039244i,-0.017148-0.041558i,0.012801+0.015i,-0.017476+0.0095936i,0.0041158-0.026953i,0.0010885-0.0064101i,-0.0040075+2.7882e-05i
-0.0037062+0.018488i,-0.011618+0.01872i,-0.028754+0.016763i,-0.023527+0.020251i,-0.02788+0.027915i,-0.00040454+0.029477i,-0.017776+0.03207i,-0.017393+0.017083i,-0.0023476+0.01797i,0.0039054-0.00048365i,0.0078938+0.00073488i,0.0045558-0.001237i,8.4788e-06-0.0021644i,0.0063421-0.0027274i,0.0010953-0.0022401i,0.0090781+0.0038164i,-0.0014054-0.0049996i,-0.0044367-0.0013687i,0.001214-0.00076442i,-0.0022884-0.001315i,-0.0011655-0.0033166i,0.0032604-0.0024111i,-0.00029834+0.00041534i,0.0028761-0.0090546i,0.0035423-2.5834e-05i,-0.00042781-0.00023209i,0.00067803-0.0022184i,-0.00018191-0.0019369i,0.00052053-0.0014177i,0.0015588+0.00052286i,0.0012819-0.0014284i,0.001437+0.001316i,0.0023729+0.0031442i,-0.0007022+0.000432i,-0.0029788+0.0015608i,0.0067723-0.0034132i,-0.001318+0.00023658i,-0.0015946+0.0024272i,-0.0038768+0.0017395i,-0.0054217+0.00098391i,-0.00084174-0.00029692i,-0.0012557-0.0021378i,-0.00058069-0.0011597i,-0.00056713+0.0022951i,-0.0014568+0.012116i,0.036739+0.016963i,-0.016228-0.011303i,0.011996+0.016798i,-0.0067616-0.022436i,-0.015376-0.0096467i,-0.064718-0.015061i,-0.041216-0.0014231i,-0.095257-0.085331i,-0.00025145+0.00077491i,0.0066091-0.02952i,-0.0076257-0.0046876i,-0.019263-0.0023494i,-0.029585+0.0021621i,-0.0088254+0.012114i,-0.010524+0.0096785i,0.014422+0.026742i,0.0082548+0.014938i,-0.012389+0.0091312i,-0.0028809+0.0029975i,-0.0012665+0.002669i,0.0013853+0.012145i,0.0064619-0.0048207i,-0.024087-0.013857i,-0.018096-0.0064024i,-0.00010699+0.0066746i,0.002895+0.015375i,0.0037846+0.0097648i,0.018604+0.0055661i,0.0067383+0.006931i,0.045015+0.031283i,-0.0014019+0.0063976i,0.0066248+0.0077026i,0.0095782+0.0020159i,0.011485+0.0099187i,-0.002918+0.013198i,-0.00049093+0.012568i,0.0090584+0.003547i,0.0050448+0.01107i,-0.0060449+0.012812i,-9.2359e-05+0.0038442i,0.0086447+0.005029i,-0.0087189+0.004883i,0.0002191+0.00034938i,-0.0036611+0.010778i,-0.01213+0.0021658i,-0.030056-0.025685i,0.013488+0.00013866i,-0.0037979+0.01209i,-0.0075534-0.030545i,-0.0074248-0.0064094i,-0.0061454-0.0068622i
-0.00011992+0.017081i,-0.0067794+0.021762i,-0.022652+0.024144i,-0.018978+0.021506i,-0.021125+0.03251i,0.0044813+0.02781i,-0.012279+0.030956i,-0.014534+0.016874i,0.0030468+0.017776i,0.0035924-0.0016349i,0.0053718-0.0021841i,0.0038071-4.0295e-05i,0.00055575-0.00085711i,0.0045462-0.004455i,0.00044497-0.0020548i,0.01098+0.0015527i,-0.00058146-0.0024616i,-0.0037945+0.0011401i,0.0004957-0.00042946i,-0.0024699-0.00021471i,-0.0018798-0.0020478i,0.00079126-0.0028321i,9.8706e-05+0.00086106i,-0.00074775-0.0082856i,0.0012172-0.00083544i,-0.00044766-0.00076673i,-0.00063662-0.0023756i,-0.00094623-0.001901i,-2.0418e-05-0.0021597i,0.0014279-4.1961e-05i,0.00023538-0.0022953i,0.0016246+0.00037634i,0.0025557+0.00078276i,-0.00016763+0.00060027i,-0.0014941+0.0013729i,0.0049401-0.0063968i,-0.00087963-4.6617e-05i,-9.5657e-05+0.0026738i,-0.0041863+0.0027023i,-0.0037332+0.0018953i,-0.0005761+0.00034893i,-0.0022676-0.0015766i,-0.00049356-0.00084531i,-0.0015426+0.0035072i,0.0013851+0.013624i,0.051702+0.011854i,-0.020047-0.011273i,0.020359+0.0059545i,-0.010516-0.022707i,-0.015603-0.0063227i,-0.061282+0.0054327i,-0.033866+0.0018705i,-0.049027-0.015164i,0.003506-0.003397i,-0.00315-0.03521i,-0.0088132-0.0041386i,-0.018074-0.0021023i,-0.022712+0.016112i,-0.0041995+0.012755i,-0.0026143+0.0079438i,0.016424+0.010977i,0.0022523-0.014986i,-0.0091971+0.013714i,-0.0045294+0.0033671i,-0.00022606+0.0022071i,0.003463+0.0067153i,8.7216e-05-0.0040361i,-0.026533+0.0016721i,-0.020939+0.0037027i,0.0048029+0.0042032i,0.007601+0.013382i,0.0049787+0.0069492i,0.016349-0.0058243i,0.0077575+0.0011767i,0.049959+0.0093426i,-0.00090324+0.0081185i,0.0090279+0.0041618i,0.006808-0.0010347i,0.012142+0.0038346i,0.0042542+0.0179i,0.0074764+0.0090679i,0.008277-0.00093749i,0.0084764+0.0055218i,-0.00062292+0.017335i,0.00032256+0.0053016i,0.008695+0.0032395i,-0.0081896+0.0085058i,-0.0038957+0.00053455i,-0.002631+0.011404i,-0.0043834-0.0019535i,-0.027791-0.0125i,0.0042687-0.009044i,0.0035731+0.0037363i,-0.021601-0.026365i,-0.011234+0.0015591i,-0.011936-0.0052028i
0.0024475+0.015428i,-0.0014409+0.021983i,-0.01405+0.028241i,-0.015858+0.022768i,-0.013424+0.035284i,0.0085139+0.025309i,-0.0082164+0.030023i,-0.012616+0.017435i,0.0075738+0.014905i,0.00283-0.00274i,0.0027535-0.0023117i,0.0047168+0.00015269i,0.0016374-0.0011239i,0.0028956-0.0050053i,0.000206-0.0018494i,0.0092399-0.003927i,0.00067695-0.0026003i,-0.0036648+0.003041i,0.00036375-0.00047357i,-0.0018053+0.00095858i,-0.0018479-0.0011709i,-0.00054722-0.0017669i,0.00070668+0.00087285i,-0.0033684-0.0066987i,0.00068278-0.00093783i,-0.0011233-0.00070489i,-0.0016766-0.0018144i,-0.0016634-0.0014467i,-0.0012154-0.0021542i,0.0010919-0.00082791i,-0.0015232-0.0021474i,0.0012764-0.00074022i,0.001448-5.3403e-05i,0.00034565+0.00027242i,-0.0012966+0.0013243i,0.00071741-0.005688i,-0.0013287-0.00049217i,0.00089624+0.0020837i,-0.0018933+0.0051389i,-0.0021898+0.0032822i,-0.0004658+0.0006924i,-0.0022489-0.00032262i,-0.00049327-0.00097214i,-0.00027408+0.0055967i,0.0058115+0.013698i,0.063508-0.0085477i,-0.024851-0.0069256i,0.021145-0.0053211i,-0.010342-0.02335i,-0.015676-0.0034994i,-0.050851+0.019212i,-0.027512+0.0058327i,-0.037721-0.0013442i,0.0045938-0.012075i,-0.016312-0.0347i,-0.009585-0.002311i,-0.020259-0.0013569i,-0.012572+0.020266i,0.0037632+0.011676i,3.1693e-05+0.0013535i,0.010091+0.0024613i,-0.0046648-0.013199i,-0.0032607+0.015867i,-0.0039739+0.0075725i,-0.0009455+0.00054757i,0.0056957+0.0056109i,-0.0006664+0.00042596i,-0.020787+0.01419i,-0.014795+0.013747i,0.0048324+0.0012524i,0.012904+0.0097204i,0.0061634+0.0055045i,0.0089617-0.011385i,0.0051303-0.0020525i,0.046962-0.0081074i,0.0030272+0.0092982i,0.0081613+0.0014957i,0.0048543-0.0019014i,0.012306+0.00033543i,0.013906+0.016723i,0.0086505+0.0035505i,0.0069907-0.0028309i,0.0082013+0.0013183i,0.0079179+0.016322i,0.0029081+0.0051185i,0.0094093-6.2801e-05i,-0.0030057+0.013238i,-0.0037137+0.0034932i,-0.00031151+0.012588i,-0.0030104-0.010241i,-0.023505-0.0068504i,-0.0026931-0.016487i,0.0025228-0.0054284i,-0.032099-0.017089i,-0.0077471+0.004543i,-0.011873-0.0025478i
0.00472+0.013967i,0.003895+0.020419i,-0.0051663+0.028683i,-0.011808+0.024664i,-0.0054408+0.03514i,0.01183+0.022734i,-0.0041669+0.029534i,-0.0099661+0.018791i,0.010418+0.01139i,0.0014893-0.0036493i,0.001646-0.0015878i,0.0055788-0.001078i,0.0015896-0.0017912i,0.0011098-0.0051528i,-0.00021561-0.0018763i,0.0063696-0.0051053i,7.7829e-05-0.0042367i,-0.00085499+0.0064732i,5.463e-05-0.00024068i,-0.00089165+0.0015823i,-0.0019809-0.00050138i,-0.00050649-0.00066234i,0.0012693+0.00066224i,-0.0051751-0.0046399i,2.6126e-05-0.0007983i,-0.0014488+2.0301e-05i,-0.0022727-0.00087567i,-0.0020388-0.0005023i,-0.002286-0.0014035i,-1.7636e-06-0.0012479i,-0.0027648-0.00087631i,0.00025961-0.0011821i,0.00081081-0.0016089i,0.00058525-0.00019632i,-0.0011749+0.0013591i,-0.0006305-0.0034073i,-0.0018851+6.7407e-05i,0.0016052+0.0012631i,0.00048744+0.0046799i,-0.00011288+0.0048401i,-0.00021812+0.00095178i,-0.0016532+0.0004509i,-0.00092833-0.0012168i,0.0016509+0.0049908i,0.0099517+0.01116i,0.058657-0.034067i,-0.02646+4.351e-05i,0.020769-0.01519i,-0.012353-0.028634i,-0.014667-0.00074691i,-0.041342+0.02666i,-0.021073+0.005862i,-0.028417+0.0044971i,0.00061675-0.016016i,-0.028728-0.0303i,-0.010505-0.00036964i,-0.02543+0.0017961i,-0.0034037+0.02012i,-0.00027386+0.0068773i,-0.002515-0.00424i,0.0037867+0.00035504i,-0.012231-0.011944i,0.0024101+0.014535i,-0.0012887+0.0068749i,-0.0026602+0.0017078i,0.00092038+0.0055517i,0.0012165+0.0024718i,-0.011295+0.019954i,-0.0053003+0.016774i,0.0055236-0.0008024i,0.015833+0.0022716i,0.0073728+0.0040722i,0.0016493-0.011819i,0.0024529-0.0026261i,0.040141-0.022121i,0.006717+0.0083125i,0.0081519+0.00066463i,0.0023447-0.0021261i,0.011047-0.0057431i,0.020656+0.009313i,0.0073191-0.00056022i,0.0051821-0.0054805i,0.0066613-0.0017119i,0.013805+0.011925i,0.0040707+0.0048806i,0.00701-0.0038874i,0.0036039+0.012607i,-0.0020127+0.003883i,0.0045454+0.012487i,-0.0080134-0.014315i,-0.019871-0.002003i,-0.0061972-0.015973i,-0.003561-0.009608i,-0.03724-0.0056037i,-0.006049+0.0043509i,-0.011316-0.0013721i
