-0.023966-0.019999i,-0.032761-0.035827i,-0.023193-0.020256i,-0.032466-0.020355i,-0.024382+0.0035428i,-0.029148-0.018666i,-0.054726-0.04918i,-0.041879-0.044359i,-0.032125-0.022807i,0.0052506+0.0053608i,-0.0035628+0.0064144i,-0.01088+0.011741i,0.0044783+0.0072511i,-0.0034136-0.0026393i,0.0029827+0.002002i,0.000821+0.029251i,0.024167+0.028416i,-0.00030863+0.00031662i,-0.0030354-0.002513i,0.0068356+0.0035242i,0.001916+0.00066491i,-0.00019992+0.002254i,-0.00080201+0.00037313i,-0.032105-0.0029492i,-0.003601-0.0050022i,-3.2764e-06+0.0023574i,0.003776-0.0014171i,0.00070431-0.00033463i,-0.00070707-0.00038779i,-0.0012384-0.0019358i,-0.002574-0.00053985i,-0.0039953-0.004005i,-0.0037534-0.0054741i,0.00034268-0.0013523i,0.00034439-0.0030743i,-0.0021061+0.025673i,0.0016411-0.0030157i,0.0021394-0.004206i,0.0041688-0.0026406i,-0.0056593-0.0019733i,0.00075312+0.0013781i,0.0082215-0.00018434i,-0.0020291-0.00029378i,-0.0033242+0.00084065i,-0.0082237-0.0044588i,-0.017764+0.020919i,-0.0091226-0.08839i,-0.0031828-0.062186i,-0.021141-0.054587i,-0.011291-0.046156i,0.051859-0.028195i,0.023397-0.067521i,0.040487-0.054703i,0.018383-0.040344i,0.026357-0.01991i,0.012414+0.012273i,0.02476-0.027782i,-0.0094434-0.00010595i,-0.0015469-0.00017901i,-0.0085165-0.0010596i,-0.0060406-0.029654i,-0.020585+0.026361i,0.0072916-0.0097725i,-0.010826-0.0032169i,-0.0026033-0.0017448i,-0.00045636-0.015038i,-0.0079334+0.0051746i,0.0062176+0.010122i,-0.010318+0.029236i,0.0066015+0.0077766i,-0.0035814-0.0016235i,-0.0022479-0.0014717i,-0.013194-0.0059202i,0.00040988-0.0044347i,-0.033488+0.0036364i,0.0032323-0.0086365i,-0.0072726-0.0020969i,-0.0052813-0.0032342i,0.0070585+0.0017427i,-0.010267+0.00043076i,0.0022057-0.00050371i,0.0059453+0.0082654i,0.0054745+0.0013916i,-0.0079454-0.0096137i,0.0028821+0.0079141i,-0.019666+0.0074593i,0.002867+0.0055217i,-0.021025-0.0089291i,-0.027444-0.0047735i,0.0087358-0.062415i,0.018491-0.015258i,-0.050539-0.02824i,-0.021919+0.00058183i,0.019046+0.010538i,-0.026968+0.012076i,-0.012576-0.0078431i
-0.012025+0.014503i,-0.023592+0.044282i,0.0012921+0.041394i,-0.0097975+0.025827i,-0.00020037+0.021763i,0.0011393+0.024143i,-0.027038+0.01492i,-0.027259+0.033458i,0.0010485+0.016815i,-0.0015238-0.00096713i,-0.0010472+0.0016673i,0.0040424+0.0036708i,0.0032562+0.0048788i,-0.0033302+0.0017304i,-0.0032033+0.003595i,0.0010571-0.0074451i,-0.0078803-0.00089146i,-0.0019674+0.00030214i,0.000129-0.0012982i,-0.0010807-0.00040646i,0.0008285-0.0034259i,0.0012236-0.0026393i,0.0010792-0.0015532i,-0.0093431-0.0099352i,-0.00010842-0.00032915i,-0.0013376+0.00032969i,-0.002528+0.00011238i,-0.0026755-0.00020142i,-0.00090743-0.00090022i,0.0010738-0.00053337i,-0.0017639+0.00032783i,0.0015769-0.00015127i,0.0021782-0.00035981i,0.00075811+0.00042465i,-0.00025344+0.0018384i,-0.00053992-0.0075919i,-0.00138+0.00098509i,0.0018701+0.00015837i,0.0009376+0.0031852i,0.0048289+0.0059366i,0.0011715-0.0014108i,-0.0018249-0.00084927i,-0.001501-0.0030587i,0.0028648+0.0058427i,-0.009207+0.0079284i,0.017344-0.059762i,-0.075605+0.014766i,-0.029655-0.017556i,-0.062221-0.046633i,-0.053711-0.016635i,-0.086827+0.0039589i,-0.075036+0.0026229i,-0.047183-0.035057i,-0.0095595-0.044985i,-0.039441-0.023686i,-0.0061492+9.9907e-05i,-0.03148+0.01017i,0.0077119+0.011222i,0.0099294+0.0068412i,0.001487-0.0071097i,0.011168+0.0027009i,-0.011376-0.0029297i,0.0029623+0.011562i,0.0024303+0.0068444i,5.3109e-05-0.0012806i,0.0054833+0.0017022i,0.0040283+0.00063934i,-0.0044653+0.019045i,0.00017495+0.0094853i,0.00046913-0.0037472i,0.0079032-0.0059267i,0.0011771+0.004088i,-0.0084893-0.0073584i,-0.0021197-0.00098846i,0.019762-0.031519i,0.0054054+0.0089331i,0.0017082+0.0026701i,-0.0018099+0.0041352i,0.0027403-0.0036014i,0.019491+0.0028908i,0.0012502-0.0020379i,-0.0030468-0.0065994i,-0.00047323-0.0019467i,0.011049+0.0056292i,0.005216-0.00073155i,0.0031328-0.0082607i,0.00429+0.004685i,-0.0056383+0.0024045i,0.013999+0.0063382i,-0.042826-0.038926i,-0.011899+0.0044251i,-0.0020567-0.0013997i,-0.00067665+0.0029721i,-0.04045+0.011513i,-0.0065609+0.0086017i,-0.012824+0.0039179i
-0.0090219+0.015362i,-0.015955+0.045154i,0.010675+0.03523i,-0.0046362+0.026316i,0.0028406+0.019413i,0.0057213+0.022795i,-0.02596+0.019564i,-0.019414+0.035977i,0.003912+0.011093i,-0.00179-0.00012571i,-0.00019382+0.002937i,0.0046413+0.0013016i,0.0041055+0.0030613i,-0.0017586+0.0029619i,-0.0023821+0.0046952i,-0.003409-0.0057531i,-0.0087917+0.0035335i,-0.0016946+0.0010662i,0.00070686-0.00082357i,-0.00049592-5.1921e-06i,-0.00012388-0.0032859i,0.0010757-0.0021186i,0.00082249-0.0014961i,-0.011504-0.0064923i,0.00017521-0.0002587i,-0.0013171+0.00067367i,-0.0017419+0.0010463i,-0.0023896+0.00072074i,-0.0012111-0.00065143i,0.001099-0.00071084i,-0.0015067+0.0012996i,0.0010714-0.00043784i,0.0010548-0.0017272i,0.0003184+0.00037555i,-0.00082815+0.0013769i,-0.00061966-0.0058653i,-0.00090219+0.0010797i,0.00086544-0.00048829i,0.0014123+0.0025869i,0.0057598+0.0031181i,0.00069575-0.0019159i,-0.0026187-0.00050857i,-0.0030625-0.0019872i,0.0043753+0.0050312i,-0.0072257+0.0060164i,-0.001481-0.068622i,-0.066654+0.029732i,-0.036606-0.01986i,-0.074795-0.037498i,-0.053933-0.0051215i,-0.077885+0.021657i,-0.071886+0.017624i,-0.041445-0.033373i,-0.015301-0.043381i,-0.043737-0.0091029i,-0.007133+0.00014785i,-0.024794+0.023102i,0.010115+0.0056373i,0.011939+0.00086615i,-0.0030833-0.011398i,0.0076526+0.0019947i,-0.010869+0.0029059i,0.0079101+0.0097979i,0.0040168+0.0076672i,-0.00065938-0.00088525i,0.0063801+0.0020928i,0.0051618+0.0004399i,0.0042226+0.015948i,0.0040643+0.0056257i,-0.0032602-0.0050071i,0.001797-0.0066789i,0.0029435+0.0049262i,-0.011089-0.00041719i,-0.0019607+0.0017982i,0.0069596-0.03168i,0.008186+0.0076023i,0.0038916+0.0021369i,0.0017075+0.0031426i,-0.0003993-0.0016828i,0.017242-0.0061903i,-0.00044889-0.0025494i,-0.0063156-0.00408i,-0.0029716-0.00083145i,0.010345+0.00032966i,0.004538-0.00032077i,0.00034339-0.0062156i,0.0060727+0.0032747i,-0.005749+0.004535i,0.013649+0.0012615i,-0.050098-0.032677i,-0.0065472-0.0042522i,-0.0023231-0.0018288i,0.0010926+0.0017493i,-0.033993+0.022947i,-0.0045753+0.010063i,-0.010448+0.0060661i
-0.0056888+0.01529i,-0.0088458+0.045863i,0.015689+0.027544i,0.00019011+0.024896i,0.0065134+0.018177i,0.0098079+0.020326i,-0.022492+0.024368i,-0.011853+0.036467i,0.0027542+0.0072867i,-0.0017926+0.0011025i,0.0017772+0.0032379i,0.0023333-2.2031e-05i,0.0043829+0.001807i,-0.00081054+0.0030399i,-0.0010657+0.005615i,-0.0067811-0.0016954i,-0.0069771+0.0078489i,-0.00076093+0.0016071i,0.0013575-0.0014788i,0.00015269-0.00032506i,-0.0010941-0.0030972i,0.00099865-0.0028373i,0.00068113-0.0015993i,-0.01294-0.0028177i,1.5145e-05-0.00030227i,-0.00086605+0.0013743i,-0.00087106+0.00078423i,-0.0015242+0.0016593i,-0.0012706-0.00051702i,0.00067792-0.001429i,-0.00067883+0.0017294i,0.00065389-0.00061089i,0.0003259-0.0012533i,0.00054537+0.00020302i,-0.00039941+0.0023259i,-0.00012922-0.0059655i,-0.00083161+0.00087555i,0.00029578-0.00067048i,0.0027799+0.00089699i,0.0054246+0.0010815i,-1.1764e-06-0.0020559i,-0.0016409+0.00058589i,-0.0041566-0.00045866i,0.0052973+0.0033726i,-0.0068561+0.0048566i,-0.023762-0.068206i,-0.052668+0.038851i,-0.045284-0.016371i,-0.082457-0.022596i,-0.049285+0.0037064i,-0.063038+0.032749i,-0.058681+0.03036i,-0.044938-0.035097i,-0.02031-0.042057i,-0.042949+0.0045898i,-0.0073668+0.0013006i,-0.012686+0.028558i,0.010499+0.001016i,0.0084202-0.0054082i,-0.013128-0.011335i,0.0075092+7.2034e-05i,-0.0077698+0.0065817i,0.010699+0.0039217i,0.0064822+0.0063546i,-0.0026047+0.00050584i,0.0066304-0.0016733i,0.0064975-0.001935i,0.0079028+0.010091i,0.0042607+0.0017571i,-0.0080249-0.001892i,-0.00044683-0.0047416i,0.0057853+0.0038416i,-0.0067866+0.0086071i,0.0004933+0.0030898i,-0.0037374-0.027626i,0.011721+0.003319i,0.0037496+0.00034995i,0.0024579+0.0012016i,0.00059442+0.00024669i,0.011059-0.011089i,-0.0024882+0.00027116i,-0.0073635-0.00059322i,-0.003692+0.0027151i,0.0067579-0.002473i,0.0070978-0.0015782i,0.00022598-0.0059825i,0.008543+0.00052124i,-0.0027369+0.0059284i,0.01193-0.0029302i,-0.05499-0.021289i,-0.011763-0.012426i,-0.0016749-0.0027562i,0.0034291-0.00044499i,-0.024705+0.029286i,-0.0027825+0.0055473i,-0.006511+0.0021646i
-0.0027777+0.014048i,-0.00083442+0.04595i,0.017808+0.020358i,0.004804+0.023529i,0.010686+0.014692i,0.013376+0.016893i,-0.017528+0.027871i,-0.0055366+0.033691i,0.0019246+0.0062663i,-0.000946+0.002038i,0.0028044+0.0020596i,0.0012133+0.0015495i,0.0042533+0.0006014i,-0.00071828+0.0036054i,0.000487+0.0058781i,-0.0066664+0.0036734i,-0.0026517+0.010844i,9.3461e-05+0.0013774i,0.00060138-0.0021087i,-6.4199e-05-0.0010137i,-0.0017758-0.0025188i,0.00029464-0.0030821i,0.00046263-0.0021194i,-0.012887+0.0016274i,1.9941e-05-0.00041226i,9.5592e-05+0.00099029i,-0.00070494+0.00042952i,-0.00028114+0.00155i,-0.0015351+2.3749e-05i,-0.00018003-0.0013725i,-4.415e-05+0.0016459i,0.00015457-0.00076986i,-0.00026311-0.00099927i,0.00053683+2.3081e-05i,0.00090468+0.002106i,-0.00059919-0.0076025i,-0.00029852+0.0012951i,-0.00032575-0.00051865i,0.0018986-0.0010241i,0.0050221-0.00047458i,-0.00062623-0.0019514i,-0.00088018+0.00037576i,-0.0041638+0.0015354i,0.0047171+0.00095247i,-0.0070825+0.0049345i,-0.04277-0.055989i,-0.039223+0.041371i,-0.051569-0.0084296i,-0.086057-0.0071295i,-0.043288+0.0091868i,-0.050012+0.036485i,-0.045044+0.032951i,-0.04923-0.029701i,-0.025327-0.037895i,-0.038026+0.015596i,-0.0077565+0.0028788i,-0.0016308+0.028514i,0.0090971-0.0034849i,0.0028244-0.0069902i,-0.020018-0.0032455i,0.0045436-0.00086441i,-0.0037597+0.007621i,0.0091883-0.0016908i,0.0085467+0.0046917i,-0.0024868+0.0032255i,0.003437-0.0026776i,0.0055308-0.0061564i,0.0072111+0.0041303i,0.0017315-0.00018027i,-0.0081011+0.002073i,-0.0018793-0.0035029i,0.0069011+0.0013938i,0.0025638+0.01007i,0.00205+0.001968i,-0.0096556-0.021194i,0.011645-0.001215i,0.0035006-0.0011478i,0.0028465+0.0014624i,0.00090096-0.00021545i,0.0056955-0.011026i,-2.7925e-05+0.0026283i,-0.0069402+0.0027751i,-0.00067425+0.0048061i,0.0047671-0.0022336i,0.0067081-0.0058636i,-0.0021661-0.005498i,0.007665-0.0046132i,-0.0011299+0.0053041i,0.009943-0.0069989i,-0.053717-0.0087829i,-0.022114-0.01436i,-0.0028339-0.0065606i,0.0040235-0.0056291i,-0.015856+0.029182i,-0.0067609+0.0042598i,-0.0093796-0.0001022i
-0.0010363+0.012748i,0.0064569+0.043809i,0.017503+0.014791i,0.0093018+0.020713i,0.013065+0.0099934i,0.015523+0.012974i,-0.011584+0.029674i,-0.0015589+0.030893i,0.0024138+0.0060036i,0.0003794+0.0023282i,0.002964+0.0011999i,0.0021205+0.0025261i,0.0039482-0.00038381i,0.00080492+0.00454i,0.0021158+0.0056157i,-0.0039315+0.0071203i,0.0024428+0.011378i,0.00056769+0.0010806i,0.00042292-0.0021181i,-0.0006627-0.0011492i,-0.0025458-0.0018815i,-0.00048161-0.0028716i,-0.00036245-0.0024302i,-0.010421+0.0051732i,-0.00042967-0.00065397i,7.5904e-05+0.00020503i,-0.00077365+0.00040707i,0.00022246+0.00086307i,-0.0013082+0.00091366i,-0.00027361-0.00085051i,0.00048332+0.0016299i,-6.1664e-05-0.0010293i,-0.00085196-0.00044359i,0.0003587-0.00011017i,0.0011438+0.001388i,-0.0034288-0.0091036i,-0.00016451+0.0012985i,-0.0003773+0.00023138i,0.00070837-0.001196i,0.0043051-0.0013263i,-0.0010942-0.0018616i,-0.00069057+0.00038991i,-0.0027877+0.0030088i,0.0033886+0.0012318i,-0.006546+0.0059191i,-0.049702-0.038426i,-0.029105+0.039773i,-0.055499+0.001755i,-0.08707+0.0097203i,-0.038652+0.010385i,-0.039013+0.037498i,-0.035392+0.032636i,-0.050971-0.024673i,-0.027677-0.034342i,-0.030526+0.025282i,-0.0071816+0.0046806i,0.011092+0.024338i,0.0066098-0.0058353i,-0.0018642-0.0056446i,-0.021205+0.005105i,0.0033633-0.00044224i,-0.00020628+0.0082986i,0.0043321-0.0035398i,0.010286+0.002127i,-0.00088571+0.0051655i,0.0013664-0.0013791i,0.0026576-0.0087556i,0.0042245+0.0024586i,-0.00047589+0.00097972i,-0.0078942+0.0065244i,-0.0029871-0.0012167i,0.0069093-0.0013139i,0.0070894+0.0054755i,0.0026053+0.00081017i,-0.012295-0.018304i,0.0097201-0.0055673i,0.0025447-0.0022204i,0.0045751+0.00027638i,0.0011345-9.7591e-05i,0.002809-0.0098179i,0.0022213+0.0017404i,-0.0041709+0.0061212i,0.0019137+0.0043372i,0.0043861-0.0023456i,0.0035603-0.010144i,-0.0029923-0.0039198i,0.0033384-0.0077081i,-0.00065276+0.0045178i,0.0050962-0.010852i,-0.047873-0.0019855i,-0.032945-0.0061999i,-0.0055569-0.0084918i,0.001432-0.011019i,-0.0092121+0.029219i,-0.0098519+0.0069911i,-0.010951+0.001878i
0.00045684+0.011704i,0.01246+0.04124i,0.01688+0.011725i,0.012571+0.016697i,0.013211+0.0052819i,0.01689+0.0094457i,-0.0052489+0.029532i,0.001586+0.029389i,0.0033292+0.0043837i,0.0010215+0.0016277i,0.0025608+0.00048897i,0.0031425+0.0025011i,0.0033383-0.001222i,0.0026093+0.0038288i,0.0033609+0.0048248i,-0.00047554+0.0087012i,0.0071582+0.009042i,0.0009459+0.00079611i,-0.00023529-0.0024847i,-0.0012289-0.001037i,-0.0026989-0.0006769i,-0.00090093-0.0026661i,-0.0010789-0.0021006i,-0.0082568+0.0063583i,-0.00088606-0.00053729i,-0.00025204+5.1429e-05i,-0.00092692+0.00052486i,0.00038949+0.0002305i,-0.00051905+0.0012164i,-0.00026073-0.00073664i,0.0010899+0.0014285i,-0.0005789-0.0011121i,-0.0010363+0.00034282i,0.00010312-0.00020579i,0.0013039+0.0013646i,-0.0071323-0.0081472i,5.2776e-05+0.00095173i,6.6098e-05+0.00038232i,8.4362e-05-0.00096032i,0.0034455-0.0019726i,-0.0014691-0.0012122i,-0.00062588+0.00042966i,-0.001079+0.0033966i,0.0037206+0.0018896i,-0.0051946+0.0071045i,-0.048092-0.025946i,-0.021688+0.037872i,-0.055377+0.01488i,-0.081829+0.030002i,-0.039172+0.011001i,-0.030357+0.036158i,-0.027315+0.031422i,-0.051666-0.018542i,-0.031098-0.031506i,-0.021704+0.02929i,-0.0066049+0.0066587i,0.017701+0.010654i,0.0044527-0.008071i,-0.0048859-0.0021321i,-0.017416+0.013957i,0.0032204-0.0011135i,0.0041846+0.0058762i,0.0014852-0.0016319i,0.011573-0.0021518i,0.0011992+0.0060674i,0.00099389-0.00026205i,-0.0030942-0.010688i,0.0024263+0.0045013i,-0.00044022+0.0032156i,-0.0026157+0.011857i,-0.0017403+0.00085995i,0.0057132-0.0028895i,0.0078291+0.0015095i,0.0032388-0.00091345i,-0.01837-0.017078i,0.006196-0.0076866i,0.00097346-0.0026143i,0.0043779-0.0021556i,0.0011101+0.00061754i,0.0019289-0.0079144i,0.0028235+6.7537e-05i,-0.00060927+0.0068005i,0.0036811+0.002034i,0.0033327-0.0030829i,-0.0026906-0.010556i,-0.003366-0.0034152i,0.00013959-0.006461i,0.00017334+0.0037141i,-0.0011776-0.010677i,-0.045031+0.0024439i,-0.03008+0.0092044i,-0.0085274-0.009065i,-0.0037531-0.013046i,-0.0040433+0.027891i,-0.0085848+0.012229i,-0.008324+0.0032093i
0.0018262+0.010659i,0.018597+0.038606i,0.017209+0.0093426i,0.014233+0.012232i,0.011961+0.0019345i,0.017892+0.005923i,0.00027929+0.027918i,0.0047132+0.028442i,0.003732+0.0029708i,0.0011464+0.0012573i,0.0022364+0.00064699i,0.0047124+0.0022197i,0.0024307-0.0017074i,0.0034804+0.0021299i,0.0041958+0.0038275i,0.0027976+0.0086411i,0.010022+0.0048087i,0.0013459+0.00052013i,-0.00094468-0.0024712i,-0.0016252-0.00049388i,-0.0021745+0.00025109i,-0.0015917-0.0025176i,-0.0014845-0.001581i,-0.0068701+0.0082976i,-0.0010294-8.9697e-05i,-0.00054943+0.0003306i,-0.00088699+0.00082806i,-0.00012075-0.00025136i,-0.00013351+0.00085922i,-0.00046078-0.0007899i,0.0016441+0.00086093i,-0.00069125-0.00044064i,-0.00040383+0.00033824i,-3.8898e-05-0.00015831i,0.0017545+0.00053065i,-0.01027-0.0067347i,0.00024604+0.00069196i,0.00010341-0.00014922i,-0.00035392-0.00070239i,0.0026207-0.0025158i,-0.0014352-0.0006794i,-0.00021473+0.00050616i,-0.00014229+0.002762i,0.0042328+0.0011448i,-0.0031441+0.0074513i,-0.046089-0.020602i,-0.016339+0.036413i,-0.049395+0.026803i,-0.070122+0.046407i,-0.03926+0.016658i,-0.023864+0.035324i,-0.021927+0.028788i,-0.051776-0.013919i,-0.033523-0.026435i,-0.014291+0.032064i,-0.0039413+0.0074929i,0.01239-0.0017032i,0.00072904-0.01032i,-0.0050233+0.0011203i,-0.011521+0.017951i,0.0016842-0.0021876i,0.005188+0.0015258i,0.0019385-0.00061225i,0.0096655-0.0055224i,0.0050617+0.0060925i,0.0011836+0.0011618i,-0.0082611-0.0051942i,0.0041861+0.0060489i,0.00099151+0.0049199i,0.0035234+0.011069i,-0.00084269+0.00109i,0.0043195-0.0042947i,0.0078981-0.0035837i,0.0013843-0.0021207i,-0.025242-0.011363i,0.0031156-0.0086556i,-0.00034135-0.0016084i,0.004028-0.001263i,0.0017005+0.00047035i,0.0023046-0.0090503i,0.0020465-0.0013743i,0.0021169+0.005259i,0.0034708+0.00076513i,0.0032165-0.0025077i,-0.0062952-0.006763i,-0.0048534-0.0026952i,-0.0018831-0.0064634i,0.000288+0.0025555i,-0.004795-0.0076025i,-0.041658+0.0076683i,-0.023365+0.010343i,-0.0086456-0.0084605i,-0.0082522-0.012193i,0.0016462+0.025003i,-0.0062604+0.013321i,-0.0077743+0.0027148i
0.0029158+0.0095281i,0.024499+0.035152i,0.018212+0.0072402i,0.014548+0.0085565i,0.010173-0.0001304i,0.018162+0.0024092i,0.0048389+0.025512i,0.0087841+0.026635i,0.003845+0.001193i,0.0013199+0.0010172i,0.002788+0.00080113i,0.0059979+0.00029731i,0.0015617-0.0018056i,0.0029636+0.0010531i,0.0049405+0.0029734i,0.0056496+0.0066744i,0.010339+0.0010607i,0.0017269-0.00023094i,-0.0017026-0.0022348i,-0.0015456+0.00045287i,-0.0014902+0.00080701i,-0.0021222-0.0016987i,-0.0016034-0.0011625i,-0.0034633+0.0095917i,-0.00089328+0.00034708i,-0.00035185+0.0007333i,-0.00076916+0.0013533i,-0.00079735-6.1385e-05i,-3.8984e-06+0.00078326i,-0.00065145-0.0005915i,0.0017445+0.00014656i,-0.00032751-0.00046681i,-0.00048988+0.00015474i,-0.00019505-9.7232e-05i,0.0014934-0.00021907i,-0.012039-0.0029103i,0.00038394+0.0006102i,-0.00018552-0.00014642i,-0.00080548-0.00044087i,0.0018652-0.0026362i,-0.0010937-0.00052681i,-7.0554e-05+0.00030701i,0.00015778+0.0023002i,0.0044311+0.00052246i,-0.0014957+0.0065589i,-0.048194-0.016527i,-0.011935+0.034673i,-0.041395+0.036013i,-0.054799+0.056691i,-0.03783+0.022261i,-0.017226+0.033723i,-0.017948+0.027487i,-0.052518-0.0092328i,-0.034601-0.020687i,-0.0059842+0.033107i,-0.0020575+0.0072091i,0.0050146-0.0037435i,-0.0038474-0.010406i,-0.003405+0.0044064i,-0.0049212+0.018482i,-0.00073198-0.0024765i,0.003635-0.0019459i,0.0013418-0.00016966i,0.0067443-0.0087115i,0.0076463+0.0034473i,0.0025717+0.0016172i,-0.0086562-0.0012405i,0.0066633+0.0062173i,0.0034554+0.0057183i,0.0085948+0.0081471i,-0.00028807+0.0015735i,0.0035144-0.0053255i,0.004896-0.0083326i,0.00033626-0.00058947i,-0.029602-0.0012494i,0.001567-0.0094793i,-0.00035624-0.00033474i,0.0047845-0.0012116i,0.0021519+4.8722e-05i,0.000992-0.011372i,0.00055208-0.0015702i,0.0038816+0.003921i,0.003577-0.00020403i,0.0043072-0.0033226i,-0.0079294-0.0038549i,-0.0066066-0.00010472i,-0.0059177-0.0047625i,0.00021352+0.0015341i,-0.006187-0.0046024i,-0.037902+0.01111i,-0.021728+0.010998i,-0.0084466-0.010102i,-0.011645-0.0097441i,0.0021299+0.022186i,-0.005418+0.013341i,-0.0069594+0.0027523i
0.004083+0.008545i,0.030809+0.030346i,0.020044+0.0045009i,0.014387+0.0056524i,0.0090693-0.00073429i,0.017854-0.000906i,0.0085065+0.022132i,0.013714+0.024463i,0.003235-0.00031325i,0.0013801+0.00067289i,0.0032817-4.8281e-05i,0.005413-0.0026058i,0.0010092-0.0015229i,0.0028546+0.00054413i,0.005645+0.0017188i,0.0067015+0.0040061i,0.0092483-0.0024548i,0.0012085-0.0010687i,-0.0026053-0.0015621i,-0.00075481+0.00096223i,-0.00061398+0.00085i,-0.0020828-0.0011455i,-0.001788-0.00073791i,-5.7944e-05+0.0093128i,-0.00059617+0.00053833i,-3.6962e-05+0.00073617i,-0.00020468+0.0016501i,-0.00088549+0.00054497i,0.00030235+0.00038758i,-0.00070298-0.00049705i,0.0015227-0.00050942i,-0.00066605-0.00050059i,-0.00052445+0.00034397i,-0.00033952+5.2352e-05i,0.0010715-0.0007078i,-0.011873+0.00094012i,0.0003413+0.00049611i,-0.00015793-2.8687e-05i,-0.0011019+7.5748e-05i,0.0012854-0.0027743i,-0.0010164-0.0013081i,3.1467e-05+6.2446e-05i,0.00028148+0.0021458i,0.0045498-0.00041445i,-0.00074154+0.0057832i,-0.052301-0.0091824i,-0.0078776+0.033079i,-0.030266+0.041413i,-0.039853+0.063022i,-0.035044+0.02998i,-0.011044+0.030337i,-0.011702+0.025909i,-0.05248-0.0031479i,-0.033463-0.014997i,0.0014017+0.032557i,-0.0014891+0.0064694i,0.00070042-0.0041474i,-0.0085698-0.0090701i,0.00052722+0.0053141i,-0.00017761+0.016651i,-0.0033555-0.0012719i,0.0025476-0.0026513i,0.0023772+0.0017582i,0.0019819-0.010419i,0.0090393-0.00089227i,0.0038545+0.0010474i,-0.0084508+0.0033233i,0.010259+0.0048722i,0.007145+0.0042549i,0.011726+0.0030375i,0.00076022+0.0020906i,0.0019326-0.0062261i,-0.0012194-0.0082679i,0.001309+0.00086366i,-0.026989+0.012004i,-0.0010487-0.0074243i,0.00044388+0.00078526i,0.0053819-0.0047044i,0.0026418-0.00035352i,-0.0040428-0.012927i,-0.00039893-0.00097436i,0.0048429+0.0019952i,0.0032813-0.0008282i,0.0036507-0.0048365i,-0.0080793+0.00056635i,-0.006036+0.0034721i,-0.0073888-0.0004785i,-0.0009226+0.00011149i,-0.0063783-0.0022513i,-0.034707+0.013936i,-0.019874+0.015638i,-0.010775-0.014129i,-0.011688-0.0067038i,0.0044302+0.021992i,-0.0056783+0.015327i,-0.0054119+0.0012924i
0.0052548+0.0070851i,0.035691+0.023665i,0.021183+5.6362e-05i,0.01394+0.0032155i,0.0088529-0.0012133i,0.017264-0.0039153i,0.01079+0.018534i,0.01783+0.021008i,0.0022247-0.0013094i,0.0012269+0.00057162i,0.0030217-0.00089746i,0.0032099-0.0038416i,0.00067845-0.0014077i,0.0024784+2.0526e-05i,0.0057666+0.00023013i,0.0062965+0.0020937i,0.0072604-0.0042479i,0.00064263-0.0012711i,-0.0028445-0.00059507i,1.234e-05+0.00091645i,0.00020087+0.00054717i,-0.0020628-0.00090748i,-0.0017282-0.00030467i,0.0027162+0.0087513i,-0.00039315+0.00053362i,0.00016306+0.00070478i,0.00047893+0.0013662i,-0.00040527+0.00086479i,0.00020426-6.2443e-05i,-0.00095984-0.00033283i,0.0011184-0.00093635i,-0.00097693-8.0044e-05i,-0.00029625+0.0006173i,-0.00031007+0.00027839i,0.00056954-0.0010696i,-0.01114+0.0042738i,0.00037143+0.00037473i,-0.00022331-0.00012584i,-0.0010308+0.00091987i,0.00044757-0.0029937i,-0.00091602+0.00019691i,-6.1337e-05-0.00033253i,0.00067957+0.0022891i,0.0045237-0.0012608i,7.2638e-05+0.0053964i,-0.053628+0.0019756i,-0.0051384+0.03149i,-0.020495+0.042259i,-0.023375+0.066843i,-0.028394+0.038479i,-0.0075713+0.02548i,-0.0077218+0.020479i,-0.049713+0.0026098i,-0.030834-0.0092634i,0.0096553+0.029426i,-0.0012653+0.0061994i,-0.0046263-0.0027948i,-0.011987-0.0059104i,0.0032514+0.0030513i,0.0037708+0.015706i,-0.0061259+0.0011786i,-0.00053388-0.0059315i,0.0049579+0.00041947i,-0.0029175-0.009298i,0.0068289-0.0045347i,0.0050158-0.00068121i,-0.006927+0.0068917i,0.012792+8.9724e-05i,0.0085314-0.00046295i,0.011641-0.0037256i,0.0023584+0.0017613i,-0.00016166-0.0063203i,-0.004452-0.0051227i,0.002878-0.00016193i,-0.027216+0.028161i,-0.0034241-0.0064865i,0.0018648+0.00098521i,0.0024472-0.0065422i,0.0027462-0.00081431i,-0.0097976-0.01011i,-0.00012248+0.00051155i,0.0050271-6.0754e-05i,0.0026781-0.001678i,0.0022833-0.005325i,-0.0064216+0.0040109i,-0.003339+0.0056528i,-0.007126+0.0034496i,-0.003011+0.00020899i,-0.0060566-0.00075877i,-0.030622+0.01834i,-0.011729+0.018699i,-0.016981-0.015297i,-0.010182-0.0059976i,0.0057744+0.020883i,-0.0031142+0.01877i,-0.0054855-0.0018169i
