-0.022369-0.038333i,-0.010172-0.050271i,-0.017128-0.045995i,-0.030997-0.036019i,-0.029694-0.017029i,-0.050908-0.028993i,-0.059165-0.026378i,-0.044288-0.038814i,-0.025448-0.029901i,0.007612+0.012265i,-0.0058599+0.016083i,-0.004985+0.014857i,0.010648+0.021803i,0.00012099+0.0048925i,0.0034766+0.0033679i,0.0069027+0.018687i,0.02364+0.037637i,-0.0027616-0.0014326i,-0.0050963-0.0062667i,0.0075331+0.0014637i,-9.6e-05-0.00083827i,-0.0012281+0.0023953i,0.00013916-0.00031774i,-0.029295-0.0018999i,-0.0018342-0.0057949i,0.001949+0.0048473i,0.0032119-0.0010963i,-0.00044997+0.00082434i,0.00055893-0.000281i,-0.00093057-0.0027475i,-0.0017409-0.0060513i,-0.004353-0.0046341i,-0.0029089-0.0050337i,0.002352-0.00037992i,0.0020909-0.0027788i,0.00026745+0.0274i,0.0013995-0.0033577i,0.0029057+0.00096854i,0.0057673+0.0011063i,-0.010324-0.0018843i,-0.0036086-1.3749e-05i,0.0047681-0.00037598i,0.0061532+0.00021339i,-0.0037017+0.0048514i,0.0020954-0.0094341i,-0.012061+0.018583i,0.035604-0.090492i,0.012429-0.070436i,-0.015781-0.0603i,-0.016007-0.056045i,0.038828-0.047323i,0.016828-0.06295i,0.034675-0.056078i,0.031484-0.059508i,0.014865-0.013799i,0.0039521+0.016931i,0.016438-0.026658i,-0.011336+0.0063181i,-0.00090652+0.0056934i,-0.0052501-0.00068039i,-0.0023461-0.028077i,-0.024094+0.031149i,0.010305-0.011012i,-0.012989-0.0027778i,-0.00016314-0.0050192i,-0.0016327-0.015935i,-0.0078553+0.0050049i,0.0051038+0.0058762i,-0.0074554+0.030373i,0.0054825+0.006243i,-0.0054281-0.00095968i,-0.0030675-0.00023351i,-0.011473-0.0081888i,-0.00042518-0.0043618i,-0.030709-0.0015046i,0.00036825-0.010152i,-0.0090364-0.001917i,-0.0066423-0.0026088i,0.007011+0.0031753i,-0.0077032+0.0012717i,0.00023436+0.00025637i,0.0057225+0.010709i,0.0038093+0.0013237i,-0.0088575-0.010543i,0.0032131+0.0082312i,-0.021009+0.0059219i,0.0085381+0.00020223i,-0.029276-0.0035451i,-0.042741+0.0030975i,0.018537-0.09716i,-0.0025005-0.011786i,-0.053025-0.023026i,-0.023588+0.0015678i,0.01769+0.010525i,-0.026002+0.013178i,-0.017761-0.013746i
-0.032629+0.017414i,-0.052653+0.019555i,-0.032246+0.04613i,-0.03142+0.024586i,-0.028647+0.040019i,0.0047205+0.047558i,-0.0031468+0.024228i,-0.017319+0.039354i,-0.013566+0.021089i,-0.0039385-0.0045188i,-0.0039129-0.0031185i,-0.0015023-0.0035567i,-0.0040431-0.001021i,-0.0069042-0.0046644i,-0.0020117+0.0042926i,-0.0031733-0.0016371i,-0.0093602-0.0067275i,-0.0013931-0.00030576i,0.0027754-0.00088304i,0.0021953-0.00077081i,0.0025792-0.0035123i,0.0022478-0.0038368i,0.0012539-0.0026268i,-0.0091642-0.0082242i,-0.0020246+0.00076933i,-0.0034759+0.0014723i,-0.0018901-0.00029984i,-0.0037088-0.000848i,-0.0012562-0.0012207i,0.0014305-0.0018209i,-0.0023373+0.0060701i,0.0015827-6.9242e-05i,0.0026727+9.8695e-05i,0.00085365+0.0016168i,-0.0012219+0.0033395i,-0.0010747-0.0065521i,-0.0021339+0.00057724i,0.00025653-0.00026395i,-0.00073331+0.0039794i,0.0074328+0.0040425i,0.0014036-0.0031767i,0.0031766-0.00499i,-0.0034036+0.0019136i,9.985e-05+0.0031959i,-0.033325-0.0059291i,0.011847-0.078298i,-0.093552-0.030036i,-0.052888-0.036505i,-0.075507-0.049737i,-0.058658-0.0051177i,-0.09386+0.018903i,-0.059412+0.011723i,-0.048916-0.02513i,-0.031501-0.056813i,-0.022422-0.028924i,0.0029927+0.0053154i,-0.01813+0.010979i,0.0091477+0.0034312i,0.011248+0.0043859i,0.00065855-0.00677i,0.0083402+0.00017191i,-0.0065331-0.0043266i,0.0031844+0.014842i,-0.001191+0.0090042i,0.0005902+0.0017015i,0.0055784+0.0035788i,0.0018311-0.00070339i,-0.0011301+0.015029i,-0.00053088+0.013301i,0.0030086-0.0048542i,0.010254-0.0070311i,0.0020343+0.002503i,-0.0077453-0.0072048i,-0.0023811-0.002664i,0.017149-0.024976i,0.0060856+0.0040059i,0.0031736+0.0044431i,-0.0038583+0.0023499i,0.0018793-0.0037948i,0.021936+0.0025769i,0.0020305-0.0026883i,2.0621e-05-0.0093341i,0.00035914-0.00263i,0.013736+0.0044652i,0.0043534-7.0082e-05i,0.0039163-0.0067506i,0.0027385+0.0089472i,0.0047044-0.0004373i,0.02506+0.0055428i,-0.080778-0.036194i,-0.0056198+0.018967i,0.0069852-0.0023767i,-0.0010052+0.0032061i,-0.036104+0.012524i,-0.0068325+0.0068029i,-0.017464+0.01294i
-0.028488+0.021472i,-0.048651+0.024495i,-0.021246+0.044412i,-0.027265+0.02871i,-0.021995+0.041355i,0.013551+0.044995i,0.00014512+0.023804i,-0.0093079+0.04086i,-0.0093274+0.018666i,-0.0053381-0.0021892i,-0.0043907-0.00089905i,-0.0025877-0.0040341i,-0.0048216-0.00038577i,-0.0071845-0.0019007i,-0.00077199+0.0051795i,-0.0054529+0.00056059i,-0.012724-0.0019723i,-0.0010913+0.0005776i,0.0032251-0.0016551i,0.0021815-0.0016376i,0.0013476-0.004003i,0.0015737-0.0040331i,0.00088361-0.0026176i,-0.010628-0.0047979i,-0.0010756+0.0010998i,-0.0036735+0.0026462i,-0.0013672+0.00041496i,-0.0033549+0.00043612i,-0.001676-0.00090597i,0.00078256-0.0019314i,1.1847e-05+0.0065157i,0.001155-0.00044758i,0.0021845-0.00085378i,0.00079095+0.001407i,-0.0010362+0.0027753i,-0.00093765-0.0058306i,-0.00064339+0.00057409i,-0.00065102-0.00046301i,-0.00053329+0.0044659i,0.0074647+0.00048403i,0.00024938-0.0033967i,0.0011501-0.0057583i,-0.0033548+0.0030757i,0.00078924+0.0032601i,-0.033551-0.0051092i,-0.011733-0.089126i,-0.090317-0.011492i,-0.062178-0.034488i,-0.087651-0.03863i,-0.057639+0.0049613i,-0.084049+0.036582i,-0.055082+0.023975i,-0.041235-0.024262i,-0.038348-0.052424i,-0.03141-0.018605i,0.0044376+0.0022311i,-0.011785+0.019702i,0.0091418-0.00049566i,0.011922-0.0021112i,-0.0039219-0.010911i,0.0038375-0.00011815i,-0.007865+0.00077685i,0.009138+0.012067i,0.00055663+0.011472i,0.00093175+0.0013533i,0.0069878+0.0039049i,0.0026059+0.00039207i,0.0054731+0.011634i,0.0066512+0.0088991i,-0.0018416-0.0068715i,0.0032394-0.008131i,0.0032235+0.0029089i,-0.009572+0.00029574i,-0.002908+7.7083e-05i,0.0064443-0.02532i,0.0072691+0.0030313i,0.0069563+0.0031419i,-0.00082441+0.0022175i,-0.00075379-0.0013109i,0.018873-0.0073923i,0.00016559-0.0034021i,-0.0050067-0.0074968i,-0.0029107-0.0016676i,0.011673-0.00097441i,0.0035678+0.00050748i,0.0016471-0.0047578i,0.0055945+0.00779i,0.0036422-0.001416i,0.02458-0.0022922i,-0.085808-0.026818i,0.0026472+0.0081502i,0.0068874-0.0030973i,0.00014757+0.0010202i,-0.028267+0.023321i,-0.0049771+0.0072093i,-0.014094+0.015414i
-0.023134+0.024325i,-0.045421+0.02954i,-0.01468+0.040439i,-0.022962+0.031207i,-0.014439+0.043336i,0.02156+0.040125i,0.0036697+0.023426i,-0.0016985+0.040183i,-0.0083394+0.016698i,-0.0057229+0.00034189i,-0.0034213+0.00095953i,-0.0060614-0.0035053i,-0.005079+0.0017262i,-0.0073342+0.00020036i,0.0011071+0.0056344i,-0.0061716+0.0041283i,-0.013333+0.0047648i,0.00023547+0.0012402i,0.003331-0.0035016i,0.0019597-0.0028556i,-3.3863e-05-0.0043618i,0.00052159-0.0046182i,0.00057117-0.0028867i,-0.011449-0.0017612i,-0.00084795+0.001143i,-0.002072+0.0041754i,-0.00094868+0.00034348i,-0.0025486+0.0016494i,-0.0020599-0.00064312i,-0.00033362-0.0026632i,0.0028549+0.0064917i,0.00073733-0.00058517i,0.0017159-0.0013363i,0.0014649+0.0008616i,-9.8966e-05+0.0034153i,-0.0010164-0.0064019i,-0.00071027+0.00044433i,-0.0010966-0.00020191i,0.0037272+0.0038432i,0.0056864-0.0019953i,-0.00080939-0.0030415i,0.00044569-0.0026865i,-0.0028698+0.0049138i,0.0014846+0.0018876i,-0.035995-0.0023645i,-0.041007-0.088165i,-0.080396+0.0018105i,-0.071955-0.026783i,-0.095088-0.023143i,-0.053142+0.013433i,-0.068998+0.048394i,-0.040781+0.033951i,-0.04507-0.025203i,-0.044619-0.048739i,-0.033658-0.0060647i,0.0046889-0.0010699i,-0.0016904+0.02183i,0.0082439-0.0034373i,0.0078268-0.0074385i,-0.01362-0.011651i,0.0025187-0.00048922i,-0.0048784+0.0053454i,0.012186+0.0064535i,0.0034679+0.012337i,0.00015636+0.0017498i,0.0077466-0.00059711i,0.0043407-0.001648i,0.007267+0.006324i,0.005855+0.0026833i,-0.0069134-0.003366i,0.00065267-0.0063089i,0.005277+0.0018295i,-0.0046819+0.0091805i,-0.0010319+0.0016273i,-0.0041215-0.023404i,0.009142-0.00017504i,0.00729-0.00031739i,0.0011528+0.0020952i,0.00062808+0.0005338i,0.011953-0.012745i,-0.0024379-0.00061117i,-0.0081903-0.0032096i,-0.003638+0.0016591i,0.0072547-0.0041073i,0.0066592-0.00063501i,0.0021125-0.0049068i,0.0092183+0.0046915i,0.0045619-0.0030036i,0.021463-0.0096595i,-0.089629-0.013153i,0.00016908-0.0011266i,0.0057799-0.0083209i,6.2454e-05-0.0020124i,-0.018364+0.027009i,-0.0055052+0.0031084i,-0.0013495+0.011601i
-0.017497+0.024875i,-0.041226+0.035448i,-0.011279+0.037148i,-0.018039+0.034507i,-0.0058961+0.042487i,0.027954+0.033632i,0.0078957+0.022658i,0.0053864+0.037588i,-0.0080842+0.017147i,-0.004874+0.0026785i,-0.0026218+0.0011775i,-0.0080958+0.00059448i,-0.0046037+0.0034464i,-0.0073588+0.0028386i,0.0028058+0.0049544i,-0.0045612+0.0079221i,-0.0096685+0.011196i,0.0012007+0.00027454i,0.0017624-0.0046701i,0.00033957-0.0041227i,-0.0016122-0.0040956i,-0.00064044-0.0046147i,-3.4375e-05-0.0034494i,-0.011302+0.0018085i,-0.00038985+0.00076258i,-4.6633e-05+0.0033571i,-0.00098432+0.00020656i,-0.0013801+0.0019182i,-0.0023977+0.00038934i,-0.0018599-0.0020256i,0.0041882+0.0043643i,0.0003261-0.00054802i,0.00082281-0.0018634i,0.0015972+0.00019577i,0.0016509+0.0030146i,-0.0020721-0.0075739i,-0.00052898+0.00084348i,-0.0013631+0.00035219i,0.0037336-0.0011624i,0.0038094-0.0026067i,-0.0011277-0.0026991i,0.00038985-0.0014881i,-0.0097737+3.2955e-05i,-0.00055289-0.0003956i,-0.038418+0.0021593i,-0.066363-0.071994i,-0.070569+0.0073121i,-0.079322-0.015095i,-0.099457-0.0065039i,-0.047098+0.019003i,-0.055116+0.054214i,-0.026453+0.03342i,-0.047659-0.019614i,-0.051182-0.041645i,-0.03184+0.0024691i,0.002462-0.0037923i,0.0064837+0.019407i,0.0067139-0.0061498i,0.0023686-0.0087665i,-0.022422+0.0085642i,-0.00041936+0.00062292i,-0.00092157+0.0051719i,0.011306+0.00042959i,0.0089102+0.011477i,0.00070484+0.0029003i,0.0048685-0.0023973i,0.0038801-0.0049084i,0.0059542+0.0020235i,0.002929+0.0006111i,-0.00689+0.00067425i,-0.0012673-0.0049617i,0.0057648-0.00049438i,0.0045407+0.0085811i,4.3701e-05+0.0010033i,-0.0074678-0.022901i,0.0081392-0.0033734i,0.0060342-0.0031441i,0.0014451+0.0020903i,0.0015783+0.00030437i,0.0064217-0.013159i,-0.000147+0.001522i,-0.0089221+0.0010488i,-0.0012878+0.003778i,0.0046497-0.0038352i,0.0062329-0.0045753i,0.00018169-0.005042i,0.0091338-0.00046633i,0.0028678-0.006016i,0.017133-0.016332i,-0.086804+0.0017799i,-0.0062978-0.0045783i,0.0035433-0.013947i,-0.0011008-0.0044444i,-0.012038+0.025564i,-0.009222+0.0031332i,-0.0073546+0.01274i
-0.01381+0.02462i,-0.036399+0.040761i,-0.010115+0.035863i,-0.011535+0.036481i,0.0011677+0.039688i,0.032319+0.026601i,0.012452+0.020382i,0.01116+0.034303i,-0.006162+0.01869i,-0.0026959+0.0043082i,-0.002703+0.0018736i,-0.00711+0.0042851i,-0.0036596+0.0049859i,-0.0056519+0.0055414i,0.0043862+0.0039254i,-0.0011928+0.010104i,-0.0037465+0.014456i,0.0010859-0.00051904i,0.00039219-0.0046174i,-0.0017235-0.0038534i,-0.0029583-0.0032686i,-0.0019971-0.0042024i,-0.001442-0.0034684i,-0.0091137+0.0043242i,-0.00082436+0.00028841i,0.00033172+0.0017223i,-0.0011804+0.00019094i,-0.00067423+0.0018582i,-0.0019125+0.0014493i,-0.0020796-0.00059723i,0.0061322+0.0021215i,0.00016566-0.00055505i,-0.00010603-0.0016759i,0.0012769-0.00037405i,0.0022158+0.0018057i,-0.0041197-0.0072656i,-0.00032197+0.0012871i,-0.00093013+0.0013547i,0.0011996-0.0014541i,0.0027193-0.0023969i,-0.0017042-0.0023644i,0.00026691-0.0015537i,-0.0018949+0.0041002i,-0.0033427+0.0013776i,-0.038435+0.0093327i,-0.076002-0.048338i,-0.06484+0.0088854i,-0.083889-0.0011545i,-0.10033+0.012237i,-0.042559+0.021733i,-0.041566+0.057575i,-0.016951+0.030191i,-0.048681-0.014901i,-0.054829-0.034627i,-0.027913+0.010618i,0.00015176-0.0051374i,0.014729+0.014138i,0.0045795-0.0076418i,-0.0025663-0.0073673i,-0.020487+0.012223i,-0.00056233+0.0028722i,0.0015858+0.0053966i,0.006914-0.0014143i,0.013597+0.0083097i,0.0018307+0.0030624i,0.0028698-0.0016051i,0.0017895-0.0071001i,0.0032205+0.0015616i,0.00063911+0.00163i,-0.0063488+0.004971i,-0.00282-0.0025326i,0.0051289-0.002505i,0.0097712+0.0026807i,0.00029069+0.00060909i,-0.01019-0.018471i,0.0061863-0.0057149i,0.0042226-0.004912i,0.0036099+0.0018589i,0.0021866+2.5774e-06i,0.0033355-0.012231i,0.0015516+0.0012359i,-0.0073416+0.0061922i,0.0011938+0.0034301i,0.0035288-0.0034615i,0.0029743-0.008785i,-0.00014728-0.0043438i,0.0063015-0.0045927i,-0.00082966-0.0070339i,0.0094136-0.022258i,-0.08078+0.011648i,-0.014393-0.0014257i,-0.0006659-0.016615i,-0.0026798-0.0065638i,-0.0076399+0.024697i,-0.0123+0.0062314i,-0.0062431+0.013072i
-0.010935+0.024819i,-0.030547+0.045637i,-0.0085591+0.037725i,-0.0050241+0.036159i,0.0056947+0.035684i,0.03547+0.019697i,0.01673+0.016496i,0.016224+0.030669i,-0.0034648+0.018889i,-0.0011566+0.0038298i,-0.0031495+0.0033727i,-0.0050572+0.0067546i,-0.0020814+0.0065674i,-0.0032743+0.0066989i,0.0051747+0.0023219i,0.0024196+0.010452i,0.0027396+0.014157i,0.00095954-0.00066864i,-0.0010079-0.0046828i,-0.0030777-0.0026443i,-0.0033784-0.001821i,-0.0028662-0.0032927i,-0.0023191-0.0026971i,-0.0071605+0.00515i,-0.0013432+0.00087207i,-0.00010016+0.0016042i,-0.0015433+0.00056531i,-1.9451e-05+0.0014743i,-0.0008954+0.001917i,-0.0017392+0.00013743i,0.0058301-0.00085288i,-2.03e-05-0.00062577i,-0.00060914-0.001291i,0.0008991-0.00084075i,0.0021617+0.0011743i,-0.0065385-0.006706i,-0.00013738+0.0012546i,0.00016711+0.0019319i,0.00030956-0.0013735i,0.0021457-0.0022617i,-0.0021019-0.001515i,-0.00052114-0.002275i,0.0004961+0.0048838i,-0.003449+0.0045084i,-0.036488+0.016371i,-0.074483-0.031509i,-0.062233+0.011352i,-0.083855+0.016i,-0.094511+0.033095i,-0.040956+0.024553i,-0.029864+0.05694i,-0.0094324+0.026028i,-0.048169-0.008892i,-0.058908-0.027727i,-0.023241+0.014303i,-0.0034777-0.0048795i,0.017691+0.0018952i,0.0027316-0.0093584i,-0.0059788-0.003645i,-0.013867+0.019985i,0.00066447+0.0035948i,0.0049624+0.0037216i,0.0054543-0.00023874i,0.017777+0.001216i,0.0028348+0.0031777i,0.0023735-0.0009058i,-0.0027273-0.0086478i,0.0022029+0.0028249i,0.00076471+0.003856i,-0.0016421+0.0081097i,-0.0019276-0.0002795i,0.0036297-0.00357i,0.0097876+0.0018026i,0.00106-0.00030725i,-0.015227-0.015948i,0.0033791-0.0068185i,0.0016937-0.0056708i,0.0036769-0.0001285i,0.0020517+0.00010764i,0.0016603-0.010847i,0.0022175+0.00010879i,-0.0028543+0.008639i,0.0022274+0.0017403i,0.0025185-0.0040157i,-0.0027391-0.0090132i,-0.0012323-0.0052528i,0.0030018-0.0051835i,-0.0028955-0.0068067i,-0.001154-0.022517i,-0.077071+0.019983i,-0.012893+0.0084432i,-0.0062059-0.016793i,-0.0057772-0.0073632i,-0.0050047+0.023859i,-0.011413+0.011287i,-0.0020878+0.012791i
-0.0075502+0.025355i,-0.023754+0.050337i,-0.0043656+0.040508i,0.00014707+0.034618i,0.0081641+0.033113i,0.037469+0.012397i,0.01974+0.011848i,0.019997+0.026616i,-0.00084068+0.019349i,-0.0006017+0.0037679i,-0.0019727+0.0057279i,-0.0022084+0.0085971i,7.4313e-05+0.0072723i,-0.00099832+0.0066775i,0.0052558+0.0008295i,0.0057014+0.0094586i,0.0077966+0.012004i,0.00092312-0.0007216i,-0.0024697-0.0040949i,-0.0035772-0.0010627i,-0.0031657-0.00062726i,-0.0035045-0.0024051i,-0.0028433-0.001896i,-0.006345+0.0065391i,-0.0012704+0.0016154i,3.8329e-05+0.0021042i,-0.0012823+0.0016441i,-9.5064e-05+0.00091693i,-0.0002422+0.0017685i,-0.0013144+0.00047048i,0.0037081-0.0030211i,9.8933e-05-0.0003264i,-0.00072367-0.0010315i,0.00049097-0.0011102i,0.0024369+0.00017256i,-0.0097136-0.004922i,0.00018948+0.0013225i,0.00085318+0.0015394i,-0.00041394-0.0013909i,0.0017471-0.0022429i,-0.0020004-0.00080624i,-0.001565-0.0018669i,0.0018945+0.0037877i,-0.0017198+0.0062724i,-0.032196+0.022035i,-0.073922-0.024289i,-0.061192+0.015872i,-0.077168+0.031491i,-0.082371+0.050366i,-0.038303+0.030441i,-0.020129+0.056335i,-0.0053265+0.021094i,-0.046743-0.0040423i,-0.061963-0.019036i,-0.019946+0.017266i,-0.0046627-0.0044688i,0.011173-0.0084297i,-0.0005618-0.010986i,-0.0066551-4.4907e-05i,-0.005098+0.021165i,0.0010796+0.0031715i,0.0065643-0.00035376i,0.0062161-0.00053848i,0.015693-0.0056173i,0.005038+0.0029951i,0.0024917+0.00034817i,-0.0072291-0.0038636i,0.003063+0.0040017i,0.0025868+0.005239i,0.0035407+0.0077997i,-0.0012118+5.8301e-05i,0.0024223-0.0039958i,0.0074576-0.0028307i,-9.5496e-05-0.00092869i,-0.021467-0.011985i,0.00088061-0.0066202i,-0.00062564-0.0044188i,0.0042293-0.00028178i,0.0019151-0.00045767i,0.00073503-0.011654i,0.0018505-0.0011864i,0.00091511+0.0071422i,0.0024513+0.0012896i,0.0021116-0.0033658i,-0.0056181-0.005474i,-0.0046594-0.0055938i,-0.00016293-0.0050353i,-0.0052004-0.0062063i,-0.0081151-0.018586i,-0.071235+0.02936i,-0.008044+0.0072458i,-0.0068344-0.015517i,-0.0081431-0.0063865i,-0.0015592+0.022431i,-0.0099828+0.013233i,-0.0004651+0.0098876i
-0.0040898+0.025197i,-0.015601+0.054068i,0.0017099+0.042774i,0.0045556+0.033437i,0.010625+0.031762i,0.037873+0.0051378i,0.021586+0.0067973i,0.023602+0.022548i,0.0023094+0.019459i,0.00014583+0.0040641i,0.00086969+0.0068417i,0.0013917+0.0085398i,0.0022639+0.0071095i,0.00051314+0.0065811i,0.0051546-0.00034948i,0.0086559+0.0071724i,0.011016+0.0084788i,0.0011508-0.0016602i,-0.0034487-0.0031418i,-0.0031934+0.00061349i,-0.0026203+0.0003202i,-0.0038362-0.0010043i,-0.0031366-0.0010218i,-0.0037709+0.0080695i,-0.00073996+0.0025243i,0.00098607+0.002263i,-0.00042725+0.0020286i,-0.00055562+0.0010172i,0.00026566+0.0018542i,-0.00095561+0.00074038i,0.0024162-0.0035941i,0.00043006-0.00078694i,-0.001166-0.00079991i,-6.0597e-05-0.0012386i,0.0018642-0.00090593i,-0.011148-0.0011558i,0.00049296+0.0012552i,0.0010728+0.0014088i,-0.0016211-0.00091905i,0.0016627-0.0020544i,-0.001744-0.00036403i,-0.0016905-0.00093521i,0.0025796+0.0026089i,0.00025282+0.0075061i,-0.027476+0.025212i,-0.078997-0.017493i,-0.059812+0.021904i,-0.068571+0.043267i,-0.066848+0.061367i,-0.034077+0.035487i,-0.010313+0.054476i,-0.0027366+0.018124i,-0.044996+0.00023068i,-0.062714-0.0088111i,-0.016035+0.020887i,-0.0060831-0.0033972i,0.0031196-0.0099214i,-0.0047976-0.010968i,-0.0053647+0.0038611i,0.0019389+0.018214i,0.00084297+0.0028881i,0.0054458-0.0043181i,0.0052683-0.0017929i,0.011536-0.01107i,0.0066115+0.00061565i,0.003582+0.00062195i,-0.00773-0.00015849i,0.0050086+0.0048803i,0.0048641+0.0052059i,0.0078642+0.0049575i,-0.00098758+0.00097551i,0.002018-0.0041198i,0.0040642-0.0079086i,-0.00057288+0.0006796i,-0.026588-0.0040028i,-0.00034765-0.0063394i,-0.0017835-0.0025585i,0.005512-0.0011026i,0.0016485-0.00087624i,-0.0022493-0.013008i,0.00078688-0.0015208i,0.0037397+0.0062047i,0.0032205+0.00048562i,0.0031147-0.0035891i,-0.0072017-0.0029289i,-0.0076275-0.0020557i,-0.0029357-0.0035728i,-0.0068738-0.0050127i,-0.012411-0.013649i,-0.064696+0.036234i,-0.0078556+0.0055449i,-0.0077698-0.01809i,-0.0094193-0.0047023i,-0.00010211+0.021927i,-0.0093836+0.015124i,0.00042999+0.0081497i
-0.00037319+0.025002i,-0.0058738+0.056078i,0.00977+0.043133i,0.0089786+0.032135i,0.014318+0.031493i,0.037349-0.0016092i,0.022062+0.0011211i,0.026827+0.017674i,0.0059942+0.01844i,0.00091461+0.003947i,0.0033547+0.005609i,0.0037802+0.0064484i,0.0042694+0.0063727i,0.0023329+0.0062705i,0.0048109-0.0015302i,0.009954+0.0036889i,0.012761+0.0040082i,-0.00016305-0.0024376i,-0.0045071-0.0016959i,-0.0019274+0.0014514i,-0.0016214+0.0005592i,-0.0034445+0.00014008i,-0.0031653-1.6049e-07i,-0.00093258+0.008153i,0.00026492+0.0028242i,0.0017077+0.001698i,0.00042717+0.002046i,-0.00027174+0.0016541i,0.00090485+0.0012932i,-0.00059483+0.00078429i,0.00074465-0.0044068i,-0.00010923-0.0010827i,-0.0014628-0.00019735i,-0.00064353-0.0010551i,0.00098427-0.0015209i,-0.01074+0.0030163i,0.00069396+0.0010889i,0.0014874+0.00105i,-0.0021867+0.00024484i,0.0014847-0.0024958i,-0.0016528-7.7435e-05i,-0.0016348-0.00090473i,0.0025549+0.0016814i,0.0025414+0.0078334i,-0.023069+0.028292i,-0.087092-0.0044866i,-0.055481+0.02763i,-0.057422+0.051736i,-0.051589+0.068685i,-0.029095+0.041886i,-0.00080469+0.050288i,0.0025934+0.014666i,-0.042951+0.0051539i,-0.060807+0.0014814i,-0.011755+0.024045i,-0.0078152-0.0020326i,-0.0027282-0.0092956i,-0.0092396-0.0096525i,-0.001421+0.0052982i,0.0050538+0.013862i,-6.4408e-05+0.0028631i,0.0033639-0.0079642i,0.0053815-0.0011383i,0.0046856-0.013846i,0.0067978-0.0027148i,0.0048018-0.00018607i,-0.0078169+0.0039206i,0.0081579+0.0040051i,0.0078331+0.0032737i,0.0098833+0.0008533i,0.00017293+0.001788i,0.0011227-0.0043484i,-0.00053462-0.0083811i,0.0009319+0.0022072i,-0.026645+0.0047574i,-0.0015015-0.0062314i,-0.0014135-0.00052894i,0.0063527-0.0047669i,0.0016787-0.00077058i,-0.0079409-0.012444i,-7.6202e-05-0.0011257i,0.0055155+0.0036327i,0.0034679-0.00010251i,0.0025889-0.0047349i,-0.0072747+0.0017286i,-0.0076088+0.0024312i,-0.0047955-0.0014353i,-0.0086091-0.0035312i,-0.014324-0.008561i,-0.059143+0.042555i,-0.0088149+0.0083563i,-0.011919-0.021757i,-0.0080397-0.0036749i,0.0029572+0.022162i,-0.0081267+0.018513i,0.0020764+0.0058075i
0.0036623+0.0239i,0.0039754+0.055488i,0.017809+0.040509i,0.01345+0.030134i,0.019233+0.030297i,0.036038-0.0080061i,0.020871-0.0042418i,0.028909+0.012257i,0.009069+0.016544i,0.0014406+0.0038939i,0.0043426+0.004146i,0.0043804+0.0045873i,0.005814+0.0047428i,0.0038754+0.0052508i,0.004061-0.0025884i,0.0094305+0.00068513i,0.012728-0.00028084i,-0.0011987-0.0019554i,-0.00433-0.00023649i,-0.00084772+0.0014316i,-0.00096453+0.00023087i,-0.0028621+0.00073529i,-0.0025568+0.00082817i,0.0013827+0.0081252i,0.0013032+0.0023757i,0.0021051+0.0011117i,0.0011794+0.0017463i,0.00063443+0.0018166i,0.00096668+0.00054863i,-0.00056345+0.00088728i,-0.001122-0.0040143i,-0.00072919-0.00094724i,-0.0013615+0.0004797i,-0.0010752-0.00063677i,0.00022259-0.001617i,-0.009251+0.0057157i,0.00093446+0.00068972i,0.001764+0.00023818i,-0.0019652+0.0013515i,0.00097247-0.00319i,-0.0014186+0.00018029i,-0.0019113-0.00099143i,0.0023792+0.0010748i,0.0052244+0.0075766i,-0.01858+0.030873i,-0.088919+0.015751i,-0.052871+0.031429i,-0.047002+0.056795i,-0.034613+0.073106i,-0.020541+0.048221i,0.005571+0.043307i,0.0053745+0.0071665i,-0.038712+0.0088978i,-0.055538+0.011907i,-0.0048857+0.025015i,-0.0089607+0.00069198i,-0.0083764-0.0061709i,-0.012303-0.0060855i,0.0015317+0.0035985i,0.0060011+0.010833i,-0.0018635+0.0042785i,-0.00042872-0.010531i,0.0065784-0.0032675i,-0.0020834-0.012326i,0.0047703-0.0051007i,0.0052952-0.002494i,-0.0060137+0.007081i,0.010525+0.00016203i,0.0088925-0.001347i,0.00873-0.0045294i,0.0023274+0.0013582i,-3.4632e-05-0.0044431i,-0.0038503-0.0047491i,0.0030979+0.0012102i,-0.029676+0.027794i,-0.0022333-0.0052354i,6.7163e-06+0.00061122i,0.0025869-0.0068755i,0.001779-0.00081481i,-0.012785-0.0081895i,7.918e-05-0.00017978i,0.0063147+0.0003886i,0.003162-0.001115i,0.0015017-0.0048729i,-0.0044006+0.0051662i,-0.0051865+0.0055766i,-0.0047524+0.0018891i,-0.010549-0.0011902i,-0.014939-0.0044183i,-0.051848+0.050998i,-0.0024365+0.011304i,-0.019777-0.021972i,-0.006772-0.0047652i,0.0055154+0.0212i,-0.0044054+0.021537i,0.0023929+0.0020321i
