-0.0075794-0.039351i,-0.011166-0.04466i,0.0027915-0.045838i,-0.027084-0.0282i,-0.020535+0.014292i,-0.032585-0.033194i,-0.06111-0.061759i,-0.022118-0.073095i,-0.038628-0.063052i,0.0017224+0.015146i,-0.0077386+0.01066i,-0.015659+0.013914i,0.0013857+0.016782i,-0.0038847-0.0030338i,0.00040784+0.0068748i,0.00064333+0.03963i,0.025951+0.059974i,0.00089216-0.00039512i,-0.0052029-0.0084574i,0.0079202+0.0051098i,0.0018026+0.00087112i,-0.00086268+0.0032881i,0.00018041-0.0013334i,-0.035848-0.0092012i,-0.0028537-0.0072232i,-0.00037003+0.0046357i,0.0046607+4.9016e-05i,0.00045553+0.00085801i,-0.00018432-0.0011456i,-0.00045996-0.0026804i,-0.0011632-0.0057165i,-0.0025168-0.0040807i,-0.00082554-0.0082943i,0.0032778-0.00094701i,0.0030501-0.0027788i,-0.0030323+0.034639i,0.0063068-0.0043577i,0.0037333-0.0022488i,0.0047619-0.00024884i,-0.026319-0.00079598i,-5.7765e-05+0.00019228i,0.0086758+0.00080449i,0.006296-0.00055398i,-0.0033466+0.0038071i,0.0021936+0.0019182i,-0.0030052+0.0088344i,0.015928-0.086921i,-0.0055007-0.048446i,-0.024186-0.040016i,-0.018752-0.042329i,0.064012-0.015222i,0.028879-0.060832i,0.038649-0.044243i,0.03044-0.056084i,0.019021-0.015453i,0.0082459+0.010178i,0.024821-0.032247i,-0.0064926-0.0060022i,0.0021292-0.0026602i,-0.0044087-0.0063334i,0.001275-0.032094i,-0.02481+0.030256i,0.0083089-0.010462i,-0.010966-0.0015571i,-0.005233-0.001308i,-0.00085898-0.014226i,-0.0096315+0.0039381i,0.0035734+0.0083785i,-0.010709+0.029841i,0.0055162+0.0078948i,-0.0054292-0.0019004i,-0.0021144-0.002125i,-0.011657-0.0067204i,0.00074414-0.0037731i,-0.032119+0.0035534i,0.0023691-0.012929i,-0.0089371-0.0023175i,-0.0063574-0.0029767i,0.0066366+0.0014819i,-0.0091586+0.0014697i,0.0013719+0.00099751i,0.0056123+0.0097617i,0.004592+0.00047381i,-0.0089235-0.0092861i,0.0025582+0.0088503i,-0.01812+0.006117i,0.0070358+0.0035866i,-0.028944-0.0085917i,-0.035431+0.0020591i,0.027345-0.080941i,0.012577-0.0093877i,-0.043865-0.028532i,-0.022044-0.0041109i,0.017623+0.012918i,-0.026617+0.011614i,-0.011466-0.0090215i
-0.033382+0.00077441i,-0.049422+0.016439i,-0.050552+0.042275i,-0.02856+0.0061103i,-0.0062318+0.014487i,-0.0098149+0.031579i,-0.031225+0.017342i,-0.059041+0.02236i,-0.021415+0.021433i,0.00077431-0.0098126i,0.0019562-0.00147i,0.0039269+0.00019446i,0.0032914+0.0090552i,-0.0037676+0.0010974i,0.0017976+0.0022162i,0.0019472-0.0094898i,-0.013365-0.010851i,-0.0044291+0.00057315i,0.0042047-0.0026169i,0.0014815-0.0012643i,0.0023206-0.0043823i,0.0018443-0.0042783i,0.0021622-0.0037341i,-0.010941-0.010695i,-0.0027313-0.00052647i,-0.0041545-0.00021854i,-0.0036445-0.0011905i,-0.0049515-0.0015716i,-0.0012287-0.0023703i,0.0014485-0.0018794i,-0.004254+0.0044491i,0.0012483+0.001851i,0.0022996+0.0015914i,0.0015399+0.00071106i,-0.0015684+0.0031633i,-0.0037974-0.008635i,-0.0033232+0.00093313i,0.0014989+4.8354e-05i,-0.00036582+0.0033505i,0.011381+0.0070966i,2.6764e-05-0.0024448i,0.00087382+2.5325e-05i,-0.0050219-0.0041296i,0.002059+0.0037443i,-0.018921-0.017593i,0.0008647-0.065373i,-0.089521-0.011103i,-0.021619-0.022194i,-0.046934-0.04219i,-0.04367-0.007604i,-0.094444+0.01183i,-0.062153-0.00041968i,-0.036083-0.028341i,-0.028769-0.055534i,-0.036877-0.023213i,-0.00057583+0.0019965i,-0.025233+0.01338i,0.0040192+0.017228i,0.0038245+0.0069807i,-4.8406e-05-0.0073155i,0.0083832+0.0045034i,-0.00968-0.0045244i,0.0019269+0.011351i,-0.0018125+0.007219i,-0.001212-0.0024297i,0.0057248+0.0027414i,0.0036274-0.0012612i,-0.0043543+0.02057i,0.00025294+0.013065i,0.0013261-0.0042732i,0.010349-0.0073471i,0.0033508+0.0037669i,-0.0076576-0.0071465i,-0.00216-0.0017111i,0.023118-0.038273i,0.0082213+0.0083319i,0.0038487+0.0026012i,-0.0021845+0.0029806i,0.0036343-0.0039846i,0.02097+0.0022908i,0.0014334-0.001819i,-0.00084833-0.0075435i,0.0011987-0.0025829i,0.010856+0.0051244i,0.0052852+0.00061536i,0.0031281-0.0062216i,0.0036181+0.0074519i,0.0040568+0.0029975i,0.018117+0.0012933i,-0.065994-0.044729i,-0.0098136+0.010404i,-0.0067557-0.0044948i,-0.0068931+0.0039049i,-0.035791+0.0097911i,-0.0059657+0.0078947i,-0.015894+0.0042499i
-0.031328+0.0046873i,-0.045799+0.021391i,-0.037432+0.045049i,-0.026582+0.012013i,-0.0048154+0.012205i,-0.0041337+0.031732i,-0.029161+0.022185i,-0.051207+0.030619i,-0.016692+0.01784i,-0.0020674-0.0074043i,0.0015609-0.0010125i,0.0035734-0.0017986i,0.0055519+0.0059507i,-0.0022681+0.0030095i,0.0020425+0.0023064i,-0.0036275-0.007116i,-0.01979-0.0022951i,-0.0036779+0.0021864i,0.0043856-0.0030688i,0.0014271-0.0019758i,0.0010572-0.0043219i,0.0017256-0.0033138i,0.0017079-0.0037623i,-0.012477-0.0058235i,-0.00207-0.00017928i,-0.0043883+0.0012778i,-0.0031616+0.00020939i,-0.0041639+6.2007e-05i,-0.001782-0.0020923i,0.00092093-0.001903i,-0.0024646+0.0063883i,0.0014382+0.0014569i,0.0020979+0.0010327i,0.00054113+0.00028459i,-0.0020902+0.0027338i,-0.0036969-0.0071181i,-0.0024503+0.001389i,4.6137e-05-0.00085416i,3.6922e-05+0.0037789i,0.011512-3.1312e-05i,-0.00031002-0.0039226i,0.00017048-0.0006735i,-0.0066432-0.002825i,0.0031902+0.0033887i,-0.020757-0.019307i,-0.01873-0.071498i,-0.083638+0.0052306i,-0.028851-0.02404i,-0.058871-0.035027i,-0.041288+0.0022102i,-0.082977+0.032751i,-0.059263+0.013047i,-0.027552-0.027516i,-0.03558-0.05144i,-0.034802-0.012059i,-0.00094695+0.00016384i,-0.017777+0.023241i,0.0084243+0.01246i,0.0059351+0.0025113i,-0.0057297-0.0137i,0.0045818+0.0034348i,-0.010245+0.0020386i,0.0063707+0.0088788i,0.0010435+0.0089231i,-0.0019967-0.0018223i,0.0074138+0.0027497i,0.0032479-0.00091185i,0.0056215+0.016749i,0.0063796+0.0085377i,-0.0032046-0.0054461i,0.0030986-0.0083037i,0.0042407+0.003951i,-0.011262+0.00026603i,-0.0022348+0.00093304i,0.0096376-0.040322i,0.011018+0.0066344i,0.006591+0.00076944i,0.0011886+0.0021649i,0.00012556-0.0020089i,0.017986-0.0072022i,-0.0001444-0.0023349i,-0.0042803-0.0056245i,-0.0021949-0.0022809i,0.01072+0.00035827i,0.0048975+0.00075061i,0.0010329-0.0038462i,0.0062999+0.005994i,0.0038005+0.0026064i,0.016321-0.0044959i,-0.072419-0.035831i,-0.0029972-0.00046516i,-0.0073608-0.0037488i,-0.0055323+0.0036612i,-0.030431+0.020738i,-0.0037661+0.0088075i,-0.01432+0.0059184i
-0.028257+0.0076078i,-0.04291+0.026265i,-0.028705+0.043625i,-0.023717+0.014924i,-0.0021028+0.012311i,0.0013621+0.030698i,-0.025353+0.027047i,-0.042909+0.035663i,-0.017131+0.015327i,-0.00317-0.0061506i,0.0019546-0.00094664i,-0.000472-0.0028859i,0.006106+0.003762i,-0.0016538+0.0035968i,0.0025752+0.0025091i,-0.0072513-0.0016727i,-0.018612+0.0086966i,-0.0015251+0.0035909i,0.0043569-0.0050906i,0.0013532-0.0030286i,-0.00015655-0.0044392i,0.0020079-0.0042564i,0.0011964-0.004382i,-0.012552-0.0025112i,-0.0024774+0.00045254i,-0.0033935+0.0033548i,-0.0024199+0.00071655i,-0.0029452+0.0016984i,-0.0022329-0.0018946i,1.8704e-05-0.002848i,0.0001445+0.0066555i,0.0016665+0.0010293i,0.0022268+0.00013473i,0.0006401-8.4261e-05i,-0.001258+0.0044355i,-0.0034163-0.0066885i,-0.0026609+0.0024871i,-0.00082523-0.00055586i,0.0030759+0.0034866i,0.0080787-0.0036235i,-0.00085711-0.00064827i,0.00040013+0.00021533i,-0.0085431-0.0012532i,0.0042875+0.0015943i,-0.024817-0.019735i,-0.041037-0.067812i,-0.073542+0.016801i,-0.036259-0.021052i,-0.066079-0.022745i,-0.034662+0.0086204i,-0.063062+0.046817i,-0.04505+0.025391i,-0.028751-0.032629i,-0.041546-0.048567i,-0.036784-0.0040902i,-0.0015099-0.00047319i,-0.006959+0.026478i,0.010068+0.0072536i,0.0032408-0.001595i,-0.019947-0.012811i,0.004208+0.0027603i,-0.0062436+0.0066445i,0.0086862+0.0047237i,0.0044298+0.0085159i,-0.0044346+0.0003146i,0.007539-0.0016314i,0.0036496-0.0025329i,0.0093372+0.0095155i,0.0063825+0.0032068i,-0.008098-0.0023309i,0.00043333-0.0061032i,0.0065538+0.0029939i,-0.0079154+0.0090046i,-0.00023267+0.0023561i,0.00072333-0.034106i,0.014154+0.0015185i,0.0056187-0.0030682i,0.00076451+0.00052251i,0.00095152-6.1209e-06i,0.011289-0.011549i,-0.0029154+0.00094356i,-0.0061935-0.0028267i,-0.0037881+0.00167i,0.0077148-0.0026816i,0.0081414-0.0011928i,0.0016965-0.0037069i,0.0094394+0.0020464i,0.0059091+0.0014832i,0.012672-0.0091014i,-0.077085-0.022329i,-0.007325-0.010884i,-0.005847-0.0034526i,-0.0048985+0.0022891i,-0.021576+0.025361i,-0.0025151+0.00399i,-0.010614+0.003894i
-0.025114+0.0086111i,-0.039096+0.031979i,-0.023122+0.042412i,-0.019886+0.019067i,0.0018829+0.0094935i,0.0063388+0.028386i,-0.020037+0.030771i,-0.035445+0.037202i,-0.018207+0.016975i,-0.0043445-0.0042239i,0.0019063-0.0023112i,-0.0028524+0.00080509i,0.0055036+0.0017991i,-0.0015807+0.0052105i,0.0031174+0.0019314i,-0.0063461+0.0048962i,-0.011062+0.01635i,0.00057474+0.0028775i,0.0020496-0.0065355i,-6.3788e-05-0.0043779i,-0.0014264-0.0040314i,0.0011743-0.0049037i,6.4428e-05-0.005381i,-0.01241+0.0010077i,-0.0020825+0.000726i,-0.00095403+0.0033351i,-0.0021122+0.00087019i,-0.0010902+0.0017185i,-0.0030623-0.00044073i,-0.0014217-0.0024444i,0.0019985+0.0057255i,0.0016983+0.00054314i,0.0018494-0.00074945i,0.00044842-8.0435e-05i,0.0014069+0.0046025i,-0.0046527-0.0078753i,-0.0014105+0.0035581i,-0.0014385+5.4653e-06i,0.0036129+0.00021917i,0.0060084-0.0047661i,-0.0011117-0.001793i,0.0011949-0.00017759i,-0.0094731+0.0021494i,0.0026149-0.0014164i,-0.030754-0.01798i,-0.058812-0.05248i,-0.063023+0.021858i,-0.042462-0.015362i,-0.070063-0.0099755i,-0.027016+0.010661i,-0.044022+0.050181i,-0.02971+0.02446i,-0.033025-0.031301i,-0.048849-0.042058i,-0.035464+0.0079877i,-0.0029651-0.00046185i,0.0030818+0.024832i,0.010104+0.0022265i,-0.0011779-0.0020207i,-0.029174+0.00084559i,0.0015013+0.0030704i,-0.0020785+0.0072958i,0.007706-0.00052652i,0.007715+0.0076042i,-0.003736+0.0037972i,0.0036636-0.0027218i,0.0028047-0.0048245i,0.00823+0.0025311i,0.0035519+0.00076964i,-0.008524+0.0018658i,-0.0015147-0.0045329i,0.0075568+0.0005808i,0.002085+0.011433i,0.0012708+0.0015625i,-0.0086106-0.025985i,0.0128-0.0036303i,0.0051027-0.0036244i,0.001439+0.0017952i,0.00137-0.00056459i,0.0060745-0.011926i,-8.4017e-05+0.003623i,-0.0067899+0.00070653i,-0.001087+0.004495i,0.0054753-0.0026205i,0.0073508-0.005781i,-7.5657e-05-0.003781i,0.0082035-0.0034617i,0.0056695-0.0017883i,0.008413-0.012844i,-0.074698-0.0085352i,-0.01804-0.013571i,-0.0053538-0.0067572i,-0.0048694+0.00072308i,-0.015564+0.027281i,-0.0063612+0.0028182i,-0.013378+0.0034457i
-0.023602+0.0093214i,-0.034894+0.036911i,-0.019219+0.042213i,-0.014054+0.021558i,0.004017+0.00516i,0.0098785+0.025893i,-0.013789+0.032625i,-0.029967+0.03878i,-0.016284+0.02078i,-0.0047751-0.0025154i,0.00068559-0.0027418i,-0.0015228+0.0039578i,0.0047588+0.00063699i,0.00098326+0.007004i,0.0036483+0.0014358i,-0.0021841+0.00832i,-0.0026758+0.019729i,0.0011781+0.0015936i,0.00018757-0.0062873i,-0.0021077-0.0044436i,-0.0027569-0.0032775i,0.00036728-0.0050092i,-0.0022838-0.0052317i,-0.010032+0.0039259i,-0.0023951+0.00073409i,-0.00035754+0.0020618i,-0.001956+0.0012938i,-0.00022135+0.00087581i,-0.0027939+0.00099943i,-0.0019299-0.0011236i,0.0033548+0.0042582i,0.0015183-0.00029977i,0.00012846-0.00035346i,0.00018883-6.8493e-05i,0.002782+0.0032621i,-0.0074639-0.0076559i,-0.00028791+0.0038852i,-0.0013268+0.0013011i,0.001728-0.00096057i,0.0037887-0.0048196i,-0.0013558-0.0022033i,0.0011986-0.0010236i,-0.012833+0.0039889i,-8.8653e-05-0.00044744i,-0.035624-0.012271i,-0.06387-0.032756i,-0.056545+0.023034i,-0.047593-0.0075797i,-0.071451+0.0039664i,-0.022639+0.0079038i,-0.028264+0.048598i,-0.020764+0.020441i,-0.035913-0.029408i,-0.052593-0.034905i,-0.030341+0.018892i,-0.003743+0.000199i,0.013157+0.019869i,0.0098836-0.0005402i,-0.0046159+0.00024511i,-0.028076+0.013247i,0.0014314+0.0048372i,0.0018277+0.0078786i,0.003433-0.0020531i,0.010618+0.0045728i,-0.0014733+0.0054934i,0.0015232-0.0011311i,0.0010691-0.0061603i,0.0032731+0.0017372i,0.001137+0.0019835i,-0.0071273+0.0070513i,-0.0028388-0.0021306i,0.007277-0.0023122i,0.0076531+0.0072843i,0.0018964+0.00060473i,-0.01278-0.023798i,0.0098397-0.007586i,0.0032141-0.005123i,0.0043787+0.0015792i,0.0012421-0.00049487i,0.0029938-0.010883i,0.0027559+0.0030967i,-0.0045833+0.0048205i,0.002332+0.0038317i,0.0053693-0.0029893i,0.0031643-0.010601i,-0.00014124-0.0029327i,0.0039804-0.0061766i,0.0036459-0.0036306i,0.0022071-0.015452i,-0.069647-0.00047188i,-0.028058-0.0065708i,-0.0079951-0.0095417i,-0.0059197-0.00089648i,-0.0095455+0.027234i,-0.0094645+0.0053889i,-0.01413+0.0070314i
-0.022709+0.010462i,-0.029788+0.041994i,-0.016508+0.044513i,-0.0072227+0.021582i,0.0030762+0.0002495i,0.013805+0.023979i,-0.0071202+0.032393i,-0.024981+0.040868i,-0.012306+0.022336i,-0.0052604-0.0015297i,-0.0011802-0.0021797i,0.00097096+0.0055124i,0.0038594+0.00023717i,0.0039207+0.00574i,0.0037556+0.00078039i,0.0020789+0.008944i,0.0063707+0.018715i,0.0013818+0.0011741i,-0.0014752-0.0058629i,-0.0040111-0.0034447i,-0.0032195-0.0017283i,-0.00039216-0.0054285i,-0.0035564-0.003723i,-0.0078938+0.0042494i,-0.0027872+0.001614i,-0.00047321+0.001962i,-0.0019852+0.0005017i,0.0001459-0.00028631i,-0.0016071+0.0015502i,-0.0017808-0.00046241i,0.0045806+0.0025734i,0.0010856-0.00088686i,-1.1504e-05-0.00077432i,-0.000156-0.00022943i,0.0031818+0.0024387i,-0.0099934-0.0058007i,0.0006696+0.0035413i,-0.00032654+0.0018295i,0.00076029-0.0010911i,0.0022512-0.0046161i,-0.0019292-0.0018285i,0.00060299-0.0015376i,-0.0055575+0.0059312i,-0.00045459+0.0015533i,-0.037894-0.0047689i,-0.059909-0.019123i,-0.053118+0.02547i,-0.049314+0.0040671i,-0.067689+0.021064i,-0.024395+0.0058231i,-0.01678+0.043273i,-0.014324+0.016293i,-0.038216-0.025549i,-0.056374-0.02838i,-0.021181+0.023937i,-0.0048322+0.0017329i,0.017234+0.0077895i,0.0093313-0.0044433i,-0.0061766+0.0044961i,-0.021535+0.023924i,0.003259+0.0046701i,0.0058682+0.0058825i,0.00098871-0.00010301i,0.012078-0.00063244i,-0.00023274+0.0065012i,0.0012981-4.3882e-05i,-0.0024041-0.0080033i,0.0014096+0.0044606i,0.001471+0.0041313i,-0.001869+0.010909i,-0.0016935+0.00038803i,0.0056509-0.0037844i,0.0097229+0.0023458i,0.0025338-0.00081888i,-0.021015-0.023457i,0.0054098-0.0094864i,0.00036456-0.005574i,0.0047599-0.00095176i,0.00092183+0.00012776i,0.0019355-0.0090976i,0.0036991+0.00088484i,-0.0013035+0.0063095i,0.0036102+0.001311i,0.0039716-0.0041894i,-0.003132-0.010663i,-0.00071959-0.0034398i,0.0014024-0.0060231i,0.0024953-0.0052702i,-0.0051112-0.014119i,-0.067425+0.0064976i,-0.027598+0.0068168i,-0.012554-0.010482i,-0.0078766-0.0004513i,-0.0051549+0.027141i,-0.0084458+0.0099893i,-0.0092811+0.0092594i
-0.021795+0.012212i,-0.023259+0.04681i,-0.011332+0.048318i,-0.0047972+0.018616i,-0.00064866-0.0021002i,0.017858+0.02078i,-0.0012235+0.031027i,-0.020076+0.043322i,-0.0084243+0.023614i,-0.0063482+2.272e-05i,-0.001809-7.2511e-05i,0.0041977+0.0057213i,0.0032647+0.00044634i,0.0052495+0.0033653i,0.0035159+0.00013622i,0.0058204+0.0077983i,0.013+0.013922i,0.0017563+0.00091853i,-0.0026255-0.0052735i,-0.004976-0.0013847i,-0.0026718-0.00054761i,-0.0018741-0.0055895i,-0.0039833-0.0022987i,-0.0077211+0.0055996i,-0.0023961+0.0027462i,-0.00010278+0.0024467i,-0.0012889+0.0017263i,-0.0009969-0.0012898i,-0.0013621+0.0012783i,-0.0015975-0.00011755i,0.0051776+0.00073804i,0.00096805-0.00088736i,0.00065668-0.0010102i,-0.00025237+0.00014365i,0.004001+0.00059373i,-0.011911-0.0030592i,0.0016962+0.0033153i,0.00039497+0.0015562i,-6.2983e-05-0.0011701i,0.00096214-0.0041133i,-0.0021684-0.001198i,0.00033985-0.0015332i,-0.004059+0.006743i,0.00022722+0.0021296i,-0.037352+0.0018549i,-0.057315-0.013701i,-0.049959+0.030271i,-0.045264+0.014441i,-0.058182+0.035896i,-0.025788+0.0088338i,-0.0092956+0.038896i,-0.011466+0.011225i,-0.039931-0.0215i,-0.059063-0.020311i,-0.013837+0.025939i,-0.0036384+0.0023913i,0.011552-0.0028482i,0.0058645-0.0088431i,-0.0047309+0.0077882i,-0.01099+0.028747i,0.0034902+0.0030956i,0.008029+0.0010113i,0.0022401+0.00096561i,0.010265-0.0043017i,0.005088+0.0076728i,0.0015596+0.0018454i,-0.0074612-0.0032845i,0.002828+0.0064268i,0.0030191+0.0056763i,0.0034156+0.010827i,-0.00070461+0.00057209i,0.0043944-0.0050343i,0.0096933-0.00412i,0.00076085-0.0015685i,-0.030248-0.016211i,0.0018352-0.0094308i,-0.0016404-0.0041291i,0.0054311-0.00043641i,0.001107-0.00026887i,0.0014919-0.010077i,0.003017-0.0010873i,0.0013873+0.0048388i,0.0033093+0.00024262i,0.0034634-0.0037067i,-0.0074067-0.0066801i,-0.0022725-0.0035768i,-0.0017094-0.005122i,0.00020401-0.0064632i,-0.0095072-0.0097061i,-0.063537+0.014474i,-0.022853+0.0096151i,-0.013279-0.0085429i,-0.0090045+0.0012176i,0.00030874+0.024901i,-0.0072738+0.011196i,-0.0068386+0.0079173i
-0.020449+0.013845i,-0.015299+0.050322i,-0.0038144+0.051886i,-0.0043373+0.016048i,-0.0045627-0.001537i,0.020871+0.016991i,0.0039105+0.028813i,-0.013671+0.045993i,-0.004408+0.023353i,-0.0066883+0.0015451i,-0.00079447+0.0016053i,0.0071226+0.0032686i,0.0034155+0.00061253i,0.004916+0.0016764i,0.0036295-8.6907e-05i,0.0084589+0.0048161i,0.015908+0.0082827i,0.0021568-0.00034056i,-0.0037647-0.0047177i,-0.0043908+0.00094224i,-0.0018772+0.00012026i,-0.0032867-0.0047449i,-0.0038646-0.0012353i,-0.005732+0.0079661i,-0.0014485+0.0038445i,0.00097627+0.0024653i,-0.00084488+0.002329i,-0.0027697-0.00093665i,-0.0012345+0.0015421i,-0.0014775+0.00040293i,0.0049524-0.0012931i,0.00083441-0.0015075i,0.00041607-0.0013383i,-0.00010231+0.00037144i,0.0030925-0.0011428i,-0.01267+0.0007967i,0.0026154+0.0027326i,0.00080023+0.0012768i,-0.0010502-0.0011279i,0.00064941-0.0033576i,-0.0019717-0.00094659i,9.0355e-05-0.0017878i,-0.0028757+0.0069558i,0.00093419+0.002562i,-0.036437+0.0070158i,-0.059168-0.0088151i,-0.045748+0.035432i,-0.040306+0.022144i,-0.044715+0.044225i,-0.026568+0.012463i,-0.001807+0.034241i,-0.01027+0.0089518i,-0.04077-0.017156i,-0.060267-0.010422i,-0.0071074+0.026849i,-0.0028909+0.00265i,0.0044286-0.0041633i,0.00071396-0.010746i,-0.001436+0.011098i,-0.00095261+0.028034i,0.0027337+0.0015723i,0.0069118-0.0039153i,0.0022257+0.00060865i,0.0074402-0.0076244i,0.0091755+0.0044746i,0.0031561+0.0024955i,-0.0072672+0.00082477i,0.0052922+0.0072691i,0.0058331+0.0063512i,0.0097896+0.0085902i,-0.00025642+0.0010539i,0.0037458-0.0059931i,0.0095782-0.012917i,6.6595e-05+0.00015465i,-0.032908-0.0045053i,-0.00032179-0.0090181i,-0.0024061-0.0022145i,0.0068173-0.0012982i,0.0010783-0.0002779i,-0.00039499-0.011799i,0.0017687-0.0017459i,0.003706+0.0037969i,0.0039493-0.00072153i,0.0039601-0.004379i,-0.0087849-0.0029962i,-0.0042458-0.0018567i,-0.0041213-0.0028865i,-0.001917-0.0068119i,-0.010904-0.0054619i,-0.059077+0.020591i,-0.02113+0.011432i,-0.013133-0.0090645i,-0.0089669+0.0031804i,0.001878+0.022844i,-0.0071033+0.01203i,-0.0052163+0.0071215i
-0.018807+0.015774i,-0.0058527+0.052067i,0.0061929+0.052626i,-0.0042708+0.015869i,-0.0064424+0.0017756i,0.023472+0.013049i,0.0080904+0.025489i,-0.005844+0.047681i,-0.00080926+0.022653i,-0.006546+0.003573i,0.00045675+0.0014269i,0.0074318-0.00072332i,0.0040553+0.00024548i,0.0047922+0.00052575i,0.0038685-0.00071146i,0.0085344+0.0010049i,0.016605+0.0026204i,0.00089739-0.0014865i,-0.0055265-0.0031539i,-0.0030535+0.0017718i,-0.00092231+0.00010234i,-0.003926-0.0037607i,-0.0037277-0.0002551i,-0.002753+0.0089709i,0.0003352+0.0043068i,0.0017368+0.0016654i,0.00010477+0.0026483i,-0.0034103+0.00080704i,-0.00060514+0.0013915i,-0.0012005+0.00066702i,0.0038752-0.0029731i,3.105e-05-0.0017429i,-0.00068741-0.00186i,-0.00012895+0.00018434i,0.0017215-0.0020267i,-0.011479+0.0047682i,0.003126+0.0018153i,0.0010827+0.00095641i,-0.0018057-0.00035888i,0.00022619-0.0029163i,-0.0022918-0.00062392i,-0.00029514-0.0020111i,-0.0017648+0.0077473i,0.0019162+0.0027142i,-0.035091+0.012677i,-0.06299+3.3259e-05i,-0.039576+0.039337i,-0.032805+0.027667i,-0.031848+0.049437i,-0.025843+0.019419i,0.0043949+0.027875i,-0.0057337+0.0069i,-0.040748-0.011982i,-0.058421+0.0001484i,-0.00090254+0.02644i,-0.0028423+0.0022059i,-8.0213e-05-0.0038176i,-0.0050275-0.010381i,0.0042999+0.01129i,0.0070304+0.024934i,0.00064091+0.001152i,0.0042941-0.0080508i,0.0032187+0.0021006i,0.0029416-0.0093027i,0.010564-0.0011487i,0.0049263+0.0018429i,-0.0067861+0.0044575i,0.0094987+0.0068707i,0.009879+0.0039814i,0.01322+0.002442i,0.00080938+0.0015013i,0.0018793-0.0072657i,-0.00020791-0.0093665i,0.0015276+0.0017812i,-0.031949+0.0086323i,-0.0028795-0.0086539i,-0.0018983-0.00034481i,0.006298-0.0054141i,0.0017048+0.00010091i,-0.0053139-0.012542i,0.00081793-0.0015501i,0.0047837+0.0015037i,0.0037432-0.0017602i,0.0031905-0.0057386i,-0.0082682+0.0016613i,-0.0044095+0.00099162i,-0.0054181-0.00017152i,-0.0045126-0.0068283i,-0.011051-0.0016609i,-0.055327+0.026599i,-0.019797+0.016313i,-0.015803-0.010941i,-0.0058375+0.0044964i,0.004528+0.021765i,-0.0071928+0.01491i,-0.0031249+0.0052276i
-0.016615+0.017178i,0.0033943+0.051089i,0.015244+0.05081i,-0.0026144+0.016932i,-0.0055693+0.0053503i,0.025925+0.0084964i,0.011+0.021691i,0.002161+0.047213i,0.0024967+0.021573i,-0.005362+0.0059305i,0.00070576+0.0011282i,0.0053017-0.0034563i,0.0041982-0.0010369i,0.0041646-0.00029309i,0.0037082-0.0014626i,0.0066761-0.0010956i,0.015703-0.0022917i,-3.9449e-05-0.0010945i,-0.0057629-0.00096469i,-0.0026369+0.00271i,-0.00024398-0.00030829i,-0.0044813-0.0031183i,-0.0031439+0.00053543i,0.00012583+0.0093224i,0.0022134+0.0034424i,0.0019463+0.0011222i,0.0012053+0.0022812i,-0.0027851+0.0026822i,-0.00022558+0.001223i,-0.0011506+0.0010069i,0.0022544-0.0037902i,-0.00065677-0.0014413i,-0.00093759-0.00048409i,-0.00029902+0.00011108i,0.00040082-0.0023918i,-0.0092335+0.0078114i,0.0032462+0.00060308i,0.0011884+0.00053695i,-0.0018658+0.0008678i,-0.00016861-0.0028882i,-0.0024136+2.5381e-05i,-0.00075899-0.0022198i,-0.00030613+0.0084926i,0.002999+0.0021942i,-0.032169+0.018044i,-0.062842+0.013225i,-0.035379+0.041686i,-0.02584+0.030656i,-0.017834+0.052152i,-0.0202+0.027628i,0.0095936+0.022838i,-0.0033574+0.00019346i,-0.038056-0.0077312i,-0.052663+0.010401i,0.0057158+0.024474i,-0.0031409+0.0028895i,-0.0040881-0.0014703i,-0.0095807-0.0074232i,0.0087163+0.0076143i,0.01102+0.018022i,-0.0022188+0.0026999i,3.7183e-05-0.011052i,0.0054939+0.00055257i,-0.0014852-0.0082216i,0.0080837-0.0054721i,0.0062125-0.00045848i,-0.0050798+0.0075281i,0.013312+0.0019046i,0.011178-0.00181i,0.011271-0.0043467i,0.0026964+0.0010207i,-0.00089086-0.007447i,-0.0039694-0.0057667i,0.0037195+0.00056585i,-0.024881+0.017269i,-0.0052917-0.0074955i,-0.0005638+0.00072602i,0.0024856-0.0076862i,0.0022413-0.00018006i,-0.01108-0.00961i,0.00089306-0.00082142i,0.0047846-0.0012121i,0.0028082-0.0024936i,0.0014458-0.0061776i,-0.0054998+0.0055352i,-0.0028108+0.0028142i,-0.0044535+0.0035084i,-0.0082492-0.0057871i,-0.010101+0.0011289i,-0.049625+0.034628i,-0.012126+0.021044i,-0.021582-0.0099442i,-0.0024256+0.0029384i,0.0064508+0.020577i,-0.0044957+0.018554i,-0.0025348+0.0015683i
