-0.029852-0.038787i,-0.021476-0.019081i,-0.012828-0.035746i,-0.029815-0.020021i,-0.022123-0.00016085i,-0.013549-0.0057986i,-0.055394-0.058844i,-0.046849-0.017628i,-0.037844-0.014241i,0.01055+0.011655i,-0.0078805+0.005283i,-0.019837+0.018837i,0.0024284+0.011489i,-0.006061-0.0031224i,0.00017735+0.0012348i,-0.0017074+0.030445i,0.02735+0.027968i,0.0024728-0.0022037i,-0.0021494-0.0064833i,0.0079578+0.0025392i,0.002577+0.0013725i,0.00016677+0.0038178i,-0.00031563+0.00029439i,-0.037718-0.011604i,-8.9321e-06-0.0077274i,0.0013944+0.0022029i,0.0061061+0.0013115i,0.0019608+0.00058763i,0.0011237-0.00055398i,-0.00028217-0.0025783i,0.0016334-0.0025252i,-0.0023162-0.0058728i,-0.00046658-0.0049008i,0.0028602-0.00074582i,0.0047014-0.0028718i,0.0021151+0.030187i,0.0039229-0.0033628i,0.0030588-0.0016616i,0.0083572-0.0015998i,-0.0049298-0.0023614i,-0.00012581+0.0011043i,0.0094387+0.00020828i,0.0041125-0.0024096i,-0.0014235+0.0087303i,-0.017613-0.0057575i,-0.018675+0.016152i,-0.0028602-0.060736i,-0.0050059-0.026958i,-0.026448-0.032763i,-0.011073-0.026668i,0.055126-0.01997i,0.017204-0.04247i,0.022697-0.04886i,0.0059183-0.054314i,0.026581-0.021027i,0.0083551+0.0062195i,0.024878-0.033932i,-0.0081094-0.0066669i,0.0039784-0.0049165i,-0.0043879-0.0071574i,-0.0016817-0.033605i,-0.018866+0.029703i,0.0087067-0.011572i,-0.0092428-0.0039512i,-0.0041222-0.0015667i,0.00078467-0.012952i,-0.011327+0.0048119i,0.0025889+0.010239i,-0.0054135+0.026978i,0.0047374+0.0029583i,-0.0052878-0.0018377i,-0.0020595-0.0022127i,-0.012508-0.0076485i,-0.00051554-0.004373i,-0.035743+0.00087566i,0.0011185-0.010497i,-0.0083538-0.00010595i,-0.0069502-0.0026114i,0.0053188+0.001245i,-0.0080533-0.00075545i,0.0018566-0.00020212i,0.0035464+0.0070584i,0.0044254+0.00040455i,-0.0082063-0.013551i,0.0024999+0.0090424i,-0.0152+0.0047534i,0.0069195+2.6685e-05i,-0.021994-0.00010591i,-0.017323+0.0046867i,-0.0083573-0.065106i,0.0079714-0.012578i,-0.048867-0.022767i,-0.020931+0.00067136i,0.017265+0.011524i,-0.023138+0.014529i,-0.01894-0.0055903i
-0.040255+0.031212i,-0.015596+0.018379i,-0.021149+0.042155i,-0.026535+0.013243i,-0.0044786+0.020841i,-0.00076125+0.0076255i,-0.03001+0.017117i,-0.0038745+0.029297i,0.0081658+0.017712i,-0.0051585-0.0064406i,0.0025841+0.0031939i,0.0078341-0.00013038i,0.0052614+0.00025063i,-0.00041731+0.0032395i,0.00070439+0.0020971i,0.0062857-0.0049126i,-0.0065135-0.00084548i,-0.003219-0.00066392i,0.004213-0.0012963i,2.069e-05-0.00087051i,0.0028991-0.005183i,0.001692-0.0027779i,0.00136-0.0024356i,-0.0094159-0.011106i,-0.00056853+0.0022184i,-0.0015914+0.00012019i,-0.0040434-0.0014566i,-0.0029048-0.00016207i,-0.00074862-0.0015937i,-0.0001254-0.00063827i,-0.00093916+0.0037855i,0.00065176+0.00096117i,0.0016149+0.00072202i,-0.00054448+0.00074151i,-0.0028359+0.0028396i,-0.0010549-0.0075012i,-0.0026555+0.0010706i,0.00089395-0.00048187i,-0.0016445+0.0037077i,0.0038325+0.0028392i,-0.00041648-0.0015692i,-0.00056431-0.0030125i,-0.0033669-0.00026182i,0.0039945+0.00011207i,-0.014604+0.023013i,0.0094709-0.037403i,-0.053434+0.0041204i,0.0082379-0.032132i,-0.030778-0.049126i,-0.028983-0.019998i,-0.062648+0.020607i,-0.037947+0.00080485i,-0.033489-0.0060874i,-0.028066-0.022262i,-0.039123-0.023923i,-0.0053488+0.0030593i,-0.028241+0.0096914i,0.0062783+0.019075i,0.002766+0.0083571i,-0.0033575-0.0051763i,0.0020328+0.0016127i,-0.0108-0.0033619i,0.0052269+0.011827i,-0.00047358+0.0060342i,-0.0018382-0.0013786i,0.0012038+0.001765i,0.0037923-0.001281i,-0.0035446+0.018288i,0.0031122+0.014348i,0.0037991-0.00016831i,0.0098643-0.0063613i,0.0044951+0.003095i,-0.008993-0.0076402i,-0.0011952-0.0028743i,0.026593-0.034527i,0.0079065+0.010467i,0.0051547+0.0024064i,-0.0026019+0.0029572i,0.003468-0.0056215i,0.021302+0.0083467i,0.003354+0.002394i,0.00013803-0.0066079i,0.0010062-0.0026491i,0.014426+0.0071421i,0.0049226+0.0016845i,0.0028546-0.0047544i,0.0045184+0.0085241i,-0.00048812+0.0014238i,0.0089234+0.0034839i,-0.040677-0.014534i,-0.0064999+0.011021i,-0.0024-0.0053321i,-0.0067534+0.0052963i,-0.036924+0.012504i,-0.0056087+0.0075768i,-0.0098129+0.013497i
-0.034712+0.037181i,-0.012515+0.01787i,-0.010575+0.037924i,-0.023774+0.016085i,-0.0016006+0.01896i,0.00060868+0.0075938i,-0.028736+0.021989i,0.0019039+0.028455i,0.010261+0.012233i,-0.0064615-0.003599i,0.003656+0.003633i,0.0070266-0.0028004i,0.0047718-0.0016728i,0.0015953+0.0038883i,0.0010182+0.00211i,0.0019366-0.0044187i,-0.0077336+0.0029621i,-0.0029693+0.00050597i,0.0043518-0.002336i,0.00028221-0.0008752i,0.001175-0.0054074i,0.0013769-0.0025477i,0.00073876-0.0025452i,-0.011314-0.0078252i,0.00047326+0.0015673i,-0.0016268+0.00054968i,-0.0037186+0.00030545i,-0.0021683+0.00062524i,-0.0012617-0.0015071i,-4.9886e-06-0.00055228i,0.00060438+0.0038919i,0.00021574+0.00086351i,0.0013671-0.00023055i,-0.0006848+0.00096186i,-0.0026877+0.003248i,-0.0010911-0.0065046i,-0.0021365+0.0016054i,-0.00013357-0.0010823i,-0.0010463+0.0042217i,0.0036213+0.00053993i,-0.00076144-0.0014348i,-0.0022311-0.0027332i,-0.0034811+0.00085966i,0.0042246-0.00091348i,-0.010693+0.021844i,-0.0040359-0.043485i,-0.046959+0.014511i,-0.0013916-0.039714i,-0.045035-0.043651i,-0.029489-0.013483i,-0.050977+0.032674i,-0.035239+0.0093509i,-0.024242-0.0087462i,-0.029841-0.017783i,-0.045096-0.0082924i,-0.004496+0.0028735i,-0.023326+0.021778i,0.011431+0.013166i,0.0052207+0.0050141i,-0.0085456-0.0080407i,-0.0013413+0.0036499i,-0.010347+0.0033498i,0.010101+0.0086409i,0.00063212+0.0076836i,-0.0020184+1.9758e-05i,0.0019775+0.0030599i,0.0038611-0.0014899i,0.0051254+0.014845i,0.0086062+0.0083641i,-0.00043958-0.0034499i,0.0034423-0.0078057i,0.0048749+0.0025963i,-0.011802+0.00080167i,-0.0025936-0.00081782i,0.0097336-0.037699i,0.012054+0.0080493i,0.0069266-3.6994e-05i,0.00088551+0.0028213i,-0.00032405-0.0033708i,0.022684-0.0018072i,0.0031599+0.00077078i,-0.0033498-0.0051771i,-0.0026181-0.001635i,0.013901+0.00099282i,0.0051937+0.001767i,0.00081817-0.003495i,0.0069201+0.0065371i,-0.00034993+0.0025198i,0.0093837+0.00019591i,-0.043879-0.010498i,-0.0011066-0.0026931i,-0.0016611-0.0049815i,-0.0046384+0.0050277i,-0.030447+0.02383i,-0.0030555+0.0083318i,-0.0056365+0.014159i
-0.027763+0.04195i,-0.010487+0.017746i,-0.0054805+0.031619i,-0.02113+0.018889i,0.0017527+0.018066i,0.0021712+0.0069906i,-0.024964+0.027551i,0.007302+0.026193i,0.0094964+0.0083478i,-0.0066047-0.0007095i,0.0056707+0.0031145i,0.0030074-0.0039858i,0.0036472-0.0028287i,0.0024656+0.0033796i,0.0015102+0.0020397i,-0.0013087-0.0017028i,-0.0064563+0.0071775i,-0.0017993+0.0012086i,0.0039081-0.0042277i,0.00059321-0.0015601i,-0.00059309-0.0051169i,0.0014273-0.0030869i,0.00021885-0.002537i,-0.013381-0.005i,0.00088094+0.0010875i,-0.0011301+0.0013033i,-0.002646+0.00083633i,-0.0010573+0.0011805i,-0.001549-0.0012371i,-0.0002924-0.0008839i,0.0020158+0.0031465i,0.00039932+0.0010691i,0.00094731-0.00062774i,-0.00038407+0.00086983i,-0.00098037+0.004509i,-0.00086709-0.006632i,-0.0019378+0.0019026i,-0.001129-0.0010038i,0.0016906+0.0030025i,0.0027259-0.000598i,-0.0010966-0.0010533i,-0.0018085-0.0010094i,-0.0031697+0.0018426i,0.0038221-0.0027736i,-0.0082871+0.021472i,-0.020564-0.042031i,-0.037138+0.020841i,-0.013529-0.041568i,-0.053316-0.034505i,-0.02633-0.0078368i,-0.035079+0.038959i,-0.023629+0.014833i,-0.026666-0.01256i,-0.030508-0.014171i,-0.042909+0.0065055i,-0.003686+0.003098i,-0.011865+0.029044i,0.013347+0.0071278i,0.0034425-8.8001e-05i,-0.017823-0.0054426i,-0.00059702+0.0051276i,-0.0059427+0.0069899i,0.011885+0.0026935i,0.0033073+0.0077129i,-0.0034759+0.0017625i,0.0022939+0.0013731i,0.003931-0.0030057i,0.007865+0.0078449i,0.0084512+0.0027221i,-0.0050243-0.00073141i,0.00028806-0.0060907i,0.0065072+0.00162i,-0.0072764+0.0097578i,-0.00070409+0.0012709i,-0.0034694-0.0339i,0.015845+0.0016694i,0.0058933-0.0025401i,0.0012594+0.0013659i,-0.00030446-0.0015065i,0.017746-0.0099599i,0.001407+0.0025627i,-0.0053154-0.0026492i,-0.003239+0.002153i,0.010645-0.0030814i,0.0089197-0.00080004i,0.00069641-0.0033723i,0.010078+0.0028819i,0.0028982+0.002248i,0.008532-0.0032055i,-0.047121-0.0018188i,-0.0096865-0.011308i,0.00041568-0.0075429i,-0.0032436+0.0032625i,-0.019999+0.028398i,-0.0033925+0.0032466i,-0.0026325+0.0096432i
-0.019986+0.044781i,-0.0080465+0.018696i,-0.0039836+0.026627i,-0.017226+0.021711i,0.0049171+0.015168i,0.003711+0.0054423i,-0.018659+0.032061i,0.011775+0.022292i,0.0088716+0.0068241i,-0.0058216+0.0018975i,0.006667+0.00057561i,0.00070131-0.0015237i,0.0022814-0.003233i,0.0023948+0.0034143i,0.0018438+0.0016443i,-0.0016655+0.0024224i,-0.0023377+0.010429i,-0.0010724+0.0010357i,0.0021387-0.005106i,-0.00016462-0.0023048i,-0.0017865-0.0040028i,0.0011005-0.0034473i,-0.00032018-0.0027025i,-0.014958-0.00034092i,0.0011514-5.5458e-05i,-0.00019572+0.0008899i,-0.0022318+0.00071858i,1.0185e-05+0.00067555i,-0.0017471-0.0005522i,-0.00073058-0.00057128i,0.0028607+0.0019072i,0.00076955+0.00094822i,0.0001964-0.0008686i,-0.0002374+0.00086331i,0.0010036+0.0037227i,-0.0019324-0.0085215i,-0.0010956+0.0027054i,-0.0017529-0.00040388i,0.001571+0.000179i,0.0019289-0.0010249i,-0.0011137-0.00059748i,-0.0014242-0.0010104i,-0.0023567+0.0027754i,0.0010429-0.0048684i,-0.00595+0.022026i,-0.033716-0.030091i,-0.027737+0.021583i,-0.024899-0.038168i,-0.061293-0.023761i,-0.021545-0.0060175i,-0.021019+0.037985i,-0.013491+0.01084i,-0.027879-0.0095616i,-0.03098-0.009387i,-0.036561+0.017289i,-0.0032881+0.0033695i,0.00040038+0.028932i,0.013682+0.0017292i,-0.0013178-0.00086021i,-0.023052+0.005393i,-0.00056996+0.0068566i,-0.0020336+0.006453i,0.0090345-0.0036263i,0.0058679+0.0066841i,-0.0028157+0.0047221i,0.00029331+0.0017937i,0.0032866-0.0056707i,0.0061555+0.0022686i,0.0054131-3.1222e-05i,-0.0038693+0.0025828i,-0.0014863-0.0044674i,0.0066894-0.00058474i,0.0026104+0.011556i,0.00027862+0.00072893i,-0.010725-0.027106i,0.013795-0.0044817i,0.004445-0.0041572i,0.0021218+0.0024716i,-0.00011879-0.0010594i,0.011613-0.01317i,0.0046248+0.0033997i,-0.0058777+0.00034233i,-0.0009159+0.0040257i,0.0079023-0.0038439i,0.0079026-0.0061867i,-0.00073014-0.0029486i,0.0094236-0.0030657i,0.0028014-0.00084076i,0.0071733-0.0066903i,-0.043582+0.0093616i,-0.019606-0.0097992i,-0.0021856-0.013049i,-0.0024865+0.001041i,-0.012055+0.028123i,-0.0072877+0.0032488i,-0.0031451+0.0086783i
-0.012658+0.046366i,-0.0058829+0.018591i,-0.0047402+0.024184i,-0.012599+0.023244i,0.0064822+0.011916i,0.0039559+0.0036515i,-0.011089+0.033861i,0.014724+0.017714i,0.0094485+0.0058093i,-0.003718+0.0035231i,0.0057898-0.001224i,0.0011427+0.0005342i,0.001286-0.0033153i,0.0038318+0.0037023i,0.0021332+0.0012279i,0.0002587+0.0051186i,0.0028198+0.010992i,-0.00082791+0.00094124i,0.00079477-0.0053567i,-0.0011887-0.0022415i,-0.002728-0.0032874i,0.00029783-0.0036421i,-0.0011722-0.0025441i,-0.012745+0.0043359i,0.00015695-0.0013432i,-0.00027279+0.00013044i,-0.0017438+0.00091244i,0.00017324-0.00035329i,-0.0016774+2.0746e-05i,-0.00046476-0.00015999i,0.0029434+0.00056493i,0.0013508+0.00030955i,-0.00045706-0.00047518i,-0.00024965+0.00089721i,0.0014395+0.0027811i,-0.0051273-0.0095465i,-0.00025823+0.002738i,-0.0017941+0.00067829i,-0.00022494-0.00038012i,0.0011565-0.00081673i,-0.00098569-0.0003695i,-0.0016859-0.00086308i,-0.001074+0.0030839i,-0.0019039-0.0034184i,-0.0025071+0.023004i,-0.034967-0.015094i,-0.021505+0.01971i,-0.03411-0.031354i,-0.066836-0.0086523i,-0.018635-0.0082405i,-0.0096357+0.03339i,-0.0089828+0.0054037i,-0.027735-0.0079214i,-0.030016-0.0061448i,-0.029194+0.024875i,-0.0025762+0.0033379i,0.012317+0.024119i,0.012419-0.0029317i,-0.0045882+0.0018184i,-0.02069+0.015488i,0.001635+0.0081624i,0.00065297+0.0069588i,0.0028675-0.0047604i,0.0078421+0.0047767i,-0.00054366+0.0063783i,0.00021513+0.0039865i,0.001279-0.0071937i,0.0018566+0.0024588i,0.0026181+0.00056973i,-0.00288+0.0042638i,-0.0025563-0.0022728i,0.0058778-0.0027507i,0.0079569+0.0070274i,0.00062877+0.00017733i,-0.014947-0.024226i,0.01002-0.0082676i,0.0023771-0.0052424i,0.004943+0.0019426i,-0.00023384-0.00046092i,0.007104-0.013924i,0.0070916+0.00078385i,-0.0041983+0.0036402i,0.0019274+0.0038494i,0.0071904-0.0042755i,0.0031226-0.010679i,-0.00077326-0.0020567i,0.0050475-0.0063537i,0.00072236-0.0016108i,0.0034941-0.0099509i,-0.035605+0.014261i,-0.027327-0.0020529i,-0.0073331-0.014787i,-0.0032789-0.0013777i,-0.0069097+0.026879i,-0.0098633+0.0058805i,-0.0019044+0.0093143i
-0.0052416+0.046946i,-0.0039871+0.018931i,-0.0051938+0.025008i,-0.0082469+0.023096i,0.0066096+0.0089206i,0.0040157+0.0025656i,-0.0030334+0.033089i,0.016214+0.013329i,0.010409+0.0035821i,-0.0020268+0.0034855i,0.0040931-0.0021697i,0.0022407+0.0015233i,0.00017667-0.0031835i,0.0053393+0.0023592i,0.0021715+0.00071271i,0.0030665+0.0060652i,0.0077561+0.0090461i,-0.00051055+0.0011392i,-0.001058-0.0053018i,-0.0019987-0.0017112i,-0.0029416-0.0020394i,-0.00034074-0.0036974i,-0.0017601-0.0020071i,-0.010843+0.0059562i,-0.0011664-0.0011021i,-0.00082002+2.037e-05i,-0.0015378+0.0011276i,-0.00025234-0.0013219i,-0.001367+0.00043951i,-0.00034099-0.00027251i,0.0026608-0.00051174i,0.0012909-0.00056736i,-0.0006323-7.2057e-05i,-0.00010633+0.00092952i,0.0015336+0.0023468i,-0.0088028-0.0086918i,0.00028284+0.0023701i,-0.0011829+0.0012926i,-0.0011562+0.00024283i,0.00082015-0.00042083i,-0.00085047-4.4951e-05i,-0.0018076-0.0003395i,-5.934e-05+0.0027204i,-0.0027801-0.00077334i,0.0013717+0.023621i,-0.029786-0.0070978i,-0.017678+0.018068i,-0.039669-0.020377i,-0.064452+0.010337i,-0.022034-0.011097i,-0.0027608+0.02665i,-0.0065937+0.00096043i,-0.026883-0.0050478i,-0.030116-0.0030298i,-0.021285+0.029621i,-0.0029969+0.0036084i,0.018714+0.010795i,0.010275-0.0074274i,-0.0054578+0.0057845i,-0.013081+0.023383i,0.004342+0.0070623i,0.0043944+0.0049508i,0.00037167-0.0015248i,0.0097724+0.0013517i,0.0016609+0.0075117i,0.0017245+0.0049962i,-0.0035953-0.0090225i,0.0011593+0.0057865i,0.0023237+0.0021186i,-0.0002617+0.0074312i,-0.0017953-0.00046882i,0.0044296-0.003681i,0.0097249+0.0019946i,0.0010958-0.00072562i,-0.022833-0.022082i,0.0058136-0.010144i,-3.9199e-05-0.005327i,0.0049798-0.00070648i,9.382e-05+0.00081631i,0.004415-0.013205i,0.0069688-0.0024285i,-0.0013256+0.0048679i,0.0032625+0.0017215i,0.0055132-0.0060491i,-0.0032817-0.010238i,-0.0009403-0.0022351i,0.0016888-0.005511i,0.00026401-0.0024084i,-0.0017464-0.0096533i,-0.030578+0.016395i,-0.024869+0.011382i,-0.01176-0.014352i,-0.0054888-0.0019001i,-0.0033553+0.026154i,-0.0091085+0.010583i,0.0015786+0.0081566i
0.0022047+0.046384i,-0.0016172+0.019682i,-0.0035752+0.027063i,-0.0050797+0.021993i,0.005702+0.0072366i,0.0041392+0.0014642i,0.0038019+0.030364i,0.016611+0.0094487i,0.010859+0.0014862i,-0.0011481+0.0034624i,0.0028872-0.00164i,0.0043994+0.0018954i,-0.00083711-0.0027218i,0.0056745-0.00036719i,0.0019846+0.00035046i,0.0055809+0.0053835i,0.010833+0.0050518i,-0.00010771+0.0012938i,-0.0023204-0.0046275i,-0.0024421-0.00076563i,-0.0025564-0.0008742i,-0.0013022-0.0036197i,-0.0021224-0.0013902i,-0.0097957+0.0089177i,-0.0017894-0.00039822i,-0.0011826+0.0005142i,-0.001241+0.0015113i,-0.0014616-0.0017026i,-0.0011054+0.00049551i,-0.00056774-0.0004022i,0.0020996-0.0013769i,0.0010946-0.00069996i,-0.00023013-9.4298e-06i,0.00011801+0.00083774i,0.0020881+0.0013214i,-0.012227-0.0066153i,0.00087648+0.002164i,-0.00076625+0.0013501i,-0.0011893+0.00079472i,0.00086783-0.00022995i,-0.00059422+0.00014624i,-0.0013424+3.6596e-05i,0.00046869+0.0020601i,-0.0023499+0.00061644i,0.0061137+0.022649i,-0.026487-0.0055694i,-0.014919+0.017321i,-0.039239-0.010316i,-0.054652+0.026034i,-0.025411-0.0087082i,0.0014947+0.021364i,-0.0068538-0.0031845i,-0.025294-0.0031985i,-0.029082+0.0014544i,-0.012953+0.032717i,-0.0019064+0.0038521i,0.013211-0.0014367i,0.0058457-0.01111i,-0.0038727+0.0089458i,-0.0041063+0.025128i,0.0053528+0.0046852i,0.0050915+0.00098192i,0.0014622-0.0004206i,0.0092201-0.0018874i,0.006275+0.00669i,0.0034993+0.0060492i,-0.0079199-0.0035777i,0.0038736+0.0075009i,0.0037457+0.0029754i,0.0039019+0.0072803i,-0.0011945+9.4388e-05i,0.0033976-0.0044973i,0.0096742-0.0045228i,-0.00057232-0.0011595i,-0.031224-0.013219i,0.0018333-0.01021i,-0.0019791-0.004039i,0.0051033-0.00059666i,0.00068683+0.00073792i,0.0026718-0.015036i,0.0052482-0.0049406i,0.00098959+0.0038902i,0.003343+0.00088736i,0.0039626-0.0067203i,-0.0068668-0.0061177i,-0.0021826-0.0021661i,-0.00086472-0.0049804i,-0.0012016-0.0029443i,-0.0047717-0.0073603i,-0.025215+0.018288i,-0.017989+0.01205i,-0.012573-0.012933i,-0.0068581-0.0011091i,0.0010254+0.02434i,-0.007663+0.012497i,0.0021451+0.0057176i
0.009273+0.044681i,0.0016098+0.020316i,0.00011751+0.029575i,-0.0023296+0.021733i,0.0048177+0.0067266i,0.0037957+0.00061147i,0.0092917+0.026327i,0.016616+0.0063266i,0.011103-0.0012848i,-0.00029022+0.0033821i,0.002887-0.0010996i,0.0064106-0.00027369i,-0.0016204-0.0018372i,0.0037947-0.0016319i,0.0019718+0.00020854i,0.007506+0.003426i,0.011575+0.00079597i,0.00052369+0.00096073i,-0.0034164-0.0037884i,-0.0021941+0.00044852i,-0.0017883-0.00029042i,-0.0021196-0.002657i,-0.0023165-0.00079494i,-0.0054773+0.011218i,-0.0021061+0.00045433i,-0.00095693+0.0011454i,-0.00079202+0.0018521i,-0.0027907-0.0010583i,-0.0010112+0.00058271i,-0.00077269-0.00022265i,0.0012068-0.0018917i,0.0012049-0.0016394i,-0.00039176-8.5695e-05i,0.00016151+0.00073169i,0.0018112+0.00030515i,-0.014724-0.002527i,0.0013655+0.0016713i,-0.00039916+0.0016299i,-0.0011459+0.0011811i,0.0010775+2.481e-05i,-0.00021549+0.00013304i,-0.0011366+0.00016183i,0.00049316+0.0014513i,-0.0016081+0.001703i,0.0099009+0.019944i,-0.026875-0.0045817i,-0.013066+0.01604i,-0.03853-0.0023216i,-0.04114+0.03432i,-0.028621-0.0055953i,0.0054864+0.015443i,-0.0080143-0.0048541i,-0.024259-0.0022092i,-0.026931+0.0061852i,-0.0038771+0.033474i,-0.00082599+0.0037403i,0.0061057-0.0031755i,0.000596-0.012298i,0.00010565+0.012195i,0.0039151+0.022537i,0.0049424+0.0022616i,0.0039437-0.0021336i,0.00093611-2.205e-05i,0.007495-0.0053019i,0.0094166+0.003289i,0.0061652+0.0057109i,-0.0078578+0.00062061i,0.0069033+0.0076766i,0.0054662+0.0028105i,0.0080295+0.0053141i,-0.00070016+0.00072943i,0.00293-0.0052696i,0.00557-0.0085088i,-0.00093262+0.0008831i,-0.03476-0.0005892i,-0.00079041-0.009464i,-0.0028503-0.0021911i,0.0057889-0.0014942i,0.00084703+0.00031339i,-0.0014902-0.017232i,0.002654-0.0062358i,0.0026067+0.0032446i,0.0038431-0.00020498i,0.0036536-0.0075542i,-0.008892-0.0032148i,-0.0035661-0.00044789i,-0.003467-0.0032725i,-0.0023054-0.002783i,-0.0062852-0.0049739i,-0.020735+0.018293i,-0.016392+0.011991i,-0.013331-0.013742i,-0.0075551+0.00035053i,0.0029867+0.023412i,-0.0064776+0.013318i,0.0027976+0.0042182i
0.016382+0.042049i,0.0058033+0.019988i,0.0062013+0.030489i,0.00072112+0.021285i,0.0051208+0.007235i,0.0035988+0.00023323i,0.013027+0.02109i,0.016674+0.0033901i,0.010364-0.0041179i,0.0003308+0.0030054i,0.0030729-0.0016926i,0.0057686-0.003605i,-0.0019098-0.00084159i,0.0028942-0.0017604i,0.00203-2.2834e-05i,0.0079278+0.00064931i,0.010513-0.003125i,0.00035417+0.0004007i,-0.0045474-0.0024347i,-0.0012827+0.0010334i,-0.00099087-0.00036724i,-0.0023037-0.0018966i,-0.0023085-8.4942e-05i,-0.0011935+0.011178i,-0.0018212+0.0013438i,-0.00045004+0.0014427i,8.4551e-06+0.0020014i,-0.003305+0.00030635i,-0.00077635+0.00050384i,-0.00084677-8.0257e-05i,0.00025542-0.0019612i,-4.7399e-05-0.0022171i,-0.00051697+0.00014807i,0.00017709+0.00071058i,0.001256-0.00028406i,-0.014891+0.0025711i,0.0015229+0.0011224i,0.00027671+0.0016543i,-0.00094612+0.0015403i,0.0013493-0.000145i,-7.9134e-05-0.00016864i,-0.00068643+9.9083e-05i,0.00022958+0.0011135i,-0.00059054+0.0021926i,0.012386+0.01757i,-0.029487-0.000608i,-0.011597+0.015229i,-0.033574+0.0059683i,-0.028495+0.038751i,-0.031049+0.0014427i,0.0076732+0.0081174i,-0.0062569-0.0069002i,-0.023339-4.6289e-05i,-0.022716+0.010987i,0.0040039+0.031867i,-0.00045993+0.0028422i,0.0021707-0.0031146i,-0.004993-0.011798i,0.0064151+0.011537i,0.008637+0.01745i,0.0029893+0.00076404i,0.0021735-0.0044605i,0.0018361+0.0026052i,0.0038295-0.007414i,0.01057-0.0023358i,0.0084818+0.0036915i,-0.0072752+0.0044339i,0.011033+0.0061418i,0.0077102+0.00048354i,0.010084+0.00036257i,0.00020696+0.0012606i,0.001545-0.0059633i,-0.00027333-0.0091629i,0.00084587+0.0023493i,-0.033402+0.012797i,-0.0027947-0.0087551i,-0.0024893-0.00023783i,0.0056146-0.005635i,0.0013055+0.0006432i,-0.0080318-0.016632i,-7.5447e-05-0.0059768i,0.0037721+0.0016347i,0.0038782-0.0005999i,0.0018761-0.0088032i,-0.0091663+0.002296i,-0.0032141+0.0017974i,-0.0048207-0.0013028i,-0.0037286-0.0027553i,-0.0066261-0.0026635i,-0.018627+0.018585i,-0.015818+0.016102i,-0.016469-0.016075i,-0.0056908+0.0020255i,0.0071439+0.023055i,-0.0057778+0.0153i,0.0037977+0.0013417i
0.022893+0.038122i,0.0097882+0.018264i,0.012495+0.028299i,0.0038289+0.020209i,0.0064159+0.0073251i,0.0038781-4.9479e-05i,0.014764+0.015927i,0.016262+0.00058465i,0.0089518-0.0064251i,0.00057718+0.0029829i,0.0026626-0.0022758i,0.0032022-0.0051931i,-0.001886-1.8776e-05i,0.0018935-0.0017928i,0.0020023-0.00030016i,0.0068382-0.0015589i,0.0081638-0.0058565i,0.00023239+0.00036167i,-0.0047613-0.00067079i,-0.00044624+0.00098139i,-0.00038704-0.00073438i,-0.0023539-0.0014937i,-0.0019886+0.000491i,0.002007+0.010399i,-0.0012819+0.001787i,5.4584e-05+0.0016195i,0.00061492+0.0014962i,-0.0028361+0.0017196i,-0.00075448+0.00034642i,-0.0011149+0.00018615i,-0.00056337-0.0016552i,-0.0013504-0.0018586i,-0.00034865+0.00035082i,0.00037112+0.00070109i,0.0006595-0.00064496i,-0.013049+0.0069925i,0.0016275+0.00057786i,0.00068122+0.0012231i,-0.00030314+0.0021045i,0.001431-0.00073584i,-0.00013507-0.00031414i,-0.00064922-0.00048518i,-1.3058e-05+0.0012146i,0.00041024+0.0022359i,0.014663+0.015516i,-0.029027+0.0067368i,-0.011429+0.014698i,-0.027234+0.0095788i,-0.015351+0.040231i,-0.029159+0.010624i,0.0060112+0.0010012i,-0.0068325-0.012293i,-0.020051+0.0014932i,-0.015799+0.015056i,0.012274+0.028051i,-0.0007601+0.0027433i,-0.0014677-0.0018637i,-0.009755-0.0084868i,0.010583+0.0069581i,0.010957+0.013454i,-5.1676e-05+0.0014402i,-0.00043028-0.0066801i,0.0055409+0.0015174i,-0.00020111-0.0070349i,0.0072513-0.0062903i,0.0098005+0.00020879i,-0.0057299+0.0072032i,0.014182+0.00050767i,0.0075867-0.004325i,0.0088698-0.0049446i,0.0015278+0.0011231i,-0.00041434-0.0063745i,-0.0041846-0.0059561i,0.0029229+0.0014238i,-0.025384+0.026881i,-0.0051054-0.0076628i,-0.0011971+0.00089203i,0.0015196-0.0072708i,0.0020795+0.00048928i,-0.014195-0.012727i,-0.0013011-0.0041518i,0.0038965-0.0005697i,0.003581-0.0014122i,-0.00071793-0.0088284i,-0.0054238+0.006667i,-0.0017815+0.0032253i,-0.0049962+0.0020522i,-0.0057879-0.0020684i,-0.0065806-0.0012809i,-0.014789+0.021872i,-0.0076701+0.020572i,-0.02242-0.015278i,-0.0031641+0.00063748i,0.010397+0.020812i,-0.003375+0.01803i,0.0026653-0.0022183i
