-0.0081395-0.039584i,-0.012212-0.043483i,0.0015284-0.045945i,-0.026818-0.027954i,-0.02044+0.014432i,-0.03225-0.032463i,-0.059585-0.062487i,-0.022229-0.072787i,-0.038412-0.065299i,0.0020157+0.015584i,-0.0075303+0.010205i,-0.014967+0.013494i,0.0012819+0.017268i,-0.0038638-0.0033525i,0.00041176+0.0067406i,-0.00019671+0.039312i,0.025793+0.056087i,0.0010189-0.00031664i,-0.0058105-0.0085135i,0.0072261+0.0044663i,0.0016288+0.0010095i,-0.0015487+0.0037274i,3.7964e-05-0.001331i,-0.035593-0.0094475i,-0.0027617-0.0082269i,-0.00030973+0.0043617i,0.0048754-0.0017258i,0.00025885+0.00076798i,-8.141e-05-0.0010337i,-3.2895e-05-0.0027617i,-0.0011168-0.0055491i,-0.0023137-0.0039579i,-0.0010091-0.0077879i,0.0032471-0.00081269i,0.0030659-0.003i,-0.0042007+0.032968i,0.0063591-0.004708i,0.0038321-0.0021577i,0.0048935-0.00029177i,-0.068719-0.028302i,-1.8334e-05+0.00013327i,0.0048615-0.0016866i,0.0060058+1.5039e-05i,-0.0034774+0.0036113i,0.0029515+0.0019877i,-0.0038723+0.0087411i,0.016256-0.090169i,-0.00634-0.047498i,-0.023686-0.037002i,-0.019245-0.041758i,0.064006-0.015641i,0.028073-0.06113i,0.038593-0.044604i,0.030166-0.05666i,0.020745-0.016335i,0.0083247+0.0091533i,0.025822-0.034113i,-0.0070099-0.0047513i,0.002418-0.0025229i,-0.0045635-0.0060305i,0.0011928-0.032503i,-0.024649+0.03042i,0.0077978-0.010315i,-0.010819-0.0011784i,-0.005551-0.001417i,-0.0010273-0.013199i,-0.010189+0.0041531i,0.0034738+0.0083518i,-0.0098368+0.030434i,0.0055365+0.0072466i,-0.005273-0.0016107i,-0.0021949-0.0021985i,-0.010773-0.0073996i,0.00096892-0.003723i,-0.040875+0.0043894i,0.0024721-0.012597i,-0.0098694-0.0022936i,-0.0063608-0.0030677i,0.0064525+0.0016261i,-0.0089526+0.0013006i,0.0010134+0.00068741i,0.0057014+0.0094963i,0.0044785+0.00041193i,-0.00891-0.0092498i,0.0025088+0.0088599i,-0.019386+0.0082318i,0.0062944+0.0035787i,-0.028858-0.0090333i,-0.033558+0.0024254i,0.024538-0.080662i,0.012587-0.010289i,-0.043587-0.027902i,-0.02187-0.004734i,0.018005+0.012348i,-0.027359+0.011623i,-0.011334-0.0085411i
-0.033021+0.0010247i,-0.048095+0.016949i,-0.049126+0.041727i,-0.028113+0.0062361i,-0.0058067+0.01416i,-0.009375+0.031114i,-0.030144+0.017455i,-0.057982+0.022927i,-0.02039+0.021323i,0.0014656-0.0096798i,0.0014788-0.0014071i,0.0037767+0.00026933i,0.0031298+0.0088716i,-0.0038632+0.0012663i,0.0017693+0.0023744i,0.0024523-0.009999i,-0.012418-0.0074901i,-0.0041456+0.00083513i,0.0041501-0.0023589i,0.0013836-0.0013157i,0.0024506-0.0043302i,0.001679-0.0041934i,0.0023001-0.0035131i,-0.010696-0.011615i,-0.0025483-0.00050895i,-0.0039667-0.00013737i,-0.003719-0.0011865i,-0.004528-0.0012208i,-0.001366-0.0020834i,0.001418-0.0018851i,-0.0041696+0.0040488i,0.0013709+0.0016159i,0.0023354+0.0019513i,0.0018976+0.00073566i,-0.0012804+0.0028671i,-0.0037034-0.0081046i,-0.0032266+0.00092998i,0.0012716+4.3913e-05i,6.91e-05+0.0032599i,0.012456+0.0076837i,-0.00069842-0.0029325i,0.0008431-1.5636e-05i,-0.0059878-0.0045821i,0.0017593+0.0036574i,-0.019211-0.017621i,0.0015568-0.064177i,-0.092892-0.011359i,-0.021019-0.02018i,-0.043395-0.038656i,-0.043612-0.0074485i,-0.093015+0.012367i,-0.062068+0.00016878i,-0.036581-0.027939i,-0.029122-0.056028i,-0.038064-0.028496i,-0.00060273+0.0019604i,-0.026666+0.015339i,0.0034392+0.015657i,0.0040583+0.0072103i,-2.4948e-05-0.0070657i,0.0083167+0.0042315i,-0.010933-0.0049709i,0.002606+0.010732i,-0.00091064+0.0072931i,-0.0011209-0.0025885i,0.0053043+0.0019564i,0.0037806-0.0011706i,-0.004141+0.019879i,0.00044642+0.014634i,0.0013026-0.0044386i,0.010474-0.0071431i,0.0036424+0.0035299i,-0.0086686-0.0080066i,-0.0019856-0.0016533i,0.030642-0.032891i,0.0080623+0.0081479i,0.0041534+0.0029618i,-0.0016189+0.0031232i,0.0030998-0.0037561i,0.020927+0.0024913i,0.0013198-0.0022058i,-0.0007443-0.0068746i,0.0011749-0.0026092i,0.0099871+0.0046502i,0.0053826+0.0005018i,0.0029546-0.0061726i,0.0031089+0.0076354i,0.0043273+0.0028762i,0.017927+0.0014599i,-0.06658-0.042383i,-0.010369+0.010123i,-0.0061177-0.0043548i,-0.0064191+0.0041378i,-0.03788+0.01252i,-0.0059902+0.0079775i,-0.015508+0.0039262i
-0.030874+0.0048285i,-0.044436+0.021831i,-0.036739+0.044161i,-0.026185+0.012414i,-0.0044148+0.011867i,-0.0038326+0.031329i,-0.028073+0.021993i,-0.049792+0.03091i,-0.015756+0.017328i,-0.002726-0.0076347i,0.0013639-0.00082484i,0.0034505-0.0015903i,0.0054559+0.0058539i,-0.002316+0.0033109i,0.0020638+0.0024508i,-0.0035136-0.0076717i,-0.01694-0.00022158i,-0.0035316+0.0021532i,0.0042929-0.0029948i,0.0013886-0.0020182i,0.0010809-0.0043411i,0.0015997-0.0030979i,0.0017542-0.0036364i,-0.012306-0.0073722i,-0.0021276-6.8105e-05i,-0.0043483+0.0011151i,-0.0032972+0.00040925i,-0.0039906+0.00026164i,-0.0017447-0.0020487i,0.00094477-0.0018525i,-0.0025793+0.0057986i,0.0015528+0.0014213i,0.0025323+0.0011573i,0.00061807+8.8153e-05i,-0.0018405+0.0025721i,-0.0035387-0.0063728i,-0.0028077+0.0015051i,2.6113e-05-0.00070432i,0.00031933+0.0034836i,0.013127+0.00069474i,-0.00049954-0.0045453i,0.00020384-0.00070565i,-0.007616-0.0028294i,0.0028144+0.0032857i,-0.020668-0.019711i,-0.018005-0.070704i,-0.087295+0.0062341i,-0.027605-0.021993i,-0.054363-0.032338i,-0.041215+0.0023779i,-0.081694+0.032689i,-0.059084+0.013214i,-0.027969-0.027398i,-0.035844-0.051929i,-0.044043-0.0044994i,-0.00091745+0.00022441i,-0.018132+0.025165i,0.0073143+0.011295i,0.0062509+0.00277i,-0.0051693-0.012406i,0.0046918+0.0032569i,-0.011526+0.002756i,0.0068479+0.0080923i,0.001674+0.0090844i,-0.0019117-0.0019369i,0.0060167+0.0023939i,0.0036169-0.00097519i,0.005712+0.016389i,0.0074424+0.0083917i,-0.0033636-0.0059041i,0.0030297-0.0080944i,0.0044478+0.0037489i,-0.011556-0.00027671i,-0.0020743+0.00095084i,0.013349-0.038949i,0.010663+0.0061039i,0.007389+0.001199i,0.0014066+0.0019109i,-2.5932e-08-0.0017662i,0.018586-0.0070828i,-0.00014834-0.0026079i,-0.00356-0.0057516i,-0.002222-0.0019907i,0.0099904+0.00019885i,0.0050739+0.00080227i,0.00087484-0.0038374i,0.0057919+0.0069324i,0.0039147+0.0025651i,0.016275-0.0041817i,-0.072349-0.033725i,-0.0032396-0.00057023i,-0.0065828-0.0038171i,-0.0050848+0.0033513i,-0.030406+0.023215i,-0.0037462+0.0090533i,-0.015988+0.0060052i
-0.027889+0.0076231i,-0.041276+0.026563i,-0.028347+0.042891i,-0.022927+0.015268i,-0.001687+0.011853i,0.0017777+0.030328i,-0.024429+0.026425i,-0.041607+0.035179i,-0.016813+0.014527i,-0.0032596-0.0051618i,0.0020139-0.00059535i,-0.00048814-0.0025604i,0.0061355+0.0034845i,-0.0016545+0.0037628i,0.0027476+0.0025693i,-0.0074318-0.0020527i,-0.015684+0.0086449i,-0.0014183+0.0037531i,0.0044745-0.0052145i,0.0013489-0.0030207i,-0.00013011-0.0044165i,0.0020214-0.0041384i,0.0012801-0.0041791i,-0.013383-0.0041076i,-0.002373+0.00049766i,-0.003283+0.0032597i,-0.0025689+0.00080186i,-0.0028162+0.0016039i,-0.0021344-0.0018406i,0.00014261-0.0027775i,9.8619e-06+0.006538i,0.0018577+0.00090862i,0.0017562-0.00025158i,0.00071767-0.00010018i,-0.00095793+0.004175i,-0.0031389-0.0061035i,-0.0024235+0.0023839i,-0.00080022-0.00055979i,0.0024973+0.002486i,0.010375-0.004183i,-0.0024076-0.00017826i,0.00047202+6.0913e-05i,-0.0098998-0.0013591i,0.0037057+0.0014079i,-0.024759-0.020509i,-0.04039-0.066913i,-0.076952+0.018753i,-0.034368-0.019314i,-0.061013-0.021589i,-0.034582+0.0088485i,-0.062519+0.0464i,-0.045267+0.025795i,-0.029332-0.032215i,-0.042294-0.048871i,-0.03495+0.0023461i,-0.0016389-0.00043662i,-0.0065942+0.028515i,0.0094674+0.0065689i,0.0032816-0.0014735i,-0.018131-0.012538i,0.0040838+0.002433i,-0.0070882+0.0074359i,0.0086639+0.0037827i,0.0043784+0.0091424i,-0.0044106+0.00040306i,0.0067576-0.0013333i,0.0038901-0.0024206i,0.0088752+0.0091i,0.0063196+0.0030702i,-0.008031-0.0026455i,0.0003978-0.0059175i,0.0068839+0.0027317i,-0.008106+0.0080659i,-0.00011695+0.0026034i,-0.001101-0.034931i,0.013572+0.00096137i,0.006057-0.003129i,0.00085889+0.00048544i,0.0008959-7.6385e-05i,0.011843-0.011578i,-0.0032148+0.00054892i,-0.0053377-0.0025253i,-0.0035106+0.0018383i,0.0072521-0.0029942i,0.0084453-0.0016216i,0.0015236-0.0034584i,0.0098171+0.003156i,0.0057754+0.0014556i,0.01259-0.0091122i,-0.076544-0.021002i,-0.0082796-0.010479i,-0.0054172-0.0039891i,-0.0047908+0.0019312i,-0.018839+0.026555i,-0.0024638+0.0040432i,-0.011008+0.0042365i
-0.024939+0.0086637i,-0.037328+0.031994i,-0.022721+0.041677i,-0.018994+0.018483i,0.0023163+0.0089659i,0.0067628+0.027902i,-0.019321+0.030298i,-0.03468+0.036719i,-0.018361+0.016474i,-0.0040427-0.0044122i,0.0020134-0.0017575i,-0.0027007+0.00097643i,0.0055785+0.0016698i,-0.001317+0.0054407i,0.0032147+0.0018101i,-0.0065895+0.0045876i,-0.0094649+0.01507i,0.0006954+0.0029018i,0.0020139-0.006734i,-2.3023e-05-0.0042934i,-0.0015016-0.0040369i,0.0013081-0.0049686i,0.00024263-0.0051944i,-0.013772-0.00014325i,-0.0019418+0.00075463i,-0.00086079+0.0031369i,-0.0022798+0.0010327i,-0.0010938+0.0017621i,-0.0028026-0.00057048i,-0.0014184-0.0024653i,0.002352+0.0054714i,0.0015131+0.00047626i,0.00090111-0.00023519i,0.00043706-7.2144e-05i,0.001657+0.0042174i,-0.0038671-0.0073641i,-0.0010301+0.003609i,-0.0013701-6.4576e-05i,0.002403+0.00025248i,0.0066868-0.0062065i,-0.0014329-0.0017336i,0.0010712-0.00035478i,-0.011885+0.001429i,0.002066-0.0012925i,-0.031235-0.019209i,-0.058234-0.051854i,-0.06589+0.024259i,-0.040178-0.014242i,-0.064746-0.01039i,-0.026899+0.010955i,-0.043947+0.049884i,-0.02961+0.02506i,-0.033526-0.030535i,-0.049643-0.041924i,-0.033089+0.01018i,-0.0029467-0.0004019i,0.0035265+0.026211i,0.010191+0.0022507i,-0.0012758-0.001829i,-0.028643-0.00072893i,0.0014023+0.0028858i,-0.0026221+0.0077775i,0.0075084-0.00079575i,0.0077996+0.008035i,-0.0039717+0.0036551i,0.003468-0.0027135i,0.0031137-0.0047612i,0.0077402+0.0026948i,0.0034357+0.00086442i,-0.0086919+0.0013717i,-0.0014987-0.0043936i,0.0078669+0.00020506i,0.0015363+0.010823i,0.0013483+0.0017346i,-0.0090256-0.027988i,0.012383-0.003664i,0.0046491-0.0038785i,0.0010307+0.0015668i,0.0014196-0.00057026i,0.0061534-0.012003i,-0.00028688+0.0033698i,-0.0060234+0.00080074i,-0.0012021+0.0044778i,0.0051404-0.0029161i,0.0074497-0.00608i,-0.00023627-0.0035502i,0.0092473-0.0029437i,0.0054677-0.001565i,0.0082044-0.012893i,-0.074202-0.0073008i,-0.018113-0.013607i,-0.0060669-0.0069309i,-0.0051431+0.00049043i,-0.014277+0.026012i,-0.0065008+0.0029128i,-0.012888+0.0035955i
-0.023378+0.0094153i,-0.033006+0.036652i,-0.019334+0.041389i,-0.013222+0.020637i,0.0042917+0.0048288i,0.010319+0.025388i,-0.01304+0.032221i,-0.029753+0.03828i,-0.01647+0.020648i,-0.004476-0.0029743i,0.00089917-0.0023271i,-0.0015365+0.0040132i,0.0047622+0.00044771i,0.0012681+0.0068508i,0.0037399+0.0013021i,-0.0025928+0.0082438i,-0.0019713+0.017719i,0.0013211+0.0017142i,7.0166e-05-0.0062667i,-0.0020919-0.0044194i,-0.0026979-0.0034063i,0.0003033-0.0051204i,-0.0019846-0.0053033i,-0.011754+0.0032967i,-0.0023103+0.00075432i,-0.00033338+0.0019754i,-0.0020916+0.0016079i,-0.000221+0.00096494i,-0.0026146+0.00096179i,-0.0019023-0.0011245i,0.0038165+0.0039812i,0.0011369-0.00012565i,0.00031644+0.00040112i,0.00017736-0.00011592i,0.0025596+0.0027274i,-0.006281-0.0075164i,-1.5852e-05+0.0040892i,-0.0013315+0.00099022i,0.0014714-0.00045581i,0.0037905-0.0057665i,-0.0015817-0.0019422i,0.0009703-0.0010851i,-0.015874-0.011666i,-0.00019068-0.00024199i,-0.036754-0.013574i,-0.062857-0.031913i,-0.058539+0.025941i,-0.045389-0.0071406i,-0.06712+0.0027964i,-0.022322+0.0082339i,-0.028485+0.048649i,-0.020197+0.020889i,-0.036188-0.028669i,-0.053321-0.034475i,-0.028554+0.018831i,-0.003604+0.00022788i,0.014525+0.020972i,0.0089687-0.00054876i,-0.0046081+0.00052946i,-0.028742+0.012401i,0.0014047+0.0048767i,0.0011692+0.0079669i,0.003317-0.0020628i,0.010604+0.0048602i,-0.0021596+0.0062606i,0.0013587-0.0011403i,0.0012579-0.0067135i,0.0031153+0.0013395i,0.0010075+0.00204i,-0.0081648+0.0069351i,-0.0027783-0.0019306i,0.0074943-0.0026753i,0.0063414+0.0069043i,0.0018446+0.00076887i,-0.013574-0.02432i,0.0096621-0.0076946i,0.003109-0.0051469i,0.0033418+0.0022505i,0.0013721-0.00052606i,0.002862-0.010648i,0.0023695+0.002864i,-0.0041639+0.0045144i,0.0023794+0.0041898i,0.0047898-0.003016i,0.0035495-0.010799i,-0.00027646-0.0027789i,0.0047116-0.0065732i,0.0034787-0.0034415i,0.0016909-0.015293i,-0.068609+0.0007382i,-0.028248-0.0064062i,-0.0088831-0.0087425i,-0.006009-0.00075807i,-0.0093443+0.025814i,-0.0095412+0.0056507i,-0.013544+0.0068058i
-0.022433+0.01052i,-0.027743+0.041311i,-0.016782+0.043924i,-0.0065129+0.020356i,0.0032995-9.8798e-05i,0.014167+0.023185i,-0.0064944+0.032021i,-0.02526+0.040295i,-0.012397+0.022454i,-0.0050931-0.0016782i,-0.00085217-0.0020603i,0.00099039+0.0057354i,0.0037484+7.4133e-05i,0.0040306+0.0055073i,0.0038804+0.00050662i,0.0016607+0.0091895i,0.0060637+0.016591i,0.0015762+0.0011748i,-0.0015238-0.0059076i,-0.0039861-0.0034069i,-0.0032379-0.001744i,-0.00034653-0.005284i,-0.0035107-0.0038649i,-0.0099803+0.0042153i,-0.0028458+0.0018817i,-0.00040723+0.0018467i,-0.0034857-0.0013265i,0.0001154-0.00015347i,-0.001311+0.001606i,-0.0017054-0.00050485i,0.0047882+0.0024459i,0.00079238-0.00036451i,5.0709e-05-0.00073171i,-0.00028885-0.00022565i,0.0028113+0.0020087i,-0.0086085-0.0062097i,0.00074283+0.0036322i,-0.00048727+0.0014796i,0.00073801-0.00080682i,0.0020311-0.0050512i,-0.0019881-0.001776i,0.00040972-0.0016048i,-0.0029891+0.0053591i,-0.00043498+0.0015029i,-0.039882-0.0050648i,-0.059057-0.018571i,-0.054504+0.028543i,-0.047157+0.0038316i,-0.063821+0.019342i,-0.024009+0.0060807i,-0.016936+0.043836i,-0.013683+0.016553i,-0.038259-0.024893i,-0.056715-0.027859i,-0.020974+0.02402i,-0.00454+0.0016094i,0.018421+0.0073803i,0.0085289-0.0039057i,-0.0061117+0.0047939i,-0.022188+0.023882i,0.0031626+0.0048027i,0.0054617+0.0056801i,0.0011286-0.00024196i,0.011902-0.00068686i,0.00097715+0.0076284i,0.0011745-5.9056e-05i,-0.0033264-0.0075643i,0.0010784+0.0041775i,0.0015651+0.0041046i,-0.0031806+0.011734i,-0.0015601+0.0004187i,0.0056874-0.0041666i,0.0091378+0.0029846i,0.0025075-0.00074215i,-0.020275-0.023224i,0.0053619-0.0094114i,0.00036177-0.0057809i,0.0045893+0.00022805i,0.0011062-6.4228e-05i,0.001602-0.0088279i,0.0034212+0.00078893i,-0.0012142+0.0057412i,0.0036656+0.0012832i,0.0039271-0.0039435i,-0.0026589-0.010495i,-0.00048991-0.0034217i,0.0022314-0.0063937i,0.0023729-0.0051562i,-0.0054292-0.013669i,-0.06585+0.0073645i,-0.026584+0.0065309i,-0.013011-0.0090746i,-0.0078577-0.00052361i,-0.0061416+0.026197i,-0.0083681+0.010143i,-0.0089588+0.009218i
-0.021383+0.012227i,-0.021563+0.045671i,-0.011296+0.048231i,-0.004099+0.018912i,-0.00046085-0.0025588i,0.017959+0.019974i,-0.0005621+0.030717i,-0.020569+0.043271i,-0.0084232+0.023762i,-0.0061292-0.00031157i,-0.001679+3.7844e-05i,0.0043237+0.0056408i,0.0032698+0.00028156i,0.0052176+0.0030411i,0.0036058-6.1534e-05i,0.0053897+0.0080477i,0.012102+0.011924i,0.0018732+0.00090828i,-0.0026868-0.0053443i,-0.0048752-0.0013402i,-0.0026398-0.00059675i,-0.0018086-0.0057258i,-0.0039727-0.00233i,-0.010554+0.0064915i,-0.0023045+0.0030847i,1.7626e-05+0.0023626i,-0.0014198+0.001538i,-0.0010091-0.00121i,-0.001166+0.0013577i,-0.0016911-0.00015007i,0.0050869+0.00086513i,0.00096086-0.0005795i,0.00038543-0.00098238i,-0.00023313+0.00014193i,0.0034525+0.00030425i,-0.010899-0.0040536i,0.0017932+0.0035007i,0.00019676+0.0012026i,0.00018835-0.0010005i,0.00085784-0.0043024i,-0.0023321-0.0010605i,6.3082e-05-0.0015374i,-0.0025289+0.0064577i,0.00028674+0.0019845i,-0.039649+0.0024686i,-0.056358-0.013183i,-0.050136+0.033284i,-0.043571+0.01386i,-0.054636+0.032688i,-0.025343+0.0092977i,-0.0090124+0.039445i,-0.010906+0.011419i,-0.039811-0.021092i,-0.059599-0.019516i,-0.014687+0.025819i,-0.0033371+0.002402i,0.011892-0.0033748i,0.0054741-0.0079077i,-0.0046377+0.008054i,-0.011107+0.029148i,0.0034141+0.0029778i,0.0074367+0.0012945i,0.0019916+0.00067604i,0.010051-0.0044449i,0.0049625+0.0075894i,0.0013401+0.0017327i,-0.0073642-0.0025678i,0.0025824+0.0065037i,0.0032291+0.0055329i,0.004072+0.011917i,-0.00068743+0.00059884i,0.004392-0.0054158i,0.01012-0.0029051i,0.00058969-0.0014738i,-0.028857-0.015424i,0.0019468-0.0094913i,-0.0015601-0.0039624i,0.0055579+0.00033549i,0.0011039-0.00040292i,0.0015062-0.0095776i,0.0029345-0.00086636i,0.0010648+0.0044873i,0.0034105+0.00039006i,0.0033121-0.0036743i,-0.0066923-0.0067024i,-0.0026443-0.0039929i,-0.0023345-0.0053204i,0.00022635-0.0064719i,-0.0098012-0.0091598i,-0.062155+0.014777i,-0.022085+0.008675i,-0.013037-0.0072077i,-0.0090034+0.0010775i,-0.00069298+0.024525i,-0.0072613+0.011339i,-0.0062872+0.0078953i
-0.020036+0.013778i,-0.013893+0.049328i,-0.0037192+0.051765i,-0.0040822+0.016721i,-0.0044692-0.0020211i,0.020776+0.016252i,0.0048184+0.028527i,-0.014116+0.046086i,-0.0041271+0.023958i,-0.0061833+0.0016521i,-0.00066181+0.0016252i,0.0073868+0.0031605i,0.0032678+0.00042136i,0.004747+0.0014455i,0.0036844-0.00028112i,0.008062+0.0050901i,0.013991+0.0073554i,0.0023282-0.00040688i,-0.0038695-0.004637i,-0.0044403+0.00070612i,-0.0019504+0.00014018i,-0.0032877-0.0046092i,-0.0040247-0.0012917i,-0.0082535+0.010567i,-0.0012606+0.0042982i,0.0010344+0.002296i,-0.0009593+0.0022373i,-0.0029414-0.00088183i,-0.00098364+0.001761i,-0.0015329+0.00038776i,0.0049259-0.00097118i,0.00075887-0.0011549i,0.0003545-0.0011697i,-4.0897e-05+0.00037412i,0.0025924-0.0011775i,-0.012242-0.00057059i,0.0027574+0.0029995i,0.00060492+0.0011621i,-0.00065964-0.0011754i,0.00047229-0.0032347i,-0.002135-0.0006365i,-0.00022822-0.0017116i,-0.0016322+0.0071904i,0.00084752+0.0022147i,-0.038317+0.008737i,-0.058171-0.0083911i,-0.045293+0.037725i,-0.039047+0.021535i,-0.042209+0.040922i,-0.025922+0.012796i,-0.00097863+0.035178i,-0.0096147+0.0089259i,-0.040717-0.016847i,-0.060326-0.0093359i,-0.0090632+0.027874i,-0.0024847+0.0026142i,0.0042984-0.0046968i,0.00094636-0.0097108i,-0.0011848+0.011181i,-0.00037901+0.028366i,0.0024921+0.0016066i,0.0067667-0.0035961i,0.001645+0.00057495i,0.0072372-0.0077925i,0.0092869+0.004821i,0.0027709+0.0023896i,-0.0071185+0.0010345i,0.0054351+0.0071275i,0.0055629+0.0065214i,0.0095035+0.0083161i,-0.00022745+0.001036i,0.0036867-0.0064728i,-0.0039261-0.0035977i,1.2281e-05+0.00025929i,-0.033479-0.0046327i,-0.00019211-0.0089653i,-0.0021886-0.0022383i,0.0069828-0.0015478i,0.00095484-0.00029679i,-0.00036642-0.011631i,0.0018025-0.0016987i,0.0031329+0.0036866i,0.003789-0.00072163i,0.0038864-0.004318i,-0.0084026-0.0030619i,-0.0047137-0.0017991i,-0.004957-0.0026163i,-0.00202-0.0068388i,-0.010903-0.0046784i,-0.057911+0.020733i,-0.021315+0.0097688i,-0.012778-0.0080048i,-0.0089092+0.0029288i,0.0013139+0.023003i,-0.0069858+0.011949i,-0.0047452+0.0069335i
-0.018387+0.01564i,-0.0045564+0.050919i,0.0061921+0.053141i,-0.0035286+0.016126i,-0.0064568+0.001285i,0.023284+0.012311i,0.0090687+0.024823i,-0.0060902+0.047807i,5.9426e-05+0.023163i,-0.0060203+0.0033494i,0.00053791+0.0013788i,0.0075194-0.00092517i,0.0038408+5.6656e-05i,0.0044766+0.00044526i,0.0038816-0.00084797i,0.0081896+0.0015532i,0.015238+0.0029189i,0.00096579-0.0016283i,-0.005458-0.0031744i,-0.0032878+0.0019353i,-0.00095612+0.00011433i,-0.0039674-0.0036046i,-0.0039269-0.00029077i,-0.0032109+0.012632i,0.00069626+0.0046659i,0.0017196+0.0016416i,8.4563e-05+0.0025423i,-0.0036674+0.00089799i,-0.0004645+0.0015473i,-0.0012574+0.00067327i,0.0038688-0.0025403i,0.00022756-0.0015294i,9.5353e-05-0.00083328i,5.0748e-05+0.00024138i,0.0013356-0.0018623i,-0.012023+0.0033355i,0.0032435+0.0018819i,0.00095027+0.00097726i,-0.001603-0.00071169i,0.00028181-0.0028039i,-0.0024093-0.00032006i,-0.00062591-0.0019075i,-0.00063659+0.0075653i,0.0016796+0.0023131i,-0.036249+0.015178i,-0.061857+0.00056156i,-0.039222+0.04123i,-0.031597+0.027239i,-0.030411+0.045923i,-0.025081+0.019705i,0.0059095+0.028113i,-0.0053424+0.0066268i,-0.04077-0.011905i,-0.057998+0.00080667i,-0.0013694+0.02856i,-0.0023787+0.0022124i,-0.00026288-0.0039522i,-0.004303-0.0094842i,0.0046699+0.011018i,0.0091274+0.023922i,0.00029822+0.0012714i,0.0043662-0.0076023i,0.0027402+0.0019702i,0.0026969-0.0093767i,0.010898-0.0013101i,0.0044979+0.0018893i,-0.0068346+0.0046359i,0.0094715+0.0064968i,0.010036+0.0048214i,0.012683+0.0033639i,0.00086728+0.0015457i,0.0018142-0.0074276i,-0.00028667-0.0081604i,0.0014801+0.0018358i,-0.032684+0.0076069i,-0.0023922-0.0090588i,-0.0018115-0.00035324i,0.0057659-0.0067415i,0.0014321+0.00015161i,-0.0052796-0.012369i,0.00080755-0.001513i,0.0045083+0.0017079i,0.0036232-0.0014116i,0.0029595-0.0056477i,-0.0083958+0.001561i,-0.0043896+0.0010875i,-0.005054+0.00023704i,-0.0047409-0.0066867i,-0.01057-0.0011956i,-0.054189+0.0265i,-0.020768+0.015881i,-0.014881-0.010747i,-0.0054529+0.0040542i,0.0043058+0.022043i,-0.0069805+0.01491i,-0.0032174+0.0050724i
-0.016241+0.017006i,0.0045517+0.049633i,0.018006+0.050787i,-0.0022914+0.016886i,-0.0056741+0.0047626i,0.025476+0.0078046i,0.011756+0.020789i,0.0022985+0.046993i,0.0036874+0.021743i,-0.0047631+0.0050315i,0.00074843+0.0011669i,0.0053846-0.0036621i,0.0039445-0.0010614i,0.0039614-0.00023991i,0.0036248-0.0016112i,0.0066457-0.00060737i,0.014801-0.0017073i,-0.00010798-0.001255i,-0.0054955-0.0011627i,-0.0018476+0.002373i,-0.00028364-0.00038307i,-0.0044277-0.0028765i,-0.0033946+0.00055113i,0.0018413+0.012371i,0.0025055+0.0037018i,0.0019481+0.0011052i,0.0011468+0.0021681i,-0.0028811+0.0027201i,-0.00012198+0.0012778i,-0.0011764+0.0010569i,0.002295-0.0033164i,-0.00037402-0.0015137i,-0.00058315-0.0013715i,-0.00015221+0.00010995i,0.00027467-0.0019553i,-0.010262+0.0066795i,0.0033784+0.00058809i,0.0010807+0.00054985i,-0.0018565+0.00046486i,-3.3465e-05-0.0028556i,-0.0024273+0.0002611i,-0.0013587-0.002401i,0.00079205+0.0083583i,0.0025195+0.0018488i,-0.032429+0.020981i,-0.061879+0.013452i,-0.03501+0.043462i,-0.024507+0.029916i,-0.017544+0.048429i,-0.019324+0.027765i,0.0096233+0.020085i,-0.0030857-2.8285e-05i,-0.038208-0.0077236i,-0.05245+0.011067i,0.0060946+0.025952i,-0.002496+0.0026532i,-0.004533-0.0014601i,-0.0082578-0.0067665i,0.0087155+0.0072314i,0.010258+0.01759i,-0.0026006+0.0029907i,0.00034039-0.011025i,0.0047782+0.00064298i,-0.0017292-0.0082076i,0.0080282-0.0056726i,0.0057525-0.00028906i,-0.0051449+0.0073755i,0.013202+0.0017514i,0.011685-0.0015641i,0.011656-0.0041952i,0.0027048+0.0011122i,-0.00077334-0.007718i,-0.0038-0.0053205i,0.0037186+0.00064203i,-0.027631+0.016376i,-0.0048201-0.008303i,-0.00051105+0.00080339i,0.0013179-0.0077666i,0.0020449+5.9851e-06i,-0.010553-0.00961i,0.0010433-0.00071777i,0.0050113-0.00071145i,0.0028727-0.0024306i,0.0013442-0.0060505i,-0.0060087+0.005523i,-0.003075+0.00274i,-0.0044493+0.0037296i,-0.0083032-0.0054061i,-0.0096459+0.0015427i,-0.048704+0.033991i,-0.01261+0.021093i,-0.020056-0.01121i,-0.0027702+0.0023119i,0.0064338+0.020603i,-0.0044826+0.018422i,-0.0027005+0.001705i
