-0.030128-0.042764i,-0.021441-0.021982i,-0.012525-0.038395i,-0.029958-0.021641i,-0.023679-0.0014145i,-0.013885-0.0042118i,-0.053238-0.054797i,-0.047822-0.015604i,-0.033864-0.013464i,0.013794+0.01201i,-0.0085677+0.0052669i,-0.019015+0.018755i,0.0019426+0.011739i,-0.004674-0.0012764i,0.00081692+0.0010406i,-0.00074693+0.029847i,0.02166+0.022494i,0.0023722-0.0020989i,-0.0030573-0.0074593i,0.008004+0.0039993i,0.0025233+0.00025347i,-0.00021087+0.0037728i,-0.00040344+0.00015243i,-0.033335-0.0082727i,0.00048553-0.0092342i,0.0013603+0.0022356i,0.0074667+0.0006748i,0.0021978+0.00029884i,0.0012136-0.00052582i,-0.0004167-0.0027351i,0.0014553-0.0024321i,-0.0027792-0.0062188i,-0.00091131-0.004749i,0.0030254-0.00041895i,0.0044101-0.0035257i,0.0025087+0.030469i,0.0045574-0.0040413i,0.0028699-0.001397i,0.0082733-0.0013537i,-0.0093907-0.0009204i,-0.00055357+0.00074792i,0.0065278+0.0016572i,0.0048356-0.0020328i,-0.003607+0.0078032i,-0.016477-0.011093i,-0.018416+0.013056i,-0.0014353-0.063034i,-0.0049571-0.027305i,-0.025253-0.032649i,-0.010528-0.026976i,0.051527-0.024919i,0.016051-0.044181i,0.023968-0.047226i,0.0080903-0.05073i,0.027403-0.021496i,0.0084453+0.0061886i,0.026604-0.035184i,-0.008211-0.0060428i,0.0029081-0.0045203i,-0.0043708-0.0069157i,-0.0017141-0.032704i,-0.020563+0.027415i,0.008586-0.012001i,-0.00872-0.0038475i,-0.0042178-0.0018997i,-0.00013056-0.012601i,-0.010967+0.0040514i,0.002309+0.010374i,-0.0050325+0.026137i,0.0050191+0.0027802i,-0.0055557-0.0020948i,-0.0019526-0.0021368i,-0.012755-0.0076571i,-0.00049903-0.004254i,-0.014231+0.011049i,0.0010939-0.011011i,-0.0086917+0.00054319i,-0.0067819-0.002601i,0.005244+0.0011028i,-0.0081199-0.00097147i,0.002347+1.3677e-05i,0.004617+0.0082479i,0.0040318+0.00063936i,-0.006378-0.011896i,0.0031411+0.009908i,-0.012378+0.0034642i,0.0069983+8.5007e-05i,-0.023005-0.0034876i,-0.016937+0.0068329i,-0.0053241-0.067857i,0.0074139-0.012155i,-0.049591-0.024499i,-0.020541-0.00090314i,0.016466+0.012272i,-0.023603+0.015401i,-0.02054-0.0063727i
-0.043015+0.026439i,-0.018548+0.020375i,-0.023222+0.04237i,-0.027548+0.013347i,-0.0043605+0.022552i,-0.00026541+0.0082075i,-0.030527+0.021832i,-0.001171+0.029208i,0.0050942+0.018992i,-0.0057839-0.005855i,0.0025381+0.0042825i,0.0081925-0.00050316i,0.0059948-0.00066558i,-0.00075988+0.0023809i,0.00012505+0.001969i,0.0058812-0.0045688i,-0.0051095-0.00042174i,-0.0028219+0.00046673i,0.0032891-0.0006074i,-0.00015218-0.0010852i,0.0025818-0.0047136i,0.0013184-0.0028183i,0.0014601-0.0027929i,-0.0085247-0.010253i,-0.0022183+0.0034154i,-0.0016518+0.00031754i,-0.0041717-0.0012627i,-0.0029877-0.00014113i,-0.0033797-0.0033047i,-9.8336e-05-0.00045399i,0.00021598+0.0034806i,0.00079938+0.0011298i,0.0012593+0.00095814i,-0.00062264+0.0006462i,-0.0027551+0.0023553i,-0.0018987-0.0062457i,-0.0024527+0.00035522i,0.00079997-0.00053005i,-0.0019258+0.0011276i,0.0045181+0.0036757i,-0.00012978-0.0019379i,-2.7322e-05-0.0033921i,-0.0039724-0.00092672i,0.0034589+0.0018356i,-0.021468+0.026298i,0.0046455-0.035752i,-0.056534+0.0030352i,0.0079054-0.030211i,-0.030683-0.048185i,-0.029789-0.019686i,-0.062286+0.021862i,-0.038156+0.0017308i,-0.034628-0.010133i,-0.023595-0.028635i,-0.039892-0.022472i,-0.0050293+0.0026106i,-0.028223+0.010162i,0.0061112+0.017421i,0.0026782+0.0078776i,-0.0032846-0.0051525i,0.0017975+0.0013316i,-0.012478-0.011706i,0.0052429+0.010966i,-0.0017254+0.0056535i,-0.0019702-0.0011644i,0.001058+0.0027042i,0.0039106-0.00077737i,-0.0029571+0.016301i,0.006412+0.014264i,0.0040623-8.6705e-05i,0.0097666-0.0070319i,0.0043608+0.0031124i,-0.0090458-0.0067862i,-0.00097985-0.0029485i,0.0055233-0.036527i,0.0073954+0.0094822i,0.0057456+0.0016075i,-0.0025836+0.0024352i,0.0033821-0.0056499i,0.020599+0.0068003i,0.0034605+0.0029889i,0.00063717-0.0064181i,0.0010023-0.003075i,0.019477+0.0037471i,0.0046299+0.0014507i,0.0029623-0.0044281i,0.0037376+0.0085085i,-0.0003335+0.00068896i,0.0092156+0.0024576i,-0.050081-0.015742i,-0.0050047+0.015116i,-0.0013567-0.0032595i,-0.0066336+0.0051331i,-0.037066+0.012033i,-0.0057839+0.0073771i,-0.011597+0.015752i
-0.038868+0.03162i,-0.015109+0.020311i,-0.012447+0.038801i,-0.024939+0.016685i,-0.0013495+0.020777i,0.0011676+0.0080665i,-0.027799+0.026679i,0.0046548+0.027539i,0.0077006+0.014348i,-0.0069265-0.0033346i,0.0040085+0.0048609i,0.0070332-0.0032822i,0.005137-0.0027537i,0.00091963+0.0029312i,0.00039411+0.0021418i,0.0018018-0.0039663i,-0.0060348+0.0023929i,-0.0022529+0.0011991i,0.0043332-0.00076455i,8.7457e-05-0.0010236i,0.0010986-0.0050948i,0.0010559-0.0023993i,0.00082053-0.0028762i,-0.010547-0.0065859i,-3.777e-05+0.0032247i,-0.0016655+0.00077837i,-0.0035973+0.00067596i,-0.0022145+0.00077291i,-0.0051478+0.0018126i,0.00013435-0.00031997i,0.00079032+0.0023265i,0.00052145+0.0012112i,0.001467+6.0345e-05i,-0.00077922+0.00081457i,-0.002547+0.0027227i,-0.0017192-0.0050788i,-0.0018167+0.0015118i,-0.00010853-0.0010816i,-0.0016666+0.0006281i,0.0047174+0.0011556i,-0.00047741-0.0016073i,-0.0014461-0.0036286i,-0.0043565+0.00045221i,0.0038664+0.001122i,-0.016934+0.02632i,-0.0085111-0.040627i,-0.049765+0.013712i,-0.00057907-0.038173i,-0.044773-0.042841i,-0.030216-0.012745i,-0.0507+0.033186i,-0.035114+0.0099149i,-0.025216-0.011971i,-0.027859-0.024878i,-0.043828-0.0072811i,-0.0043917+0.0024562i,-0.023248+0.021919i,0.010998+0.012066i,0.0052384+0.0041537i,-0.0086159-0.0088099i,-0.0015702+0.0033225i,-0.012736-0.0017268i,0.0089478+0.0078245i,-0.0010215+0.0073857i,-0.0020502+0.00035143i,0.0021859+0.0038243i,0.0042164-0.0011567i,0.0048831+0.012875i,0.0092785+0.0069365i,6.7537e-05-0.0029621i,0.002995-0.0081424i,0.0047446+0.0027042i,-0.0117+0.0013919i,-0.0026233-0.00081648i,-0.010339-0.027276i,0.011396+0.0074237i,0.0066055-0.00092975i,0.00074428+0.0024778i,-0.00037061-0.0033705i,0.020905-0.0023681i,0.003678+0.0012535i,-0.0027746-0.0052174i,-0.0028041-0.0016187i,0.024206+0.0022108i,0.0048532+0.0015818i,0.0011292-0.0031831i,0.0066081+0.0072811i,2.646e-05+0.0015046i,0.00935-0.00087643i,-0.052927-0.010786i,-5.3316e-05-0.0022034i,-0.00014288-0.0038811i,-0.0049177+0.0049336i,-0.0304+0.02317i,-0.00336+0.008387i,0.00074419+0.0048589i
-0.03377+0.036398i,-0.012543+0.02049i,-0.0073761+0.032585i,-0.022276+0.019791i,0.0022839+0.0197i,0.0028659+0.007482i,-0.022831+0.031674i,0.0096544+0.024255i,0.0078365+0.010914i,-0.0074591-0.00048845i,0.0059585+0.0045258i,0.0026351-0.0042555i,0.0032831-0.0039132i,0.0016478+0.0026801i,0.00099706+0.0022012i,-0.0012505-0.0013803i,-0.0050935+0.005327i,-0.00098362+0.001556i,0.0052504-0.0035486i,0.00027938-0.001532i,-0.00050388-0.005029i,0.0011048-0.0027075i,0.00027678-0.0029382i,-0.01219-0.0033719i,0.00078182+0.0027973i,-0.0010138+0.0016061i,-0.0025495+0.0010709i,-0.00092017+0.0012116i,-0.0031958+0.00068155i,-2.9377e-05-0.00074953i,0.00084983+0.0021161i,0.00075984+0.0013864i,0.0011864-0.00032129i,-0.00054085+0.00081598i,-0.0012004+0.0036175i,-0.00076343-0.0051437i,-0.0016651+0.0020208i,-0.0009681-0.00087046i,-0.00081633+0.0013882i,0.0038891-0.00050182i,-0.00066724-0.0015335i,-0.0011947-0.0020527i,-0.0041621+0.0016678i,0.0038449-0.0004756i,-0.013479+0.026769i,-0.023928-0.038109i,-0.039892+0.020666i,-0.012274-0.040776i,-0.053388-0.033429i,-0.026638-0.0073002i,-0.035221+0.038805i,-0.024392+0.015568i,-0.027343-0.015471i,-0.029798-0.020605i,-0.041139+0.0065179i,-0.0036834+0.0026972i,-0.012199+0.028886i,0.013888+0.006031i,0.0030624-0.0005871i,-0.018483-0.0053685i,-0.00079219+0.0048765i,-0.0068484+0.0042803i,0.010867+0.0028111i,0.0023336+0.0083312i,-0.0034029+0.0023223i,0.0027527+0.001664i,0.0041801-0.0028993i,0.0070886+0.0064938i,0.0084344+0.0029104i,-0.0041551-7.8327e-05i,0.00015155-0.0061402i,0.00645+0.0016247i,-0.0069623+0.011146i,-0.00061395+0.0011085i,0.00022624-0.013254i,0.014845+0.0015143i,0.0047154-0.002393i,0.00092079+0.0010084i,3.5105e-06-0.0014085i,0.016336-0.0092536i,0.0022995+0.0027863i,-0.0051042-0.002901i,-0.0030452+0.002399i,0.01571+0.0013445i,0.008171-0.00064178i,0.00094994-0.0032998i,0.0099718+0.0034533i,0.0027456+0.0010195i,0.0080636-0.0037741i,-0.055586-0.00046304i,-0.0092061-0.011049i,0.002058-0.0069961i,-0.0039122+0.0035533i,-0.02084+0.024915i,-0.0035923+0.0038419i,-0.000772+0.0097529i
-0.027661+0.039999i,-0.0093514+0.021492i,-0.0061142+0.028061i,-0.018115+0.022861i,0.0056916+0.016677i,0.0045071+0.0059841i,-0.015775+0.035496i,0.013045+0.019879i,0.0078539+0.0095097i,-0.0067945+0.0024303i,0.0078154+0.0041026i,0.00030258-0.0014269i,0.0017604-0.0039199i,0.0016502+0.0027743i,0.0014185+0.0019316i,-0.0015189+0.0023601i,-0.0021272+0.0078077i,-0.00021876+0.0010466i,0.0032574-0.0053237i,-0.00039933-0.0020179i,-0.0018733-0.0040132i,0.00081662-0.0029701i,-0.00039024-0.0031264i,-0.012452+0.0015899i,0.0018417+0.0020395i,0.00011957+0.0010199i,-0.0024856+0.00032782i,0.00029618+0.0005218i,-0.0034656+0.0022199i,-0.00031884-0.00040881i,0.0014151+0.0018948i,0.0015291+0.0010727i,0.00062996-0.00068148i,-0.00036837+0.00085817i,0.00050759+0.0031284i,-0.0014118-0.0069175i,-0.00078926+0.0026904i,-0.0012012+9.3086e-05i,-1.0802e-05+0.00017082i,0.0031582-0.0013812i,-0.0010122-0.0013202i,-0.00032348-0.0024953i,-0.0030402+0.0024941i,0.0024562-0.0028123i,-0.010035+0.028154i,-0.035744-0.026034i,-0.030159+0.021776i,-0.023427-0.038062i,-0.061106-0.021984i,-0.022073-0.0056922i,-0.021737+0.037171i,-0.014524+0.012247i,-0.028623-0.012345i,-0.030775-0.015215i,-0.035119+0.015704i,-0.0034424+0.0029959i,-0.00026619+0.029145i,0.014915+0.0024935i,-0.0013364-0.0011263i,-0.023322+0.0053952i,-0.00050321+0.0066444i,-0.0026614+0.0047399i,0.0087007-0.002941i,0.0058464+0.007104i,-0.0024606+0.0045921i,0.00077497+0.0019901i,0.0029722-0.0054499i,0.0050534+0.001148i,0.0057998+0.00019585i,-0.0032367+0.0027203i,-0.0015124-0.0044224i,0.0067729-0.00063777i,0.003778+0.013341i,0.00019893+0.00043168i,-0.0060325-0.018759i,0.013109-0.0041299i,0.0044632-0.0039879i,0.0011963+0.002007i,3.2224e-05-0.0015676i,0.01083-0.011793i,0.0053963+0.0034011i,-0.0058938+0.00024314i,-0.00042055+0.004074i,0.010996+0.00026348i,0.0076886-0.0058861i,-0.00074156-0.0028249i,0.0090897-0.0026333i,0.0025336-0.0018048i,0.0066988-0.0067831i,-0.051483+0.011886i,-0.019401-0.010448i,-0.00052395-0.012963i,-0.0029644+0.0017079i,-0.01432+0.027178i,-0.0072263+0.0037134i,-0.0017346+0.008535i
-0.022495+0.042832i,-0.0066295+0.021313i,-0.0066707+0.026341i,-0.013262+0.024403i,0.0075865+0.013494i,0.0049788+0.0041258i,-0.0079123+0.036699i,0.014985+0.015631i,0.0090954+0.0084259i,-0.0045922+0.0042716i,0.0075751-0.00479i,0.00087749+0.00082795i,0.00083075-0.0037321i,0.0029075+0.0031148i,0.0017871+0.0015993i,0.00036483+0.0048i,0.001498+0.0085251i,-0.00012773+0.0005638i,0.0015875-0.0058815i,-0.0012078-0.00182i,-0.0027732-0.0030891i,0.0001809-0.0032011i,-0.0014266-0.0029688i,-0.0080253+0.0049582i,-0.001831-0.011297i,-9.9348e-05+1.6753e-05i,-0.00094999+0.00049594i,0.00035867-0.00074969i,0.0018637+0.0055025i,-5.2482e-05-0.00019937i,0.0019926+0.00087423i,0.0024657+1.2763e-05i,1.5678e-05-0.00068414i,-0.00032351+0.00082249i,0.00090935+0.0023912i,-0.0039033-0.008189i,9.682e-05+0.0026499i,0.0022298+0.002717i,-0.0002305-0.00034582i,0.0022271-0.0017453i,-0.0009163-0.00094203i,-0.0016066-0.0042982i,-0.0015569+0.002593i,0.00024274-0.0025968i,-0.0050313+0.029643i,-0.035569-0.011502i,-0.023758+0.020106i,-0.033295-0.031598i,-0.065243-0.0067794i,-0.019571-0.0078973i,-0.011815+0.032517i,-0.0099727+0.0074677i,-0.028185-0.010344i,-0.029992-0.011943i,-0.029893+0.022811i,-0.0028337+0.0031569i,0.012242+0.024608i,0.012171-0.0028699i,-0.0045682+0.0012835i,-0.021025+0.015205i,0.0019036+0.0077661i,0.00045352+0.0056527i,0.0030905-0.0042472i,0.0081985+0.0046235i,-0.0012337+0.0063918i,0.00063426+0.0040232i,0.00082803-0.0066164i,0.0010679+0.001519i,0.003317+0.00056896i,-0.0023699+0.0046938i,-0.0024723-0.0023439i,0.0057964-0.0029959i,0.0054528+0.0072745i,0.00039146-9.8229e-06i,-0.011086-0.018062i,0.0095272-0.0079207i,0.0022196-0.0053263i,0.0025803+0.0015902i,-0.00039246-0.00063365i,0.0068781-0.012476i,0.0078863+0.00045381i,-0.0041157+0.0036523i,0.0019268+0.0035572i,0.010045-0.00091058i,0.0032582-0.009706i,-0.0009328-0.0020997i,0.0044098-0.006125i,0.00051517-0.0024865i,0.0029719-0.009806i,-0.043215+0.017755i,-0.027569-0.0028001i,-0.006263-0.015002i,-0.0032715-0.00076912i,-0.0084084+0.026568i,-0.0099639+0.0066699i,-0.00096111+0.0090665i
-0.016534+0.045979i,-0.0042893+0.021797i,-0.0066249+0.027617i,-0.008554+0.024416i,0.0080282+0.010192i,0.0051674+0.0028921i,0.0001594+0.035412i,0.016204+0.011647i,0.010626+0.0061947i,-0.0027363+0.004369i,0.0041364-0.0038235i,0.0021027+0.0018918i,-0.00031306-0.0035178i,0.0042877+0.0020662i,0.0019722+0.0011095i,0.0028916+0.0055477i,0.0050298+0.0072863i,-5.5006e-05+0.00055015i,-0.00050835-0.0060999i,-0.0017788-0.0013211i,-0.0029678-0.0017943i,-0.000459-0.0033118i,-0.0021942-0.0022763i,-0.0049992+0.0026657i,-0.0012254-0.0002634i,-0.00081011-0.00015913i,-0.0010086+0.00097449i,-0.00045532-0.0016757i,0.00083654+0.00074977i,-1.7205e-05-0.00050411i,0.0019438-0.00026094i,0.0024419-0.0014351i,-0.00037226-0.00042914i,-0.00020721+0.00075282i,0.0011635+0.001991i,-0.0065185-0.0077878i,0.00071747+0.0022176i,-0.0037671+0.002129i,-0.00012346+0.0013681i,0.0020263-0.0015208i,-0.00073693-0.00055851i,-0.0036178-0.0024268i,-0.00019252+0.0021169i,-0.00084496-0.0017071i,0.00046962+0.030143i,-0.029803-0.0039452i,-0.02003+0.018573i,-0.0389-0.020918i,-0.062694+0.010948i,-0.023107-0.010228i,-0.0067081+0.026501i,-0.0071746+0.0033846i,-0.027496-0.0075689i,-0.031155-0.0090638i,-0.022785+0.028577i,-0.0030947+0.0035498i,0.018659+0.010539i,0.0098577-0.0070609i,-0.0055714+0.0054046i,-0.013737+0.02328i,0.0045042+0.0062866i,0.0032144+0.0038996i,0.00018208-0.001628i,0.010037+0.00084603i,0.0012742+0.0077461i,0.0020657+0.0049475i,-0.0034745-0.0085144i,-0.00025545+0.0045999i,0.0033882+0.0020265i,0.0010758+0.0070508i,-0.0018047-0.00055798i,0.0043339-0.0038021i,0.0075687+0.0023936i,0.00092515-0.00087623i,-0.018281-0.016585i,0.005494-0.0095269i,-0.00028114-0.0052719i,0.0058304-0.0025076i,-7.0097e-05+0.0005645i,0.0045079-0.011797i,0.0070795-0.0029482i,-0.0011838+0.004891i,0.0033434+0.0016058i,0.0080733-0.0042519i,-0.002893-0.0093409i,-0.0015003-0.0022793i,-0.0006714-0.0054651i,-0.00014821-0.0030746i,-0.0017886-0.0095151i,-0.038228+0.021332i,-0.024935+0.010359i,-0.011205-0.014613i,-0.0049542-0.0016289i,-0.0045181+0.026764i,-0.0084668+0.011307i,0.0026273+0.0079148i
-0.0094534+0.048242i,-0.0013389+0.022452i,-0.004682+0.030149i,-0.0050364+0.02322i,0.0074322+0.0082124i,0.0052899+0.0016219i,0.0069554+0.032258i,0.016478+0.0082157i,0.011589+0.003903i,-0.0017162+0.0044056i,0.0028236-0.0025481i,0.004313+0.0022534i,-0.0013286-0.0029454i,0.0046763-0.00029834i,0.0019166+0.00072904i,0.0051057+0.0048993i,0.0072768+0.0047074i,0.00015674+0.00064714i,-0.0020117-0.0055535i,-0.0019961-0.00059201i,-0.0025748-0.00061276i,-0.0013367-0.003218i,-0.0025677-0.0014886i,-0.0073044+0.0020184i,-0.0011837+0.00015986i,-0.001279+0.00046885i,-0.00086113+0.0012986i,-0.0018779-0.001528i,-5.0222e-06+0.00055316i,-0.0003556-0.00074601i,0.0018122-0.00067701i,0.0012383-0.0029586i,-0.00010585-0.00025529i,-3.4294e-05+0.00072077i,0.0017076+0.0011611i,-0.0096056-0.0063707i,0.0013291+0.0017836i,-0.0025244+0.0027065i,-0.00013707+0.0019733i,0.0023807-0.0021801i,-0.00049715-0.00029908i,-0.0025397-0.0007212i,0.00060047+0.001422i,-0.0012433-0.001101i,0.0065064+0.028504i,-0.025873-0.0025492i,-0.017255+0.018078i,-0.039298-0.010907i,-0.053118+0.025363i,-0.026506-0.0073699i,-0.0026786+0.024172i,-0.0069213-0.00068378i,-0.025925-0.0057065i,-0.031295-0.0041543i,-0.014672+0.032635i,-0.0019318+0.0036427i,0.013278-0.0016342i,0.0057103-0.010591i,-0.0037705+0.0087285i,-0.0047122+0.025276i,0.0053165+0.0037309i,0.004188+0.0011106i,0.0010408+6.1897e-05i,0.0093911-0.0023324i,0.0060196+0.0071798i,0.0038099+0.0058313i,-0.0080608-0.0033997i,0.0020586+0.0069952i,0.0048168+0.0025667i,0.0048681+0.0057279i,-0.0013234-2.5338e-05i,0.0032741-0.004535i,0.0072654-0.0040876i,-0.0010199-0.0011786i,-0.025138-0.0098533i,0.0020311-0.0094942i,-0.0019773-0.0039866i,0.0058904-0.0020457i,0.0005501+0.00071085i,0.0032338-0.013809i,0.0053025-0.0055809i,0.0011258+0.0039282i,0.0032978+0.00064683i,0.0065495-0.0054867i,-0.0062526-0.0054314i,-0.0027238-0.002002i,0.0023699-0.0019954i,-0.002338-0.0031193i,-0.0047749-0.0073148i,-0.031806+0.024546i,-0.018916+0.011365i,-0.012175-0.01322i,-0.0063389-0.0012975i,0.00031775+0.025246i,-0.0063177+0.012686i,0.0028692+0.0050812i
-0.0019811+0.049305i,0.0023732+0.022895i,-0.00011512+0.032912i,-0.002379+0.022753i,0.0067804+0.0073569i,0.0049657+0.0006069i,0.012443+0.028129i,0.016639+0.0053132i,0.012262+0.0010996i,-0.00066639+0.0048714i,0.0028951-0.001828i,0.0064155+0.00014694i,-0.0020241-0.0019839i,0.0030647-0.0015158i,0.0019831+0.00057333i,0.0069251+0.0030367i,0.0077+0.0024276i,0.00050337+0.00035283i,-0.0034813-0.0047573i,-0.0017916+0.00026363i,-0.0018777-1.5516e-05i,-0.0020153-0.0024082i,-0.0027873-0.00073126i,-0.0079389+0.0064502i,-0.0012999+0.00077983i,-0.0010317+0.0011501i,-0.00056185+0.0017027i,-0.0028446-0.00057026i,-0.00011207+0.00048669i,-0.00067774-0.00067687i,0.0015004-0.0016352i,0.0003718-0.0036901i,-0.00028825-0.00039416i,2.2182e-06+0.00061109i,0.0015006+0.00020579i,-0.012228-0.0031123i,0.0016368+0.0012424i,-0.00054723+0.0030654i,-0.000972+0.0024524i,-0.0049427-0.0019423i,0.00024081-0.00025197i,-0.0014043-0.00051339i,0.0010788+0.00089705i,-0.0015679-0.00044052i,0.010944+0.025326i,-0.025969-0.0019319i,-0.015166+0.01724i,-0.03879-0.0021639i,-0.040461+0.033031i,-0.029495-0.0036427i,0.0026452+0.019482i,-0.0074746-0.0024604i,-0.025082-0.0045994i,-0.030348+0.0017284i,-0.0053804+0.035224i,-0.0011155+0.0034141i,0.0060621-0.0035555i,0.00076039-0.011894i,0.00021589+0.011641i,0.0038376+0.023459i,0.0045821+0.0016224i,0.0032676-0.001921i,0.00066109+0.00048386i,0.0074684-0.0057514i,0.0095044+0.0038395i,0.0062534+0.0052211i,-0.0079933+0.00068722i,0.0050296+0.0078405i,0.0065992+0.0021804i,0.0081381+0.0023677i,-0.00088636+0.00070939i,0.0026889-0.0052182i,0.0037739-0.0090368i,-0.001234+0.0011011i,-0.027715+0.00070025i,-0.00055034-0.0088701i,-0.0029709-0.002171i,0.0060816-0.0031484i,0.00080016+0.00043393i,-0.00075256-0.016319i,0.0027874-0.0069308i,0.0028712+0.0032568i,0.0034351-0.00021487i,0.0057406-0.0068044i,-0.0079596-0.0025753i,-0.0038473-0.00028616i,0.00082644-0.0066306i,-0.0035039-0.0019579i,-0.0061068-0.0049637i,-0.026025+0.025673i,-0.017244+0.012319i,-0.013033-0.013978i,-0.0075245+9.532e-05i,0.0028358+0.024434i,-0.005142+0.012874i,0.0028886+0.0037633i
0.0064219+0.049215i,0.0069288+0.02225i,0.0066512+0.033651i,0.0005289+0.022453i,0.0071204+0.007432i,0.0047727+3.0851e-05i,0.016485+0.022759i,0.01682+0.0023969i,0.011952-0.0020547i,0.00074416+0.0047452i,0.0030479-0.0023316i,0.0059227-0.0031354i,-0.0023608-0.00089476i,0.0022766-0.0015786i,0.002124+0.00031343i,0.0072504+0.00047804i,0.0080403+0.00013929i,0.00014086-1.5685e-05i,-0.0050018-0.0034596i,-0.0012218+0.00063194i,-0.00095317-0.00010424i,-0.0021747-0.0017592i,-0.0027139+0.0001295i,-0.0042059+0.0094006i,-0.00098553+0.0012594i,-0.00053976+0.0015141i,0.00014939+0.0017358i,-0.0029336+0.00071627i,-0.00015339+0.00036216i,-0.00093977-0.00051309i,0.00051009-0.0021209i,-0.0016291-0.003547i,-0.00060534-0.00022998i,-7.6009e-05+0.00050466i,0.0010365-0.00030232i,-0.012534+0.0011848i,0.0016754+0.00065778i,0.0004121+0.0022108i,-0.00042869+0.0035387i,-0.00082763-0.00034176i,0.0027591-0.0022391i,-0.0009545-0.00054871i,0.0012205+0.00068477i,-0.0017063+0.00020389i,0.013885+0.022603i,-0.028145+0.0015209i,-0.013442+0.016739i,-0.033596+0.0061573i,-0.0284+0.037301i,-0.03132+0.0040336i,0.0060797+0.012824i,-0.0055211-0.004759i,-0.02418-0.0021431i,-0.027109+0.0080914i,0.0045319+0.033741i,-0.0009137+0.0027253i,0.0019388-0.0035155i,-0.0046801-0.011657i,0.0062748+0.011013i,0.0099088+0.020476i,0.0023732+0.00034085i,0.0015537-0.0043018i,0.0017873+0.0030406i,0.0033813-0.0075925i,0.010872-0.0017803i,0.0083634+0.0030386i,-0.0073737+0.0044069i,0.0092844+0.0071968i,0.0089014-0.00027969i,0.0096383-0.0027241i,4.6956e-05+0.0013158i,0.0013857-0.0058833i,-0.0011803-0.0095786i,0.00075036+0.0026498i,-0.024533+0.011796i,-0.0028477-0.0077435i,-0.0027426-0.00012715i,0.0054587-0.0061007i,0.0012277+0.00070197i,-0.0070643-0.015884i,-2.97e-05-0.0067564i,0.0040075+0.0015261i,0.0034605-0.00061627i,0.0036127-0.0082979i,-0.0085427+0.0027265i,-0.0032782+0.0019345i,-0.0047766-0.0032506i,-0.0045468-0.0010242i,-0.0064024-0.002843i,-0.022944+0.02663i,-0.015784+0.017039i,-0.015776-0.016684i,-0.0054155+0.0017072i,0.0069356+0.023679i,-0.0045998+0.014637i,0.0039986+0.0012409i
0.014954+0.047054i,0.011185+0.020217i,0.013203+0.031098i,0.0038184+0.021722i,0.0083085+0.0071064i,0.0049819-0.00044809i,0.018682+0.01744i,0.016523-0.00061905i,0.011029-0.0046668i,0.0016601+0.0044826i,0.0025059-0.0027406i,0.0036101-0.004965i,-0.0023364-7.2006e-06i,0.0014721-0.0015519i,0.0021797-2.6443e-05i,0.0060963-0.0015012i,0.0071632-0.0022465i,-8.4669e-05+4.7663e-05i,-0.0055444-0.001868i,-0.00085947+0.0010554i,-0.00028665-0.00048469i,-0.0022323-0.0014002i,-0.002186+0.00079204i,-0.0005975+0.0097184i,-0.00060463+0.0013184i,-9.6742e-05+0.0017694i,0.00072509+0.0011976i,-0.002562+0.0016016i,-0.00036152+0.00028459i,-0.0013034-0.00017889i,-0.00050517-0.0020417i,-0.0036898-0.0021071i,-0.00053165+9.1373e-05i,-7.7509e-05+0.00049519i,0.00054238-0.00057787i,-0.010884+0.0049009i,0.0015872+2.3039e-05i,0.00066077+0.0015993i,0.0017474+0.0039413i,-0.00026803-0.00028209i,-0.00089634+0.00035933i,-0.0044046-0.0027702i,0.001312+0.00071358i,-0.001636+0.0010881i,0.016809+0.020354i,-0.027714+0.0084153i,-0.013086+0.016247i,-0.027432+0.009721i,-0.01629+0.038795i,-0.027886+0.014189i,0.0051683+0.0053508i,-0.0056864-0.010172i,-0.020919+1.853e-05i,-0.020452+0.013747i,0.012954+0.027301i,-0.0011106+0.0025211i,-0.0020875-0.0022852i,-0.0092784-0.0085507i,0.010358+0.0068316i,0.010397+0.0067767i,-0.0009637+0.0013505i,-0.0010932-0.0068263i,0.0054152+0.0020247i,-0.00054621-0.0069691i,0.0079735-0.0060747i,0.0094551-0.0002382i,-0.0059309+0.0071354i,0.013079+0.002188i,0.0087819-0.0056039i,0.0080597-0.0077754i,0.0014242+0.0013101i,-0.00051904-0.0059404i,-0.0051143-0.0059365i,0.0028942+0.0014974i,-0.015847+0.020717i,-0.0051459-0.0053952i,-0.0015237+0.001086i,0.0015506-0.0077248i,0.002139+0.00036431i,-0.012131-0.012097i,-0.0015635-0.0050539i,0.0040401-0.00081609i,0.003127-0.0012849i,0.00077496-0.0085813i,-0.004969+0.0067018i,-0.0017559+0.0033149i,-0.0057712+0.00092669i,-0.0058633+0.00059297i,-0.0062078-0.0016145i,-0.017582+0.030695i,-0.0073242+0.020864i,-0.022664-0.017364i,-0.0027064+0.00041666i,0.0098725+0.021811i,-0.002032+0.016791i,0.0032149-0.0026114i
