-0.023831-0.019261i,-0.032281-0.032634i,-0.022418-0.019632i,-0.032419-0.020132i,-0.023984+0.0041395i,-0.028792-0.017739i,-0.058112-0.043933i,-0.040885-0.041865i,-0.03072-0.023076i,0.0053619+0.0055692i,-0.0033087+0.006176i,-0.010875+0.010975i,0.0039482+0.0070099i,-0.0039053-0.0026875i,0.002889+0.0016936i,0.0040722+0.027907i,0.026329+0.031708i,-0.00014251+0.00024405i,-0.0028301-0.002837i,0.0074877+0.0038751i,0.0021317+0.00066251i,-8.413e-05+0.0025949i,-0.00050414+0.00034133i,-0.03237-0.00034519i,-0.0031428-0.0047694i,0.00010089+0.0025484i,0.0037696-0.00073134i,0.0007658-0.00032553i,-0.00052311-0.00058234i,-0.0010385-0.0018585i,-0.0021186-0.0006401i,-0.0040321-0.003951i,-0.0030599-0.005208i,0.00041751-0.0010398i,0.00056233-0.0029999i,-0.0012521+0.02549i,0.0020561-0.0029521i,0.0019707-0.003958i,0.0041976-0.0024421i,-0.0065873-0.0018823i,0.00073732+0.0011863i,0.010144-0.0010428i,-0.0017992+0.00012837i,-0.0032629+0.0015041i,-0.0085986-0.0022328i,-0.019425+0.021667i,-0.0069841-0.086128i,-0.0019487-0.061028i,-0.021194-0.053387i,-0.010944-0.045787i,0.054669-0.025759i,0.024171-0.067448i,0.041529-0.053692i,0.018713-0.03838i,0.026094-0.019937i,0.01228+0.011978i,0.02572-0.029409i,-0.011133-0.0013077i,-0.00063394-0.0014067i,-0.007462-0.0021594i,-0.0048582-0.029044i,-0.019845+0.026658i,0.0079251-0.0094672i,-0.010409-0.0035048i,-0.002731-0.0017713i,-0.00077433-0.014354i,-0.0080888+0.0049598i,0.0052729+0.01072i,-0.010022+0.030753i,0.0067116+0.007543i,-0.0036867-0.0017387i,-0.0025149-0.0015189i,-0.012971-0.0057418i,0.000614-0.004025i,-0.033034+0.0029577i,0.003384-0.0085583i,-0.0072786-0.0019835i,-0.0054843-0.0029846i,0.0067723+0.0016615i,-0.010331+0.00074483i,0.0025254-0.00023454i,0.0059677+0.007661i,0.0056795+0.00087376i,-0.0082761-0.0098409i,0.0028823+0.0080672i,-0.019595+0.0078355i,0.0030669+0.0059199i,-0.021217-0.0091735i,-0.027917-0.004855i,0.010253-0.061577i,0.018588-0.014343i,-0.051519-0.029145i,-0.023181+0.0031883i,0.018681+0.010675i,-0.027186+0.011959i,-0.013067-0.008001i
-0.010411+0.01356i,-0.021037+0.041374i,0.0015696+0.040611i,-0.010591+0.024951i,-0.00017924+0.021007i,0.0018458+0.023252i,-0.024843+0.015401i,-0.025851+0.033143i,0.0007287+0.017685i,-0.0011607-0.0013059i,-0.00083272+0.0016327i,0.0042353+0.0034359i,0.0033532+0.0049679i,-0.0031561+0.0019662i,-0.003083+0.0037627i,0.0010014-0.0073019i,-0.008663-0.0017502i,-0.0018993+0.00023248i,0.00027562-0.0014i,-0.0010442-0.00039068i,0.00079264-0.0034611i,0.0012146-0.0026597i,0.00098434-0.0014963i,-0.0096875-0.008087i,-0.00018739-0.00043304i,-0.0015314+0.0002464i,-0.0026037-3.3464e-05i,-0.0027454-2.4329e-05i,-0.00094933-0.0009586i,0.0011022-0.00074754i,-0.0018217+0.00025593i,0.0015562-0.00023341i,0.0019306-0.00056928i,0.0006464+0.00035562i,-0.00051648+0.0018444i,-0.00029846-0.0066982i,-0.0013211+0.00096738i,0.001778+5.0379e-05i,0.00070057+0.0025304i,0.0045268+0.005838i,0.00096253-0.0015632i,-0.0016449-0.0010379i,-0.0012555-0.0018145i,0.0034182+0.0049854i,-0.0083291+0.0075204i,0.020888-0.057752i,-0.07423+0.01451i,-0.027164-0.01859i,-0.060945-0.048568i,-0.053026-0.017808i,-0.085659+0.0037792i,-0.073357+0.0018429i,-0.046352-0.033081i,-0.007826-0.046443i,-0.038491-0.026251i,-0.0063066+0.00055553i,-0.031317+0.010138i,0.0074838+0.0111i,0.0097432+0.0070046i,0.0024201-0.0067974i,0.010742+0.0040043i,-0.011314-0.0037342i,0.0027831+0.011818i,0.0012508+0.0065947i,-9.2432e-05-0.0013346i,0.0055885+0.0019274i,0.0040742+0.00036842i,-0.0046616+0.019113i,0.00020164+0.0093102i,0.00080026-0.0042569i,0.0084237-0.005829i,0.0012382+0.0041079i,-0.0085721-0.0073361i,-0.0027187-0.0011364i,0.021618-0.030951i,0.0052382+0.0086908i,0.0018698+0.0029401i,-0.001784+0.0041164i,0.0029479-0.0042977i,0.019577+0.0030053i,0.0015718-0.0021337i,-0.0027874-0.0064941i,-0.00065653-0.0020936i,0.01133+0.0050291i,0.0055132-0.00067447i,0.003242-0.0078391i,0.004282+0.0049434i,-0.005539+0.0032861i,0.013874+0.0067146i,-0.043317-0.037827i,-0.012835+0.005582i,-0.0019062-0.0014698i,-3.6275e-05+0.0031749i,-0.040801+0.011282i,-0.0066425+0.0084702i,-0.013096+0.0031513i
-0.0076851+0.01405i,-0.013975+0.041935i,0.010738+0.034208i,-0.005543+0.025648i,0.0027425+0.018686i,0.0061982+0.021822i,-0.023645+0.019219i,-0.018257+0.035259i,0.0046987+0.012416i,-0.0015952-0.00044297i,3.0276e-05+0.002816i,0.004868+0.0011724i,0.0041889+0.0031259i,-0.0014766+0.0029407i,-0.0022233+0.0047453i,-0.0035-0.0057221i,-0.0097679+0.0029848i,-0.0015967+0.0008569i,0.00079958-0.00095634i,-0.00048971-1.3799e-05i,-0.00010607-0.0032244i,0.00095841-0.0021991i,0.00078509-0.0013491i,-0.011039-0.0048671i,3.0119e-05-0.00032052i,-0.0015383+0.0006782i,-0.0018161+0.00092617i,-0.0022944+0.00070281i,-0.0010826-0.00082233i,0.00099462-0.00091264i,-0.0016204+0.0011645i,0.0010764-0.00051005i,0.0011545-0.0013952i,0.0002301+0.00041428i,-0.00097372+0.0015829i,-0.0001603-0.0056118i,-0.00081992+0.0010556i,0.00085884-0.00054652i,0.00083734+0.0026329i,0.0057497+0.0030424i,0.00042346-0.0019774i,-0.0023691-0.00076314i,-0.0022422-0.00099786i,0.0045629+0.0041937i,-0.006202+0.0059719i,0.0029395-0.067522i,-0.064843+0.028721i,-0.034023-0.021598i,-0.074245-0.03934i,-0.053639-0.0061434i,-0.077025+0.020461i,-0.070537+0.016232i,-0.039719-0.031153i,-0.014053-0.044633i,-0.045329-0.011673i,-0.0069551+0.00068145i,-0.024765+0.02259i,0.0097941+0.0060384i,0.011673+0.0010364i,-0.002486-0.01207i,0.0077452+0.0027354i,-0.011453+0.0025052i,0.0077087+0.0099196i,0.0033654+0.0076486i,-0.00063474-0.0010432i,0.0064176+0.0021666i,0.0049235-7.1838e-06i,0.004422+0.016278i,0.0045815+0.005432i,-0.0036182-0.006021i,0.0020991-0.0068091i,0.0029166+0.0048363i,-0.010844+6.8256e-05i,-0.0022412+0.0019089i,0.0071296-0.032285i,0.0083137+0.0074585i,0.0042392+0.0021974i,0.0018874+0.0028718i,-0.00040366-0.0020071i,0.017191-0.006115i,-0.00015976-0.0027781i,-0.0058479-0.0043633i,-0.0033159-0.0010779i,0.010331+0.00051753i,0.004651-0.00039924i,0.00035576-0.0061182i,0.0060857+0.0034973i,-0.005511+0.0054031i,0.01375+0.0014292i,-0.050079-0.031572i,-0.0063852-0.005231i,-0.0024209-0.0024481i,0.0015098+0.0015846i,-0.034281+0.023553i,-0.0045718+0.0092716i,-0.010755+0.0053084i
-0.0046299+0.013826i,-0.00761+0.042352i,0.015495+0.02648i,-0.00082436+0.02446i,0.0063049+0.017501i,0.010116+0.019294i,-0.020697+0.023424i,-0.011076+0.034851i,0.00441+0.0077724i,-0.0016393+0.00061381i,0.0018316+0.0032342i,0.0023656-0.00028928i,0.0044153+0.0018043i,-0.00063888+0.0030035i,-0.00084692+0.0055497i,-0.0067947-0.0016595i,-0.0079825+0.0077843i,-0.00086719+0.0014336i,0.0015311-0.0018225i,0.00017695-0.00037864i,-0.0011118-0.0030733i,0.00094285-0.0027685i,0.00080199-0.0015356i,-0.011985-0.001817i,-0.00016902-0.00030374i,-0.0010629+0.0014377i,-0.00093245+0.00073253i,-0.0014316+0.0015717i,-0.0013402-0.0005763i,0.00053849-0.0014441i,-0.00083298+0.0017327i,0.00063775-0.00066859i,0.00027907-0.0014662i,0.00051613+0.000197i,-0.00058407+0.0024164i,0.00024425-0.0060917i,-0.0007753+0.00097309i,0.00027964-0.00068369i,0.0025182+0.0013928i,0.0054182+0.00090718i,-0.00027602-0.0018712i,-0.0018424+0.00033461i,-0.0031677-7.5192e-06i,0.0053808+0.0024003i,-0.0054257+0.0046055i,-0.019005-0.068366i,-0.050968+0.03785i,-0.042842-0.01863i,-0.082114-0.024148i,-0.049082+0.0028947i,-0.062529+0.031576i,-0.057609+0.028757i,-0.042196-0.034157i,-0.01958-0.043573i,-0.044364+0.0031878i,-0.0072028+0.0017953i,-0.013031+0.029i,0.010331+0.0015746i,0.0084458-0.0047514i,-0.013339-0.012348i,0.0075877+0.00066685i,-0.0078783+0.0064566i,0.010522+0.0043862i,0.0058921+0.0068282i,-0.0030108+0.0002547i,0.0065913-0.0014609i,0.0059252-0.0022903i,0.0079836+0.010058i,0.0041058+0.0013224i,-0.0084299-0.002582i,-0.00027553-0.0048391i,0.0059041+0.0038289i,-0.0067029+0.0088821i,0.00029493+0.0031467i,-0.0034965-0.028666i,0.011939+0.0034177i,0.0042795+0.00011516i,0.0021689+0.00084179i,0.00040162-6.7025e-06i,0.011126-0.010614i,-0.0026043+0.00018487i,-0.0072365-0.00088438i,-0.0038885+0.0023794i,0.006905-0.0023179i,0.0072596-0.0018376i,0.00015939-0.0057865i,0.0089335+0.00084894i,-0.0023691+0.0066465i,0.012126-0.0030416i,-0.055157-0.020987i,-0.012249-0.014464i,-0.0013846-0.0037543i,0.0036932-0.0018886i,-0.02356+0.029368i,-0.0038057+0.0054619i,-0.0074149+0.00092281i
-0.0019973+0.012424i,-0.00049112+0.042212i,0.017547+0.01928i,0.0039461+0.02329i,0.010363+0.014059i,0.013344+0.015871i,-0.016171+0.026937i,-0.0056974+0.032537i,0.0035447+0.0058806i,-0.001121+0.0015563i,0.0029999+0.0020406i,0.0011582+0.0014156i,0.0041799+0.00062202i,-0.00054758+0.0036633i,0.00063815+0.0056887i,-0.0068531+0.0039255i,-0.0033401+0.010937i,-3.6519e-05+0.0013524i,0.00056135-0.0025077i,-8.8383e-05-0.0010364i,-0.0018691-0.0024571i,0.00035527-0.0030591i,0.00058879-0.0021369i,-0.011808+0.0020365i,-3.9797e-05-0.00038242i,7.6646e-05+0.0011969i,-0.00079459+0.00031216i,-0.00041331+0.0014314i,-0.0015632+0.00013047i,-0.00031409-0.0013244i,-1.8884e-05+0.0017723i,0.00015114-0.00063572i,-0.0005452-0.0011477i,0.00047961+5.4283e-05i,0.00073339+0.0022433i,-0.00079539-0.0079582i,-0.00034754+0.0013672i,-0.00029116-0.00042136i,0.0019574-0.00067756i,0.0049092-0.00054053i,-0.00062008-0.0016497i,-0.0011568+0.00039416i,-0.0032+0.0015065i,0.0044688+0.00010495i,-0.005576+0.0043268i,-0.038414-0.057675i,-0.037414+0.039903i,-0.049519-0.011211i,-0.085859-0.0086207i,-0.042735+0.0083159i,-0.049885+0.035357i,-0.044162+0.031014i,-0.047067-0.030455i,-0.025435-0.039271i,-0.039693+0.01437i,-0.0073459+0.0031165i,-0.0012306+0.029456i,0.0094964-0.0029104i,0.0030242-0.0064365i,-0.021361-0.0036569i,0.0046489-0.00032541i,-0.0039453+0.0077331i,0.0087566-0.001544i,0.008276+0.0055456i,-0.0028852+0.0031997i,0.003335-0.0024876i,0.0052594-0.0059141i,0.007521+0.0038318i,0.0012915-0.00021519i,-0.0086679+0.0015155i,-0.0017915-0.0035184i,0.0073241+0.0013069i,0.002657+0.0099891i,0.00197+0.0019172i,-0.0095157-0.022553i,0.011916-0.0012473i,0.0037724-0.0012802i,0.0028617+0.0012347i,0.00078487-0.00020197i,0.0059949-0.010996i,-0.00012647+0.0026342i,-0.0066961+0.0026105i,-0.0010226+0.0046456i,0.0048783-0.00204i,0.0064544-0.0060352i,-0.0022202-0.0052101i,0.0084013-0.0044514i,9.9576e-05+0.0053866i,0.010026-0.0071748i,-0.053209-0.0081023i,-0.022797-0.015576i,-0.0023928-0.0080786i,0.0027115-0.0067691i,-0.015225+0.030063i,-0.0070146+0.0047758i,-0.010853-0.00052243i
-0.000587+0.010944i,0.0058327+0.040536i,0.016909+0.013768i,0.0085442+0.020561i,0.01275+0.0095304i,0.015157+0.012047i,-0.010621+0.028777i,-0.0019781+0.030366i,0.0037401+0.0050412i,6.8633e-05+0.001935i,0.00316+0.0010702i,0.0020406+0.0024315i,0.0038797-0.00037809i,0.0010617+0.0045447i,0.0022181+0.0054317i,-0.0039523+0.0076189i,0.0017218+0.011238i,0.00046193+0.0011287i,0.00011806-0.0022212i,-0.00063524-0.0011695i,-0.002571-0.0017483i,-0.0005011-0.002969i,-0.00030062-0.0024213i,-0.0094668+0.0051174i,-0.00040727-0.00074784i,0.00016523+0.00035901i,-0.00087371+0.00024787i,0.00011272+0.00082692i,-0.0012279+0.0008868i,-0.0004567-0.00075228i,0.00053701+0.0015191i,3.8379e-05-0.00077123i,-0.00099341-0.00056963i,0.00030758-8.4937e-05i,0.0011191+0.0014825i,-0.003566-0.0087973i,5.0979e-05+0.0013005i,-0.00026847+0.00025196i,0.00064394-0.0010148i,0.004042-0.0013126i,-0.0009678-0.0015484i,-0.00095027+0.00030992i,-0.0021566+0.0026415i,0.0030566+0.00058001i,-0.0050003+0.0050511i,-0.046212-0.040768i,-0.027383+0.038001i,-0.054415-0.0019376i,-0.087052+0.0084272i,-0.038419+0.0091831i,-0.039236+0.036719i,-0.035013+0.030546i,-0.050246-0.026028i,-0.028205-0.035092i,-0.032558+0.024525i,-0.0069538+0.0046308i,0.011822+0.025178i,0.0071322-0.0055967i,-0.0015399-0.0052888i,-0.022974+0.0062535i,0.003369+0.00022296i,-0.00014373+0.0086807i,0.0040237-0.0033106i,0.010414+0.002658i,-0.0012977+0.0049592i,0.001413-0.0011916i,0.0026567-0.0088349i,0.0039336+0.0025145i,-0.00082573+0.0013059i,-0.0085767+0.0071726i,-0.0027791-0.0013672i,0.0072997-0.0015871i,0.007005+0.0055535i,0.002504+0.0006969i,-0.012473-0.019859i,0.0098639-0.0056438i,0.002651-0.0023454i,0.0049717+0.00034464i,0.00098572+0.0001228i,0.0031751-0.0098111i,0.0019717+0.0018182i,-0.0040242+0.0057677i,0.0024983+0.0042761i,0.0046742-0.0018929i,0.0031679-0.010347i,-0.0027592-0.00341i,0.0043989-0.0078197i,0.00030612+0.0037909i,0.0051336-0.010723i,-0.04695-0.0020639i,-0.033041-0.0076305i,-0.0057257-0.0098577i,-0.0004378-0.010354i,-0.0085827+0.029406i,-0.0099533+0.0072945i,-0.0125+0.0022031i
0.00042021+0.0099274i,0.011577+0.038482i,0.016113+0.010863i,0.011892+0.016565i,0.01285+0.0047363i,0.016387+0.0087639i,-0.0046352+0.028668i,0.00080986+0.028844i,0.0040941+0.0029696i,0.00073514+0.0012423i,0.0026157+0.00024851i,0.0031001+0.0024235i,0.0032958-0.0012073i,0.0028189+0.0035937i,0.003459+0.0045858i,-0.00015967+0.0091812i,0.0062941+0.0092444i,0.00086017+0.00090602i,-0.00047362-0.0023798i,-0.0012242-0.0010475i,-0.0026011-0.00056077i,-0.00098385-0.0026559i,-0.0010022-0.002038i,-0.0073723+0.0060905i,-0.00091778-0.00040301i,-0.00017107+7.5255e-05i,-0.00099999+0.00043261i,0.00032321+0.00019926i,-0.00044478+0.0011639i,-0.00036738-0.0005608i,0.0010598+0.0012579i,-0.00044028-0.00083541i,-0.0010045-1.6264e-05i,3.2213e-05-0.00021476i,0.0013171+0.0013849i,-0.0065672-0.0082324i,0.00019745+0.00084805i,0.00019112+0.0003351i,-7.6298e-06-0.00079389i,0.0032568-0.0018217i,-0.0013309-0.00099879i,-0.0009848+0.00038759i,-0.00077016+0.0030177i,0.0032798+0.0013485i,-0.0038672+0.0057229i,-0.045225-0.028708i,-0.020491+0.035558i,-0.055355+0.011415i,-0.081795+0.02845i,-0.039171+0.010009i,-0.030513+0.035783i,-0.027238+0.02929i,-0.051808-0.019299i,-0.031618-0.031534i,-0.02333+0.02982i,-0.0065284+0.0066457i,0.018712+0.011222i,0.0049249-0.008032i,-0.0046216-0.0019121i,-0.018278+0.016079i,0.0033781-0.00033435i,0.0041184+0.0065131i,0.0013842-0.0014911i,0.011625-0.0019659i,0.00046945+0.0062187i,0.0010535-0.00024387i,-0.0027887-0.010501i,0.0025743+0.0044769i,-0.00067966+0.003753i,-0.0028351+0.012195i,-0.0016682+0.00067537i,0.005983-0.0033297i,0.0083783+0.001472i,0.0030746-0.0009016i,-0.018418-0.018137i,0.0062047-0.0081219i,0.00097552-0.0028381i,0.0041171-0.0017834i,0.001195+0.00089137i,0.0021796-0.0080718i,0.0027239+0.00031738i,-0.00055872+0.0066715i,0.0039783+0.001577i,0.0038326-0.0028301i,-0.0035027-0.01043i,-0.0030609-0.0031869i,0.00018357-0.0076498i,0.00090934+0.0028281i,-0.0012482-0.010869i,-0.044137+0.0022463i,-0.030937+0.0074708i,-0.0095721-0.0098894i,-0.0048232-0.011508i,-0.0040561+0.0282i,-0.0084914+0.012294i,-0.0092674+0.0042123i
0.0013709+0.0090053i,0.017257+0.036005i,0.016216+0.0086669i,0.013483+0.012175i,0.01139+0.0014223i,0.017355+0.0053007i,0.000611+0.027269i,0.003501+0.028136i,0.0037835+0.0015569i,0.00070073+0.00093631i,0.0021383+0.00037795i,0.0045574+0.0020915i,0.0024277-0.0016979i,0.0035381+0.0018949i,0.0041838+0.0036037i,0.0033867+0.0088828i,0.0091002+0.0056269i,0.0012366+0.00068804i,-0.00109-0.0022919i,-0.001616-0.00043489i,-0.0021337+0.00028653i,-0.0015487-0.0024682i,-0.0013888-0.0015579i,-0.0061827+0.0076818i,-0.00093947-3.1932e-05i,-0.00049853+0.00031433i,-0.00098731+0.00080139i,-0.00014462-0.00020145i,-0.00011362+0.00081522i,-0.00043106-0.00059471i,0.0015197+0.00075414i,-0.00040431-0.00032854i,-0.00050864+0.00022209i,-0.0001104-0.00011951i,0.0018418+0.00049369i,-0.0094574-0.0068083i,0.0002859+0.00071459i,0.00016299-8.0549e-05i,-0.00041933-0.00058664i,0.0024621-0.002253i,-0.0012536-0.00040274i,-0.00064322+0.00064674i,0.00012116+0.0023301i,0.0038559+0.00076883i,-0.0022233+0.0057479i,-0.044148-0.02374i,-0.015496+0.034064i,-0.049987+0.023982i,-0.070231+0.045024i,-0.039507+0.015516i,-0.023815+0.035249i,-0.022185+0.026911i,-0.052199-0.013668i,-0.033828-0.026551i,-0.015219+0.032465i,-0.0038917+0.0074138i,0.01354-0.0016673i,0.0012091-0.01055i,-0.00472+0.0011705i,-0.010769+0.020319i,0.0022584-0.0013599i,0.0057731+0.0029309i,0.0019651-0.00026159i,0.0098931-0.0054843i,0.0043461+0.0064126i,0.0012646+0.0013906i,-0.0079983-0.0053174i,0.004112+0.0057573i,0.00092289+0.005416i,0.0035024+0.011832i,-0.00083285+0.0011152i,0.0046473-0.0046628i,0.008289-0.0041721i,0.0013-0.0016762i,-0.024972-0.011402i,0.0030869-0.0085646i,-0.00035002-0.0017662i,0.004469-0.00086606i,0.0017952+0.00065325i,0.0025935-0.0091166i,0.0022437-0.0012206i,0.0020302+0.0051663i,0.0034625+0.00055629i,0.0034079-0.0024693i,-0.0069309-0.0066992i,-0.0046279-0.0025566i,-0.0033264-0.0060055i,0.00067798+0.0015183i,-0.0050036-0.0076909i,-0.04044+0.0071426i,-0.024982+0.010089i,-0.009559-0.0088717i,-0.0081468-0.010507i,0.0010732+0.025061i,-0.0064495+0.01314i,-0.0080706+0.0035346i
0.0021783+0.0080256i,0.022847+0.032905i,0.016976+0.0068164i,0.013753+0.0086502i,0.0094605-0.0005602i,0.017551+0.001873i,0.0053239+0.024892i,0.0068981+0.027655i,0.0034503+0.00023565i,0.00082588+0.00076848i,0.0025115+0.00056218i,0.0058729+0.00022138i,0.0016039-0.0017633i,0.0029109+0.00083464i,0.0048175+0.0027399i,0.0063313+0.0068478i,0.009922+0.0021457i,0.0017022-3.191e-06i,-0.0016937-0.0020987i,-0.0015113+0.0005096i,-0.0014003+0.0008745i,-0.0020829-0.0017328i,-0.0015685-0.001143i,-0.0032474+0.0090258i,-0.00090964+0.00032995i,-0.00028277+0.00063824i,-0.000765+0.0012907i,-0.00080948+6.7643e-05i,-5.4103e-05+0.0007411i,-0.00055523-0.00055172i,0.0015833+6.7847e-05i,-9.3179e-05-0.00047982i,-0.00049591+0.00023295i,-0.00020699-3.1218e-05i,0.0015796-0.00026845i,-0.011849-0.0036124i,0.00035079+0.0006718i,-8.2198e-05-8.704e-05i,-0.00096604-0.00031269i,0.0019245-0.0023271i,-0.00089762-0.00024296i,-0.00024175+0.00061202i,0.00039477+0.0017766i,0.0039647+0.00012617i,-0.00089775+0.0047577i,-0.046811-0.02008i,-0.011411+0.032307i,-0.042599+0.033258i,-0.054961+0.05519i,-0.038518+0.02117i,-0.016843+0.033599i,-0.018381+0.02597i,-0.052041-0.0080581i,-0.034857-0.020832i,-0.0074067+0.033904i,-0.0018781+0.0070109i,0.0059253-0.0042677i,-0.0032506-0.011028i,-0.0032392+0.0045283i,-0.0033773+0.020392i,0.00027869-0.0020172i,0.0052587-0.00095609i,0.0016252+7.8135e-05i,0.0071295-0.0089266i,0.0078604+0.003901i,0.0026452+0.0017339i,-0.0085908-0.0013888i,0.0063906+0.0060897i,0.0034837+0.0061251i,0.0090063+0.0090864i,-0.00019625+0.0015311i,0.0037565-0.0054686i,0.0051162-0.0081524i,0.00069461-0.00039096i,-0.028652-0.0017284i,0.00095593-0.0083796i,-0.00044076-0.00047583i,0.0051175-0.001185i,0.0021408+0.00026886i,0.00099069-0.011729i,0.00049783-0.0016774i,0.0037035+0.0039255i,0.003556-0.00035446i,0.004551-0.0032225i,-0.0084608-0.0036542i,-0.0062255+2.1394e-05i,-0.0062226-0.0038558i,0.00031768+0.00037809i,-0.0064874-0.0044879i,-0.036375+0.01031i,-0.022724+0.011758i,-0.0092436-0.010401i,-0.01074-0.0087957i,0.0018529+0.022543i,-0.0059773+0.013132i,-0.0068947+0.0032946i
0.0030592+0.0073251i,0.028914+0.028422i,0.018713+0.0044162i,0.013461+0.005901i,0.0082318-0.0010342i,0.017223-0.0013659i,0.0090298+0.021346i,0.011333+0.026419i,0.0028721-0.0010138i,0.00089353+0.00056854i,0.0029638-0.0001192i,0.0052685-0.0025331i,0.0010576-0.0015503i,0.0027153+0.00031605i,0.0054441+0.0015447i,0.0074598+0.0038478i,0.0093463-0.0011687i,0.001239-0.00084768i,-0.0024314-0.0014897i,-0.00076976+0.00097588i,-0.00045608+0.00081062i,-0.0021152-0.0012773i,-0.0017673-0.00068558i,8.8492e-06+0.0089615i,-0.00065245+0.00054973i,-1.607e-07+0.00062549i,-6.3615e-05+0.0016152i,-0.00091948+0.00069616i,0.00027128+0.00042151i,-0.00063535-0.00046929i,0.0013278-0.00054147i,-0.00051644-0.00053136i,-0.00048132+0.0003966i,-0.00032596+7.034e-05i,0.0010938-0.00078393i,-0.012364+0.00057216i,0.0003857+0.00059185i,-8.9044e-05-2.4328e-05i,-0.0011852+0.00032659i,0.001363-0.0025274i,-0.00089839-0.00023208i,6.0753e-05+0.00029147i,0.0003932+0.0015325i,0.0039465-0.00050466i,-0.00037391+0.0038525i,-0.051679-0.013002i,-0.0074871+0.030663i,-0.031699+0.039196i,-0.040383+0.061688i,-0.036239+0.029195i,-0.010303+0.030138i,-0.012113+0.024565i,-0.050782-0.0018906i,-0.033551-0.014861i,0.00031606+0.03388i,-0.0010856+0.0061108i,0.00092288-0.0050506i,-0.0082782-0.0099269i,0.00067457+0.005366i,0.0017075+0.018276i,-0.0023534-0.0013705i,0.003334-0.004197i,0.00278+0.0018997i,0.0022974-0.01083i,0.0090185-0.00099449i,0.0038275+0.0011055i,-0.0086988+0.0031437i,0.0099715+0.0049504i,0.0073931+0.0045264i,0.012525+0.0035547i,0.00061382+0.0020111i,0.0019966-0.0063547i,-0.000878-0.0086882i,0.0017925+0.00083738i,-0.028547+0.0091718i,-0.0011093-0.0082049i,0.00040568+0.00063456i,0.0055341-0.0048501i,0.0028415-0.00024155i,-0.0040009-0.013187i,-0.00061898-0.00085497i,0.0045915+0.0020986i,0.00324-0.00080337i,0.0039585-0.0047418i,-0.0084106+0.00061952i,-0.0056263+0.0033265i,-0.007935-0.00053928i,-0.0012747-0.0007219i,-0.0066762-0.0020137i,-0.033603+0.012593i,-0.020812+0.016764i,-0.011591-0.013999i,-0.010054-0.0065878i,0.0038614+0.021838i,-0.0062382+0.015523i,-0.0051515+0.0016567i
0.0040532+0.006315i,0.033671+0.022052i,0.019976+0.00024629i,0.013062+0.0036743i,0.0078972-0.0013008i,0.016618-0.0042957i,0.011292+0.017541i,0.015408+0.023716i,0.0019752-0.0019498i,0.00075249+0.0005319i,0.0027428-0.00089141i,0.0031922-0.0038892i,0.00067672-0.0014148i,0.0023355-6.7045e-05i,0.0055096+9.844e-05i,0.0069036+0.0015583i,0.0078752-0.0035341i,0.00068152-0.0011108i,-0.0025377-0.0006048i,-8.7588e-05+0.00096196i,0.00027197+0.00035759i,-0.0020343-0.00086647i,-0.0016737-0.00024941i,0.0028416+0.0083476i,-0.00034774+0.00053108i,0.00013767+0.00060705i,0.00053418+0.0013836i,-0.00054198+0.0011578i,0.00018175-4.7321e-05i,-0.00088032-0.00034095i,0.00088007-0.00089123i,-0.00089635-0.00017495i,-0.00021757+0.00064663i,-0.00033106+0.00026405i,0.00044532-0.0010605i,-0.011107+0.0040967i,0.00051153+0.00034201i,-0.00022113-7.863e-05i,-0.001021+0.0010167i,0.00070626-0.0028822i,-0.00086711+3.8109e-05i,-1.1429e-05-0.00014992i,0.00047875+0.0015472i,0.0040043-0.0012859i,-3.9022e-06+0.0033298i,-0.053715-0.0019725i,-0.005241+0.029019i,-0.021847+0.040668i,-0.024159+0.065759i,-0.029571+0.038132i,-0.006587+0.024844i,-0.0080545+0.019182i,-0.047122+0.0030441i,-0.030286-0.0094962i,0.0091339+0.031095i,-0.00073766+0.0059704i,-0.0049393-0.0034702i,-0.012-0.0062449i,0.003432+0.0031307i,0.0056245+0.015983i,-0.005199+0.00088975i,-0.00032505-0.0064905i,0.0051529+0.00079708i,-0.0027997-0.0097267i,0.006793-0.004569i,0.004788-0.00054627i,-0.0070549+0.0068133i,0.012569+0.00016564i,0.0090207-0.00033532i,0.01203-0.0041537i,0.0020738+0.0017727i,-7.7727e-05-0.0065703i,-0.0041997-0.0052772i,0.0034021-0.00033006i,-0.02321+0.021657i,-0.0031912-0.0067629i,0.0018398+0.00080033i,0.0023157-0.0067487i,0.0028975-0.00081434i,-0.0098435-0.010718i,-0.00010122+0.00074727i,0.0049311+4.9479e-05i,0.0025364-0.0014214i,0.0025987-0.005516i,-0.0065304+0.0042651i,-0.0032442+0.0052213i,-0.0076473+0.0037487i,-0.0034395-0.00010712i,-0.0061858-0.00050795i,-0.029644+0.016893i,-0.012257+0.020284i,-0.017933-0.014845i,-0.0088794-0.0073367i,0.0053808+0.021091i,-0.0034185+0.01902i,-0.0051056-0.0016747i
