-0.0079358-0.039278i,-0.013689-0.042948i,0.0010109-0.045491i,-0.026948-0.027362i,-0.020543+0.014073i,-0.032737-0.03047i,-0.059984-0.0594i,-0.022138-0.071127i,-0.033417-0.050228i,0.0013497+0.015193i,-0.0066518+0.010646i,-0.014567+0.013759i,0.0016948+0.015962i,-0.0035119-0.0036641i,0.0010268+0.0062102i,0.00025825+0.036962i,0.01909+0.059284i,0.00077443-0.00016171i,-0.0046592-0.0078679i,0.0082346+0.0044833i,0.0016432+0.0011111i,-0.0010593+0.0036034i,0.0001643-0.0013593i,-0.035263-0.00966i,-0.0026079-0.0071542i,-0.00010137+0.0045857i,0.0052289-0.00018438i,0.00023094+0.00050053i,-0.00029154-0.0011433i,3.823e-05-0.0024957i,-0.0015272-0.0054377i,-0.0022468-0.0038196i,-0.00059849-0.0074204i,0.0032362-0.0014709i,0.0031225-0.0023633i,-0.00096412+0.033355i,0.0060694-0.0041123i,0.0033523-0.0023257i,0.0048605+0.00023137i,-0.013428-0.0040385i,-6.844e-05+0.00031799i,0.0094941-0.000832i,0.0059095-0.00060999i,-0.0035651+0.0034939i,0.0025141+0.0016686i,-0.0032167+0.0073569i,0.012748-0.087451i,-0.0074676-0.04881i,-0.024974-0.040289i,-0.020511-0.041885i,0.061528-0.017889i,0.026229-0.06162i,0.038549-0.046064i,0.029054-0.057244i,0.019127-0.015897i,0.0084063+0.010066i,0.024188-0.031216i,-0.0075497-0.0048291i,0.0024188-0.0027276i,-0.0051311-0.0062396i,0.00093723-0.032151i,-0.023764+0.031554i,0.0076684-0.010119i,-0.010832-0.0012165i,-0.0049814-0.0010431i,-0.0012872-0.013894i,-0.01035+0.0040674i,0.003777+0.0078764i,-0.010431+0.031559i,0.005447+0.0079251i,-0.0052075-0.0013036i,-0.0019681-0.0022961i,-0.011518-0.0074794i,0.00054468-0.0036401i,-0.034723+0.0049572i,0.0021959-0.01236i,-0.008695-0.0021086i,-0.006588-0.0027691i,0.0066268+0.0013448i,-0.0096042+0.0019543i,0.0013266+0.000857i,0.0052755+0.0085527i,0.0047259+0.0002283i,-0.0092343-0.0094462i,0.0022938+0.0084633i,-0.01891+0.0067112i,0.0064745+0.0025522i,-0.029338-0.0079268i,-0.033641+0.0031723i,0.023793-0.078881i,0.012768-0.01076i,-0.042913-0.026199i,-0.023259-0.0030424i,0.017972+0.012229i,-0.026299+0.012552i,-0.011749-0.0079965i
-0.034039+0.0012921i,-0.045956+0.018012i,-0.047744+0.042894i,-0.027602+0.0061284i,-0.0046648+0.014262i,-0.0076466+0.03097i,-0.027965+0.018585i,-0.057018+0.025078i,-0.021551+0.021032i,0.0015057-0.0087462i,0.0013672-0.001828i,0.0031667+0.00043415i,0.0028688+0.008878i,-0.0036083+0.0016906i,0.0015749+0.0022979i,0.0018528-0.009053i,-0.012643-0.0090049i,-0.0044307+0.0004197i,0.0042697-0.0028485i,0.0011713-0.0013406i,0.0024614-0.0043429i,0.0018147-0.0042076i,0.0019853-0.0033585i,-0.010511-0.011097i,-0.0021579-4.5275e-05i,-0.0040703-0.00034345i,-0.0032681-0.00092516i,-0.0050145-0.0017015i,-0.0010628-0.002392i,0.0010578-0.0016943i,-0.0036809+0.0043413i,0.0013354+0.001832i,0.0021497+0.0016192i,0.0013887+0.00030918i,-0.0016664+0.0030041i,-0.0032129-0.0078002i,-0.0031013+0.0013579i,0.001171+4.8491e-05i,-0.00075122+0.0040466i,0.0096023+0.0069668i,0.0013231-0.0027179i,0.00066111-0.00047891i,-0.0046848-0.0042769i,0.0026393+0.0041472i,-0.02021-0.015721i,-0.0017633-0.062136i,-0.088531-0.0081046i,-0.023433-0.020795i,-0.047705-0.041146i,-0.043167-0.0064141i,-0.093074+0.015215i,-0.062358+0.0018809i,-0.037635-0.027515i,-0.030272-0.054104i,-0.034001-0.025152i,-0.00032791+0.0022288i,-0.025001+0.013407i,0.0046555+0.01661i,0.0043284+0.0073841i,-0.00049261-0.0064886i,0.0085679+0.0042238i,-0.01061-0.0033712i,0.0026136+0.011691i,-0.001106+0.0071344i,-0.00079863-0.0023709i,0.0059108+0.0021215i,0.0034765-0.001051i,-0.004028+0.019819i,0.00014305+0.012924i,0.00097092-0.0040046i,0.0106-0.0074151i,0.0035053+0.00326i,-0.0080553-0.0075537i,-0.0018831-0.0016731i,0.025822-0.033165i,0.0081955+0.0084152i,0.0038936+0.002369i,-0.0018411+0.003051i,0.0033211-0.0040089i,0.020728+0.0018912i,0.0015065-0.00237i,-0.00090554-0.0067056i,0.0011625-0.0025699i,0.012078+0.0049399i,0.0055596+0.00049492i,0.0030395-0.0056873i,0.0038604+0.0074836i,0.0040523+0.003008i,0.016896+0.0012617i,-0.065847-0.042733i,-0.010542+0.010508i,-0.0068556-0.0042612i,-0.0061953+0.0038961i,-0.036114+0.01078i,-0.0054534+0.0078125i,-0.014823+0.0040218i
-0.03184+0.0053433i,-0.042183+0.022332i,-0.034997+0.045224i,-0.026322+0.011895i,-0.0032231+0.011526i,-0.002154+0.030904i,-0.025745+0.022645i,-0.049052+0.032701i,-0.016586+0.017944i,-0.0012804-0.0077365i,0.00094764-0.0011975i,0.0029905-0.0012011i,0.0051533+0.0059684i,-0.0018737+0.0034465i,0.0019652+0.0024847i,-0.0035388-0.0067497i,-0.017742-0.0017817i,-0.0037541+0.0020276i,0.0041601-0.0034228i,0.0011689-0.0018826i,0.00097172-0.0043204i,0.0016181-0.003116i,0.0015278-0.0034219i,-0.012183-0.0067549i,-0.001618+9.295e-05i,-0.0042955+0.0010458i,-0.0028827+0.00025669i,-0.0044206+3.4015e-05i,-0.0018377-0.0024369i,0.00065846-0.0017157i,-0.0018798+0.0057906i,0.0014448+0.0015488i,0.0025136+0.00044445i,0.00025445+0.00051494i,-0.0021789+0.0025595i,-0.0031986-0.0066045i,-0.002684+0.0017846i,-0.00013479-0.00061392i,-0.00071938+0.0050346i,0.0099896+0.0011401i,0.0005517-0.0030143i,-4.537e-05-0.001021i,-0.0065237-0.0031935i,0.0036663+0.0034372i,-0.021635-0.017091i,-0.020358-0.067851i,-0.082735+0.0077692i,-0.030611-0.022129i,-0.05986-0.033872i,-0.041189+0.0031892i,-0.081228+0.035408i,-0.059425+0.015536i,-0.028517-0.027252i,-0.036744-0.049976i,-0.040369-0.010907i,-0.00060898+0.00012024i,-0.017383+0.023318i,0.0087389+0.011472i,0.0061727+0.0027464i,-0.0056273-0.01173i,0.0047586+0.003235i,-0.010548+0.0033586i,0.0075197+0.0091254i,0.0014188+0.0087943i,-0.0015078-0.0018606i,0.0066529+0.0024765i,0.0033877-0.0007363i,0.0056011+0.016196i,0.0059852+0.0081937i,-0.0033505-0.0054381i,0.003146-0.0083526i,0.0042187+0.0033796i,-0.011034-0.00022905i,-0.0021078+0.0010034i,0.010356-0.035683i,0.010786+0.0062118i,0.0062253+0.00079569i,0.0013405+0.001993i,-9.2297e-05-0.0021014i,0.017806-0.007102i,-0.00024034-0.0027313i,-0.0040491-0.005011i,-0.0021823-0.0024368i,0.011125-3.0265e-05i,0.0053187+0.00033791i,0.0010876-0.0036398i,0.0062675+0.0060402i,0.0036465+0.0024134i,0.015064-0.0037775i,-0.071855-0.033609i,-0.0034081-0.00066536i,-0.007231-0.0036214i,-0.0054623+0.0033i,-0.029965+0.021329i,-0.003577+0.0086154i,-0.013399+0.0062861i
-0.02885+0.0081829i,-0.039324+0.026641i,-0.026446+0.04354i,-0.023361+0.015144i,-0.00087048+0.011319i,0.0032604+0.029662i,-0.022011+0.026723i,-0.040605+0.037306i,-0.016686+0.015431i,-0.0032077-0.0061275i,0.0014299-0.00080932i,-0.00049992-0.002089i,0.0058276+0.003901i,-0.0011688+0.0037953i,0.0025889+0.0025187i,-0.0070841-0.0017154i,-0.01786+0.0077063i,-0.0014735+0.0034384i,0.0041624-0.0053859i,0.0011742-0.0028739i,-0.00030456-0.0044049i,0.0019529-0.0041013i,0.0011705-0.0039033i,-0.013156-0.0032082i,-0.0018699+0.00045925i,-0.0034618+0.0030179i,-0.0022755+0.00065364i,-0.0031815+0.0017657i,-0.0024563-0.0020992i,-0.00022154-0.0024112i,0.00050403+0.006013i,0.0017839+0.0011542i,0.0020421-0.00032645i,0.00088726+0.00023968i,-0.0014135+0.0042631i,-0.0032513-0.0063835i,-0.0027915+0.0020633i,-0.0010972-0.00035838i,0.0035879+0.0044591i,0.007838-0.0022399i,-0.00033239-0.0029431i,0.0002478-0.0003963i,-0.0085432-0.0015399i,0.004484+0.0012979i,-0.025124-0.016939i,-0.041869-0.064109i,-0.072373+0.01909i,-0.037643-0.018341i,-0.067084-0.021487i,-0.034558+0.0097182i,-0.061449+0.048685i,-0.04452+0.027809i,-0.030126-0.032407i,-0.042933-0.046674i,-0.03864+0.003281i,-0.0012972-0.00063774i,-0.0065076+0.026282i,0.010307+0.0066171i,0.0032935-0.0014702i,-0.017778-0.01142i,0.0041651+0.0021909i,-0.0063512+0.0074567i,0.0096642+0.0038796i,0.0043302+0.0084995i,-0.00393+0.00028489i,0.0069752-0.0013606i,0.0038637-0.0024859i,0.0091023+0.00917i,0.0061643+0.003147i,-0.0078327-0.0019786i,0.00043906-0.0061383i,0.0064589+0.0024943i,-0.0075614+0.0092148i,-7.2206e-05+0.0025206i,-0.0021374-0.032621i,0.013685+0.00095279i,0.0057371-0.0020328i,0.0011204+0.00038023i,0.00043333-7.4263e-05i,0.01135-0.011534i,-0.0029753+0.00063997i,-0.0058284-0.0021357i,-0.0036689+0.001324i,0.0078584-0.002783i,0.0081094-0.0017925i,0.0018541-0.0033983i,0.0093095+0.0026821i,0.0056423+0.0012351i,0.011957-0.0083017i,-0.075911-0.020535i,-0.0080867-0.010135i,-0.0059353-0.0038904i,-0.0048141+0.0023818i,-0.020766+0.025822i,-0.002416+0.0034352i,-0.010344+0.0033784i
-0.026084+0.009598i,-0.035591+0.031751i,-0.020748+0.042047i,-0.019229+0.019061i,0.0029016+0.0084541i,0.008111+0.027123i,-0.016964+0.030091i,-0.033082+0.038662i,-0.017811+0.01706i,-0.0042368-0.0042215i,0.0013526-0.001604i,-0.0023754+0.0013269i,0.0054522+0.0019097i,-0.00087028+0.0050373i,0.0030686+0.0020013i,-0.0062635+0.0044406i,-0.012121+0.015804i,0.00050817+0.0026463i,0.001732-0.0067312i,-9.3372e-05-0.0041012i,-0.0015877-0.0038517i,0.0012104-0.0047697i,0.00016016-0.004862i,-0.012933+0.0010425i,-0.0015379+0.00062155i,-0.0012193+0.003251i,-0.0019541+0.00090188i,-0.00117+0.0018903i,-0.0032542-0.00078837i,-0.0017102-0.0018682i,0.0024538+0.0052693i,0.0017138+0.00057399i,0.0012128-0.00076958i,0.00061053+6.6212e-06i,0.0011174+0.0045635i,-0.0043549-0.0074319i,-0.0018834+0.0032888i,-0.0014722+0.00044258i,0.0040668+0.00049868i,0.0060642-0.0036195i,-0.00071389-0.0026329i,0.00077035-0.0007766i,-0.0092479+0.0018988i,0.0025772-0.0015539i,-0.030099-0.014954i,-0.059017-0.049116i,-0.062091+0.024043i,-0.04272-0.012112i,-0.070773-0.0084881i,-0.026765+0.011855i,-0.042997+0.051601i,-0.028623+0.026671i,-0.034185-0.030721i,-0.049423-0.039641i,-0.033519+0.012992i,-0.0028148-0.00083715i,0.0026427+0.024639i,0.010318+0.0021305i,-0.0012494-0.0016237i,-0.026797-0.00051883i,0.0012494+0.0026116i,-0.0019507+0.0079645i,0.0077215-0.0014256i,0.0075147+0.0074542i,-0.0034438+0.0034833i,0.0035553-0.0026962i,0.0028753-0.0050743i,0.0079855+0.0023471i,0.0035077+0.00084274i,-0.0075877+0.00175i,-0.0014801-0.0045503i,0.0072764+0.00028063i,0.0024308+0.011311i,0.0013701+0.0015751i,-0.0094033-0.026141i,0.012036-0.0039485i,0.0046665-0.0036388i,0.0015918+0.0015747i,0.0013475-0.00032225i,0.0059219-0.011986i,-2.4065e-05+0.0033439i,-0.0061156+0.00093725i,-0.0011556+0.0039201i,0.0057679-0.0026961i,0.0070448-0.0063325i,0.000304-0.003602i,0.0083551-0.0028175i,0.0052411-0.0018649i,0.0079344-0.011854i,-0.073936-0.0070812i,-0.016939-0.012433i,-0.0064227-0.0069495i,-0.0048285+0.0010412i,-0.013705+0.025898i,-0.0066224+0.0026795i,-0.012798+0.0032317i
-0.024382+0.010677i,-0.031435+0.036148i,-0.017272+0.041686i,-0.013614+0.021181i,0.0047458+0.0042156i,0.0115+0.024341i,-0.010937+0.031743i,-0.027551+0.039726i,-0.015704+0.020874i,-0.0042703-0.0023942i,0.00059497-0.0018922i,-0.00099517+0.004007i,0.0048193+0.00064224i,0.0014326+0.0063015i,0.0036906+0.0015633i,-0.0025289+0.0077493i,-0.0039212+0.019693i,0.0011786+0.0014564i,-0.00020631-0.0063898i,-0.0020373-0.0041947i,-0.0027408-0.0031892i,0.00016052-0.0049185i,-0.0019121-0.0047995i,-0.010253+0.0042797i,-0.0018504+0.0003752i,-0.00059819+0.0021818i,-0.0017061+0.0011043i,-0.00016503+0.00097758i,-0.0031369+0.00070311i,-0.0019154-0.00054777i,0.0038199+0.0038693i,0.0016052-0.00024664i,0.00060405-0.00068711i,0.00023835-0.00010942i,0.0021882+0.0034281i,-0.0069541-0.007427i,-0.00072953+0.0037949i,-0.0012062+0.0015334i,0.0017524-0.00099307i,0.0041638-0.0039497i,-0.0012262-0.0025211i,0.00071094-0.0013767i,-0.0077382+0.0046522i,-2.235e-05-0.00042637i,-0.033678-0.0096071i,-0.063279-0.029275i,-0.055631+0.025413i,-0.046927-0.004752i,-0.07221+0.006081i,-0.022028+0.0092231i,-0.02754+0.050186i,-0.019314+0.022375i,-0.036987-0.028744i,-0.052653-0.033232i,-0.026548+0.020824i,-0.0037621-4.1799e-05i,0.012299+0.019876i,0.0093191-0.00066727i,-0.00434+0.00077258i,-0.027477+0.011891i,0.00092354+0.0045834i,0.0020096+0.0078403i,0.0031231-0.0023921i,0.010231+0.0045733i,-0.0014365+0.0054684i,0.0012917-0.0012253i,0.0011928-0.0065942i,0.0032527+0.0013017i,0.0010708+0.0018156i,-0.0072201+0.0064311i,-0.0028108-0.0019688i,0.0068878-0.002354i,0.0075617+0.0067134i,0.0017911+0.00067153i,-0.013252-0.023399i,0.0091091-0.0075646i,0.0029766-0.0050618i,0.0046068+0.0011407i,0.0014485-0.00054704i,0.0029016-0.010655i,0.0026539+0.0028753i,-0.0042691+0.004412i,0.0021392+0.0040099i,0.0053285-0.0029675i,0.0030371-0.010922i,1.1082e-05-0.0028827i,0.0045614-0.0060843i,0.0031798-0.003437i,0.0020388-0.014489i,-0.068685+0.0014931i,-0.027119-0.0066216i,-0.0088161-0.0086307i,-0.0053122-9.0948e-05i,-0.008627+0.025696i,-0.0096377+0.0054098i,-0.0134+0.006527i
-0.023261+0.012109i,-0.026658+0.040663i,-0.014087+0.043695i,-0.0077757+0.020705i,0.0035716-0.00059775i,0.015081+0.02195i,-0.0045051+0.031339i,-0.022749+0.041399i,-0.011746+0.022094i,-0.0041805-0.0017174i,-0.0011207-0.0017756i,0.00119+0.005166i,0.003892+3.8425e-05i,0.0038729+0.0050901i,0.0039393+0.00074987i,0.0014364+0.0086416i,0.0051826+0.019353i,0.0013631+0.0010631i,-0.0018765-0.0060413i,-0.0038246-0.0031612i,-0.0031771-0.0016092i,-0.00052468-0.0051591i,-0.0031318-0.0034774i,-0.0082054+0.0050023i,-0.0025117+0.0012773i,-0.00058631+0.0021114i,-0.0015367+0.0014292i,0.00017-0.00024616i,-0.0020679+0.0015831i,-0.0015593+9.2348e-05i,0.0048783+0.0022818i,0.0011631-0.00080436i,0.00044356-0.00057185i,-0.00023686-0.00020262i,0.0027905+0.0027654i,-0.0095842-0.0058262i,0.0002192+0.0033834i,-0.00026007+0.0020326i,0.00060375-0.0010704i,0.0027879-0.0038841i,-0.0017428-0.0020509i,6.1227e-05-0.0017817i,-0.0054734+0.0062721i,-0.00017778+0.0017008i,-0.035348-0.0028825i,-0.058692-0.015989i,-0.051942+0.028242i,-0.047968+0.006464i,-0.067768+0.023331i,-0.023564+0.0070911i,-0.015977+0.045322i,-0.01274+0.0176i,-0.039419-0.024692i,-0.056624-0.026807i,-0.018588+0.024156i,-0.004918+0.0015561i,0.01652+0.0077793i,0.0086259-0.0043788i,-0.0058507+0.0046743i,-0.020777+0.023527i,0.002462+0.0048816i,0.0064129+0.0050248i,0.0012804-0.0004904i,0.011799-0.00046363i,0.00060927+0.0067675i,0.0011863+9.9882e-05i,-0.0030618-0.0081228i,0.0016178+0.003909i,0.0013458+0.0040295i,-0.00218+0.011083i,-0.0015396+0.00027209i,0.0053353-0.0037826i,0.0093618+0.0020191i,0.0025183-0.00063383i,-0.02055-0.022123i,0.0047669-0.0094121i,0.0002408-0.0056314i,0.0041892-0.0013447i,0.0010728-0.00014056i,0.0018289-0.0088392i,0.0037115+0.00082995i,-0.0008346+0.0054782i,0.0036311+0.001523i,0.0041934-0.003989i,-0.0037017-0.010808i,-0.00033865-0.0032491i,0.00070775-0.0058515i,0.0025459-0.0049098i,-0.0050827-0.012955i,-0.066008+0.0083342i,-0.026482+0.0068602i,-0.012869-0.0089863i,-0.006968-4.6166e-05i,-0.0049355+0.025493i,-0.0085658+0.010334i,-0.0089776+0.0088414i
-0.022048+0.014251i,-0.020503+0.045042i,-0.0090218+0.046664i,-0.0042935+0.017676i,-0.00019915-0.002916i,0.018628+0.018575i,0.0012163+0.029817i,-0.017745+0.043715i,-0.0081704+0.023266i,-0.0046125-0.00065882i,-0.0019484+0.00034712i,0.0039834+0.0052689i,0.0031893+0.00016709i,0.0048473+0.0029287i,0.0036782+8.3586e-05i,0.0048863+0.0077546i,0.012356+0.015057i,0.0016757+0.00089208i,-0.003226-0.0053151i,-0.0045889-0.0011979i,-0.0025812-0.00045206i,-0.0018669-0.0054281i,-0.003594-0.0022222i,-0.0074877+0.00672i,-0.0021127+0.0023622i,-0.00017531+0.002636i,-0.0012431+0.0019549i,-0.0010115-0.0011198i,-0.0016529+0.0014701i,-0.0013398+0.00028689i,0.0052555+0.00040168i,0.0010039-0.00086876i,0.0006202-0.00077768i,-0.00026888+0.0001527i,0.0039023+0.0011289i,-0.011758-0.0031902i,0.0012452+0.0032159i,0.00042948+0.0015733i,-5.448e-05-0.0011904i,0.0018511-0.0036676i,-0.0020983-0.0014792i,-0.00037989-0.0016947i,-0.0037301+0.0063865i,0.00063874+0.0023596i,-0.034618+0.0027117i,-0.055311-0.010654i,-0.048029+0.033177i,-0.043399+0.016246i,-0.057662+0.037515i,-0.02461+0.010054i,-0.0076035+0.041056i,-0.010064+0.012308i,-0.041068-0.020575i,-0.059244-0.018193i,-0.011927+0.025376i,-0.0036498+0.0025117i,0.010719-0.0025898i,0.0053925-0.0082134i,-0.004279+0.0080325i,-0.010201+0.028029i,0.0027841+0.0037028i,0.0079049+9.7607e-05i,0.0021104+0.00034361i,0.0098924-0.0040266i,0.0049343+0.0066419i,0.0014766+0.0017803i,-0.0074653-0.0031962i,0.0031141+0.0057326i,0.0030891+0.0054778i,0.0038026+0.010906i,-0.00063007+0.00049545i,0.0042042-0.0049527i,0.0094044-0.0041645i,0.00061005-0.0015576i,-0.029067-0.014549i,0.0014588-0.009111i,-0.0017849-0.0038999i,0.0045459-0.00055329i,0.0012189-0.00037345i,0.0018223-0.0098585i,0.0032712-0.0010032i,0.0015806+0.0038574i,0.0035155+0.00075575i,0.0034401-0.0036955i,-0.0074552-0.0065487i,-0.0020453-0.0037356i,-0.0020787-0.0046084i,0.00057242-0.006254i,-0.0090809-0.0088173i,-0.06207+0.015989i,-0.021593+0.0088411i,-0.013159-0.0069516i,-0.0076725+0.00089115i,-2.5717e-06+0.02363i,-0.0069237+0.011517i,-0.0066135+0.0077706i
-0.020309+0.016172i,-0.013028+0.048406i,-0.0021787+0.0498i,-0.0031424+0.016002i,-0.0041035-0.0023735i,0.021242+0.014716i,0.0062622+0.027275i,-0.011386+0.046198i,-0.004176+0.023303i,-0.0047624+0.00076178i,-0.00071743+0.0019279i,0.006911+0.0030548i,0.0032075+0.00034834i,0.0044163+0.0014738i,0.0037287-0.0002072i,0.0075807+0.0051135i,0.016353+0.0091562i,0.0022266-0.00026677i,-0.0044016-0.0044004i,-0.0042281+0.00089143i,-0.0017684+0.00020226i,-0.0033221-0.004373i,-0.0036422-0.0012806i,-0.0048329+0.0082744i,-0.0013563+0.0034088i,0.00098274+0.0027572i,-0.00054837+0.0024503i,-0.0026542-0.00074004i,-0.0014177+0.0017966i,-0.0011118+0.00055822i,0.0046762-0.0014876i,0.00096487-0.0015033i,0.00017356-0.0010515i,-5.5601e-05+0.00032535i,0.0033561-0.00074059i,-0.012672+0.00077658i,0.0020707+0.0028212i,0.00076586+0.0012746i,-0.0012131-0.0011649i,0.001398-0.0033242i,-0.0020064-0.0010991i,-0.00068443-0.0016058i,-0.0027882+0.0065593i,0.0015591+0.0027044i,-0.033782+0.0070283i,-0.056395-0.0062448i,-0.04306+0.037788i,-0.038648+0.023187i,-0.043977+0.04591i,-0.025067+0.0134i,0.00047513+0.035799i,-0.0091614+0.0098266i,-0.042161-0.015918i,-0.059834-0.0084649i,-0.0062692+0.025559i,-0.0027633+0.0027699i,0.0038989-0.0036299i,0.00074721-0.010028i,-0.0005852+0.010966i,-1.0828e-05+0.026533i,0.0022626+0.0024045i,0.0063851-0.0047034i,0.0017162+0.00028828i,0.0073752-0.0073026i,0.008426+0.0038995i,0.0030397+0.002387i,-0.007291+0.00070994i,0.0054353+0.0066496i,0.0054841+0.0057408i,0.0090526+0.0079668i,-0.00031825+0.0008623i,0.0034415-0.0058649i,0.0059248-0.0085449i,-0.00022102+0.00024392i,-0.033551-0.0028436i,-0.00041639-0.0084792i,-0.0023114-0.0019609i,0.0055794-0.0011867i,0.0011369-0.00041958i,-5.0755e-05-0.012054i,0.0019178-0.0018396i,0.0030797+0.0029643i,0.0040222-0.00060629i,0.0041876-0.0044909i,-0.0089252-0.0030115i,-0.0041221-0.0018105i,-0.004155-0.0022913i,-0.0018014-0.006863i,-0.010631-0.0044991i,-0.057263+0.021964i,-0.020821+0.010371i,-0.012672-0.0076602i,-0.0079904+0.0021115i,0.0015818+0.02208i,-0.0065484+0.01238i,-0.0049377+0.0069806i
-0.018048+0.018246i,-0.0038727+0.049991i,0.0072283+0.051324i,-0.0025496+0.015454i,-0.0059656+0.00077812i,0.023447+0.01073i,0.010233+0.023489i,-0.0032263+0.047686i,-0.00024615+0.022571i,-0.0044509+0.0021726i,0.00051521+0.0017062i,0.0072631-0.00084807i,0.0038039-2.2084e-05i,0.004296+0.00060802i,0.0039112-0.00084841i,0.0079094+0.0017755i,0.0173+0.0028528i,0.0010114-0.0014378i,-0.0058017-0.0027855i,-0.0028763+0.0021299i,-0.00086807+6.2328e-06i,-0.0039073-0.0034467i,-0.0036153-0.0003178i,-0.0018974+0.0085592i,0.0001891+0.003792i,0.0018807+0.0020074i,0.00039375+0.0024457i,-0.0033794+0.0008319i,-0.00076895+0.001885i,-0.00078754+0.00067909i,0.003536-0.0029558i,0.0001932-0.0018767i,-0.00020629-0.00091876i,-2.8341e-05+0.00021272i,0.0021513-0.0017314i,-0.011644+0.005008i,0.0026682+0.0021225i,0.0010809+0.0009027i,-0.00217-0.00017953i,0.00079372-0.0031467i,-0.002438-0.00084925i,-0.0009387-0.001721i,-0.0019946+0.0070548i,0.0027057+0.0025419i,-0.032742+0.012195i,-0.059747+0.0020377i,-0.036759+0.04104i,-0.031456+0.028708i,-0.030621+0.050872i,-0.024119+0.02007i,0.0072789+0.028552i,-0.0048125+0.0076312i,-0.041975-0.010787i,-0.057458+0.0016953i,-0.0013981+0.025451i,-0.0025557+0.0026871i,8.7912e-05-0.0030806i,-0.004783-0.0097678i,0.0050472+0.010438i,0.0061274+0.022228i,0.00047077+0.001918i,0.0037634-0.0084506i,0.0028119+0.0019951i,0.0028745-0.0091067i,0.0097622-0.001324i,0.00485+0.0018293i,-0.0066989+0.0045809i,0.0094432+0.006098i,0.0091037+0.0037972i,0.011866+0.0027369i,0.0006745+0.0015042i,0.001601-0.0068806i,-0.00043377-0.0097174i,0.0011521+0.0018406i,-0.033225+0.0099285i,-0.0022594-0.0080928i,-0.0017268-0.00023203i,0.0061561-0.0052691i,0.0014911-2.1318e-05i,-0.0052319-0.013047i,0.00095575-0.0015348i,0.0040184+0.0012272i,0.0038603-0.0014369i,0.0030205-0.0060771i,-0.008693+0.0020109i,-0.0040012+0.00091489i,-0.0048912+0.00028081i,-0.0046832-0.0069125i,-0.010412-0.00084743i,-0.053219+0.027377i,-0.020268+0.016012i,-0.014772-0.010281i,-0.0053762+0.0036673i,0.0043632+0.021404i,-0.0064187+0.015133i,-0.0031105+0.0049602i
-0.015222+0.019735i,0.0050039+0.04883i,0.017519+0.049218i,-0.0015589+0.015859i,-0.0052255+0.0041017i,0.025386+0.0062805i,0.012813+0.019348i,0.0052464+0.04668i,0.0029795+0.021105i,-0.0037869+0.0035171i,0.00069645+0.0014561i,0.0053674-0.0034331i,0.0038577-0.0012513i,0.0039347-8.5075e-05i,0.0035972-0.0016461i,0.0063958-0.00027733i,0.016232-0.0021848i,0.0001408-0.0011342i,-0.0057964-0.00064706i,-0.0014463+0.0024891i,-0.00028974-0.00049261i,-0.0044281-0.0029698i,-0.0030906+0.00046247i,0.00074843+0.0084347i,0.0016713+0.0031617i,0.0022621+0.00132i,0.0012123+0.002089i,-0.0027264+0.0025628i,-0.00012641+0.0015404i,-0.00082008+0.00089086i,0.0018818-0.0035709i,-0.00064927-0.0016895i,-0.00045345-0.00072991i,-0.00013197+0.00022941i,0.0010132-0.0021636i,-0.0092668+0.0081924i,0.0030039+0.0010429i,0.0011098+0.00039987i,-0.0021082+0.0012167i,0.00023254-0.0032681i,-0.0026085-5.8347e-05i,-0.0015083-0.0020341i,-0.0006804+0.0080647i,0.0036327+0.0017305i,-0.030152+0.017082i,-0.059382+0.014354i,-0.032136+0.043446i,-0.024478+0.031525i,-0.016211+0.0527i,-0.018514+0.027799i,0.010204+0.019823i,-0.0024643+0.00089715i,-0.039035-0.0064354i,-0.051579+0.011695i,0.0047293+0.023694i,-0.002522+0.0031173i,-0.0035628-0.0012217i,-0.0089397-0.0068643i,0.0086701+0.0065598i,0.01015+0.018318i,-0.0021056+0.0032071i,-0.0004173-0.011302i,0.0051075+0.00057782i,-0.0015849-0.0079262i,0.0070415-0.0051037i,0.0062545-0.00060687i,-0.0050052+0.0071478i,0.012955+0.0013098i,0.010607-0.0015545i,0.011164-0.0038621i,0.0025645+0.0008875i,-0.00085454-0.0070451i,-0.0043852-0.0060671i,0.0034042+0.00069364i,-0.026896+0.023937i,-0.0044777-0.0067989i,-0.00043469+0.00077686i,0.0021085-0.0073127i,0.0021089-2.053e-05i,-0.011107-0.010192i,0.00085796-0.00077176i,0.004344-0.001063i,0.002932-0.0028236i,0.0013819-0.0065055i,-0.0059741+0.0059467i,-0.0025108+0.002661i,-0.0043043+0.0035697i,-0.0080969-0.0056084i,-0.0096338+0.0016799i,-0.047614+0.034835i,-0.011739+0.021318i,-0.020203-0.0096241i,-0.0025492+0.0020037i,0.0063323+0.02016i,-0.0035893+0.018383i,-0.0028989+0.0016951i
