-0.031305-0.038773i,-0.020909-0.020082i,-0.013365-0.035656i,-0.029644-0.019704i,-0.022152-0.00035298i,-0.013783-0.0056833i,-0.05469-0.058573i,-0.046778-0.017272i,-0.03711-0.010434i,0.012514+0.011518i,-0.0077305+0.0042801i,-0.019389+0.019157i,0.0018543+0.011432i,-0.0058862-0.0022036i,9.5065e-05+0.0014097i,-0.0018427+0.030405i,0.025417+0.025386i,0.0024113-0.0020063i,-0.0023786-0.0070741i,0.0073101+0.003957i,0.0027126+0.00068722i,6.5849e-05+0.0038069i,-0.00033214+0.00030149i,-0.036231-0.011424i,-8.4987e-05-0.0078701i,0.0014594+0.002065i,0.0071078+0.0012458i,0.0016678+0.00073304i,0.0011458-0.00052945i,-0.00043626-0.0025016i,0.0014532-0.0023542i,-0.0020398-0.0062509i,-0.00070685-0.0050229i,0.0028762-0.00064805i,0.0046906-0.0030469i,0.00097126+0.029774i,0.0042322-0.0036054i,0.002867-0.0017905i,0.0081365-0.0014188i,-0.0065124-0.0035087i,-0.00012828+0.00085111i,0.0091331-0.00077035i,0.0046224-0.0024727i,-0.0012757+0.0083828i,-0.017433-0.0076127i,-0.018741+0.014704i,-0.0025604-0.061588i,-0.0053566-0.026605i,-0.026523-0.032434i,-0.010668-0.027281i,0.054623-0.020035i,0.017034-0.042654i,0.023134-0.047404i,0.0046602-0.054004i,0.027368-0.021255i,0.0082171+0.0058795i,0.025547-0.034518i,-0.0079686-0.0067783i,0.004149-0.0048234i,-0.0046482-0.0069774i,-0.00103-0.033282i,-0.018129+0.028872i,0.0090527-0.01201i,-0.0091725-0.0040796i,-0.0040714-0.0014351i,0.00054597-0.01327i,-0.011357+0.0042949i,0.0025408+0.010308i,-0.0046337+0.025114i,0.0051097+0.0027833i,-0.0051706-0.0020528i,-0.0021186-0.002092i,-0.013378-0.0081318i,-0.00047642-0.0040849i,-0.02381+0.0057173i,0.0012023-0.011043i,-0.0084179-0.00012734i,-0.0069235-0.0021637i,0.0051701+0.0016835i,-0.0078309-0.00047324i,0.0027191+0.00031806i,0.0035663+0.0069649i,0.0046254+0.00046383i,-0.0071773-0.013137i,0.002638+0.0096023i,-0.0151+0.0046737i,0.0068655-2.1237e-05i,-0.021965-0.0013748i,-0.017401+0.0061463i,-0.011634-0.068547i,0.0079401-0.012944i,-0.048436-0.023205i,-0.020757+0.00016088i,0.017366+0.011731i,-0.022842+0.014519i,-0.018918-0.0051658i
-0.038239+0.031095i,-0.016099+0.019162i,-0.020946+0.041476i,-0.026624+0.0132i,-0.0044797+0.020905i,-0.00074228+0.007679i,-0.029836+0.016931i,-0.0030748+0.028697i,0.0073197+0.017072i,-0.0055935-0.005677i,0.0028293+0.0037634i,0.0075601-0.00024478i,0.0052104+0.00013583i,-0.00039321+0.0032913i,0.00061802+0.0021315i,0.0065067-0.0047286i,-0.005957-0.00078554i,-0.002944+6.2243e-05i,0.0043393-0.00078039i,1.076e-05-0.0009359i,0.0026669-0.0052066i,0.0016515-0.0027962i,0.0014028-0.0024872i,-0.0094305-0.011101i,-0.0011506+0.0028012i,-0.0015444+0.00022573i,-0.0041173-0.0015328i,-0.0028123+4.2949e-05i,-0.0013948-0.0020811i,3.0183e-06-0.00045702i,-0.00078254+0.0038605i,0.00064087+0.0010258i,0.0019624+0.00043363i,-0.00064678+0.00049475i,-0.0024881+0.0028916i,-0.0010493-0.0072281i,-0.0026361+0.0010402i,0.00083911-0.00039017i,-0.0010655+0.0034703i,0.0038318+0.0035174i,-0.00035387-0.001471i,-0.00046665-0.0030732i,-0.0034171-0.00013884i,0.0039555+0.00039571i,-0.01634+0.024528i,0.007426-0.035519i,-0.054762+0.0037534i,0.0079637-0.031475i,-0.031034-0.049017i,-0.029128-0.019969i,-0.062458+0.020481i,-0.037308+0.0014824i,-0.033275-0.0077945i,-0.02534-0.021662i,-0.038645-0.022386i,-0.0054841+0.0030435i,-0.027773+0.0099913i,0.0066272+0.019445i,0.002436+0.0081675i,-0.0024332-0.0063021i,0.0021643+0.0010313i,-0.011965-0.0041876i,0.0059305+0.011091i,-0.0004699+0.0058784i,-0.0019011-0.0013858i,0.0012737+0.0020349i,0.0035113-0.0011195i,-0.0031633+0.018128i,0.0030534+0.015721i,0.0037975-0.00020865i,0.0098304-0.0064508i,0.0043725+0.0031276i,-0.010109-0.0073744i,-0.00094241-0.0028096i,0.023063-0.036771i,0.0077525+0.010795i,0.0052125+0.0020444i,-0.0026866+0.0027398i,0.0035477-0.0059614i,0.020872+0.0081919i,0.0030623+0.002658i,0.00059745-0.0066395i,0.00069649-0.0027793i,0.014091+0.0079363i,0.0046887+0.0017092i,0.0025418-0.0049069i,0.0037793+0.0085367i,-0.00052222+0.0012808i,0.0090177+0.0028666i,-0.047331-0.01558i,-0.0058553+0.01171i,-0.0019763-0.0051397i,-0.0067788+0.0052984i,-0.037373+0.012642i,-0.0055396+0.0074885i,-0.010318+0.013848i
-0.032586+0.036082i,-0.012906+0.0189i,-0.010659+0.03743i,-0.023745+0.01602i,-0.0016155+0.019065i,0.00063272+0.0076422i,-0.028351+0.021777i,0.0026868+0.02756i,0.0091559+0.012075i,-0.0067974-0.0030777i,0.0039535+0.0042042i,0.0067423-0.0028922i,0.0047797-0.0017827i,0.0016388+0.0038719i,0.00091376+0.0021439i,0.0019625-0.004373i,-0.0072429+0.0027508i,-0.0025399+0.0010745i,0.0047647-0.0018932i,0.00025198-0.00091664i,0.0010993-0.0054898i,0.0013157-0.0025561i,0.00078013-0.0025478i,-0.011682-0.0074369i,0.00034309+0.0023777i,-0.0016022+0.00059191i,-0.0036459+0.0004218i,-0.0021439+0.00068352i,-0.0023562-0.001455i,0.00013658-0.00036353i,0.00057806+0.0033657i,0.00021698+0.0010105i,0.0014488-0.00049273i,-0.00083699+0.00076301i,-0.0023025+0.0032232i,-0.000978-0.0061376i,-0.0019471+0.001722i,5.3518e-06-0.0010446i,-0.00028521+0.0034472i,0.0039861+0.001211i,-0.00066912-0.0012543i,-0.0020303-0.002909i,-0.0034878+0.0009069i,0.0041568-0.00064212i,-0.011899+0.023886i,-0.005597-0.040797i,-0.048359+0.014629i,-0.0013488-0.039147i,-0.044983-0.043631i,-0.029495-0.01314i,-0.051032+0.032277i,-0.034155+0.0093794i,-0.024223-0.0098294i,-0.027523-0.017733i,-0.043683-0.0082298i,-0.0045033+0.0030196i,-0.023314+0.021833i,0.011427+0.01312i,0.0051141+0.0051264i,-0.0093654-0.0084769i,-0.0012244+0.0033526i,-0.010904+0.0028963i,0.010259+0.007954i,0.00061825+0.0073549i,-0.0021357-1.586e-05i,0.0019489+0.0029867i,0.0039895-0.0015021i,0.0053506+0.014332i,0.0095496+0.0096866i,-0.00076174-0.0032153i,0.0033905-0.0079105i,0.0047708+0.0026297i,-0.013443+0.0006362i,-0.0023016-0.00069755i,0.0058251-0.037229i,0.011632+0.0085271i,0.0075094-0.00053959i,0.00082778+0.0024953i,-0.00012952-0.0035892i,0.022202-0.002226i,0.0031051+0.0010118i,-0.0029277-0.0052491i,-0.0029556-0.0014127i,0.014184+0.0033569i,0.0047897+0.0015935i,0.00077882-0.0035296i,0.00644+0.0067504i,-0.00037716+0.0024993i,0.0093009-0.00020527i,-0.050113-0.010672i,-0.00062727-0.0033337i,-0.0012553-0.0045549i,-0.0046804+0.0051445i,-0.030747+0.02334i,-0.0029368+0.0083896i,-0.0018344+0.014172i
-0.026322+0.039831i,-0.010509+0.018959i,-0.0056712+0.031424i,-0.021065+0.018716i,0.0017059+0.018021i,0.0022422+0.0070816i,-0.024541+0.027246i,0.0079531+0.024872i,0.0085194+0.0086321i,-0.0071446-0.00020676i,0.0059593+0.0036878i,0.0027936-0.0039611i,0.0035426-0.0029021i,0.0024687+0.0034445i,0.0013938+0.0021034i,-0.0013204-0.0016927i,-0.0059124+0.0068416i,-0.0013364+0.0016883i,0.0046516-0.0042266i,0.00050566-0.0015423i,-0.00072536-0.0052275i,0.0013824-0.0030172i,0.00025155-0.0026182i,-0.013587-0.0043363i,0.00096677+0.0017641i,-0.0010283+0.0014602i,-0.0025254+0.00066391i,-0.00096841+0.0012925i,-0.0021774-0.0011852i,-7.9739e-05-0.0007455i,0.0016299+0.0027961i,0.00064025+0.00131i,0.00091206-0.00061552i,-0.00047909+0.00082236i,-0.00070144+0.0042349i,-0.00035465-0.0059884i,-0.0018893+0.0022652i,-0.00089179-0.00087691i,0.0016864+0.0024262i,0.0032232-0.00023287i,-0.00079061-0.00089476i,-0.0017078-0.001214i,-0.0032406+0.0018985i,0.0036597-0.00236i,-0.0089241+0.023731i,-0.02138-0.038918i,-0.038299+0.021324i,-0.013087-0.041018i,-0.053283-0.034466i,-0.026277-0.0076229i,-0.035048+0.038424i,-0.023538+0.014708i,-0.026368-0.013537i,-0.028264-0.013938i,-0.041381+0.0060464i,-0.0036638+0.0032531i,-0.011802+0.028906i,0.013085+0.0069818i,0.0035355+6.1576e-06i,-0.018412-0.0051656i,-0.00057867+0.0049025i,-0.0061562+0.0069757i,0.011703+0.0024937i,0.0035658+0.0076416i,-0.0034759+0.0017057i,0.0023466+0.0014801i,0.003837-0.0030568i,0.0078766+0.0074901i,0.0091645+0.0032871i,-0.0050694+3.5219e-05i,0.00034844-0.0060976i,0.0063283+0.0016236i,-0.0082071+0.0079729i,-0.0005414+0.0014899i,-0.0031682-0.029132i,0.015735+0.0023114i,0.0061946-0.0027814i,0.0013301+0.0012744i,-0.00024016-0.0015184i,0.01688-0.0096i,0.0016873+0.0029226i,-0.0048905-0.0026247i,-0.0033867+0.0024899i,0.011002-0.0011464i,0.0083148-0.00080655i,0.00064131-0.003456i,0.0096412+0.0032556i,0.0029735+0.0023133i,0.0084732-0.0032237i,-0.052966-0.00095328i,-0.010295-0.01091i,0.0016984-0.0074075i,-0.0030955+0.0034642i,-0.019329+0.027041i,-0.0035216+0.0034173i,-0.0019195+0.0095773i
-0.019126+0.042217i,-0.0078274+0.019949i,-0.0041409+0.026497i,-0.017158+0.021555i,0.0048753+0.015127i,0.0037603+0.0054799i,-0.018222+0.031805i,0.011679+0.02086i,0.0081901+0.0073259i,-0.0062853+0.0024605i,0.0076572+0.0017449i,0.00046089-0.0014204i,0.0022671-0.0032869i,0.0023213+0.003427i,0.001878+0.0016541i,-0.0017058+0.0023932i,-0.0019918+0.0096047i,-0.00048681+0.0013979i,0.0026188-0.0053789i,-0.00021094-0.0021368i,-0.0018661-0.0043064i,0.0010086-0.0033385i,-0.00032589-0.0027795i,-0.014549+0.001069i,0.0015623+0.00077201i,2.5894e-05+0.00086561i,-0.0025359+3.6964e-05i,0.00019558+0.00056728i,-0.0024697-0.000418i,-0.00047332-0.00050667i,0.0024916+0.0016993i,0.001226+0.0010582i,0.00035639-0.00076005i,-0.00025067+0.00085227i,0.0011469+0.0033463i,-0.0011475-0.0079107i,-0.00098485+0.0029473i,-0.0012934-6.6192e-05i,0.001593+3.7597e-05i,0.0025883-0.00070107i,-0.00096143-0.0006262i,-0.0010071-0.0011385i,-0.0023002+0.0029114i,0.0012767-0.00438i,-0.0059764+0.024309i,-0.033533-0.02686i,-0.028651+0.022214i,-0.024182-0.037925i,-0.061802-0.02408i,-0.021318-0.0056989i,-0.021244+0.03707i,-0.013468+0.010915i,-0.027604-0.010534i,-0.028715-0.0091835i,-0.035219+0.017107i,-0.0032817+0.0033885i,0.00013125+0.028972i,0.015031+0.0009055i,-0.0011613-0.0008829i,-0.023117+0.0059561i,-0.00073808+0.0066157i,-0.0017208+0.0061768i,0.0090931-0.0033783i,0.0062694+0.0068356i,-0.0025263+0.0042035i,0.00030574+0.0020222i,0.003023-0.0056778i,0.0060499+0.0019757i,0.0056155+0.00037818i,-0.0032304+0.0034316i,-0.0013312-0.0045282i,0.0065593-0.00057292i,0.0013231+0.01058i,0.0004018+0.00079712i,-0.0096821-0.024051i,0.01368-0.0039857i,0.0045612-0.0043485i,0.00192+0.0018929i,-9.5688e-05-0.0013144i,0.011443-0.012394i,0.0053265+0.0037506i,-0.005541+0.00013732i,-0.0007627+0.0043301i,0.0082996-0.0018215i,0.007746-0.0061438i,-0.00080736-0.0030057i,0.0090671-0.0028757i,0.0030505-0.00091185i,0.0073946-0.006581i,-0.04905+0.011036i,-0.019442-0.0098519i,-0.00032706-0.015097i,-0.002189+0.0011127i,-0.012045+0.028064i,-0.0073007+0.0032583i,-0.0024001+0.0086044i
-0.013127+0.043559i,-0.0051568+0.019673i,-0.0049721+0.02419i,-0.012493+0.022979i,0.0064043+0.011861i,0.0040172+0.0036637i,-0.010745+0.033556i,0.014081+0.016678i,0.0089783+0.006309i,-0.0041674+0.0042106i,0.0063692-0.0023445i,0.00094151+0.00063242i,0.001247-0.0034916i,0.0035694+0.0037188i,0.0021889+0.0011715i,0.00017027+0.0050863i,0.0026482+0.0099879i,-0.00014811+0.0011047i,0.0011845-0.00571i,-0.0011893-0.0021083i,-0.0028239-0.0035072i,0.00025046-0.0034688i,-0.0011923-0.0026509i,-0.010721+0.0058075i,-0.00080896-0.0032399i,-0.0001056-4.7467e-05i,-0.0010692+0.00053976i,0.00025254-0.000598i,-0.0021185+0.0012619i,-0.00021874-0.00026232i,0.0027103+0.00034627i,0.0019099+0.00012999i,-0.00028669-0.00054383i,-0.00026464+0.00082918i,0.0015535+0.0023934i,-0.0039028-0.0092715i,-5.8238e-05+0.0028927i,0.00082797+0.0017973i,0.00025299-0.00037419i,0.0018841-0.00065256i,-0.00080211-0.00033619i,-0.0012258-0.0014396i,-0.00075725+0.0032911i,-0.0012327-0.0032195i,-0.0019804+0.025342i,-0.033539-0.012468i,-0.022378+0.020475i,-0.033796-0.031438i,-0.067352-0.0081365i,-0.018233-0.008046i,-0.010951+0.032149i,-0.0089846+0.005771i,-0.027387-0.0091106i,-0.02755-0.0055366i,-0.027763+0.023847i,-0.0026668+0.0033933i,0.012447+0.024153i,0.01256-0.0028496i,-0.0045431+0.0018531i,-0.021169+0.015725i,0.0018621+0.0079537i,0.00025643+0.0060102i,0.0031864-0.0044715i,0.0085708+0.0047853i,-0.00074058+0.005989i,0.00044382+0.004185i,0.0011919-0.0069783i,0.0018199+0.0020426i,0.0028364+0.0010794i,-0.0021512+0.0050215i,-0.0024806-0.0022965i,0.0057552-0.0027171i,0.0080353+0.0059324i,0.00066932+0.00025655i,-0.013361-0.022469i,0.010008-0.0080274i,0.002441-0.0052249i,0.0034237+0.00072632i,-0.00031417-0.00076872i,0.007557-0.012847i,0.0078563+0.00077778i,-0.0038896+0.0034458i,0.0021182+0.003901i,0.007606-0.0025693i,0.0026058-0.011277i,-0.00071115-0.0021331i,0.0042374-0.0061313i,0.0008117-0.0019811i,0.0034978-0.0096511i,-0.040618+0.016423i,-0.027517-0.0019082i,-0.0069052-0.01642i,-0.0031341-0.0012919i,-0.0069454+0.026183i,-0.010059+0.0061024i,-0.0014088+0.0090832i
-0.0066062+0.044619i,-0.0031027+0.019726i,-0.0055107+0.025091i,-0.0080908+0.022873i,0.0064722+0.0089236i,0.0040865+0.0025248i,-0.0028308+0.032653i,0.015589+0.01265i,0.010028+0.0041319i,-0.0023888+0.0042855i,0.0042766-0.0027035i,0.0019772+0.0015972i,9.4986e-05-0.0033473i,0.0051192+0.0024487i,0.0022169+0.00067063i,0.0028852+0.0060392i,0.0069608+0.0079266i,0.00012198+0.0010414i,-0.00083764-0.0058276i,-0.0019164-0.0015789i,-0.0031062-0.0021357i,-0.00031927-0.003567i,-0.0018439-0.0021321i,-0.0072444+0.0055873i,-0.00068378-0.0007729i,-0.00082506-0.00023746i,-0.0012149+0.00092197i,-0.0003251-0.0015261i,-0.00072773+0.0010582i,-0.00010961-0.0004785i,0.0023731-0.00073441i,0.0017077-0.00073133i,-0.00066509-0.0001831i,-0.00015657+0.00076825i,0.0016878+0.0019237i,-0.007341-0.0091715i,0.00053676+0.0023682i,-0.0022059+0.0017283i,-0.00088747+0.00083426i,0.0017727-0.00028501i,-0.00063122-8.7933e-05i,-0.0016695-0.00078131i,0.00055185+0.0028927i,-0.0020761-0.001144i,0.0024294+0.025826i,-0.028123-0.0053047i,-0.01809+0.018908i,-0.03971-0.020521i,-0.063952+0.010671i,-0.021673-0.011098i,-0.0048902+0.02665i,-0.006511+0.0013333i,-0.026716-0.0060139i,-0.026792-0.0029659i,-0.022135+0.028456i,-0.0028631+0.0036691i,0.018716+0.010765i,0.010366-0.0072335i,-0.0054625+0.0058632i,-0.013349+0.023907i,0.0047197+0.0066385i,0.0039487+0.0045401i,0.00061748-0.0017956i,0.010155+0.00090365i,0.001642+0.0072457i,0.0018127+0.0050398i,-0.0032852-0.00886i,0.00076089+0.0050484i,0.0027844+0.0024744i,0.0010603+0.008088i,-0.0017118-0.00059481i,0.0042064-0.0035288i,0.010248+0.0018384i,0.0011074-0.00071316i,-0.021733-0.02078i,0.0056988-0.0099527i,5.2934e-05-0.0054471i,0.007259-0.0021609i,4.105e-05+0.00057016i,0.0052942-0.012144i,0.0073815-0.0023155i,-0.0011606+0.004575i,0.0036842+0.0015362i,0.0060528-0.0045672i,-0.0037721-0.0096769i,-0.00096073-0.002453i,0.0011101-0.0043621i,0.00035066-0.0028178i,-0.0014135-0.0091869i,-0.035543+0.019564i,-0.024779+0.011285i,-0.012378-0.015721i,-0.0052119-0.001983i,-0.0034539+0.025436i,-0.0092763+0.01094i,0.0019347+0.0078222i
0.00026913+0.044619i,-0.00058095+0.020123i,-0.0038692+0.027391i,-0.0050392+0.021737i,0.0055492+0.0072217i,0.0042171+0.0014097i,0.0038735+0.029875i,0.016022+0.0090061i,0.010569+0.002061i,-0.0013635+0.0042229i,0.0030624-0.0021165i,0.0040119+0.002019i,-0.00092744-0.0028588i,0.0055774-0.00020876i,0.0020065+0.00029276i,0.0053838+0.0054354i,0.0092929+0.0041343i,0.00037589+0.0010324i,-0.0023244-0.0051453i,-0.002285-0.00066735i,-0.0026753-0.00087091i,-0.0012351-0.0035952i,-0.0022653-0.0015022i,-0.0071524+0.0060808i,-0.0010145-0.00035598i,-0.0013589+0.00041213i,-0.0010509+0.0012872i,-0.0016703-0.0018183i,-0.00070623+0.00077986i,-0.00036029-0.00068908i,0.001848-0.0013421i,0.0016076-0.00068004i,-0.00025329-9.8358e-07i,4.3163e-05+0.00066852i,0.002139+0.00091042i,-0.010945-0.0074371i,0.0010943+0.0021036i,-0.0013818+0.0013494i,-0.00086274+0.0018409i,0.0020588+9.7162e-06i,-0.00045893+8.0564e-05i,-0.0011459-1.6924e-05i,0.0010964+0.002209i,-0.0018593-5.6305e-05i,0.0076755+0.024498i,-0.024671-0.0041607i,-0.015114+0.017923i,-0.039413-0.010079i,-0.054514+0.025353i,-0.025106-0.0085079i,0.0004886+0.022754i,-0.0066412-0.0028727i,-0.025116-0.0038855i,-0.025545+0.00057088i,-0.013908+0.032154i,-0.0017707+0.0037904i,0.013374-0.001492i,0.0060777-0.010955i,-0.0038003+0.0091197i,-0.0045038+0.025602i,0.0055421+0.0040329i,0.004838+0.0011304i,0.0015148-0.00048992i,0.0094421-0.0021127i,0.0062542+0.0062045i,0.0034594+0.0061231i,-0.0078981-0.0037801i,0.0034017+0.0074281i,0.0040266+0.0029511i,0.0049484+0.0065896i,-0.0012822+3.4248e-05i,0.0032942-0.004261i,0.010032-0.0049131i,-0.00055794-0.0011732i,-0.029681-0.011826i,0.0019396-0.010221i,-0.001868-0.0041519i,0.0065515-0.0013815i,0.00056566+0.00057537i,0.0035995-0.01397i,0.0056563-0.0048185i,0.00097898+0.0038233i,0.003501+0.00043956i,0.0049787-0.0055553i,-0.0069122-0.0058318i,-0.002369-0.0023659i,-0.00045351-0.0044382i,-0.0014326-0.0033593i,-0.0041565-0.0070144i,-0.029835+0.02282i,-0.018277+0.012064i,-0.012814-0.013823i,-0.0068599-0.0013441i,0.00071204+0.023833i,-0.0076726+0.012863i,0.0023527+0.0052322i
0.0068921+0.043662i,0.0028048+0.020448i,0.00014735+0.029895i,-0.0025894+0.021392i,0.004708+0.0067459i,0.0038462+0.00053748i,0.0091956+0.025919i,0.016149+0.0060158i,0.01088-0.00058743i,-0.00037401+0.0042138i,0.0030048-0.0015791i,0.0059395+5.6805e-05i,-0.0017596-0.0019454i,0.0038834-0.0016314i,0.0019337+0.00016038i,0.0073284+0.0036051i,0.009149+0.0007561i,0.00082347+0.00063438i,-0.0036183-0.0041932i,-0.0019989+0.00030014i,-0.0018661-0.00017665i,-0.002124-0.0027363i,-0.0024613-0.00081111i,-0.005704+0.0079686i,-0.0013619+0.00031489i,-0.0010189+0.0010837i,-0.00075252+0.001729i,-0.0029949-0.0008536i,-0.00066854+0.00074646i,-0.00070698-0.00061158i,0.0012414-0.00201i,0.0011197-0.0025452i,-0.00034531-0.00021639i,4.6208e-05+0.00051046i,0.0018305-0.00012836i,-0.013717-0.0038682i,0.0016244+0.0016168i,-0.00072532+0.0019129i,-0.0011311+0.0017834i,-0.00015273+0.0031311i,3.0428e-05+0.00016031i,-0.00071829+0.00021738i,0.0012327+0.0016409i,-0.001486+0.00071517i,0.011853+0.021288i,-0.024802-0.0035331i,-0.013265+0.016615i,-0.038698-0.0019893i,-0.041368+0.033827i,-0.028114-0.005039i,0.005339+0.016879i,-0.0076369-0.0045502i,-0.023858-0.0030286i,-0.023738+0.004502i,-0.0045481+0.033606i,-0.00070512+0.0035216i,0.0063367-0.0032122i,0.00065933-0.0126i,8.8254e-05+0.012153i,0.0040602+0.022883i,0.0049635+0.0019335i,0.0041213-0.0020463i,0.00086446+1.9829e-05i,0.0075291-0.0056488i,0.0091645+0.0030444i,0.0063782+0.0057256i,-0.0078335+0.00048974i,0.0066624+0.0075488i,0.005902+0.0028488i,0.0090604+0.0042399i,-0.00074278+0.00069099i,0.0029305-0.0052106i,0.0059552-0.0094519i,-0.00090984+0.00081318i,-0.032768+0.00016161i,-0.00070107-0.0095859i,-0.0028179-0.0023839i,0.0066565-0.0017724i,0.00077034+0.00019513i,-0.00048881-0.016413i,0.0029393-0.0064179i,0.0026663+0.0032934i,0.0036988-0.0004337i,0.0044488-0.0067004i,-0.0085675-0.0031016i,-0.0036176-0.00035229i,-0.0035357-0.0036103i,-0.0026513-0.0028731i,-0.0054054-0.0048834i,-0.024165+0.023555i,-0.016493+0.012035i,-0.013517-0.014401i,-0.007692+0.00016024i,0.0026014+0.023387i,-0.0062804+0.01346i,0.0028243+0.003876i
0.013908+0.041963i,0.0069517+0.019594i,0.0063987+0.030637i,0.0003942+0.021174i,0.0050778+0.0072789i,0.0036194+0.00019093i,0.012872+0.02073i,0.01625+0.0031804i,0.010346-0.0033259i,0.00070253+0.0039711i,0.0030079-0.0021002i,0.0055779-0.0030919i,-0.0020886-0.00082415i,0.0029891-0.0017619i,0.0019895-4.0476e-05i,0.0077713+0.00082791i,0.0080879-0.001124i,0.00056113+7.7889e-05i,-0.0049588-0.0026161i,-0.001271+0.0008158i,-0.0010514-0.00027113i,-0.0022426-0.0019532i,-0.002428-6.333e-05i,-0.0026996+0.0093291i,-0.0011881+0.00095729i,-0.00054793+0.0013127i,3.3061e-05+0.0019556i,-0.0032396+0.00066407i,-0.00056056+0.00057854i,-0.00092124-0.00042769i,0.0001696-0.0022825i,-0.00085219-0.0024532i,-0.0005936-9.9749e-05i,1.1787e-05+0.0004566i,0.0011863-0.00067395i,-0.014635+0.0010811i,0.0017311+0.0010301i,0.00021625+0.0018124i,-0.0011145+0.0022374i,0.0001973-0.00091301i,0.00064816+7.1154e-05i,-0.000257+0.00014298i,0.0010625+0.0012843i,-0.00099888+0.0011178i,0.014509+0.018333i,-0.02706-0.0002593i,-0.011615+0.015838i,-0.033732+0.0064056i,-0.028479+0.03831i,-0.029971+0.0021008i,0.0082111+0.008975i,-0.0057444-0.0067678i,-0.023103-0.000881i,-0.020242+0.0084565i,0.0039947+0.032134i,-0.00041955+0.0026196i,0.0023401-0.0032269i,-0.0051465-0.011947i,0.0063893+0.011529i,0.0087704+0.017901i,0.0029593+0.00077176i,0.0020961-0.0046264i,0.0019973+0.0025025i,0.003632-0.0076681i,0.010387-0.0023221i,0.00875+0.0036413i,-0.007162+0.0042969i,0.010351+0.0058704i,0.0084648+0.00046919i,0.010639-0.0021248i,-1.2235e-05+0.0012561i,0.0013778-0.0059441i,-8.8019e-05-0.009742i,0.00082671+0.0022808i,-0.031052+0.012671i,-0.0029911-0.0088841i,-0.0025208-0.0004181i,0.0052643-0.0061831i,0.0013017+0.00063085i,-0.0070962-0.015958i,0.00013049-0.0061916i,0.0039584+0.0016382i,0.0036879-0.00069712i,0.0026691-0.0081715i,-0.008992+0.0021863i,-0.0030951+0.0017009i,-0.0047794-0.0017697i,-0.0041271-0.0026652i,-0.005904-0.0028587i,-0.021+0.024639i,-0.016033+0.016397i,-0.016723-0.017005i,-0.0055016+0.0016626i,0.006792+0.023111i,-0.0055643+0.015413i,0.0038717+0.0010831i
0.020578+0.038669i,0.010688+0.017598i,0.012958+0.028296i,0.0034306+0.02018i,0.0064038+0.0073534i,0.0038942-5.8841e-05i,0.014675+0.015601i,0.015943+0.00035851i,0.0091345-0.0055681i,0.0012646+0.0037179i,0.002477-0.0025949i,0.0033559-0.0048056i,-0.0019478+0.00011849i,0.0020665-0.0018158i,0.0019485-0.00031176i,0.0067065-0.0013824i,0.0078131-0.0029517i,0.00032735-1.1471e-05i,-0.0053489-0.00057482i,-0.00056526+0.0008709i,-0.00043374-0.0006498i,-0.0023146-0.0016066i,-0.0020827+0.00054391i,0.00053083+0.0093249i,-0.00082719+0.0011758i,-0.00020671+0.0015178i,0.00070045+0.0014026i,-0.0026215+0.0019114i,-0.00064418+0.00043986i,-0.0012856-0.00010646i,-0.00078286-0.0020477i,-0.002558-0.0018469i,-0.00038926+0.00014408i,0.00012349+0.00046417i,0.00049883-0.0009331i,-0.013459+0.0056537i,0.0017575+0.00042637i,0.00072681+0.0013099i,-0.00020736+0.003057i,0.00040256-0.0013384i,-0.00067183-0.00064741i,0.0004215-0.00020683i,0.0009792+0.0013838i,-0.00056082+0.0013735i,0.016802+0.015831i,-0.026799+0.0062531i,-0.011307+0.015372i,-0.027176+0.010014i,-0.015551+0.039546i,-0.027058+0.01191i,0.0065104+0.001454i,-0.0062011-0.012125i,-0.019736+0.00080156i,-0.014556+0.012115i,0.012661+0.026779i,-0.00064354+0.0025933i,-0.0014795-0.0020775i,-0.0096855-0.0086304i,0.010517+0.0069746i,0.010811+0.011336i,-0.00018135+0.0016213i,-0.0004527-0.0069648i,0.0053949+0.0010236i,-0.00042331-0.0070681i,0.0073064-0.0062761i,0.0099001+1.1694e-05i,-0.0057974+0.0071229i,0.013386+0.00045131i,0.0085582-0.0045374i,0.0086761-0.0069437i,0.0013499+0.0012492i,-0.0004817-0.0062612i,-0.0040739-0.0066015i,0.002871+0.001234i,-0.023831+0.026335i,-0.0056479-0.0073625i,-0.0012878+0.00079871i,0.0014329-0.0074119i,0.0021343+0.00041985i,-0.012993-0.012464i,-0.0011433-0.0043658i,0.0038924-0.00070733i,0.003423-0.0014011i,-6.0321e-05-0.0086143i,-0.005259+0.0065858i,-0.0017169+0.0030417i,-0.0054474+0.0017055i,-0.0063045-0.0014771i,-0.0058451-0.001815i,-0.015759+0.028688i,-0.007819+0.020461i,-0.023986-0.017555i,-0.0025931+0.00050469i,0.010102+0.020858i,-0.0031656+0.018139i,0.0028558-0.002617i
