-0.032077-0.039533i,-0.021338-0.01995i,-0.012655-0.035904i,-0.029894-0.020274i,-0.021972-0.00016799i,-0.013904-0.0060275i,-0.055484-0.058516i,-0.047257-0.017018i,-0.038146-0.012568i,0.012264+0.012436i,-0.007447+0.004818i,-0.018894+0.019143i,0.0017653+0.012076i,-0.005355-0.0018604i,0.00019775+0.0014371i,-0.0020216+0.03119i,0.026219+0.025208i,0.0021079-0.002373i,-0.0021757-0.0073635i,0.0081715+0.0023076i,0.0028425+0.00086478i,-2.7081e-05+0.0029151i,-0.00033386+0.00034421i,-0.036991-0.011655i,0.00022783-0.0078055i,0.0015364+0.0022773i,0.0067844+0.00017276i,0.0020734+0.00035709i,0.0010313-0.00023664i,-0.00047877-0.0026838i,0.0013-0.0024993i,-0.0019168-0.0061829i,-0.00064554-0.0049229i,0.0026972-0.00071845i,0.0046693-0.0032155i,0.00029998+0.029789i,0.004142-0.0039662i,0.0029147-0.0015307i,0.008402-0.0016682i,-0.006685-0.0039887i,-0.00013508+0.00086213i,0.0091013-0.00049881i,0.004614-0.003177i,-0.0015101+0.0085764i,-0.017628-0.007253i,-0.018534+0.015913i,-0.0027879-0.061972i,-0.0052243-0.027082i,-0.026889-0.032449i,-0.011011-0.026674i,0.055516-0.020644i,0.017008-0.042705i,0.023144-0.048242i,0.0051384-0.052493i,0.026783-0.020839i,0.0083461+0.0059444i,0.02503-0.035122i,-0.0086261-0.0065433i,0.0042241-0.0048466i,-0.0044838-0.0072193i,-0.0015861-0.032772i,-0.018088+0.029751i,0.0089013-0.011732i,-0.0087278-0.0046511i,-0.0044539-0.0011942i,0.0017171-0.012545i,-0.010964+0.0043507i,0.0023568+0.010028i,-0.0052117+0.026177i,0.0052526+0.0030114i,-0.0054879-0.0014089i,-0.0019023-0.0019411i,-0.012366-0.0079487i,-0.00073984-0.0038978i,-0.021849+0.011546i,0.0012946-0.010818i,-0.0083418-0.00032244i,-0.0068193-0.0015157i,0.0053277+0.0013796i,-0.007816+0.00036375i,0.0022627-9.263e-05i,0.0035386+0.0071348i,0.0041969+0.00018251i,-0.0073834-0.011422i,0.0028288+0.0095379i,-0.015702+0.0039424i,0.0069264-0.00034234i,-0.021881-0.00021386i,-0.01722+0.0067392i,-0.0077974-0.067289i,0.0080881-0.013114i,-0.049541-0.02254i,-0.021281+0.00082786i,0.017295+0.010494i,-0.023835+0.014372i,-0.019999-0.0046921i
-0.038513+0.032463i,-0.01635+0.019135i,-0.01997+0.041491i,-0.026883+0.013776i,-0.0043421+0.021185i,-0.00071494+0.0079137i,-0.03068+0.017302i,-0.0027949+0.029646i,0.0077027+0.017741i,-0.0056841-0.0053029i,0.0025843+0.0036659i,0.0077185-0.00058348i,0.0059133+0.00023138i,-0.00031242+0.0032418i,0.00060561+0.0020985i,0.0067567-0.0047485i,-0.0059883-0.00050282i,-0.0028873+0.00055706i,0.0041302-0.00091982i,2.2735e-05-0.0008776i,0.0029473-0.0052189i,0.0016306-0.0028075i,0.0013945-0.0025632i,-0.010061-0.010185i,-0.0016322+0.0030835i,-0.001601+0.00032274i,-0.0039762-0.001602i,-0.0028429-0.00016814i,-0.0020897-0.0021334i,-7.5357e-06-0.00049594i,-0.00020487+0.0038466i,0.00070672+0.0010184i,0.0014902+0.00055944i,-0.00066675+0.00073428i,-0.0022744+0.0027386i,-0.00093077-0.0070836i,-0.0020182+0.00082515i,0.00087602-0.00035576i,-0.00073514+0.002774i,0.0037691+0.0039586i,-0.00038853-0.0018272i,8.3516e-05-0.0027529i,-0.0033394-0.00037249i,0.0038596+0.00022317i,-0.01646+0.024939i,0.0073731-0.036724i,-0.053872+0.0036311i,0.007083-0.031792i,-0.031175-0.049168i,-0.028975-0.019782i,-0.062314+0.021039i,-0.038134+0.00078966i,-0.03406-0.0062176i,-0.026223-0.024732i,-0.039473-0.025299i,-0.0053332+0.0028929i,-0.027634+0.0095157i,0.0071402+0.018784i,0.0025272+0.0083284i,-0.0029079-0.0051782i,0.0020247+0.00142i,-0.014964-0.010243i,0.0056992+0.011341i,-0.0008326+0.006381i,-0.0023007-0.0016554i,0.0013364+0.0016756i,0.0038745-0.0012105i,-0.0025401+0.017722i,0.0035392+0.014936i,0.0037882-0.00028935i,0.010226-0.0069352i,0.0042124+0.002842i,-0.0096267-0.0083688i,-0.00091574-0.0031592i,0.018048-0.042992i,0.0079592+0.010214i,0.005207+0.0027818i,-0.0029281+0.0027376i,0.0033024-0.0059023i,0.019687+0.0074039i,0.0031168+0.0029228i,0.00080592-0.0063122i,0.00082857-0.0029374i,0.018817+0.0043552i,0.0046305+0.0014185i,0.0028441-0.0049709i,0.0040249+0.0075461i,-0.00044735+0.00097233i,0.008899+0.0030255i,-0.046847-0.011708i,-0.0062957+0.010877i,-0.0021656-0.0047187i,-0.006372+0.0059124i,-0.037266+0.011381i,-0.0055216+0.007455i,-0.0094852+0.014436i
-0.032403+0.037784i,-0.013187+0.018995i,-0.010178+0.037278i,-0.023949+0.016785i,-0.0015057+0.019357i,0.00064123+0.007753i,-0.029297+0.022262i,0.0032205+0.02839i,0.0096988+0.012593i,-0.0066558-0.0027026i,0.0038046+0.0039473i,0.0066845-0.0031934i,0.0050926-0.0018368i,0.0016205+0.0037448i,0.00092751+0.0021123i,0.0022465-0.0043513i,-0.007004+0.0029526i,-0.0022733+0.0014149i,0.0045863-0.001936i,0.00027545-0.00088439i,0.0012306-0.0055004i,0.0012807-0.0025232i,0.00077509-0.0026677i,-0.012456-0.0064903i,0.00020592+0.0027097i,-0.0015825+0.0007269i,-0.0037188+0.00024548i,-0.0021728+0.00062921i,-0.0027202-0.00070071i,0.00015247-0.00044279i,0.0010415+0.002531i,0.00029001+0.00087971i,0.00133-9.1708e-05i,-0.00084064+0.00092311i,-0.0019928+0.0030595i,-0.00070372-0.0060317i,-0.001619+0.0017513i,2.3247e-05-0.00099768i,6.2262e-05+0.0026491i,0.0040968+0.0015683i,-0.00075931-0.0014139i,-0.0013663-0.0029435i,-0.0035949+0.0009291i,0.0039898-0.00067856i,-0.011913+0.024247i,-0.0061224-0.042328i,-0.047345+0.014215i,-0.0019267-0.039103i,-0.045182-0.042912i,-0.029684-0.012854i,-0.050709+0.032949i,-0.035186+0.0095566i,-0.024924-0.0088495i,-0.029433-0.020728i,-0.044788-0.009378i,-0.004576+0.002832i,-0.023214+0.021269i,0.011692+0.012198i,0.0052107+0.0050267i,-0.0082124-0.0079822i,-0.0013131+0.0032886i,-0.012877+0.0021802i,0.010252+0.0079434i,0.00022791+0.0077663i,-0.002089-1.7287e-05i,0.0020693+0.0030623i,0.0039759-0.0014115i,0.0055949+0.014117i,0.0089901+0.0088601i,-0.00076381-0.0036092i,0.0032331-0.0081439i,0.0045511+0.0024174i,-0.012873-0.0016214i,-0.0022313-0.00049831i,-0.0028033-0.041757i,0.011887+0.00794i,0.0076349+0.00044654i,0.00045435+0.0026699i,-0.00042889-0.0033753i,0.020819-0.0016022i,0.003228+0.001095i,-0.0029229-0.0045517i,-0.002972-0.0014104i,0.018046+0.0033657i,0.0048272+0.001427i,0.00089287-0.0034831i,0.0065103+0.0058821i,-0.00020705+0.0018924i,0.0092478-0.00011656i,-0.049146-0.0068031i,-0.000406-0.0033137i,-0.0012837-0.0044246i,-0.0042447+0.0055529i,-0.031076+0.022508i,-0.0033093+0.0082094i,-0.0057654+0.012005i
-0.025521+0.041451i,-0.010912+0.019182i,-0.0052169+0.031117i,-0.020978+0.019513i,0.0018572+0.018412i,0.0022029+0.0072079i,-0.02539+0.02792i,0.0085593+0.025209i,0.0091666+0.0089142i,-0.0067903-0.00012244i,0.0058255+0.0034142i,0.0026199-0.0038936i,0.0036748-0.0029707i,0.0023652+0.0032894i,0.0015384+0.00204i,-0.0010778-0.0017387i,-0.0055982+0.0067266i,-0.00097778+0.0018048i,0.0045785-0.0039119i,0.00046818-0.0015717i,-0.00054435-0.0052544i,0.0013816-0.0030571i,0.00027881-0.002732i,-0.014196-0.0028132i,0.00089565+0.0019117i,-0.00097601+0.0014763i,-0.0025879+0.00087876i,-0.0010424+0.0012053i,-0.0022168-0.00069933i,-0.00017843-0.00085897i,0.0013192+0.0020717i,0.00035441+0.0010774i,0.0010065-0.00047132i,-0.00055052+0.00084304i,-0.00050898+0.0039307i,-3.7685e-05-0.0059248i,-0.0016586+0.0021615i,-0.00084857-0.00089808i,0.0015767+0.0012383i,0.0033543+0.00040593i,-0.0010646-0.0010297i,-0.0011966-0.0014484i,-0.0032322+0.0020675i,0.0037074-0.0022485i,-0.0090179+0.024143i,-0.022536-0.040359i,-0.037739+0.020438i,-0.013871-0.040624i,-0.053617-0.034082i,-0.026111-0.0073803i,-0.03477+0.039253i,-0.023647+0.014957i,-0.02709-0.012585i,-0.030839-0.016574i,-0.042501+0.004906i,-0.0038063+0.0031122i,-0.012029+0.028545i,0.013653+0.0053536i,0.00351+3.8849e-05i,-0.0174-0.0055186i,-0.00060322+0.0047928i,-0.0068121+0.005494i,0.011529+0.0020133i,0.0034087+0.0079119i,-0.0033785+0.0016455i,0.0024614+0.0013151i,0.0041935-0.00297i,0.008121+0.0072766i,0.0089307+0.003159i,-0.0048751+4.9969e-05i,0.00029984-0.0062111i,0.0062403+0.0014734i,-0.0088813+0.0067663i,-0.00031201+0.0012559i,-0.0068801-0.0232i,0.0155+0.0013282i,0.005837-0.0032647i,0.0010197+0.0019334i,-0.00025951-0.0013014i,0.01627-0.0090257i,0.0016622+0.0029295i,-0.0049206-0.0020002i,-0.0033259+0.0027846i,0.012333+0.00038387i,0.0080709-0.00070926i,0.00081007-0.0034145i,0.0095973+0.0024815i,0.0026081+0.0015352i,0.0082709-0.0032365i,-0.051634+0.0023316i,-0.009974-0.012009i,0.00069091-0.0074926i,-0.0028285+0.0037183i,-0.020201+0.027448i,-0.003624+0.0034745i,-0.0017619+0.0095121i
-0.018146+0.043464i,-0.007992+0.020152i,-0.0040271+0.026209i,-0.016905+0.022216i,0.0051457+0.015605i,0.003722+0.0056328i,-0.01913+0.032581i,0.012121+0.020983i,0.0087952+0.0073754i,-0.006056+0.0024074i,0.0070435+0.0012401i,0.00053674-0.0013109i,0.0023503-0.0032939i,0.0023546+0.003331i,0.0019807+0.0017314i,-0.0016417+0.0023248i,-0.0015986+0.0093163i,-0.00023221+0.0013129i,0.0026901-0.0052322i,-0.00024748-0.0022156i,-0.0015401-0.0043512i,0.00086693-0.003385i,-0.00030442-0.0029554i,-0.013797+0.0026602i,0.0014072+0.0010336i,7.0411e-05+0.00092427i,-0.0021076+0.00019796i,0.00016969+0.00053508i,-0.0023796+0.00024672i,-0.00053746-0.00054469i,0.0018362+0.0016882i,0.00094341+0.0012339i,0.00041875-0.00085258i,-0.00027901+0.00088273i,0.0012735+0.0031418i,-0.00062147-0.0076373i,-0.00093202+0.0028585i,-0.0011666-0.00011862i,0.0012201-0.00068007i,0.0028821-3.2237e-05i,-0.0011972-0.00066549i,-0.00057676-0.0016168i,-0.0023182+0.0031958i,0.0014642-0.0042682i,-0.0061357+0.024785i,-0.035263-0.028232i,-0.028572+0.02168i,-0.024348-0.037225i,-0.061997-0.022782i,-0.021445-0.0058596i,-0.020732+0.038033i,-0.013616+0.011056i,-0.02798-0.0098023i,-0.031352-0.011489i,-0.037241+0.01544i,-0.0033325+0.0033763i,6.3536e-05+0.02856i,0.017115+0.0039807i,-0.0012359-0.00075262i,-0.022767+0.0052199i,-0.00045953+0.0064106i,-0.0019086+0.0056652i,0.0086194-0.0036995i,0.0059722+0.0067012i,-0.0027621+0.0040993i,0.00026668+0.0017813i,0.0032399-0.0055287i,0.0061961+0.0014826i,0.005757+0.00034433i,-0.0030181+0.0031316i,-0.001495-0.0045437i,0.0065528-0.00076347i,0.0002769+0.0087151i,0.00044441+0.00058157i,-0.011562-0.021658i,0.013329-0.0043975i,0.0035453-0.0045423i,0.0022419+0.0035695i,-6.9421e-05-0.0012553i,0.010586-0.012184i,0.0051317+0.0040672i,-0.0053906+0.00081562i,-0.00031943+0.0046791i,0.0093671-0.00053779i,0.007361-0.0055274i,-0.0007351-0.0028608i,0.0089578-0.0029415i,0.0023421-0.00099229i,0.0070656-0.0064932i,-0.047516+0.014137i,-0.019416-0.010663i,-0.0029378-0.012125i,-0.0022523+0.0012003i,-0.010801+0.027863i,-0.0074953+0.0031579i,-0.0024634+0.0085097i
-0.011544+0.043946i,-0.0054426+0.019879i,-0.0050093+0.024021i,-0.012222+0.02367i,0.0068227+0.012271i,0.003997+0.0038022i,-0.011745+0.034603i,0.014393+0.016839i,0.0095962+0.0061729i,-0.0038508+0.0042086i,0.0062646-0.001696i,0.0010231+0.00061609i,0.0012954-0.0034856i,0.0036223+0.0037686i,0.0022489+0.0012202i,4.5765e-05+0.0050044i,0.0028402+0.0095355i,-9.1658e-05+0.00092605i,0.0010919-0.0055548i,-0.0012259-0.0021663i,-0.0026934-0.003594i,0.00015859-0.0033937i,-0.0012382-0.0028399i,-0.0092933+0.006185i,0.00086264-0.0051959i,-0.0001242+3.0733e-05i,-0.0011071+0.00079054i,0.00031558-0.00069273i,-0.0020404+0.0022258i,-0.00025069-0.00024918i,0.0024676+0.00053656i,0.0018615+0.00037659i,-0.00024027-0.00066083i,-0.00024553+0.00081224i,0.0016037+0.0021766i,-0.0031576-0.0089992i,-2.0571e-05+0.0029209i,0.00038534+0.0016476i,8.4179e-06-0.00053928i,0.0023716-0.00042641i,-0.0010889-0.00034029i,-0.001223-0.0022575i,-0.0007401+0.0035965i,-0.0010378-0.003122i,-0.0020591+0.02573i,-0.035718-0.012973i,-0.022172+0.020171i,-0.033621-0.031131i,-0.067366-0.0073475i,-0.018535-0.0081063i,-0.009489+0.033599i,-0.0090421+0.0057722i,-0.027755-0.008656i,-0.030617-0.0086053i,-0.029328+0.024227i,-0.002678+0.0033466i,0.01208+0.024049i,0.013234-0.0024892i,-0.0045949+0.0018308i,-0.02046+0.014988i,0.0016478+0.0076868i,0.0013025+0.0057935i,0.0029232-0.0045622i,0.0080829+0.0048765i,-0.00064029+0.0062181i,0.00017594+0.0040572i,0.0015825-0.0065838i,0.0016205+0.0018339i,0.0030619+0.0010914i,-0.0022921+0.0049894i,-0.0024796-0.0022097i,0.0057571-0.0030029i,0.0068295+0.0043664i,0.00068458+0.00017416i,-0.015011-0.019518i,0.0096573-0.0082993i,0.0020024-0.0054795i,0.006139+0.0050084i,-0.00027534-0.00053692i,0.0065735-0.012689i,0.0077314+0.00093495i,-0.0038161+0.0040091i,0.0024571+0.0041531i,0.0085835-0.0023534i,0.0026128-0.0096094i,-0.00079342-0.0020579i,0.0044466-0.0061558i,0.00056086-0.001435i,0.0033774-0.0095413i,-0.038863+0.019361i,-0.028096-0.0027273i,-0.0068892-0.01471i,-0.0031194-0.0012617i,-0.0065448+0.026348i,-0.01025+0.006144i,-0.001473+0.0089917i
-0.0052075+0.044105i,-0.0032406+0.020022i,-0.0054871+0.025201i,-0.0077301+0.023612i,0.0068622+0.0090876i,0.0040467+0.0027287i,-0.0036471+0.033928i,0.016011+0.012762i,0.010592+0.0040125i,-0.0020434+0.0041799i,0.0041387-0.0024513i,0.0021165+0.0015167i,0.00011654-0.003371i,0.0053048+0.0024516i,0.0022319+0.00067782i,0.0027591+0.0060145i,0.0068539+0.0075783i,0.0001204+0.00094788i,-0.00079974-0.0055737i,-0.001985-0.0016164i,-0.0030689-0.0020482i,-0.00034184-0.0034635i,-0.0019567-0.0022266i,-0.0062796+0.0054707i,-0.00091241-0.00066002i,-0.0007912-2.0199e-05i,-0.0012424+0.00092003i,-0.00024321-0.001687i,-0.00036827+0.0015178i,-0.00017218-0.00040283i,0.0023209-0.00070026i,0.0019886-0.00092367i,-0.00052386-0.00029559i,-0.00013584+0.00073509i,0.0016733+0.0016716i,-0.0062292-0.0093058i,0.00063206+0.0024766i,-0.0015269+0.0022353i,-0.0012436+0.00081139i,0.0020152-0.00018879i,-0.00081325+1.3701e-05i,-0.0020598-0.0013769i,0.00029357+0.0031674i,-0.0019598-0.0012441i,0.0025085+0.026253i,-0.029857-0.0050522i,-0.018125+0.018795i,-0.039349-0.020586i,-0.063305+0.012457i,-0.022135-0.011331i,-0.0026779+0.02718i,-0.006479+0.0011709i,-0.027523-0.0056646i,-0.031474-0.005749i,-0.021993+0.028712i,-0.0028993+0.0037677i,0.018356+0.010734i,0.010638-0.0074532i,-0.0055189+0.0058448i,-0.013234+0.022329i,0.0040128+0.0069729i,0.0050516+0.0036896i,0.00028588-0.0017771i,0.010049+0.00098288i,0.0015546+0.0075669i,0.0017789+0.0051811i,-0.0033588-0.0088725i,0.00071468+0.0052764i,0.0030683+0.0025573i,0.0014723+0.0085523i,-0.0015879-0.00043106i,0.0041961-0.0036989i,0.00844+0.0014322i,0.0012258-0.00078335i,-0.022793-0.017898i,0.0052509-0.010142i,-0.00038504-0.0056706i,0.0020376-0.0006926i,0.00012913+0.00061496i,0.004358-0.012042i,0.0071092-0.0027185i,-0.00082577+0.0052328i,0.0038623+0.0018988i,0.0065129-0.0044091i,-0.0024618-0.0087723i,-0.0011027-0.0024262i,0.00036857-0.0056952i,0.0001536-0.0022163i,-0.0015207-0.0092274i,-0.032968+0.022225i,-0.024684+0.011125i,-0.01213-0.014081i,-0.0054588-0.0019599i,-0.0033883+0.025337i,-0.0090152+0.01111i,0.0018596+0.0079592i
0.0010106+0.043808i,-0.00054377+0.020546i,-0.0037212+0.02744i,-0.0043247+0.022564i,0.0058547+0.0074846i,0.0042252+0.0016171i,0.0033841+0.031239i,0.016337+0.0090493i,0.011251+0.0017844i,-0.001011+0.0038777i,0.0029159-0.002028i,0.0041695+0.0017797i,-0.00096227-0.0028874i,0.0056545-0.00014169i,0.0020292+0.00030277i,0.0052119+0.0054078i,0.0090465+0.0041699i,0.00034681+0.00096625i,-0.0022751-0.004956i,-0.0023061-0.00071938i,-0.0025404-0.00084006i,-0.0012733-0.0034749i,-0.0023292-0.0015046i,-0.0053511+0.0056409i,-0.0011175-7.5173e-05i,-0.0012249+0.00049149i,-0.0010796+0.0012885i,-0.0015596-0.0018484i,-0.00051204+0.00092831i,-0.00041099-0.00059398i,0.0017099-0.001324i,0.0010783-0.002736i,-0.00012516-0.00014711i,6.3018e-05+0.00062719i,0.0020569+0.00061506i,-0.010232-0.0082746i,0.0012469+0.002036i,-0.00091047+0.0018443i,-0.0015405+0.001669i,0.0021681+0.00026895i,-0.00050166+0.00018901i,-0.0015554-0.00020614i,0.00096709+0.0024681i,-0.0018823-0.00024203i,0.0079239+0.024853i,-0.025942-0.0036349i,-0.01512+0.017923i,-0.03961-0.010204i,-0.052678+0.027044i,-0.02596-0.0089092i,0.0017562+0.02148i,-0.0068578-0.0032126i,-0.026065-0.0035248i,-0.031183-0.0010751i,-0.014368+0.032986i,-0.0016858+0.0038964i,0.013171-0.0013177i,0.0059277-0.011408i,-0.0038108+0.009088i,-0.0049633+0.024398i,0.0051599+0.0045602i,0.0051284+0.00026239i,0.0013036-0.00029339i,0.0094096-0.0023576i,0.0061947+0.0069027i,0.0036043+0.0061191i,-0.0078707-0.0035502i,0.0036308+0.0070546i,0.004363+0.003048i,0.006565+0.0065339i,-0.0011522+4.4543e-05i,0.0033146-0.004278i,0.0076096-0.0042714i,-0.00070036-0.0011896i,-0.030928-0.0086083i,0.0016595-0.010187i,-0.0023959-0.0040523i,0.0039888+0.0003793i,0.00059467+0.00054044i,0.0026816-0.014152i,0.0055243-0.0049224i,0.0014932+0.0038393i,0.0036973+0.00060252i,0.0052069-0.0054047i,-0.0060113-0.0054289i,-0.002535-0.0025449i,-0.00016661-0.002866i,-0.0016058-0.0025427i,-0.0043571-0.0070759i,-0.026672+0.024513i,-0.018535+0.01185i,-0.012191-0.012626i,-0.0069856-0.0010529i,0.0013901+0.023482i,-0.007269+0.012732i,0.0024802+0.0053688i
0.0071522+0.043039i,0.0028598+0.020859i,6.6686e-05+0.03007i,-0.0013416+0.022013i,0.0050569+0.0070857i,0.003882+0.00071551i,0.008934+0.02728i,0.01628+0.0060835i,0.011592-0.0011568i,-0.00048639+0.0038379i,0.0028015-0.0014218i,0.0060002-0.00025225i,-0.001832-0.0019961i,0.0039174-0.0014618i,0.0019621+0.00015282i,0.0071287+0.0035597i,0.0093784+0.00063362i,0.00075433+0.00061769i,-0.0035867-0.0041527i,-0.0019624+0.00032165i,-0.0018124-0.00020632i,-0.0021642-0.0026283i,-0.002554-0.00080895i,-0.0045927+0.0063411i,-0.0013146+0.00052691i,-0.00093974+0.0011204i,-0.00077838+0.0016688i,-0.0028165-0.001023i,-0.00056834+0.00084524i,-0.0007315-0.00051298i,0.0011773-0.001917i,0.00089019-0.0029855i,-0.00036557-0.00028613i,5.8321e-05+0.00048258i,0.0016241-0.00031789i,-0.013148-0.0047178i,0.0016111+0.0014901i,-0.00055448+0.0020152i,-0.0016632+0.0021588i,-0.0021131+0.0033917i,6.4783e-05+0.0001239i,-0.0010464+0.00016408i,0.0011577+0.0017125i,-0.001639+0.00063876i,0.012199+0.02143i,-0.026012-0.0030042i,-0.013127+0.016778i,-0.03867-0.0019068i,-0.039599+0.034476i,-0.02958-0.0057671i,0.00543+0.015435i,-0.008154-0.0048775i,-0.025034-0.0022901i,-0.030151+0.0041109i,-0.0048731+0.03499i,-0.0006347+0.0036854i,0.0063572-0.00309i,0.00062161-0.012739i,0.00014714+0.012181i,0.0035267+0.022312i,0.0049306+0.0020179i,0.0037556-0.0024846i,0.0011258-3.7495e-05i,0.0074363-0.0058416i,0.0094632+0.0033991i,0.0062273+0.0056193i,-0.0079795+0.00056967i,0.0065072+0.0072564i,0.0058499+0.0026171i,0.010173+0.0033222i,-0.00077101+0.00076221i,0.0028363-0.0050754i,0.0044512-0.0087215i,-0.001006+0.0010841i,-0.033829+0.004586i,-0.001029-0.0096134i,-0.0028721-0.0020797i,0.0067035+0.0012813i,0.000744+0.00010674i,-0.0014002-0.015994i,0.0032574-0.0063217i,0.0024309+0.0029756i,0.0036554-0.00071524i,0.0047156-0.006301i,-0.0080143-0.0026048i,-0.0038738-0.000626i,-0.0009846-0.0026936i,-0.0027863-0.0019435i,-0.0056627-0.0048049i,-0.021064+0.024614i,-0.017019+0.01224i,-0.013163-0.013684i,-0.0077357+0.00053335i,0.0029022+0.022583i,-0.0058774+0.013158i,0.0027488+0.0039965i
0.013942+0.041462i,0.0071237+0.020085i,0.0064457+0.031063i,0.001413+0.021375i,0.005464+0.0074786i,0.0036796+0.00030976i,0.012865+0.022042i,0.016415+0.0031923i,0.010812-0.004137i,0.00048296+0.003812i,0.0029593-0.001938i,0.0055022-0.0033385i,-0.0021818-0.00088457i,0.0030461-0.0016858i,0.0019775-4.9226e-05i,0.0076579+0.00090816i,0.008677-0.0017356i,0.00053521+0.00010233i,-0.0050731-0.0027015i,-0.0012412+0.00081339i,-0.0010146-0.00034687i,-0.0022303-0.0018846i,-0.0024938+1.4006e-05i,-0.0027102+0.007866i,-0.0010905+0.0010849i,-0.00054078+0.0013582i,0.00013845+0.0019028i,-0.0033414+0.00046871i,-0.00048996+0.00060676i,-0.0009493-0.00035947i,0.00023767-0.0021882i,-0.00080198-0.0030729i,-0.00065142+1.2045e-07i,1.7151e-05+0.00036186i,0.00093688-0.00077128i,-0.013973-0.00019119i,0.0017441+0.00091435i,0.0001573+0.0020461i,-0.0012557+0.0027939i,-4.7073e-05-0.0016022i,0.0005871-0.00019004i,-0.00040547+0.00021539i,0.0009261+0.001304i,-0.0011909+0.0011329i,0.014758+0.018448i,-0.028393+0.00075361i,-0.011451+0.015991i,-0.033907+0.006259i,-0.027407+0.038832i,-0.03222+0.0010953i,0.00742+0.0083352i,-0.0066406-0.0067521i,-0.024045-0.00013073i,-0.026544+0.010767i,0.0050549+0.034442i,-0.00011289+0.0028012i,0.0024079-0.0032046i,-0.0052229-0.012174i,0.0064735+0.011773i,0.0089724+0.017763i,0.002755+0.00079314i,0.0014647-0.004457i,0.002061+0.0023435i,0.0035349-0.0075802i,0.010349-0.0023166i,0.0085054+0.0038406i,-0.0072345+0.004473i,0.01053+0.0059189i,0.0080866+2.1589e-05i,0.01143-0.0016203i,0.00010771+0.0012759i,0.0015033-0.0058501i,-0.0007026-0.0097953i,0.001022+0.0024335i,-0.030252+0.018399i,-0.0035791-0.009028i,-0.0023977-0.00027168i,0.007182-0.0066121i,0.0012626+0.00066165i,-0.0073008-0.015204i,0.00031466-0.0064826i,0.0034245+0.0016301i,0.0033645-0.001227i,0.002875-0.0079224i,-0.0085505+0.0025963i,-0.0033582+0.0016936i,-0.0042979-0.0023429i,-0.0040999-0.001593i,-0.0058709-0.0027106i,-0.018051+0.02502i,-0.015955+0.016727i,-0.015899-0.016395i,-0.0057765+0.0025354i,0.0065441+0.022759i,-0.005243+0.014838i,0.0038501+0.0013254i
0.02045+0.038504i,0.011095+0.017963i,0.013087+0.02868i,0.0042019+0.020251i,0.0066887+0.0075053i,0.0039622+6.9925e-06i,0.014906+0.016861i,0.015982+0.00029886i,0.0093903-0.0064019i,0.0010747+0.0035977i,0.0024649-0.0025006i,0.0031739-0.0049631i,-0.0020905+0.00012115i,0.0020876-0.0018373i,0.0019479-0.0003065i,0.0067558-0.0012125i,0.0076462-0.0039172i,0.00033942+4.7971e-05i,-0.0054534-0.00074462i,-0.00052695+0.00084943i,-0.00047493-0.00070584i,-0.0022792-0.0016369i,-0.0021016+0.00065818i,0.00016866+0.0081398i,-0.0007943+0.0013021i,-4.3772e-05+0.0016363i,0.0007457+0.0013705i,-0.0026572+0.001843i,-0.00056929+0.00042033i,-0.0012718-3.3843e-05i,-0.00083768-0.0019904i,-0.0024685-0.002564i,-0.0003721+0.00024521i,9.1448e-05+0.00029578i,0.00026509-0.0009381i,-0.013089+0.0041921i,0.0017822+0.00034086i,0.00058237+0.0014934i,-2.3346e-05+0.0036666i,4.309e-05-0.0016993i,-0.00059874-0.00041146i,0.00043304-0.00035945i,0.00065307+0.001448i,-0.00070083+0.0014608i,0.017048+0.015959i,-0.027908+0.0079544i,-0.011166+0.015388i,-0.027361+0.0099915i,-0.014473+0.040145i,-0.031816+0.0091758i,0.0060485+0.001419i,-0.0070895-0.011701i,-0.020692+0.0016912i,-0.018837+0.015799i,0.015157+0.028251i,-0.00037694+0.0028215i,-0.0015143-0.0021664i,-0.0098715-0.0087221i,0.010702+0.0071394i,0.010784+0.014495i,0.00015084+0.0016794i,-0.0011622-0.0062467i,0.0053911+0.0014134i,-0.0004439-0.006995i,0.007251-0.0062426i,0.0097494+0.00022103i,-0.0057401+0.0070468i,0.013431+0.00054764i,0.0079415-0.0050718i,0.0089239-0.0077108i,0.0012577+0.0012349i,-0.00038924-0.0060656i,-0.0044926-0.0063277i,0.0029425+0.0012229i,-0.018676+0.030284i,-0.0063515-0.0079945i,-0.001151+0.00082556i,0.0016564-0.0075087i,0.0020967+0.0003675i,-0.01279-0.011299i,-0.0011014-0.0046456i,0.0036224-0.00062173i,0.0028078-0.0016364i,7.3732e-06-0.0081536i,-0.0047823+0.0067078i,-0.0018878+0.0030074i,-0.004982+0.0013147i,-0.0056655-0.00032389i,-0.0057781-0.0015882i,-0.012911+0.028417i,-0.0071117+0.020757i,-0.021997-0.015882i,-0.0032977+0.00085024i,0.01015+0.020672i,-0.0028023+0.017055i,0.0027374-0.0021304i
