-0.0065359-0.039577i,-0.012401-0.043204i,0.0019393-0.045851i,-0.027318-0.027457i,-0.020544+0.014361i,-0.032339-0.03252i,-0.05932-0.061969i,-0.021433-0.073177i,-0.034686-0.050748i,0.00091199+0.014599i,-0.0071156+0.010861i,-0.015072+0.013781i,0.0016364+0.016413i,-0.003878-0.003719i,0.0005084+0.0065126i,5.4917e-05+0.039078i,0.019307+0.059072i,0.00050088-0.0003152i,-0.0048549-0.0080804i,0.0086688+0.0049489i,0.0013775+0.00095737i,-0.00089221+0.0036983i,0.00014346-0.0013908i,-0.0362-0.0099771i,-0.0024834-0.0075029i,-0.00019978+0.004739i,0.0051894+2.1972e-05i,0.00040967+0.00059951i,-0.00021292-0.0012086i,0.00012699-0.0025912i,-0.0011035-0.0059366i,-0.0023963-0.0038993i,-0.00053329-0.0076439i,0.0031936-0.0014454i,0.0031424-0.0023715i,-0.0016063+0.034404i,0.0060843-0.0041398i,0.003717-0.0023349i,0.0051062+0.00023683i,-0.013814-0.0050117i,-0.00010076+0.00068298i,0.0096435-0.00042578i,0.0059493-0.0011821i,-0.0039698+0.0035219i,0.0036138+0.0025949i,-0.0038239+0.0091191i,0.015315-0.086891i,-0.0065866-0.047483i,-0.024222-0.038468i,-0.019456-0.041492i,0.064225-0.015816i,0.028308-0.060974i,0.03883-0.044565i,0.029819-0.056522i,0.019199-0.015523i,0.0084824+0.0098766i,0.024669-0.032625i,-0.0074763-0.0048802i,0.002412-0.0024418i,-0.0046446-0.0060349i,0.0015413-0.032318i,-0.024554+0.031106i,0.0077326-0.0097023i,-0.011282-0.0015517i,-0.0052391-0.0011178i,-0.00095898-0.013479i,-0.010297+0.0040716i,0.0035135+0.0082319i,-0.010953+0.031364i,0.0057116+0.0078062i,-0.0052658-0.0014928i,-0.002056-0.0020269i,-0.011367-0.0074945i,0.00099319-0.0037266i,-0.035242+0.004549i,0.0024072-0.012308i,-0.0089123-0.0023122i,-0.0066667-0.003267i,0.0063931+0.0014358i,-0.0097357+0.0014684i,0.0011253+0.00084916i,0.0054642+0.0090637i,0.0047689+0.00033978i,-0.0084941-0.0090628i,0.0026706+0.0085891i,-0.019224+0.0064429i,0.0070869+0.0031543i,-0.028888-0.0087327i,-0.034001+0.0022222i,0.025816-0.077643i,0.012575-0.010131i,-0.042528-0.027522i,-0.022843-0.0040326i,0.017889+0.01275i,-0.026978+0.012041i,-0.011017-0.0087675i
-0.034643+0.00017832i,-0.047413+0.016418i,-0.048934+0.042466i,-0.027877+0.0055488i,-0.0056983+0.014445i,-0.0092983+0.031096i,-0.030037+0.017325i,-0.059024+0.023608i,-0.02018+0.02006i,0.0020381-0.0083571i,0.0014495-0.0016621i,0.0036902+0.00040301i,0.0029789+0.0089318i,-0.0036663+0.0014476i,0.0017665+0.0024843i,0.0022999-0.0094876i,-0.012144-0.0096285i,-0.004245+0.00044963i,0.0042011-0.0026222i,0.0013184-0.0012048i,0.0023124-0.0043257i,0.0019387-0.0043913i,0.0021737-0.0034033i,-0.010943-0.011125i,-0.0020081-8.7598e-05i,-0.0041272-0.00020561i,-0.0033972-0.0010127i,-0.0050436-0.0016929i,-0.0012634-0.0022571i,0.0010044-0.0018625i,-0.0036208+0.0044552i,0.0011709+0.0018184i,0.0022883+0.0014154i,0.001829+0.00070832i,-0.0019036+0.0031216i,-0.003367-0.0084896i,-0.0030065+0.0013627i,0.0013115+4.8392e-05i,-0.00099605+0.0039421i,0.010003+0.0077527i,0.0013943-0.0028889i,0.00062263-0.0007049i,-0.0050146-0.0035516i,0.0027619+0.0045067i,-0.019763-0.016384i,0.00082588-0.063862i,-0.088538-0.010619i,-0.021572-0.020874i,-0.044851-0.039559i,-0.043092-0.0074361i,-0.09357+0.012331i,-0.062016-0.00013527i,-0.037009-0.027747i,-0.029325-0.055192i,-0.034328-0.026028i,-0.00065931+0.0021839i,-0.025623+0.013414i,0.0042328+0.016596i,0.0042102+0.0075278i,-8.333e-05-0.0067529i,0.008437+0.0045724i,-0.01031-0.0039278i,0.0018917+0.011129i,-0.0012333+0.0077944i,-0.0011197-0.0024387i,0.0057093+0.0021724i,0.0034049-0.0012747i,-0.0045128+0.020002i,-7.9892e-05+0.013173i,0.0010978-0.0038826i,0.010882-0.0072315i,0.003474+0.0034291i,-0.0077157-0.0073147i,-0.0022786-0.0018164i,0.026787-0.033359i,0.0082626+0.0087213i,0.0038724+0.0025988i,-0.0018786+0.0030502i,0.0030176-0.003992i,0.020916+0.0019796i,0.0014999-0.0021784i,-0.00087163-0.0070121i,0.0013357-0.0025537i,0.011446+0.0048262i,0.005846+0.00048385i,0.0030499-0.0060161i,0.0038046+0.0072331i,0.0045503+0.0033083i,0.017332+0.0012895i,-0.065709-0.044191i,-0.010183+0.010097i,-0.0064187-0.0045144i,-0.0064889+0.0040899i,-0.036621+0.010329i,-0.005904+0.0086343i,-0.014944+0.0037295i
-0.032639+0.0043358i,-0.043924+0.020912i,-0.036202+0.044741i,-0.026823+0.011589i,-0.0041047+0.011883i,-0.0037394+0.031352i,-0.027958+0.02201i,-0.050818+0.031558i,-0.015763+0.016348i,-0.00061099-0.0076324i,0.0011071-0.0011773i,0.0033925-0.0014296i,0.0051377+0.0059827i,-0.0019622+0.0033178i,0.0021159+0.0026696i,-0.0034964-0.0072237i,-0.017917-0.0022934i,-0.003697+0.0020451i,0.0043972-0.0031986i,0.0013784-0.0018702i,0.001011-0.0044349i,0.0016018-0.0031591i,0.0017568-0.0035359i,-0.012608-0.0065672i,-0.001495+0.00023586i,-0.0042996+0.0011726i,-0.0031166+0.0002141i,-0.0045481+0.00016805i,-0.0018016-0.0022095i,0.00068705-0.0017302i,-0.0017167+0.0057643i,0.00135+0.0016257i,0.0024732+0.00024038i,0.00060055+0.00023604i,-0.0023461+0.0027181i,-0.0035304-0.0069737i,-0.0025286+0.0017095i,1.2967e-05-0.00066344i,-0.00093626+0.0048636i,0.010662+0.0018805i,0.00061229-0.0032155i,-0.00013998-0.0012272i,-0.0064517-0.0024567i,0.0039872+0.0036635i,-0.021201-0.018035i,-0.018113-0.070183i,-0.083014+0.0058079i,-0.02853-0.022435i,-0.05598-0.032946i,-0.041058+0.0020427i,-0.082108+0.03297i,-0.059344+0.013609i,-0.027884-0.027377i,-0.035954-0.051204i,-0.041016-0.011816i,-0.00091513+0.00039528i,-0.01791+0.023657i,0.0083743+0.011413i,0.0061706+0.0030282i,-0.0056014-0.012099i,0.0045802+0.0035898i,-0.010646+0.00289i,0.0065434+0.0091381i,0.0016107+0.0093309i,-0.001923-0.001801i,0.0064502+0.0025536i,0.0033671-0.00094063i,0.0052707+0.016654i,0.0061907+0.0085003i,-0.0032975-0.0053879i,0.0032776-0.0084615i,0.0043501+0.0035049i,-0.010614-0.00020169i,-0.0022718+0.0010193i,0.011207-0.036143i,0.011244+0.0065482i,0.0063273+0.0010761i,0.0014068+0.0021637i,-0.00012498-0.0018283i,0.018084-0.0069915i,-0.0001969-0.0028057i,-0.0041774-0.0053891i,-0.0019108-0.0024207i,0.010309+0.00035043i,0.0053162+0.00028909i,0.0010747-0.003914i,0.0061247+0.0059048i,0.0042275+0.0027187i,0.01562-0.0038676i,-0.071832-0.035151i,-0.0033627-0.00085985i,-0.0070248-0.0038756i,-0.0052208+0.0034689i,-0.030669+0.021183i,-0.0033982+0.0094644i,-0.013686+0.0059564i
-0.029811+0.0073017i,-0.041231+0.025628i,-0.027675+0.043182i,-0.023695+0.014915i,-0.0015095+0.011755i,0.0018296+0.030289i,-0.024238+0.0265i,-0.042299+0.036036i,-0.016793+0.013566i,-0.0028372-0.0062271i,0.001567-0.0007289i,-0.00043509-0.0025076i,0.0059111+0.0039349i,-0.0012331+0.0037396i,0.0028404+0.002771i,-0.0071733-0.0017562i,-0.018049+0.0073409i,-0.001501+0.0034713i,0.0045493-0.0055133i,0.0014389-0.003004i,-0.00038389-0.0044563i,0.0020177-0.004026i,0.0013246-0.0040974i,-0.013517-0.0030285i,-0.0014852+0.00048174i,-0.0034382+0.0031367i,-0.0023687+0.00069368i,-0.0031837+0.0019091i,-0.0020971-0.0020699i,-0.00013541-0.0025484i,0.00062045+0.0058594i,0.0017224+0.0011846i,0.0020878-0.00040276i,0.00056801-0.00014822i,-0.0016816+0.0045541i,-0.0034037-0.0066417i,-0.0025605+0.0019123i,-0.000853-0.00038498i,0.003203+0.0044161i,0.0087408-0.0018375i,-0.00035935-0.0031865i,9.0981e-05-0.00046338i,-0.0081705-0.00078788i,0.004807+0.0015638i,-0.024975-0.01819i,-0.040064-0.066928i,-0.07257+0.017317i,-0.035569-0.019525i,-0.062719-0.021597i,-0.034767+0.0086187i,-0.062818+0.046826i,-0.044977+0.025932i,-0.029327-0.032665i,-0.04231-0.047931i,-0.039457+0.002636i,-0.0014783-0.00039892i,-0.0066605+0.026895i,0.010097+0.0066168i,0.0032942-0.0014701i,-0.018-0.011896i,0.0040866+0.0027454i,-0.0065865+0.0072111i,0.0091826+0.0041969i,0.0044944+0.0090223i,-0.0043263+0.0002551i,0.0069347-0.0011938i,0.0036919-0.0025832i,0.008929+0.0095598i,0.0061269+0.0031186i,-0.0080547-0.0018436i,0.00037859-0.0061175i,0.0065996+0.0026325i,-0.0072025+0.0088205i,-0.00036197+0.0025994i,-0.0015222-0.033408i,0.014127+0.0012293i,0.0059467-0.0018147i,0.0012402+0.00059555i,0.00066803-0.00014465i,0.011719-0.011478i,-0.0033328+0.00066174i,-0.0062462-0.0024642i,-0.0034402+0.001249i,0.0073344-0.00236i,0.0081644-0.001648i,0.0016849-0.0035812i,0.0093514+0.0023959i,0.006073+0.0014219i,0.012369-0.0087287i,-0.076333-0.022048i,-0.0086576-0.010742i,-0.0055159-0.0038499i,-0.0047131+0.0022045i,-0.021285+0.026236i,-0.0021185+0.0040416i,-0.010901+0.0031097i
-0.027078+0.0088473i,-0.037642+0.031096i,-0.022118+0.041698i,-0.019837+0.018854i,0.0022985+0.0087791i,0.0068126+0.02782i,-0.019082+0.030281i,-0.035151+0.03752i,-0.0185+0.015503i,-0.0040142-0.0044504i,0.0018142-0.0015722i,-0.0025965+0.0010214i,0.0056387+0.0020148i,-0.00087744+0.0051693i,0.0033817+0.0020436i,-0.0060734+0.0047196i,-0.01237+0.015598i,0.00045661+0.0026784i,0.0019328-0.0070467i,2.1154e-05-0.004377i,-0.0016099-0.0039077i,0.0013716-0.0049303i,0.00029727-0.005097i,-0.013454+0.0012885i,-0.0011002+0.00043039i,-0.0012092+0.003313i,-0.0019609+0.0008588i,-0.0012001+0.0020844i,-0.0030097-0.000998i,-0.0015714-0.0019436i,0.0025643+0.0050604i,0.0016567+0.00063536i,0.0012046-0.00069089i,0.00026056-6.8474e-06i,0.0012005+0.0048202i,-0.0044182-0.0077026i,-0.0018374+0.003097i,-0.001355+0.00031138i,0.0038731+0.00054769i,0.0069285-0.0035361i,-0.00098846-0.0028467i,0.0006829-0.00084687i,-0.0086037+0.0022338i,0.0030152-0.0015651i,-0.030234-0.016332i,-0.058032-0.052018i,-0.062396+0.022208i,-0.041297-0.014057i,-0.066662-0.0096349i,-0.027167+0.010676i,-0.044185+0.050452i,-0.02928+0.02526i,-0.033521-0.031025i,-0.049168-0.04088i,-0.034441+0.012694i,-0.0028499-0.0004977i,0.0030093+0.025059i,0.010061+0.0022353i,-0.0013446-0.001891i,-0.027454-0.00066376i,0.0014269+0.0030686i,-0.0022505+0.0076326i,0.007881-0.00074777i,0.0079152+0.007986i,-0.0038925+0.0035975i,0.0035279-0.0024343i,0.0029847-0.0050902i,0.0079202+0.0026602i,0.0033179+0.00092727i,-0.0081553+0.002064i,-0.001547-0.0046221i,0.007398+0.00038005i,0.0022711+0.010837i,0.0012941+0.0018199i,-0.0090734-0.026944i,0.012671-0.0036112i,0.0049818-0.0035967i,0.0017992+0.0016452i,0.0011172-0.00024178i,0.0060956-0.01193i,-0.00023383+0.0035795i,-0.006621+0.0007962i,-0.0012217+0.0038677i,0.0055389-0.002716i,0.0071055-0.0062686i,3.8236e-05-0.0036748i,0.0085671-0.0033256i,0.005742-0.0015744i,0.0081791-0.012201i,-0.074329-0.0084795i,-0.018151-0.012919i,-0.0059005-0.0072573i,-0.0049057+0.00071i,-0.014155+0.026391i,-0.0064689+0.002824i,-0.013584+0.0032419i
-0.025733+0.010194i,-0.033528+0.035858i,-0.018772+0.041439i,-0.014341+0.021092i,0.0042541+0.0046123i,0.010313+0.025291i,-0.0128+0.032227i,-0.029859+0.03894i,-0.016866+0.019713i,-0.0040117-0.0026404i,0.00088859-0.0021178i,-0.0013295+0.0040173i,0.0049803+0.00072088i,0.0014869+0.006341i,0.0039572+0.0014993i,-0.0019905+0.0080271i,-0.0041104+0.019725i,0.0011041+0.0015765i,-0.00012639-0.0065226i,-0.002069-0.0044039i,-0.0027502-0.0032844i,0.00033022-0.0051496i,-0.0019023-0.0051569i,-0.010638+0.0047426i,-0.0015503+9.6454e-05i,-0.00049642+0.0022372i,-0.0017596+0.0010869i,-0.00012235+0.0012257i,-0.0030297+0.00046071i,-0.0018611-0.00057553i,0.0038622+0.0035424i,0.0015915-0.00021032i,0.00051483-0.00055751i,4.9714e-05+8.7522e-05i,0.0023379+0.0034225i,-0.0070979-0.0078658i,-0.00076715+0.0036466i,-0.0012194+0.0015018i,0.0017364-0.00086618i,0.0050626-0.0040502i,-0.0014569-0.0026248i,0.00057243-0.0014157i,-0.0071776+0.0046368i,0.00036855-0.00067748i,-0.034296-0.011051i,-0.062802-0.031933i,-0.055957+0.023775i,-0.046099-0.0067061i,-0.06826+0.0038685i,-0.022732+0.0082205i,-0.028455+0.049241i,-0.02005+0.020995i,-0.036041-0.029028i,-0.052663-0.033881i,-0.02774+0.020737i,-0.0036851+0.00013342i,0.013055+0.020077i,0.0092049-0.00041466i,-0.0046764+0.00070452i,-0.028024+0.011999i,0.0012733+0.0048894i,0.0015328+0.0081053i,0.003343-0.0023781i,0.010886+0.0049382i,-0.0019912+0.0056565i,0.0014959-0.0011584i,0.0010412-0.0066266i,0.0033445+0.001456i,0.00087184+0.0018874i,-0.0072824+0.0069747i,-0.0030124-0.0019834i,0.0070473-0.0021602i,0.0072974+0.0065924i,0.001795+0.00089806i,-0.013213-0.02417i,0.0096471-0.0075984i,0.0032859-0.0052143i,0.0044669+0.0013556i,0.0012232-0.00010441i,0.0028296-0.010814i,0.0025804+0.0028644i,-0.0044855+0.0045843i,0.0019326+0.0039903i,0.0049571-0.0031191i,0.002996-0.011204i,-6.1509e-05-0.0027672i,0.0046431-0.006474i,0.0035487-0.0034874i,0.0021341-0.014819i,-0.068966-5.555e-05i,-0.028147-0.0064932i,-0.0087579-0.0089282i,-0.0058894-0.0005518i,-0.0087537+0.026006i,-0.0096712+0.0054359i,-0.01393+0.0068129i
-0.024692+0.012098i,-0.028726+0.040705i,-0.015781+0.043714i,-0.0084961+0.020751i,0.0031768-0.00031098i,0.014078+0.023128i,-0.0061807+0.032016i,-0.02519+0.040956i,-0.012953+0.021457i,-0.0040708-0.0019786i,-0.00099158-0.0019001i,0.00094215+0.0054361i,0.0040763+9.1731e-05i,0.0038832+0.0050667i,0.0040938+0.00063459i,0.0022528+0.0086757i,0.0052727+0.019761i,0.0015092+0.0011956i,-0.0017734-0.0060631i,-0.0039243-0.0034145i,-0.0032639-0.0017016i,-0.00042539-0.0052924i,-0.0032568-0.003773i,-0.0082664+0.0053914i,-0.0023093+0.00078918i,-0.0005305+0.0020934i,-0.0016242+0.0014464i,0.0003191+4.1363e-05i,-0.0020497+0.0013632i,-0.0014771+5.6517e-05i,0.0047653+0.0020123i,0.0011927-0.00077528i,0.00031075-0.00036727i,-0.00031739-3.9039e-05i,0.0028008+0.0025862i,-0.01001-0.0063487i,4.5857e-05+0.0032689i,-0.00023747+0.0020435i,0.0005893-0.00088946i,0.003696-0.004118i,-0.001998-0.0020378i,1.661e-05-0.0017336i,-0.0049967+0.0058782i,-3.0133e-05+0.0013514i,-0.03653-0.0038392i,-0.058598-0.018712i,-0.052288+0.026415i,-0.047656+0.0044856i,-0.064875+0.019927i,-0.024277+0.0062748i,-0.016828+0.044435i,-0.013542+0.016438i,-0.038415-0.02528i,-0.056267-0.027371i,-0.019867+0.024336i,-0.0047864+0.0016824i,0.017309+0.007721i,0.0086635-0.0041463i,-0.0060643+0.0048823i,-0.021153+0.023796i,0.0029004+0.0049948i,0.0061561+0.0055377i,0.0012864-0.00013892i,0.0125-0.00061881i,0.00044001+0.0071571i,0.0012023-0.00014089i,-0.0031165-0.007965i,0.0013591+0.0039708i,0.0011373+0.0041191i,-0.0021591+0.011174i,-0.0016588+0.00041312i,0.0056425-0.003735i,0.0092653+0.0020355i,0.0027013-0.00057971i,-0.020735-0.022756i,0.0050285-0.0093442i,0.00038171-0.0058079i,0.0041715-0.001092i,0.0011667+0.00028203i,0.0018666-0.0087634i,0.0035739+0.00090841i,-0.0010996+0.0056959i,0.0034825+0.0015856i,0.0037022-0.0040569i,-0.0038183-0.010539i,-0.00027594-0.003159i,0.0013454-0.006305i,0.0025349-0.0049366i,-0.0050331-0.013394i,-0.066537+0.0067432i,-0.02728+0.0070619i,-0.012482-0.0092178i,-0.0076004-0.0001962i,-0.0053227+0.02563i,-0.0088649+0.010203i,-0.0094601+0.00924i
-0.023469+0.01458i,-0.022555+0.045483i,-0.010688+0.047109i,-0.0048495+0.017812i,-0.00062954-0.0027259i,0.017887+0.019931i,-0.00039417+0.030632i,-0.020295+0.0439i,-0.009238+0.022931i,-0.0045583-0.00085148i,-0.0017508+0.00024657i,0.003954+0.0057026i,0.0034321+0.00017988i,0.0049007+0.0029259i,0.0037926-6.0158e-05i,0.0057859+0.0074084i,0.012923+0.015156i,0.0017487+0.00083014i,-0.0030328-0.0054703i,-0.0048202-0.0013309i,-0.0026434-0.00053596i,-0.0017824-0.0057108i,-0.0037851-0.0024093i,-0.0075107+0.0071758i,-0.0020855+0.0016499i,-0.00019573+0.0026564i,-0.0012738+0.0020323i,-0.00075299-0.0011509i,-0.0018108+0.0012712i,-0.0013405+0.00025951i,0.0050089+0.00019936i,0.0010604-0.00088142i,0.00065-0.00047728i,-0.00014204+0.00022376i,0.003779+0.0010037i,-0.012376-0.0035815i,0.0010637+0.0032562i,0.0004807+0.0015848i,-5.4843e-06-0.0010019i,0.002599-0.0042462i,-0.0021955-0.0013496i,-0.00033508-0.0016957i,-0.0034735+0.005911i,0.00077214+0.0020651i,-0.035679+0.002466i,-0.056015-0.013489i,-0.048825+0.031163i,-0.043365+0.014307i,-0.056146+0.034021i,-0.025397+0.0093461i,-0.0083522+0.040186i,-0.010929+0.011144i,-0.039953-0.021292i,-0.058994-0.019i,-0.012992+0.026134i,-0.0035591+0.0025037i,0.011356-0.0030573i,0.0056236-0.0081415i,-0.0045151+0.0080448i,-0.010424+0.028126i,0.0034565+0.0033522i,0.0078402+0.00060952i,0.002362+0.00052699i,0.010374-0.0043322i,0.0051304+0.0070008i,0.0012982+0.001729i,-0.0076691-0.0031123i,0.0028489+0.0059542i,0.0027562+0.0057462i,0.0038942+0.011025i,-0.00070438+0.00064774i,0.0044057-0.0051107i,0.0093649-0.0040213i,0.00082145-0.0014995i,-0.029623-0.015145i,0.0016266-0.0091376i,-0.0018103-0.0041493i,0.0045092-0.00024484i,0.0013522-0.00025859i,0.0017167-0.0098548i,0.0031084-0.00086392i,0.0014063+0.0041178i,0.0034504+0.00091331i,0.0030873-0.0036535i,-0.007398-0.0063626i,-0.0020224-0.0037212i,-0.0020206-0.00538i,0.0006007-0.0060887i,-0.0093112-0.0093012i,-0.062843+0.014708i,-0.021813+0.0092637i,-0.013121-0.0073489i,-0.0084761+0.0010069i,-0.00030581+0.023689i,-0.0076988+0.011627i,-0.0067957+0.0081806i
-0.021553+0.016968i,-0.014844+0.04913i,-0.0035415+0.050686i,-0.0039172+0.016133i,-0.0047563-0.0021441i,0.020782+0.016204i,0.0048204+0.028366i,-0.013825+0.047013i,-0.0050749+0.023107i,-0.0044957+0.00050867i,-0.00050679+0.0018173i,0.0071429+0.0033779i,0.0034661+0.00035007i,0.004411+0.0015724i,0.0037768-0.00037844i,0.0083281+0.0044436i,0.016489+0.0089576i,0.0021387-0.0002962i,-0.0043536-0.0047132i,-0.0044855+0.00088329i,-0.0018588+9.8348e-05i,-0.0033782-0.0046001i,-0.0038392-0.0013957i,-0.0046886+0.0089762i,-0.0017005+0.0028377i,0.00098381+0.0027455i,-0.0006796+0.0024505i,-0.0026433-0.00093066i,-0.0017386+0.0017438i,-0.0011219+0.00067256i,0.0043501-0.0016096i,0.0010116-0.0015436i,0.00027508-0.00080365i,-1.1245e-05+0.00037535i,0.003251-0.00073245i,-0.013417+0.00060234i,0.0018667+0.0030061i,0.00077369+0.0012969i,-0.0010453-0.0010611i,0.0019749-0.0040271i,-0.0019798-0.00097827i,-0.00075629-0.0016769i,-0.0029487+0.0058835i,0.0017006+0.0024114i,-0.034476+0.007208i,-0.057828-0.0088082i,-0.044314+0.035987i,-0.038696+0.021538i,-0.043513+0.042716i,-0.025915+0.012865i,-0.0002446+0.034906i,-0.0099013+0.0088831i,-0.040887-0.016836i,-0.059679-0.0092357i,-0.0069587+0.026297i,-0.0027015+0.0028354i,0.0043181-0.0043921i,0.00087855-0.0099581i,-0.0010516+0.01105i,-0.00019738+0.026768i,0.0026563+0.0018337i,0.0065375-0.0041561i,0.0019467+0.00042187i,0.0076317-0.0077626i,0.0087629+0.0040174i,0.002842+0.0025125i,-0.0074259+0.00076069i,0.0054336+0.0068721i,0.005506+0.0061976i,0.0092341+0.0079436i,-0.00021372+0.0010335i,0.0036269-0.0061319i,0.0058422-0.0082994i,0.00013446+1.6871e-05i,-0.034375-0.0032098i,-0.00038084-0.0084137i,-0.0024176-0.0022047i,0.0055642-0.0010774i,0.0012175-0.00032794i,-0.00018313-0.011847i,0.0019432-0.00168i,0.0032505+0.0032941i,0.0040198-0.0004806i,0.0038667-0.0041309i,-0.0090529-0.0031852i,-0.0041505-0.0019018i,-0.0044637-0.0027931i,-0.0013039-0.0067291i,-0.011066-0.0047044i,-0.058103+0.020804i,-0.020364+0.010549i,-0.012837-0.0082281i,-0.0087194+0.0025312i,0.0010488+0.021916i,-0.0072189+0.012615i,-0.0049749+0.0072284i
-0.018973+0.019295i,-0.0055527+0.051066i,0.00623+0.052384i,-0.0034242+0.015913i,-0.0066525+0.0013327i,0.023304+0.012331i,0.0090074+0.024661i,-0.0052426+0.048878i,-0.0012668+0.022418i,-0.0042446+0.0017578i,0.00070445+0.0014997i,0.0075551-0.00062693i,0.0040475-4.2169e-05i,0.0042973+0.00070815i,0.00383-0.00094951i,0.0082379+0.00089652i,0.017233+0.0026622i,0.00096765-0.0014529i,-0.0059719-0.0028175i,-0.003077+0.0022055i,-0.00094441+4.3667e-05i,-0.0039213-0.0035905i,-0.0038507-0.00036075i,-0.0013336+0.0091732i,-0.00031315+0.0034628i,0.0019596+0.0019574i,0.00017648+0.0026646i,-0.0033395+0.00080534i,-0.00098959+0.0019007i,-0.0008428+0.00070619i,0.0031237-0.0028744i,0.00021899-0.0019248i,-0.00012854-0.00087365i,-5.0859e-08+0.00017479i,0.0020623-0.0017382i,-0.012459+0.005071i,0.0024772+0.0023914i,0.0011076+0.00095421i,-0.0019429-0.00032401i,0.0012612-0.0040233i,-0.002351-0.00073091i,-0.0010793-0.0017264i,-0.0025693+0.0067151i,0.0027804+0.0022365i,-0.033146+0.012445i,-0.061722-0.00014858i,-0.038145+0.039443i,-0.031558+0.026961i,-0.030887+0.048041i,-0.025157+0.019702i,0.0067175+0.027571i,-0.0056128+0.0065858i,-0.041022-0.011896i,-0.057356+0.0010055i,-0.0019721+0.026016i,-0.0024218+0.0027072i,-4.2635e-05-0.0036926i,-0.0044006-0.0096853i,0.0048261+0.011019i,0.0059809+0.022317i,0.00044988+0.0013288i,0.0041551-0.0081334i,0.0028151+0.0017684i,0.002933-0.00959i,0.01014-0.0014338i,0.0046579+0.0019488i,-0.006987+0.0045116i,0.0097946+0.0064531i,0.0093755+0.0040315i,0.01194+0.0025438i,0.00084467+0.0016179i,0.0017842-0.0071599i,-0.00038676-0.0092577i,0.001329+0.0016903i,-0.034411+0.010043i,-0.0022094-0.0080236i,-0.0019385-0.00034518i,0.0060368-0.0051455i,0.0016413-8.5166e-05i,-0.0051117-0.01293i,0.0009085-0.0014706i,0.0043371+0.0013326i,0.0039004-0.0013416i,0.0029962-0.0054057i,-0.0091346+0.0015914i,-0.0042465+0.00088087i,-0.0052663-5.0581e-05i,-0.0041225-0.0070826i,-0.010722-0.00095185i,-0.054324+0.02656i,-0.019682+0.015683i,-0.015364-0.010721i,-0.005804+0.0039449i,0.003874+0.021705i,-0.0068628+0.015302i,-0.00314+0.0050188i
-0.015738+0.02087i,0.0035815+0.050202i,0.016853+0.050372i,-0.0018999+0.016733i,-0.0057939+0.0049167i,0.02557+0.0078217i,0.011651+0.020607i,0.0035036+0.048057i,0.0019483+0.021153i,-0.00369+0.0029841i,0.00087669+0.0011899i,0.005666-0.0034614i,0.0041119-0.0014092i,0.0038503+6.8383e-05i,0.0035308-0.0016467i,0.0064436-0.0011162i,0.016177-0.0023144i,-3.4629e-05-0.0012806i,-0.0059209-0.00062766i,-0.0015238+0.0025443i,-0.00023017-0.00039852i,-0.0044175-0.0029322i,-0.0032515+0.00048897i,0.0014067+0.0087457i,0.0010933+0.0030362i,0.0022585+0.001236i,0.0011716+0.0023383i,-0.0025634+0.0024263i,-0.00028478+0.001683i,-0.00081875+0.00092273i,0.0015225-0.0032882i,-0.00066922-0.0017108i,-0.00035867-0.0007073i,-0.00024232+0.00013041i,0.0009317-0.0021454i,-0.010054+0.0086016i,0.002945+0.0013192i,0.001147+0.00043684i,-0.002027+0.0010333i,0.00040133-0.0043255i,-0.0024737-6.2632e-06i,-0.0016219-0.0019855i,-0.0012742+0.0079919i,0.0037109+0.0014757i,-0.030432+0.017459i,-0.061817+0.012637i,-0.033989+0.041745i,-0.024779+0.029649i,-0.017135+0.050484i,-0.019598+0.027678i,0.0094225+0.018569i,-0.0033024-6.2997e-05i,-0.038509-0.0079352i,-0.051633+0.01093i,0.0047736+0.024525i,-0.0024659+0.003139i,-0.0040661-0.0015757i,-0.0085608-0.0069585i,0.0089017+0.0069843i,0.0099828+0.018311i,-0.0024364+0.0028813i,-0.00019347-0.011449i,0.0050163+0.00054402i,-0.001706-0.0083604i,0.0074707-0.0054319i,0.0059776-0.0003216i,-0.0051618+0.007198i,0.013339+0.0015511i,0.010917-0.0015372i,0.011053-0.0040912i,0.0027398+0.0010728i,-0.00074434-0.007435i,-0.0041182-0.0059187i,0.0035751+0.00060604i,-0.028071+0.02464i,-0.0044418-0.0066864i,-0.00061274+0.00091078i,0.0023669-0.0072185i,0.002073-0.00026805i,-0.010924-0.010298i,0.0010707-0.00046346i,0.0044676-0.001145i,0.0032868-0.002426i,0.0015951-0.0057591i,-0.0064442+0.0060353i,-0.0027565+0.0027484i,-0.0048954+0.0032445i,-0.0077958-0.0060446i,-0.0097905+0.0018033i,-0.048854+0.034304i,-0.012043+0.020457i,-0.020519-0.0098568i,-0.0028207+0.0022999i,0.0058979+0.020724i,-0.0040196+0.018561i,-0.002894+0.0016044i
