-0.030151-0.041426i,-0.021145-0.021884i,-0.012876-0.037125i,-0.029513-0.021146i,-0.023293-0.0013589i,-0.014251-0.0058502i,-0.054032-0.060524i,-0.047892-0.017936i,-0.034808-0.016492i,0.012718+0.012231i,-0.0086456+0.0051069i,-0.02005+0.018965i,0.0021261+0.012659i,-0.0057065-0.0024618i,0.00038908+0.0014217i,-0.0025276+0.031489i,0.024093+0.022201i,0.0026737-0.0022078i,-0.0025245-0.0074539i,0.0081533+0.002893i,0.0025725+0.00079623i,-0.0004777+0.003474i,-0.00038796+0.00028246i,-0.039052-0.0069581i,0.00044689-0.0089823i,0.0014308+0.0023559i,0.0067567+0.00052016i,0.0018789+0.00063834i,0.001055-0.00061134i,-0.00045329-0.0029157i,0.0014326-0.0023987i,-0.0022725-0.0064691i,-0.00092325-0.0048268i,0.0031544-0.00040371i,0.0038383-0.0031751i,-0.00039867+0.0308i,0.0049358-0.003784i,0.0031963-0.001626i,0.007507-0.0020212i,-0.0077704-0.0028345i,-0.00032623+0.00082339i,0.0065057+0.0010377i,0.0045615-0.001963i,-0.0027333+0.0079285i,-0.017515-0.0094906i,-0.019172+0.014334i,-0.0011701-0.062508i,-0.0043365-0.02737i,-0.025504-0.033616i,-0.010277-0.027577i,0.055914-0.020325i,0.017755-0.043316i,0.023898-0.048421i,0.0074985-0.053388i,0.027576-0.022207i,0.0083471+0.006617i,0.027311-0.033072i,-0.0082053-0.0068557i,0.0035234-0.0046172i,-0.004153-0.0070899i,-0.0013362-0.033486i,-0.020781+0.028371i,0.0090164-0.011882i,-0.0097325-0.003982i,-0.0040755-0.001869i,0.0011179-0.012973i,-0.010965+0.0041277i,0.0022993+0.010533i,-0.0062336+0.025964i,0.0048916+0.0026716i,-0.0056105-0.0021139i,-0.0020576-0.0023763i,-0.01278-0.0082754i,-0.00033864-0.0041055i,-0.025695+0.00013847i,0.0011205-0.010539i,-0.0085946+0.0001606i,-0.0070689-0.0027818i,0.0053883+0.00133i,-0.0080265-0.00047942i,0.0024006+6.5993e-05i,0.004333+0.0075641i,0.0041734+0.00073951i,-0.0069536-0.012177i,0.0027684+0.010288i,-0.013488+0.0035556i,0.0068524+0.00010161i,-0.024051-0.0023069i,-0.017735+0.0061328i,-0.0073592-0.069165i,0.0075051-0.012479i,-0.048834-0.024488i,-0.021239-7.429e-05i,0.017194+0.011867i,-0.02419+0.015089i,-0.019729-0.0067834i
-0.042481+0.027462i,-0.018338+0.019914i,-0.022706+0.042806i,-0.02794+0.013039i,-0.0054842+0.022186i,-0.00096489+0.0082056i,-0.032108+0.017903i,-0.0032472+0.029734i,0.0073361+0.019494i,-0.0057131-0.0057417i,0.0025762+0.0041224i,0.0083449-0.00014628i,0.0060749+8.202e-05i,-0.00054969+0.0032699i,0.00048802+0.0020913i,0.0070143-0.0051332i,-0.0055359-0.0012836i,-0.0028658+0.00048549i,0.0035126-0.00052209i,-7.8848e-05-0.0009855i,0.0028625-0.0053259i,0.0017433-0.0028499i,0.001481-0.0026852i,-0.0091969-0.010774i,-0.0021726+0.0033079i,-0.0015052+0.00031316i,-0.0043206-0.0014939i,-0.0028682-1.221e-05i,-0.0022195-0.0021114i,-3.4637e-05-0.00061014i,-0.0018682+0.0035344i,0.00063727+0.00098111i,0.0019349+0.0008201i,-0.00057199+0.00055096i,-0.0031458+0.002097i,-0.0014835-0.0073773i,-0.0023771+0.00088536i,0.00081444-0.0004189i,-0.002282+0.0010936i,0.0040772+0.0044948i,-0.00058711-0.0020455i,4.538e-05-0.0033886i,-0.0044295-0.0011744i,0.0037659+0.0019061i,-0.018209+0.027217i,0.0066157-0.036819i,-0.056657+0.0025581i,0.008944-0.031382i,-0.030257-0.050406i,-0.029346-0.020524i,-0.062759+0.019615i,-0.037894+0.00065897i,-0.034801-0.0083208i,-0.02805-0.025657i,-0.038973-0.02427i,-0.0054429+0.0030021i,-0.028727+0.0091968i,0.0064247+0.019357i,0.0022155+0.0079949i,-0.0027821-0.0059108i,0.0020041+0.0015117i,-0.013178-0.0054824i,0.0050584+0.011279i,-0.0015443+0.0057684i,-0.0019387-0.0013901i,0.0010997+0.0022231i,0.0037909-0.00099706i,-0.0031408+0.017092i,0.0049128+0.015568i,0.0037863-0.00018871i,0.00999-0.0067852i,0.0043297+0.003233i,-0.0092451-0.0074242i,-0.00084002-0.0031572i,0.0072931-0.03145i,0.0075938+0.010792i,0.0053528+0.0021119i,-0.0028037+0.0026891i,0.0038776-0.0055898i,0.019716+0.0069562i,0.0030487+0.0029416i,0.00038855-0.0066955i,0.00091436-0.003001i,0.020008+0.0042353i,0.0048653+0.0017024i,0.0028306-0.0048305i,0.0041715+0.0083523i,-0.00032575+0.0015439i,0.00933+0.0027901i,-0.049727-0.015739i,-0.0049668+0.012271i,-0.0019701-0.0042265i,-0.0065622+0.0058342i,-0.03739+0.012419i,-0.006187+0.0073595i,-0.0114+0.01439i
-0.038618+0.032753i,-0.014683+0.019863i,-0.011944+0.038637i,-0.025172+0.016229i,-0.0024492+0.02041i,0.00046341+0.0081318i,-0.030544+0.02332i,0.002626+0.028303i,0.0098544+0.014018i,-0.0067911-0.0032544i,0.0039191+0.0046387i,0.0074048-0.0028929i,0.0053639-0.0019963i,0.0014614+0.0036475i,0.00079925+0.0021235i,0.0024568-0.0047188i,-0.006851+0.0019396i,-0.0022115+0.0011589i,0.0046276-0.00080671i,0.00018848-0.00098916i,0.0012534-0.0053813i,0.0014101-0.0024681i,0.00081062-0.00282i,-0.011394-0.0064478i,-7.1858e-05+0.0032354i,-0.0014788+0.00073564i,-0.0039387+0.00044164i,-0.0020751+0.00073688i,-0.0032301-0.00017443i,0.00016046-0.00052602i,-0.00077031+0.003945i,0.00029728+0.0011851i,0.0015932-0.00017444i,-0.00080514+0.00085486i,-0.0029652+0.0025181i,-0.0015377-0.0063285i,-0.0018003+0.0019166i,-0.00014166-0.0010368i,-0.0021353+0.00098065i,0.0046585+0.001707i,-0.00087464-0.0016339i,-0.001569-0.0038201i,-0.0048028+0.00028216i,0.0043814+0.0011499i,-0.013309+0.02657i,-0.0067563-0.042157i,-0.049963+0.013849i,-0.00018305-0.039604i,-0.045194-0.044776i,-0.029906-0.013762i,-0.051585+0.031478i,-0.035095+0.008951i,-0.025602-0.010569i,-0.031106-0.021174i,-0.044861-0.0089962i,-0.0046365+0.0028143i,-0.024119+0.021473i,0.011891+0.013676i,0.004987+0.004649i,-0.0088123-0.0090396i,-0.0012405+0.0033742i,-0.012625+0.002865i,0.0093507+0.0083319i,-0.00019851+0.0078345i,-0.0021037-2.0198e-05i,0.0020762+0.0035795i,0.003835-0.0013778i,0.0051238+0.013478i,0.009459+0.0080389i,-0.00050396-0.0032765i,0.0034258-0.0080585i,0.0047529+0.0027344i,-0.012276+0.0010064i,-0.0025513-0.0010389i,-0.0064547-0.025977i,0.011965+0.0082794i,0.0069353-0.00062177i,0.00058196+0.0026592i,-0.00024621-0.0033065i,0.0205-0.0016523i,0.0034328+0.0013163i,-0.0029797-0.005281i,-0.0029236-0.0016106i,0.02104+0.0034841i,0.0050248+0.0019127i,0.00081789-0.0035783i,0.0066715+0.0068424i,-7.5113e-05+0.0026039i,0.0096066-0.0005139i,-0.052402-0.010203i,0.00013812-0.002458i,-0.00080934-0.0042568i,-0.0044286+0.0054529i,-0.030765+0.023971i,-0.0036764+0.0084529i,1.4021e-05+0.011273i
-0.033415+0.037828i,-0.012125+0.019926i,-0.0068015+0.032506i,-0.022398+0.019211i,0.001194+0.01945i,0.0021856+0.0076027i,-0.026362+0.029151i,0.0078117+0.025508i,0.0094356+0.0099702i,-0.0071775-0.00054371i,0.0060361+0.0042839i,0.0029897-0.0040712i,0.0039465-0.0033318i,0.0022442+0.0031722i,0.0014009+0.0019819i,-0.0011823-0.0019447i,-0.0059705+0.0055948i,-0.0011574+0.0015017i,0.0052702-0.0035968i,0.00046921-0.0016253i,-0.00038787-0.0052166i,0.0014583-0.0028726i,0.00030148-0.0028336i,-0.01259-0.0023962i,0.00097913+0.0027853i,-0.00089194+0.0013594i,-0.0027825+0.00096108i,-0.00091386+0.0011354i,-0.0026328-0.00022314i,-0.00010892-0.00093108i,0.00060622+0.004199i,0.00045514+0.0014938i,0.0010862-0.00055249i,-0.00055477+0.00084565i,-0.0016057+0.003683i,-0.00074207-0.0064368i,-0.0016852+0.0023159i,-0.00091912-0.00093009i,-0.0010467+0.002007i,0.0039398+1.0537e-05i,-0.0011922-0.0014905i,-0.0016276-0.002236i,-0.0044421+0.0013565i,0.0046804-0.00075088i,-0.009727+0.026294i,-0.022554-0.039962i,-0.039677+0.020663i,-0.012065-0.042326i,-0.053707-0.035323i,-0.026604-0.0080253i,-0.03592+0.037645i,-0.023989+0.01483i,-0.027752-0.014243i,-0.032325-0.016974i,-0.042634+0.0059968i,-0.0038966+0.0030281i,-0.012971+0.029033i,0.014579+0.0077243i,0.0032273-0.00023684i,-0.018535-0.0061261i,-0.0006556+0.00479i,-0.0081136+0.006055i,0.011366+0.0027648i,0.003052+0.0084165i,-0.003553+0.002048i,0.0024733+0.001538i,0.0037974-0.0029227i,0.0071354+0.0067144i,0.008592+0.0030425i,-0.0050684+6.6573e-05i,0.00029907-0.0061951i,0.0064837+0.0016785i,-0.0075789+0.010426i,-0.00064894+0.0010979i,0.0051491-0.017734i,0.016009+0.0020646i,0.0057402-0.0027256i,0.0010587+0.0011568i,-0.00018361-0.0013152i,0.016436-0.0085455i,0.001904+0.0029172i,-0.0053884-0.00274i,-0.0031546+0.002228i,0.013705-0.00068024i,0.0087806-0.00030914i,0.00069054-0.0034814i,0.0099429+0.003249i,0.0032191+0.0018702i,0.0084444-0.003475i,-0.054715+0.00017475i,-0.0084456-0.011866i,0.0014833-0.0075635i,-0.0031579+0.0036452i,-0.020773+0.02787i,-0.0037151+0.0034869i,-0.0014038+0.0097558i
-0.02688+0.041659i,-0.0091308+0.020848i,-0.0052412+0.027662i,-0.018284+0.022065i,0.0045519+0.016427i,0.0038528+0.006082i,-0.019671+0.033814i,0.01159+0.021601i,0.0091677+0.0083593i,-0.00653+0.0021707i,0.0074643+0.0032773i,0.00053906-0.0013927i,0.0023171-0.0036404i,0.0022161+0.0033193i,0.0018687+0.0017141i,-0.0017206+0.0022303i,-0.0028964+0.0084773i,-0.00038916+0.0011648i,0.0034735-0.0052605i,-0.00026869-0.002247i,-0.0017096-0.0042985i,0.0010898-0.0032954i,-0.00034243-0.0030581i,-0.011715+0.0020453i,0.0020291+0.0018455i,2.9467e-05+0.00083273i,-0.0024552+0.00058742i,0.0001951+0.00048523i,-0.0027876+0.00078612i,-0.00050891-0.00050706i,0.0021304+0.0037209i,0.0011146+0.0014648i,0.0003991-0.00074714i,-0.00037719+0.00091015i,0.00025092+0.003359i,-0.001617-0.008544i,-0.0007422+0.0029476i,-0.0013267-0.00030683i,-0.00016017+0.00055352i,0.0033129-0.00071069i,-0.0015478-0.0010078i,-0.0011929-0.0024449i,-0.0033911+0.0022364i,0.003364-0.0036604i,-0.0062152+0.026974i,-0.034673-0.028097i,-0.030107+0.021519i,-0.023981-0.039897i,-0.061882-0.024402i,-0.021677-0.0061995i,-0.022042+0.036233i,-0.014015+0.011149i,-0.028871-0.010928i,-0.032651-0.011856i,-0.036513+0.01549i,-0.0036028+0.0033807i,-0.00037955+0.029641i,0.013867+0.0038677i,-0.0014157-0.00097691i,-0.023951+0.0047286i,-0.00059246+0.0063226i,-0.0040654+0.0054266i,0.009223-0.0032141i,0.0062131+0.0069985i,-0.0026877+0.00401i,0.00034789+0.0020486i,0.0030241-0.0055649i,0.004801+0.0013107i,0.0059828+0.00021048i,-0.0037373+0.0031585i,-0.0015447-0.0045474i,0.0066862-0.00054747i,0.0025806+0.011278i,0.00023611+0.00056071i,-0.005491-0.021627i,0.013925-0.0042517i,0.0047822-0.0045129i,0.001437+0.0021519i,-0.00014857-0.0013497i,0.011133-0.011437i,0.005383+0.0037433i,-0.0059307+0.00055372i,-0.00078209+0.0039745i,0.0099223-0.0017329i,0.0081709-0.0060137i,-0.00076089-0.0029454i,0.0087551-0.0028639i,0.0027393-0.001308i,0.0072507-0.0066456i,-0.050546+0.012432i,-0.018682-0.011171i,-0.0012153-0.013232i,-0.0025852+0.0013147i,-0.012859+0.027208i,-0.0076684+0.0035596i,-0.002354+0.0085982i
-0.02105+0.044706i,-0.0065966+0.020732i,-0.0059498+0.025365i,-0.013711+0.023525i,0.0063018+0.013078i,0.0042543+0.0042708i,-0.01182+0.035832i,0.014267+0.017503i,0.010016+0.0071048i,-0.0045802+0.0040406i,0.0079659-0.0035456i,0.0010009+0.00086272i,0.0011945-0.003639i,0.0036257+0.0036704i,0.0021699+0.0013087i,9.477e-05+0.005047i,0.0012122+0.0093252i,-0.00019477+0.00079283i,0.0018197-0.005837i,-0.0012286-0.0021523i,-0.002811-0.0033897i,0.00034574-0.0034616i,-0.0013516-0.0029529i,-0.0073417+0.0035871i,-0.0044351-0.0086317i,-8.2665e-05-1.9001e-05i,-0.0014301+0.0008421i,0.00024695-0.00058338i,-0.0011458+0.0037279i,-0.00020546-0.00019528i,0.0031201+0.0020958i,0.0018953+0.00083662i,-0.00022476-0.00056603i,-0.00043874+0.00090298i,0.00072954+0.002613i,-0.0047231-0.010103i,0.00021293+0.0028722i,0.00022452+0.00058569i,-0.00021471-0.00034706i,0.0026953-0.001033i,-0.0013931-0.00053324i,-0.00232-0.0030877i,-0.0020392+0.0023897i,0.00063148-0.0036447i,-0.0012644+0.027586i,-0.035348-0.013615i,-0.023816+0.019935i,-0.034339-0.032981i,-0.067194-0.0095322i,-0.018853-0.0084311i,-0.012068+0.031404i,-0.0096836+0.005956i,-0.028334-0.0090607i,-0.031913-0.0082991i,-0.030914+0.023531i,-0.0028651+0.003488i,0.012523+0.024703i,0.012722-0.0022168i,-0.0048087+0.0015913i,-0.022103+0.015292i,0.0015465+0.0073981i,-0.001334+0.0056498i,0.0033496-0.0045065i,0.0083494+0.0049399i,-0.0011558+0.0060649i,0.00017686+0.0042279i,0.00095023-0.0069209i,0.0007724+0.0017118i,0.0034139+0.00075589i,-0.0024372+0.0050077i,-0.0025947-0.0023629i,0.0058512-0.0028768i,0.0061529+0.0054108i,0.00047301+0.00013322i,-0.011006-0.020432i,0.010065-0.0081423i,0.002403-0.0055143i,0.0033747+0.001337i,-0.0004634-0.00061766i,0.0073531-0.012351i,0.007903+0.0008821i,-0.0041077+0.0037925i,0.0017762+0.0037751i,0.0092873-0.0023991i,0.0036303-0.010296i,-0.00087336-0.0021756i,0.0042309-0.0057901i,0.00096802-0.0020496i,0.0034374-0.0097464i,-0.042029+0.01818i,-0.027074-0.0031362i,-0.0064335-0.015548i,-0.0034041-0.0015516i,-0.007555+0.026778i,-0.010287+0.0064499i,-0.001414+0.0091202i
-0.014425+0.047849i,-0.0044363+0.021232i,-0.0061167+0.026411i,-0.0091763+0.023411i,0.0065727+0.0099764i,0.0044038+0.0031315i,-0.0036327+0.035217i,0.015894+0.013246i,0.011247+0.0048089i,-0.0028777+0.0042321i,0.0043594-0.0035446i,0.0020834+0.0019426i,3.1832e-05-0.0035118i,0.0051861+0.0023397i,0.0022339+0.00076768i,0.0028297+0.0061318i,0.0052987+0.0080493i,-3.0853e-05+0.00073357i,-0.00031791-0.0061596i,-0.0019779-0.0015854i,-0.0030248-0.0021064i,-0.00025697-0.0035617i,-0.0021044-0.002293i,-0.006156+0.0012475i,-0.00099167-0.00017177i,-0.00066213-0.00027854i,-0.0013271+0.0011974i,-0.00023084-0.0014445i,0.00041362+0.00076954i,-0.00011678-0.00045041i,0.0030486+0.00061054i,0.0021745-0.00037889i,-0.00045587-0.00022978i,-0.00032098+0.00091719i,0.00097561+0.0022454i,-0.0086479-0.0094628i,0.00084926+0.0024103i,-0.0023876+0.0016789i,0.00038617+0.0014575i,0.0027562-0.00090779i,-0.00097663-7.3809e-05i,-0.0038276-0.0015939i,-0.00080839+0.0017167i,-0.0010158-0.0026662i,0.0038627+0.027447i,-0.029675-0.0058335i,-0.020052+0.018482i,-0.040251-0.021846i,-0.065317+0.0093811i,-0.022245-0.011226i,-0.0071922+0.026023i,-0.0072419+0.0016523i,-0.027642-0.0061708i,-0.032496-0.0049114i,-0.022695+0.029634i,-0.0031577+0.0037562i,0.01898+0.010981i,0.01073-0.0071087i,-0.0057882+0.0057275i,-0.014399+0.024069i,0.0039891+0.0063251i,0.0022718+0.0049131i,0.00046147-0.0017963i,0.010054+0.0012021i,0.001278+0.0075258i,0.0017871+0.0052943i,-0.0036708-0.008849i,-0.00041415+0.0051338i,0.0035489+0.0023207i,0.00051932+0.0074379i,-0.0017154-0.00048772i,0.0043085-0.0037377i,0.0088082+0.0022972i,0.00099368-0.00080063i,-0.018596-0.019227i,0.0057855-0.009834i,-1.8308e-06-0.0055376i,0.0063773-0.0025316i,-4.9687e-05+0.00051037i,0.0051653-0.011651i,0.0074165-0.0026177i,-0.0011562+0.0051914i,0.0031159+0.0016061i,0.0075185-0.0048091i,-0.0035719-0.010032i,-0.0014367-0.0024018i,3.2115e-05-0.0043228i,0.00050072-0.0026567i,-0.0014685-0.0094418i,-0.036466+0.021322i,-0.024607+0.010195i,-0.011196-0.014795i,-0.0057077-0.0022394i,-0.0039065+0.026427i,-0.0089255+0.011038i,0.0021679+0.0079476i
-0.0065114+0.049835i,-0.0015776+0.021998i,-0.004336+0.028681i,-0.0062401+0.022239i,0.0058694+0.0081133i,0.0046226+0.0019392i,0.0034594+0.032464i,0.01638+0.0094763i,0.012178+0.0024836i,-0.001912+0.0044748i,0.0029884-0.0024412i,0.0042925+0.0023086i,-0.0010077-0.0030241i,0.005478-0.00035387i,0.0020436+0.00038171i,0.0053074+0.0056172i,0.0071813+0.0056363i,0.0001854+0.00081603i,-0.0018907-0.005591i,-0.002305-0.00069427i,-0.0026985-0.0009i,-0.0011486-0.0035869i,-0.0025218-0.0015205i,-0.009001+0.0014079i,-0.0010411+0.00015235i,-0.0011859+0.00011688i,-0.0010297+0.0014706i,-0.0014341-0.0017893i,-0.00021435+0.00043104i,-0.00041582-0.00068832i,0.003019-0.00052463i,0.0026024-0.002113i,-0.00013182-0.00011316i,-9.1298e-05+0.00091517i,0.0016199+0.0015055i,-0.012345-0.0071758i,0.0014922+0.0019254i,-0.001261+0.0018544i,0.00066538+0.002576i,0.0036488-0.00082885i,-0.00060225+0.0002107i,-0.0026136+0.00013556i,-0.00017531+0.0010589i,-0.0017973-0.0017955i,0.0094518+0.025186i,-0.025942-0.0043291i,-0.017218+0.017788i,-0.040452-0.011456i,-0.055636+0.024997i,-0.02572-0.0086449i,-0.0020303+0.023649i,-0.0074429-0.0025288i,-0.025954-0.0044287i,-0.031673+4.4926e-05i,-0.014329+0.033438i,-0.0020945+0.0038453i,0.013405-0.0013635i,0.0063327-0.011161i,-0.0040251+0.0091442i,-0.0046645+0.026306i,0.0048618+0.003894i,0.0038923+0.0016455i,0.0015199-0.0001644i,0.0093747-0.0021655i,0.0061308+0.0071001i,0.0037205+0.0062538i,-0.0081761-0.0034508i,0.0021987+0.0075145i,0.0049495+0.0027082i,0.0042002+0.0063816i,-0.0012611-3.1233e-05i,0.0032881-0.004489i,0.0083391-0.0045978i,-0.00091161-0.0010442i,-0.02663-0.01154i,0.0020298-0.009941i,-0.0019584-0.0042082i,0.0060336-0.0019345i,0.00053464+0.00053829i,0.0039582-0.013636i,0.0056191-0.0053323i,0.0011078+0.0042852i,0.003106+0.00063982i,0.0058528-0.0059867i,-0.0069506-0.0058305i,-0.0027796-0.0021104i,0.0016849-0.0034174i,-0.0014494-0.0029707i,-0.0044338-0.0071711i,-0.030003+0.024235i,-0.01825+0.011485i,-0.012235-0.013262i,-0.007305-0.0014416i,0.00097744+0.02452i,-0.0071432+0.012567i,0.0026511+0.0053679i
0.001631+0.050366i,0.0020076+0.022527i,-0.00035147+0.03128i,-0.0040002+0.022185i,0.0050657+0.0075436i,0.0043486+0.0009763i,0.0092247+0.028529i,0.016602+0.0064608i,0.012761-0.0006379i,-0.00075331+0.0050769i,0.0029742-0.00175i,0.0064094+0.0002688i,-0.0018179-0.0020971i,0.0036695-0.0016776i,0.0019879+0.00027223i,0.0073292+0.0037308i,0.0081841+0.0038489i,0.00059492+0.00059285i,-0.003231-0.004862i,-0.0020172+0.00036315i,-0.0020007-0.00026294i,-0.0020057-0.0027875i,-0.002768-0.00077009i,-0.010109+0.0067469i,-0.0011504+0.00077721i,-0.0011375+0.00084069i,-0.000691+0.0018361i,-0.002702-0.0012521i,-0.00032227+0.00039606i,-0.00073337-0.000611i,0.0021833-0.0019747i,0.0015184-0.0035695i,-0.0002856-0.00021526i,-3.9818e-05+0.00080015i,0.0016039+0.00058476i,-0.015617-0.0028061i,0.001798+0.0012884i,-0.0003493+0.0021862i,-0.00020345+0.0028131i,0.00077785+0.0061309i,0.00024739+0.00024568i,-0.0014499+0.0002916i,0.00015417+0.00046337i,-0.002248-0.00075678i,0.013375+0.021333i,-0.026236-0.0037081i,-0.015246+0.016998i,-0.039754-0.0027803i,-0.042468+0.033627i,-0.028668-0.0050494i,0.0035568+0.018076i,-0.0084838-0.0041501i,-0.025238-0.0031617i,-0.029826+0.0055359i,-0.004466+0.034976i,-0.0012914+0.0037723i,0.0062237-0.0032999i,0.00096651-0.012823i,2.5988e-05+0.012221i,0.0041595+0.024119i,0.0047265+0.0018154i,0.0033761-0.0012252i,0.001219+0.00012709i,0.0074434-0.0055298i,0.0097411+0.0036324i,0.0064491+0.005888i,-0.0077862+0.00068935i,0.0056754+0.0080154i,0.006553+0.002368i,0.0077477+0.0034475i,-0.00083623+0.0006517i,0.0028018-0.0052727i,0.0046826-0.009472i,-0.0010592+0.0010869i,-0.02977+0.00018006i,-0.000828-0.0091284i,-0.0029922-0.0022868i,0.0058684-0.0026879i,0.00087881+0.00039459i,0.00047988-0.016283i,0.0030938-0.0067609i,0.0029652+0.0034481i,0.0033763-0.0001043i,0.0051121-0.0070394i,-0.0088617-0.0027752i,-0.0038096-0.00038923i,-0.00034555-0.0045869i,-0.0025968-0.0021233i,-0.0057334-0.0050375i,-0.024068+0.025107i,-0.016672+0.011997i,-0.012956-0.013956i,-0.0080737+0.00016175i,0.0029032+0.023496i,-0.0059489+0.013132i,0.0030471+0.0040089i
0.01054+0.049554i,0.0065646+0.022016i,0.0059938+0.032298i,-0.0010543+0.022522i,0.0054744+0.008018i,0.0041626+0.00049487i,0.013458+0.023333i,0.016842+0.0034878i,0.011947-0.0040764i,0.00069489+0.0049008i,0.0031269-0.0022719i,0.0059424-0.0029522i,-0.0021665-0.00099959i,0.0028252-0.0018094i,0.0020882+6.7551e-05i,0.0078609+0.00097685i,0.009717+0.0018917i,0.00032564+0.00015552i,-0.0047494-0.0037519i,-0.0012592+0.00072987i,-0.0011475-0.0003678i,-0.0022099-0.0020626i,-0.0026933+9.4275e-05i,-0.0058871+0.010832i,-0.00086057+0.0011831i,-0.00075156+0.0012686i,4.5715e-05+0.0018744i,-0.0033616+5.2781e-05i,-0.00033989+0.00030449i,-0.00095714-0.00042617i,0.00097159-0.0025202i,-0.0007163-0.0039094i,-0.00052689-5.6438e-05i,-3.3737e-05+0.00069449i,0.0012485-3.3203e-06i,-0.015692+0.0027581i,0.001836+0.00066869i,0.00053041+0.0020382i,0.00047973+0.0030936i,-0.0013924+0.00031361i,0.001669-0.0011333i,-0.0007051+0.00034615i,0.0002729+0.00013959i,-0.0023751+0.00034531i,0.015458+0.017915i,-0.028847-2.3967e-05i,-0.013482+0.016446i,-0.034574+0.0059093i,-0.029825+0.038164i,-0.030743+0.0026808i,0.0071744+0.01072i,-0.0066845-0.0061057i,-0.024155-0.0007006i,-0.025644+0.011467i,0.0049952+0.033694i,-0.0010468+0.0030075i,0.0019447-0.0033647i,-0.0049982-0.012553i,0.0063442+0.011646i,0.010327+0.019428i,0.0029026+0.00075083i,0.0021504-0.0037677i,0.0022304+0.0027339i,0.0035126-0.00745i,0.010898-0.0019706i,0.0087652+0.0037931i,-0.0072682+0.0044912i,0.010129+0.006842i,0.0087299+0.0002317i,0.0093013-0.0021592i,-2.0125e-06+0.0012472i,0.0014693-0.0061178i,-0.0010787-0.0096777i,0.00088017+0.0024619i,-0.026803+0.012507i,-0.002997-0.0080182i,-0.0027198-0.00021306i,0.0053732-0.0059178i,0.0013948+0.00075582i,-0.0059101-0.016465i,0.0002212-0.0066152i,0.0041111+0.0015951i,0.0033355-0.00060442i,0.0031023-0.0085611i,-0.009164+0.002804i,-0.0033899+0.0018348i,-0.0049964-0.0026436i,-0.0036019-0.0016391i,-0.006062-0.0028968i,-0.020953+0.025805i,-0.015967+0.016674i,-0.015768-0.016389i,-0.0056631+0.0020946i,0.0067461+0.023497i,-0.005364+0.015024i,0.0041436+0.0012677i
0.019253+0.046604i,0.010813+0.01996i,0.012621+0.030265i,0.0024058+0.022119i,0.0068206+0.008055i,0.0044604+0.00013613i,0.015732+0.018099i,0.016449+0.00043609i,0.010399-0.0066644i,0.0015512+0.0045738i,0.0026257-0.0027671i,0.0036464-0.0047036i,-0.0021824-0.0001534i,0.0018792-0.0017992i,0.0020859-0.00023787i,0.0068538-0.0012161i,0.010436-0.0015495i,9.3077e-05+0.0001567i,-0.0053951-0.002211i,-0.00064622+0.00094698i,-0.00041947-0.00081914i,-0.0023115-0.0017175i,-0.0022242+0.00076242i,-0.0013274+0.011592i,-0.00053109+0.0012301i,-0.00043267+0.0015941i,0.00072202+0.0013965i,-0.0031964+0.0015683i,-0.00047535+0.00020635i,-0.0012788-0.00011312i,-0.00027884-0.0024516i,-0.0029944-0.0032721i,-0.00038009+0.00021876i,2.8727e-05+0.00076078i,0.00078477-0.00044735i,-0.013169+0.0073574i,0.0017878+3.3568e-05i,0.00089761+0.0014477i,0.0022853+0.0029448i,-0.00064536+0.00010702i,-0.00072493+0.00055932i,0.00021454-0.0024416i,0.00042414+3.999e-05i,-0.0019453+0.0015103i,0.017374+0.015334i,-0.028545+0.0070044i,-0.013276+0.015918i,-0.028136+0.0096902i,-0.017124+0.040047i,-0.02746+0.01333i,0.0058455+0.002585i,-0.0068695-0.01128i,-0.020766+0.0013716i,-0.018406+0.016081i,0.01366+0.028368i,-0.0014693+0.0025957i,-0.0021499-0.0019818i,-0.0099011-0.0092526i,0.010706+0.0072316i,0.011932+0.010808i,-3.4372e-05+0.0019435i,-0.00034454-0.0063079i,0.0059022+0.0016903i,-0.00055739-0.0069394i,0.0079537-0.0060472i,0.010127+0.00038458i,-0.0058438+0.007325i,0.013528+0.001126i,0.0087734-0.0047625i,0.0082421-0.0073608i,0.0014032+0.0012537i,-0.00050549-0.0064284i,-0.0048021-0.0060104i,0.0028696+0.0012858i,-0.017326+0.022363i,-0.0054961-0.0062319i,-0.0014221+0.00096741i,0.0013736-0.0075305i,0.0024077+0.00045973i,-0.011883-0.013117i,-0.0010568-0.0048169i,0.0042139-0.00066566i,0.003013-0.0012698i,0.00022645-0.00866i,-0.0054776+0.0069684i,-0.0019013+0.0031267i,-0.0055383+0.0013702i,-0.0052896-0.00055939i,-0.0058604-0.0018166i,-0.015488+0.029447i,-0.0075192+0.020882i,-0.021779-0.016638i,-0.0027931+0.0007524i,0.0098749+0.02154i,-0.0027088+0.01763i,0.0031457-0.0024696i
