-0.024735-0.0042404i,-0.020667-0.0080171i,-0.01292-0.013172i,-0.035395-0.0074775i,-0.026782+0.0021694i,-0.035247-0.0020687i,-0.065554-0.03712i,-0.032709-0.014331i,-0.0212+0.0030234i,0.0065808+0.0057696i,-0.0047899+0.0069629i,-0.0083291+0.017826i,0.0057016+0.0075763i,-0.0012271+0.0035816i,0.004142+0.0039633i,0.0041752+0.026039i,0.021401+0.018639i,0.0010988-0.00067802i,0.00064473-0.0052423i,0.0086975+0.00011788i,0.0050198-0.0011824i,0.0021098+0.0019121i,0.0010447-0.00043562i,-0.022938-0.0027835i,-0.00557-0.0037796i,-0.00088552+0.0032818i,0.0032276-0.0036981i,-0.0021641-6.411e-05i,-0.00055676+0.0010441i,-0.0024559-0.0015283i,-0.0039376-0.00032343i,-0.0070124-0.008957i,-0.0065027-0.0058737i,-0.00066899+2.2667e-05i,-0.00063788-0.0024091i,-0.0010098+0.02082i,0.0025639-0.0040793i,0.0010855-0.0044059i,0.0025414-0.0022743i,-0.0032246-0.0038135i,0.001001-0.00015166i,0.0082243-0.0010804i,0.0041785-0.0029384i,0.00011207+0.002244i,-0.013484+0.015164i,-0.026214+0.053827i,-0.0056732-0.037261i,-0.015025-0.018371i,-0.039785-0.016019i,-0.027149-0.012739i,0.037031-0.012533i,0.0057321-0.029273i,0.0129-0.038323i,-0.0083548-0.029274i,0.02568-0.023607i,0.013178+0.0069629i,0.027758-0.033056i,-0.001898-0.0045035i,0.0057337-0.0090129i,-0.0006198-0.0058521i,2.9146e-05-0.035428i,-0.013766+0.028893i,0.0087033-0.011325i,-0.0088213-0.0049154i,-0.0026167-0.0020586i,-0.0001323-0.015666i,-0.00758+0.0057717i,0.004294+0.006439i,-0.00084918+0.029953i,0.003087+0.00095401i,-0.0073075-0.0047343i,-0.0040174-0.0063746i,-0.015167-0.010056i,-0.0022409-0.0057026i,-0.038856+0.0077545i,-0.0049465-0.0083053i,-0.013267-0.0011513i,-0.011169-0.0047184i,0.0020794-0.0013016i,-0.014162+0.0023285i,-0.001533-0.00068155i,0.0059247+0.006244i,0.0036066-0.0050032i,-0.011189-0.012478i,0.0070433+0.0078379i,-0.016487+0.0065026i,0.0049992-8.4421e-05i,-0.019495-0.0029413i,-0.01627-0.0036174i,-0.015653-0.035043i,0.020078-0.010058i,-0.040798-0.026476i,-0.010718+0.0043669i,0.017873+0.015101i,-0.022375+0.01693i,-0.0045107-0.0037698i
-0.025833-0.00031046i,-0.01977+0.00018712i,-0.013743-0.01345i,-0.036446-0.002571i,-0.02568+0.002828i,-0.036671+0.00501i,-0.071427-0.025394i,-0.03372-0.0098986i,-0.019333+0.0068999i,0.0049624+0.003294i,-0.0052707+0.0057561i,0.00017932+0.020278i,0.0080696+0.0046504i,-0.003301+0.0058138i,0.0044654+0.0024142i,0.0093533+0.020381i,0.021651+0.011697i,0.0017997+3.4782e-07i,-0.00095743-0.0031443i,0.007009-0.0030592i,0.0031373-0.0022161i,0.0020206+0.0014969i,0.001037-0.00073349i,-0.014066+0.00634i,-0.0070384-0.0014169i,0.0027907+0.0022986i,0.00065728-0.0015437i,-0.0010865+0.0017739i,0.00060992+0.00057358i,-0.002896-0.00049358i,-0.0029388+0.00089415i,-0.008151-0.0061618i,-0.0076137-0.0032011i,-0.00041911+4.6513e-05i,-0.00039899-0.0014459i,0.0051077+0.018458i,0.0018529-0.0049448i,-0.0012271-0.0040802i,0.0027102-0.0033963i,-0.0027278-0.0036655i,0.0013283+3.5834e-05i,0.0070434-0.0029839i,0.0013064-0.0030991i,-0.0016004+0.0024412i,-0.0094568+0.016098i,-0.006489+0.058532i,-0.014061-0.036514i,-0.025743-0.019727i,-0.029813-0.0047394i,-0.020537-0.001613i,0.032234-0.034727i,0.0077199-0.04476i,0.016058-0.037515i,-0.013504-0.030663i,0.015006-0.018194i,0.011242-0.0034474i,0.0092771-0.041552i,0.00028209-0.0011509i,-0.0011442-0.016918i,-0.0020503-0.0061772i,-0.023487-0.03083i,-0.0018397+0.02478i,0.0032693-0.01491i,-0.01094-0.0012528i,-0.00099045-0.00089342i,-0.007176-0.014724i,-0.0074119+0.0098722i,0.0087296+0.0054918i,0.016278+0.021914i,0.0016616-0.0013525i,-0.0074955-0.00072986i,-0.0082652-0.0056477i,-0.018942+0.0007505i,-0.0019264-0.0043835i,-0.033342+0.019665i,-0.0080749-0.003504i,-0.012264+0.0035595i,-0.013548-0.00019623i,-0.0010854-0.0056835i,-0.01079+0.0070651i,-0.00020967-0.0025149i,0.0030978-6.9224e-05i,-0.00022167-0.0057221i,-0.017569+3.1614e-06i,0.008437+0.0035284i,-0.010678+0.011702i,0.0051352-0.0026563i,-0.018019+0.0043039i,-0.017902+0.00063486i,-0.020899-0.031544i,0.015751-0.017285i,-0.044107-0.0078628i,-0.0018133-0.0024441i,0.019113+0.0088332i,-0.014638+0.022673i,-0.011584-0.0085432i
-0.024055+0.0033779i,-0.015497+0.00027743i,-0.016211-0.014148i,-0.036954+0.0039271i,-0.02537+0.0037276i,-0.036488+0.012456i,-0.078168-0.0078765i,-0.036219-0.0043975i,-0.01723+0.009717i,0.0037246+0.0027759i,-0.0052996+0.0085572i,0.0073725+0.016432i,0.0084736+0.0010206i,-0.0023047+0.0084566i,0.0045411+0.0013154i,0.011585+0.014333i,0.024222+0.0054622i,0.0033252-0.00040837i,-0.0010641-0.0020022i,0.0055152-0.0046473i,0.0013876-0.0021099i,0.0028465+0.0016685i,0.00072409-0.0012891i,-0.0071437+0.010369i,-0.0063872+0.0010031i,0.0044792-0.0015341i,0.00028466-0.0010929i,0.0009446+0.001765i,0.0005534+0.00010108i,-0.002427+0.00047752i,-0.0022422+0.0015394i,-0.0097355-0.002568i,-0.0022532-0.0021165i,-0.00023703-0.00013385i,-0.00027426-0.0024771i,0.010678+0.01443i,0.00056077-0.0051698i,-0.0025446-0.0027838i,0.0012145-0.0051076i,-0.0038184-0.0026734i,0.0016085-0.00031628i,0.0048337-0.0054328i,0.00095792-0.0024813i,-0.0012362+0.0034723i,-0.0060863+0.01527i,0.011561+0.056698i,-0.021862-0.032124i,-0.033701-0.0090545i,-0.016132-0.0031337i,-0.013746-0.0043473i,0.021948-0.050757i,-0.0073094-0.058346i,0.021646-0.043287i,-0.019399-0.025311i,0.011379-0.01768i,0.0076477-0.0068007i,0.0011436-0.038514i,0.0078315-0.0052679i,-0.011085-0.015323i,-0.0029054-0.0089104i,-0.038782-0.016998i,0.0050846+0.020897i,-0.0043743-0.015249i,-0.0081489+0.0023801i,-0.0024524-0.0012967i,-0.014505-0.01083i,-0.00057306+0.013206i,0.013393-0.0006301i,0.023251+0.0078019i,0.00088876-0.0018306i,-0.0072767+0.00015789i,-0.010359-0.0021009i,-0.016623+0.010107i,-0.0066481-0.0028139i,-0.029124+0.029471i,-0.0078021+0.00036397i,-0.010273+0.008715i,-0.014126+0.0078552i,-0.007518-0.0040121i,-0.0084259+0.0088035i,-0.0024595-0.0020098i,-0.0011276-0.00052393i,-0.0026697-0.0052321i,-0.010838+0.0087853i,0.0070404-0.0018366i,-0.0058653+0.013005i,0.0019224-0.006931i,-0.014179+0.0086347i,-0.016056+0.0054402i,-0.023597-0.026785i,0.0084998-0.01983i,-0.042673+0.0028185i,-0.0077365-0.011323i,0.018923+0.0014415i,-0.0036513+0.021095i,-0.013691-0.0062432i
-0.023206+0.0061755i,-0.015801-0.0019106i,-0.019881-0.014481i,-0.034228+0.010303i,-0.025767+0.0048554i,-0.032912+0.020632i,-0.074185+0.016762i,-0.036493+0.0047511i,-0.014277+0.013823i,0.0035517+0.0028134i,-0.0021628+0.010589i,0.0098925+0.01137i,0.0073122-0.0022537i,0.00071902+0.010745i,0.0040885+0.00014895i,0.0099042+0.0079751i,0.023102-0.0064443i,0.0028295-0.001675i,-0.0017115-0.00019107i,0.0032224-0.0055415i,0.0013137-0.0015343i,0.003938+0.0007831i,-1.3085e-06-0.0014875i,0.0016454+0.014957i,-0.004906+0.00281i,0.0012533-0.0036554i,0.00054343-0.0015815i,0.00097161+0.00069527i,0.0008327+1.5131e-05i,-0.0023863+0.0011085i,-0.001108+0.0021632i,-0.008965+0.000878i,-0.0094054-0.0037459i,-7.2974e-05-0.00033309i,-0.0020466-0.0021337i,0.011694+0.0097687i,-0.0013675-0.0053846i,-0.0028863-0.0017529i,-0.0013364-0.0049218i,-0.0030389-0.0010931i,0.0015102-0.001047i,0.001567-0.005769i,0.00022478-0.0024589i,-0.00053282+0.0029015i,-0.0029003+0.014339i,0.027884+0.04853i,-0.028282-0.024309i,-0.032203+0.0037592i,-0.010494-0.0070116i,-0.011715-0.0047738i,0.0029168-0.065161i,-0.026855-0.056951i,0.016942-0.060413i,-0.021207-0.021483i,0.007169-0.015776i,0.0031774-0.010585i,-0.012204-0.035564i,0.0038663-0.014344i,-0.014771-0.009409i,-0.0089983-0.011749i,-0.043056+0.0050318i,0.013522+0.01465i,-0.010107-0.012528i,-0.0052522+0.0031856i,-0.0032141-0.00018204i,-0.018492-0.0043254i,0.0065907+0.0090002i,0.013463-0.0079638i,0.021221-0.0057004i,-0.00013505-0.0025757i,-0.0083194+0.0011881i,-0.011468+0.0029625i,-0.010704+0.018349i,-0.0076842+0.001995i,-0.018599+0.036529i,-0.0068946+0.0024963i,-0.0043485+0.011684i,-0.0076646+0.014535i,-0.010329+0.0017649i,-0.0038742+0.0097135i,-0.0032028-0.0016333i,-0.0031782+0.0019093i,-0.0058127-0.0041265i,-0.0063372+0.0074768i,0.0013101-0.0055816i,-0.0023986+0.014919i,-0.0031702-0.0062916i,-0.0091125+0.011618i,-0.01376+0.0063417i,-0.0253-0.023643i,0.008659-0.018198i,-0.036857+0.016414i,-0.015931-0.011377i,0.018142-0.0044315i,0.004993+0.01524i,-0.012691-0.0027505i
-0.022+0.011667i,-0.018886-0.00088795i,-0.026248-0.012486i,-0.030373+0.015105i,-0.027604+0.0067256i,-0.026921+0.027022i,-0.057415+0.03092i,-0.031755+0.012058i,-0.0085976+0.015504i,0.0037639+0.0025984i,0.0013066+0.009714i,0.011317+0.0079444i,0.0050169-0.0041027i,0.0053686+0.010471i,0.0033069-0.00074418i,0.0074368+0.0075261i,0.013121-0.013263i,0.0002876-0.0030529i,0.00035891+0.0029188i,-3.1999e-05-0.0056274i,0.001538-0.0005327i,0.0034787-0.00096509i,-0.00081742-0.0010691i,0.013941+0.0083499i,-0.0031316+0.0045538i,0.0006476-0.0033258i,-0.00043748-0.0012959i,0.0016627+0.00083481i,0.0010104-0.00055604i,-0.0016822+0.0021722i,0.00029105+0.0021337i,-0.0068906+0.0043516i,-0.0073503+0.0018536i,-0.00043565-0.00055122i,-0.002172-0.00083621i,0.013633+0.0068312i,-0.0031845-0.0041882i,-0.0034594-0.00068961i,-0.0025242-0.0031868i,-0.0021894-0.0023484i,0.00047415-0.0017958i,-0.00025128-0.0043i,0.00014177-0.0017425i,-0.0011057+0.0033545i,-0.0015105+0.011804i,0.040671+0.034612i,-0.027082-0.013395i,-0.025959+0.014695i,-0.0069329-0.012194i,-0.0094086-0.004173i,-0.02487-0.068416i,-0.041009-0.047463i,-0.0021272-0.069662i,-0.026511-0.013753i,0.0059473-0.012135i,-0.0019933-0.010732i,-0.024024-0.026905i,-0.0042586-0.016777i,-0.016743-0.0054352i,-0.018363-0.0071664i,-0.036941+0.021423i,0.014739+0.0044359i,-0.016089-0.0072172i,-0.004262+0.0040286i,-0.0033897+0.0018295i,-0.018188+0.0041596i,0.0057351+0.0035843i,0.010617-0.013237i,0.01771-0.016675i,-0.0012444-0.0030645i,-0.010004+0.0049839i,-0.008782+0.0075944i,-0.0022736+0.020742i,-0.0064752+0.0062577i,-0.013057+0.043862i,-0.0066939+0.0040064i,-0.00015531+0.0098531i,9.3315e-05+0.015712i,-0.010763+0.0070016i,-0.0018256+0.0063575i,-0.0041367-0.00082166i,-0.0025648+0.0055845i,-0.0095382-0.0010425i,-0.00569+0.0048012i,-0.0036055-0.0029197i,0.0039451+0.015589i,-0.0064397-0.0039765i,-0.0027736+0.012254i,-0.013927+0.0089505i,-0.030268-0.017852i,0.012727-0.024852i,-0.026219+0.030385i,-0.021746-0.0034733i,0.013511-0.010632i,0.0067974+0.0072442i,-0.011571-0.0031943i
-0.017204+0.015112i,-0.018615+0.0017021i,-0.03115-0.0054788i,-0.026852+0.018713i,-0.029857+0.011584i,-0.018606+0.030827i,-0.042077+0.03575i,-0.026062+0.016085i,-0.0044258+0.014927i,0.0035105+0.0027062i,0.0028183+0.0087084i,0.0123+0.0030307i,0.0026876-0.0049442i,0.0096594+0.0068587i,0.0026029-0.0010587i,0.0079262+0.0082507i,0.0052345-0.012578i,-0.00080743-0.0031739i,0.0031965+0.0019402i,-0.0010881-0.0041807i,0.0021588-0.0019456i,0.0025335-0.0019364i,-0.00081632-0.00032524i,0.015064-0.0024851i,-1.3766e-06+0.0051454i,-0.00025541-0.0015219i,-0.00051837+0.0021691i,0.0023369-0.00050124i,0.00057674-0.0013161i,0.00011986+0.0026938i,0.0016442+0.0011381i,-0.0043498+0.0058756i,-0.0061764+0.0037692i,-0.00057955-0.00013603i,-0.0016635-0.00021324i,0.015133+0.0025581i,-0.00457-0.0025241i,-0.0039234+0.00031463i,-0.0033505-0.0022273i,-0.0039193-0.0036063i,-1.265e-05-0.0013304i,-0.0010682-0.0030427i,-0.00016457-0.0013498i,-0.00042885+0.0041496i,-0.0015651+0.01072i,0.038445+0.015467i,-0.017943-0.0075088i,-0.016891+0.0225i,-0.0058939-0.01498i,-0.0062689-0.0070518i,-0.049254-0.052839i,-0.052536-0.03316i,-0.020374-0.06497i,-0.021029+0.0014589i,0.011096-0.0091632i,-0.0054557-0.0087117i,-0.026999-0.011433i,-0.011207-0.016631i,-0.020521+0.00045i,-0.017731+0.0019179i,-0.025492+0.036051i,0.012206-0.0014968i,-0.014689+0.0028171i,-0.0049343+0.0045839i,-0.00035843+0.0035007i,-0.01388+0.011358i,0.0055841+0.0044727i,0.0047155-0.023139i,0.0059249-0.02802i,-0.0053144-0.0038906i,-0.0092943+0.010511i,-0.0065761+0.0098185i,0.0071342+0.019915i,-0.0028384+0.0087641i,0.0043938+0.051869i,-0.0060291+0.0052091i,0.0012235+0.0094178i,0.0061928+0.012594i,-0.0063199+0.014355i,-0.001758+0.0073279i,-0.0062971+0.0015237i,0.0012194+0.0077137i,-0.0090805+0.0073487i,-0.0066156+0.0056188i,-0.0028331+0.0029753i,0.0080713+0.011901i,-0.0083553-0.0023962i,0.00078365+0.0076317i,-0.0099929+0.012664i,-0.027686-0.0053094i,0.0049377-0.040045i,-0.0026077+0.033222i,-0.018172+0.0037962i,0.012288-0.018366i,0.006718-0.00093498i,-0.010358+9.7782e-05i
-0.013123+0.017253i,-0.021365+0.0014747i,-0.033726+0.0031476i,-0.022612+0.022481i,-0.029054+0.018568i,-0.010935+0.031257i,-0.029946+0.036015i,-0.021283+0.017906i,-0.0019762+0.014042i,0.0049545+0.0022651i,0.0063144+0.008037i,0.0086347-0.0014722i,2.7387e-05-0.0042452i,0.010969+0.0012657i,0.0021785-0.0013617i,0.0093425+0.0080764i,-0.0005778-0.0099227i,-0.0021582-0.0031786i,0.0032064-0.00076789i,-0.0014942-0.0029482i,0.0016027-0.0032552i,0.0025552-0.0019969i,-0.00057701+5.1536e-05i,0.010298-0.0092337i,0.0035105+0.0033806i,-0.0012083-0.0010912i,0.0020413-0.00060373i,0.0016692-0.0020261i,-5.969e-05-0.0010884i,0.0013327+0.0016411i,0.0017674-0.00036548i,-0.0014957+0.0068713i,-0.0025728+0.0045585i,-0.00048131+7.8709e-05i,-0.0020815-0.00019546i,0.014454-0.0025601i,-0.0040218+2.9344e-05i,-0.0033859+0.0018706i,-0.0039451-0.00034667i,-0.0069268-0.0013355i,-0.00072365-0.001249i,-0.00085178-0.0033316i,5.5867e-05-0.0011565i,0.0002599+0.0030726i,-0.0010451+0.010991i,0.03226+0.012991i,-0.01437-0.010649i,-6.2007e-05+0.02501i,-0.0048263-0.01676i,-0.010877-0.012075i,-0.058856-0.032643i,-0.051095-0.01352i,-0.038296-0.057121i,-0.0079765+0.0050215i,0.013977-0.022272i,-0.0066488-0.0058038i,-0.02243-0.00575i,-0.022108-0.011162i,-0.015345+0.01077i,-0.015093+0.0060308i,-0.0034421+0.037691i,0.010282-0.0044734i,-0.012959+0.004847i,-0.0023335+0.0041862i,-0.0011866+0.00066325i,-0.0065039+0.015145i,0.0087711+0.0016043i,-0.011271-0.023364i,-0.015376-0.02153i,-0.0057908+0.0023795i,-0.0037378+0.013857i,-0.0012186+0.011336i,0.014206+0.012405i,0.00096258+0.0090487i,0.029084+0.045615i,-0.0031813+0.006964i,0.0031539+0.0089867i,0.0099294+0.0077296i,0.0028639+0.016632i,-0.003458+0.0077155i,-0.0060462+0.0074004i,0.006311+0.0076539i,-0.0038498+0.011985i,-0.0066947+0.0081298i,-0.00085046+0.0041976i,0.0094405+0.0072993i,-0.0094254+0.00083761i,0.0023107+0.0032661i,-0.005631+0.012784i,-0.020699-0.00050257i,-0.017347-0.042349i,0.014066+0.019342i,-0.015668+0.0059467i,0.0034139-0.027808i,0.0011622-0.0060766i,-0.0043369-0.0014918i
-0.0081818+0.018292i,-0.023959+0.0082293i,-0.03241+0.012404i,-0.016487+0.024864i,-0.02439+0.024883i,-0.0051791+0.030372i,-0.020817+0.033544i,-0.016969+0.019208i,0.0010528+0.014042i,0.006033+0.00071871i,0.0084624+0.0031276i,0.0046978-0.0011374i,-0.0010451-0.0023802i,0.0089019-0.0020478i,0.0016058-0.0018055i,0.012079+0.006136i,-0.0023656-0.0054487i,-0.0032902-0.0017598i,0.0014851-0.0014715i,-0.0020274-0.0024475i,-0.00052001-0.0033503i,0.0017766-0.0028409i,-0.0005533+0.00036482i,0.0041016-0.01239i,0.0032909-0.00024423i,-0.00082573-0.00094587i,0.0014745-0.0032421i,0.00010625-0.0019466i,0.00015899-0.00099398i,0.0011785+0.00067586i,0.0010761-0.0014764i,0.0016542+0.0059751i,-0.004425+0.0047561i,-0.00011265+0.00016133i,-0.0018039+0.0010594i,0.011359-0.0074986i,-0.0026919+0.00072867i,-0.0016015+0.0030475i,-0.00302+0.0007166i,-0.0063767+0.0016516i,-0.0013877-0.00052053i,-0.0017348-0.0029826i,-0.00019297-0.0012241i,-0.00039185+0.0023208i,4.4318e-05+0.012428i,0.03759+0.015159i,-0.015252-0.014259i,0.013707+0.018161i,-0.0052104-0.021676i,-0.014108-0.0076576i,-0.064611-0.015353i,-0.040697-0.0018462i,-0.012527+0.0086152i,0.00055822-0.00027179i,0.0058508-0.031794i,-0.0069731-0.0048455i,-0.019338-0.0017704i,-0.027228+0.0016262i,-0.0088143+0.012261i,-0.01038+0.010395i,0.012501+0.02787i,0.012014-0.0065293i,-0.011873+0.010326i,-0.0028357+0.001978i,-0.0012468+0.0023163i,0.0016643+0.012302i,0.0068932-0.004404i,-0.023279-0.012305i,-0.023116-0.0070697i,-0.00049252+0.0057223i,0.0028403+0.013456i,0.003107+0.010233i,0.018324+0.0054556i,0.0067165+0.0075219i,0.045411+0.027514i,-0.00080911+0.0062379i,0.005595+0.0088779i,0.0098728+0.001843i,0.011196+0.010487i,-0.0034042+0.014603i,-0.00067862+0.012451i,0.010545+0.0027405i,0.0042543+0.011655i,-0.0060701+0.013078i,0.00058652+0.0041229i,0.0094352+0.0045423i,-0.0090903+0.0049679i,0.00037525+0.00031562i,-0.0037411+0.011966i,-0.012308+0.0011351i,-0.031587-0.026091i,0.016651+0.00062376i,-0.0048728+0.010046i,-0.0085495-0.031469i,-0.0074909-0.0061851i,-0.0067991-0.0080117i
-0.0038224+0.017408i,-0.019836+0.015723i,-0.027027+0.020745i,-0.011346+0.025514i,-0.018514+0.028499i,0.00011821+0.028986i,-0.014542+0.029694i,-0.013581+0.019358i,0.0047504+0.013167i,0.0055891-0.0014787i,0.0064577-0.00056258i,0.0045849+0.00029413i,-0.00079297-0.00099713i,0.0066419-0.0041501i,0.00093755-0.0017416i,0.014285+0.0021173i,-0.0010959-0.0022672i,-0.0028795+0.00029867i,0.00064124-0.00084169i,-0.0029002-0.0012923i,-0.0012941-0.0020485i,0.00036481-0.0026946i,-0.00011712+0.00082834i,-0.0011064-0.011026i,0.0014169-0.0010232i,-0.00084998-0.0015458i,-0.00074963-0.0038831i,-0.00069285-0.001745i,-0.00023654-0.0013675i,0.001218+0.00032309i,-3.2371e-05-0.0023991i,0.003816+0.0039627i,0.0016783-0.00058107i,0.00018688+0.00010932i,-0.001029+0.00051958i,0.0075455-0.010196i,-0.001707+0.00077081i,-0.00016233+0.0030171i,-0.0031903+0.0013325i,-0.005284+0.0035605i,-0.0013063+0.00039928i,-0.0028356-0.0021617i,-0.00027519-0.00105i,-0.0017244+0.0031706i,0.0028029+0.013887i,0.051+0.0097001i,-0.020184-0.014829i,0.022272+0.0065456i,-0.009186-0.021576i,-0.014174-0.0047848i,-0.063554+0.0054031i,-0.032663+0.0016458i,-0.049608-0.0089477i,0.0044001-0.0051271i,-0.0047162-0.036391i,-0.0085662-0.0039749i,-0.018029-0.0019379i,-0.020055+0.014328i,-0.0045667+0.012543i,-0.0018598+0.0094012i,0.016091+0.013475i,0.0012036-0.011531i,-0.007391+0.013539i,-0.004069+0.0023119i,-3.6865e-05+0.0016529i,0.0033459+0.0069843i,0.00055781-0.004385i,-0.024826+0.0023502i,-0.021239+0.0049147i,0.0039734+0.0037318i,0.0064597+0.01197i,0.0048819+0.0078821i,0.015708-0.0057127i,0.0076334+0.0016188i,0.049187+0.0054186i,-0.0001931+0.0076082i,0.008856+0.0053396i,0.0074726-0.0013222i,0.012257+0.004305i,0.0041521+0.018211i,0.0074189+0.0094637i,0.0091985-0.0017383i,0.0087489+0.0061924i,0.00035755+0.018034i,0.001364+0.0059532i,0.0087159+0.0029138i,-0.0084829+0.0089776i,-0.0044843+0.00077913i,-0.0022001+0.012239i,-0.0046713-0.002942i,-0.03027-0.011666i,0.0075889-0.0093744i,0.0014533+0.0023041i,-0.022529-0.02764i,-0.011049+0.0019713i,-0.013086-0.0059412i
-0.00087232+0.01584i,-0.013523+0.018701i,-0.018808+0.026169i,-0.0073351+0.025428i,-0.01204+0.030684i,0.0047103+0.026776i,-0.011904+0.025999i,-0.011073+0.019835i,0.0077896+0.01071i,0.0044106-0.0026146i,0.0036512-0.0011421i,0.0052395+0.00041577i,0.0002261-0.00077071i,0.0040735-0.0052037i,0.00077217-0.0015597i,0.012221-0.0024525i,0.0004101-0.0026065i,-0.0021945+0.0017201i,0.00033916-0.00095769i,-0.0024663+0.00057608i,-0.0012947-0.0015962i,-0.00070211-0.0015753i,0.00048419+0.00092358i,-0.0039553-0.008899i,0.00075107-0.0011327i,-0.001809-0.0012496i,-0.0024347-0.0031503i,-0.0013569-0.0013377i,-0.00098173-0.001279i,0.00113-0.00034727i,-0.0017352-0.0021598i,0.0045941+0.00079229i,0.0037018-0.0010567i,0.00030837-0.00028756i,-0.0012701+0.00050134i,0.0016794-0.0097406i,-0.0018415+0.00011018i,0.0010634+0.0024325i,-0.0024962+0.0028454i,-0.0036592+0.0055994i,-0.00081258+0.00085819i,-0.0028705-0.00059464i,-0.00041016-0.0012456i,-0.00066519+0.00568i,0.0072544+0.0137i,0.062934-0.0098446i,-0.026338-0.01059i,0.023559-0.005361i,-0.0081633-0.022273i,-0.014412-0.0023155i,-0.052875+0.020591i,-0.026563+0.0049953i,-0.036889+0.0027165i,0.0054426-0.012573i,-0.018127-0.036479i,-0.0091234-0.0021054i,-0.020306-0.0013755i,-0.010554+0.017734i,-0.0018486+0.010916i,0.00156+0.0024988i,0.011363+0.0038794i,-0.0042953-0.011375i,-0.0028945+0.013835i,-0.0043432+0.0054654i,-0.0011164+7.9758e-05i,0.004476+0.0029225i,-0.0007754+0.00034768i,-0.018938+0.013798i,-0.014113+0.013521i,0.0040338+0.0011219i,0.011519+0.0090757i,0.0063867+0.006273i,0.0076971-0.01025i,0.0050603-0.001536i,0.04495-0.011716i,0.0031174+0.0079854i,0.0082178+0.0017653i,0.0049472-0.0023159i,0.012124+0.0013869i,0.01333+0.017161i,0.0092067+0.0036745i,0.0078849-0.0040749i,0.0083047+0.0012344i,0.0085722+0.017749i,0.0036526+0.0049992i,0.0095025-0.00037145i,-0.0029468+0.013897i,-0.0044836+0.0040001i,0.00017061+0.012729i,-0.0036282-0.01107i,-0.024412-0.0066762i,0.0015259-0.014165i,-0.00011428-0.0052189i,-0.031803-0.01857i,-0.007182+0.0048034i,-0.013708-0.0026642i
0.0013828+0.01464i,-0.0069493+0.018654i,-0.0098089+0.02769i,-0.0028203+0.025662i,-0.0051677+0.030595i,0.0083485+0.024308i,-0.010406+0.024437i,-0.008104+0.020836i,0.0097356+0.0077358i,0.0034182-0.0033202i,0.002593-0.00060217i,0.0062847-0.0010414i,0.0004032-0.0012079i,0.0016811-0.0044315i,0.00036972-0.0017531i,0.0097101-0.0048373i,-0.00036153-0.0041273i,-0.0015351+0.002998i,-8.5846e-05-0.00043759i,-0.001312+0.0014513i,-0.0017914-0.00081362i,-0.00043854-0.0003478i,0.0010022+0.00067352i,-0.0064795-0.0069158i,4.3023e-05-0.00091529i,-0.0023586-0.00033559i,-0.0035773-0.0017024i,-0.0016999-0.00063264i,-0.001585-0.00049317i,0.00034106-0.00080442i,-0.0026891-0.00085293i,0.0034525-0.0011326i,0.0028605-0.0022386i,0.0002745-0.00074548i,-0.00144+0.00058796i,-0.00067098-0.0063536i,-0.0021148+0.0007376i,0.0018656+0.0013364i,-0.0010473+0.0035246i,-0.00072134+0.0069952i,-0.00045797+0.0011509i,-0.0021333+0.0004089i,-0.00081154-0.0014734i,0.0017283+0.0054306i,0.011327+0.011155i,0.058626-0.035773i,-0.028553-0.0026978i,0.023634-0.015468i,-0.0095811-0.028461i,-0.013418+0.00017933i,-0.041913+0.028901i,-0.020802+0.0046138i,-0.026557+0.0064699i,0.0015996-0.017123i,-0.030142-0.030724i,-0.010033-0.00027748i,-0.025387+0.0019587i,-0.0025623+0.016533i,0.0009819+0.0054777i,-0.00059187-0.0030091i,0.0049789+0.00091859i,-0.010232-0.0093545i,0.00091342+0.012916i,-0.0021997+0.006789i,-0.0027543+0.0013844i,0.0016741+0.0041736i,0.0012517+0.0023566i,-0.010179+0.018443i,-0.0048413+0.017629i,0.0049271-0.00063101i,0.014626+0.0024805i,0.0075475+0.0045767i,0.0012532-0.0098508i,0.0027827-0.0022008i,0.034634-0.024743i,0.0065764+0.0069182i,0.0073449+0.00044438i,0.0023015-0.0026199i,0.011785-0.004768i,0.020008+0.010026i,0.0075503-0.00098145i,0.0057667-0.0065179i,0.0067131-0.0020043i,0.014012+0.011886i,0.0045586+0.0048102i,0.0065625-0.0036783i,0.0045791+0.013742i,-0.0023255+0.0045121i,0.0045312+0.012291i,-0.0087171-0.014982i,-0.020292-0.0022997i,-0.0030735-0.016355i,-0.0052118-0.0073219i,-0.038041-0.0065841i,-0.0058962+0.0044271i,-0.012949+4.7437e-06i
