-0.026089-0.044825i,-0.021118-0.023084i,-0.013192-0.038109i,-0.029704-0.021071i,-0.025221-0.0020476i,-0.013557-0.0037494i,-0.051784-0.053854i,-0.048235-0.017004i,-0.038007-0.014639i,0.01046+0.014253i,-0.0088322+0.005411i,-0.019767+0.019219i,0.0022855+0.012847i,-0.0036612-0.0024035i,0.0010614+0.0010775i,-8.0927e-05+0.027994i,0.026116+0.025401i,0.0028503-0.0023474i,-0.0020642-0.0071939i,0.0068759+0.00289i,0.0027493+0.0007763i,0.00059217+0.0033212i,-0.00058681+3.0395e-05i,-0.035455-0.011144i,9.5837e-05-0.0076222i,0.0016141+0.002373i,0.0058739+0.0006659i,0.0020004+0.00038288i,0.0012917-0.00038875i,-0.00035909-0.0026679i,0.0017053-0.0021396i,-0.0023162-0.0055332i,-0.00074387-0.0043802i,0.0031132-0.00082525i,0.0045995-0.0030707i,0.0031903+0.029097i,0.0040093-0.0034933i,0.0029594-0.0018026i,0.0083426-0.0010113i,-0.0057381-0.0032003i,-0.00027536+0.00067519i,0.0097057+0.00038039i,0.0049548-0.0016866i,-0.002916+0.0090079i,-0.016225-0.010122i,-0.017944+0.014963i,0.0014021-0.062944i,-0.0044195-0.027146i,-0.02499-0.034528i,-0.0090787-0.02786i,0.051256-0.024548i,0.016696-0.043623i,0.025336-0.047377i,0.0087008-0.054861i,0.028044-0.019961i,0.0086558+0.0068866i,0.0278-0.032148i,-0.0087471-0.0060066i,0.0032295-0.0037007i,-0.0050505-0.0069656i,-0.0013358-0.032321i,-0.020825+0.029308i,0.0095008-0.012067i,-0.0092504-0.0038068i,-0.0041713-0.001989i,0.00035614-0.012656i,-0.011179+0.0039393i,0.0025018+0.010759i,-0.0046927+0.026821i,0.0048005+0.002631i,-0.0052911-0.0018578i,-0.0020521-0.0024144i,-0.012532-0.0080849i,-0.00033496-0.0045359i,-0.037679+0.00042665i,0.0018576-0.011034i,-0.0083831+8.7932e-06i,-0.00735-0.0024076i,0.0049286+0.0010509i,-0.0080492-0.00072969i,0.0021796+0.00020544i,0.0039422+0.0068829i,0.0042844+0.00049922i,-0.0083161-0.014576i,0.0025583+0.0099273i,-0.015354+0.0035761i,0.0071719+0.00017772i,-0.023715-0.0014145i,-0.018809+0.0062921i,-0.0065222-0.070946i,0.0079211-0.012881i,-0.047033-0.024819i,-0.020208-0.0015888i,0.016353+0.013402i,-0.023851+0.013634i,-0.019944-0.0075984i
-0.047871+0.027323i,-0.019919+0.020165i,-0.022043+0.042565i,-0.028188+0.013889i,-0.0047461+0.023655i,-5.2341e-05+0.0083202i,-0.028728+0.023354i,-0.0023269+0.029817i,0.005966+0.019973i,-0.0064282-0.0075966i,0.003273+0.0040494i,0.007792-0.00016825i,0.0052146-0.00060043i,-0.0011118+0.0021674i,-0.00015731+0.0019721i,0.0051406-0.0048312i,-0.0062927-0.00050478i,-0.0032512-0.00013019i,0.0050808-0.0011223i,-0.00020927-0.0011651i,0.0021355-0.0047788i,0.0012726-0.0028691i,0.0015667-0.0025999i,-0.0084323-0.011061i,-0.0011936+0.0029326i,-0.0015524+0.00022674i,-0.0038083-0.00087162i,-0.0027943+0.000141i,-0.00038375-0.0015132i,-0.00020692-0.00023107i,-0.001019+0.0047244i,0.00059648+0.0014515i,0.0016301+0.00095593i,-0.00062611+0.00080973i,-0.0030509+0.0035299i,-0.0015042-0.0068153i,-0.0029195+0.00059984i,0.00085731-0.00082724i,-0.0019961+0.0036586i,0.0037172+0.0028025i,-0.0003246-0.0014354i,-0.00081657-0.0029294i,-0.0039123-0.00058151i,0.0047737+0.0010731i,-0.020989+0.023645i,0.0063674-0.039857i,-0.058045+0.00052147i,0.0086092-0.032552i,-0.03188-0.051335i,-0.029689-0.021474i,-0.064589+0.019721i,-0.039534+0.0011559i,-0.034855-0.0096673i,-0.027282-0.025184i,-0.039575-0.025526i,-0.0054104+0.0029365i,-0.029441+0.0089293i,0.0061674+0.019054i,0.002768+0.008249i,-0.0029049-0.0051588i,0.0023459+0.001482i,-0.015336-0.0055725i,0.0049612+0.012549i,-0.0011891+0.0063214i,-0.0016261-0.0012797i,0.0010238+0.0025634i,0.0039643-0.00056164i,-0.0043465+0.01789i,0.0017769+0.015171i,0.0039695+0.00061608i,0.0097309-0.0064414i,0.0044148+0.0031594i,-0.0089739-0.007453i,-0.00094396-0.0029818i,0.028163-0.033685i,0.007839+0.010285i,0.0054467+0.0025089i,-0.0027531+0.0027291i,0.0035849-0.0056279i,0.021208+0.010134i,0.003262+0.0028429i,3.2666e-05-0.0068202i,0.0013803-0.0029683i,0.012654+0.0087802i,0.0049181+0.001414i,0.0029865-0.0050406i,0.0035477+0.0093146i,8.3312e-05+0.00078148i,0.0098154+0.003108i,-0.047179-0.017706i,-0.0066585+0.012842i,-0.002475-0.0037832i,-0.0078076+0.0042629i,-0.038457+0.0096141i,-0.0060826+0.0073526i,-0.01108+0.013536i
-0.042744+0.034421i,-0.016522+0.020325i,-0.011756+0.038528i,-0.025163+0.017225i,-0.0014294+0.021647i,0.0014404+0.0081986i,-0.025682+0.027944i,0.0033539+0.028674i,0.0088983+0.01474i,-0.0081379-0.0041837i,0.0047072+0.0042785i,0.0069111-0.0027257i,0.0046845-0.002463i,0.00069968+0.002898i,0.00016761+0.0021721i,0.0012911-0.0041192i,-0.007353+0.0029787i,-0.002704+0.0010364i,0.0051675-0.0022951i,-2.5951e-05-0.0010807i,0.00079257-0.0047183i,0.00097197-0.0025152i,0.00086858-0.0027545i,-0.010125-0.0078965i,0.00043004+0.0023732i,-0.0015381+0.0006441i,-0.0032625+0.00081204i,-0.001985+0.00089085i,-0.0021857-0.0021232i,0.00010232-0.00010496i,0.00062582+0.0047919i,0.00052117+0.0015048i,0.0014947-7.5079e-05i,-0.0007074+0.0010061i,-0.0026297+0.0038797i,-0.0015518-0.0058706i,-0.0023232+0.0013507i,-0.00027934-0.001343i,-0.0013222+0.0045714i,0.0033767+0.00047782i,-0.00057336-0.0012895i,-0.0023172-0.0026424i,-0.0041601+0.00065876i,0.0051108-0.0001472i,-0.016889+0.023468i,-0.007827-0.045246i,-0.051398+0.012266i,-0.00089328-0.040388i,-0.046489-0.045639i,-0.030843-0.014684i,-0.053081+0.032024i,-0.036537+0.0099258i,-0.025334-0.011497i,-0.030015-0.021295i,-0.045766-0.010364i,-0.0045947+0.0027582i,-0.025433+0.021445i,0.011119+0.013451i,0.005367+0.0046422i,-0.0085217-0.0086526i,-0.00085406+0.0033857i,-0.01301+0.0030525i,0.010316+0.0091242i,-0.00075699+0.0084679i,-0.0018692+0.00023069i,0.0022193+0.0038838i,0.0041934-0.0011459i,0.0042131+0.015017i,0.007805+0.0092739i,0.00021047-0.0028941i,0.0032478-0.0079099i,0.0047635+0.002738i,-0.0121+0.0012262i,-0.0026056-0.0010313i,0.011921-0.036232i,0.011888+0.007892i,0.0068715-0.00015018i,0.00073987+0.0027179i,-0.00053484-0.0033579i,0.023161-0.00056644i,0.0033568+0.0012614i,-0.0034508-0.005216i,-0.0025586-0.0020634i,0.013104+0.0012051i,0.0048466+0.0015594i,0.00092074-0.0036111i,0.0065082+0.0082651i,1.155e-05+0.0015036i,0.01031-0.00052592i,-0.050116-0.013273i,0.00036521-0.0014334i,-0.0013104-0.0032586i,-0.006429+0.0048762i,-0.032721+0.021787i,-0.0039394+0.0084644i,-0.00040405+0.020733i
-0.036089+0.040516i,-0.014056+0.020782i,-0.0067889+0.032482i,-0.022038+0.020249i,0.0021858+0.020684i,0.0031714+0.00752i,-0.020719+0.032561i,0.0085867+0.026024i,0.0089435+0.010699i,-0.0086472-0.00047654i,0.0068231+0.0033595i,0.0029228-0.0038536i,0.0033832-0.003384i,0.0016701+0.0025532i,0.00063541+0.0023299i,-0.0014921-0.0014526i,-0.0059887+0.0070545i,-0.0011901+0.0016512i,0.0047902-0.0046968i,0.0002187-0.0015663i,-0.00059435-0.0044756i,0.0010038-0.002792i,0.00031168-0.0028262i,-0.011992-0.0057025i,0.0010823+0.0017796i,-0.0009929+0.0014079i,-0.0020729+0.0010927i,-0.00083075+0.0013036i,-0.001637-0.0010668i,5.5972e-05-0.00054786i,0.0023013+0.0040399i,0.00072867+0.0016882i,0.0011102-0.00042179i,-0.00042663+0.00094735i,-0.00088033+0.0048618i,-0.0011272-0.0059647i,-0.0021833+0.0017387i,-0.0012542-0.0011642i,0.0021984+0.0032289i,0.0024884-0.00056703i,-0.00087059-0.0008691i,-0.0018308-0.0012341i,-0.0039718+0.0018362i,0.0046541-0.0021722i,-0.014081+0.023776i,-0.024523-0.042945i,-0.041163+0.019033i,-0.013137-0.042634i,-0.055139-0.035952i,-0.027845-0.0084877i,-0.037448+0.038256i,-0.025388+0.015678i,-0.026803-0.015713i,-0.031848-0.017556i,-0.044672+0.0050658i,-0.0037763+0.0029112i,-0.013718+0.029606i,0.013077+0.0076708i,0.0036352-0.00043098i,-0.018262-0.0051064i,-0.00020728+0.0047815i,-0.0078354+0.0067408i,0.012402+0.0027267i,0.0033599+0.0088653i,-0.003345+0.0016956i,0.0027921+0.0017754i,0.0040893-0.0026448i,0.0073089+0.0084828i,0.0078696+0.0038196i,-0.0043766+0.00026946i,0.0002743-0.0060939i,0.0066259+0.0017548i,-0.0078995+0.010234i,-0.00078049+0.0012595i,-0.0007249-0.034102i,0.01566+0.0016219i,0.005267-0.0026038i,0.00059555+0.0011536i,-0.00013547-0.00098151i,0.018707-0.0085506i,0.0018132+0.0029087i,-0.0055122-0.0026692i,-0.0035757+0.0020363i,0.012684-0.0019575i,0.0085651-0.00034975i,0.00096176-0.0035723i,0.010193+0.0046526i,0.002734+0.001902i,0.0090642-0.00383i,-0.053059-0.0037034i,-0.0090064-0.010991i,0.0013991-0.0061009i,-0.0052129+0.00421i,-0.020576+0.027539i,-0.0034284+0.0035437i,-0.0019077+0.010948i
-0.027984+0.044408i,-0.011005+0.022097i,-0.0052119+0.027654i,-0.017929+0.022962i,0.0059383+0.017692i,0.0047188+0.0059983i,-0.013635+0.035825i,0.012836+0.022258i,0.0087471+0.0088417i,-0.0076324+0.0027726i,0.0079413+0.00021606i,0.00057813-0.0013251i,0.0020059-0.0038255i,0.0015869+0.002513i,0.0011408+0.0020242i,-0.0015546+0.0021903i,-0.0021915+0.0099932i,-0.00019398+0.0010933i,0.0025901-0.0058295i,-0.00041834-0.0021415i,-0.0017559-0.003577i,0.00072284-0.0030602i,-0.00034481-0.0030218i,-0.013832-0.0016922i,0.0016608+0.0004558i,4.2416e-05+0.000914i,-0.0015428+0.00075064i,0.00029875+0.00060458i,-0.0017922-0.00043144i,-0.00022904-0.00032343i,0.003399+0.002526i,0.0013035+0.0014492i,0.00048595-0.00070998i,-0.00027206+0.0010305i,0.0013802+0.0040877i,-0.0022629-0.0075632i,-0.0014155+0.0027069i,-0.0019896-0.00029807i,0.0018859+0.00034552i,0.0020224-0.00087019i,-0.0007171-0.00040772i,-0.0015161-0.0013067i,-0.0032026+0.0029387i,0.0019872-0.004905i,-0.011234+0.025062i,-0.037545-0.030616i,-0.031605+0.020236i,-0.024506-0.039267i,-0.063211-0.024513i,-0.023149-0.0062466i,-0.023869+0.036938i,-0.015419+0.012473i,-0.028627-0.013009i,-0.032774-0.011842i,-0.03765+0.016227i,-0.003566+0.0030749i,-0.0010897+0.029798i,0.013555+0.0015285i,-0.0010448-0.0012335i,-0.022803+0.0061781i,-0.00024867+0.0064648i,-0.0042651+0.0063361i,0.0099232-0.0036069i,0.0066858+0.0073194i,-0.0027153+0.004393i,0.00081319+0.0020346i,0.0032527-0.0054169i,0.0059526+0.0026709i,0.0056332+0.00066185i,-0.0029995+0.0034865i,-0.0014566-0.0044305i,0.0067228-0.00047157i,0.0019735+0.014052i,0.00029728+0.00052969i,-0.0090531-0.027626i,0.013704-0.004507i,0.0043741-0.0042222i,0.0012932+0.0027308i,0.00040715-0.0012188i,0.012889-0.011963i,0.00512+0.0035488i,-0.0059096+0.00068121i,-0.0011063+0.0044984i,0.0092828-0.0024771i,0.0080644-0.0058208i,-0.0007393-0.0031825i,0.0098518-0.002288i,0.0033432-0.0012122i,0.0075567-0.0073417i,-0.049737+0.0083916i,-0.018247-0.010216i,-7.6378e-05-0.012744i,-0.0033937+0.0027924i,-0.01517+0.026582i,-0.007539+0.0031671i,-0.0026302+0.009563i
-0.020925+0.046748i,-0.0083785+0.022335i,-0.0059073+0.0253i,-0.013099+0.02465i,0.0079847+0.014257i,0.0052031+0.004189i,-0.0058064+0.036616i,0.015873+0.018028i,0.0095213+0.0074006i,-0.0051385+0.0049869i,0.0068173-0.0016382i,0.00099915+0.00079023i,0.00092702-0.003905i,0.0026976+0.0027519i,0.0016307+0.0017278i,0.00023806+0.0044692i,0.0024291+0.010501i,-5.6181e-05+0.00053982i,0.00085775-0.0060758i,-0.0012811-0.002006i,-0.0025746-0.0027643i,3.1329e-05-0.0032759i,-0.0013166-0.0028587i,-0.01214+0.0027791i,0.00082009-0.00092679i,-0.00012325+7.1899e-05i,-0.0012693+0.00086472i,0.00033909-0.0005195i,-0.0012869+0.00081687i,5.7886e-05-0.00010979i,0.003655+0.00088482i,0.0019803+0.00063016i,-5.7022e-05-0.00051547i,-0.00020957+0.0011082i,0.0019464+0.0029196i,-0.0051275-0.0083295i,-0.00045344+0.0027969i,-0.0028777+0.0011689i,0.00018016-0.00034774i,0.0013808-0.00087426i,-0.00055007-0.00037165i,-0.0019762-0.0010523i,-0.0017326+0.0034378i,-0.0013112-0.0037878i,-0.0071228+0.026513i,-0.03876-0.015026i,-0.025268+0.018567i,-0.034066-0.032742i,-0.068698-0.0099092i,-0.020192-0.0079639i,-0.013634+0.03245i,-0.010813+0.0078575i,-0.028632-0.010976i,-0.031594-0.0079467i,-0.030902+0.023756i,-0.0030478+0.003173i,0.011424+0.025691i,0.012421-0.0032241i,-0.0044975+0.0012766i,-0.020243+0.015665i,0.0018477+0.0075399i,-0.0017983+0.0074117i,0.0033559-0.0048779i,0.0088336+0.0050387i,-0.0011363+0.0063305i,0.00071388+0.0040029i,0.0015155-0.0066985i,0.0018713+0.0025944i,0.0031001+0.00094065i,-0.0021325+0.0047733i,-0.0023529-0.0023111i,0.0059394-0.0026359i,0.0082751+0.0072955i,0.00049182-8.8969e-06i,-0.013636-0.024985i,0.010105-0.0082998i,0.0024041-0.0054795i,0.0038765+0.0021645i,-6.1973e-05-0.00067157i,0.008682-0.013088i,0.0075398+0.00075124i,-0.0038038+0.0038444i,0.0017205+0.0043883i,0.0086786-0.0034793i,0.0034737-0.010125i,-0.00087189-0.0023176i,0.0051529-0.0060439i,0.0012095-0.0024719i,0.0035944-0.010455i,-0.042029+0.013889i,-0.026595-0.0034859i,-0.0066538-0.015679i,-0.0027757+0.00016861i,-0.0094907+0.027552i,-0.010305+0.0058698i,-0.0011511+0.0099127i
-0.013715+0.048716i,-0.0058764+0.023167i,-0.0062999+0.026415i,-0.0081778+0.02448i,0.0085033+0.011106i,0.005406+0.002891i,0.0020103+0.035164i,0.01759+0.0136i,0.010476+0.0050901i,-0.003018+0.0053214i,0.0045539-0.0028703i,0.002108+0.001842i,-0.00030717-0.0037231i,0.0039403+0.0017135i,0.0018587+0.0012668i,0.0027698+0.0051772i,0.0071519+0.0087361i,1.1548e-05+0.00040946i,-0.0012031-0.0060303i,-0.001984-0.0014962i,-0.0027324-0.0016175i,-0.00057789-0.0033841i,-0.0020283-0.0021839i,-0.010607+0.0043391i,-0.00049384-0.0010629i,-0.00073635-0.00011477i,-0.0011244+0.00095146i,-0.00014928-0.001477i,-0.0010455+0.00061527i,0.00014633-0.00044816i,0.0035526-0.00057175i,0.0019635-0.00055928i,-0.0002511-0.00027704i,4.271e-05+0.0010209i,0.0021975+0.0022803i,-0.0080687-0.0073732i,0.00020139+0.0024407i,-0.0018219+0.00098876i,-0.00062501+0.00028677i,0.0010486-0.00062932i,-0.00042108-0.00018664i,-0.0019901-1.3178e-05i,-0.00026928+0.003261i,-0.0024311-0.0013366i,-0.0028676+0.027668i,-0.033122-0.0063422i,-0.021682+0.017275i,-0.039936-0.022186i,-0.067171+0.0096927i,-0.023293-0.010431i,-0.0086971+0.026467i,-0.0078298+0.0039963i,-0.028271-0.0080857i,-0.032024-0.0046455i,-0.023183+0.029213i,-0.0035111+0.0036061i,0.018483+0.01225i,0.01003-0.0074755i,-0.0055838+0.0053273i,-0.012325+0.023431i,0.0042343+0.0063952i,0.0028347+0.0063153i,0.00049672-0.0015347i,0.01051+0.0013226i,0.0015041+0.0076234i,0.0021705+0.0050426i,-0.0032356-0.0091978i,0.00091194+0.0054312i,0.0032653+0.0023932i,0.00042747+0.007707i,-0.0014717-0.00066822i,0.0044697-0.0035325i,0.0098851+0.0010695i,0.00098695-0.00081239i,-0.022144-0.022636i,0.005871-0.010199i,-4.4812e-05-0.0057691i,0.0064+2.1579e-05i,0.00011233+0.00051781i,0.0061708-0.012624i,0.0072475-0.0026602i,-0.00073846+0.0049741i,0.0034896+0.0023202i,0.0068511-0.0057434i,-0.0030437-0.0098753i,-0.0013174-0.0025974i,0.0015991-0.0061488i,0.0005573-0.0031746i,-0.0016399-0.010094i,-0.037129+0.016929i,-0.025536+0.010075i,-0.012113-0.014441i,-0.0039251-0.001567i,-0.0049805+0.027133i,-0.0096788+0.010731i,0.0026467+0.0085394i
-0.0060848+0.049584i,-0.0026881+0.024089i,-0.0043991+0.028833i,-0.004829+0.023139i,0.0081139+0.0090325i,0.005532+0.0016203i,0.0086857+0.031746i,0.018278+0.0094656i,0.011031+0.0031516i,-0.0015304+0.0055739i,0.0030909-0.002276i,0.0042403+0.00228i,-0.0014321-0.0031733i,0.0040356-0.00045635i,0.0018641+0.00090695i,0.0048732+0.0044878i,0.0098208+0.0053577i,0.00017337+0.00053913i,-0.0027634-0.0052645i,-0.0022977-0.00061748i,-0.0024893-0.00055747i,-0.0015083-0.0033074i,-0.0024018-0.0014947i,-0.010108+0.0072234i,-0.0011167-0.00049269i,-0.0012928+0.00036403i,-0.00088533+0.0011665i,-0.0015523-0.0017623i,-0.00090749+0.00052738i,-0.00015229-0.00075181i,0.0029562-0.0017158i,0.0013471-0.00089039i,1.6597e-05-0.00022947i,0.00032365+0.00088008i,0.0028178+0.0010055i,-0.01087-0.0055109i,0.00086712+0.0022665i,-0.0011287+0.0013738i,-0.00090999+0.00079166i,0.00090301-0.00067652i,-0.00023642-7.596e-05i,-0.0012879+0.00029496i,0.00062768+0.0027268i,-0.0022504-3.4108e-05i,0.0026217+0.027274i,-0.029178-0.0044002i,-0.018913+0.016953i,-0.040487-0.011968i,-0.057688+0.025683i,-0.026343-0.0076894i,-0.0053125+0.024298i,-0.0073798-8.802e-05i,-0.027102-0.0060112i,-0.031079+0.00035573i,-0.015231+0.032173i,-0.0022573+0.0039548i,0.013682-0.0004215i,0.0057293-0.011101i,-0.0039704+0.008787i,-0.0032621+0.0249i,0.0047825+0.0040454i,0.0047535+0.0022588i,0.0014966-5.292e-05i,0.0098761-0.00213i,0.0063011+0.0068335i,0.0040101+0.0059963i,-0.0080762-0.0039214i,0.0033384+0.0071603i,0.0045904+0.0027504i,0.00442+0.007429i,-0.0011513-0.00019557i,0.0034794-0.0044335i,0.0096477-0.0049029i,-0.00097643-0.0011893i,-0.030497-0.014228i,0.0021769-0.010344i,-0.002235-0.0043711i,0.0054764-2.3589e-05i,0.0007876+0.0006058i,0.0047423-0.014924i,0.0054921-0.0053312i,0.0016052+0.0038832i,0.0037938+0.001297i,0.0054197-0.0064556i,-0.006837-0.0059862i,-0.0026627-0.0022551i,-0.00015878-0.0045932i,-0.0014945-0.0036564i,-0.0047815-0.0077869i,-0.031551+0.019976i,-0.018843+0.011398i,-0.012692-0.01282i,-0.0051636-0.0021374i,-0.0002173+0.025292i,-0.0078231+0.012716i,0.002992+0.0055938i
0.0015027+0.04907i,0.0013197+0.024824i,-0.00038404+0.031363i,-0.0022203+0.022785i,0.0076289+0.0079174i,0.0052518+0.00060054i,0.014076+0.027352i,0.018558+0.0061185i,0.011522+0.00064924i,2.0459e-05+0.0053318i,0.0030845-0.001644i,0.00638+0.00030737i,-0.002294-0.0021539i,0.002497-0.0014254i,0.0019569+0.00072538i,0.0064289+0.0027143i,0.010707+0.0015566i,0.0005679+0.00021862i,-0.0041048-0.0041525i,-0.0020698+0.00043101i,-0.0018126+9.7404e-05i,-0.0022905-0.0024137i,-0.0026505-0.00078605i,-0.0061784+0.0099056i,-0.0014182+0.00013048i,-0.0011017+0.0010835i,-0.00063907+0.001547i,-0.0028081-0.0010153i,-0.0008938+0.00057609i,-0.00048286-0.0007574i,0.0018457-0.0025714i,0.0014828-0.0020234i,-0.00022913-0.00038554i,0.00029266+0.00071157i,0.0024472-0.00033656i,-0.012919-0.0020151i,0.0014417+0.0018107i,-0.00053417+0.0016641i,-0.0012286+0.0010259i,0.00093441-3.9133e-05i,0.00010746-0.00015445i,-0.00068112+0.00035936i,0.00091633+0.0020344i,-0.0017377+0.0011157i,0.0070827+0.02525i,-0.029518-0.0031612i,-0.017067+0.016279i,-0.039877-0.0033495i,-0.044172+0.034755i,-0.02909-0.0041894i,0.00020409+0.020529i,-0.0078669-0.0018664i,-0.026619-0.0045404i,-0.028741+0.0056385i,-0.0063512+0.033547i,-0.0012608+0.0038314i,0.0066438-0.0026124i,0.0007005-0.012519i,0.00010994+0.011736i,0.0049676+0.022136i,0.0039774+0.0019179i,0.0041508-0.0013808i,0.00089703+0.00025854i,0.0077614-0.0057683i,0.0096618+0.003493i,0.0066853+0.0054287i,-0.0080824+0.00013664i,0.0060946+0.0077756i,0.0060558+0.002374i,0.0086661+0.0052644i,-0.00071354+0.00054059i,0.0028788-0.0053519i,0.0052631-0.0083372i,-0.0012967+0.0010993i,-0.034081-0.0022272i,-0.00051761-0.0097992i,-0.0031609-0.0022018i,0.005603-0.0010995i,0.0011044+0.00029477i,0.00035736-0.018214i,0.0030058-0.0068336i,0.0031327+0.00307i,0.0043163+4.5052e-05i,0.0051355-0.0077398i,-0.0087187-0.0030535i,-0.003927-0.00035834i,-0.0034435-0.004948i,-0.0027212-0.0029739i,-0.0063819-0.0054258i,-0.026517+0.020984i,-0.017104+0.011703i,-0.013328-0.013817i,-0.0067161-0.0018491i,0.0017301+0.02468i,-0.0064849+0.013492i,0.0031049+0.0041898i
0.0092263+0.047698i,0.0064283+0.02435i,0.0057461+0.032052i,0.00080349+0.022619i,0.0080472+0.0078162i,0.0050493+6.7154e-06i,0.017988+0.02194i,0.018719+0.0027547i,0.011149-0.0021161i,0.0012513+0.0048505i,0.0032672-0.0021724i,0.0059978-0.0029107i,-0.0026112-0.00095617i,0.001841-0.0014105i,0.0021711+0.00044682i,0.006636+0.00043316i,0.010009-0.0017724i,8.1084e-05-0.00029935i,-0.0052926-0.0025685i,-0.0012315+0.0010317i,-0.00090238+3.3171e-05i,-0.0024032-0.0016154i,-0.0026142+1.5632e-05i,-0.0019544+0.010043i,-0.0013725+0.00067826i,-0.00065014+0.0014235i,0.00011699+0.0016316i,-0.0033801+0.00035013i,-0.00069068+0.00053265i,-0.00080461-0.0006741i,0.00057284-0.0028503i,0.00024959-0.0026758i,-0.00046563-0.00019049i,0.00034703+0.00067694i,0.0016522-0.0010165i,-0.013041+0.0022547i,0.0016114+0.0011825i,0.00018747+0.001583i,-0.0011295+0.0014397i,0.0012622-0.00032864i,-0.00036413-0.00037447i,2.4492e-05+7.3457e-05i,0.00092073+0.0016141i,-0.00094497+0.0018215i,0.010338+0.023338i,-0.031965+0.0012492i,-0.01571+0.015862i,-0.035119+0.0051839i,-0.031005+0.039617i,-0.030299+0.0034515i,0.004485+0.014674i,-0.0058006-0.0041906i,-0.025764-0.0018217i,-0.024691+0.010946i,0.0011603+0.033199i,-0.00091382+0.0032884i,0.002556-0.0028089i,-0.0050101-0.012389i,0.0061754+0.01113i,0.01039+0.017187i,0.0017979+0.00059442i,0.0027457-0.0042444i,0.0017289+0.0030437i,0.0035474-0.00764i,0.010859-0.002065i,0.0088565+0.003418i,-0.0076265+0.0040362i,0.01052+0.0068925i,0.0082276-3.3211e-06i,0.010579-0.00039245i,0.00013948+0.0010723i,0.0015124-0.0060601i,-0.00052861-0.0093505i,0.00065911+0.0026912i,-0.033196+0.010963i,-0.0028124-0.0089518i,-0.0027233-0.00017933i,0.0058145-0.0049029i,0.0014648+0.00069359i,-0.0069058-0.018325i,-3.3534e-05-0.0066312i,0.0042044+0.0013534i,0.0042267-0.00093151i,0.0030848-0.0096174i,-0.0093922+0.002422i,-0.0034303+0.0019203i,-0.0052514-0.0012895i,-0.0040457-0.0027606i,-0.0065634-0.0030341i,-0.023999+0.021851i,-0.01671+0.016031i,-0.016586-0.01686i,-0.0056583-7.5093e-05i,0.0063178+0.024441i,-0.0060873+0.015303i,0.0042284+0.0013347i
0.016868+0.044908i,0.011091+0.022128i,0.012212+0.03013i,0.0040514+0.021649i,0.0092661+0.0074467i,0.0052185-0.00049694i,0.020118+0.016494i,0.018174-0.00069664i,0.010366-0.004393i,0.0020352+0.0044772i,0.0028598-0.0027023i,0.0037647-0.0046789i,-0.0026622+2.3579e-05i,0.0011109-0.001308i,0.0022778+7.3405e-05i,0.0056044-0.0013658i,0.0083417-0.0045909i,-0.00027243-0.00017277i,-0.0053504-0.0005231i,-0.00029009+0.00093048i,-0.00020165-0.00041039i,-0.0023214-0.0012276i,-0.0022371+0.00067791i,0.0010744+0.0095515i,-0.0011078+0.00099281i,-0.00024476+0.0016861i,0.00075464+0.0011531i,-0.0027989+0.0019459i,-0.0006805+0.00028948i,-0.001305-0.00036588i,-0.00059508-0.0025823i,-0.001343-0.0024256i,-0.00043119+3.2917e-05i,0.00052798+0.00058035i,0.00080964-0.0013957i,-0.01121+0.0061108i,0.0017033+0.00065479i,0.0005006+0.0012457i,-0.00053039+0.0020204i,0.0012555-0.00083167i,8.2504e-05-0.00073157i,0.00017648-0.00056857i,0.00072275+0.0014398i,-6.0377e-05+0.0020947i,0.013731+0.021845i,-0.031342+0.0087626i,-0.015641+0.015814i,-0.028893+0.0093313i,-0.017764+0.041183i,-0.025281+0.012049i,0.004327+0.0067816i,-0.0059295-0.0096482i,-0.022482+0.00041917i,-0.017702+0.015548i,0.011424+0.030657i,-0.0014299+0.0034654i,-0.0012754-0.0017844i,-0.0098348-0.009117i,0.010253+0.0067441i,0.0087495+0.010454i,-0.0011833+0.0018289i,0.00011262-0.0071552i,0.0057583+0.001859i,-0.0006372-0.0069356i,0.0079699-0.0061061i,0.010228+1.4927e-05i,-0.0063611+0.006872i,0.014356+0.0012371i,0.0082361-0.0048863i,0.0092517-0.0062051i,0.0013786+0.0010253i,-0.00038077-0.0063887i,-0.0045573-0.006013i,0.0029609+0.0015617i,-0.025749+0.024355i,-0.0053128-0.0076866i,-0.0013538+0.00101i,0.0020369-0.0069717i,0.0024354+0.00045832i,-0.013812-0.014512i,-0.0016222-0.0048929i,0.0040707-0.00097056i,0.0037133-0.001843i,-0.00013266-0.0097092i,-0.005757+0.0065854i,-0.0017695+0.003469i,-0.0052732+0.0022074i,-0.0062108-0.0017813i,-0.006379-0.0018964i,-0.019536+0.026234i,-0.0085136+0.020883i,-0.024678-0.016728i,-0.0034078-0.00039876i,0.0097613+0.022044i,-0.0039142+0.018344i,0.0032318-0.0023713i
