-0.024728-0.0038689i,-0.023771+0.0028074i,-0.017292-0.0071577i,-0.029788-0.012308i,-0.028761+0.0036738i,-0.038617-0.003852i,-0.061286-0.028109i,-0.032401-0.014507i,-0.02943-0.003253i,0.006267+0.0040034i,-0.0034314+0.0068682i,-0.0055332+0.014121i,0.0062705+0.010554i,-0.0013049+0.0034839i,0.0050927+0.0035214i,0.0053229+0.024513i,0.024579+0.022975i,0.0013352-0.00062299i,0.00063914-0.0051946i,0.0069134-0.00097483i,0.0051074+0.00087253i,0.0026955+0.000989i,0.0014401-0.00061423i,-0.030549-0.0015279i,-0.0044475-0.0057136i,-0.00030419+0.0029021i,0.0028842-0.0023534i,-0.00076508+0.00055966i,-0.00053929+0.0011362i,-0.0013715-0.00301i,-0.0038073-0.0016518i,-0.0068004-0.0059948i,-0.0045662-0.0026018i,-0.00021116+0.00016943i,0.0020488-0.0030842i,0.0023032+0.022278i,0.0011469-0.0026062i,0.00023592-0.0022798i,0.004718-0.0021988i,-0.00251-0.0012407i,0.00066154+0.0007393i,0.006776-0.0018731i,0.0032305-0.0021806i,-0.0011404+0.0034355i,-0.01339+0.017064i,-0.028807+0.055401i,-0.003876-0.038286i,-0.014607-0.017587i,-0.036878-0.015859i,-0.026954-0.011794i,0.033141-0.010652i,0.0073384-0.030844i,0.012394-0.041026i,-0.01182-0.029726i,0.024857-0.023481i,0.0135+0.0066924i,0.027733-0.034024i,-0.0016812-0.0042043i,0.0065505-0.008452i,0.00022815-0.0044709i,0.0018206-0.036825i,-0.011687+0.030082i,0.0072513-0.01191i,-0.0097167-0.0049442i,-0.0023414-0.0021034i,0.00030461-0.015101i,-0.0076089+0.0052008i,0.0036573+0.0052485i,-0.00072252+0.028873i,0.001906-9.4965e-05i,-0.0071668-0.0044859i,-0.0029928-0.0061222i,-0.0145-0.009804i,-0.0024118-0.0059008i,-0.032034+0.0077444i,-0.0057453-0.0080384i,-0.013435-0.0017049i,-0.010585-0.0059214i,0.0016189-0.0015666i,-0.013454+0.0020636i,-0.0019011-0.00034791i,0.0064651+0.0066549i,0.0036798-0.0053657i,-0.01375-0.012236i,0.00751+0.0082972i,-0.016828+0.0059055i,0.0056049-0.00016839i,-0.019069-0.0018526i,-0.017975-0.0041217i,-0.018731-0.032785i,0.020384-0.010462i,-0.039057-0.023284i,-0.0095645+0.0051838i,0.018081+0.015113i,-0.021774+0.017953i,-0.0030875-0.0035285i
0.0042211+0.012811i,0.00911+0.014971i,0.0054832+0.022733i,-0.0063954+0.021066i,0.0016272+0.031739i,0.013841+0.020888i,-0.0064042+0.027887i,-0.007507+0.021531i,0.012436+0.0092522i,0.0009643-0.0037834i,0.00049514-0.00091227i,0.004355-0.0027003i,0.0022985-0.0012955i,0.0014117-0.0038344i,-0.00052922-0.0013572i,0.0057723-0.0057748i,-0.0029953-0.0054686i,-0.0018983+0.0024975i,-0.00017737+0.00037618i,0.00067895+0.0021751i,-0.0022995-0.00091097i,0.00025545-0.00010173i,0.0022213+0.0004743i,-0.011255-0.0058159i,-0.0010902-0.00055035i,-0.0020593+0.0004839i,-0.0028615+0.00055661i,-0.0022197+0.001174i,-0.002663-0.00016913i,0.00036874-0.00071692i,-0.0035032+0.001065i,0.00043353-0.0016308i,-0.0013158-0.0012127i,-9.6301e-05-0.00083596i,-0.0015126+0.0010588i,-0.001621-0.0040098i,-0.0021481+0.0012669i,0.0012572+0.00023144i,6.7958e-05+0.0025179i,0.0018597+0.005045i,0.00020249+0.00050801i,-0.0011785-3.5429e-05i,-0.0011736-0.0019998i,0.0030385+0.0061775i,0.015704+0.0054444i,0.044782-0.059289i,-0.025517+0.0053199i,0.017264-0.025735i,-0.022996-0.032915i,-0.010075+0.0030151i,-0.028853+0.034029i,-0.021459+0.0054154i,-0.017483+0.0076177i,-0.003076-0.015597i,-0.040033-0.020177i,-0.008298+0.0020291i,-0.027756+0.011157i,0.0017425+0.012739i,0.00064923+0.0049507i,-0.0046711-0.0051189i,0.00025159+0.0022495i,-0.012847-0.004756i,0.0057878+0.012184i,-0.001026+0.0080111i,-0.0014536+0.0034891i,0.0010666+0.0057964i,0.0027763+0.0034103i,-0.0010018+0.018217i,0.0031959+0.015599i,0.0058007-0.0058804i,0.011901-0.0055122i,0.0091603+0.0029433i,-0.0032983-0.0061646i,0.00059079-0.001795i,0.016216-0.029347i,0.0087942+0.0033199i,0.0090314-0.00075769i,0.0026026-0.00045353i,0.0062435-0.0082601i,0.022526-0.00036193i,0.0065281-0.0028508i,0.0015789-0.0074553i,0.0050441-0.0030771i,0.016615+0.002785i,0.0062763+0.0032722i,0.0037697-0.0036619i,0.0092547+0.0090909i,-0.0016746+0.0049573i,0.01025+0.010795i,-0.013674-0.012191i,-0.0095687+0.00051075i,-0.0080488-0.014072i,-0.0079797-0.0041984i,-0.03882+0.0064728i,-0.0060726+0.003744i,-0.012286+0.00012707i
0.0063636+0.011636i,0.010924+0.01186i,0.009954+0.018604i,-0.0029963+0.020185i,0.0064425+0.028958i,0.016694+0.017704i,-0.0026174+0.028241i,-0.0036753+0.021877i,0.012735+0.0040683i,-0.00029514-0.0038267i,0.00068692-0.00016357i,0.0033309-0.0042367i,0.0015886-0.0024745i,0.0011382-0.003736i,-0.0010981-0.00094945i,0.0023344-0.0056869i,-0.0056994-0.0031887i,-0.0008097+0.0029235i,0.00075675+0.00051329i,0.0016667+0.0015411i,-0.001742+0.00050344i,0.00075778+0.00012972i,0.0026031-0.00045408i,-0.011419-0.0018832i,-0.00083367-2.594e-05i,-0.0017707+0.0012514i,-0.0021012+0.0017775i,-0.001349+0.0017318i,-0.0022785+0.00052757i,0.00055892-0.00052193i,-0.002644+0.0025195i,-0.00069993-0.0010828i,-0.0018751-0.00047373i,-0.0010889-0.00077557i,-0.002366+0.0010604i,-0.00056742-0.0029608i,-0.0012349+0.0019253i,0.00091155-0.00036126i,0.00039573+0.0026248i,0.0031573+0.00323i,0.00054821+0.00035086i,-0.0014209+0.00024283i,-0.0018954-0.001606i,0.0047746+0.0050254i,0.016307-0.00033958i,0.02226-0.069109i,-0.019264+0.013123i,0.007222-0.033319i,-0.03367-0.025087i,-0.0077016+0.0060827i,-0.017865+0.039102i,-0.017527+0.011246i,-0.0067586+0.0021784i,-0.0050821-0.014319i,-0.044969-0.0047614i,-0.0079636+0.0024535i,-0.023058+0.022252i,0.0046009+0.0091317i,0.0013183+0.003097i,-0.0095096-0.0065313i,-0.0024361+0.0052503i,-0.013149+0.0026977i,0.01046+0.0086385i,0.00058618+0.01031i,-2.6832e-05+0.0035526i,0.0031958+0.0063656i,0.0038158+0.0030527i,0.0062669+0.01432i,0.0084667+0.0094435i,-0.00099398-0.0086832i,0.005877-0.0070507i,0.0082457+0.00093176i,-0.0060341-0.00036195i,0.00011187+0.00043183i,0.0034852-0.028804i,0.010236+0.0010506i,0.0094636-0.0044766i,0.0039835-0.0016555i,0.0011992-0.0060928i,0.020696-0.0099743i,0.0039838-0.0047701i,-0.0020115-0.0062738i,0.001142-0.002842i,0.014047-0.0030932i,0.0076027+0.002352i,0.0029305-0.0023972i,0.011793+0.0053284i,3.5583e-05+0.00568i,0.011712+0.005857i,-0.018583-0.0097494i,-0.0054595-0.011944i,-0.0076779-0.011637i,-0.0075197-0.0031187i,-0.03314+0.020086i,-0.0037293+0.0050052i,-0.010103+0.0029912i
0.0091654+0.0099636i,0.012321+0.009069i,0.012281+0.013887i,-0.00028229+0.019126i,0.012096+0.026466i,0.019154+0.013953i,0.0017641+0.028018i,0.00028541+0.021453i,0.010737+0.00036281i,-0.001469-0.003382i,0.0016396-3.1637e-05i,0.00068372-0.0049757i,0.0006191-0.0028115i,4.6855e-05-0.0038433i,-0.0013411-0.00047425i,-0.00063806-0.0038746i,-0.0063686-0.00010343i,0.00055827+0.0029666i,0.0014621-0.00059546i,0.0024099+0.00046529i,-0.00083126+0.00087538i,0.0014984-0.00029213i,0.0024854-0.0015501i,-0.010973+0.00093613i,-0.00057854+0.00043024i,-0.00081514+0.002147i,-0.00079643+0.002059i,-0.00030176+0.00194i,-0.0017996+0.0011438i,0.00032345-0.0011685i,-0.0013524+0.0032295i,-0.0010488-0.00027672i,-0.0019233+0.00058278i,-0.0017313-0.00014756i,-0.001925+0.0024329i,0.00051412-0.0036104i,-0.00043721+0.001947i,0.00051395-0.00071674i,0.0021845+0.0019058i,0.0034271+0.0016798i,0.00071851+0.00016401i,-0.00066241+0.0010727i,-0.0025155-0.0011659i,0.0056882+0.0026162i,0.014952-0.004974i,-0.0013707-0.068161i,-0.0082526+0.016164i,-0.0043138-0.034871i,-0.037661-0.016125i,-0.0025328+0.0073718i,-0.0039765+0.039455i,-0.0064568+0.013076i,-0.006597-0.0047516i,-0.006053-0.012923i,-0.041995+0.010001i,-0.007307+0.0037592i,-0.011352+0.029233i,0.005639+0.0061841i,-0.00044675+0.00059895i,-0.016921-0.0027089i,-0.0012261+0.0065677i,-0.0086705+0.0077434i,0.012235+0.0024221i,0.0045356+0.010473i,-0.00090053+0.0041502i,0.004406+0.0046268i,0.0052132+0.0014879i,0.0083527+0.0084135i,0.0083643+0.0039086i,-0.006883-0.0035912i,0.0036102-0.006276i,0.0093655-0.00042946i,-0.0021946+0.0065671i,0.0024747+0.0016039i,-0.0050973-0.02446i,0.011127-0.0036365i,0.0063041-0.0075504i,0.0027707-0.0033972i,0.00086606-0.0044558i,0.012992-0.016618i,0.00052383-0.0023739i,-0.0046728-0.0035033i,1.7319e-05-0.00015465i,0.0098499-0.006616i,0.01033-0.0018042i,0.0038869-0.003618i,0.014205-0.00081012i,0.0037828+0.0045561i,0.011389+0.0015768i,-0.021114-0.0022451i,-0.015535-0.01971i,-0.0065666-0.013832i,-0.0064588-0.0034701i,-0.02273+0.026277i,-0.003529+0.00014362i,-0.0076652-0.0008178i
0.011725+0.0067985i,0.013462+0.0061556i,0.013002+0.009207i,0.0022856+0.018413i,0.017062+0.021201i,0.021007+0.009527i,0.0066781+0.027062i,0.0042571+0.020077i,0.0085866-0.00093595i,-0.0023942-0.0025346i,0.0021279-0.0011153i,-0.001458-0.0036539i,-0.00052019-0.0028874i,-0.0014197-0.0029675i,-0.0016769+4.3345e-06i,-0.0014267-0.0010109i,-0.0052494+0.0027829i,0.001667+0.0021825i,0.00083133-0.001099i,0.002335-0.00099122i,-0.00025845+0.00080186i,0.0019135-0.001167i,0.0019059-0.0026326i,-0.010032+0.0040522i,-4.184e-06+0.00034512i,0.00088638+0.0014399i,0.00020969+0.0017116i,0.00068266+0.0015289i,-0.0010768+0.0018214i,-0.0001872-0.00086042i,-7.7446e-05+0.0032605i,-0.0011782+0.000315i,-0.0015563+0.0014205i,-0.0017729+0.00088331i,-0.00064744+0.0026643i,0.00031968-0.0055963i,0.00060745+0.0019261i,4.7158e-05-0.00075868i,0.0020335-7.5649e-05i,0.0032957+0.00053087i,0.00090858-0.0002586i,0.00020176+0.00089306i,-0.0028029-0.00035503i,0.0042422-0.00068125i,0.012913-0.0084059i,-0.020241-0.055686i,0.00061238+0.012015i,-0.014287-0.031957i,-0.041035-0.0067387i,0.002363+0.0050854i,0.0073974+0.034202i,0.0019798+0.0062418i,-0.0072292-0.005493i,-0.0059743-0.010761i,-0.033918+0.019481i,-0.0062539+0.0053669i,0.00044616+0.028672i,0.0066062+0.0034238i,-0.0038901+0.0017677i,-0.019579+0.0068528i,-0.00073997+0.0082559i,-0.0040301+0.0081498i,0.0096204-0.0040981i,0.0083548+0.0085098i,0.00033638+0.0060955i,0.0040021+0.0043896i,0.0059977-0.0023589i,0.0071079+0.0033004i,0.0055302+0.0010289i,-0.0051237+0.00092478i,0.0016073-0.0060011i,0.0089002-0.0030555i,0.0058083+0.0071337i,0.0037218+8.6982e-05i,-0.0094148-0.019016i,0.0083586-0.0073887i,0.0031647-0.0089958i,0.0020964-0.0028379i,-0.00016015-0.0050243i,0.0052052-0.017733i,0.0030005-0.0012783i,-0.0049492-0.00017919i,0.0023869+0.0015653i,0.0065528-0.0070384i,0.0087276-0.0068099i,0.002013-0.0043707i,0.010408-0.0080028i,0.0038681+0.0014871i,0.010588-0.0030974i,-0.015585+0.0053949i,-0.026522-0.017281i,-0.010687-0.017933i,-0.006815-0.0052669i,-0.014564+0.026674i,-0.00845-0.00044793i,-0.010923-0.00052032i
0.012653+0.0030987i,0.013407+0.0028381i,0.012111+0.0055012i,0.0052433+0.017328i,0.019751+0.015228i,0.021525+0.0050249i,0.01166+0.024589i,0.0076267+0.017797i,0.0075478-0.0013566i,-0.0027073-0.0014944i,0.001413-0.0019838i,-0.0021581-0.0020434i,-0.0015685-0.0025576i,-0.0016453-0.0018413i,-0.0016626+0.00073995i,-0.00067418+0.00097969i,-0.0032395+0.0047077i,0.0020562+0.0012071i,0.00067325-0.0010675i,0.0014572-0.0020269i,-0.00010268+0.00057992i,0.001438-0.0020785i,0.00064945-0.0032478i,-0.0070723+0.006101i,4.2035e-05-0.00022182i,0.00098714-0.00014187i,0.00084177+0.00099894i,0.0012703+0.00078696i,2.8762e-05+0.0020355i,0.00025358-0.00051594i,0.00092934+0.00296i,-0.00085545+0.00059052i,-0.00087204+0.0021062i,-0.0013152+0.0016618i,-8.1239e-05+0.0025145i,-0.001576-0.0072531i,0.0013054+0.0012098i,-0.00024481-0.00045666i,0.0010741-0.00064731i,0.0027888-0.00011438i,0.00071785-0.00077929i,0.00045553+0.00041422i,-0.0026544+0.00044477i,0.0014142-0.0004187i,0.010532-0.010536i,-0.025215-0.039731i,0.0047709+0.006123i,-0.022575-0.025599i,-0.041449+0.0045055i,0.0048344+0.00051941i,0.015523+0.0263i,0.0047818-0.0011819i,-0.0066298-0.0065885i,-0.0045159-0.010872i,-0.026553+0.025888i,-0.004235+0.0060469i,0.011826+0.023646i,0.0062689+0.00084644i,-0.0052769+0.0055663i,-0.016539+0.014704i,0.0018825+0.0093352i,-0.0003486+0.008945i,0.0036745-0.0054287i,0.0109+0.0052179i,0.0027623+0.0069294i,0.0048844+0.0046228i,0.0044993-0.0054076i,0.0042495+0.0030186i,0.0032587+0.0016999i,-0.0040442+0.0025964i,4.7488e-05-0.0047413i,0.0074556-0.0057219i,0.0094384+0.0019609i,0.0036936-0.0019006i,-0.011957-0.016924i,0.0048113-0.0091971i,-0.00062311-0.0093227i,0.003248-0.0029115i,-0.0016839-0.0039467i,-0.00036011-0.016323i,0.0038135-0.0033619i,-0.0028122+0.0023739i,0.0049948+2.2174e-05i,0.0049313-0.007719i,0.0040942-0.010939i,0.0016353-0.0043622i,0.0042323-0.010332i,0.0027596+0.00020269i,0.006419-0.0074537i,-0.0089693+0.005978i,-0.035977-0.0070393i,-0.016794-0.017587i,-0.0083958-0.0069619i,-0.0083947+0.026091i,-0.012037+0.0034162i,-0.010612+0.0032904i
0.012515-0.00027373i,0.012534+0.00028903i,0.010846+0.0032969i,0.0081239+0.015401i,0.020273+0.0092933i,0.02173+0.0010158i,0.016085+0.020688i,0.010187+0.01501i,0.007383-0.0020995i,-0.0027911-0.00093157i,4.8417e-05-0.0021768i,-0.0021838-0.00070271i,-0.0026191-0.0018211i,-0.0016554-0.0014443i,-0.0014887+0.0013078i,0.00059145+0.0018983i,-0.00031851+0.0053498i,0.0021785+0.00042961i,0.00013443-0.0014675i,0.00027707-0.0023551i,0.00043486+0.00055205i,0.00074488-0.0026266i,-0.00048662-0.0031159i,-0.00533+0.0062011i,-0.00019447-0.00022709i,8.1916e-05-0.00090993i,0.0009295+0.00015382i,0.0014951-0.00021017i,0.0010399+0.0014928i,0.00043491-0.0010584i,0.0019052+0.0024719i,-0.0005649+0.0006277i,0.00017407+0.0023477i,-0.00051617+0.0019814i,0.0003996+0.0025746i,-0.0043669-0.0078073i,0.0014802+0.0001612i,-0.00023204-0.00030529i,0.00054383-0.00057702i,0.0023523-0.0003053i,0.00026244-0.0007311i,0.00041792+0.00021572i,-0.0021529+0.00082091i,0.00044775+0.0012598i,0.0081872-0.011326i,-0.022218-0.03119i,0.0061283+0.0014181i,-0.026561-0.015851i,-0.036044+0.017594i,0.0026223-0.0039407i,0.019227+0.01795i,0.0050752-0.0074414i,-0.0060226-0.0067887i,-0.0058336-0.010781i,-0.018735+0.029443i,-0.0038671+0.0066658i,0.017117+0.01145i,0.0055198-0.0016262i,-0.0036671+0.0093067i,-0.0097767+0.020642i,0.0046467+0.0081075i,0.004252+0.0065936i,0.00097127-0.0030123i,0.012763+0.000916i,0.0053666+0.0066424i,0.0062137+0.0036322i,-0.00068102-0.0079818i,0.0042142+0.0046193i,0.0037463+0.0029276i,-0.0018476+0.0054776i,0.00037339-0.0038658i,0.0053465-0.0068489i,0.0095521-0.0030964i,0.0027983-0.0037943i,-0.017373-0.015041i,0.0011336-0.0097985i,-0.0045763-0.00793i,0.0018343-0.0043708i,-0.0021116-0.0023304i,-0.0034949-0.013252i,0.0022003-0.0051672i,-0.0001943+0.0029469i,0.0053732-0.0037037i,0.0021998-0.0087219i,-0.0025027-0.011194i,0.00055324-0.0058376i,0.00026428-0.008771i,0.0026225-0.0011165i,0.0010179-0.0072141i,-0.0058249+0.0049971i,-0.032899+0.009046i,-0.022206-0.014487i,-0.010897-0.0067067i,-0.0042967+0.025626i,-0.010876+0.0090382i,-0.0060808+0.0041876i
0.011602-0.003279i,0.011624-0.0014588i,0.0097991+0.0019442i,0.010198+0.012673i,0.019189+0.0048342i,0.02141-0.003466i,0.019271+0.015866i,0.011942+0.012078i,0.0073108-0.0029269i,-0.0030292-0.00020598i,-0.000986-0.0014684i,-0.0014008+0.00026791i,-0.0032726-0.00058316i,-0.0020182-0.0014858i,-0.0012289+0.0018447i,0.001754+0.0020761i,0.0020846+0.0044559i,0.0020396-0.00012066i,-9.0858e-05-0.0012557i,-0.00068495-0.0019317i,0.00081385+0.00018125i,-0.00016051-0.0029631i,-0.0013744-0.0025945i,-0.0041453+0.0075017i,-0.00023795-0.00051669i,-0.00086117-0.00074933i,0.00069277-0.00045744i,0.00098334-0.001235i,0.0015172+0.00039608i,-0.0002266-0.0017845i,0.002693+0.0015787i,-0.00018298+0.00090376i,0.0013536+0.0018752i,0.00030503+0.0019087i,0.0011467+0.0018795i,-0.0075856-0.0070994i,0.0012187-0.00056534i,-0.00028657-0.00042996i,0.00031874-0.00083093i,0.002165-0.00051738i,0.00010555-0.00055761i,0.00055215+0.00013496i,-0.0019142+0.0007528i,0.00099613+0.0021467i,0.007191-0.012457i,-0.021893-0.030068i,0.0066206-0.002062i,-0.024866-0.0073774i,-0.025278+0.026857i,0.00049008-0.004703i,0.021317+0.011064i,0.0026321-0.01265i,-0.005653-0.0079742i,-0.0059838-0.0090499i,-0.011245+0.03216i,-0.0018191+0.0070168i,0.012309+0.00090871i,0.0032062-0.0038927i,-0.00026104+0.011122i,-0.0020543+0.02144i,0.0057885+0.005989i,0.0056996+0.0025162i,0.0012117-0.001505i,0.012455-0.0034032i,0.0092095+0.004789i,0.0071479+0.0030465i,-0.0046429-0.0034842i,0.0061984+0.0048172i,0.0048866+0.0029918i,0.0017423+0.0059005i,-0.00052522-0.0042077i,0.003488-0.0078754i,0.0076327-0.0088375i,-0.00045255-0.0044058i,-0.022816-0.0089635i,-0.0021553-0.0090444i,-0.0068443-0.0042606i,0.0013518-0.0030147i,-0.0021503-0.0016181i,-0.0051522-0.012636i,-0.00033753-0.0062014i,0.0013881+0.0013159i,0.0025938-0.0056343i,-5.7351e-05-0.0084286i,-0.0066439-0.0073364i,-0.0023043-0.0058547i,-0.0032199-0.0074969i,0.0011352-0.0021966i,-0.0012083-0.004411i,-0.0028248+0.0039305i,-0.024905+0.010734i,-0.022369-0.009814i,-0.012728-0.0053803i,0.0008334+0.023346i,-0.0085419+0.010956i,-0.0047078+0.0026784i
0.010076-0.0057288i,0.011058-0.0027479i,0.0092629+0.0012222i,0.0115+0.010116i,0.017555+0.0017057i,0.019834-0.0076878i,0.021328+0.010818i,0.013124+0.0092601i,0.0073556-0.0043445i,-0.0029203+0.00064301i,-0.0011585-0.00046225i,-0.00053852+0.00018054i,-0.0033432+0.0008562i,-0.002999-0.00075405i,-0.00066062+0.0024309i,0.0028825+0.001347i,0.0035589+0.0030745i,0.0020093-0.00060866i,-0.0003023-0.0011818i,-0.0010404-0.0011459i,0.00092255-0.00037845i,-0.0011675-0.0025722i,-0.0019098-0.0019156i,-0.0011877+0.0082983i,-0.00074088-0.00061715i,-0.0012163-0.00024788i,9.0736e-05-0.00097387i,-5.9843e-05-0.0017919i,0.0013086-0.00071352i,-0.0011745-0.001742i,0.0028857+0.00041493i,0.00039362+0.00054628i,0.001808+0.00086218i,0.00084239+0.0015418i,0.0012662+0.0011232i,-0.010369-0.0045834i,0.0005787-0.0012633i,-0.00061345-0.00039207i,-0.00037877-0.0013133i,0.002134-0.00061882i,8.9657e-05-0.00046331i,0.00063973-5.6484e-05i,-0.0020804+0.00073184i,0.0018615+0.0025465i,0.0054082-0.014554i,-0.026713-0.028516i,0.0051931-0.005981i,-0.022847-0.0013231i,-0.012975+0.029438i,-0.0019773-0.0052113i,0.022705+0.0037546i,-0.00011448-0.014963i,-0.0063392-0.0086476i,-0.0049114-0.0070488i,-0.0019001+0.032814i,0.00046061+0.0065294i,0.007117-0.0003548i,0.00062692-0.0046713i,0.0045749+0.011951i,0.0046083+0.019131i,0.0059337+0.0035667i,0.0045797-0.0013918i,0.00029147-0.00079657i,0.0098571-0.0082752i,0.011221+0.00065247i,0.0086291+0.0015549i,-0.0046714-0.00052889i,0.0082435+0.0040183i,0.0067253+0.0028204i,0.0055669+0.0038874i,-0.0014065-0.0035806i,0.0017852-0.0090355i,0.0025251-0.011844i,-0.0017241-0.0022588i,-0.025091-0.00025082i,-0.0044483-0.0078011i,-0.0068599-0.00042055i,0.0016104-0.0026308i,-0.0024081-0.0009079i,-0.0086942-0.011907i,-0.0031892-0.0055113i,0.0023539+0.00022443i,0.0001574-0.0057475i,-0.001348-0.0079053i,-0.0084121-0.0038264i,-0.0049038-0.0036476i,-0.0062822-0.0047244i,0.00024897-0.0024739i,-0.0016127-0.0028916i,-0.00061716+0.0025448i,-0.023367+0.011654i,-0.021469-0.0080335i,-0.014246-0.0034496i,0.0026964+0.021795i,-0.0074497+0.011379i,-0.0037712+0.0017643i
0.0082751-0.0074605i,0.010743-0.0043571i,0.0093754+0.00043122i,0.012475+0.0075516i,0.016615-0.00019464i,0.017427-0.011196i,0.022079+0.0051039i,0.013801+0.0063577i,0.0067329-0.0060939i,-0.0026134+0.0012542i,-0.0010034-3.4778e-05i,-0.00052462-0.00051351i,-0.0028407+0.0021847i,-0.0031519+0.00059047i,0.00018+0.0026869i,0.0029984+0.0001265i,0.004074+0.0012735i,0.0015184-0.0012429i,-0.00074636-0.00088322i,-0.00087339-0.00062542i,0.00093245-0.00094782i,-0.0016566-0.0019037i,-0.0021093-0.0012024i,0.001822+0.00741i,-0.0011456-0.00041531i,-0.0015468+0.0002541i,-0.00082608-0.0010752i,-0.0011759-0.001639i,0.00058853-0.0016051i,-0.0019962-0.0012891i,0.0026255-0.00058737i,0.00025021+0.00021165i,0.0016652+4.0886e-05i,0.0012419+0.0011003i,0.0011395+0.00072942i,-0.011611-0.0010346i,-0.00044789-0.001505i,-0.00077012-0.0001454i,-0.0012393-0.0011575i,0.0021346-0.00086892i,7.2514e-05-0.00038792i,0.00065209-0.0003888i,-0.0022929+0.0010902i,0.0027695+0.002377i,0.0022677-0.015657i,-0.032375-0.020775i,0.0031653-0.0085367i,-0.017258+0.0042012i,-0.002311+0.029175i,-0.0037465-0.002523i,0.022079-0.0042967i,-0.00018223-0.017896i,-0.0059496-0.0080382i,-0.0021827-0.0047202i,0.0061779+0.030162i,0.0014202+0.0046294i,0.004491-0.0012413i,-0.0025103-0.0045407i,0.010038+0.0089534i,0.0084155+0.015195i,0.0044277+0.001873i,0.0023132-0.0040359i,0.0013568+0.0023684i,0.0046417-0.010751i,0.010945-0.0048459i,0.0094204-0.0011292i,-0.0043085+0.0024203i,0.01088+0.002022i,0.0092913+0.00022529i,0.0068137-0.000361i,-0.0018319-0.0030233i,-0.0010682-0.009308i,-0.0041923-0.011647i,-0.0010971-0.00058767i,-0.024+0.0088924i,-0.0063035-0.0063112i,-0.0050429+0.0025801i,0.0018569-0.0051317i,-0.0021647+0.00077815i,-0.012652-0.0086536i,-0.0055904-0.002837i,0.0021775-0.0018168i,-0.0018548-0.004957i,-0.0033694-0.0071437i,-0.0087756+0.0014033i,-0.0053453-0.00050623i,-0.0078513-0.0014168i,-0.0014814-0.0032245i,-0.0015394-0.0025475i,0.00097372+0.0014274i,-0.023103+0.017861i,-0.022228-0.0087181i,-0.012941-0.0009563i,0.0063089+0.020645i,-0.0067895+0.013832i,-0.0024006-0.00037635i
0.0066179-0.0085431i,0.010124-0.0060578i,0.0096589-0.0010657i,0.012847+0.004813i,0.016203-0.0021547i,0.014781-0.013835i,0.021089-0.00012053i,0.013839+0.0036033i,0.0057652-0.007492i,-0.0024185+0.001818i,-0.00098273+0.0003273i,-0.0012382-0.000694i,-0.00194+0.0030315i,-0.0027459+0.0018239i,0.00087897+0.0025468i,0.0021356-0.00072381i,0.0036613-0.00022067i,0.0010339-0.0014153i,-0.00060926-0.00037876i,-0.00059079-0.0004448i,0.00081971-0.0014792i,-0.00176-0.001392i,-0.0019525-0.00062743i,0.0038118+0.0061468i,-0.0014757-0.00020286i,-0.0015853+0.0010818i,-0.0016516-0.00066039i,-0.001985-0.00089945i,-0.00059008-0.0020878i,-0.002831-0.0005462i,0.0020185-0.0012973i,5.8125e-05+0.00024916i,0.0013748-0.00055176i,0.0014983+0.00054752i,0.00094077+0.00049654i,-0.011457+0.002506i,-0.001419-0.0011296i,-0.00086294-7.6865e-06i,-0.0018541-0.0004982i,0.0020486-0.001402i,0.00018368-0.0002614i,0.00059288-0.0007509i,-0.0023484+0.0016819i,0.003654+0.0018098i,-0.00031967-0.015332i,-0.031219-0.010864i,-0.00062607-0.0099138i,-0.011034+0.0049359i,0.007824+0.026825i,-0.0028043+0.0011366i,0.018279-0.010852i,-0.0032835-0.023226i,-0.0040383-0.0085548i,0.0025695-0.0039789i,0.013674+0.024923i,0.0012799+0.0037495i,0.00133-0.0013252i,-0.0044292-0.0026731i,0.012547+0.0030223i,0.011246+0.012i,0.002164+0.0023713i,-0.00089208-0.006198i,0.0051132+0.0016033i,-0.00065801-0.0099476i,0.0072745-0.008554i,0.0090211-0.0044167i,-0.0036987+0.0042343i,0.011986-0.0030273i,0.0086413-0.0050127i,0.0053927-0.0043726i,-0.0022714-0.0024114i,-0.0040495-0.0083925i,-0.0087515-0.0067822i,0.00013023-0.00083571i,-0.018597+0.01839i,-0.0079838-0.0043684i,-0.0022586+0.0038549i,-0.0013223-0.0058854i,-0.00083255+0.0014549i,-0.015199-0.0036298i,-0.0049895+0.00069334i,0.00065837-0.0031849i,-0.0038206-0.0035464i,-0.0050527-0.005483i,-0.0055811+0.004733i,-0.0038053+0.0016944i,-0.0076337+0.0028806i,-0.0042773-0.0023874i,-0.0023922-0.0021268i,0.0042231+0.00063735i,-0.013134+0.023823i,-0.026028-0.0072712i,-0.011285-0.0008212i,0.0084307+0.018256i,-0.0039957+0.01578i,-0.0032789-0.0038274i
