-0.023701-0.019075i,-0.032264-0.033722i,-0.022293-0.019844i,-0.032254-0.020806i,-0.024113+0.0038516i,-0.028907-0.018367i,-0.055078-0.047975i,-0.040971-0.044879i,-0.029703-0.023747i,0.0054331+0.0057906i,-0.0034902+0.0067612i,-0.010761+0.011199i,0.0040295+0.0067554i,-0.0036085-0.0027972i,0.0029332+0.0017849i,0.0015988+0.028402i,0.025348+0.031814i,-0.00016205+0.0002296i,-0.0027511-0.0027425i,0.0076564+0.0037421i,0.001884+0.00054781i,-0.00020044+0.0025781i,-0.00060976+0.00017984i,-0.0318-0.0017435i,-0.0033192-0.0049908i,7.0491e-05+0.0024396i,0.0039771-0.00090308i,0.0010671-0.00028122i,-0.00072955-0.00053935i,-0.00091256-0.0019583i,-0.0021414-0.00067635i,-0.003989-0.0037529i,-0.0028148-0.0051585i,0.00043637-0.0013219i,0.00070306-0.0032374i,-0.001572+0.025871i,0.0019557-0.0027595i,0.0023857-0.0040262i,0.0045625-0.0021268i,-0.0054849-0.0017478i,0.00077182+0.0014769i,0.010548-0.00013679i,-0.0010424+0.00034595i,-0.0031815+0.0016145i,-0.0082289-0.0018962i,-0.018488+0.021192i,-0.0080944-0.086698i,-0.0024127-0.061352i,-0.021127-0.053862i,-0.011464-0.045806i,0.053482-0.026964i,0.024078-0.066939i,0.040598-0.054484i,0.018336-0.03944i,0.02601-0.019674i,0.012044+0.012019i,0.02539-0.028674i,-0.011286-0.00074347i,-0.0012375-0.00063659i,-0.0086451-0.001736i,-0.0046771-0.029962i,-0.021169+0.026358i,0.0073888-0.0092868i,-0.010657-0.0032102i,-0.0027608-0.0018318i,-0.00060329-0.014652i,-0.0086343+0.0052635i,0.0061259+0.010586i,-0.010584+0.030079i,0.006279+0.0075022i,-0.0035637-0.0015448i,-0.0021896-0.0013596i,-0.012784-0.0061088i,0.00067673-0.0043416i,-0.03338+0.0028901i,0.0031204-0.008727i,-0.0074745-0.0022077i,-0.0053338-0.0030646i,0.0070143+0.0019857i,-0.010559+0.00038722i,0.0021578-0.00032177i,0.0059253+0.007601i,0.0054476+0.0010168i,-0.0074967-0.010088i,0.0026873+0.0081073i,-0.019274+0.0076226i,0.0035049+0.0056986i,-0.020941-0.0094026i,-0.027442-0.0053898i,0.0099544-0.06167i,0.018968-0.015384i,-0.049973-0.028741i,-0.021479+0.0016003i,0.019013+0.010346i,-0.026954+0.011595i,-0.012605-0.0080628i
-0.01059+0.013515i,-0.021962+0.041588i,0.0011879+0.04091i,-0.010464+0.02518i,-0.00035649+0.021317i,0.001392+0.023585i,-0.026714+0.014653i,-0.026903+0.032718i,0.0010909+0.01729i,-0.0013136-0.0014346i,-0.00087501+0.0016391i,0.0042238+0.0035698i,0.0033204+0.0049851i,-0.0030978+0.0017771i,-0.0030942+0.0036478i,0.0006197-0.00762i,-0.0081601-0.00086434i,-0.0020655+0.00010115i,0.00011926-0.0012501i,-0.0010878-0.00042665i,0.00065818-0.0032081i,0.001143-0.0027299i,0.0011158-0.0015116i,-0.0092029-0.0092157i,-0.0002849-0.00038951i,-0.0014177+0.00035539i,-0.002427+0.0001126i,-0.0029269-0.00018478i,-0.00095635-0.00089471i,0.001044-0.00055639i,-0.0017984+0.00032756i,0.0014097-2.108e-05i,0.0018057-0.00089637i,0.00071085+0.0004473i,-0.00045069+0.0019339i,-0.00056391-0.0072997i,-0.0013954+0.00099047i,0.0019179-3.6244e-05i,0.00040369+0.0023706i,0.0045905+0.00576i,0.0010033-0.0016092i,-0.0017517-0.0011049i,-0.0014485-0.002413i,0.0033245+0.0051874i,-0.0079887+0.0072101i,0.019786-0.058159i,-0.07445+0.014877i,-0.027805-0.018708i,-0.060923-0.047863i,-0.053164-0.017155i,-0.087195+0.0030087i,-0.074063+0.0011527i,-0.045351-0.034797i,-0.0083669-0.045577i,-0.038438-0.026065i,-0.006191+0.00049554i,-0.031398+0.010426i,0.0078242+0.011856i,0.0098133+0.0072484i,0.00069433-0.0077496i,0.010912+0.0032489i,-0.011629-0.0038277i,0.0027648+0.011981i,0.0017861+0.0065727i,-3.1124e-06-0.0014241i,0.0054871+0.0018401i,0.004061+0.00057487i,-0.0044163+0.01892i,-0.00036257+0.0095869i,4.4204e-05-0.003729i,0.0083961-0.0057453i,0.0013435+0.0039673i,-0.0082823-0.0069952i,-0.0022793-0.00091624i,0.020972-0.030985i,0.0051814+0.0086411i,0.0018324+0.0031035i,-0.0017813+0.0042184i,0.0026912-0.0037329i,0.019376+0.0029418i,0.0013877-0.0018965i,-0.003054-0.0064739i,-0.00025491-0.001677i,0.011553+0.0046675i,0.0053635-0.00075043i,0.0033534-0.0080904i,0.0042883+0.0049804i,-0.0047638+0.0035418i,0.013676+0.0067227i,-0.04348-0.037743i,-0.012643+0.0052302i,-0.0024974-0.0021801i,-0.00053969+0.0021531i,-0.040354+0.011105i,-0.007066+0.0089461i,-0.013336+0.0041314i
-0.0077827+0.014033i,-0.014898+0.042242i,0.010393+0.034788i,-0.0053394+0.025871i,0.0026572+0.018977i,0.0058529+0.022269i,-0.025597+0.019428i,-0.01957+0.034854i,0.0047566+0.011278i,-0.0017209-0.00048285i,-0.00012241+0.0027514i,0.0048283+0.0011607i,0.0041344+0.003107i,-0.0015813+0.0029477i,-0.0023362+0.0046914i,-0.0041314-0.0056604i,-0.0089161+0.0033092i,-0.0018187+0.00088368i,0.00086322-0.00083022i,-0.00051523+5.7464e-05i,-7.3883e-05-0.0031496i,0.00098612-0.0021436i,0.00088405-0.0015084i,-0.011418-0.0062513i,1.0654e-05-0.00026971i,-0.0013498+0.00073699i,-0.0017409+0.0010071i,-0.0025105+0.00062698i,-0.0012958-0.00077891i,0.0011082-0.00074085i,-0.001564+0.0012244i,0.00086928-0.0003551i,0.0009887-0.0014446i,0.00021167+0.00040702i,-0.00096241+0.0014958i,-0.00078258-0.0057973i,-0.00081596+0.001145i,0.00082538-0.00057766i,0.00050965+0.0025731i,0.0056396+0.0028911i,0.00053187-0.002099i,-0.0026981-0.00076803i,-0.0028381-0.0014895i,0.0046288+0.0043416i,-0.0059024+0.0050948i,0.0015591-0.067648i,-0.065449+0.029316i,-0.034874-0.021383i,-0.073775-0.038987i,-0.053413-0.0057692i,-0.078465+0.021134i,-0.071617+0.016317i,-0.040062-0.033662i,-0.014098-0.0438i,-0.045005-0.011413i,-0.0071651+0.00045467i,-0.02478+0.022776i,0.010284+0.0060634i,0.011829+0.0010942i,-0.0048146-0.011634i,0.0072324+0.0024866i,-0.011437+0.0025237i,0.0075237+0.0099995i,0.0037391+0.0074655i,-0.00091404-0.00099289i,0.0063683+0.0022899i,0.0051398+0.00060503i,0.0042558+0.015781i,0.0041008+0.0059206i,-0.0036551-0.0050024i,0.0023049-0.006744i,0.0030106+0.0047041i,-0.010559+0.00015511i,-0.0022531+0.0017773i,0.0064635-0.031614i,0.0082209+0.0076237i,0.0043757+0.0022615i,0.0018476+0.0032256i,-0.00045072-0.001638i,0.017271-0.0057295i,-8.9532e-05-0.0026352i,-0.0061931-0.0042862i,-0.0027181-0.00057277i,0.010269+0.0001173i,0.0044939-0.00021928i,0.00019126-0.0063377i,0.0062652+0.0036701i,-0.0047553+0.0052765i,0.013762+0.0015255i,-0.049866-0.031444i,-0.0068087-0.0053382i,-0.0031387-0.0026287i,0.0007281+0.00064591i,-0.033981+0.022965i,-0.0048926+0.010314i,-0.010786+0.006188i
-0.0047812+0.013693i,-0.0084209+0.042789i,0.015569+0.027124i,-0.00058083+0.024588i,0.0062179+0.017765i,0.009813+0.019783i,-0.022315+0.024369i,-0.012686+0.034794i,0.0035558+0.0065233i,-0.0017875+0.0007172i,0.0016095+0.0032104i,0.0023699-0.00026674i,0.0043624+0.0018608i,-0.0006207+0.0030672i,-0.0010259+0.0056198i,-0.0071384-0.0011804i,-0.0072393+0.0075663i,-0.00091474+0.0015219i,0.0015588-0.0018126i,0.00013931-0.00030557i,-0.0010732-0.0030274i,0.00090062-0.0028455i,0.00074007-0.0016856i,-0.013138-0.0028484i,-0.00015011-0.0002739i,-0.00084187+0.001373i,-0.00092408+0.00077812i,-0.00162+0.0016217i,-0.001348-0.00054165i,0.00064507-0.0014698i,-0.00077942+0.0017i,0.00055156-0.00046258i,0.00028298-0.001421i,0.0004501+0.00033537i,-0.00054899+0.0024629i,-0.00018503-0.0057023i,-0.00071781+0.00092033i,0.00028025-0.00073746i,0.0021776+0.0014756i,0.0052097+0.0007736i,-0.00019097-0.0021176i,-0.0018905+0.00050173i,-0.0039383-0.00011338i,0.0055233+0.0025591i,-0.0056262+0.0036536i,-0.020729-0.068251i,-0.051622+0.038592i,-0.043729-0.018375i,-0.081836-0.024099i,-0.048731+0.002897i,-0.063427+0.03283i,-0.05873+0.029187i,-0.044122-0.03529i,-0.01945-0.042866i,-0.044585+0.0037749i,-0.0073325+0.001867i,-0.012757+0.029126i,0.010844+0.0014331i,0.0084193-0.004896i,-0.014928-0.010456i,0.0069907+0.00074511i,-0.0082193+0.0064608i,0.01041+0.00484i,0.0060649+0.0065112i,-0.0027904+0.00054751i,0.0068549-0.0015134i,0.0067148-0.0020798i,0.007661+0.009877i,0.0041733+0.0021585i,-0.008306-0.0017479i,-0.00014933-0.0050052i,0.0058321+0.0037173i,-0.0062143+0.0087978i,0.00014626+0.0031466i,-0.003625-0.027725i,0.011845+0.0036613i,0.004245+3.3462e-05i,0.0022098+0.0011283i,0.00044875+0.00013395i,0.011333-0.010703i,-0.0024908+0.00015966i,-0.007235-0.00078123i,-0.003179+0.0027191i,0.0068977-0.0024529i,0.0071744-0.0017666i,-8.4076e-05-0.005753i,0.0089812+0.00054303i,-0.0016993+0.0062043i,0.011886-0.0027718i,-0.054765-0.020606i,-0.012977-0.013897i,-0.0020899-0.0036867i,0.0017265-0.0012147i,-0.023635+0.028799i,-0.0026765+0.0057466i,-0.0070781+0.0026028i
-0.002392+0.012378i,-0.0012634+0.043024i,0.017544+0.019778i,0.0040528+0.023297i,0.010328+0.014354i,0.01324+0.016416i,-0.017138+0.028315i,-0.007356+0.033023i,0.0020517+0.0052068i,-0.0011305+0.0016759i,0.00289+0.0020205i,0.0011069+0.0014127i,0.0042346+0.00071461i,-0.00051637+0.003644i,0.00050047+0.0057989i,-0.0065984+0.004392i,-0.0029072+0.010491i,-2.4227e-05+0.0012924i,0.00068384-0.0023631i,-5.4988e-05-0.0010058i,-0.0018571-0.0023173i,0.000285-0.0030087i,0.00043287-0.002167i,-0.013213+0.0018689i,-6.1613e-05-0.00031025i,0.00011415+0.00095985i,-0.00075381+0.00034424i,-0.00042945+0.0015346i,-0.0015538+0.00012809i,-0.00023088-0.0013593i,-1.6115e-05+0.0016963i,0.00022496-0.00059993i,-0.00059423-0.0011315i,0.00044445+0.00016963i,0.00089985+0.0021953i,-0.00081615-0.0073693i,-0.00031122+0.001256i,-0.00042386-0.00055574i,0.0017596-0.00056973i,0.0045992-0.00065968i,-0.00068279-0.001936i,-0.0010147+0.00034503i,-0.0039473+0.0017766i,0.0046325+0.00016812i,-0.0061538+0.0034383i,-0.039896-0.056554i,-0.037774+0.040985i,-0.050936-0.010449i,-0.085934-0.0084671i,-0.042868+0.0079633i,-0.050035+0.036815i,-0.045041+0.031994i,-0.048995-0.029424i,-0.024549-0.038801i,-0.039443+0.015307i,-0.0073651+0.0032711i,-0.00078421+0.029346i,0.0096919-0.0033167i,0.0030175-0.0066007i,-0.021511-0.00093229i,0.0043664+5.3401e-05i,-0.0045335+0.0079681i,0.0093043-0.0012999i,0.0083528+0.0052116i,-0.0027771+0.0031434i,0.0036136-0.0027648i,0.0057014-0.0065097i,0.0073282+0.0038798i,0.0017055+0.00031516i,-0.0083832+0.0020933i,-0.0017142-0.0036286i,0.0070397+0.0012799i,0.0027491+0.0098752i,0.001764+0.0019822i,-0.0095295-0.021891i,0.011742-0.0010125i,0.0036919-0.0013599i,0.0027306+0.0015325i,0.00074179-0.0001526i,0.0058892-0.011018i,-0.00011776+0.0025448i,-0.0067019+0.0024458i,-0.00072859+0.0044916i,0.0050899-0.0022716i,0.0070228-0.0061245i,-0.0022363-0.0050384i,0.0079198-0.0046969i,-0.00019707+0.0048671i,0.010036-0.0069182i,-0.053142-0.007991i,-0.023041-0.014468i,-0.0028322-0.0072287i,0.0025419-0.0051453i,-0.015821+0.029503i,-0.0065895+0.0038416i,-0.0095409+0.00012347i
-0.00099097+0.011183i,0.0054173+0.041517i,0.016992+0.014282i,0.0085291+0.020643i,0.012747+0.0097578i,0.015273+0.012545i,-0.010802+0.030044i,-0.0032947+0.031497i,0.0021029+0.0051068i,0.00015033+0.0020646i,0.0030675+0.0010997i,0.0019354+0.0024633i,0.0039579-0.00031051i,0.00098612+0.0045734i,0.0020842+0.0055431i,-0.0033914+0.0076929i,0.001617+0.010843i,0.00041465+0.0010775i,0.00044254-0.0022675i,-0.0006368-0.0011357i,-0.0025753-0.0016447i,-0.00046774-0.0028987i,-0.00042527-0.0023692i,-0.010556+0.0054128i,-0.00030146-0.00070654i,6.6544e-05+0.00017763i,-0.00081903+0.00035586i,0.00014193+0.001009i,-0.0012606+0.00084909i,-0.0003318-0.00086616i,0.00048074+0.0015159i,0.0001361-0.00092965i,-0.0010462-0.00045848i,0.00026266-1.2655e-05i,0.0010731+0.0013664i,-0.0031336-0.0084015i,-4.837e-06+0.001143i,-0.0005233+0.00024895i,0.00044296-0.00092079i,0.0037736-0.0011551i,-0.0011606-0.0017173i,-0.00082157+0.00040892i,-0.0025414+0.0032396i,0.0032529+0.00054298i,-0.0059936+0.0043685i,-0.047237-0.039682i,-0.027557+0.038823i,-0.055195-0.0001318i,-0.087333+0.0086083i,-0.038683+0.0091396i,-0.038484+0.037907i,-0.035117+0.03184i,-0.050189-0.023655i,-0.027105-0.035276i,-0.032268+0.025412i,-0.0066716+0.0048687i,0.01192+0.024686i,0.007159-0.0061782i,-0.0016459-0.0054553i,-0.021041+0.0083467i,0.0035158+0.00053526i,-0.00048538+0.0095002i,0.0041948-0.0036319i,0.0102+0.0024972i,-0.0013332+0.0049985i,0.0016032-0.001617i,0.0027152-0.0092891i,0.003861+0.0024175i,-0.00031054+0.0014135i,-0.0076989+0.0066528i,-0.0028244-0.00142i,0.0069405-0.0014064i,0.0070125+0.005285i,0.0022761+0.0010354i,-0.012321-0.019246i,0.0099375-0.0052424i,0.0026611-0.0024104i,0.0050964+0.00043349i,0.001154-0.00013252i,0.0029253-0.0096196i,0.0022625+0.0018102i,-0.004223+0.0056316i,0.0018667+0.0041176i,0.0045825-0.0023292i,0.0031987-0.01067i,-0.0027304-0.0033993i,0.0039008-0.0076268i,-8.3465e-05+0.0037138i,0.0052922-0.010673i,-0.04726-0.0016446i,-0.032938-0.0062134i,-0.0055416-0.0088605i,0.00054941-0.0098154i,-0.0089462+0.02936i,-0.010052+0.0063827i,-0.010939+0.0019415i
0.00020459+0.010294i,0.011552+0.039373i,0.016194+0.011355i,0.011776+0.016764i,0.01284+0.0050219i,0.016601+0.0090857i,-0.004267+0.029476i,0.00023933+0.030275i,0.0026243+0.0037042i,0.0008287+0.0014086i,0.0026087+0.00034806i,0.0029843+0.0025781i,0.0033729-0.0011835i,0.0027604+0.0037656i,0.0033185+0.0047629i,0.00025611+0.00886i,0.0060344+0.0090624i,0.00081698+0.00083313i,-0.00020071-0.0026152i,-0.001195-0.0010054i,-0.0026557-0.00049135i,-0.00089018-0.0026568i,-0.001071-0.0019881i,-0.0082843+0.0066524i,-0.00083237-0.00049892i,-0.00028284+4.3484e-05i,-0.0009602+0.00048765i,0.00039386+0.00034718i,-0.00052955+0.0011294i,-0.000352-0.00078059i,0.0010547+0.0013078i,-0.0003376-0.0010913i,-0.00098115+0.0001262i,-9.2174e-06-0.00012937i,0.0012081+0.001432i,-0.006079-0.0082546i,3.5443e-05+0.00084121i,-3.3361e-05+0.00043852i,-0.00010677-0.00068244i,0.0032257-0.001514i,-0.0014596-0.00097714i,-0.0007482+0.00045536i,-0.00071358+0.003629i,0.0032448+0.0012643i,-0.0050274+0.0056228i,-0.045641-0.027479i,-0.020507+0.03664i,-0.055377+0.013063i,-0.082219+0.028907i,-0.039271+0.009895i,-0.029582+0.036194i,-0.026581+0.030446i,-0.050118-0.017782i,-0.030768-0.032454i,-0.022984+0.030239i,-0.006269+0.0066119i,0.018565+0.010829i,0.0046198-0.0085175i,-0.0047279-0.0019821i,-0.015742+0.016424i,0.0037387-0.00043687i,0.0045757+0.0073399i,0.0012887-0.0014594i,0.011409-0.0019281i,0.00072676+0.0064034i,0.0009818-0.00059853i,-0.0031211-0.010806i,0.0022457+0.0042444i,-0.00019033+0.0035364i,-0.0024009+0.011445i,-0.0016343+0.00063619i,0.0058104-0.0030386i,0.0078357+0.0012228i,0.0031577-0.00046154i,-0.018286-0.017943i,0.0062716-0.0077631i,0.00093611-0.0029349i,0.0040963-0.0018555i,0.0010288+0.00054378i,0.0021031-0.0077884i,0.0030442+0.00025032i,-0.00083582+0.0066992i,0.0031391+0.0018484i,0.0034851-0.0031457i,-0.0030279-0.010526i,-0.0031375-0.003264i,0.00018224-0.0074772i,0.00053701+0.0028895i,-0.0010395-0.010702i,-0.044191+0.0024345i,-0.030095+0.0085996i,-0.0087128-0.0091398i,-0.0037718-0.011798i,-0.0041139+0.027871i,-0.0091183+0.011784i,-0.0083949+0.0030893i
0.0012813+0.0093769i,0.017379+0.036767i,0.016454+0.0091376i,0.013424+0.012474i,0.011461+0.0017264i,0.017566+0.0055405i,0.0011816+0.027618i,0.0036899+0.029332i,0.002915+0.0028992i,0.00086787+0.0010402i,0.0022211+0.00049029i,0.0045891+0.0023402i,0.0025011-0.0016877i,0.0036156+0.0019723i,0.00414+0.0037945i,0.0036184+0.0084076i,0.008923+0.0058415i,0.0011671+0.00056431i,-0.001058-0.0026724i,-0.0016215-0.00043981i,-0.0021662+0.00032245i,-0.0015444-0.0024921i,-0.0014655-0.001526i,-0.0068033+0.0086917i,-0.0010626-0.00016233i,-0.00053331+0.00031202i,-0.0010177+0.00089158i,-0.00010664-0.00015939i,-0.00019982+0.00087151i,-0.00058968-0.00076417i,0.0015458+0.00076365i,-0.00043213-0.00052839i,-0.0004816+0.00018567i,-0.00013244-1.8125e-05i,0.0017852+0.00063367i,-0.0090877-0.0070548i,0.00026701+0.00080655i,8.2274e-05-3.1042e-05i,-0.00065941-0.00046967i,0.0027456-0.0019889i,-0.0012969-0.00034356i,-0.00035131+0.00053487i,0.00047253+0.0027216i,0.003766+0.00082223i,-0.0030998+0.0060182i,-0.044043-0.022931i,-0.015322+0.034915i,-0.049612+0.024943i,-0.070553+0.045347i,-0.039643+0.015437i,-0.022947+0.03497i,-0.021178+0.027472i,-0.049492-0.013705i,-0.033687-0.027428i,-0.014955+0.033049i,-0.0036947+0.0072307i,0.01328-0.0015876i,0.00072053-0.010633i,-0.0049324+0.0012139i,-0.0089692+0.018936i,0.0023408-0.0018861i,0.0063352+0.002708i,0.0021078-0.00024015i,0.0095799-0.0054553i,0.0048806+0.0063674i,0.0010801+0.0011766i,-0.0084371-0.0054827i,0.0037049+0.0058942i,0.0013349+0.0051107i,0.0037817+0.011139i,-0.00089971+0.00093044i,0.0046064-0.0044465i,0.0077991-0.004025i,0.0016954-0.0017651i,-0.024984-0.011552i,0.003007-0.0083733i,-0.00045051-0.0018176i,0.0041474-0.0010218i,0.001596+0.00049504i,0.0025945-0.0091658i,0.0025697-0.0014521i,0.0020446+0.005206i,0.0028812+0.0010655i,0.0031284-0.0024999i,-0.006451-0.0070041i,-0.0047575-0.0024976i,-0.0034555-0.0063043i,0.00061089+0.0017559i,-0.0049089-0.0076088i,-0.040569+0.0073026i,-0.023879+0.010377i,-0.0086956-0.0087018i,-0.0074942-0.011313i,0.0011033+0.025119i,-0.0068925+0.013235i,-0.0080193+0.0025389i
0.0022058+0.0083818i,0.023073+0.033469i,0.017336+0.0072542i,0.013834+0.0089592i,0.0095557-0.00026354i,0.01776+0.0020663i,0.0057816+0.024866i,0.0073975+0.028229i,0.0034697+0.0015071i,0.00095988+0.00081347i,0.00261+0.00063216i,0.0059604+0.00038888i,0.0016704-0.001773i,0.0030158+0.00088856i,0.0048532+0.002915i,0.0063764+0.0060881i,0.010128+0.0025672i,0.0015428-7.3189e-05i,-0.0018891-0.0023403i,-0.0015107+0.00053463i,-0.0014814+0.00085503i,-0.0021201-0.0016571i,-0.0015883-0.0010965i,-0.0030709+0.010229i,-0.0010179+0.00023168i,-0.00036553+0.00070437i,-0.00081415+0.0013671i,-0.00086987+1.3433e-05i,-5.022e-05+0.00083599i,-0.00076168-0.00051336i,0.0015827+5.7267e-05i,-0.00017151-0.00060908i,-0.00058863+0.00016535i,-0.00024688+2.9528e-05i,0.0014802-0.00018485i,-0.011659-0.0040999i,0.00038746+0.00068093i,-0.00020742-5.2808e-05i,-0.0010645-0.00019954i,0.0022756-0.0023269i,-0.00087708-0.00018599i,-0.00022355+0.0002981i,0.00076066+0.0018755i,0.0039538+0.00030166i,-0.001423+0.0051325i,-0.046632-0.019434i,-0.011137+0.033165i,-0.041959+0.034224i,-0.05548+0.055789i,-0.03863+0.02127i,-0.01636+0.032849i,-0.017211+0.025975i,-0.050027-0.010199i,-0.034897-0.021423i,-0.0062656+0.03413i,-0.0019026+0.0067117i,0.0058306-0.004046i,-0.0036772-0.010784i,-0.0032699+0.0044852i,-0.0027957+0.018162i,-6.2025e-05-0.0024397i,0.0054656-0.0015741i,0.0017003-0.00010404i,0.0067026-0.0086919i,0.0079687+0.0035581i,0.002443+0.00181i,-0.0091758-0.0011622i,0.0060553+0.0063762i,0.0037639+0.0056691i,0.0088806+0.0082807i,-0.0003711+0.0016202i,0.0037687-0.0054302i,0.0047374-0.0077062i,0.00053352-0.00070148i,-0.02875-0.0019517i,0.0008412-0.008298i,-0.00049397-0.00055458i,0.0047954-0.0011437i,0.0020314+0.0001005i,0.00099114-0.011666i,0.00074031-0.0017569i,0.0036907+0.0038741i,0.0033593-4.2144e-05i,0.004363-0.0032568i,-0.0080161-0.0041064i,-0.00623+0.00013305i,-0.0066073-0.0038369i,0.00044925+0.00066632i,-0.0062499-0.0045825i,-0.036757+0.010431i,-0.021557+0.011481i,-0.0085211-0.010315i,-0.010521-0.0099482i,0.0022475+0.022447i,-0.0061054+0.013509i,-0.0073407+0.0026667i
0.0032056+0.00761i,0.02912+0.028853i,0.019205+0.00465i,0.013652+0.0062217i,0.0084216-0.00072232i,0.01743-0.0011856i,0.0090993+0.021012i,0.011704+0.026474i,0.0033768-0.00035265i,0.0010194+0.00059481i,0.0029686-0.00010178i,0.0054169-0.0024133i,0.0011165-0.0015675i,0.002825+0.00042373i,0.005531+0.0016992i,0.006987+0.0031179i,0.0098366-0.00095333i,0.0010603-0.00081628i,-0.0026918-0.0015464i,-0.00075977+0.0010068i,-0.00054175+0.0008207i,-0.0019961-0.0010999i,-0.0017143-0.00068847i,0.00056095+0.0096857i,-0.00077168+0.00050299i,-7.7687e-05+0.00075407i,-0.00026661+0.0016811i,-0.00094072+0.00069688i,0.00031087+0.00047027i,-0.00079659-0.00038444i,0.0013252-0.00052254i,-0.00064286-0.0006824i,-0.00056058+0.00046256i,-0.00028561+0.00010189i,0.00094635-0.00053609i,-0.012396+0.00018632i,0.00037814+0.0005624i,-0.0001535+6.6131e-05i,-0.0013023+0.00032751i,0.0016614-0.0026405i,-0.00090783-0.00021195i,-0.00013313+0.00020568i,0.00063298+0.0014255i,0.0041006-0.0004174i,-0.00075541+0.004118i,-0.051672-0.012536i,-0.0072975+0.031318i,-0.030909+0.039796i,-0.040547+0.062412i,-0.036282+0.029379i,-0.01039+0.029172i,-0.01125+0.023868i,-0.050486-0.0051894i,-0.033767-0.015373i,0.0012447+0.033267i,-0.0013312+0.005986i,0.00083392-0.0046101i,-0.0081719-0.0096154i,0.00068338+0.0053675i,0.00057347+0.016031i,-0.0028777-0.0014652i,0.003201-0.0048357i,0.0027513+0.0016467i,0.0020091-0.010575i,0.0091041-0.0011056i,0.003797+0.001319i,-0.008761+0.0037232i,0.0098421+0.0055001i,0.007424+0.0041055i,0.012215+0.0031452i,0.00064085+0.0021479i,0.002074-0.0062174i,-0.00066036-0.0086789i,0.0012689+0.00080096i,-0.028739+0.0089527i,-0.0013656-0.0079038i,0.00027392+0.00060368i,0.0053137-0.0046655i,0.002566-0.0003569i,-0.00395-0.013178i,-0.00032401-0.0008582i,0.0046477+0.0020342i,0.0031332-0.00057238i,0.0038655-0.0048452i,-0.0084815+0.00042107i,-0.0056681+0.0034746i,-0.0078496-0.00039669i,-0.00087404-0.00056776i,-0.0065369-0.0021719i,-0.033797+0.012949i,-0.019829+0.015683i,-0.011018-0.014043i,-0.010887-0.0076485i,0.0044321+0.021548i,-0.0059264+0.015792i,-0.0057883+0.0015769i
0.0042489+0.0064353i,0.033791+0.022524i,0.020418+0.00031412i,0.013417+0.0038945i,0.008171-0.0010509i,0.016841-0.0041081i,0.010923+0.017348i,0.015405+0.023482i,0.0023703-0.0018806i,0.00086763+0.00053348i,0.0027521-0.00084001i,0.0033779-0.0038318i,0.00072956-0.0014438i,0.002492-8.4039e-05i,0.0056569+0.00024545i,0.006025+0.0012749i,0.0083896-0.0036778i,0.0005905-0.0010282i,-0.0028113-0.00054953i,-3.355e-05+0.00099243i,0.0002523+0.00041713i,-0.0018961-0.00087233i,-0.0016121-0.00031745i,0.0032561+0.0087266i,-0.00059606+0.00058057i,0.00013467+0.00076762i,0.00044137+0.0013862i,-0.00055482+0.0011463i,0.00024327-6.6846e-05i,-0.00098838-0.00013491i,0.00094397-0.0009024i,-0.0010501-0.00022953i,-0.0002175+0.00073638i,-0.00027247+0.00027782i,0.0006616-0.00089193i,-0.011468+0.0037809i,0.0004278+0.00037193i,-0.00017908-8.7845e-05i,-0.0012257+0.001021i,0.00089585-0.0031269i,-0.00087354+7.8715e-05i,-0.00020553-0.00017743i,0.00049385+0.001403i,0.004116-0.0012055i,-0.00029019+0.0035742i,-0.053649-0.0011257i,-0.004979+0.029769i,-0.021241+0.040864i,-0.023989+0.066366i,-0.029545+0.038295i,-0.0072333+0.024022i,-0.0078757+0.018023i,-0.049075-9.2908e-05i,-0.030765-0.0096871i,0.0095265+0.030312i,-0.00090254+0.0060575i,-0.0044891-0.0030687i,-0.011738-0.0061185i,0.0033985+0.0030967i,0.0030382+0.015083i,-0.0057993+0.0012328i,-0.00069506-0.0070597i,0.005178+0.00049504i,-0.0030046-0.0094861i,0.006844-0.0047381i,0.0050077-0.00045562i,-0.0070267+0.0071534i,0.012837+0.00084313i,0.008865-0.00083557i,0.012025-0.003898i,0.0022324+0.0018902i,5.9258e-05-0.006377i,-0.0042229-0.0053903i,0.0030279-0.00020985i,-0.023651+0.021428i,-0.0033133-0.0066071i,0.0017003+0.00088782i,0.0021673-0.0063163i,0.0027018-0.00074398i,-0.0097343-0.010975i,-1.4135e-05+0.00071709i,0.0048521-8.0347e-05i,0.0028611-0.0014689i,0.0026376-0.0054724i,-0.0063693+0.0044001i,-0.0032229+0.0056384i,-0.0076202+0.0036804i,-0.0031956-0.00040565i,-0.0061126-0.00056385i,-0.0296+0.017315i,-0.012104+0.019059i,-0.017431-0.015131i,-0.010256-0.007273i,0.0052559+0.020433i,-0.0031666+0.01899i,-0.0057259-0.0014701i
