-0.023468-0.018958i,-0.032711-0.033004i,-0.022522-0.019404i,-0.032543-0.020045i,-0.023922+0.0043703i,-0.028819-0.01767i,-0.058301-0.043721i,-0.041336-0.041191i,-0.031238-0.023714i,0.0052583+0.0056411i,-0.0034192+0.0061965i,-0.01105+0.011167i,0.0039616+0.0069597i,-0.0036988-0.0026511i,0.0028506+0.0016232i,0.0040158+0.028332i,0.026328+0.032271i,9.362e-05+0.00022198i,-0.002967-0.0028703i,0.007483+0.0039788i,0.0019515+0.00052353i,-1.4897e-06+0.0026982i,-0.00055502+0.00035856i,-0.032812-0.00088002i,-0.0032775-0.0048518i,3.1703e-05+0.0025814i,0.0039695-0.0011774i,0.00081101-0.00040108i,-0.0005082-0.00057927i,-0.0010862-0.001833i,-0.0021991-0.00062538i,-0.0038113-0.003796i,-0.0029466-0.0052609i,0.00033787-0.0011572i,0.00067679-0.0029963i,-0.0016117+0.025062i,0.0020292-0.0030282i,0.0021373-0.0039803i,0.0043619-0.0025666i,-0.0065339-0.0017043i,0.00085078+0.0011712i,0.010087-0.00038499i,-0.0019312-4.6309e-05i,-0.0032267+0.0014095i,-0.0088603-0.0026488i,-0.018586+0.021261i,-0.0082353-0.086314i,-0.002435-0.0609i,-0.021395-0.053773i,-0.010925-0.045607i,0.053771-0.026128i,0.024365-0.067725i,0.040848-0.053965i,0.018361-0.038833i,0.026153-0.019699i,0.012242+0.011768i,0.025461-0.029395i,-0.011302-0.0012983i,-0.00089672-0.00088041i,-0.0072858-0.0014674i,-0.0053237-0.028986i,-0.020433+0.027332i,0.0075691-0.0094328i,-0.010567-0.0032861i,-0.00237-0.0018459i,-0.00075805-0.014565i,-0.0082416+0.0050967i,0.0051941+0.010311i,-0.0099658+0.030859i,0.0064789+0.0074824i,-0.0036527-0.0016961i,-0.0023765-0.0016109i,-0.013155-0.0059915i,0.0001846-0.0040482i,-0.033311+0.0031901i,0.0030093-0.0090137i,-0.0071011-0.0018436i,-0.0052932-0.0030552i,0.0071052+0.0017564i,-0.010497+0.00084646i,0.0026335-0.00050559i,0.0060718+0.0078369i,0.0057487+0.00096265i,-0.0080116-0.00982i,0.0029463+0.0077642i,-0.019703+0.0076875i,0.0031273+0.0055601i,-0.021176-0.0087963i,-0.027289-0.0050381i,0.0098151-0.061668i,0.018435-0.014659i,-0.051262-0.028786i,-0.023632+0.0021386i,0.019215+0.010265i,-0.02721+0.012194i,-0.012804-0.0079955i
-0.027544-0.014669i,-0.036697-0.022819i,-0.024254-0.016845i,-0.035814-0.015913i,-0.019401+0.00506i,-0.032982-0.011012i,-0.061183-0.030743i,-0.045796-0.034103i,-0.032686-0.015821i,0.0042492+0.0044432i,-0.0043719+0.0051187i,-0.0047089+0.015263i,0.0066233+0.0031156i,-0.0069575+0.00059979i,0.0030769+0.00017997i,0.010205+0.02214i,0.030036+0.017322i,0.0013797+0.0010055i,-0.0032566+5.0003e-05i,0.0075397+0.00032518i,0.0014465+0.0010627i,-1.6979e-05+0.0025948i,-0.00044862+0.00085519i,-0.018041+0.0147i,-0.0048331-0.0029238i,0.0019593+0.0013064i,0.0024401-0.0004894i,0.00089289+0.00047533i,0.00018723-0.00080774i,-0.0020148-0.0014775i,-0.0012826+0.00013961i,-0.0044714-0.0025577i,-0.0040156-0.0039584i,-0.00023205-0.0012938i,6.957e-05-0.0017345i,0.0052934+0.02272i,0.0013593-0.0037698i,-0.00022911-0.0040079i,0.0043964-0.0045548i,-0.003797-0.00080257i,0.0010234+0.0013457i,0.0089697-0.0019159i,-0.0020863+0.0018741i,-0.0048616+0.0033085i,-0.0064812-0.002398i,-0.0045661+0.027585i,-0.024422-0.08397i,-0.019086-0.064539i,-0.018162-0.045629i,-0.01298-0.034381i,0.05466-0.049575i,0.019197-0.088234i,0.041718-0.056856i,0.011737-0.044337i,0.013967-0.015212i,0.012692+0.00076524i,0.012525-0.03232i,-0.010057+0.0059125i,-0.0026144-0.0082083i,-0.0080306-0.0004311i,-0.026492-0.026778i,-0.0084067+0.02503i,0.0020444-0.012033i,-0.012245-1.5568e-05i,-0.002264-0.001329i,-0.0074913-0.013992i,-0.0085182+0.0088346i,0.010344+0.0094466i,0.0086848+0.028813i,0.0079008+0.0022798i,-0.0034045+0.0010027i,-0.0046819-0.0011568i,-0.016287+0.0039754i,0.00039004-0.0032647i,-0.036318+0.010718i,-0.0022742-0.0074699i,-0.0068361+0.0017969i,-0.0066892+0.00010332i,0.0052576-0.0038601i,-0.0093208+0.0042041i,0.0026335-0.0024063i,0.0048848+0.00282i,0.004361-0.0012735i,-0.012751-0.0012142i,0.0028893+0.0051993i,-0.013375+0.014812i,0.004039+0.0027827i,-0.02117+5.1623e-05i,-0.028984+0.0032359i,-0.0011326-0.060877i,0.012538-0.022319i,-0.057357-0.013509i,-0.016366-0.0012151i,0.019649+0.0023169i,-0.02099+0.018999i,-0.019956-0.012679i
-0.029059-0.0088748i,-0.037351-0.018581i,-0.026263-0.016313i,-0.038598-0.0094985i,-0.016437+0.0039156i,-0.035313-0.0037778i,-0.065854-0.017918i,-0.05147-0.026739i,-0.033582-0.010595i,0.0039491+0.0036137i,-0.0042698+0.00812i,0.0024055+0.013552i,0.0059792-0.0011942i,-0.006739+0.0044762i,0.0026763-0.0007722i,0.013455+0.015716i,0.030973+0.0074533i,0.0029331+0.00045009i,-0.0018705+0.0016323i,0.0064902-0.002086i,0.0010943+0.001262i,0.00076797+0.0035741i,1.0009e-05+0.0010479i,-0.0053128+0.017182i,-0.0046946-0.00074455i,0.0024805-0.00072045i,0.0026097-0.0008431i,0.0019228+0.00040811i,-0.00059149-0.0010392i,-0.0024243-0.00066958i,-0.00083716+0.00013935i,-0.0051405-0.00077024i,-0.0049088-0.0022548i,-0.0006923-0.0015397i,0.0006184-0.0035514i,0.011999+0.018126i,0.000257-0.0035625i,-0.0014633-0.0031239i,0.002131-0.0070612i,-0.0038919-0.00063371i,0.0015356+0.001489i,0.0075171-0.0048741i,-0.00034688+0.0032773i,-0.0039397+0.0054752i,-0.0052534-0.0052036i,0.010154+0.02619i,-0.039073-0.07758i,-0.034981-0.057177i,-0.011188-0.047548i,-0.0074093-0.034168i,0.047188-0.071069i,-0.0024062-0.10511i,0.04413-0.066426i,0.0042302-0.043403i,0.010417-0.013452i,0.010033-0.0043285i,0.0033228-0.03426i,0.0012757+0.00584i,-0.010448-0.0084753i,-0.006413-0.0012559i,-0.041983-0.013676i,-0.00065028+0.023095i,-0.0036573-0.011032i,-0.010857+0.0037789i,-0.0040053-0.001182i,-0.015045-0.010611i,-0.0033632+0.014515i,0.016304+0.0028907i,0.019889+0.018258i,0.0080502-0.00041942i,-0.002647+0.00080271i,-0.0053915+0.00074634i,-0.011674+0.012822i,-0.0026343-0.003015i,-0.031187+0.022414i,-0.0034396-0.0044406i,-0.005135+0.0052637i,-0.007749+0.0058083i,-0.00050727-0.0058913i,-0.0064435+0.0067248i,0.00063877-0.0033804i,0.0029597+0.0016944i,0.0031417-0.0027326i,-0.0076454+0.0063691i,0.0024922+0.003003i,-0.0069974+0.016855i,0.0026575+0.00024837i,-0.017925+0.0060921i,-0.025068+0.0116i,-0.0072695-0.057832i,0.0040403-0.02336i,-0.056761+0.0007095i,-0.021042-0.007562i,0.017318-0.0057572i,-0.01017+0.019317i,-0.023808-0.0086989i
-0.028704-0.003661i,-0.040642-0.016208i,-0.030982-0.015613i,-0.037664-0.0027389i,-0.015706+0.0014415i,-0.034906+0.0044345i,-0.06668+0.0017848i,-0.056562-0.015045i,-0.035091-0.0030949i,0.0043238+0.0031159i,-0.00066541+0.0098987i,0.0053687+0.0091279i,0.0037718-0.0042141i,-0.0046424+0.0085152i,0.0018422-0.0018201i,0.013962+0.0080832i,0.030955-0.0046415i,0.0031038-0.0013678i,-0.0012831+0.0032183i,0.0044939-0.0036688i,0.0019084+0.0021183i,0.0026501+0.0034211i,8.9535e-05+0.0010217i,0.0039043+0.018676i,-0.0038459+0.00066518i,0.001357-0.0020267i,0.0029437-0.0013477i,0.0019362-0.00093526i,-0.00076988-0.00019278i,-0.0027596+1.2522e-05i,-0.0004037+0.00012517i,-0.0049299+0.00074555i,-0.0051246-0.00043192i,-0.0014099-0.0013874i,-0.0019873-0.0039507i,0.014494+0.011837i,-0.00066674-0.0034686i,-0.0023075-0.0024364i,-0.0011934-0.0070344i,-0.0033659+0.0011076i,0.0021649+0.00077625i,0.0043956-0.0067533i,0.0011191+0.0029114i,-0.0017315+0.0059063i,-0.0051989-0.0070436i,0.023275+0.019324i,-0.050992-0.067367i,-0.04297-0.044615i,-0.01297-0.052151i,-0.0073049-0.036667i,0.031064-0.093306i,-0.031093-0.10661i,0.038166-0.08527i,-0.00055037-0.042962i,0.0074147-0.012137i,0.005599-0.0091467i,-0.0090562-0.031848i,0.0021432-0.0035195i,-0.0132-0.0034573i,-0.0097539-0.0038635i,-0.046763+0.0079559i,0.0088393+0.018381i,-0.0078358-0.009034i,-0.0081595+0.0056078i,-0.0050872+0.00093954i,-0.020185-0.0022926i,0.0046342+0.012311i,0.017731-0.0054942i,0.024385+0.0074295i,0.0083954-0.0035575i,-0.0032026+0.00047247i,-0.0053623+0.0032954i,-0.005616+0.018562i,-0.0047058+0.00039729i,-0.024917+0.031328i,-0.0039964-0.0032769i,-0.0012991+0.0066549i,-0.0023307+0.010854i,-0.0058644-0.0031658i,-0.0026325+0.0066515i,-0.00070134-0.0024006i,0.0021862+0.0019341i,0.00073767-0.0040964i,-0.0018407+0.0047985i,-0.00037758+0.0007871i,-0.0025197+0.01851i,0.00048255+0.00030106i,-0.012951+0.01005i,-0.019855+0.01525i,-0.0118-0.056713i,0.003617-0.019906i,-0.052289+0.016195i,-0.028405-0.0042897i,0.013358-0.011584i,-0.0019037+0.014163i,-0.023813-0.0030466i
-0.026999+0.001285i,-0.04591-0.010037i,-0.037937-0.011564i,-0.036331+0.0025212i,-0.018247-0.00042614i,-0.032292+0.01196i,-0.052818+0.016434i,-0.054353-0.0029852i,-0.030183+0.0037082i,0.0045084+0.0022211i,0.0026508+0.007844i,0.0064367+0.0063737i,0.00016712-0.0055054i,0.00076204+0.0098914i,0.00061082-0.0026024i,0.010733+0.0043995i,0.020972-0.017523i,0.0020901-0.0027449i,0.0016383+0.0060286i,0.0026585-0.0042619i,0.0033875+0.0024489i,0.0033433+0.0017615i,0.00013954+0.0014681i,0.017656+0.01188i,-0.0033042+0.002288i,0.00040428-0.0023962i,0.0016753-0.0029501i,0.0016175-0.00090192i,-0.00030324+0.00010583i,-0.0029165+0.0015504i,-0.00036497+0.00015041i,-0.0038153+0.0025781i,-0.0041635+0.0012776i,-0.0019439-0.00086866i,-0.0030149-0.0024369i,0.01582+0.0086756i,-0.0016066-0.0032729i,-0.0032819-0.0014773i,-0.0037353-0.0053914i,-0.001569-1.248e-05i,0.0019323-2.0845e-05i,0.0014568-0.0057135i,0.0022326+0.0023427i,-0.0011985+0.0055688i,-0.0066745-0.011202i,0.033733+0.0057827i,-0.056571-0.054157i,-0.045217-0.032713i,-0.016221-0.056448i,-0.0082265-0.038147i,0.0013243-0.10838i,-0.055559-0.09718i,0.018097-0.098008i,-0.0093299-0.039016i,0.0069672-0.0095041i,-6.352e-05-0.010944i,-0.018279-0.023909i,-0.0033102-0.0068017i,-0.014702-0.00094365i,-0.016068-0.0001495i,-0.039812+0.025197i,0.012093+0.0084077i,-0.01234-0.0046528i,-0.006547+0.0070322i,-0.0054611+0.0040228i,-0.019042+0.0085416i,0.0049297+0.0072985i,0.01543-0.012918i,0.025052-0.0043739i,0.0061883-0.0074594i,-0.0053428+0.0021529i,-0.0027287+0.0058462i,0.0032157+0.019569i,-0.0043428+0.0041199i,-0.01697+0.040558i,-0.0057703-0.0031067i,0.0012852+0.0043859i,0.0039743+0.0099663i,-0.0078352+0.0011768i,-0.001845+0.0035446i,-0.0017029-0.0024864i,0.0017709+0.0033378i,-0.0029387-0.0040293i,-0.0018855+0.0011395i,-0.0034321+0.003675i,0.0047891+0.019067i,-0.0010413+0.00075516i,-0.0062109+0.011603i,-0.016267+0.018197i,-0.019726-0.053916i,0.0077235-0.025309i,-0.042468+0.031772i,-0.031437+0.0064472i,0.0070833-0.015902i,-0.00090008+0.0065561i,-0.022328-0.00075729i
-0.024108+0.004655i,-0.046959-0.0027845i,-0.043268-0.0021724i,-0.03516+0.0076784i,-0.023248+0.0013555i,-0.026651+0.017959i,-0.039151+0.019621i,-0.049962+0.0051949i,-0.026741+0.0058152i,0.0040131+0.0013693i,0.0031697+0.0062375i,0.0070506+0.0021968i,-0.0036158-0.0048598i,0.0055993+0.0070707i,-0.00095212-0.0027179i,0.0088815+0.0031938i,0.0074769-0.019892i,0.0015163-0.0031107i,0.0057483+0.0044386i,0.0010338-0.0040291i,0.0047984+0.00033735i,0.0031005+0.00057774i,0.0012339+0.0018249i,0.020475-0.0017263i,-0.0012629+0.0034852i,-0.00056601-0.0021075i,-0.00056491-0.00083897i,0.00193-0.001886i,-2.1329e-05-0.00039325i,-0.0012006+0.0030228i,-2.5197e-05+0.00015946i,-0.0026446+0.0031894i,-0.0039751+0.0028791i,-0.0018331+0.00026908i,-0.0025687-0.0011564i,0.018273+0.0037526i,-0.0028846-0.0025739i,-0.0043995-0.00050232i,-0.0055028-0.0039657i,-0.0031904-0.0013925i,0.002013-0.00032536i,0.00015016-0.0041921i,0.0026436+0.0010548i,-0.00039984+0.0057887i,-0.011671-0.012525i,0.029999-0.013812i,-0.055127-0.043387i,-0.046565-0.023119i,-0.02236-0.057291i,-0.0088326-0.042685i,-0.031606-0.1046i,-0.076797-0.080509i,-0.0001607-0.10043i,-0.0087681-0.025273i,0.012209-0.0047468i,-0.004853-0.0092724i,-0.020247-0.011519i,-0.006498-0.0066445i,-0.017969+0.0038131i,-0.01323+0.0064213i,-0.028583+0.038761i,0.0095506+0.0021294i,-0.01041+0.0030509i,-0.0064965+0.0080536i,-0.0020219+0.0076104i,-0.01204+0.015315i,0.0060232+0.0084376i,0.010116-0.023987i,0.015528-0.018811i,-0.00049806-0.01127i,-0.0060514+0.0063487i,-0.00080767+0.006017i,0.01107+0.016011i,-0.0012692+0.006403i,-0.00010393+0.052215i,-0.0091792-0.0015361i,0.0010793+0.003401i,0.0075193+0.0053854i,-0.005977+0.0074582i,-0.0024061+0.0042301i,-0.0042166-0.001472i,0.0044541+0.0038233i,-0.0044754+0.0018503i,-0.0050363+0.00074528i,-0.00038962+0.0094796i,0.010824+0.014396i,-0.0017124+0.00076675i,-0.0021552+0.0074655i,-0.0099763+0.021762i,-0.021543-0.045585i,-0.0012352-0.039637i,-0.020097+0.038044i,-0.025091+0.015283i,0.0042422-0.02171i,-0.0023215+0.00066466i,-0.020604+0.0041906i
-0.021232+0.0066347i,-0.050723+0.0034299i,-0.045627+0.0089338i,-0.031295+0.013675i,-0.026208+0.0080878i,-0.020718+0.020678i,-0.03062+0.018234i,-0.045619+0.010785i,-0.026526+0.0085731i,0.0044587+5.8003e-05i,0.0056898+0.0055691i,0.0038901-0.0014972i,-0.0067954-0.0015885i,0.0075256+0.0010755i,-0.0021982-0.0021592i,0.0077481+0.0030388i,-0.0017523-0.015218i,0.00037586-0.0037222i,0.006256+0.0004453i,-0.00018101-0.0030876i,0.0042941-0.002003i,0.0041622+0.00044432i,0.0022458+0.0010747i,0.015061-0.011155i,0.0015813+0.0025619i,-0.00078167-0.0013972i,0.00050361-0.0019197i,0.0011854-0.0031163i,1.5969e-05-0.00013714i,0.00043832+0.0025636i,5.0035e-05-0.00012257i,-0.00092964+0.0036055i,-0.0018149+0.004339i,-0.001185+0.00066011i,-0.0031103-0.0013497i,0.018103-0.0028799i,-0.0031187-0.00073717i,-0.0040669+0.0011655i,-0.0064849-0.00059392i,-0.0058706+0.00034006i,0.0017673-0.00069333i,-0.00017164-0.0047099i,0.0025332-4.9391e-05i,0.00037458+0.0044231i,-0.016622-0.010298i,0.017887-0.019393i,-0.057065-0.039647i,-0.04059-0.012778i,-0.027192-0.057134i,-0.017394-0.049923i,-0.05508-0.092002i,-0.084599-0.055732i,-0.022854-0.10029i,0.00068033-0.02276i,0.01788-0.018134i,-0.0071893-0.0056912i,-0.016313-0.0091514i,-0.013023-0.0049614i,-0.015019+0.012868i,-0.010083+0.0080179i,-0.0085169+0.044207i,0.0084944-0.0010259i,-0.0079133+0.003486i,-0.001624+0.0088038i,0.00079247+0.0060921i,-0.004666+0.019003i,0.01018+0.0056214i,-0.0058863-0.027757i,-0.0011647-0.020568i,-0.0045895-0.0051412i,-0.0026312+0.0094647i,0.0027907+0.0048246i,0.016596+0.0070536i,0.002336+0.0053348i,0.024808+0.047769i,-0.0074717+0.0033069i,0.0011045+0.0024936i,0.0073716+0.00064899i,-0.00011785+0.010137i,-0.0048699+0.0050962i,-0.005094+0.0027443i,0.007078+0.0025802i,-0.0022137+0.0048552i,-0.007042+0.0030698i,0.0046786+0.0088574i,0.012923+0.008919i,-0.0013575+0.0022704i,0.0002135+0.0040171i,-0.0028643+0.021311i,-0.02126-0.043494i,-0.021153-0.040218i,-0.0043576+0.029863i,-0.019286+0.019256i,-0.0048778-0.027292i,-0.0065409-0.0019746i,-0.012199+0.004902i
-0.019046+0.0079161i,-0.052097+0.015453i,-0.043903+0.021806i,-0.026442+0.016679i,-0.023672+0.01565i,-0.01622+0.022159i,-0.025736+0.01584i,-0.041827+0.014776i,-0.023954+0.014912i,0.0039342-0.0011207i,0.0072638+0.0006476i,-0.0010389-0.00024062i,-0.0067771+0.0028287i,0.0041399-0.0021254i,-0.0032003-0.0014211i,0.0090912+0.0020365i,-0.0055189-0.0091295i,-0.0013352-0.0033298i,0.0043414-0.0017336i,-0.00073214-0.0023559i,0.0020621-0.0025145i,0.0042062-0.0014729i,0.002285-2.1051e-05i,0.007587-0.015367i,0.0015476+0.00060911i,-0.00075998-0.0011796i,3.8017e-05-0.0026546i,-0.00019887-0.0029986i,0.00093153-6.6386e-05i,0.00097159+0.0016931i,-0.00010251-0.00045614i,0.0004571+0.0032728i,0.00019734+0.0043811i,-0.0011107+0.00047522i,-0.0034237+0.0011685i,0.014792-0.0086035i,-0.0023701+6.221e-05i,-0.0025557+0.0025322i,-0.0046392+0.0012779i,-0.0057461+0.0030993i,0.0014527-0.00085867i,-0.0013173-0.0040518i,0.0017971-0.00092201i,-0.00021422+0.0036792i,-0.019945-0.0051717i,0.014221-0.014311i,-0.061427-0.035677i,-0.032824-0.010027i,-0.033863-0.055935i,-0.030037-0.048384i,-0.075341-0.076986i,-0.081156-0.036682i,-0.047392-0.088215i,0.0051898-0.028631i,0.012373-0.029213i,-0.0068995-0.0037646i,-0.016585-0.0056716i,-0.018466+0.0030451i,-0.007784+0.017946i,-0.0067094+0.011023i,0.011058+0.037206i,0.0062008-0.0057314i,-0.0081922+0.0046615i,-0.00056454+0.0063394i,0.0036757+0.00581i,0.0042345+0.016126i,0.010699-0.0015504i,-0.020321-0.018577i,-0.011377-0.012099i,-0.0039097-0.0010699i,0.0026524+0.0093864i,0.0037601+0.002337i,0.017633-0.00026492i,0.005051+0.0042031i,0.041879+0.031414i,-0.0053934+0.0037705i,0.00063267+0.0026827i,0.0053161-0.0031984i,0.006082+0.0069736i,-0.0045997+0.011349i,-0.0020394+0.0070851i,0.0090511-0.0014409i,0.0023945+0.0047214i,-0.0070915+0.0067776i,0.0077521+0.0055322i,0.013566+0.004312i,-0.0008686+0.0017994i,0.00012989+0.00044875i,0.0015769+0.018178i,-0.022336-0.042301i,-0.032724-0.02748i,0.0042811+0.01838i,-0.0057562+0.0223i,-0.016782-0.027772i,-0.013594-0.00045583i,-0.011929-0.0021094i
-0.017296+0.0092572i,-0.046804+0.027868i,-0.035488+0.033864i,-0.023044+0.019048i,-0.018322+0.020331i,-0.011585+0.023537i,-0.023478+0.013154i,-0.039401+0.018399i,-0.016707+0.019228i,0.0026481-0.0022331i,0.0036551-0.0028005i,-0.0013708+0.0037476i,-0.0045105+0.0057995i,0.0015293-0.0030135i,-0.0039996-0.00027704i,0.0098881-0.00069512i,-0.0042226-0.0046792i,-0.0020481-0.0021011i,0.0025337-0.0022496i,-0.00091648-0.0017093i,0.0017175-0.0014106i,0.0032155-0.0023217i,0.00202-0.00045458i,0.0012361-0.015038i,0.00084818-0.00011485i,-0.0010154-0.0013422i,-0.00079234-0.0024831i,-0.0011507-0.002782i,0.00081845-0.0010671i,0.0013323+0.0013046i,-0.00039166-0.00080401i,0.0017109+0.002712i,0.0015833+0.0029272i,-0.0011752+0.0013283i,-0.0018057+0.0012508i,0.0095253-0.012163i,-0.0016389+0.00027279i,-0.00082602+0.0030308i,-0.0044751+0.0022367i,-0.0042314+0.0050582i,0.0012576-0.0008497i,-0.0027704-0.0029919i,0.0014425-0.0012457i,-0.0015521+0.0045321i,-0.020539+0.0012519i,0.021662-0.012122i,-0.068449-0.029001i,-0.027724-0.011715i,-0.040121-0.052855i,-0.03887-0.042072i,-0.090156-0.053862i,-0.078751-0.026834i,-0.055777-0.064274i,0.0047049-0.032503i,0.002021-0.036516i,-0.0073551-0.0029248i,-0.015682-0.0058616i,-0.014476+0.013847i,-0.00015544+0.018082i,0.0013648+0.010506i,0.018437+0.023102i,0.002121-0.007841i,-0.0075678+0.0077076i,-0.00061018+0.0060506i,0.0054077+0.0019285i,0.0084647+0.011115i,0.0045819-0.0032644i,-0.025811-0.0043107i,-0.01425-0.0034416i,-0.0014389-0.00032979i,0.0049641+0.007879i,0.0023558+0.00086075i,0.013772-0.01109i,0.005665-0.00028566i,0.049182+0.010698i,-0.0057475+0.0059798i,0.0021069+0.0021461i,0.001011-0.0051064i,0.0069886+0.002597i,0.0011739+0.014966i,0.0041816+0.004991i,0.0060875-0.0053111i,0.0048134+0.001128i,-0.0036435+0.012244i,0.0069052+0.0029024i,0.012627+0.00045106i,-0.002396+0.0016394i,-0.0039288-0.00068545i,0.0043319+0.016163i,-0.023928-0.042605i,-0.034301-0.013742i,0.0039326+0.0078995i,0.0030475+0.013756i,-0.028577-0.022289i,-0.015184+0.0085923i,-0.017045-0.0013453i
-0.015838+0.010665i,-0.038366+0.035531i,-0.023649+0.041113i,-0.019764+0.021414i,-0.012481+0.023134i,-0.0069431+0.024207i,-0.023605+0.011819i,-0.036717+0.023739i,-0.010496+0.019355i,0.00096277-0.0025663i,0.00014481-0.0018967i,0.0006632+0.0053961i,-0.0012374+0.0066158i,-0.00083878-0.0027487i,-0.0041463+0.0012477i,0.0080585-0.0044191i,-0.0037151-0.0041212i,-0.0020802-0.00076301i,0.0017225-0.002582i,-0.00089113-0.0012033i,0.0023462-0.0018432i,0.00226-0.0021361i,0.001917-0.00083777i,-0.0033103-0.01326i,0.00072449-0.00040141i,-0.0016068-0.00083457i,-0.0016395-0.00208i,-0.002222-0.0023323i,0.00026058-0.0012807i,0.0018138+0.00060713i,-0.00092077-0.00083303i,0.0024753+0.0014096i,0.0023547+0.001657i,-0.00044809+0.0017248i,-0.0018881+0.0015692i,0.0035639-0.011914i,-0.0016916-0.00015472i,0.00090294+0.0025532i,-0.0026419+0.0041876i,-0.0023025+0.0068093i,0.0011083-0.00089316i,-0.0024238-0.0016238i,0.00096705-0.0017956i,-0.00031142+0.0068232i,-0.016761+0.0067349i,0.031815-0.022308i,-0.075498-0.017292i,-0.027641-0.013682i,-0.044502-0.048962i,-0.045836-0.03535i,-0.091835-0.029861i,-0.077132-0.015558i,-0.052175-0.050604i,0.004373-0.038595i,-0.010806-0.038727i,-0.0073228-0.0012011i,-0.019416-0.0063415i,-0.0055056+0.01811i,0.0058044+0.014618i,0.0052645+0.0035482i,0.017335+0.011677i,-0.0026086-0.0083206i,-0.0047513+0.010503i,-7.8799e-05+0.0063261i,0.0040006-0.0012922i,0.0092646+0.0057888i,0.0031804-0.00057048i,-0.022664+0.0093202i,-0.011137+0.0046173i,-0.0014242-0.00016663i,0.0085019+0.0059033i,0.0010008+0.00079185i,0.0044117-0.01498i,0.0030785-0.0027825i,0.045322-0.0092305i,-0.0031845+0.0085375i,0.001387+0.0010466i,-0.002387-0.0030586i,0.006092+0.00098247i,0.0084506+0.015278i,0.004309+0.00074436i,0.0034634-0.0064465i,0.003202-0.0014511i,0.003636+0.013296i,0.0062096+0.001061i,0.012022-0.0034439i,-0.0014623+0.0052959i,-0.0053303+0.00099824i,0.0071265+0.014365i,-0.028292-0.044752i,-0.030623-0.0044051i,0.0019883+0.0031085i,0.0032945+0.005436i,-0.036783-0.012474i,-0.0091546+0.011231i,-0.016645+0.0013274i
-0.013708+0.012398i,-0.029115+0.040019i,-0.010433+0.043344i,-0.015219+0.023882i,-0.0056789+0.023449i,-0.0023742+0.023985i,-0.024445+0.01272i,-0.032271+0.029114i,-0.0052884+0.018707i,-0.00032086-0.0021953i,-0.0011228+3.1402e-05i,0.0035963+0.0050304i,0.0011716+0.006289i,-0.0029945-0.00082444i,-0.0038568+0.0026503i,0.0048315-0.0061253i,-0.0051829-0.0042334i,-0.0019659-0.00013762i,0.00048964-0.0024994i,-0.0010576-0.00087214i,0.0020193-0.0028289i,0.0020984-0.0020837i,0.0016306-0.0012815i,-0.0069194-0.011205i,0.00036402-0.0006499i,-0.0016091-0.00013182i,-0.0023217-0.0011292i,-0.0026898-0.0010687i,-0.00016873-0.0012537i,0.0015362-0.00035585i,-0.0014579-0.0004163i,0.0021502+0.00039782i,0.0025331+0.00041806i,0.00049301+0.0012779i,-0.0012856+0.0021521i,0.00026742-0.0091358i,-0.0016841+0.00026121i,0.0017719+0.0012485i,-0.00037455+0.004031i,0.0010813+0.0073902i,0.0011089-0.0010163i,-0.0020025-0.0010873i,-0.00025189-0.002314i,0.0019713+0.0062593i,-0.0119+0.0083998i,0.031613-0.041489i,-0.077751-0.0013057i,-0.026483-0.01445i,-0.048429-0.049179i,-0.05077-0.026467i,-0.089391-0.012147i,-0.074195-0.0063496i,-0.051113-0.041659i,-0.0010121-0.044292i,-0.025359-0.036772i,-0.0070786-0.00045358i,-0.027168-0.0030185i,0.0025223+0.015704i,0.00896+0.0097316i,0.0043118-0.0018826i,0.013481+0.0063945i,-0.0070879-0.0080485i,-0.00070914+0.011534i,0.0013117+0.0066502i,0.001544-0.0022065i,0.0072955+0.0021348i,0.0039225+0.00050462i,-0.014301+0.016798i,-0.0059776+0.0087713i,0.0003517-0.00025441i,0.010952+0.00059826i,0.0002941+0.0020592i,-0.0034073-0.012557i,0.00039223-0.0027945i,0.034851-0.023013i,0.0010103+0.0099057i,0.00077516+0.0016898i,-0.0043155-2.6879e-05i,0.0058803-0.0017875i,0.01514+0.011168i,0.0028522-0.0016599i,0.00025527-0.0072986i,0.0013026-0.0026134i,0.0088597+0.010119i,0.0058673+0.00095345i,0.0082722-0.0073413i,0.0019601+0.0065182i,-0.0051227+0.002313i,0.010963+0.011717i,-0.036763-0.042428i,-0.025299+0.0029129i,0.0007458-0.00054799i,-5.1575e-06+0.0019724i,-0.040542-0.00078099i,-0.0061375+0.0096872i,-0.015468+0.0033219i
