-0.031394-0.038566i,-0.021681-0.019652i,-0.01322-0.035562i,-0.029843-0.019626i,-0.022112+9.3062e-07i,-0.013731-0.0056229i,-0.054981-0.057969i,-0.047141-0.017278i,-0.037576-0.01171i,0.012429+0.012237i,-0.0075791+0.0046627i,-0.019186+0.019389i,0.0016712+0.011358i,-0.0060852-0.0023842i,0.00016302+0.0013409i,-0.0016269+0.030884i,0.026817+0.023349i,0.0023476-0.0023431i,-0.0022805-0.0071386i,0.0080919+0.0028526i,0.0027111+0.0010069i,0.00044966+0.0036029i,-0.00033786+0.00032329i,-0.036686-0.01177i,0.00010575-0.0079544i,0.0013832+0.0022087i,0.0073987+0.00020936i,0.0018521+0.00073057i,0.0010135-0.00035186i,-0.00045763-0.0025562i,0.0014849-0.0024781i,-0.0017413-0.0062461i,-0.00085925-0.0048456i,0.0029817-0.00069776i,0.0045519-0.003091i,0.0014615+0.031039i,0.0039387-0.0036267i,0.0028831-0.0016082i,0.0082749-0.0015934i,-0.0065377-0.0037639i,-0.00015157+0.00086721i,0.0094298-0.00066504i,0.0046433-0.0027192i,-0.0011139+0.0080904i,-0.017696-0.0072715i,-0.019081+0.015664i,-0.0031264-0.061017i,-0.0054648-0.027111i,-0.026984-0.032372i,-0.010908-0.027057i,0.055264-0.02049i,0.016961-0.042953i,0.022944-0.047629i,0.003812-0.054132i,0.026164-0.020989i,0.0083351+0.0059268i,0.025143-0.035094i,-0.0075505-0.006521i,0.0042418-0.0048464i,-0.004813-0.0071324i,-0.0014282-0.032822i,-0.017928+0.029178i,0.0087416-0.011863i,-0.0089221-0.0047855i,-0.0042385-0.0012927i,0.0006782-0.013043i,-0.01113+0.0045148i,0.00229+0.010386i,-0.0050164+0.026075i,0.0048591+0.0029011i,-0.0048502-0.0013845i,-0.0022899-0.0023224i,-0.012012-0.0073391i,-0.00057325-0.0041351i,-0.036212+0.010087i,0.0012615-0.010731i,-0.0085941-8.0499e-05i,-0.0064331-0.0021807i,0.0054475+0.0013475i,-0.0081091+0.00021373i,0.002081+0.00024672i,0.0034388+0.0070986i,0.0043623+0.00037371i,-0.0092833-0.012672i,0.0028225+0.0091817i,-0.015675+0.0050698i,0.0066979-9.7796e-05i,-0.022467-4.2345e-05i,-0.017569+0.0062555i,-0.008771-0.066285i,0.0079706-0.013059i,-0.04828-0.022264i,-0.021058+0.00041298i,0.017642+0.010825i,-0.023343+0.014031i,-0.019269-0.0050414i
-0.03845+0.031273i,-0.015912+0.01918i,-0.019963+0.041337i,-0.026582+0.01359i,-0.0041809+0.02099i,-0.00061268+0.0076638i,-0.029805+0.01716i,-0.0036706+0.029091i,0.0078674+0.01755i,-0.0059436-0.0057522i,0.0026315+0.0035683i,0.0076889-0.00056486i,0.0053507+0.00039105i,-0.00037194+0.0032922i,0.00065053+0.0021021i,0.006588-0.0047669i,-0.0059396-0.00088429i,-0.003017+0.00020454i,0.0039069-0.0014382i,-5.2501e-06-0.00098039i,0.0027881-0.0052219i,0.0016581-0.0028274i,0.0014151-0.0024597i,-0.0096352-0.010989i,-0.0012981+0.0027807i,-0.0015413+0.00028694i,-0.0036391-0.0014519i,-0.0028166+1.1732e-05i,-0.0013668-0.0018633i,3.7756e-06-0.00053388i,-0.00068288+0.004056i,0.00059084+0.0010146i,0.0015513+0.00064544i,-0.0006308+0.00076818i,-0.0022729+0.0028734i,-0.0012022-0.0071335i,-0.0024448+0.0013419i,0.00083157-0.00033715i,-0.001131+0.0035616i,0.0035772+0.0036269i,-0.00043722-0.0015882i,-0.00013822-0.0028155i,-0.0034776-0.00018116i,0.0037296+0.00036848i,-0.015785+0.024972i,0.0079288-0.035962i,-0.054057+0.0041438i,0.0072816-0.031304i,-0.031454-0.049026i,-0.02903-0.019824i,-0.061737+0.02115i,-0.037311+0.0014338i,-0.033691-0.0066434i,-0.026422-0.021235i,-0.038383-0.023759i,-0.0052498+0.0031105i,-0.02793+0.0096002i,0.0063632+0.019214i,0.0025194+0.0080931i,-0.0034854-0.0055004i,0.0019813+0.0015799i,-0.012017-0.0037326i,0.0060531+0.011416i,-0.00095191+0.0054187i,-0.0022276-0.001119i,0.0013098+0.0019627i,0.0036612-0.0008733i,-0.0026668+0.018233i,0.0031133+0.014655i,0.0036177-0.00032178i,0.010167-0.0063349i,0.0043022+0.0027747i,-0.0088683-0.0094376i,-0.00099508-0.0029734i,0.018714-0.040401i,0.0076492+0.010581i,0.0050513+0.0021621i,-0.0027973+0.0031217i,0.0037772-0.0056622i,0.020331+0.0075597i,0.0029832+0.0030882i,0.00022706-0.0065192i,0.00086145-0.0030701i,0.016761+0.0081064i,0.0050278+0.001529i,0.0028228-0.0046092i,0.004151+0.0079669i,-0.0004814+0.0010663i,0.0089376+0.0029917i,-0.046696-0.01197i,-0.0065902+0.011428i,-0.0020639-0.004621i,-0.0067393+0.0058048i,-0.038449+0.013314i,-0.0054484+0.0073499i,-0.010144+0.014677i
-0.032847+0.036842i,-0.012875+0.018857i,-0.0099191+0.036906i,-0.023794+0.016572i,-0.0014995+0.019012i,0.00073883+0.0075524i,-0.028481+0.022171i,0.0021737+0.028152i,0.0098805+0.012281i,-0.0071066-0.0027876i,0.0037218+0.0039603i,0.0066481-0.0030276i,0.0046004-0.001509i,0.0017757+0.0037631i,0.0009751+0.0020966i,0.0020934-0.0043645i,-0.0072978+0.0024355i,-0.0026611+0.0012541i,0.0041591-0.0020049i,0.00022756-0.00097026i,0.0012234-0.0053399i,0.0012182-0.0025243i,0.00083647-0.0025718i,-0.011825-0.0074547i,0.00031172+0.00246i,-0.0015914+0.00071513i,-0.0035928+0.0001435i,-0.0019618+0.00067891i,-0.0020898-0.0010417i,0.00017225-0.00047877i,0.0010154+0.0037456i,0.00029409+0.0009538i,0.0014672-0.00011429i,-0.00073269+0.00095625i,-0.0021244+0.0031577i,-0.00094634-0.0061626i,-0.0020405+0.0021509i,3.05e-05-0.00096478i,-9.8914e-05+0.0037516i,0.0037924+0.0011918i,-0.0007616-0.0012994i,-0.0015888-0.0028784i,-0.003539+0.0011152i,0.0039645-0.00051655i,-0.011398+0.024179i,-0.0053378-0.041722i,-0.047446+0.015214i,-0.0016906-0.038712i,-0.045374-0.043347i,-0.029498-0.012986i,-0.049941+0.03292i,-0.03466+0.0093348i,-0.024225-0.0085913i,-0.028425-0.017497i,-0.044755-0.0093741i,-0.0044186+0.0028852i,-0.023405+0.02139i,0.011571+0.012831i,0.0052281+0.005039i,-0.0080765-0.0076235i,-0.0010663+0.0034131i,-0.009143+0.0040502i,0.010291+0.0078725i,3.7923e-05+0.0072724i,-0.002106+6.4627e-05i,0.001766+0.0030629i,0.0037794-0.0015836i,0.0056751+0.014521i,0.008688+0.0086118i,-0.00078045-0.0034295i,0.0035462-0.0080376i,0.0046281+0.002384i,-0.012167-0.0011964i,-0.0025371-0.00070848i,0.00076908-0.040156i,0.01203+0.0083206i,0.0074045-0.00025068i,0.00066796+0.0026165i,-0.00022187-0.003366i,0.020938-0.0023033i,0.0032247+0.0014057i,-0.0030503-0.0049382i,-0.002941-0.0016709i,0.014192+0.0047204i,0.0051833+0.0015572i,0.0009799-0.0032635i,0.0067912+0.0062414i,-0.00038919+0.0024736i,0.0092933-0.00011977i,-0.048899-0.0073338i,-0.0008055-0.0037951i,-0.0009778-0.0040492i,-0.0042046+0.0055138i,-0.031109+0.025282i,-0.0029968+0.008296i,-0.003042+0.012073i
-0.02609+0.040935i,-0.010574+0.019006i,-0.0055806+0.030609i,-0.020973+0.019556i,0.0017437+0.018185i,0.0022715+0.0069933i,-0.024624+0.027733i,0.0076071+0.025562i,0.0091277+0.0086009i,-0.0070535-7.5483e-05i,0.0058043+0.0032331i,0.0027092-0.0038607i,0.0035511-0.0026423i,0.0025071+0.0032676i,0.0015019+0.0020626i,-0.0011891-0.0016849i,-0.0061868+0.0065663i,-0.0012132+0.0018329i,0.0042535-0.004234i,0.00048307-0.0015922i,-0.00054466-0.0050642i,0.001381-0.0030298i,0.00032782-0.0025809i,-0.014086-0.0043075i,0.0010121+0.0017988i,-0.00099172+0.0014909i,-0.0026516+0.00059897i,-0.00089329+0.0011326i,-0.0021239-0.00093299i,-8.686e-05-0.00081667i,0.0018734+0.0029033i,0.00065387+0.0011149i,0.0010736-0.00037792i,-0.00039203+0.00088318i,-0.00057588+0.0041567i,-0.00029403-0.0062141i,-0.0018174+0.0024431i,-0.00079274-0.00093852i,0.00182+0.0021866i,0.0030816-5.993e-05i,-0.00096483-0.00094569i,-0.0014367-0.0014034i,-0.0031159+0.0020986i,0.0036715-0.0021842i,-0.0084689+0.024i,-0.021543-0.03987i,-0.037441+0.021447i,-0.013287-0.040496i,-0.053593-0.03398i,-0.026143-0.0073437i,-0.034075+0.038915i,-0.023464+0.014743i,-0.025817-0.012682i,-0.029424-0.013971i,-0.043959+0.0068144i,-0.0036697+0.0031216i,-0.011932+0.029167i,0.012551+0.0060694i,0.0034949+8.0804e-05i,-0.017459-0.0052004i,-0.00046103+0.0047004i,-0.0049592+0.0067452i,0.011409+0.0019983i,0.0035238+0.0077636i,-0.0034571+0.0019965i,0.0021558+0.0014432i,0.0037633-0.0030339i,0.0083211+0.0073838i,0.0081796+0.002744i,-0.0050289+0.00011137i,0.00042169-0.0062518i,0.006266+0.0013565i,-0.007968+0.0078045i,-0.00067083+0.0013317i,-0.0073444-0.02774i,0.016067+0.0018472i,0.0067958-0.0033982i,0.0010623+0.0016557i,-0.00021021-0.0012411i,0.016352-0.009274i,0.0017636+0.0029027i,-0.0051626-0.0024575i,-0.0034113+0.0023877i,0.010402-0.00031162i,0.0091506-0.00083101i,0.00081402-0.0032065i,0.010033+0.0030727i,0.0033351+0.0021058i,0.008273-0.0031965i,-0.051368+0.0016004i,-0.010691-0.011852i,0.0016141-0.006866i,-0.0026528+0.0035458i,-0.018296+0.029886i,-0.0033974+0.0032974i,-0.0018482+0.0095831i
-0.018767+0.043146i,-0.0077908+0.019867i,-0.0043341+0.026179i,-0.016765+0.022238i,0.0049629+0.015241i,0.0037981+0.0054285i,-0.018455+0.032121i,0.011699+0.021594i,0.0087269+0.0071615i,-0.0063062+0.0024785i,0.0070295+0.00065921i,0.00057678-0.0013497i,0.0023942-0.0031112i,0.0024657+0.0033548i,0.0018781+0.001639i,-0.0016825+0.002392i,-0.0023263+0.0094408i,-0.0003558+0.001365i,0.0023638-0.0053617i,-0.00023246-0.0022434i,-0.0016806-0.0042444i,0.00094393-0.0033425i,-0.00021671-0.002759i,-0.015272+0.0016214i,0.0014124+0.00076571i,4.713e-05+0.00090031i,-0.0025517-1.3536e-05i,0.00015932+0.00047876i,-0.0022699+1.6001e-05i,-0.00044539-0.00058719i,0.0025754+0.0018386i,0.0011831+0.0010838i,0.00048034-0.00074491i,-0.00017576+0.00085173i,0.0012622+0.003298i,-0.00087532-0.0079838i,-0.00087357+0.0030735i,-0.0011999-0.00025305i,0.0016682-0.00016672i,0.0025662-0.00045743i,-0.00097613-0.00063531i,-0.00099743-0.0013948i,-0.0023143+0.0031191i,0.0014343-0.004264i,-0.005645+0.024384i,-0.034337-0.02768i,-0.028008+0.022437i,-0.024154-0.037582i,-0.061649-0.023499i,-0.021243-0.0056508i,-0.020449+0.03747i,-0.013294+0.010864i,-0.027101-0.010296i,-0.029604-0.0089096i,-0.035854+0.017224i,-0.0033074+0.0034789i,0.00048299+0.02912i,0.016488+0.001688i,-0.0011789-0.0007465i,-0.022216+0.0054273i,-0.00043613+0.0061495i,-0.001174+0.0067637i,0.0084335-0.0037868i,0.006427+0.0066682i,-0.0028769+0.0044401i,0.00023587+0.0019599i,0.00269-0.0054019i,0.0060914+0.0015651i,0.0054411+0.00057869i,-0.0031131+0.0031791i,-0.0015237-0.0045459i,0.0064777-0.00065711i,0.0027528+0.011684i,0.00037477+0.00076569i,-0.011056-0.023876i,0.013798-0.0044995i,0.0038221-0.0044697i,0.0028811+0.0031027i,-1.8683e-05-0.0011247i,0.010892-0.012459i,0.0052654+0.0035947i,-0.0054345+0.00031464i,-0.00060455+0.0043754i,0.0086169-0.0013978i,0.0075388-0.0065254i,-0.00074269-0.0027481i,0.0095364-0.0024845i,0.0031198-0.0011886i,0.007105-0.0063453i,-0.047467+0.012371i,-0.019581-0.0098783i,0.00049447-0.016503i,-0.0019808+0.00083513i,-0.010834+0.02787i,-0.0071845+0.0033302i,-0.0023161+0.0084965i
-0.012064+0.044088i,-0.0053476+0.019823i,-0.0050527+0.023912i,-0.012097+0.023491i,0.0066152+0.011942i,0.0040217+0.0036024i,-0.011124+0.033856i,0.014334+0.017288i,0.0093873+0.0060388i,-0.0040095+0.0043042i,0.0055933-0.001258i,0.0010738+0.00060854i,0.0014751-0.0033996i,0.0037831+0.0035344i,0.0021801+0.0011856i,0.00022236+0.0050892i,0.0024602+0.009768i,-0.00017882+0.0010475i,0.00092005-0.005514i,-0.0011481-0.0021568i,-0.0027174-0.0034983i,0.00019183-0.0034522i,-0.0011378-0.0026645i,-0.010618+0.0064005i,0.00069123-0.0034959i,-0.00014033-1.979e-06i,-0.0010051+0.00061164i,0.00030051-0.00067172i,-0.0017868+0.0014961i,-0.00018848-0.00030632i,0.0029575+0.00042271i,0.0018568+0.00032013i,-0.00032195-0.00057319i,-0.00022769+0.00078281i,0.0016178+0.0023463i,-0.0036577-0.0093952i,7.0973e-05+0.0029613i,0.00014889+0.0012262i,0.00021559-0.00055916i,0.0019203-0.00051467i,-0.00091548-0.00041392i,-0.0013215-0.0015955i,-0.00093259+0.0035956i,-0.0011381-0.0031096i,-0.0017164+0.025461i,-0.034548-0.012787i,-0.02149+0.020517i,-0.033831-0.031364i,-0.067303-0.0074019i,-0.018302-0.0081402i,-0.0096445+0.033081i,-0.0088087+0.005426i,-0.02728-0.0087479i,-0.028204-0.0057717i,-0.029278+0.025164i,-0.0025291+0.0034644i,0.012688+0.024165i,0.013168-0.0024922i,-0.0044949+0.0018468i,-0.020597+0.014622i,0.0015204+0.0074659i,0.0012903+0.0072306i,0.0027769-0.0044908i,0.0084022+0.0045616i,-0.0006706+0.0063239i,0.00022404+0.0040719i,0.0012029-0.006312i,0.0015452+0.0019397i,0.0030451+0.0012149i,-0.0020975+0.0050313i,-0.002404-0.0021968i,0.0059166-0.0027161i,0.0081877+0.0067991i,0.00071058+0.00010791i,-0.015108-0.022027i,0.0099351-0.0081482i,0.0021715-0.0052993i,0.0061871+0.0022584i,-0.00042794-0.00046706i,0.0067964-0.013119i,0.0076718+0.00073026i,-0.0040344+0.0033081i,0.0022541+0.0039752i,0.008093-0.002895i,0.0023398-0.010608i,-0.00068926-0.0020041i,0.0052356-0.0059518i,0.00056154-0.0021028i,0.0034721-0.0094602i,-0.039583+0.017409i,-0.027347-0.0024106i,-0.0095622-0.015858i,-0.0033529-0.0016965i,-0.0059967+0.026106i,-0.0099148+0.0060842i,-0.0013251+0.0089454i
-0.0055564+0.044673i,-0.0031316+0.02i,-0.0054619+0.025033i,-0.0077253+0.023288i,0.0066933+0.0088837i,0.0040515+0.0025488i,-0.0031145+0.03305i,0.015871+0.012961i,0.010471+0.0040275i,-0.0020304+0.0040552i,0.0042406-0.0021307i,0.0021148+0.0014937i,0.00021291-0.0033875i,0.0052419+0.0023131i,0.0021886+0.00067186i,0.002969+0.0059667i,0.0067177+0.0078401i,2.6773e-05+0.0010115i,-0.00097468-0.0055164i,-0.0018969-0.0016848i,-0.0029931-0.0020274i,-0.00038326-0.0035106i,-0.0018209-0.0021205i,-0.0071686+0.0059406i,-0.00083363-0.0007149i,-0.00079831-0.00017696i,-0.0011602+0.0010239i,-0.00020859-0.0016682i,-0.00062862+0.0011022i,-0.00011253-0.00044838i,0.0025098-0.00077346i,0.0022442-0.00061976i,-0.00053617-0.00015163i,-0.00010574+0.00075953i,0.0017073+0.0018742i,-0.0071294-0.0090222i,0.00059283+0.002423i,-0.00197+0.0020267i,-0.0010099+0.00053003i,0.0017115-0.00027084i,-0.00071609-5.2634e-05i,-0.0020335-0.00092437i,0.00019213+0.0031967i,-0.0020652-0.0011385i,0.0027679+0.025891i,-0.028805-0.0051439i,-0.017494+0.018967i,-0.039432-0.020713i,-0.063428+0.011645i,-0.021903-0.011199i,-0.0028894+0.026404i,-0.0063965+0.00088054i,-0.026689-0.0059985i,-0.027985-0.0031897i,-0.020348+0.028879i,-0.0028465+0.0037803i,0.018859+0.010797i,0.010646-0.0075306i,-0.00542+0.0058455i,-0.013228+0.022593i,0.0040793+0.0063102i,0.0046902+0.005324i,0.00047392-0.0014355i,0.010119+0.0009699i,0.0015659+0.0075925i,0.0016741+0.0051414i,-0.0034749-0.0089307i,0.0006275+0.005529i,0.0030254+0.0024841i,0.0012817+0.0079703i,-0.0016394-0.00052769i,0.0044383-0.0036957i,0.0088915+0.0012585i,0.001175-0.00076252i,-0.023025-0.020197i,0.0057446-0.0099738i,-0.00027842-0.0054071i,0.0049695-0.00076286i,0.00014367+0.00077148i,0.0045661-0.012497i,0.0073584-0.0024813i,-0.0013505+0.0047195i,0.0037141+0.0018004i,0.0060408-0.0048062i,-0.0040295-0.0096214i,-0.0011229-0.0023938i,0.0015276-0.0053314i,-7.969e-05-0.0027645i,-0.0014099-0.0090626i,-0.034959+0.020917i,-0.024573+0.011084i,-0.012949-0.013966i,-0.0058768-0.0020555i,-0.0032964+0.025098i,-0.0089019+0.010915i,0.0019672+0.0080216i
0.0010814+0.044297i,-0.00039274+0.020512i,-0.0036326+0.027279i,-0.004491+0.022141i,0.0058186+0.007247i,0.0041987+0.001464i,0.0036572+0.030224i,0.016187+0.0092747i,0.011125+0.0018478i,-0.0012324+0.0038426i,0.003025-0.0019578i,0.0041597+0.001776i,-0.00092474-0.0028815i,0.0056012-0.00020248i,0.0020031+0.00032087i,0.005357+0.005281i,0.0091519+0.0044668i,0.00029574+0.0010488i,-0.0024648-0.0048229i,-0.0023152-0.00073242i,-0.0025195-0.00090874i,-0.0012806-0.0034366i,-0.0022406-0.0014409i,-0.0068916+0.0062006i,-0.0011192-0.00023286i,-0.001312+0.00041012i,-0.0010096+0.0012883i,-0.0016071-0.001907i,-0.00064704+0.00075743i,-0.00033658-0.00064712i,0.0018814-0.0013366i,0.0016668-0.0030596i,-0.00014057-0.00012139i,5.1558e-05+0.00064005i,0.0021473+0.00078135i,-0.011081-0.0072537i,0.0011194+0.002111i,-0.0012291+0.0017388i,-0.0011523+0.0013527i,0.0019962+2.3136e-05i,-0.00041835+9.3077e-05i,-0.0014848+4.3125e-05i,0.00091843+0.0024944i,-0.0018862-0.0001228i,0.0080686+0.024463i,-0.024952-0.0040579i,-0.014415+0.017931i,-0.039605-0.010502i,-0.053469+0.026555i,-0.025493-0.0088181i,0.0013259+0.021764i,-0.0065977-0.0033395i,-0.025564-0.0041991i,-0.026823+0.0010711i,-0.013084+0.03201i,-0.0016545+0.0039569i,0.013348-0.0013421i,0.0058535-0.011111i,-0.0037766+0.0091269i,-0.0046384+0.024056i,0.0049538+0.0042369i,0.0056086+0.00093829i,0.0015473-0.00029376i,0.009246-0.0023087i,0.0062412+0.0067846i,0.0034719+0.0060808i,-0.0080443-0.0035042i,0.0038119+0.0074997i,0.0042955+0.0029678i,0.0057496+0.006464i,-0.0012058+8.7239e-05i,0.0033998-0.0043351i,0.0085451-0.005849i,-0.00054564-0.0011449i,-0.030971-0.010644i,0.0019797-0.010152i,-0.002129-0.0040084i,0.0062234+0.0001934i,0.00069246+0.0005685i,0.0030158-0.014477i,0.0055876-0.005083i,0.00079159+0.0037058i,0.0036994+0.00053464i,0.0048108-0.0055862i,-0.0068436-0.0052906i,-0.0025546-0.0022893i,8.7812e-05-0.00444i,-0.0017279-0.0031136i,-0.0042151-0.0069585i,-0.028907+0.024511i,-0.018125+0.011517i,-0.01358-0.012478i,-0.0074148-0.00091595i,0.00074491+0.023207i,-0.0074603+0.012922i,0.0025743+0.00525i
0.0073905+0.04311i,0.0029836+0.020813i,0.00043423+0.029868i,-0.0017148+0.021615i,0.0050096+0.0067191i,0.0038768+0.00058947i,0.0090207+0.026316i,0.016226+0.0062167i,0.011556-0.0010728i,-0.00045101+0.0040105i,0.0029583-0.0013926i,0.0060632-0.00032303i,-0.0017583-0.0019444i,0.0038884-0.0015249i,0.0019582+0.00017681i,0.0071513+0.0034637i,0.0094353+0.0010418i,0.00073859+0.00061233i,-0.0036221-0.0039736i,-0.0019889+0.00029735i,-0.0018483-0.00019069i,-0.0021149-0.0026117i,-0.0024386-0.00081626i,-0.0049693+0.0073442i,-0.0014356+0.00038428i,-0.00098308+0.0010802i,-0.00073563+0.0017595i,-0.0028779-0.0009684i,-0.00067591+0.00076046i,-0.00066569-0.00057634i,0.0013173-0.0019005i,0.00065884-0.0024215i,-0.00043774-0.00028701i,1.7303e-05+0.00048752i,0.0017824-0.00026097i,-0.014109-0.0034451i,0.0015862+0.0015675i,-0.00068296+0.001933i,-0.0011622+0.0016616i,0.0010825+0.0041226i,-7.4418e-06+0.00010257i,-0.00092695+0.00031761i,0.0010128+0.0017822i,-0.0015042+0.00070285i,0.012221+0.021004i,-0.025465-0.0035641i,-0.01256+0.016406i,-0.039057-0.0020464i,-0.040098+0.034162i,-0.028852-0.0054518i,0.0054061+0.015716i,-0.0079511-0.0052143i,-0.024724-0.002999i,-0.024601+0.0051752i,-0.0043355+0.033187i,-0.00053361+0.0036707i,0.006449-0.0032138i,0.00062025-0.012551i,0.00020089+0.012257i,0.0031518+0.021923i,0.0046599+0.0023522i,0.0038815-0.0023544i,0.00099618+0.00011658i,0.0072347-0.0057454i,0.0094339+0.003317i,0.006065+0.0055602i,-0.0078822+0.00054706i,0.0070006+0.0074933i,0.0059356+0.002704i,0.008949+0.0038005i,-0.00069912+0.00085684i,0.0030301-0.0051048i,0.0055613-0.0096149i,-0.00088806+0.00091697i,-0.033766+0.0013154i,-0.00089802-0.0095555i,-0.0028395-0.0021504i,0.0076736-0.0011172i,0.00075133+0.00022405i,-0.00141-0.016665i,0.0030365-0.0065069i,0.0024277+0.0032809i,0.0037365-0.00055329i,0.0044839-0.0065941i,-0.0084618-0.0025952i,-0.0037659-0.000422i,-0.0028039-0.0034352i,-0.0030018-0.0026547i,-0.0055489-0.0046969i,-0.022891+0.025353i,-0.017009+0.011714i,-0.014393-0.012487i,-0.007972+0.00095551i,0.0018209+0.022873i,-0.0057493+0.013699i,0.0028743+0.0037864i
0.013935+0.041421i,0.0073003+0.019865i,0.0066951+0.030644i,0.0010327+0.021101i,0.0053612+0.0072162i,0.00366+0.00016529i,0.012799+0.021246i,0.016331+0.0033738i,0.01077-0.0040551i,0.00063292+0.0039132i,0.0030346-0.0019634i,0.0054853-0.0033645i,-0.0021223-0.00084721i,0.0029529-0.0017257i,0.0019704-2.0955e-05i,0.0076294+0.00083203i,0.008729-0.0012831i,0.0004801+9.7822e-05i,-0.0047682-0.0026381i,-0.0013592+0.00094971i,-0.00092342-0.00023182i,-0.0023068-0.0019194i,-0.0024394-5.7212e-05i,-0.0025707+0.0082698i,-0.0012165+0.0010017i,-0.00050634+0.0013874i,2.398e-05+0.0019201i,-0.0031647+0.00066824i,-0.00058594+0.00056817i,-0.00088367-0.00039342i,0.0002821-0.0021733i,-0.00030531-0.0026428i,-0.00064732+4.931e-05i,-1.224e-06+0.00042677i,0.001067-0.00079269i,-0.014399+0.0014153i,0.001714+0.0009913i,0.00010308+0.0018542i,-0.0010851+0.0023568i,0.00012007-0.0010752i,0.00064503-0.00012001i,-0.00028184+0.00017638i,0.00075297+0.0014062i,-0.0010083+0.0010928i,0.014832+0.017992i,-0.027801+8.2967e-05i,-0.011073+0.015622i,-0.033979+0.0065202i,-0.027634+0.038388i,-0.031101+0.0012955i,0.007657+0.0085598i,-0.0063887-0.0072185i,-0.02389-0.00050442i,-0.02117+0.0093802i,0.0038007+0.033079i,-9.6271e-05+0.0025305i,0.002438-0.0034023i,-0.0051075-0.012021i,0.0066062+0.011617i,0.0075493+0.016627i,0.0029375+0.0010774i,0.0020125-0.0046951i,0.0021977+0.0025878i,0.0035107-0.0073981i,0.010269-0.0023356i,0.0085944+0.0036331i,-0.0073962+0.0041792i,0.010913+0.0060316i,0.0083274+0.00034071i,0.01039-0.0011225i,0.00013781+0.001293i,0.0016648-0.0058085i,-0.00026093-0.0095674i,0.00099264+0.0022606i,-0.032076+0.01437i,-0.0030785-0.0088234i,-0.0024281-0.00030421i,0.0068259-0.0067177i,0.0012918+0.00067602i,-0.0076685-0.015495i,7.7971e-05-0.00633i,0.0036759+0.0016936i,0.003525-0.00089439i,0.0026605-0.0081936i,-0.0084886+0.0025466i,-0.0033398+0.0017464i,-0.0042883-0.0017881i,-0.0043436-0.002365i,-0.0057668-0.0026945i,-0.019276+0.026109i,-0.016397+0.01645i,-0.016735-0.01388i,-0.0055987+0.0029769i,0.0061094+0.022898i,-0.0049909+0.015504i,0.0037353+0.0012713i
0.020367+0.038536i,0.011114+0.017546i,0.013255+0.0283i,0.0039795+0.020058i,0.0066135+0.0073261i,0.003909-0.00010454i,0.014759+0.016114i,0.015999+0.00051486i,0.0093917-0.006372i,0.0011664+0.0036797i,0.0025176-0.0025432i,0.0031373-0.0047978i,-0.0021235+0.00016246i,0.0019741-0.0016939i,0.0019245-0.00027344i,0.0066268-0.0012973i,0.0081549-0.0031536i,0.00031961+3.0953e-05i,-0.0050144-0.00084111i,-0.0004188+0.00090895i,-0.00033658-0.00068006i,-0.0024166-0.0015795i,-0.0020577+0.00057833i,7.9874e-05+0.008946i,-0.00089576+0.0011981i,-2.4358e-05+0.0015284i,0.00064892+0.0014544i,-0.0023166+0.0017218i,-0.00068198+0.00040317i,-0.0012366-8.3434e-05i,-0.00080164-0.0019672i,-0.0020539-0.0025463i,-0.00035559+0.00019839i,9.5475e-05+0.00038492i,0.00035463-0.00096371i,-0.012726+0.0059177i,0.0017511+0.00047563i,0.00058242+0.0013224i,5.0236e-06+0.0032641i,0.00027129-0.001286i,-0.00037426-0.00042062i,0.00047687-0.00055756i,0.00058761+0.0015794i,-0.00047876+0.0013608i,0.017044+0.015318i,-0.027615+0.0068885i,-0.010908+0.015159i,-0.027159+0.010066i,-0.01499+0.039669i,-0.029326+0.0099452i,0.0061615+0.0015801i,-0.0069836-0.012488i,-0.020222+0.0012103i,-0.015091+0.013427i,0.01303+0.027515i,-0.0003413+0.0025324i,-0.0015341-0.0022236i,-0.0099205-0.0086732i,0.010555+0.0070399i,0.008811+0.014657i,0.00016978+0.0018353i,-0.00073671-0.0068912i,0.0054772+0.00097642i,-0.00033439-0.0070883i,0.0071536-0.006124i,0.0096969+9.2147e-05i,-0.0059832+0.0069789i,0.01407+0.00019663i,0.0084211-0.0050182i,0.0085409-0.0067392i,0.0013108+0.0013054i,-0.00013209-0.0061534i,-0.0040941-0.0060272i,0.0029242+0.0012277i,-0.02254+0.028723i,-0.005485-0.0077447i,-0.001207+0.00087606i,0.0015399-0.0080747i,0.0022816+0.00041556i,-0.013057-0.011824i,-0.0011835-0.0046507i,0.0039268-0.00053638i,0.002998-0.0014201i,-0.0001053-0.0085066i,-0.0049154+0.0064566i,-0.0018111+0.0031325i,-0.0052049+0.0013784i,-0.0063525-0.0013639i,-0.0057627-0.0014978i,-0.013937+0.02947i,-0.00784+0.021072i,-0.019932-0.012527i,-0.00295+0.0010874i,0.0094139+0.020728i,-0.0021331+0.018008i,0.0027019-0.0023023i
