-0.022909-0.018906i,-0.032285-0.034261i,-0.022227-0.019791i,-0.032304-0.020272i,-0.023982+0.004162i,-0.028844-0.017395i,-0.05784-0.044242i,-0.040655-0.041642i,-0.030217-0.017247i,0.0056408+0.0058074i,-0.0035811+0.0061318i,-0.011097+0.011188i,0.0037607+0.0069636i,-0.0040107-0.0026864i,0.002909+0.0016594i,0.0040699+0.028522i,0.01824+0.022195i,-4.5801e-05+0.00034604i,-0.0029339-0.0027679i,0.0085057+0.0042334i,0.0018814+0.00061052i,-9.1743e-05+0.0023781i,-0.00061324+0.00043798i,-0.03133-0.0013286i,-0.003292-0.0048135i,-3.4069e-05+0.0027319i,0.0047184-0.00054407i,0.0005678-0.0002527i,-0.00041433-0.00060481i,-0.0012909-0.0018577i,-0.0022314-0.0004832i,-0.0036849-0.0042094i,-0.0033946-0.0058495i,0.00041747-0.0011794i,0.00042616-0.0027228i,-0.0037473+0.02479i,0.0021412-0.0031226i,0.0023965-0.0039089i,0.0042576-0.0024251i,-0.0087676-0.0014335i,0.0005588+0.0012327i,0.008738+0.0021519i,-0.0031546+0.00036508i,-0.0033969+0.0011509i,-0.0093935-0.003087i,-0.019002+0.021504i,-0.0083275-0.086369i,-0.0025225-0.060804i,-0.021438-0.053467i,-0.01091-0.04623i,0.0539-0.02624i,0.023911-0.068094i,0.041003-0.053267i,0.019443-0.039272i,0.02593-0.019954i,0.012335+0.011732i,0.025278-0.029782i,-0.011076-0.0011847i,-0.00084721-0.0012791i,-0.007317-0.0018556i,-0.0053369-0.028801i,-0.020599+0.027007i,0.0071245-0.0095386i,-0.010168-0.0033483i,-0.0025605-0.0018413i,-0.00064335-0.015003i,-0.0080938+0.0048352i,0.0052755+0.010632i,-0.012445+0.031636i,0.0072168+0.0074559i,-0.0036569-0.0018304i,-0.0022045-0.0014281i,-0.012817-0.0059325i,0.00032229-0.0039204i,-0.035871+0.00092408i,0.0030616-0.0086613i,-0.0073958-0.001718i,-0.0051786-0.0029161i,0.0066498+0.0019117i,-0.010528+0.00067387i,0.0022639-0.00048296i,0.0061662+0.0078933i,0.0053393+0.0011611i,-0.0083218-0.0093695i,0.0029114+0.0076472i,-0.020911+0.0076658i,0.0031438+0.0055513i,-0.02101-0.0089809i,-0.02727-0.0044312i,0.0094688-0.06129i,0.019067-0.01473i,-0.051099-0.028512i,-0.023862+0.003321i,0.018903+0.010386i,-0.026972+0.012188i,-0.012692-0.0072227i
-0.011775+0.013519i,-0.021186+0.041739i,0.0016632+0.040645i,-0.010509+0.023991i,-0.00016055+0.020943i,0.001694+0.023286i,-0.024726+0.0154i,-0.02582+0.032568i,-0.00078355+0.017767i,-0.0010935-0.0011572i,-0.0010201+0.001772i,0.0043784+0.0033095i,0.0031279+0.0050562i,-0.0030651+0.001796i,-0.0030587+0.0037631i,0.0011488-0.0071382i,-0.0095196+0.00010895i,-0.0016337+0.00051781i,0.00030829-0.0014736i,-0.00091788-0.00035495i,0.0010928-0.0033782i,0.0010856-0.0027213i,0.00094394-0.001511i,-0.010074-0.0082382i,-0.00012799-0.00048409i,-0.0014528+0.00032739i,-0.0023278-0.00012816i,-0.0026401-2.376e-05i,-0.00099644-0.00095457i,0.001082-0.00071132i,-0.0016527+0.00019048i,0.0017629-0.0001885i,0.0020589-0.00064579i,0.00058375+0.00050628i,-0.00038863+0.0018336i,-0.00040538-0.0065276i,-0.0013003+0.00089871i,0.0016358+4.4499e-05i,0.0022583+0.0024657i,0.0040319+0.0051987i,0.0012284-0.0015635i,-0.0014754-0.0012094i,-0.0012599-0.00197i,0.0029312+0.0068004i,-0.0073892+0.0072343i,0.01973-0.057565i,-0.074167+0.014792i,-0.028572-0.01822i,-0.060849-0.047088i,-0.053046-0.017062i,-0.085324+0.0040655i,-0.073058+0.0026439i,-0.047474-0.033741i,-0.0086282-0.045392i,-0.037963-0.026472i,-0.0062954+0.00014869i,-0.030333+0.010424i,0.0074795+0.011104i,0.0096934+0.0067044i,0.0027108-0.0071i,0.010562+0.003781i,-0.011106-0.0022659i,0.0018163+0.012211i,0.0019244+0.0076823i,-0.00038297-0.001346i,0.0056654+0.0017258i,0.0037839+0.00025061i,-0.0051919+0.019724i,0.0002648+0.0095924i,0.0011819-0.0037928i,0.0082002-0.0063835i,0.0012834+0.0040795i,-0.0079152-0.0076284i,-0.0028105-0.0011401i,0.018804-0.032324i,0.0056726+0.0091465i,0.0018338+0.0027398i,-0.0020851+0.0041271i,0.0031173-0.00409i,0.019262+0.0028756i,0.001539-0.0017787i,-0.002383-0.006026i,-0.00066272-0.0020784i,0.01294+0.0038555i,0.0054167-0.00059511i,0.0043804-0.0079992i,0.0041701+0.0045253i,-0.0059495+0.0033138i,0.013556+0.0072157i,-0.042981-0.038497i,-0.011226+0.0038474i,-0.0019895-0.0012814i,-3.0099e-05+0.0031182i,-0.040555+0.010654i,-0.0069515+0.0084148i,-0.012779+0.0034827i
-0.0090376+0.014454i,-0.014233+0.042137i,0.010788+0.034082i,-0.005927+0.024835i,0.002633+0.018649i,0.0060798+0.021896i,-0.023476+0.019203i,-0.018357+0.034746i,0.0033466+0.013091i,-0.0014969-0.00039746i,-0.00018291+0.002847i,0.004855+0.00092783i,0.0040526+0.0034224i,-0.0014365+0.0027834i,-0.0022719+0.0048006i,-0.0034844-0.005658i,-0.0099887+0.0048323i,-0.001418+0.00098206i,0.0011167-0.0010196i,-0.00042938-2.1512e-05i,0.00011083-0.0033551i,0.00089631-0.0021907i,0.00082711-0.0013454i,-0.011555-0.0045873i,0.0001127-0.00031079i,-0.0013396+0.00074741i,-0.0018143+0.00062401i,-0.0021531+0.00067727i,-0.0011649-0.00075389i,0.0010323-0.00088235i,-0.0013466+0.00088375i,0.0011559-0.00048598i,0.0010826-0.0009181i,0.00030246+0.00059089i,-0.00091047+0.0014898i,-0.00030617-0.0053807i,-0.00088558+0.00094438i,0.00086728-0.00049647i,0.0022158+0.0014198i,0.0050449+0.0029082i,0.0007606-0.0021216i,-0.0021726-0.00092095i,-0.0023052-0.0010336i,0.0043652+0.0062102i,-0.0054058+0.0053898i,0.0015638-0.067246i,-0.064791+0.029231i,-0.03523-0.020685i,-0.073768-0.037592i,-0.053407-0.0056209i,-0.076542+0.020522i,-0.06998+0.016739i,-0.041128-0.031463i,-0.014492-0.044022i,-0.045523-0.012166i,-0.0072004+0.00036519i,-0.0239+0.022753i,0.009863+0.0058829i,0.011461+0.00060558i,-0.0022679-0.012484i,0.0077859+0.0027441i,-0.010733+0.0033874i,0.0076267+0.010378i,0.005029+0.008875i,-0.00075499-0.00092757i,0.0065482+0.0022262i,0.0046743+9.5401e-06i,0.0038166+0.017113i,0.0049571+0.0055071i,-0.0029835-0.0058633i,0.0019451-0.006862i,0.0030975+0.0047269i,-0.010604-7.8595e-05i,-0.0022324+0.0017809i,0.0071522-0.033937i,0.0085278+0.0077053i,0.0041483+0.0021326i,0.0019439+0.0032423i,-0.00013881-0.0019166i,0.017101-0.0058375i,-0.00018219-0.0023892i,-0.0052986-0.0039361i,-0.0033383-0.0008373i,0.010639-3.9038e-05i,0.0044266-0.00026699i,0.00089912-0.0065034i,0.0059325+0.0033993i,-0.0058327+0.0054126i,0.013662+0.0020972i,-0.049823-0.032193i,-0.0068154-0.005817i,-0.0028862-0.0025636i,0.0016065+0.0013299i,-0.034748+0.024227i,-0.0048389+0.0095211i,-0.010429+0.0048969i
-0.0057242+0.014574i,-0.0080482+0.042748i,0.015431+0.026335i,-0.0013158+0.024007i,0.0061924+0.017565i,0.010164+0.019453i,-0.020472+0.023214i,-0.011259+0.03424i,0.0035838+0.0085182i,-0.0016503+0.00059383i,0.00147+0.0033009i,0.0022141-0.00034001i,0.0044357+0.0019556i,-0.00073106+0.0028718i,-0.00085192+0.0056262i,-0.0067332-0.0017134i,-0.0073639+0.0091873i,-0.00074554+0.0016191i,0.0014608-0.0020208i,0.00023308-0.00036645i,-0.0010581-0.003081i,0.00098019-0.0028095i,0.00081266-0.001543i,-0.012355-0.0013528i,-5.8542e-06-0.0003885i,-0.00078412+0.0014394i,-0.0011728+0.00057313i,-0.0013051+0.0015693i,-0.0013801-0.00059786i,0.00057969-0.001447i,-0.00075182+0.0011912i,0.00072713-0.00067731i,0.00037858-0.0009875i,0.00063825+0.00026476i,-0.00053444+0.0024845i,0.00027836-0.00589i,-0.00076458+0.00090583i,0.00029536-0.00073838i,0.0026821-0.00073058i,0.0049777+0.00082151i,0.00016477-0.0024175i,-0.0015478+0.0002191i,-0.0030653+3.4549e-05i,0.0053226+0.0045669i,-0.0049025+0.0040619i,-0.020502-0.067701i,-0.051096+0.038134i,-0.043479-0.017107i,-0.080793-0.022847i,-0.048947+0.0031984i,-0.062325+0.031456i,-0.057243+0.028763i,-0.043479-0.034225i,-0.019835-0.043073i,-0.044958+0.0035866i,-0.0073263+0.0016503i,-0.011877+0.028547i,0.010393+0.0014376i,0.0080288-0.0049061i,-0.013574-0.012469i,0.0076204+0.00036846i,-0.0068909+0.0065262i,0.010535+0.0047856i,0.0066506+0.0069797i,-0.0029467+0.00039124i,0.0067809-0.0016747i,0.0056521-0.0022927i,0.0080871+0.011327i,0.0039674+0.0011108i,-0.00841-0.0028419i,-0.00027576-0.0047272i,0.0059895+0.0036097i,-0.0059499+0.0086798i,0.0001033+0.0030352i,-0.0022843-0.030446i,0.012316+0.0034131i,0.0044336+0.0005005i,0.0020608+0.00069691i,0.00068237-7.5079e-05i,0.011148-0.010725i,-0.0022701+0.00030863i,-0.0066732-0.00028688i,-0.0037474+0.0025269i,0.0072759-0.0021329i,0.0074937-0.0018688i,0.00019058-0.0058529i,0.0090876+0.0011227i,-0.0026688+0.0069881i,0.012233-0.0025524i,-0.055225-0.021514i,-0.012557-0.014476i,-0.0015122-0.0037427i,0.0034627-0.0015128i,-0.022544+0.029749i,-0.0038702+0.0057432i,-0.0076675+0.00099354i
-0.0027453+0.013449i,-0.00070991+0.04289i,0.017443+0.019158i,0.0034869+0.022959i,0.01035+0.014141i,0.013489+0.015913i,-0.016105+0.026553i,-0.0060849+0.031883i,0.0029911+0.0066849i,-0.0010511+0.0016081i,0.0028591+0.0024132i,0.0010914+0.0013505i,0.0041891+0.0008354i,-0.0005077+0.0036047i,0.00068823+0.0057314i,-0.0067655+0.0036959i,-0.0024104+0.01201i,0.00024808+0.0013945i,0.00054121-0.0026355i,-2.3738e-05-0.0010014i,-0.0017316-0.0024916i,0.00026141-0.0031117i,0.00059636-0.002157i,-0.011893+0.002658i,-3.2328e-05-0.00051794i,0.00015507+0.001104i,-0.0009331+0.0003326i,-0.00026916+0.0014128i,-0.0016074+0.0001418i,-0.00026777-0.0013145i,-0.0002609+0.0014555i,0.00026562-0.00072385i,-0.00025955-0.00090086i,0.0005997+6.4728e-05i,0.000905+0.0022962i,-0.00014737-0.0077349i,-0.00018568+0.001372i,-0.00029138-0.00051112i,0.0011398-0.00098273i,0.0044891-0.00054985i,-0.00052454-0.0024209i,-0.00090717+0.00021522i,-0.002945+0.0016361i,0.0047291+0.001761i,-0.0049909+0.0037357i,-0.039628-0.056517i,-0.037714+0.040757i,-0.049289-0.010103i,-0.084632-0.0083841i,-0.04271+0.0084707i,-0.049768+0.035401i,-0.044339+0.031184i,-0.048215-0.030117i,-0.025628-0.038863i,-0.039363+0.015185i,-0.0075673+0.003215i,-0.0011592+0.028337i,0.0091558-0.0031098i,0.0028975-0.006393i,-0.02112-0.0033336i,0.0046842-0.00037395i,-0.002914+0.0070673i,0.0092392-0.0011859i,0.0085839+0.0056915i,-0.0027307+0.0032285i,0.0033751-0.0028423i,0.0049733-0.0057247i,0.0080296+0.0053806i,0.0012728-0.00028429i,-0.0087846+0.0013701i,-0.0016853-0.0033896i,0.0070144+0.0011916i,0.0032608+0.0085958i,0.0017909+0.002073i,-0.0097848-0.022131i,0.012329-0.0013748i,0.0037388-0.0012905i,0.0029857+0.0011081i,0.00082833-0.00027596i,0.0057862-0.010986i,-2.2522e-05+0.0025517i,-0.0061491+0.0029187i,-0.0009127+0.0046743i,0.0052301-0.0019182i,0.0066356-0.0063988i,-0.0023468-0.0052585i,0.008515-0.0041264i,-0.00065598+0.0058681i,0.010312-0.0066386i,-0.053367-0.0087261i,-0.022691-0.015576i,-0.0023014-0.0077077i,0.0033397-0.0063432i,-0.013553+0.03043i,-0.007047+0.0049052i,-0.011037-0.0002138i
-0.00093125+0.01214i,0.0058877+0.041002i,0.016661+0.01364i,0.0079298+0.020342i,0.012741+0.0095354i,0.015271+0.012093i,-0.010636+0.028425i,-0.0024276+0.029844i,0.0035485+0.0058148i,0.00011112+0.0019969i,0.0032137+0.0013221i,0.0019134+0.00241i,0.0039612-0.00029796i,0.001074+0.0044838i,0.0022482+0.0054792i,-0.0040777+0.0074131i,0.0028199+0.011783i,0.00073265+0.0010346i,0.00011281-0.0021776i,-0.00056307-0.0011745i,-0.0026036-0.0018943i,-0.0005377-0.002905i,-0.00030437-0.0024541i,-0.0092993+0.0055172i,-0.000504-0.0010059i,0.00018985+0.00023227i,-0.00083872+0.00022094i,0.0001722+0.00085471i,-0.0012035+0.000891i,-0.00040694-0.00079544i,0.00037643+0.0014563i,-3.6357e-05-0.0010211i,-0.0005518-0.00048289i,0.00035886-0.0001212i,0.0012377+0.0015099i,-0.0025175-0.0090553i,0.0003821+0.0014142i,-0.00026044+0.00016668i,0.0005093-0.00096637i,0.0037373-0.0012584i,-0.0010677-0.0023518i,-0.00072746+0.00022885i,-0.0018415+0.0024224i,0.0033157+0.0013716i,-0.0046412+0.0042423i,-0.047222-0.039412i,-0.027363+0.038756i,-0.054046-0.00091786i,-0.086435+0.008014i,-0.038278+0.0093166i,-0.039069+0.036752i,-0.035018+0.030874i,-0.051041-0.025574i,-0.027874-0.034807i,-0.031704+0.024872i,-0.0069458+0.0049053i,0.011044+0.024529i,0.0066309-0.0055146i,-0.0016222-0.0052907i,-0.023527+0.0059236i,0.0033585+0.00031551i,0.00046774+0.0066994i,0.0044964-0.0034651i,0.010412+0.0027974i,-0.0010322+0.0049919i,0.0013134-0.0013688i,0.0027339-0.0084282i,0.0042738+0.0018997i,-0.00099231+0.0010413i,-0.008589+0.0066108i,-0.0027711-0.0011987i,0.0069048-0.0015574i,0.0061626+0.0045633i,0.0026159+0.0009789i,-0.013363-0.019251i,0.010179-0.0060227i,0.0027049-0.0022195i,0.0043003-4.2845e-05i,0.00097478+2.3826e-05i,0.0029684-0.0094793i,0.0019142+0.0016757i,-0.0034396+0.0057724i,0.0023085+0.0047248i,0.0046237-0.0020117i,0.0028319-0.010526i,-0.0029128-0.0036073i,0.0040767-0.0076712i,-0.00014794+0.0048598i,0.0055418-0.010377i,-0.047726-0.002183i,-0.033273-0.0072559i,-0.005591-0.0095671i,0.00039948-0.010476i,-0.007243+0.029653i,-0.010036+0.0075287i,-0.012324+0.0027096i
0.00056658+0.011106i,0.01151+0.038673i,0.015737+0.010842i,0.011172+0.016543i,0.012882+0.0047743i,0.016532+0.0088357i,-0.0046468+0.028322i,0.00018087+0.02799i,0.0043123+0.0035818i,0.00071755+0.0012997i,0.0027037+0.00041356i,0.0029567+0.0025195i,0.0033312-0.0012248i,0.0027618+0.0036065i,0.0034724+0.0046514i,-0.00045789+0.0090799i,0.0071877+0.0092189i,0.0010424+0.00077013i,-0.00041806-0.0023012i,-0.0011447-0.0010474i,-0.0027959-0.00061401i,-0.00093434-0.002597i,-0.0010032-0.0020705i,-0.0071832+0.0063166i,-0.00093447-0.00024251i,-0.00022901+1.9144e-05i,-0.00099749+0.00021033i,0.00036009+0.00017285i,-0.00042513+0.0011663i,-0.00036562-0.00062027i,0.00089994+0.0012318i,-0.00071003-0.00096047i,-0.00058169+4.2988e-05i,4.4288e-05-0.00026061i,0.00141+0.0013493i,-0.0059905-0.0087876i,0.00019497+0.00094949i,0.00016717+0.0001796i,5.4365e-05-0.00082774i,0.0030048-0.0017257i,-0.0016853-0.0013616i,-0.00077043+0.00023834i,-0.00079398+0.0026519i,0.003469+0.0019922i,-0.0037363+0.0049105i,-0.045591-0.027246i,-0.020211+0.036377i,-0.054971+0.012291i,-0.081733+0.02771i,-0.039055+0.010233i,-0.030754+0.035675i,-0.027491+0.029657i,-0.052016-0.018948i,-0.031408-0.031355i,-0.022698+0.029708i,-0.0062656+0.0069007i,0.017808+0.010852i,0.0046143-0.0076355i,-0.0046969-0.0019002i,-0.019092+0.016108i,0.0033478-0.00041508i,0.0028981+0.004814i,0.0015783-0.0018736i,0.011497-0.0019199i,0.00088417+0.0061406i,0.0010233-0.00031387i,-0.0024323-0.010136i,0.0029936+0.0044831i,-0.00068822+0.0035024i,-0.0027491+0.011351i,-0.0015451+0.00073617i,0.005608-0.0032109i,0.0078316+0.001755i,0.0032579-0.00081538i,-0.018405-0.017723i,0.0061537-0.0082812i,0.00094406-0.0027507i,0.0035635-0.0013013i,0.001163+0.00083901i,0.0020995-0.0078736i,0.0025381+0.00010481i,-0.00012046+0.0064528i,0.0038936+0.0018896i,0.0039937-0.00307i,-0.0031484-0.010338i,-0.003345-0.0035595i,-0.00048857-0.0070892i,0.00069717+0.0036785i,-0.00080746-0.010577i,-0.044338+0.0022512i,-0.031074+0.0082377i,-0.0094987-0.0097266i,-0.0040118-0.011876i,-0.0030575+0.027774i,-0.0081278+0.012204i,-0.0091583+0.0041621i
0.0018937+0.010019i,0.017262+0.036403i,0.015716+0.0088604i,0.012858+0.012385i,0.011512+0.001444i,0.017503+0.0053485i,0.00051211+0.026931i,0.0025238+0.027341i,0.0040732+0.0018032i,0.00074122+0.0010459i,0.002296+0.00056658i,0.0044871+0.0024439i,0.0024316-0.0017864i,0.0034593+0.001953i,0.0042084+0.0036225i,0.0031354+0.008899i,0.010095+0.0053054i,0.0014042+0.00044605i,-0.001072-0.0024107i,-0.0015446-0.00047885i,-0.0022303+0.00041579i,-0.0014861-0.0024783i,-0.0014111-0.0015988i,-0.0058672+0.0078556i,-0.00098812+5.9163e-05i,-0.00058861+0.000315i,-0.00056548+0.00057046i,-0.00019627-0.00025869i,-8.4232e-05+0.00075844i,-0.00046166-0.00065422i,0.001275+0.00098106i,-0.00064417-0.00034335i,-0.00019907+0.00022929i,-0.00010041-0.00018512i,0.0019166+0.00040971i,-0.008637-0.0076203i,0.00030143+0.00081634i,7.4847e-05-0.0001024i,-0.00035619-0.00067077i,0.0023226-0.0020334i,-0.0017361-0.00082668i,-0.00045893+0.00043663i,7.5061e-06+0.0020546i,0.0041163+0.0014685i,-0.0023971+0.0050837i,-0.044063-0.022357i,-0.015102+0.034858i,-0.049381+0.024613i,-0.070577+0.044476i,-0.039318+0.015834i,-0.024117+0.035213i,-0.022507+0.027423i,-0.051871-0.013513i,-0.033622-0.026028i,-0.014494+0.031963i,-0.0034397+0.0074025i,0.012372-0.0015512i,0.0013397-0.010408i,-0.0047653+0.0012419i,-0.011699+0.019375i,0.0020094-0.0017188i,0.0031644+0.0025391i,0.0017037-0.00046457i,0.0097603-0.005497i,0.0046897+0.006134i,0.001222+0.0012625i,-0.0078496-0.0053372i,0.0044273+0.005444i,0.0010562+0.0051276i,0.0027926+0.010366i,-0.00081528+0.0010859i,0.0044262-0.0044714i,0.0085699-0.0030853i,0.0012599-0.001725i,-0.026291-0.012884i,0.0031764-0.008794i,-0.00021963-0.00163i,0.0037005-0.00053156i,0.0019273+0.00053308i,0.0023728-0.0088838i,0.0019306-0.0013717i,0.0017374+0.0047838i,0.0035134+0.00091525i,0.0034482-0.0027128i,-0.0066317-0.0068379i,-0.0049819-0.0030043i,-0.0030628-0.0065988i,0.00062614+0.0022834i,-0.0045178-0.0075378i,-0.041098+0.0068816i,-0.024082+0.010714i,-0.0096811-0.0084167i,-0.0073307-0.011344i,0.0016843+0.024223i,-0.0061285+0.012884i,-0.0081487+0.0036095i
0.0029481+0.0088029i,0.022889+0.033269i,0.016552+0.0071019i,0.013257+0.0089843i,0.0096245-0.00063355i,0.017641+0.0019141i,0.005107+0.024709i,0.0058714+0.026869i,0.003583+0.00025911i,0.00089067+0.00092593i,0.0027814+0.00068934i,0.0061001+0.00060755i,0.0015868-0.0017818i,0.0028718+0.00094746i,0.0048487+0.0026811i,0.0061732+0.0069074i,0.010591+0.0013172i,0.0016888-0.00035059i,-0.0017221-0.0022126i,-0.0014266+0.00045397i,-0.0014259+0.00097469i,-0.0020509-0.0017565i,-0.0015996-0.0011633i,-0.0030881+0.0089544i,-0.00088301+0.00042368i,-0.00041562+0.0006859i,-0.00054623+0.0012337i,-0.00093305+1.6337e-05i,-8.5493e-06+0.0006239i,-0.00060982-0.00058593i,0.0018773+0.00066743i,-0.00027945-0.0004343i,-0.00032043+0.0001916i,-0.0002084-0.000107i,0.0016065-0.00048462i,-0.011743-0.0050335i,0.00044812+0.00078797i,-0.00011116-1.1976e-05i,-0.0008627-0.0003951i,0.0018961-0.0019635i,-0.0014298-0.00046109i,-0.00017193+0.00033486i,0.00014726+0.0016657i,0.0044465+0.00053012i,-0.001095+0.0042348i,-0.046392-0.018883i,-0.010929+0.033119i,-0.041565+0.033638i,-0.055678+0.054911i,-0.037994+0.021573i,-0.017117+0.033659i,-0.018613+0.026653i,-0.051761-0.0077662i,-0.034428-0.020591i,-0.0066127+0.033371i,-0.0017658+0.0068739i,0.0050589-0.003612i,-0.0032377-0.011136i,-0.0031661+0.0043853i,-0.0039455+0.018544i,-5.9908e-05-0.0022864i,0.0021125+0.0019525i,0.0013959-0.00012286i,0.006993-0.0090428i,0.0077722+0.0035207i,0.0025754+0.0018012i,-0.0084749-0.0013059i,0.0064029+0.0056789i,0.0035024+0.0055526i,0.0081635+0.0091752i,-0.00027173+0.001565i,0.0037532-0.0052131i,0.0082978-0.0087287i,0.00050233-0.00038307i,-0.032267-0.002813i,0.0015371-0.0083432i,-0.00036489-0.00047443i,0.0045988-0.00067554i,0.0021615+0.00010311i,0.00081076-0.011225i,0.00034529-0.0015659i,0.0032811+0.0039006i,0.0037288-8.3138e-05i,0.0044441-0.0034735i,-0.0080292-0.0036771i,-0.0066151-0.00038767i,-0.0072835-0.0046281i,0.00053764+0.00061872i,-0.006018-0.0043869i,-0.037292+0.010643i,-0.021801+0.01143i,-0.0089931-0.0099439i,-0.010351-0.010132i,0.0017873+0.022015i,-0.0056517+0.01304i,-0.0068148+0.0036389i
0.0040174+0.0077998i,0.029044+0.028499i,0.018377+0.0049787i,0.013129+0.0063559i,0.0083227-0.0012167i,0.017288-0.0012954i,0.0088181+0.02131i,0.010377+0.026016i,0.0028792-0.0010261i,0.0008573+0.00073526i,0.003165-0.00014099i,0.0056545-0.002214i,0.0010659-0.0016277i,0.0026602+0.00045593i,0.0054312+0.0014529i,0.0072395+0.0040245i,0.0090881-0.00202i,0.0010502-0.0010645i,-0.0025579-0.0015893i,-0.00070451+0.0009035i,-0.00053654+0.00088565i,-0.0020749-0.001239i,-0.0017937-0.00070604i,0.00021427+0.0088749i,-0.00065679+0.0005796i,-0.00011621+0.00072467i,4.8567e-05+0.0014843i,-0.00098093+0.00073413i,0.00019021+0.00035849i,-0.00067927-0.00049876i,0.0017236-0.00027867i,-0.00071068-0.0003921i,-0.00044258+0.00029423i,-0.00032811+3.2132e-07i,0.00094872-0.00095779i,-0.012663-0.00092597i,0.00050482+0.00052433i,-5.7901e-05+3.6609e-05i,-0.0012092+0.00010825i,0.0016523-0.0021974i,-0.0011269-0.0011683i,4.2277e-05+0.00012443i,0.00021265+0.0015656i,0.0044335-0.00048815i,-0.00073043+0.0033555i,-0.051168-0.011904i,-0.0068301+0.031166i,-0.030806+0.038949i,-0.04107+0.0617i,-0.035407+0.029581i,-0.010643+0.030088i,-0.01222+0.025258i,-0.050513-0.0014802i,-0.033259-0.014876i,0.00038408+0.033394i,-0.00081336+0.0061224i,0.00048447-0.0039618i,-0.0086173-0.010068i,0.00051124+0.0052527i,0.0015678+0.017739i,-0.0025956-0.0012992i,0.0036425-0.0049283i,0.0025657+0.0016849i,0.0023596-0.0109i,0.0089717-0.0013664i,0.003926+0.0012177i,-0.0083715+0.0031035i,0.009911+0.004677i,0.0072015+0.0040731i,0.012414+0.0033446i,0.00061221+0.0020559i,0.0023231-0.0061224i,-0.00091111-0.0094354i,0.0016553+0.00080704i,-0.030616+0.011485i,-0.0016697-0.0073246i,0.00041721+0.00066541i,0.0055128-0.0042898i,0.0027158-0.00024781i,-0.0039304-0.012759i,-0.00050239-0.00089689i,0.0042677+0.0025535i,0.0034241-0.00079219i,0.0036982-0.0048552i,-0.0080812+0.00053085i,-0.0059958+0.0031586i,-0.0084719-0.00024363i,-0.0010928-0.00058387i,-0.0061-0.0020629i,-0.034119+0.01293i,-0.020915+0.016251i,-0.010985-0.013984i,-0.010691-0.0077821i,0.0039243+0.021801i,-0.0059089+0.015396i,-0.004708+0.0017701i
0.0050596+0.0063914i,0.033711+0.022188i,0.019934+0.00092814i,0.013107+0.0041974i,0.0079175-0.0014823i,0.016697-0.0042251i,0.011154+0.017597i,0.015256+0.023418i,0.0019302-0.0018884i,0.00080945+0.00073604i,0.0028951-0.00094271i,0.0037171-0.0037467i,0.00056543-0.0014351i,0.0023451+7.3616e-05i,0.0054585+2.7733e-05i,0.0068436+0.0018369i,0.0074222-0.0040191i,0.00055639-0.0011654i,-0.0025945-0.0005782i,-3.9626e-05+0.0009482i,0.000267+0.00044192i,-0.0020157-0.00089353i,-0.0016926-0.00027561i,0.0031076+0.0083208i,-0.00037542+0.00056475i,9.8262e-05+0.00070093i,0.00065399+0.0012895i,-0.00051801+0.001284i,0.00011337-7.4451e-06i,-0.00094715-0.00041692i,0.0012109-0.00079849i,-0.00093375+9.2507e-05i,-0.0003205+0.00055877i,-0.00028644+0.00022493i,0.00029361-0.0011659i,-0.012952+0.0026801i,0.00042408+0.00045315i,-0.00015872-4.2239e-05i,-0.0012876+0.00078504i,0.0011384-0.0025677i,-0.00059047+0.00039024i,1.352e-05-0.00022614i,0.00045496+0.0016647i,0.0043101-0.0011835i,-0.00042332+0.0029841i,-0.053078-0.0011057i,-0.0045858+0.029515i,-0.021551+0.040144i,-0.0248+0.066075i,-0.028607+0.038114i,-0.0068484+0.024854i,-0.0081494+0.019988i,-0.046865+0.0036087i,-0.030444-0.0092491i,0.0088885+0.031233i,-0.0006419+0.0059791i,-0.0046622-0.0021936i,-0.012377-0.0067891i,0.0032827+0.0030919i,0.0054813+0.01568i,-0.0054435+0.001066i,-0.00053847-0.0067627i,0.0048874+0.00055117i,-0.0028409-0.0097944i,0.0064123-0.0046474i,0.0049156-0.00055135i,-0.0069395+0.0068197i,0.012522-3.2216e-05i,0.0089066-0.00082744i,0.011764-0.0041613i,0.0021069+0.0017918i,0.00012909-0.0064053i,-0.0044057-0.0053808i,0.003156-0.00042053i,-0.031739+0.023077i,-0.0033555-0.0063492i,0.0018751+0.00090625i,0.0021929-0.0065069i,0.0029099-0.00086514i,-0.0093728-0.010401i,-8.5018e-05+0.00052404i,0.004718+0.00079212i,0.002452-0.0015935i,0.0025195-0.0053905i,-0.0063623+0.0041446i,-0.0036289+0.0051594i,-0.0079816+0.0041328i,-0.003344-0.00013918i,-0.0057347-0.00065915i,-0.030328+0.016908i,-0.012128+0.019871i,-0.017657-0.015173i,-0.010104-0.0076767i,0.0054643+0.020725i,-0.0030906+0.018635i,-0.0048219-0.0018439i
