-0.023749-0.018516i,-0.032186-0.032256i,-0.022435-0.019902i,-0.032338-0.020576i,-0.024006+0.004341i,-0.028724-0.017423i,-0.058325-0.043733i,-0.04148-0.04093i,-0.030508-0.023884i,0.0053576+0.0056714i,-0.0030031+0.0062283i,-0.011179+0.010862i,0.0038645+0.0069459i,-0.0037978-0.0027435i,0.0029113+0.0016832i,0.0041039+0.02867i,0.026587+0.032533i,9.5323e-05+0.00050657i,-0.0026571-0.0030539i,0.0076152+0.0038097i,0.0021853+0.00070041i,-0.00013651+0.0025654i,-0.00057662+0.0004598i,-0.032356-0.00077791i,-0.0031315-0.0046448i,5.663e-05+0.0025069i,0.0039612-0.0011312i,0.00047778-0.00046791i,-0.00047663-0.00044368i,-0.0010291-0.0018821i,-0.0020352-0.00056585i,-0.0039565-0.0037866i,-0.0030228-0.0051716i,0.00019364-0.0011815i,0.00045845-0.0028615i,-0.0014578+0.025222i,0.0021871-0.0030459i,0.0023048-0.0039122i,0.004248-0.0025798i,-0.0065741-0.0017819i,0.00083118+0.0012936i,0.010032-0.00075426i,-0.0018227-2.709e-05i,-0.0033154+0.0014366i,-0.0093573-0.0024086i,-0.018846+0.021536i,-0.0079821-0.086345i,-0.0032769-0.060482i,-0.02097-0.052606i,-0.01067-0.045496i,0.05397-0.025654i,0.02435-0.067166i,0.04146-0.053816i,0.018511-0.038572i,0.025204-0.020251i,0.012214+0.011597i,0.026463-0.028199i,-0.011195-0.0013674i,-0.00049902-0.00066533i,-0.0072316-0.0013566i,-0.0051484-0.029287i,-0.020207+0.027096i,0.0071199-0.0096783i,-0.010696-0.0030757i,-0.0025036-0.0016233i,-0.00074451-0.014569i,-0.007709+0.0050004i,0.0052812+0.010176i,-0.010581+0.031073i,0.0071933+0.0080687i,-0.0037495-0.0017636i,-0.0024488-0.0015619i,-0.012723-0.0054031i,0.00012803-0.0036428i,-0.033017+0.0034106i,0.0028147-0.0090185i,-0.0073765-0.0018872i,-0.0053637-0.0028925i,0.0069092+0.001737i,-0.010371+0.0012096i,0.0022159-0.00035475i,0.0059409+0.007764i,0.0054989+0.00086901i,-0.0084134-0.0097166i,0.0027177+0.0078028i,-0.019665+0.0074609i,0.002897+0.005902i,-0.02114-0.0088833i,-0.027595-0.0048042i,0.0097137-0.061133i,0.018814-0.015031i,-0.051017-0.029142i,-0.02425+0.0020467i,0.019018+0.01045i,-0.027583+0.012025i,-0.012949-0.0078961i
-0.011159+0.013136i,-0.021009+0.041042i,0.002005+0.040141i,-0.010315+0.023738i,-0.00011602+0.020953i,0.0019034+0.023251i,-0.024796+0.016051i,-0.026035+0.03318i,0.00069348+0.017196i,-0.0013137-0.0015243i,-0.00088672+0.0018469i,0.0041343+0.003513i,0.0033626+0.0050211i,-0.0031964+0.0017819i,-0.0030922+0.0037381i,0.0012046-0.006538i,-0.0085254-0.0017582i,-0.0019081+0.00031718i,0.00049648-0.0014979i,-0.00093395-0.00042467i,0.0010012-0.0034616i,0.0011783-0.00272i,0.0009325-0.0015499i,-0.0099295-0.0080755i,-3.0317e-05-0.0004797i,-0.0015599+0.00022977i,-0.0022673+0.00011706i,-0.0027897-3.0643e-05i,-0.00093997-0.00092482i,0.0011008-0.00067869i,-0.0018016+0.00018775i,0.0015779-0.0002763i,0.002016-0.00069133i,0.00059314+0.00057333i,-0.00043898+0.0017984i,-0.00060412-0.0065939i,-0.0012415+0.00092904i,0.0018121+0.00014275i,0.00057932+0.0023303i,0.0042081+0.0056906i,0.00087103-0.0015347i,-0.0017752-0.0010521i,-0.0014678-0.0021225i,0.0032895+0.0049825i,-0.007555+0.007052i,0.020151-0.057211i,-0.073808+0.015059i,-0.029299-0.017334i,-0.05975-0.048465i,-0.05275-0.017426i,-0.085814+0.0047838i,-0.073486+0.0023592i,-0.04764-0.033617i,-0.0074919-0.045679i,-0.037774-0.025626i,-0.0062201+0.00018666i,-0.029801+0.0091863i,0.0077892+0.011054i,0.0094794+0.0071531i,0.0020172-0.0062049i,0.010221+0.0039268i,-0.011504-0.0036181i,0.0026651+0.012106i,0.0015069+0.0069705i,-0.00018775-0.0013117i,0.0060482+0.0017748i,0.004094+0.00061906i,-0.0051444+0.01898i,0.00013603+0.0097033i,0.0014459-0.0044434i,0.0083494-0.0060914i,0.0016552+0.0038704i,-0.0079753-0.007143i,-0.0029099-0.00098601i,0.021464-0.030524i,0.0052345+0.0088004i,0.0019295+0.0028849i,-0.0016709+0.0037333i,0.0036058-0.0039949i,0.019689+0.0029999i,0.0014723-0.0021542i,-0.0027736-0.0064251i,-0.00018107-0.002162i,0.011755+0.0052997i,0.0056831-0.00043655i,0.0031498-0.0078027i,0.0041692+0.0054446i,-0.0053869+0.0034582i,0.013624+0.006676i,-0.043319-0.037398i,-0.012673+0.0059738i,-0.0022242-0.0016133i,-0.00066745+0.0033107i,-0.040342+0.011039i,-0.0065716+0.0085633i,-0.013022+0.0031544i
-0.0084388+0.01392i,-0.014039+0.041484i,0.010881+0.033485i,-0.0058311+0.024667i,0.0027698+0.018658i,0.0062867+0.021837i,-0.02317+0.019874i,-0.018516+0.035443i,0.0042401+0.011765i,-0.0017702-0.00058468i,-5.4726e-06+0.0029587i,0.0048351+0.0010475i,0.0042049+0.0031966i,-0.0015693+0.0028402i,-0.0022533+0.0047638i,-0.0029573-0.005127i,-0.0096974+0.0027787i,-0.0015693+0.001029i,0.00092319-0.0011959i,-0.00044325-9.0795e-05i,-0.00010575-0.0034044i,0.00099446-0.0022235i,0.00073881-0.0013438i,-0.011244-0.0046043i,0.00013414-0.00041898i,-0.0015555+0.00071506i,-0.0016886+0.00086224i,-0.0024062+0.00075139i,-0.0011299-0.00072467i,0.0010141-0.00081096i,-0.0016328+0.0010932i,0.001031-0.00058127i,0.0011823-0.0014737i,0.00027951+0.00052365i,-0.00094381+0.001486i,-0.00016071-0.0053379i,-0.00080025+0.00099723i,0.00096907-0.00048513i,0.00080198+0.0026809i,0.0052961+0.003062i,0.00033447-0.0019015i,-0.002418-0.0005912i,-0.0026265-0.0012247i,0.0044999+0.0042516i,-0.0056813+0.0051953i,0.0021315-0.06693i,-0.064549+0.029138i,-0.035393-0.019172i,-0.073504-0.039437i,-0.05317-0.0059779i,-0.076673+0.021473i,-0.070595+0.01696i,-0.041491-0.030904i,-0.013593-0.044621i,-0.044564-0.010862i,-0.0070422+0.0003758i,-0.023267+0.021422i,0.0099757+0.0059044i,0.011526+0.00081535i,-0.0024931-0.011128i,0.0075538+0.0033943i,-0.011551+0.0026553i,0.0076154+0.01005i,0.0035886+0.0075763i,-0.00069847-0.0010625i,0.0068447+0.0018795i,0.0050742+0.00016254i,0.0038533+0.016368i,0.0045115+0.0056424i,-0.0031373-0.0065859i,0.0021069-0.0068062i,0.0031896+0.0043404i,-0.01049-0.00033756i,-0.0022211+0.0019539i,0.0072598-0.031902i,0.0082988+0.0075693i,0.0041686+0.0021308i,0.0015418+0.0028472i,2.5598e-05-0.0020969i,0.017439-0.0062675i,-0.00033182-0.0027218i,-0.0057207-0.0042795i,-0.0027553-0.0014546i,0.010606+0.00063086i,0.004871-0.0001967i,0.00016547-0.0058386i,0.0062588+0.0037952i,-0.0054213+0.0054981i,0.013508+0.001702i,-0.050114-0.031174i,-0.0064847-0.0045484i,-0.002993-0.002413i,0.0010387+0.0019395i,-0.034312+0.023042i,-0.0041641+0.009355i,-0.01044+0.0052844i
-0.0054181+0.013924i,-0.0078156+0.042017i,0.015302+0.025884i,-0.0012827+0.023888i,0.0063611+0.017367i,0.010243+0.019294i,-0.019869+0.023751i,-0.011182+0.035255i,0.0035826+0.0074865i,-0.0019248+0.00055662i,0.0017962+0.0034496i,0.002292-0.00022056i,0.0044561+0.0018081i,-0.00079546+0.0029341i,-0.00083284+0.0055792i,-0.0060111-0.0014982i,-0.0081328+0.0075524i,-0.00066947+0.0015765i,0.0014204-0.0020827i,0.00016093-0.00046703i,-0.001153-0.0030923i,0.00087999-0.0027386i,0.00080556-0.0015015i,-0.011992-0.00148i,-0.00012226-0.0003903i,-0.001037+0.0014895i,-0.00091918+0.0006985i,-0.0015006+0.0016579i,-0.0013218-0.00052299i,0.000621-0.0014029i,-0.00083403+0.0016936i,0.00054604-0.00064872i,0.00035195-0.0014343i,0.00062163+0.00023545i,-0.00065808+0.0023578i,0.00045176-0.0058403i,-0.00078565+0.00091165i,0.000325-0.00071517i,0.0025355+0.0013839i,0.0049936+0.0010712i,-0.00025041-0.0018108i,-0.0018293+0.00045083i,-0.0035591-0.00012844i,0.0053954+0.0024948i,-0.0052829+0.003922i,-0.019879-0.0675i,-0.050734+0.038223i,-0.042568-0.015792i,-0.081453-0.024751i,-0.048792+0.0027896i,-0.061989+0.032235i,-0.057483+0.029597i,-0.043008-0.032694i,-0.019316-0.04388i,-0.043175+0.0040466i,-0.007166+0.001527i,-0.012241+0.026667i,0.01032+0.0013533i,0.0079847-0.0047766i,-0.012482-0.011302i,0.0077745+0.0011628i,-0.0080526+0.0066642i,0.010608+0.004763i,0.0058908+0.006755i,-0.0030527+0.00041117i,0.0067852-0.00203i,0.0060973-0.0027397i,0.0078404+0.010454i,0.004069+0.0015051i,-0.0088181-0.0034314i,-0.00013286-0.0047724i,0.0057561+0.0032883i,-0.0067316+0.0083811i,0.00028592+0.0031647i,-0.0033558-0.028431i,0.011949+0.0034406i,0.0041745+0.00015047i,0.0020054+0.0014416i,0.00063779-0.00013666i,0.011137-0.010952i,-0.0025792+0.00027054i,-0.0071397-0.00086894i,-0.0039066+0.0019798i,0.0073995-0.0021398i,0.0076601-0.0016063i,0.00019964-0.0054824i,0.0091691+0.00078607i,-0.002293+0.0066777i,0.012001-0.0026567i,-0.054827-0.020499i,-0.011533-0.013411i,-0.0012612-0.003147i,0.0035547-0.00078163i,-0.023822+0.028877i,-0.0035814+0.0048734i,-0.0073092+0.0010038i
-0.0027643+0.012948i,-0.00050783+0.04212i,0.01717+0.018902i,0.0034303+0.022775i,0.010341+0.013893i,0.013473+0.015779i,-0.015271+0.026859i,-0.0055116+0.033074i,0.0027963+0.0061783i,-0.0012098+0.0016118i,0.0031207+0.0022039i,0.0011551+0.0014348i,0.0042363+0.00061821i,-0.00060685+0.0036759i,0.00063617+0.0056884i,-0.0060457+0.0036231i,-0.0036485+0.010852i,0.00018397+0.0012824i,0.00035907-0.0025858i,-9.2417e-05-0.0010515i,-0.0018977-0.0025397i,0.00031065-0.0029942i,0.00056088-0.0020676i,-0.011561+0.0023485i,-7.4487e-05-0.00044482i,0.00010795+0.0012003i,-0.00074468+0.00037149i,-0.0003893+0.0014436i,-0.0015368+0.00012818i,-0.00022231-0.0013645i,-6.5758e-06+0.0017299i,0.00016127-0.00057119i,-0.00054129-0.0011568i,0.0005506-6.6068e-05i,0.00074347+0.0022565i,-0.00041619-0.0077661i,-0.00033027+0.0012798i,-0.00030625-0.00046436i,0.0019576-0.00059295i,0.0046772-0.00025171i,-0.00053587-0.0016602i,-0.0011347+0.000482i,-0.0036108+0.0016679i,0.0044664+9.8309e-05i,-0.0055094+0.0038752i,-0.03884-0.056423i,-0.037053+0.040377i,-0.048296-0.0094455i,-0.085717-0.009353i,-0.042811+0.008162i,-0.049103+0.035777i,-0.043624+0.031769i,-0.046542-0.028837i,-0.025341-0.039664i,-0.038601+0.014606i,-0.0074095+0.0029947i,-0.0019854+0.027207i,0.0092836-0.0030257i,0.0029517-0.0061861i,-0.019906-0.0034131i,0.0049422-0.00015875i,-0.0040994+0.008094i,0.0091785-0.0014037i,0.0083722+0.0055139i,-0.0026871+0.0033102i,0.0032706-0.0031037i,0.0049566-0.0064467i,0.0077527+0.0040568i,0.0015711-0.00013469i,-0.009207+0.0013581i,-0.0016547-0.0035719i,0.006804+0.0011659i,0.0023709+0.0098761i,0.0017831+0.0020964i,-0.0095148-0.022345i,0.011888-0.0011892i,0.0037212-0.0012606i,0.0029581+0.001626i,0.00089513-0.00052659i,0.0059455-0.010966i,-5.5943e-05+0.0027144i,-0.0067187+0.0025114i,-0.0011255+0.0046555i,0.0052252-0.0020236i,0.0071929-0.0060523i,-0.0021601-0.0052481i,0.0083218-0.0045365i,-0.00035146+0.0055917i,0.0099518-0.0068179i,-0.053054-0.0079569i,-0.021755-0.01557i,-0.0018124-0.0078082i,0.0035207-0.0058206i,-0.015486+0.029926i,-0.0073193+0.0043658i,-0.01065-0.00060499i
-0.00094648+0.011783i,0.0058826+0.040182i,0.016414+0.013506i,0.0078139+0.020409i,0.012667+0.0094192i,0.015268+0.011885i,-0.0098167+0.028382i,-0.0014678+0.030812i,0.0033068+0.0056146i,1.0524e-05+0.0019828i,0.003339+0.001107i,0.001962+0.0024827i,0.0038735-0.00042608i,0.0010568+0.0044892i,0.002212+0.0054546i,-0.003538+0.0070155i,0.0014251+0.011303i,0.00058375+0.00091385i,-2.1811e-05-0.0022876i,-0.00063335-0.0011597i,-0.0026417-0.0018001i,-0.0004422-0.0028877i,-0.00027961-0.0023469i,-0.0090837+0.0052224i,-0.00049757-0.00073405i,0.00018061+0.00034365i,-0.0008012+0.00033207i,9.602e-05+0.00084093i,-0.0012308+0.00091659i,-0.00041261-0.00086095i,0.00051301+0.0014825i,0.00011253-0.00081139i,-0.00092349-0.00052769i,0.0002668-0.00015175i,0.0011278+0.0015606i,-0.0031754-0.0087578i,-2.36e-05+0.0012153i,-0.00035989+0.00027138i,0.00066691-0.0008418i,0.0040293-0.00094906i,-0.00089564-0.0015864i,-0.00089134+0.00042075i,-0.0023211+0.0029837i,0.0029751+0.00052843i,-0.0050142+0.0047622i,-0.045991-0.039808i,-0.027013+0.038193i,-0.05281-0.00081142i,-0.087238+0.0076609i,-0.038431+0.0091798i,-0.038349+0.036609i,-0.034225+0.030811i,-0.048577-0.025281i,-0.028076-0.035619i,-0.032251+0.024556i,-0.006889+0.0046427i,0.0099981+0.023848i,0.0067228-0.0054414i,-0.0013082-0.0052529i,-0.021369+0.0054919i,0.0037319+0.00013556i,-2.5229e-05+0.009052i,0.0041877-0.0035458i,0.01057+0.0026077i,-0.00091985+0.0050246i,0.0010473-0.0015847i,0.0022288-0.0088212i,0.0038994+0.0025619i,-0.00051676+0.0011133i,-0.0088672+0.0070519i,-0.0027709-0.0013281i,0.0067837-0.001342i,0.0067289+0.0056055i,0.0026932+0.00095706i,-0.01232-0.019669i,0.0099384-0.0056865i,0.0026209-0.0023153i,0.0051149+0.00068608i,0.0005731-0.00037418i,0.0031401-0.0097177i,0.0020953+0.0017754i,-0.0041502+0.0058584i,0.0021919+0.0045668i,0.0047296-0.0020817i,0.0033394-0.011016i,-0.0028747-0.0035345i,0.0040493-0.0078708i,0.00013081+0.0042316i,0.00517-0.010393i,-0.046803-0.0017122i,-0.032554-0.0077368i,-0.0053756-0.010182i,0.00055612-0.01044i,-0.008606+0.029415i,-0.010183+0.0072496i,-0.012323+0.0019818i
0.00047078+0.010762i,0.011471+0.038026i,0.015567+0.010819i,0.01117+0.016695i,0.01282+0.0046932i,0.01643+0.0085535i,-0.0040789+0.027984i,0.0015666+0.028891i,0.004074+0.0036973i,0.00065592+0.001435i,0.0027012+0.00013654i,0.0030236+0.0025553i,0.0032399-0.0011934i,0.0027577+0.0035757i,0.0034741+0.0046162i,-0.00013505+0.0085441i,0.0060492+0.009483i,0.00085276+0.00070474i,-0.00068777-0.0024322i,-0.0011904-0.00098627i,-0.0027157-0.00052452i,-0.00089728-0.0026667i,-0.00096769-0.002018i,-0.0070967+0.0059482i,-0.00099103-0.00037918i,-0.00018526+8.9431e-05i,-0.00092541+0.00045236i,0.00033087+0.00021909i,-0.00044008+0.0011786i,-0.00042828-0.00065738i,0.0010386+0.0012629i,-0.00042691-0.00099488i,-0.00096503-2.4118e-05i,-1.8654e-05-0.00024768i,0.0013486+0.0014491i,-0.0062434-0.0083553i,0.00014149+0.0008749i,0.00015316+0.00040426i,9.4872e-05-0.00075397i,0.0034611-0.0016059i,-0.0012265-0.0010275i,-0.00087668+0.00042135i,-0.00071287+0.003301i,0.003188+0.0013797i,-0.0037921+0.0056506i,-0.044659-0.027932i,-0.020294+0.035763i,-0.053787+0.012012i,-0.082613+0.027945i,-0.039305+0.010078i,-0.030089+0.035222i,-0.026655+0.029223i,-0.050117-0.019731i,-0.031723-0.032072i,-0.022937+0.030206i,-0.0062765+0.0065268i,0.016671+0.011208i,0.0048202-0.0075758i,-0.0044231-0.0020933i,-0.017747+0.014543i,0.0035442-0.00058199i,0.0043052+0.0065607i,0.0013819-0.0015921i,0.011661-0.0023149i,0.0011209+0.0059961i,0.00067901-0.00016273i,-0.0029398-0.010301i,0.0024561+0.0045423i,-0.00032938+0.0034336i,-0.0034133+0.012246i,-0.0015885+0.00073122i,0.0056832-0.0029641i,0.0079551+0.0016292i,0.0034366-0.00089794i,-0.018322-0.018201i,0.0061534-0.0081714i,0.00098357-0.0027886i,0.004268-0.0016396i,0.00070033+0.00083449i,0.0022885-0.0079785i,0.0026476+0.00015949i,-0.00051772+0.0067647i,0.0038177+0.0020724i,0.003717-0.0029973i,-0.0033277-0.01085i,-0.0032459-0.0033966i,1.4084e-05-0.0076715i,0.00077901+0.0030775i,-0.0010858-0.010322i,-0.043829+0.0024806i,-0.030732+0.0069333i,-0.0093368-0.010163i,-0.0043436-0.01191i,-0.003993+0.028277i,-0.0086999+0.012021i,-0.0096503+0.0039233i
0.0016861+0.0097404i,0.017094+0.035697i,0.015795+0.0088359i,0.012878+0.012589i,0.011449+0.0013746i,0.01734+0.0051083i,0.00082802+0.026468i,0.0042725+0.027725i,0.0042032+0.0021071i,0.00078801+0.0011352i,0.0021334+0.00029011i,0.0045352+0.0023765i,0.0024354-0.0016607i,0.0035284+0.0019273i,0.0042026+0.0035922i,0.0031333+0.008351i,0.0091176+0.0060487i,0.0011745+0.00047125i,-0.0012731-0.0022501i,-0.0015601-0.00041898i,-0.0021696+0.0004497i,-0.0015029-0.0024786i,-0.001389-0.0015498i,-0.0060717+0.0075404i,-0.00095976+4.6767e-05i,-0.00048522+0.00032434i,-0.00095126+0.00088584i,-0.0001127-0.00024498i,-6.4833e-05+0.00079036i,-0.00050437-0.00062297i,0.0015239+0.00075662i,-0.00052332-0.00041897i,-0.00049068+0.00015454i,-0.000159-0.00013685i,0.0018776+0.00049716i,-0.0092374-0.0070087i,0.00033013+0.00077279i,0.00018819-6.1024e-05i,-0.00044187-0.000649i,0.0027642-0.0022681i,-0.0011616-0.0005412i,-0.00056062+0.00056715i,0.0002304+0.0024836i,0.0037677+0.00077389i,-0.0019982+0.0055912i,-0.043582-0.023399i,-0.01531+0.034478i,-0.048237+0.023828i,-0.07131+0.045114i,-0.039577+0.015813i,-0.023646+0.034617i,-0.021763+0.026607i,-0.050745-0.015021i,-0.033871-0.026585i,-0.014649+0.032357i,-0.0036562+0.0070241i,0.011991-0.00064458i,0.001417-0.010289i,-0.0048119+0.0010761i,-0.011163+0.018864i,0.0020408-0.0016027i,0.005685+0.0025702i,0.0021033-0.0002875i,0.0097183-0.0056409i,0.0047449+0.0058507i,0.001078+0.0016327i,-0.0080756-0.0050397i,0.004048+0.0058423i,0.0011183+0.0049546i,0.0030471+0.012376i,-0.00081831+0.0010861i,0.004569-0.0043279i,0.0081757-0.0037621i,0.0012204-0.0019775i,-0.025143-0.011578i,0.0028894-0.0086161i,-0.00026032-0.0017712i,0.0043372-0.00095572i,0.0015609+0.00076657i,0.002617-0.0089716i,0.0021231-0.001369i,0.0020884+0.0050797i,0.0035731+0.0010677i,0.0036263-0.0024262i,-0.006924-0.0067519i,-0.0047425-0.0026737i,-0.0033355-0.0060731i,0.00054787+0.0018214i,-0.0047407-0.0072431i,-0.040172+0.007232i,-0.025114+0.0094252i,-0.0094556-0.00883i,-0.00812-0.010901i,0.0013425+0.025169i,-0.0063667+0.013019i,-0.0084963+0.0037691i
0.0027058+0.0085916i,0.02272+0.03259i,0.016787+0.0070625i,0.013379+0.0092196i,0.0095646-0.00069451i,0.017478+0.0017281i,0.0051768+0.024183i,0.0073421+0.026887i,0.0040655+0.00021179i,0.00093363+0.00089789i,0.0024817+0.00052637i,0.0060558+0.00049686i,0.0016202-0.0017226i,0.0029409+0.00092806i,0.0048133+0.0026906i,0.0058231+0.0064743i,0.01019+0.0024424i,0.0014955-0.00022513i,-0.0017935-0.0019417i,-0.0014501+0.00048763i,-0.001393+0.0010037i,-0.001972-0.0017628i,-0.0015339-0.0011299i,-0.0031753+0.0089617i,-0.00087906+0.00034092i,-0.00028176+0.00066715i,-0.00072144+0.0013903i,-0.00080871-2.3933e-06i,5.7608e-06+0.00064044i,-0.00059958-0.00052584i,0.0015707+5.8736e-05i,-0.0001763-0.00052033i,-0.00059616+0.00012086i,-0.00025469-1.0921e-05i,0.0015819-0.00023307i,-0.011769-0.0038978i,0.00040177+0.0007176i,-8.1005e-05-9.1909e-05i,-0.0009881-0.00033422i,0.0021192-0.0025435i,-0.00089464-0.00038339i,-0.00024828+0.00053294i,0.00041199+0.0019198i,0.0038209+0.00018234i,-0.00069659+0.0044054i,-0.046345-0.019758i,-0.011001+0.032794i,-0.041002+0.032224i,-0.055411+0.055906i,-0.038414+0.021559i,-0.016943+0.03302i,-0.018181+0.025522i,-0.051745-0.010224i,-0.034815-0.020722i,-0.0071819+0.033243i,-0.0019987+0.0066122i,0.0053226-0.0027061i,-0.0030359-0.01106i,-0.0033728+0.004423i,-0.0043307+0.019208i,-2.8124e-05-0.0020215i,0.0047992-0.0011018i,0.0016886-0.00016928i,0.0069125-0.0090249i,0.0076315+0.0032913i,0.0026997+0.0020154i,-0.0083076-0.00092165i,0.0063571+0.0061214i,0.00357+0.0057438i,0.009161+0.0098909i,-0.00029339+0.0015831i,0.0037763-0.0051865i,0.0053417-0.0077874i,0.00030927-0.00032563i,-0.028784-0.0018355i,0.00073125-0.0083181i,-0.00039006-0.00051681i,0.0047545-0.001229i,0.002077+0.00039872i,0.0011073-0.011542i,0.00058556-0.0017999i,0.0035881+0.0038451i,0.0040537-9.2601e-05i,0.004439-0.0033882i,-0.0082714-0.0037511i,-0.0064059+3.6433e-05i,-0.0062955-0.0038938i,0.00058748+0.00048079i,-0.0060273-0.0040183i,-0.036153+0.01053i,-0.023263+0.011336i,-0.0091927-0.010382i,-0.010821-0.0092825i,0.0021962+0.022486i,-0.0056761+0.013285i,-0.0070162+0.003827i
0.0037259+0.0076653i,0.028727+0.028039i,0.018646+0.0045602i,0.013461+0.0066078i,0.0082609-0.001265i,0.017162-0.0014608i,0.008654+0.020863i,0.011319+0.025485i,0.0032669-0.0014586i,0.00093026+0.00069416i,0.0028468-0.00012232i,0.0055666-0.0024122i,0.0010933-0.0015206i,0.0027829+0.00043557i,0.0053992+0.0015055i,0.0068012+0.0038809i,0.0097039-0.0010844i,0.00097384-0.00094228i,-0.0024514-0.0013341i,-0.00074792+0.00094732i,-0.00046376+0.00096043i,-0.0020739-0.0013017i,-0.0017208-0.00073546i,8.6621e-06+0.0089058i,-0.00072549+0.00056905i,-6.8689e-06+0.00067004i,-8.5965e-05+0.0016112i,-0.00089704+0.00065738i,0.00018529+0.00032758i,-0.00065796-0.00043846i,0.0013188-0.00053487i,-0.00062913-0.00057964i,-0.00057128+0.00036122i,-0.00034502+0.00011024i,0.0011025-0.00064984i,-0.012413+0.00034211i,0.00043335+0.00060667i,-9.9948e-05-3.2321e-05i,-0.0012969+0.00023048i,0.0013674-0.002756i,-0.00093233-0.00032462i,-1.4774e-05+0.00030822i,0.0004673+0.0016331i,0.0038851-0.0004179i,-0.00036166+0.0033366i,-0.051288-0.012696i,-0.006903+0.030967i,-0.031002+0.037469i,-0.040444+0.062175i,-0.035944+0.029608i,-0.010798+0.029645i,-0.012364+0.023928i,-0.052075-0.0037812i,-0.033469-0.014805i,-9.2005e-05+0.033317i,-0.0013165+0.0059677i,0.0013195-0.0034776i,-0.0081937-0.010044i,0.00045029+0.0054065i,0.00010137+0.018026i,-0.0025075-0.0011289i,0.0028832-0.004123i,0.0027549+0.001596i,0.0020285-0.010775i,0.0087259-0.0011593i,0.0040427+0.0012606i,-0.0083339+0.0033558i,0.0097978+0.0050227i,0.0072808+0.0041774i,0.012986+0.0039302i,0.0006909+0.0021105i,0.0022948-0.006274i,-0.00079254-0.0088953i,0.0016283+0.00093468i,-0.02864+0.0090676i,-0.0012201-0.0080281i,0.00041209+0.00070596i,0.0053766-0.0044388i,0.0027804+7.5197e-05i,-0.0040603-0.013123i,-0.00064119-0.0011787i,0.004492+0.0020723i,0.0035217-0.0009802i,0.0036857-0.0049418i,-0.0083279+0.00058372i,-0.0056554+0.003516i,-0.0078974-0.00061922i,-0.0010012-0.00095507i,-0.0061516-0.0017709i,-0.03329+0.012451i,-0.021255+0.016744i,-0.011896-0.013932i,-0.010705-0.0071339i,0.0041058+0.021591i,-0.005825+0.015554i,-0.0049857+0.0021556i
0.0047184+0.006368i,0.033443+0.021746i,0.019971+0.00028267i,0.013494+0.0042078i,0.0078758-0.001542i,0.01655-0.0043445i,0.010861+0.017307i,0.014951+0.022927i,0.0019068-0.002503i,0.00088842+0.00062998i,0.0026101-0.00076718i,0.0034623-0.0039463i,0.00072573-0.0014008i,0.0024515+4.174e-05i,0.0054699+9.7295e-05i,0.0064242+0.0019084i,0.0081646-0.0036546i,0.00050119-0.0010378i,-0.0024443-0.00043905i,-6.9865e-05+0.00092578i,0.00031577+0.00046196i,-0.0020817-0.00091222i,-0.0016568-0.00032763i,0.0027081+0.0083465i,-0.00037821+0.00063377i,0.00014857+0.00067107i,0.00054931+0.0013172i,-0.00052756+0.0010878i,7.6468e-05-6.467e-05i,-0.00087159-0.00029309i,0.00092491-0.00090148i,-0.0010135-9.7158e-05i,-0.00037222+0.00065755i,-0.00030661+0.00033675i,0.00057703-0.0010476i,-0.011293+0.0039126i,0.00050264+0.00032468i,-0.00017603-0.00013718i,-0.0011837+0.0009249i,0.00055758-0.0030547i,-0.00092003+4.9872e-06i,-3.392e-06-7.6828e-05i,0.0005987+0.0016293i,0.0039552-0.0011805i,-0.00018416+0.002769i,-0.053216-0.0014646i,-0.0046648+0.029251i,-0.022356+0.039341i,-0.024032+0.066313i,-0.029175+0.038507i,-0.0072758+0.024703i,-0.0087029+0.018984i,-0.049127+0.0026502i,-0.030298-0.0091267i,0.0089073+0.030854i,-0.00092763+0.0060268i,-0.0037222-0.002238i,-0.011889-0.006663i,0.0032737+0.0033418i,0.0041785+0.01674i,-0.005301+0.0012562i,-0.00076011-0.0063916i,0.0050663+0.00040435i,-0.0030004-0.0095784i,0.0064235-0.0045916i,0.0050435-0.00053802i,-0.006821+0.0069738i,0.012669+0.00024777i,0.0086041-0.00062164i,0.012375-0.004068i,0.0021642+0.0017311i,0.00014852-0.0065278i,-0.0044645-0.0052462i,0.003025-0.0002866i,-0.023316+0.021703i,-0.0032934-0.0067084i,0.0019545+0.00084849i,0.0022883-0.0064792i,0.0030918-0.0007867i,-0.0097395-0.010501i,-0.00028821+0.00062205i,0.0048002+3.1855e-05i,0.0025034-0.0016189i,0.0024179-0.0055095i,-0.0062702+0.0044111i,-0.0031415+0.0053061i,-0.0075165+0.0037234i,-0.0034992-0.00039379i,-0.0057544-0.00054622i,-0.029744+0.016652i,-0.012341+0.020456i,-0.017775-0.014677i,-0.0098624-0.0069288i,0.0054757+0.020728i,-0.0033081+0.018807i,-0.0049068-0.0012189i
