-0.023415-0.038358i,-0.012096-0.049953i,-0.018544-0.044335i,-0.030889-0.034961i,-0.030163-0.015848i,-0.050367-0.026655i,-0.057514-0.02557i,-0.044792-0.036861i,-0.03047-0.031155i,0.0078778+0.011672i,-0.005239+0.015198i,-0.004514+0.014303i,0.01061+0.020637i,0.00085754+0.0043195i,0.0031076+0.0035131i,0.0061184+0.018309i,0.020555+0.037797i,-0.0026802-0.0011479i,-0.0046215-0.0058188i,0.0081032+0.003131i,-0.00028526-0.00069004i,-0.0012721+0.002277i,3.0866e-05-0.00032348i,-0.028984-0.0026434i,-0.0022012-0.0058351i,0.0013479+0.004393i,0.0030875-0.00030137i,-0.00030583+0.00070708i,0.00061592-0.00023867i,-0.0010703-0.0026794i,-0.0018822-0.0058676i,-0.0045-0.0047216i,-0.0026952-0.0042939i,0.0022548-0.00048197i,0.0017204-0.0030139i,-0.0012651+0.026203i,0.0011223-0.0031721i,0.0029786+0.00072087i,0.0054116+0.0013042i,-0.0086969-0.0028252i,-0.0039757+0.00028969i,0.0048422+1.2934e-05i,0.0072103-0.00024748i,-0.0033696+0.0048077i,0.0011684-0.0098103i,-0.011564+0.017669i,0.035757-0.090751i,0.01188-0.070212i,-0.016133-0.059763i,-0.016382-0.055269i,0.038787-0.045602i,0.017638-0.062296i,0.033274-0.055051i,0.029856-0.060198i,0.01599-0.013686i,0.0047841+0.016621i,0.016448-0.025822i,-0.010935+0.0054634i,-0.00032131+0.0057959i,-0.0048741-0.0012049i,-0.0020357-0.029585i,-0.02428+0.031806i,0.010659-0.011557i,-0.01337-0.0025594i,-0.00018631-0.005033i,-0.0012987-0.016766i,-0.0070823+0.0049951i,0.0053815+0.0063532i,-0.0082374+0.029978i,0.0046958+0.0057177i,-0.0052066-0.00091389i,-0.003082-0.00060533i,-0.011544-0.0080506i,-0.0013269-0.0047429i,-0.026079+0.0048587i,0.0002102-0.0096942i,-0.0097071-0.001852i,-0.0063531-0.003183i,0.0070413+0.0027665i,-0.0078935+0.0011348i,-0.00021701+0.00043647i,0.0063345+0.011263i,0.0038972+0.0014674i,-0.009292-0.010118i,0.0031736+0.0078781i,-0.021942+0.0043879i,0.0082745+0.00035351i,-0.02911-0.003657i,-0.042445+0.0022935i,0.020534-0.099954i,-0.0018144-0.012184i,-0.052513-0.021525i,-0.02228-0.001402i,0.017788+0.010548i,-0.02533+0.013389i,-0.018299-0.014025i
-0.031977+0.01864i,-0.051414+0.020747i,-0.030804+0.045884i,-0.029877+0.024697i,-0.026903+0.039638i,0.0062916+0.045673i,-0.0022218+0.023009i,-0.015503+0.038972i,-0.012148+0.0217i,-0.0039092-0.0041124i,-0.0040629-0.0033347i,-0.0018296-0.0033954i,-0.0038888-0.00061344i,-0.0067829-0.0042907i,-0.0017737+0.0042704i,-0.0029455-0.0010932i,-0.011123-0.0056432i,-0.0012953-0.00085597i,0.0029926-0.0013239i,0.0021556-0.00076484i,0.0024001-0.0035286i,0.0025664-0.0038138i,0.0013925-0.0025619i,-0.0087363-0.0082703i,-0.0016809+0.00098916i,-0.003515+0.0011542i,-0.0019263-0.00011657i,-0.0036084-0.0010082i,-0.0010733-0.0013074i,0.0012738-0.001732i,-0.0029457+0.0066529i,0.0015312-3.6124e-05i,0.0026892-3.5017e-05i,0.0010759+0.0016349i,-0.0011847+0.0029841i,-0.0011346-0.0061889i,-0.0029032-0.00032443i,0.00020504-0.00019425i,-0.00072766+0.0042423i,0.0063428+0.0044401i,0.0011669-0.0030776i,0.0013956-0.0050548i,-0.0030241+0.0015867i,-2.9667e-05+0.0032743i,-0.031251-0.0041322i,0.010844-0.078273i,-0.092992-0.029741i,-0.051702-0.035333i,-0.075199-0.050222i,-0.058224-0.0055934i,-0.093822+0.018612i,-0.058706+0.011215i,-0.049258-0.024585i,-0.032575-0.057421i,-0.023931-0.029088i,0.0030189+0.0050899i,-0.018501+0.010427i,0.009301+0.0037772i,0.011005+0.0046955i,-0.00018101-0.0067598i,0.00791+0.0009425i,-0.0077339-0.003912i,0.0034337+0.014668i,-0.0011294+0.0079403i,0.00086309+0.0014629i,0.0062637+0.0033045i,0.0018523-0.00051106i,-0.00080469+0.014628i,4.6124e-05+0.012506i,0.0033857-0.0048213i,0.010069-0.0073875i,0.0024015+0.0025388i,-0.0073754-0.0064801i,-0.0023121-0.0032029i,0.017404-0.026907i,0.0064303+0.0037987i,0.0036292+0.0042393i,-0.0035106+0.002623i,0.0019849-0.0032108i,0.021283+0.0025157i,0.0020635-0.0026613i,-0.00091129-0.0090407i,0.00054592-0.0027186i,0.013554+0.0030437i,0.0044137+0.00049968i,0.0041665-0.0066139i,0.0024593+0.0087854i,0.0047163-0.00096738i,0.024958+0.0049375i,-0.080471-0.036683i,-0.0050657+0.019503i,0.006514-0.003392i,-0.0040604+0.0033027i,-0.03653+0.012237i,-0.0071328+0.0064286i,-0.017441+0.013026i
-0.027513+0.022618i,-0.047351+0.025445i,-0.019741+0.044244i,-0.025978+0.028595i,-0.020389+0.040737i,0.014785+0.042801i,0.00086029+0.022588i,-0.0077139+0.039934i,-0.0077631+0.018769i,-0.0049386-0.0017069i,-0.0046037-0.00092743i,-0.002772-0.0035319i,-0.0045996-0.00017494i,-0.0068993-0.0014168i,-0.00047357+0.0051086i,-0.0049277+0.0008975i,-0.014166-0.00028179i,-0.0012293+0.00018517i,0.0033547-0.0019803i,0.0020981-0.0016489i,0.0013214-0.0039917i,0.0016757-0.003905i,0.00085618-0.0026732i,-0.0099304-0.0052632i,-0.00099793+0.001082i,-0.0034404+0.002186i,-0.0014141+0.0005201i,-0.0034423+0.00012643i,-0.0015759-0.0010028i,0.00072319-0.0018206i,-9.33e-05+0.007674i,0.0011067-0.00032589i,0.0019537-0.0009526i,0.0010648+0.0013691i,-0.0010161+0.0024838i,-0.0012304-0.0055625i,-0.00052534+0.00039487i,-0.00065117-0.00035362i,8.9794e-05+0.0054175i,0.0066197+0.00107i,5.377e-05-0.0031915i,-0.00046595-0.0065806i,-0.0028942+0.0026195i,0.00058838+0.0034302i,-0.03161-0.0039076i,-0.013409-0.088997i,-0.089936-0.010955i,-0.06081-0.033673i,-0.087426-0.038518i,-0.057314+0.004646i,-0.083519+0.036674i,-0.054365+0.023593i,-0.041105-0.022491i,-0.039937-0.052624i,-0.03144-0.018165i,0.0041815+0.0018999i,-0.012272+0.019581i,0.0091391-0.00054783i,0.012224-0.0015353i,-0.0055468-0.010617i,0.00372+0.00098071i,-0.0080338+0.0019107i,0.0087989+0.011795i,0.00088426+0.010453i,0.00099435+0.0011586i,0.0076113+0.0030687i,0.0026607+0.00034168i,0.0053413+0.010793i,0.0062734+0.0075229i,-0.0017221-0.0067672i,0.0029165-0.0079168i,0.0034095+0.0029931i,-0.0098555+0.00045419i,-0.0029112-0.00035899i,0.0050725-0.028i,0.007246+0.0028716i,0.0078084+0.0025431i,-0.0013374+0.0026707i,-0.00063632-0.00086415i,0.018384-0.0069687i,0.0002021-0.0033371i,-0.0049451-0.0072189i,-0.0027981-0.0017753i,0.011699-0.0016175i,0.0039937+0.0010463i,0.0015209-0.0046814i,0.0052817+0.0078965i,0.0032532-0.0017269i,0.024482-0.0030631i,-0.084898-0.027034i,0.0029153+0.0088207i,0.005248-0.0060842i,-0.0020764+0.0024656i,-0.029312+0.021413i,-0.0053778+0.0076671i,-0.013795+0.015048i
-0.02221+0.025157i,-0.044135+0.030384i,-0.013118+0.039996i,-0.021516+0.031007i,-0.013072+0.042508i,0.022065+0.037766i,0.0043127+0.02209i,-4.0654e-05+0.039258i,-0.0072795+0.016333i,-0.0048829+0.00070147i,-0.0035552+0.00099434i,-0.0059892-0.0029863i,-0.0048947+0.0017785i,-0.0068344+0.00057644i,0.0014309+0.0054433i,-0.0055934+0.0042753i,-0.013687+0.0068934i,0.00013224+0.00082708i,0.0032765-0.003666i,0.0018671-0.0029349i,5.2178e-05-0.0043229i,0.00064848-0.0047481i,0.00040787-0.002801i,-0.011062-0.0026083i,-0.00085417+0.0012827i,-0.002258+0.0041508i,-0.0010053+0.00031651i,-0.002656+0.0016452i,-0.0020097-0.0005838i,-0.00029047-0.002602i,0.0030005+0.0069762i,0.00069413-0.00042943i,0.001505-0.0011931i,0.0015292+0.00076148i,-0.00019682+0.0032825i,-0.0012283-0.0052997i,-0.0007716+0.00029769i,-0.00099487-7.1716e-05i,0.0041652+0.0033264i,0.005321-0.00093645i,-0.00076113-0.0026745i,0.0017269-0.0043012i,-0.002244+0.003569i,0.001447+0.0022954i,-0.033785-0.0014239i,-0.042848-0.087626i,-0.079951+0.0023026i,-0.070566-0.026278i,-0.094992-0.0233i,-0.052557+0.013011i,-0.068184+0.048575i,-0.040058+0.033983i,-0.042838-0.024924i,-0.046594-0.048851i,-0.032329-0.005644i,0.0042744-0.0013477i,-0.0021586+0.021579i,0.0083631-0.0033609i,0.0081535-0.0071117i,-0.015137-0.0093797i,0.0027893+0.00017708i,-0.0043412+0.0059926i,0.011302+0.0062606i,0.0037556+0.011008i,7.3212e-05+0.0017104i,0.0080181-0.0008103i,0.0046274-0.0015901i,0.0067834+0.0059386i,0.0056482+0.0023163i,-0.0069882-0.0027574i,0.00073773-0.0060167i,0.0053634+0.0018637i,-0.0057803+0.0089765i,-0.001127+0.0014009i,-0.0032163-0.026832i,0.0089526-0.00021746i,0.0072098-0.00098323i,0.00071379+0.0013976i,0.00060759+0.0010399i,0.011694-0.01185i,-0.002354-0.00058966i,-0.0080965-0.0037613i,-0.0036226+0.0012497i,0.0083414-0.0043854i,0.0072549-0.00078473i,0.0024985-0.0044674i,0.0095224+0.0050274i,0.0042139-0.0027692i,0.021361-0.01048i,-0.088344-0.013264i,0.00033746-0.001277i,0.0069539-0.0081939i,-0.00039215+4.4525e-05i,-0.020234+0.026124i,-0.0042926+0.0033532i,0.0010782+0.01459i
-0.016817+0.025643i,-0.039592+0.036262i,-0.0096967+0.03667i,-0.016583+0.03372i,-0.0047066+0.041568i,0.02806+0.031511i,0.0083259+0.021081i,0.0068684+0.036315i,-0.0071167+0.016585i,-0.0038807+0.0025635i,-0.0027816+0.0011656i,-0.0078413+0.00076213i,-0.0043511+0.0035015i,-0.0067885+0.0029749i,0.0030548+0.0048085i,-0.0040211+0.0077422i,-0.0089211+0.012778i,0.0010217+2.1779e-05i,0.0016157-0.0046459i,0.00023953-0.0041122i,-0.0013675-0.0041021i,-0.00081243-0.0047606i,-0.00014573-0.0032387i,-0.010955+0.0011804i,-0.00031258+0.00094523i,-5.2792e-05+0.0035111i,-0.0010069+0.00017857i,-0.0013731+0.0020062i,-0.0021584+0.00029152i,-0.0017691-0.0020019i,0.0049739+0.0065607i,0.00032448-0.00037945i,0.0008012-0.0017517i,0.0015062+0.00019644i,0.0015173+0.0028748i,-0.0018953-0.0066339i,-0.00075095+0.00078324i,-0.0012483+0.00051353i,0.0035556-0.0010306i,0.0040923-0.001925i,-0.00096588-0.002304i,0.0010684-0.0016344i,-0.012407+0.0082406i,-0.00036352-0.00027025i,-0.035623+0.0025825i,-0.067446-0.071143i,-0.070003+0.0076326i,-0.077967-0.014795i,-0.099287-0.0063923i,-0.046584+0.018456i,-0.053797+0.054201i,-0.025589+0.033101i,-0.046701-0.02022i,-0.053376-0.041502i,-0.030764+0.0021181i,0.00228-0.0036839i,0.0058594+0.019562i,0.0068175-0.0060138i,0.002418-0.0087653i,-0.023472+0.0069814i,-0.00021228+0.00084597i,-0.00034357+0.0060631i,0.010534+0.00069856i,0.0081349+0.011163i,0.00051274+0.0030419i,0.0049282-0.0025093i,0.0042176-0.005173i,0.0054882+0.0017859i,0.0029847+0.00064527i,-0.0067931+0.001057i,-0.0011909-0.0049629i,0.0057544-0.0002629i,0.0052896+0.0097226i,-1.7555e-05+0.00093912i,-0.0062047-0.021717i,0.0079929-0.0032102i,0.0061006-0.0032527i,0.0017276+0.0027967i,0.0015083+0.00023767i,0.0065373-0.01227i,-0.000158+0.001619i,-0.0093404+0.00034738i,-0.0015072+0.0034912i,0.0052577-0.0045578i,0.0064659-0.0046048i,0.00041867-0.0051369i,0.0099204-0.00065826i,0.0026176-0.0053324i,0.016625-0.016889i,-0.0862+0.0021433i,-0.0062838-0.005702i,0.0027155-0.013123i,-0.00017204-0.0032951i,-0.01309+0.025571i,-0.0085786+0.0022267i,-0.0059293+0.012382i
-0.01281+0.025289i,-0.034686+0.041161i,-0.0082869+0.035117i,-0.010516+0.035454i,0.0021809+0.038501i,0.032074+0.024458i,0.012736+0.018759i,0.012478+0.032718i,-0.0056751+0.018068i,-0.0024647+0.0038182i,-0.0029465+0.0020898i,-0.00703+0.0044942i,-0.0033599+0.0048171i,-0.0052453+0.0056808i,0.0044398+0.0037538i,-0.0008519+0.0096783i,-0.0027931+0.01527i,0.0010345-0.00065667i,0.00039086-0.004574i,-0.0016989-0.0037831i,-0.0027892-0.0033691i,-0.0021377-0.0041605i,-0.0013751-0.0033126i,-0.0088106+0.0037993i,-0.00078213+0.00052264i,0.00017991+0.0019614i,-0.0011414+0.00030534i,-0.00058138+0.0018381i,-0.0016328+0.001234i,-0.0018674-0.00063207i,0.0070537+0.0029503i,0.00020855-0.00047485i,-0.00022005-0.0017312i,0.0012979-0.00033956i,0.0019801+0.0016357i,-0.0039535-0.0068097i,-0.00054936+0.0012648i,-0.00087626+0.0015203i,0.0010475-0.0011038i,0.0031038-0.0020223i,-0.0013468-0.0020708i,0.00022568-0.0020112i,-0.00196+0.0055656i,-0.0032517+0.0017543i,-0.036103+0.0083444i,-0.07732-0.047374i,-0.064324+0.0091745i,-0.08266-0.00097866i,-0.10016+0.012296i,-0.042213+0.021189i,-0.040029+0.056788i,-0.016002+0.029636i,-0.047707-0.015324i,-0.0573-0.03387i,-0.028989+0.010164i,0.00015874-0.0047924i,0.014229+0.014141i,0.0045944-0.0074766i,-0.0026196-0.0072847i,-0.017879+0.012089i,-0.00050521+0.0030899i,0.0023411+0.00593i,0.006531-0.0014201i,0.013378+0.0086664i,0.0017226+0.0034707i,0.0026813-0.0015884i,0.0016547-0.0078149i,0.002738+0.0012443i,0.0007474+0.0017302i,-0.0065189+0.0049213i,-0.0028379-0.0024581i,0.0050955-0.0024935i,0.0086613+0.0043652i,0.00052137+0.00076674i,-0.0083314-0.017467i,0.0061952-0.0055523i,0.0043387-0.0050026i,0.0044605+0.0024118i,0.0016585-0.00022364i,0.0030606-0.011577i,0.0018552+0.0012644i,-0.0071913+0.0057229i,0.001118+0.0036924i,0.0039223-0.0036399i,0.0031534-0.0081568i,-0.00015535-0.004533i,0.0067003-0.0047739i,-0.00059685-0.0063823i,0.0086945-0.022184i,-0.079816+0.012015i,-0.014837-0.002277i,-0.0016935-0.015859i,-0.0012572-0.0069424i,-0.0082278+0.025198i,-0.012186+0.0053845i,-0.0055382+0.011902i
-0.0096675+0.025087i,-0.02884+0.046117i,-0.0070369+0.036433i,-0.0042861+0.035041i,0.0064905+0.034347i,0.034847+0.017635i,0.016741+0.014898i,0.017084+0.028752i,-0.0030589+0.018608i,-0.0011653+0.0037135i,-0.0031041+0.0036801i,-0.0048943+0.0069605i,-0.001912+0.0062513i,-0.0027745+0.0067578i,0.005092+0.002208i,0.0025928+0.010086i,0.003548+0.014427i,0.00088036-0.00070536i,-0.0010827-0.0046962i,-0.0030488-0.0026827i,-0.0032779-0.0018114i,-0.0028961-0.0032279i,-0.0022651-0.0026045i,-0.0072491+0.0045502i,-0.00096467+0.0010666i,-0.00016864+0.0017773i,-0.0014032+0.00073121i,2.4243e-05+0.0013628i,-0.00077583+0.0017055i,-0.0015232+1.3823e-05i,0.0069028-0.00060875i,9.8574e-05-0.00056417i,-0.00076551-0.0012521i,0.00083578-0.00092976i,0.0020444+0.0012412i,-0.0064686-0.0066145i,-0.00021445+0.0012621i,-3.6396e-06+0.0019932i,0.00020254-0.0010736i,0.0025629-0.001816i,-0.0017739-0.0013612i,-0.00076861-0.0027724i,0.00087215+0.0052759i,-0.0036453+0.005318i,-0.034852+0.014975i,-0.075274-0.030041i,-0.061842+0.01177i,-0.082777+0.015801i,-0.093874+0.033346i,-0.040625+0.023941i,-0.028614+0.05578i,-0.0084781+0.025204i,-0.046841-0.0094858i,-0.061147-0.026417i,-0.023937+0.015415i,-0.0032609-0.0046253i,0.017453+0.002357i,0.0026833-0.009046i,-0.0058861-0.0034992i,-0.012222+0.018205i,0.0010416+0.0035046i,0.0060269+0.0035821i,0.0049652-3.0861e-05i,0.017601+0.0014102i,0.0028694+0.0035742i,0.0019043-0.00082024i,-0.0031547-0.0085537i,0.0013341+0.0030719i,0.00086317+0.0037266i,-0.0022382+0.0095636i,-0.001823+7.8013e-06i,0.003517-0.0033249i,0.0094335+0.00045442i,0.0013274-0.00012101i,-0.012753-0.016725i,0.003473-0.0065714i,0.001381-0.006051i,0.0041414+0.00013392i,0.0015455-0.00010455i,0.0013183-0.01002i,0.0024468-4.2956e-05i,-0.0027822+0.0083548i,0.0022775+0.0018928i,0.0028796-0.0039409i,-0.0022279-0.0089152i,-0.0011844-0.005512i,0.0031057-0.0051706i,-0.0026847-0.0063905i,-0.0012338-0.022787i,-0.076031+0.020496i,-0.01363+0.007902i,-0.0060684-0.016363i,-0.0046249-0.0084544i,-0.0049774+0.024514i,-0.011781+0.010839i,-0.0021369+0.011586i
-0.0063304+0.025246i,-0.021766+0.050672i,-0.0033699+0.038858i,0.00081334+0.033569i,0.008797+0.031709i,0.036467+0.010602i,0.019372+0.010174i,0.020843+0.024605i,-0.00015498+0.019042i,-0.00056605+0.0037665i,-0.0017634+0.0060161i,-0.00179+0.0085168i,6.5997e-05+0.0068635i,-0.00054054+0.0066155i,0.0051507+0.000742i,0.005807+0.0089804i,0.0086077+0.011466i,0.00099526-0.0006431i,-0.0024205-0.0041714i,-0.0036213-0.0010758i,-0.0029967-0.00060608i,-0.0035884-0.0023549i,-0.0027687-0.001675i,-0.006817+0.0062271i,-0.00077705+0.0015852i,-1.823e-05+0.0021443i,-0.0010993+0.0016072i,-0.00014632+0.00088429i,-0.00015164+0.001542i,-0.0012994+0.00035409i,0.0053104-0.0041842i,0.00014491-0.00032597i,-0.00075632-0.0010139i,0.00027817-0.0011357i,0.0024654+0.00013479i,-0.0092793-0.0047685i,0.00018583+0.0013004i,0.00063503+0.0016375i,-0.00072135-0.0011824i,0.0022575-0.0019251i,-0.0017463-0.00074384i,-0.0019571-0.0020268i,0.0023354+0.0039735i,-0.0017403+0.0072114i,-0.031033+0.020534i,-0.073637-0.022883i,-0.060723+0.016153i,-0.076342+0.030992i,-0.081897+0.050235i,-0.038161+0.029839i,-0.019251+0.054898i,-0.0041421+0.019865i,-0.045738-0.0053591i,-0.063804-0.017004i,-0.019628+0.019082i,-0.0042403-0.0042326i,0.011071-0.0080255i,-0.00051448-0.010825i,-0.0064863-8.7376e-05i,-0.0046577+0.019456i,0.0012262+0.0028174i,0.0075596-0.00095937i,0.0060876-0.00035248i,0.015452-0.0050983i,0.0048834+0.0029017i,0.0020548+0.00071371i,-0.0074638-0.0038194i,0.002828+0.004897i,0.0023757+0.0049405i,0.0041697+0.0095189i,-0.0010943+0.00016462i,0.0024671-0.0038468i,0.010986-0.0036134i,2.5566e-05-0.00082312i,-0.01919-0.012161i,0.0012297-0.0064437i,-0.00089593-0.0043541i,0.0049212+0.00042528i,0.0016307-0.00042599i,0.0006335-0.010948i,0.0019927-0.001292i,0.0012426+0.0070164i,0.0026394+0.0014369i,0.0023533-0.0031728i,-0.0056204-0.0056438i,-0.0046161-0.0054541i,5.8367e-05-0.0047709i,-0.0049379-0.005762i,-0.0088891-0.018785i,-0.070643+0.029406i,-0.0088076+0.0069364i,-0.0071124-0.015697i,-0.0075554-0.0079752i,-0.00059626+0.023305i,-0.010565+0.013144i,-0.001205+0.0094386i
-0.0030749+0.025015i,-0.013491+0.053992i,0.0024922+0.041281i,0.0050908+0.032072i,0.011043+0.030216i,0.0366+0.0037052i,0.020872+0.0051606i,0.024019+0.020089i,0.0034655+0.018808i,0.00029891+0.0039617i,0.0011805+0.0070049i,0.001625+0.0082306i,0.0020936+0.006717i,0.00089427+0.0063974i,0.0049819-0.00042342i,0.008392+0.0064924i,0.011487+0.0076886i,0.0011592-0.0014775i,-0.0034677-0.0033216i,-0.0032087+0.00069636i,-0.0025047+0.00024126i,-0.0038813-0.00086079i,-0.0029036-0.00085344i,-0.0042341+0.0083374i,-0.00018153+0.0020428i,0.0008778+0.0022449i,-0.00049641+0.0020732i,-0.00057503+0.00098302i,0.00033087+0.0014524i,-0.00098725+0.00076352i,0.0028484-0.0046928i,0.0004445-0.00064336i,-0.0011471-0.00086343i,-0.00026206-0.0011702i,0.001852-0.00081335i,-0.011069-0.0014779i,0.00047117+0.0012345i,0.0010414+0.0013746i,-0.0015025-0.00083826i,0.0021762-0.0020347i,-0.0014909-0.00034786i,-0.0020498-0.0011948i,0.0028098+0.0024759i,0.00033674+0.0082549i,-0.026766+0.023771i,-0.07824-0.01673i,-0.05947+0.021967i,-0.067875+0.042695i,-0.066227+0.061282i,-0.034229+0.035011i,-0.0098437+0.053044i,-0.0017491+0.016068i,-0.045332-0.0012954i,-0.063596-0.0059805i,-0.015549+0.021347i,-0.0058076-0.0031413i,0.0030824-0.00937i,-0.004673-0.010876i,-0.0052358+0.0038891i,0.0015266+0.016731i,0.00068123+0.0023653i,0.0061174-0.005638i,0.0052884-0.0017363i,0.011484-0.010425i,0.0064339+0.00075473i,0.0034938+0.0010115i,-0.0079011-0.00021416i,0.0051083+0.0054687i,0.004547+0.005345i,0.0080445+0.0059092i,-0.00084185+0.0010345i,0.002033-0.0040958i,0.0045916-0.0047013i,-0.00051584+0.000811i,-0.022209-0.0042106i,-0.00015556-0.0062614i,-0.0017301-0.0026674i,0.0054939-0.00082197i,0.0017048-0.00068448i,-0.0019379-0.012381i,0.00087122-0.0016884i,0.0043073+0.0061274i,0.0033713+0.00045439i,0.0030423-0.0033498i,-0.0072787-0.0026939i,-0.007273-0.0017437i,-0.0030273-0.00367i,-0.006326-0.0046189i,-0.012968-0.013258i,-0.064651+0.036296i,-0.0081635+0.0057451i,-0.0080443-0.017851i,-0.010037-0.0065045i,0.00089644+0.021635i,-0.01001+0.015056i,-0.00055817+0.0082134i
0.00064454+0.024699i,-0.0037521+0.05549i,0.010444+0.041567i,0.0090917+0.030568i,0.014447+0.029792i,0.0358-0.0026575i,0.020934-0.00032709i,0.026794+0.015218i,0.0068713+0.017256i,0.0010321+0.0038103i,0.0036692+0.0056855i,0.0038172+0.0062721i,0.0040039+0.0060682i,0.002708+0.0059785i,0.0046569-0.001585i,0.0092663+0.0033628i,0.012956+0.0034163i,-8.6816e-05-0.0022335i,-0.0045782-0.001816i,-0.0019651+0.0015536i,-0.0016083+0.00055568i,-0.0034004+0.00026243i,-0.002896+2.4777e-05i,-0.0011149+0.0085785i,0.0006068+0.0019978i,0.001634+0.0016749i,0.00036666+0.0020985i,-0.00029764+0.0014777i,0.00078819+0.0010135i,-0.00054168+0.00084415i,0.0010209-0.0047678i,-9.4704e-05-0.0010559i,-0.0014659-0.00027134i,-0.0007565-0.00099335i,0.0011981-0.0012633i,-0.010842+0.0024699i,0.00070903+0.0011089i,0.0014968+0.00087931i,-0.0020738+1.174e-05i,0.002007-0.0025298i,-0.0014174-0.00013582i,-0.0018391-0.0008513i,0.0024922+0.0014533i,0.0031987+0.0085012i,-0.022994+0.026849i,-0.086212-0.0034415i,-0.055241+0.027687i,-0.05679+0.051125i,-0.051074+0.068436i,-0.029267+0.041494i,-0.00054733+0.048842i,0.0028138+0.012479i,-0.044245+0.0038459i,-0.060431+0.0048294i,-0.011189+0.024789i,-0.0074397-0.0017076i,-0.0022147-0.0088783i,-0.0089794-0.0093903i,-0.0012372+0.005358i,0.0036155+0.01331i,-0.00048623+0.002552i,0.0030179-0.0086261i,0.0053692-0.0010285i,0.0049395-0.013622i,0.0065899-0.0026286i,0.004805+9.4468e-06i,-0.0077447+0.0040037i,0.0083374+0.0047201i,0.0081836+0.0034115i,0.0093716+0.0015236i,0.00042862+0.0018073i,0.0011929-0.0043873i,-0.00036714-0.0079398i,0.00091263+0.0022549i,-0.020131+0.0053311i,-0.0017906-0.0060559i,-0.0012905-0.00053863i,0.0055893-0.0042966i,0.0018618-0.00075763i,-0.0073176-0.012597i,-0.00013308-0.0013866i,0.0061175+0.0034421i,0.0034849-0.00034167i,0.0025568-0.0044053i,-0.006927+0.0021131i,-0.0067054+0.002389i,-0.0045701-0.001204i,-0.0081899-0.0037587i,-0.014676-0.008524i,-0.058859+0.042497i,-0.0087284+0.0089068i,-0.012279-0.021552i,-0.0097037-0.0044414i,0.0036677+0.021815i,-0.008967+0.018196i,0.00097333+0.0062598i
0.004531+0.023508i,0.0057977+0.054441i,0.018283+0.038943i,0.013214+0.028661i,0.019062+0.028674i,0.034278-0.0085747i,0.019451-0.0053937i,0.028324+0.009727i,0.0095619+0.015102i,0.0016193+0.0037692i,0.0046308+0.0040839i,0.0044499+0.0043879i,0.0055868+0.0046471i,0.0041607+0.00475i,0.0039072-0.0026117i,0.0087958+0.00068178i,0.012865-0.00086112i,-0.0010277-0.0019066i,-0.0044584-0.00015315i,-0.00087535+0.0016636i,-0.00089385+0.00032053i,-0.0028166+0.00082235i,-0.0023774+0.00071587i,0.0015105+0.0081157i,0.0012782+0.0015137i,0.0020847+0.0010949i,0.001108+0.0016529i,0.00036362+0.0015963i,0.000844+0.00048246i,-0.00044993+0.00092612i,-0.00089058-0.0041867i,-0.00073412-0.0009357i,-0.0012876+0.00041489i,-0.001164-0.0005605i,0.00061418-0.0014718i,-0.009539+0.005683i,0.0010029+0.0007225i,0.0016598+0.00019608i,-0.0019939+0.0014051i,0.0014162-0.0034663i,-0.0013523+0.00012076i,-0.0018725-0.00093353i,0.0020301+0.00094212i,0.0060164+0.007563i,-0.018911+0.029503i,-0.087675+0.016361i,-0.052526+0.031573i,-0.046214+0.055942i,-0.034175+0.073087i,-0.020804+0.047779i,0.0060759+0.042481i,0.0049233+0.0050127i,-0.040443+0.0086799i,-0.054113+0.014843i,-0.0036413+0.02559i,-0.008664+0.00068165i,-0.0077511-0.0060734i,-0.011778-0.0063134i,0.0016988+0.0037118i,0.0043703+0.011513i,-0.0022867+0.0042828i,-0.00086708-0.010924i,0.0066231-0.0031604i,-0.0017929-0.012221i,0.0044368-0.0049845i,0.0052484-0.0023411i,-0.00595+0.0072476i,0.011013+0.00093329i,0.0090895-0.0018112i,0.0085993-0.0038425i,0.0025271+0.0011503i,8.0311e-05-0.0044963i,-0.0041087-0.004953i,0.0029564+0.0011935i,0.00096779+0.00027252i,-0.0026094-0.0055903i,0.00026272+0.00062095i,0.0024274-0.0062787i,0.0020255-0.00089525i,-0.012433-0.0087475i,-0.00015677-0.00020761i,0.0065946+0.00019185i,0.0030466-0.0013631i,0.0013602-0.0047503i,-0.0042738+0.0050858i,-0.0043598+0.0056001i,-0.0044657+0.0018392i,-0.010406-0.0016201i,-0.015114-0.0046472i,-0.051585+0.051025i,-0.002311+0.011508i,-0.019591-0.021197i,-0.0087482-0.0049294i,0.0056977+0.020717i,-0.0053623+0.021601i,0.0017242+0.0026912i
