-0.025771-0.004609i,-0.022168-0.0075208i,-0.013141-0.014044i,-0.035757-0.0087551i,-0.027272+0.0010251i,-0.036757-0.0034968i,-0.068348-0.036444i,-0.033366-0.014773i,-0.022841+0.0031134i,0.0064463+0.0064724i,-0.0056202+0.0076747i,-0.0083148+0.018275i,0.0061316+0.0084753i,-0.0011324+0.0031504i,0.0043715+0.0036916i,0.0056259+0.025174i,0.023351+0.019975i,0.0013724-0.0006095i,0.00094193-0.0046257i,0.0090825+5.1441e-05i,0.0055456-0.00031275i,0.002306+0.0012061i,0.0014599-0.00072673i,-0.024037+0.000173i,-0.0049155-0.0041343i,-0.0005425+0.0032657i,0.0045843-0.0045687i,-0.0017966-0.00052038i,-0.00034041+0.0010495i,-0.0020383-0.001412i,-0.0038334-0.00038781i,-0.0073677-0.0082958i,-0.0051964-0.0072437i,-0.00053176+0.00025022i,-0.00022632-0.0022055i,0.0005692+0.021741i,0.0027239-0.0039939i,0.00074148-0.00435i,0.0031601-0.0020638i,-0.003101-0.0028966i,0.00087897+9.0566e-05i,0.0081491-0.0022833i,0.002803-0.0023099i,0.00013531+0.0025018i,-0.013817+0.015899i,-0.026508+0.053164i,-0.0062175-0.037557i,-0.014971-0.018851i,-0.040593-0.01594i,-0.027499-0.012593i,0.034985-0.011685i,0.0057991-0.029489i,0.012204-0.038184i,-0.0084745-0.029985i,0.025148-0.023532i,0.013352+0.0067161i,0.027975-0.036369i,-0.0019527-0.0039647i,0.0062812-0.0094208i,-0.00070522-0.0059672i,-0.00077762-0.03504i,-0.013143+0.029053i,0.0085642-0.011975i,-0.0088366-0.0041921i,-0.0023056-0.0022238i,7.704e-05-0.015223i,-0.0075348+0.0056979i,0.0040049+0.0067947i,-0.00044732+0.028659i,0.0017819+0.00066372i,-0.0071229-0.0043289i,-0.0040114-0.0063867i,-0.014426-0.0095663i,-0.002547-0.0055939i,-0.033884+0.006593i,-0.0051326-0.0083284i,-0.013072-0.00068686i,-0.010226-0.0056181i,0.0016852-0.0012551i,-0.013914+0.0019304i,-0.0016632-0.00039349i,0.0054158+0.0055703i,0.0034643-0.0051961i,-0.014606-0.013722i,0.0071712+0.0083577i,-0.016082+0.0051268i,0.0052823+0.00027255i,-0.018879-0.0027708i,-0.015981-0.0044882i,-0.015723-0.034984i,0.019353-0.011102i,-0.039737-0.024008i,-0.0094491+0.0059655i,0.017738+0.014321i,-0.022356+0.017132i,-0.0045238-0.003361i
0.0043498+0.014355i,-0.0036629+0.01567i,-0.0027278+0.02695i,0.0015364+0.025974i,-0.00050304+0.029362i,0.010937+0.023137i,-0.0092568+0.027007i,-0.0057457+0.02237i,0.011549+0.0049155i,0.0020605-0.0052742i,0.0019578+1.7187e-05i,0.0061636-0.0027136i,0.00077673-0.0017644i,0.00035429-0.0036263i,0.00017884-0.0018973i,0.0060475-0.0063072i,-0.003305-0.0044337i,-0.0013371+0.0023727i,8.3081e-05+0.00013267i,-0.0001201+0.0019006i,-0.0026899+3.7987e-05i,0.00011748+0.00014314i,0.0014193+0.00038519i,-0.008626-0.0037924i,-0.000983-0.00083604i,-0.0026414+0.00053918i,-0.004283-7.2826e-06i,-0.001745+0.00045806i,-0.0019386+0.00046159i,-0.00036004-0.00030568i,-0.0032724+0.0004085i,0.0012364-0.0025037i,0.00072773-0.0028561i,-0.00024464-0.0010059i,-0.0016974+0.00065289i,-0.0010139-0.0042182i,-0.0020386+0.0014498i,0.0019376-0.00030038i,-0.00048389+0.0022143i,0.0025242+0.0062154i,0.00016198+0.00078266i,-0.0013163+0.000391i,-0.0014006-0.0018036i,0.0029091+0.0039154i,0.014771+0.0070383i,0.042712-0.053825i,-0.026392+0.006196i,0.018645-0.026682i,-0.023028-0.032958i,-0.011712+0.003131i,-0.032364+0.034165i,-0.019404+0.0057511i,-0.016181+0.0088509i,-0.0017627-0.017119i,-0.040288-0.021128i,-0.0082728+0.0016228i,-0.028895+0.011576i,0.0020344+0.013965i,0.00094373+0.0050273i,-0.0032689-0.0048592i,-3.1701e-05+0.0018171i,-0.013401-0.0041212i,0.0054127+0.012697i,-0.0014828+0.0077377i,-0.0021754+0.0039019i,0.0009398+0.0059335i,0.0023472+0.0029889i,-0.0012579+0.018745i,0.0045924+0.015091i,0.0051115-0.00564i,0.011473-0.004916i,0.0087778+0.0026931i,-0.0037638-0.0066362i,-1.55e-05-0.0019593i,0.018527-0.031768i,0.0089996+0.0037647i,0.0076717-0.001893i,0.0024023-0.00071974i,0.0063683-0.0088338i,0.022071-0.00025781i,0.0060947-0.0029509i,0.0015524-0.0069391i,0.004975-0.0034318i,0.018263+0.0030354i,0.0067274+0.0031085i,0.0035824-0.0030561i,0.0095217+0.0096593i,-0.0010845+0.0051917i,0.008926+0.0094047i,-0.013871-0.01395i,-0.010501+0.0020648i,-0.0080036-0.013142i,-0.0076518-0.0048501i,-0.039205+0.0065477i,-0.0057765+0.0037828i,-0.011542+0.00018287i
0.006841+0.013175i,-0.0016708+0.013381i,0.0037185+0.022759i,0.0053406+0.023497i,0.0036855+0.027611i,0.014275+0.020769i,-0.0055138+0.027631i,-0.0013314+0.022374i,0.011324+0.0010293i,0.00026281-0.0054191i,0.0022855+0.0004525i,0.0048713-0.0051599i,0.00013042-0.0024796i,0.00046158-0.0034983i,-0.00052078-0.0018162i,0.0025597-0.0060358i,-0.005463-0.0022973i,-0.00036575+0.0025695i,0.001092+6.665e-05i,0.0010783+0.0016318i,-0.001958+0.0015371i,0.00065873+0.00044838i,0.0016992-0.00024393i,-0.0081386-0.0010129i,-0.00092504-0.00033797i,-0.0022444+0.0015799i,-0.0032718+0.0019699i,-0.0012245+0.00094575i,-0.001505+0.00095469i,-0.00012174+4.5682e-05i,-0.0027472+0.0018086i,-0.00039112-0.0020546i,-0.0010604-0.0028091i,-0.0013396-0.00091612i,-0.0022568+0.0011428i,-6.6465e-05-0.0034279i,-0.0010726+0.0020072i,0.00095408-0.0011009i,2.4158e-05+0.0025296i,0.0040789+0.0040545i,0.00060677+0.00067513i,-0.0015486+0.00063034i,-0.0020419-0.0014129i,0.0040747+0.0029349i,0.015574+0.0025923i,0.022526-0.06314i,-0.02013+0.01382i,0.0084018-0.034715i,-0.034456-0.024745i,-0.0090578+0.0062832i,-0.02096+0.039659i,-0.015375+0.011076i,-0.005114+0.0038847i,-0.0040668-0.016216i,-0.045078-0.0053346i,-0.0083583+0.0021693i,-0.023763+0.023344i,0.005596+0.010089i,0.0016185+0.0030765i,-0.0082894-0.0067234i,-0.0024282+0.0047441i,-0.013261+0.0036363i,0.010462+0.0086778i,0.00076446+0.0098527i,-0.00056156+0.0041949i,0.0030271+0.0065378i,0.0043278+0.0024342i,0.0064481+0.014865i,0.0094406+0.0083881i,-0.0016094-0.0078893i,0.0059287-0.0065136i,0.0079221+0.00088549i,-0.0068526-6.7838e-05i,-0.00021798+0.00040875i,0.0046117-0.031821i,0.010624+0.0013091i,0.0078809-0.0046647i,0.0041901-0.0020604i,0.0011211-0.0064406i,0.020418-0.0097932i,0.0033576-0.0047337i,-0.0019506-0.0058671i,0.0011265-0.003002i,0.015718-0.0036507i,0.0079706+0.001936i,0.002509-0.0019166i,0.012305+0.0057873i,0.00024362+0.0057934i,0.010229+0.0054024i,-0.019205-0.011883i,-0.0055534-0.011029i,-0.0068562-0.011589i,-0.0075689-0.0032847i,-0.033677+0.020037i,-0.0037777+0.0047025i,-0.0099636+0.002487i
0.0099653+0.011443i,-0.00056261+0.012113i,0.0070221+0.017269i,0.0082324+0.02096i,0.0084953+0.02605i,0.01733+0.017829i,-0.0010197+0.027921i,0.0031271+0.021279i,0.0096293-0.0017289i,-0.0014033-0.0048178i,0.0032649+0.00022606i,0.0011994-0.005879i,-0.00069165-0.0024765i,-0.00044544-0.0036115i,-0.0010726-0.0015237i,-0.00061034-0.0042405i,-0.0060828+0.00064893i,0.00069514+0.0024808i,0.0015189-0.0011161i,0.0022349+0.00050401i,-0.00066836+0.0020014i,0.0013942-1.4945e-05i,0.0016139-0.001018i,-0.007795+0.00045399i,-0.00077944+5.1906e-05i,-0.0009831+0.0026374i,-0.0015123+0.0026012i,-0.00049538+0.0012586i,-0.00090059+0.0012808i,-7.505e-05-0.00010717i,-0.0016926+0.0026508i,-0.0011875-0.0012609i,-0.0020909-0.0015283i,-0.0020178-0.00017711i,-0.0016292+0.0023032i,0.00075528-0.0041675i,-0.00043388+0.0017706i,8.6168e-05-0.0013985i,0.0015993+0.0021534i,0.0043611+0.0022446i,0.00096123+0.00055349i,-0.00072988+0.0013889i,-0.0025825-0.0010238i,0.0045344+0.00092165i,0.014911-0.0012778i,0.0011954-0.062405i,-0.010064+0.016965i,-0.0035584-0.036905i,-0.03763-0.015328i,-0.0038066+0.0074341i,-0.0068105+0.04015i,-0.0042963+0.012165i,-0.0040808-0.003504i,-0.0060645-0.015093i,-0.041912+0.009279i,-0.0077422+0.0040601i,-0.011602+0.030508i,0.0068502+0.00625i,-0.00033297+0.00085464i,-0.016444-0.0035214i,-0.0011877+0.0060561i,-0.0089407+0.0083742i,0.011593+0.0028841i,0.0044452+0.0096429i,-0.0012698+0.0047281i,0.0043883+0.0048729i,0.0051432+0.00014074i,0.0086791+0.0084317i,0.0087174+0.0029099i,-0.0065827-0.0034487i,0.003742-0.005831i,0.0089631-0.00047138i,-0.002625+0.0074485i,0.0019973+0.0017646i,-0.0050196-0.027218i,0.011687-0.0034504i,0.005148-0.0072326i,0.0026151-0.0039429i,0.00066939-0.0047408i,0.012917-0.01646i,0.00054984-0.0022591i,-0.004177-0.0033714i,-0.00010846-8.0797e-05i,0.010937-0.0072406i,0.010693-0.0020642i,0.0034939-0.0029717i,0.014933+5.3027e-05i,0.0035676+0.0047522i,0.009831+0.0016716i,-0.02272-0.0043161i,-0.014547-0.01878i,-0.0059951-0.014349i,-0.0058985-0.0036135i,-0.023099+0.026359i,-0.0039805+2.2874e-05i,-0.0077557-0.0007539i
0.012698+0.0079913i,0.0015006+0.011668i,0.0078354+0.012154i,0.011026+0.018789i,0.013041+0.02252i,0.020007+0.014143i,0.0041883+0.027347i,0.0072061+0.01906i,0.0079365-0.0028557i,-0.0026826-0.0037216i,0.0037866-0.0014099i,-0.0012544-0.0039544i,-0.0015774-0.0023444i,-0.0017846-0.0027715i,-0.0017126-0.0011448i,-0.001515-0.001242i,-0.0046949+0.0034328i,0.0015306+0.0017609i,0.00098438-0.0015689i,0.002077-0.0011772i,0.00033499+0.0018503i,0.0017996-0.00077613i,0.0011713-0.0017647i,-0.0075455+0.0024349i,-0.00043118+7.1571e-05i,0.00083854+0.0019045i,-5.092e-05+0.0023438i,0.0002319+0.0009552i,-0.00010449+0.0015744i,-6.6952e-05+9.3509e-05i,-0.00054068+0.0028598i,-0.0017502-0.00056056i,-0.0026825-0.00045643i,-0.0020436+0.00094958i,-0.00060434+0.0026265i,0.00033809-0.006143i,0.00038552+0.0018325i,-0.00071039-0.00098484i,0.0021008+0.00072251i,0.0042789+0.00085475i,0.0012886-1.3991e-05i,0.0002065+0.0010675i,-0.0029485-0.00025497i,0.0029513-0.0015353i,0.013749-0.0043571i,-0.015785-0.051244i,-0.0013817+0.014014i,-0.014553-0.033981i,-0.040736-0.0065989i,0.0011568+0.0052494i,0.0045543+0.035125i,0.0034383+0.0046792i,-0.0045941-0.0050999i,-0.0064223-0.01244i,-0.034852+0.019091i,-0.0067533+0.0056258i,0.00074135+0.029785i,0.0072009+0.0029643i,-0.0036013+0.0019759i,-0.019716+0.0062779i,-0.00096685+0.0081683i,-0.0042661+0.0088745i,0.0091156-0.0027361i,0.0078407+0.0082617i,-4.0977e-05+0.0070204i,0.0040794+0.0045667i,0.0053491-0.0027079i,0.0070325+0.0032762i,0.0054647+6.6656e-05i,-0.0052423+0.00061027i,0.0018176-0.0056341i,0.0084529-0.002994i,0.0057938+0.0076678i,0.0034304+0.0002051i,-0.010183-0.021259i,0.0090316-0.0073341i,0.0023314-0.0082761i,0.0015144-0.003362i,-0.00032657-0.0051119i,0.0053236-0.017677i,0.002697-0.0011271i,-0.0046765-0.00038415i,0.0024423+0.0015454i,0.0073293-0.0073727i,0.0085707-0.0069999i,0.0017042-0.0037455i,0.011719-0.0077538i,0.0042394+0.0013472i,0.0092906-0.0024045i,-0.01821+0.0041417i,-0.025823-0.017104i,-0.010319-0.018961i,-0.0062845-0.0056694i,-0.014595+0.027294i,-0.0090234-8.105e-05i,-0.011169-0.00018872i
0.013774+0.0041666i,0.0026568+0.0097039i,0.0066931+0.008559i,0.0136+0.016127i,0.016205+0.018265i,0.02164+0.010003i,0.0093241+0.024971i,0.010367+0.015917i,0.0069655-0.0033977i,-0.0030377-0.0025014i,0.0026639-0.0026643i,-0.0018848-0.0022683i,-0.0023772-0.0019346i,-0.0019203-0.001669i,-0.0020486-0.0003823i,-0.00080331+0.00080115i,-0.0024445+0.0050767i,0.0017622+0.00092964i,0.00070227-0.0014983i,0.001053-0.0021585i,0.0008229+0.0013438i,0.0014356-0.0015483i,0.00028571-0.0020691i,-0.0056116+0.0039772i,-0.00043436-0.000199i,0.0011219+0.00036783i,0.0010053+0.0014309i,0.00060256+0.00045219i,0.00080404+0.0012585i,0.00038581+0.00012404i,0.00033999+0.0027219i,-0.0018682+4.9905e-05i,-0.0026192+0.0011038i,-0.0015276+0.0018358i,0.00018366+0.0026132i,-0.0017847-0.0077484i,0.00092017+0.0013299i,-0.00085829-8.7267e-05i,0.0017925-0.00012639i,0.0037697-2.5443e-05i,0.0011773-0.00072774i,0.00048518+0.00052806i,-0.0027564+0.00058708i,0.00075896-0.00090665i,0.012157-0.0065353i,-0.019468-0.037243i,0.0033784+0.0086181i,-0.02358-0.027309i,-0.041555+0.0046869i,0.0036774+0.0003702i,0.012744+0.0277i,0.005492-0.0026425i,-0.0042224-0.0071832i,-0.0051585-0.012497i,-0.027243+0.025939i,-0.0050906+0.0066948i,0.012564+0.024547i,0.0065208+0.00045475i,-0.0048189+0.0055986i,-0.017156+0.014546i,0.0018264+0.0095189i,3.5886e-06+0.0094464i,0.0041299-0.0039819i,0.010582+0.0054145i,0.0029636+0.0078403i,0.0050528+0.0047805i,0.0043514-0.0055093i,0.0041116+0.0031928i,0.0027811+0.0010303i,-0.0045196+0.0028521i,0.0004791-0.0044637i,0.0069603-0.0054426i,0.0096101+0.0022783i,0.0034935-0.0018651i,-0.013146-0.018789i,0.0052-0.0093976i,-0.00099482-0.0083326i,0.0024961-0.0030852i,-0.0019213-0.0038123i,-2.6443e-05-0.015937i,0.0031089-0.0034282i,-0.0026396+0.0022607i,0.0049626+9.3301e-05i,0.0054961-0.0081326i,0.0041497-0.011289i,0.0013375-0.0036668i,0.0052105-0.010849i,0.00258-0.00026473i,0.00526-0.0062315i,-0.011312+0.0049159i,-0.035596-0.0074775i,-0.016833-0.018252i,-0.0078586-0.007098i,-0.008371+0.026744i,-0.012407+0.0036011i,-0.011003+0.003538i
0.013839+0.0006403i,0.0031116+0.0087941i,0.0054251+0.0070877i,0.015777+0.012972i,0.017806+0.013808i,0.022803+0.0059831i,0.014003+0.021183i,0.012415+0.012431i,0.0066075-0.0041742i,-0.0033625-0.0019878i,0.00095743-0.0030883i,-0.0021988-0.00073776i,-0.0032363-0.0011276i,-0.0018146-0.0013151i,-0.0021655+0.00033962i,0.00051372+0.0017171i,0.00030127+0.0054442i,0.001774+0.00037077i,0.00014993-0.0016368i,-0.00011787-0.0023119i,0.0014465+0.00099716i,0.00094638-0.0020844i,-0.00039684-0.0018433i,-0.0043375+0.0039199i,-0.00059244-2.3042e-05i,0.00046185-0.00048665i,0.0012594+0.00018148i,0.00080764-0.00014397i,0.0013344+0.00045727i,0.00056448-0.00041251i,0.001267+0.0024629i,-0.0017169+0.00063221i,-0.0016439+0.0022692i,-0.00059801+0.0022515i,0.00092332+0.0024122i,-0.0047264-0.0081774i,0.0011143+0.00048616i,-0.00046534+0.00021023i,0.00152-0.0006964i,0.0033148-0.00036958i,0.00068366-0.00089451i,0.00049684+0.00034195i,-0.0022859+0.0010028i,0.00025252+0.00056504i,0.010579-0.0078393i,-0.017313-0.03058i,0.0051542+0.0041665i,-0.027988-0.016896i,-0.03577+0.018173i,0.00090033-0.004182i,0.016716+0.019798i,0.0053516-0.0087615i,-0.0045032-0.0082105i,-0.0067299-0.012316i,-0.019464+0.030372i,-0.0039436+0.0077185i,0.018316+0.011748i,0.0058239-0.0019152i,-0.0031165+0.009114i,-0.010223+0.020876i,0.0046768+0.0083451i,0.0048006+0.0068656i,0.0015617-0.0021919i,0.012595+0.00080473i,0.0056575+0.0073565i,0.0063514+0.0039146i,-0.00090235-0.0082825i,0.0041638+0.0049645i,0.0033839+0.0026832i,-0.0019938+0.0064484i,0.00067743-0.0038297i,0.0051471-0.0064042i,0.0098527-0.0030569i,0.0024787-0.0037766i,-0.018963-0.016588i,0.0014209-0.0099899i,-0.0043463-0.0069241i,0.0012167-0.0044356i,-0.0019767-0.0019629i,-0.0027855-0.012963i,0.00155-0.0050874i,-0.00014003+0.0024335i,0.0049342-0.0037546i,0.0022856-0.0092094i,-0.0027987-0.011609i,0.00044063-0.0049171i,0.00050841-0.0096186i,0.0022985-0.0012557i,0.00033648-0.0057418i,-0.008109+0.0040447i,-0.03232+0.0085089i,-0.022532-0.014849i,-0.010076-0.0071835i,-0.0039896+0.026156i,-0.01115+0.0088824i,-0.0067407+0.0047954i
0.013158-0.0026175i,0.0041045+0.0084513i,0.0047355+0.0065574i,0.0172+0.0093566i,0.018486+0.01011i,0.023437+0.001438i,0.017528+0.016241i,0.013559+0.0090436i,0.0062329-0.0051059i,-0.0039271-0.0010355i,-0.0004343-0.0023397i,-0.0012118+0.00062061i,-0.0037013+7.6337e-05i,-0.0022494-0.001291i,-0.002094+0.0011211i,0.0015371+0.0018547i,0.0025117+0.0045561i,0.0016881-2.1869e-06i,-2.817e-05-0.0015386i,-0.0010413-0.0017969i,0.0018869+0.00034698i,0.00015734-0.0024658i,-0.00085034-0.0014389i,-0.0038516+0.00481i,-0.00055084-0.00010745i,-0.00027089-0.00059791i,0.00089234-0.00064691i,0.0005892-0.00088065i,0.0013121-0.00055215i,0.00020324-0.00097987i,0.0020935+0.0017721i,-0.001132+0.0015684i,2.0042e-06+0.002452i,0.00042493+0.0022042i,0.0016203+0.0017205i,-0.008041-0.007335i,0.0010358-0.00013947i,-0.00036102-4.3119e-05i,0.0010221-0.0013108i,0.0030645-0.00077024i,0.00041507-0.0008724i,0.00085494+8.4793e-05i,-0.0020562+0.0011068i,0.00065495+0.0011471i,0.0096972-0.0095022i,-0.017668-0.029629i,0.00604+0.0010326i,-0.025936-0.0075605i,-0.024265+0.027226i,-0.0015437-0.0043391i,0.019216+0.013456i,0.0025116-0.013875i,-0.00486-0.0092983i,-0.0071261-0.010087i,-0.01138+0.033329i,-0.0012205+0.0076608i,0.012823+0.00025702i,0.0034097-0.0045096i,0.00025522+0.010362i,-0.0023934+0.022117i,0.0059057+0.0061886i,0.0063081+0.0024123i,0.0019385-0.00075203i,0.011912-0.0032843i,0.0099302+0.0052721i,0.007557+0.0032756i,-0.005351-0.0032999i,0.0062613+0.0051231i,0.0046348+0.0029316i,0.0022271+0.0065076i,-0.0002137-0.0040751i,0.0035083-0.007516i,0.0081302-0.0092771i,-0.00070404-0.0039842i,-0.024922-0.009792i,-0.0017917-0.0093574i,-0.0063272-0.0036395i,0.00060168-0.0029394i,-0.0018103-0.0014454i,-0.0045476-0.012792i,-0.00075855-0.005899i,0.0010809+0.00081476i,0.0023667-0.0052497i,-6.2462e-05-0.008533i,-0.0069096-0.0072076i,-0.0019669-0.0051428i,-0.0033415-0.0080305i,0.00069458-0.0022306i,-0.0017133-0.0033473i,-0.0052415+0.0038624i,-0.025412+0.0099527i,-0.023035-0.010351i,-0.012005-0.0064422i,0.0013284+0.023531i,-0.0091025+0.011001i,-0.0048925+0.0035148i
0.011779-0.005372i,0.0056566+0.0080869i,0.0047325+0.0067549i,0.01775+0.0057676i,0.018611+0.0068359i,0.022864-0.0030884i,0.019756+0.010897i,0.014066+0.005971i,0.0056792-0.0063795i,-0.0041599+9.2184e-05i,-0.00065925-0.0011523i,-0.00011005+0.000501i,-0.0037422+0.0014641i,-0.003081-0.0004275i,-0.0016262+0.0019327i,0.0025413+0.0012377i,0.0039812+0.0030811i,0.0017369-0.00034971i,-0.00034456-0.0015605i,-0.0013626-0.00088795i,0.0019922-0.00044885i,-0.00061095-0.0021259i,-0.0010371-0.00098526i,-0.0018393+0.0056181i,-0.00083331-6.8094e-05i,-0.00064775-0.00045436i,0.0002881-0.0012821i,-0.00015618-0.0013513i,0.00069798-0.0013983i,-0.00040358-0.0011299i,0.0023936+0.00082948i,-8.3903e-05+0.001347i,0.00067032+0.0017249i,0.0011432+0.0017502i,0.0017886+0.00098245i,-0.010883-0.0046521i,0.00059461-0.00073299i,-0.00062393+5.0834e-05i,9.9838e-05-0.0018993i,0.00298-0.0010576i,0.00020681-0.00090674i,0.00093513-0.00028422i,-0.0020372+0.0012645i,0.0010888+0.0013904i,0.0081562-0.011644i,-0.021702-0.028277i,0.0054327-0.0025795i,-0.023579-0.0012663i,-0.012073+0.02919i,-0.0040175-0.0043282i,0.021036+0.0065032i,-0.00061537-0.015943i,-0.0058522-0.0098519i,-0.0059221-0.0079638i,-0.001862+0.033844i,0.0010387+0.0065964i,0.0070465-0.0010495i,0.00035501-0.0055233i,0.0047525+0.010943i,0.0048482+0.019677i,0.0060653+0.0036912i,0.0052473-0.0015066i,0.0016656-0.00046372i,0.0094089-0.007572i,0.012429+0.00072871i,0.008997+0.0014988i,-0.004916-0.00011597i,0.0084114+0.0043113i,0.0063762+0.0026563i,0.0062004+0.0042541i,-0.001167-0.0035627i,0.0018748-0.008746i,0.0026524-0.012731i,-0.0016397-0.0019119i,-0.027698-0.00020439i,-0.0041941-0.0081085i,-0.0062453-4.0468e-05i,0.00096438-0.0020725i,-0.0022284-0.00075126i,-0.00814-0.012107i,-0.0035665-0.0052328i,0.0016706-7.7085e-05i,0.00020483-0.0054026i,-0.0011822-0.0080442i,-0.0085246-0.0036634i,-0.0044282-0.003283i,-0.0062868-0.0053718i,-0.00013235-0.0024951i,-0.0017514-0.0017148i,-0.0025182+0.0029569i,-0.024772+0.012023i,-0.022379-0.0077929i,-0.013988-0.0047682i,0.0029999+0.021811i,-0.007812+0.011835i,-0.0037343+0.0026655i
0.010083-0.0074488i,0.0079637+0.0068325i,0.0061381+0.0067348i,0.017605+0.002394i,0.018864+0.0040614i,0.021359-0.0071968i,0.020485+0.0047845i,0.014117+0.003058i,0.0045986-0.0076019i,-0.0040436+0.0012083i,-0.0005005-0.00074195i,4.9275e-06-0.00031447i,-0.0031601+0.0028562i,-0.0029096+0.00077937i,-0.00083567+0.0023898i,0.0026445+5.7007e-05i,0.0044752+0.0012276i,0.0014736-0.00091766i,-0.00081826-0.001243i,-0.0010496-0.00025205i,0.0019017-0.0013251i,-0.00090008-0.0016579i,-0.00099217-0.00060646i,0.00027314+0.0051987i,-0.0010523+0.00018327i,-0.0011681-0.00017448i,-0.00095836-0.00158i,-0.0010323-0.0012601i,-0.0003029-0.0018979i,-0.0010291-0.00098593i,0.0023391-1.8236e-05i,3.8001e-05+0.0011663i,0.00090551+0.0013306i,0.0015878+0.001096i,0.0017777+0.00038433i,-0.012094-0.00085387i,-0.00022672-0.001014i,-0.00056302+0.00023819i,-0.001078-0.0019273i,0.0028637-0.0015506i,-3.216e-06-0.00080021i,0.00095795-0.00050336i,-0.0019437+0.001652i,0.0015631+0.0014056i,0.0055682-0.012878i,-0.027061-0.022463i,0.0041837-0.0053695i,-0.01728+0.0043403i,-0.0014076+0.029108i,-0.0055728-0.0013062i,0.021091-0.0012606i,-0.001002-0.018588i,-0.0060203-0.0088896i,-0.0032616-0.0057641i,0.0065395+0.031211i,0.0020521+0.004523i,0.0036707-0.0019009i,-0.0033024-0.0051168i,0.0098141+0.0078669i,0.0087082+0.01554i,0.0045427+0.0020542i,0.0031918-0.0044305i,0.0027962+0.0017337i,0.0046842-0.010159i,0.012124-0.0055606i,0.0095218-0.0011893i,-0.0046031+0.0024099i,0.011172+0.002301i,0.0088482+0.00016346i,0.0074078-0.00029034i,-0.0017107-0.0029364i,-0.00096335-0.0090457i,-0.004667-0.012037i,-0.00085891-0.00025643i,-0.026406+0.00997i,-0.0062199-0.006747i,-0.0044009+0.0025972i,0.0016101-0.004385i,-0.0019976+0.00074133i,-0.012164-0.0089983i,-0.0059327-0.002567i,0.0013316-0.0014926i,-0.0019196-0.0046161i,-0.0034521-0.00752i,-0.0084133+0.001206i,-0.00486-0.0004077i,-0.0080393-0.0016424i,-0.0017302-0.00317i,-0.001437-0.0014262i,-0.00063981+0.0022746i,-0.023499+0.019167i,-0.022787-0.0084595i,-0.013232-0.0022205i,0.0064403+0.020359i,-0.0069286+0.014113i,-0.0021516+0.00045753i
0.008381-0.0089768i,0.0099104+0.0047127i,0.0077411+0.0053036i,0.016864-0.00081178i,0.018882+0.001226i,0.019303-0.010559i,0.019266-0.00070456i,0.013677+0.0003719i,0.0034311-0.0085268i,-0.0037849+0.0023219i,-0.00060406-0.0005569i,-0.00069173-0.00045081i,-0.0020897+0.003768i,-0.0023837+0.0017517i,-0.0001132+0.0024844i,0.0017577-0.00061611i,0.0041363-0.00035177i,0.0011628-0.0011322i,-0.00079626-0.00081398i,-0.00052739-2.9416e-05i,0.0016316-0.0020937i,-0.00096319-0.0014658i,-0.00076448-0.00043601i,0.0017359+0.0045561i,-0.0011292+0.00042327i,-0.0014501+0.00051419i,-0.0021881-0.00093448i,-0.0016253-0.00071241i,-0.0015068-0.0017884i,-0.0016612-0.00054276i,0.0020474-0.00069243i,0.00024175+0.001261i,0.0012476+0.00090864i,0.0018116+0.00036067i,0.0015333-0.00013634i,-0.011782+0.002907i,-0.00098015-0.00080746i,-0.00064282+0.00011486i,-0.0021433-0.0012571i,0.0025503-0.0022445i,-2.3692e-05-0.00058961i,0.00097037-0.00095487i,-0.0017185+0.002132i,0.0020647+0.0011918i,0.0033368-0.013182i,-0.027293-0.013807i,0.00104-0.006965i,-0.010695+0.0046215i,0.009053+0.026292i,-0.0043569+0.002688i,0.018022-0.0079434i,-0.0042736-0.023371i,-0.0041782-0.0089006i,0.0014169-0.0046697i,0.014208+0.026088i,0.0018458+0.0031662i,0.00049714-0.0012517i,-0.0054252-0.002655i,0.011941+0.0021363i,0.011693+0.012286i,0.0024034+0.0025682i,-0.0002989-0.0067908i,0.0060239+0.00071939i,-0.0003864-0.0096175i,0.0079785-0.0097682i,0.0089933-0.0042304i,-0.0040075+0.0044474i,0.01259-0.0028357i,0.0083342-0.0049864i,0.0058841-0.0045158i,-0.0022768-0.002456i,-0.0037538-0.0082182i,-0.0093042-0.0067065i,0.00040001-0.00047124i,-0.020528+0.020574i,-0.0079356-0.0048743i,-0.001911+0.0037012i,-0.0013624-0.0053677i,-0.00063203+0.0011963i,-0.014865-0.0042185i,-0.0048973+0.0009662i,-1.5269e-05-0.0024883i,-0.0038379-0.0031127i,-0.0054655-0.0056134i,-0.0056501+0.0044502i,-0.0034735+0.0015605i,-0.0078933+0.0027727i,-0.0041117-0.0025858i,-0.0018549-0.0013624i,0.0031607+0.0020682i,-0.012767+0.025547i,-0.026611-0.0072951i,-0.011664-0.0020427i,0.0085196+0.017981i,-0.0039532+0.016364i,-0.0027055-0.0029464i
