-0.0084107-0.040004i,-0.014095-0.04273i,0.00037537-0.046013i,-0.027441-0.02724i,-0.020265+0.014037i,-0.033566-0.030018i,-0.060863-0.059853i,-0.022361-0.071486i,-0.034599-0.050984i,0.0012126+0.014706i,-0.0069417+0.010536i,-0.01391+0.013321i,0.0023308+0.01553i,-0.0034916-0.0034943i,0.00078613+0.0062466i,0.0014024+0.037125i,0.020191+0.059024i,0.00088769-0.00056762i,-0.0050495-0.0079625i,0.0078764+0.0041723i,0.001696+0.001175i,-0.00096226+0.0034682i,6.7363e-05-0.0013542i,-0.035808-0.0098092i,-0.0025946-0.0072262i,-0.00016407+0.0044961i,0.0047923+0.00012387i,1.7303e-05+0.00087152i,1.5372e-05-0.0010213i,-3.6642e-05-0.0026892i,-0.0013242-0.005775i,-0.002472-0.0038014i,-0.00042355-0.0076892i,0.0032474-0.0012328i,0.0031468-0.0025948i,-0.00038464+0.033568i,0.0062104-0.0039883i,0.0035826-0.0022022i,0.0050032+9.855e-05i,-0.014147-0.0048221i,-2.7519e-05+0.0001886i,0.0095352-0.00084722i,0.0051251-0.00058693i,-0.0038592+0.003831i,0.0036035+0.001666i,-0.0027131+0.0055976i,0.010959-0.088932i,-0.0084736-0.049758i,-0.025965-0.040378i,-0.021384-0.041643i,0.061466-0.01953i,0.025714-0.062418i,0.038139-0.047088i,0.028481-0.058312i,0.018286-0.016023i,0.0084538+0.0098643i,0.023513-0.031969i,-0.0076597-0.004861i,0.0023786-0.0029551i,-0.0049314-0.0059475i,0.00027082-0.03184i,-0.023289+0.031148i,0.0074606-0.010922i,-0.010774-0.00093397i,-0.0049026-0.0011292i,-0.0011553-0.014302i,-0.0096306+0.0039351i,0.0037327+0.0074422i,-0.010861+0.031341i,0.0061436+0.0073545i,-0.005164-0.0012437i,-0.0019414-0.002002i,-0.011039-0.007663i,0.00032378-0.0035096i,-0.034512+0.0057326i,0.0018438-0.012539i,-0.0088527-0.0019738i,-0.0065305-0.0026247i,0.0063985+0.0014753i,-0.0092184+0.001317i,0.00099912+0.00054104i,0.0054949+0.0084808i,0.0044789+0.00054801i,-0.0092852-0.0097378i,0.0031135+0.008767i,-0.018801+0.0070282i,0.006537+0.0023561i,-0.029765-0.0073362i,-0.03384+0.0038052i,0.023906-0.079974i,0.011486-0.010363i,-0.044111-0.026754i,-0.023194-0.0031102i,0.018012+0.011976i,-0.026088+0.013205i,-0.011656-0.0075334i
-0.034591+0.0014752i,-0.046598+0.017795i,-0.047356+0.04302i,-0.027166+0.0069362i,-0.0043864+0.014303i,-0.0072864+0.031099i,-0.028306+0.019074i,-0.058458+0.025108i,-0.022345+0.021083i,0.0014468-0.0085252i,0.0014834-0.0018148i,0.0032564+0.00052618i,0.0030585+0.0086263i,-0.0036994+0.0014018i,0.0013656+0.0023093i,0.0023367-0.0086017i,-0.012599-0.0089504i,-0.0039756+0.00037079i,0.004117-0.0025577i,0.0012874-0.0014565i,0.0025159-0.0040623i,0.0018605-0.0041413i,0.0018681-0.0032704i,-0.010902-0.011017i,-0.0024088+3.5543e-05i,-0.0040243-0.00018968i,-0.0032483-0.0010325i,-0.0049134-0.0017362i,-0.0011247-0.0020678i,0.0008976-0.0017494i,-0.0036559+0.0044417i,0.0011485+0.0018716i,0.0021211+0.001763i,0.0018962+0.00062639i,-0.001844+0.0028938i,-0.0037021-0.0080454i,-0.0030393+0.0012724i,0.0010054+0.00020953i,-0.00047991+0.0036547i,0.0097307+0.0070668i,0.0014572-0.0025185i,0.00091275-0.00084776i,-0.0048649-0.0040882i,0.0024881+0.0044181i,-0.020931-0.016478i,-0.0053321-0.060474i,-0.089181-0.0069531i,-0.024181-0.01971i,-0.049164-0.039194i,-0.043369-0.0049753i,-0.092812+0.016548i,-0.062359+0.0033346i,-0.038189-0.027392i,-0.031942-0.055008i,-0.033807-0.024292i,-0.00059548+0.0020339i,-0.024836+0.013587i,0.0047734+0.016769i,0.0044557+0.0071284i,-0.00046013-0.0065369i,0.0087108+0.0040801i,-0.0099214-0.0035784i,0.0026963+0.011229i,-0.0012993+0.0075929i,-0.0010782-0.0023592i,0.0060601+0.001949i,0.003517-0.0013262i,-0.0037625+0.019874i,0.00019907+0.013202i,0.00097879-0.0042665i,0.01014-0.0072193i,0.0032728+0.0032728i,-0.0081933-0.0077556i,-0.0018687-0.0020832i,0.025437-0.032944i,0.0085879+0.0081145i,0.0039356+0.0022719i,-0.0016097+0.002745i,0.0035526-0.00385i,0.020741+0.0018357i,0.001446-0.0019588i,-0.0012108-0.0067984i,0.0013554-0.0024981i,0.012039+0.0048598i,0.0056365+0.00059434i,0.0029379-0.0053854i,0.0036749+0.0071704i,0.0041861+0.0027142i,0.017098+0.00054292i,-0.068736-0.042257i,-0.0095628+0.010455i,-0.0066923-0.0039742i,-0.0047145+0.0052113i,-0.036168+0.011286i,-0.0053228+0.0074081i,-0.014032+0.0048681i
-0.032334+0.0055763i,-0.04294+0.022428i,-0.034802+0.04507i,-0.025723+0.01258i,-0.0028997+0.01172i,-0.0017622+0.031005i,-0.026023+0.023254i,-0.050666+0.033267i,-0.017329+0.01849i,-0.00099925-0.0077048i,0.001036-0.0010978i,0.0030559-0.0011047i,0.0050318+0.0056721i,-0.0020651+0.0031407i,0.0017282+0.0024891i,-0.0029928-0.0065046i,-0.017626-0.0017696i,-0.0033191+0.0019321i,0.0041874-0.0030766i,0.0012012-0.0020317i,0.0011353-0.004197i,0.0017464-0.0030224i,0.0014904-0.0032942i,-0.012531-0.0066557i,-0.001928+0.00019836i,-0.0041891+0.0012091i,-0.0028617+5.7488e-05i,-0.0044455+2.1149e-06i,-0.0015616-0.002085i,0.00059317-0.0016281i,-0.0017531+0.0058609i,0.0014083+0.0015743i,0.0023419+0.00055092i,0.00047483+0.00041505i,-0.0023691+0.0027146i,-0.0038183-0.0065962i,-0.0026777+0.0017558i,-0.00024623-0.00045833i,-0.00063015+0.0046486i,0.010328+0.0012943i,0.00074799-0.0028462i,-9.7768e-05-0.0014407i,-0.0063794-0.0028305i,0.0037134+0.0039562i,-0.022526-0.018071i,-0.022654-0.065515i,-0.083464+0.0087439i,-0.031136-0.020955i,-0.060197-0.031619i,-0.040876+0.0042726i,-0.080571+0.036305i,-0.058899+0.016775i,-0.02891-0.026612i,-0.03835-0.050545i,-0.039971-0.010283i,-0.0010392+0.00033545i,-0.017186+0.023295i,0.0088687+0.011342i,0.0061321+0.0023374i,-0.005512-0.01145i,0.0048721+0.0030483i,-0.01009+0.0030884i,0.0071917+0.0089813i,0.0016611+0.0091204i,-0.0021487-0.0017207i,0.00677+0.0022524i,0.0035348-0.00096985i,0.0058733+0.016068i,0.0058885+0.0083136i,-0.0035481-0.0052455i,0.0027436-0.0081013i,0.0041848+0.0032991i,-0.011017-0.00033626i,-0.0020883+0.00063274i,0.010129-0.035631i,0.010907+0.0059119i,0.006218+0.00074166i,0.0013834+0.001916i,0.00042303-0.0023039i,0.017848-0.0073927i,-0.00017405-0.0026298i,-0.0042233-0.0048085i,-0.0019541-0.0021219i,0.010912-0.00027043i,0.0053076+0.00025866i,0.0013126-0.0032884i,0.0062776+0.0059446i,0.0042749+0.0020225i,0.015022-0.0052145i,-0.074807-0.032939i,-0.0027061-0.00098624i,-0.0072933-0.0030595i,-0.0037174+0.0038641i,-0.029834+0.021904i,-0.0031592+0.0081384i,-0.012212+0.0069994i
-0.029151+0.0086604i,-0.039938+0.027068i,-0.026307+0.043881i,-0.022516+0.015543i,-0.00038767+0.011521i,0.0037184+0.029757i,-0.02222+0.027232i,-0.04182+0.037925i,-0.017378+0.016501i,-0.0029638-0.0065182i,0.0015622-0.00067211i,-0.00044709-0.0020427i,0.0055984+0.0037365i,-0.0014327+0.0036874i,0.0024958+0.0025219i,-0.0065375-0.0018599i,-0.017626+0.007626i,-0.001386+0.0031709i,0.0041736-0.0051017i,0.0011354-0.0029309i,-0.00041629-0.0042682i,0.0021655-0.0039659i,0.0010534-0.0038686i,-0.013471-0.0028257i,-0.0020068+0.00066331i,-0.0031688+0.0031628i,-0.0023393+0.0006047i,-0.0030238+0.0017705i,-0.0021812-0.0020487i,-0.00017222-0.0023788i,0.00077952+0.0059926i,0.0017594+0.0011987i,0.0019598-0.00027221i,0.00063794+0.00029527i,-0.0014666+0.0044869i,-0.0036048-0.0061103i,-0.0026081+0.0021772i,-0.00097198-0.00038933i,0.0031741+0.004252i,0.0082254-0.002017i,-0.0001984-0.002866i,0.00015211-0.00051532i,-0.0081023-0.0013541i,0.0049063+0.0018459i,-0.026337-0.018128i,-0.043653-0.061671i,-0.073321+0.020232i,-0.037773-0.017491i,-0.066711-0.019532i,-0.034199+0.010547i,-0.060861+0.049179i,-0.043905+0.028619i,-0.030212-0.03198i,-0.044366-0.04719i,-0.038266+0.0035778i,-0.0016777-0.0004102i,-0.0062159+0.026321i,0.010352+0.0063513i,0.0030502-0.0017081i,-0.017295-0.011307i,0.0043575+0.0017448i,-0.0060458+0.0073646i,0.0094288+0.0040789i,0.004625+0.0086392i,-0.0042562+0.00051602i,0.0069985-0.0016287i,0.0038206-0.0027706i,0.0088796+0.0090129i,0.0062141+0.0030478i,-0.0081586-0.0018172i,0.00020689-0.005792i,0.0064623+0.0022926i,-0.0072464+0.008905i,-0.00022293+0.0021871i,-0.0022853-0.032636i,0.0137+0.00082353i,0.005701-0.0019285i,0.0014827+0.00061963i,0.0010502-0.00031584i,0.011102-0.011941i,-0.0030414+0.0009076i,-0.005678-0.002054i,-0.00326+0.0016306i,0.0076669-0.0031364i,0.0082983-0.0023047i,0.0021527-0.0032956i,0.0093968+0.0026322i,0.0059427+0.0008743i,0.01153-0.0095386i,-0.078778-0.019533i,-0.0080253-0.010682i,-0.0057718-0.003417i,-0.0032749+0.0021898i,-0.020295+0.026397i,-0.0020365+0.0032818i,-0.0090843+0.0032702i
-0.026165+0.0098686i,-0.036014+0.032378i,-0.020461+0.042425i,-0.018692+0.018996i,0.0033024+0.0086415i,0.0086558+0.027198i,-0.017027+0.030426i,-0.034039+0.039471i,-0.017944+0.01854i,-0.0044409-0.0047977i,0.0015169-0.0015714i,-0.0023867+0.0011511i,0.0052673+0.0018551i,-0.0010775+0.005089i,0.0029522+0.0020009i,-0.0059166+0.0040755i,-0.012077+0.015565i,0.00035538+0.0026169i,0.0018493-0.0066379i,-0.0002043-0.0041182i,-0.0016397-0.0037652i,0.0014925-0.004665i,2.5662e-05-0.004795i,-0.013103+0.0015747i,-0.0014329+0.00096449i,-0.00093343+0.0031768i,-0.0019595+0.00082776i,-0.0010313+0.0017793i,-0.0030301-0.00088286i,-0.0016437-0.0018792i,0.0027837+0.0051332i,0.0017633+0.00058778i,0.0012002-0.00083222i,0.00045651+0.00018024i,0.001279+0.004687i,-0.0043237-0.0070645i,-0.0016435+0.0033933i,-0.0013581+0.00028627i,0.0038975+0.00048022i,0.0063593-0.0034383i,-0.00076954-0.0026678i,0.00073276-0.00078563i,-0.0090689+0.0018516i,0.003169-0.0013739i,-0.031522-0.015626i,-0.060415-0.045944i,-0.062934+0.025491i,-0.043293-0.011662i,-0.070119-0.0069685i,-0.02646+0.012556i,-0.042528+0.052148i,-0.028013+0.027368i,-0.034091-0.030301i,-0.050985-0.040436i,-0.032927+0.012857i,-0.0029978-0.00042075i,0.0033247+0.024472i,0.010139+0.0019284i,-0.0015476-0.0018645i,-0.026333-0.00078103i,0.0014173+0.0021325i,-0.0015332+0.007456i,0.0077972-0.0010366i,0.0078056+0.0074288i,-0.0036808+0.0036738i,0.0033254-0.0027385i,0.0030606-0.0051129i,0.0077318+0.0025386i,0.0033716+0.00080278i,-0.0082819+0.0023403i,-0.0015822-0.0042519i,0.0070951+9.3906e-05i,0.0021898+0.010741i,0.001149+0.0014423i,-0.0096072-0.026253i,0.01223-0.004029i,0.004744-0.003654i,0.0019286+0.0014865i,0.0013425-0.00064866i,0.0054891-0.012067i,5.7514e-05+0.0036144i,-0.0060599+0.00095459i,-0.00078182+0.0042821i,0.0054326-0.0033774i,0.0067823-0.0066723i,0.00033686-0.0035652i,0.0084127-0.0030028i,0.0054126-0.0021532i,0.0075448-0.01277i,-0.075855-0.005436i,-0.01793-0.012767i,-0.0063072-0.0067977i,-0.0035592+0.0002552i,-0.012931+0.026619i,-0.0064667+0.0027318i,-0.012114+0.0027568i
-0.024692+0.010797i,-0.031718+0.036869i,-0.01695+0.041945i,-0.013213+0.021084i,0.0051758+0.0043349i,0.012097+0.024263i,-0.010963+0.032045i,-0.028323+0.040716i,-0.015354+0.022251i,-0.0046733-0.0029542i,0.00057084-0.0019463i,-0.0012179+0.0037963i,0.0045768+0.00061886i,0.0014362+0.0063762i,0.0035541+0.0015777i,-0.0024983+0.0072998i,-0.003893+0.019468i,0.0010483+0.0016803i,-1.3199e-05-0.0062075i,-0.0021404-0.0041008i,-0.0027429-0.0030964i,0.00035742-0.0049037i,-0.0019379-0.0047699i,-0.010194+0.0047096i,-0.0015907+0.00050003i,-0.00038936+0.0020803i,-0.0016499+0.0010188i,-0.00020852+0.00089488i,-0.0029464+0.00052967i,-0.0018497-0.00048902i,0.0040691+0.0037198i,0.0017838-0.00020338i,0.00049828-0.00069436i,7.7318e-05-1.7265e-05i,0.0022816+0.0032995i,-0.0068395-0.0071896i,-0.00055594+0.0037558i,-0.0011353+0.0014735i,0.001725-0.0010845i,0.004523-0.0039175i,-0.0012589-0.0025372i,0.00063814-0.0014651i,-0.0077059+0.0045803i,0.00042168-0.00038114i,-0.035398-0.0098861i,-0.063941-0.026026i,-0.056289+0.02742i,-0.047728-0.00362i,-0.07124+0.0071763i,-0.021917+0.0098737i,-0.02721+0.050661i,-0.018755+0.022737i,-0.036463-0.028812i,-0.054499-0.033369i,-0.026425+0.020178i,-0.0037412+0.00034374i,0.012921+0.019163i,0.0091067-0.00081152i,-0.0047319+0.00069618i,-0.027231+0.011365i,0.00094146+0.0038857i,0.0020674+0.0076305i,0.0030383-0.0024428i,0.01039+0.0045099i,-0.0016584+0.0055715i,0.0013631-0.0012301i,0.0013172-0.0066228i,0.0030216+0.0015528i,0.00095326+0.0016748i,-0.0072321+0.0073379i,-0.0027041-0.0017975i,0.0067548-0.0023431i,0.0071827+0.0065585i,0.0017273+0.00072901i,-0.013451-0.023263i,0.0091453-0.0077678i,0.0029899-0.0050095i,0.0045959+0.001128i,0.0013436-0.00053577i,0.0024383-0.010655i,0.0026356+0.0027311i,-0.0039768+0.0046529i,0.0023439+0.0041418i,0.0051548-0.003401i,0.0027643-0.010806i,-9.2187e-05-0.0027565i,0.0042583-0.0059177i,0.003235-0.0038842i,0.0014635-0.015114i,-0.070222+0.0028451i,-0.027488-0.0058225i,-0.0089916-0.0083427i,-0.0042482-0.0015847i,-0.0073278+0.026103i,-0.0094809+0.0056791i,-0.013005+0.0057977i
-0.023549+0.012305i,-0.026694+0.041447i,-0.013944+0.043894i,-0.0074585+0.020515i,0.003988-0.00051875i,0.015617+0.021728i,-0.0046386+0.031724i,-0.02327+0.042439i,-0.010991+0.023232i,-0.0048596-0.0020465i,-0.0011261-0.0015214i,0.00087574+0.0050851i,0.0038098+0.00013506i,0.0039239+0.0050718i,0.0038037+0.00075043i,0.0012709+0.0083562i,0.0051551+0.019294i,0.0014204+0.0012746i,-0.0015939-0.0058553i,-0.003824-0.0030256i,-0.0032007-0.0016524i,-0.00050652-0.0051776i,-0.0030517-0.0034689i,-0.0079734+0.0050651i,-0.0021713+0.0011989i,-0.00044533+0.0019147i,-0.001476+0.0013251i,0.00024973-0.00017557i,-0.0019065+0.0013073i,-0.0015297+8.957e-05i,0.0050688+0.0020723i,0.0013805-0.00084601i,0.0002647-0.00053582i,-0.0002766-0.00019747i,0.0028701+0.0025133i,-0.0095004-0.0056555i,0.00036305+0.0033904i,-0.00017421+0.0020246i,0.00058679-0.0008265i,0.0030362-0.0037681i,-0.0018182-0.0019882i,-6.6361e-07-0.0017869i,-0.0055191+0.0061954i,2.6154e-05+0.0015592i,-0.036876-0.0030543i,-0.059084-0.013142i,-0.052271+0.030221i,-0.048561+0.0079252i,-0.066818+0.023901i,-0.023332+0.0080032i,-0.016081+0.045829i,-0.012562+0.017632i,-0.039173-0.025399i,-0.058491-0.026111i,-0.018931+0.023662i,-0.0046741+0.0019082i,0.016512+0.0069654i,0.0082601-0.0044665i,-0.0058266+0.0047218i,-0.020623+0.022943i,0.0019967+0.0039041i,0.0061428+0.0048931i,0.0012122-0.00021419i,0.011817-0.00063048i,0.00069596+0.0067227i,0.00119+1.151e-05i,-0.0030725-0.0078941i,0.0013621+0.0042411i,0.0012699+0.003694i,-0.0019458+0.011307i,-0.0014227+0.00046024i,0.0054414-0.0037832i,0.0091592+0.001926i,0.0025093-0.00042996i,-0.020701-0.021773i,0.0048896-0.0095472i,0.00027532-0.0054424i,0.0041363-0.0012959i,0.0010554-6.5838e-06i,0.0013953-0.0086899i,0.0036482+0.00082105i,-0.00042484+0.0057125i,0.003789+0.001605i,0.0039643-0.004637i,-0.0041418-0.010315i,-0.00044615-0.0032602i,0.0011113-0.005701i,0.0019828-0.0051437i,-0.0055458-0.01325i,-0.06756+0.0094832i,-0.025847+0.0071178i,-0.012497-0.0084347i,-0.0064106-0.0020818i,-0.003862+0.025044i,-0.0082991+0.01001i,-0.0090638+0.0079276i
-0.022354+0.014441i,-0.020475+0.045797i,-0.0087452+0.046999i,-0.0041172+0.017342i,0.00043665-0.0028413i,0.019118+0.018311i,0.0010837+0.030159i,-0.018088+0.044688i,-0.0072129+0.023906i,-0.0052844-0.00067259i,-0.0016908+0.00045786i,0.0037018+0.0052812i,0.0032763+0.00015718i,0.004961+0.0027992i,0.003531+9.2668e-05i,0.004638+0.007508i,0.01238+0.015178i,0.0018272+0.00084199i,-0.0028579-0.0052064i,-0.0045737-0.0010559i,-0.0026927-0.00045281i,-0.0018897-0.0053185i,-0.0034692-0.0022379i,-0.0074661+0.0067654i,-0.0018712+0.0020877i,-0.00012716+0.0023752i,-0.0012611+0.0018819i,-0.00070598-0.0012241i,-0.0016471+0.0011652i,-0.0013252+0.00034231i,0.0053373+0.00016525i,0.001158-0.0009558i,0.00059074-0.00065484i,-0.00040818+0.00013452i,0.0038016+0.00072423i,-0.011623-0.0030097i,0.0013478+0.0032002i,0.00055537+0.001554i,-7.9265e-05-0.00086826i,0.0019208-0.0036564i,-0.0021045-0.0013219i,-0.00025593-0.001682i,-0.0037867+0.0062402i,0.00083951+0.0023125i,-0.036014+0.002926i,-0.055694-0.0079077i,-0.048108+0.035247i,-0.043615+0.017998i,-0.057021+0.037892i,-0.024287+0.011172i,-0.0079053+0.041917i,-0.010274+0.012286i,-0.041392-0.021738i,-0.061083-0.017435i,-0.012361+0.025101i,-0.0034822+0.0026287i,0.01041-0.0029362i,0.0049064-0.0082702i,-0.0042173+0.0078548i,-0.01024+0.027452i,0.0020372+0.0029865i,0.0077217-7.3866e-05i,0.0024248+0.00060195i,0.0099065-0.0041238i,0.0052474+0.0063971i,0.0015077+0.0017236i,-0.0072262-0.0028904i,0.00314+0.0060787i,0.0028729+0.0050338i,0.0041221+0.01104i,-0.00052779+0.00054256i,0.0041805-0.0050304i,0.0092569-0.0040565i,0.00069786-0.0015502i,-0.028955-0.014032i,0.0015129-0.0093984i,-0.0015988-0.0038233i,0.0044703-0.00055085i,0.001215-5.4356e-06i,0.001406-0.0096361i,0.0031406-0.00099977i,0.0019135+0.0038684i,0.0036098+0.00066365i,0.0030961-0.0042499i,-0.0074821-0.0055917i,-0.0021147-0.0034183i,-0.0020943-0.0048395i,-0.00044684-0.0060759i,-0.0093823-0.0088217i,-0.063519+0.017242i,-0.020918+0.0094562i,-0.01267-0.0063696i,-0.0081181-0.0012687i,0.00053463+0.022946i,-0.006829+0.011588i,-0.007095+0.0072773i
-0.020485+0.016424i,-0.012846+0.049101i,-0.0016572+0.049806i,-0.0032493+0.015673i,-0.0033977-0.0025537i,0.021696+0.014419i,0.0061782+0.027556i,-0.011819+0.047441i,-0.0033532+0.023522i,-0.0051856+0.00096404i,-0.00050568+0.0018543i,0.0066913+0.0031927i,0.0032523+0.00025766i,0.0045295+0.001362i,0.0035803-0.00019159i,0.0072417+0.0049903i,0.016582+0.0091475i,0.0022022-0.00023297i,-0.0040889-0.0045564i,-0.0041413+0.00099148i,-0.0019086+0.00020827i,-0.0032792-0.0044099i,-0.0034688-0.0012947i,-0.0046837+0.0084225i,-0.0013944+0.002988i,0.00097742+0.0024647i,-0.00061944+0.0023812i,-0.0024768-0.00083249i,-0.0015128+0.0016156i,-0.0011677+0.00061242i,0.0046088-0.0016581i,0.00094945-0.0016239i,0.00019786-0.00099545i,-0.00031301+0.00037375i,0.0031088-0.00094052i,-0.012585+0.00094154i,0.0021886+0.0026887i,0.00087793+0.0013194i,-0.0010758-0.00089659i,0.0014148-0.0033545i,-0.0019322-0.001007i,-0.00057284-0.0018128i,-0.0030819+0.0063487i,0.001719+0.0026598i,-0.034881+0.0074993i,-0.056469-0.0031858i,-0.042889+0.039777i,-0.038252+0.025082i,-0.043534+0.046426i,-0.024314+0.01467i,0.00023966+0.036938i,-0.0095061+0.010026i,-0.043117-0.016862i,-0.061821-0.007128i,-0.0064032+0.025477i,-0.002763+0.0029377i,0.0035817-0.0038037i,0.00020739-0.0099518i,-0.00081959+0.010729i,-0.00046605+0.026172i,0.001426+0.0022714i,0.0058951-0.0049359i,0.0019527+0.00036548i,0.0071595-0.0073665i,0.0084368+0.0034242i,0.0030312+0.0023908i,-0.006888+0.00061775i,0.0057131+0.0067327i,0.0053508+0.0057154i,0.0094776+0.0079248i,-8.6588e-05+0.00098774i,0.0033127-0.0060959i,0.0058442-0.0082982i,-2.8208e-05+0.00016451i,-0.033188-0.0023986i,-0.00062598-0.008538i,-0.0022616-0.0019889i,0.0053005-0.0012683i,0.0014086-2.5628e-05i,-0.00042479-0.01162i,0.0017763-0.0018366i,0.0033651+0.0029319i,0.0037965-0.00056792i,0.0035976-0.0046938i,-0.0087357-0.0024261i,-0.0040389-0.0014308i,-0.004575-0.002731i,-0.0023067-0.0065543i,-0.010848-0.004502i,-0.058927+0.023828i,-0.019605+0.011027i,-0.01222-0.0073854i,-0.0092342+0.00080861i,0.0018236+0.021146i,-0.0061496+0.012171i,-0.0053025+0.0068453i
-0.01811+0.018511i,-0.0037201+0.050589i,0.0078668+0.051158i,-0.0028145+0.015657i,-0.0053571+0.00043413i,0.02378+0.01033i,0.010149+0.023755i,-0.0036237+0.049046i,8.6721e-05+0.022797i,-0.0047305+0.0023772i,0.00076306+0.0015376i,0.0071753-0.00059672i,0.0037499-8.0227e-05i,0.0044368+0.000526i,0.003744-0.0008475i,0.0074861+0.0018621i,0.017504+0.002745i,0.0010317-0.0013435i,-0.0055716-0.002917i,-0.0027342+0.0021449i,-0.00097127+3.2514e-05i,-0.0039471-0.0036514i,-0.0034502-0.00039438i,-0.001463+0.0086346i,-0.00011027+0.0034258i,0.0018152+0.0017692i,0.00027859+0.0025847i,-0.0032152+0.00086374i,-0.00082984+0.0017328i,-0.00090156+0.0007444i,0.0033834-0.0030298i,0.00013923-0.0019146i,-0.00030341-0.00096636i,-0.00020132+0.00025159i,0.0019074-0.0017993i,-0.011715+0.0050662i,0.0027426+0.0018779i,0.0011542+0.00086683i,-0.0018584-0.00010351i,0.00089809-0.0032801i,-0.0023086-0.0007795i,-0.00094178-0.0016977i,-0.0023974+0.006914i,0.002765+0.0025384i,-0.033932+0.012715i,-0.059106+0.0050731i,-0.036308+0.043048i,-0.030483+0.030289i,-0.030219+0.051482i,-0.023084+0.020988i,0.0070463+0.029622i,-0.0052923+0.0078891i,-0.043584-0.011221i,-0.058794+0.0036116i,-0.0011475+0.025127i,-0.0025022+0.002701i,-0.00038924-0.0029535i,-0.0051887-0.00951i,0.0048395+0.010424i,0.0056176+0.02245i,-0.0003084+0.0021471i,0.0030061-0.0081091i,0.0030511+0.0018857i,0.0027968-0.0089004i,0.0094975-0.0018051i,0.0048564+0.0018786i,-0.0065626+0.0042485i,0.0097384+0.0060317i,0.0092896+0.0034015i,0.012119+0.0023455i,0.0009026+0.0015092i,0.0014851-0.0070288i,-0.00039511-0.0094245i,0.0013952+0.0015844i,-0.032888+0.010332i,-0.0024768-0.0079071i,-0.001779-0.00023746i,0.0058312-0.0050229i,0.0019764-4.7413e-05i,-0.0053153-0.01254i,0.00069197-0.0014551i,0.0043716+0.0010729i,0.0034503-0.0015644i,0.0027407-0.0055776i,-0.0086732+0.0020304i,-0.0036833+0.0011432i,-0.0052765+8.3693e-05i,-0.0049365-0.0067731i,-0.010675-0.00073851i,-0.054848+0.029776i,-0.018482+0.016273i,-0.014572-0.0099923i,-0.0066059+0.0033941i,0.0041463+0.020515i,-0.0061603+0.014859i,-0.0032637+0.0046409i
-0.015199+0.019739i,0.0052958+0.049443i,0.018265+0.048945i,-0.0015357+0.016359i,-0.0046877+0.0037593i,0.025589+0.0059114i,0.012696+0.019753i,0.0051649+0.048041i,0.0032601+0.021683i,-0.0040533+0.0037466i,0.000931+0.0011516i,0.005378-0.0032027i,0.003844-0.0013435i,0.0038957-0.00030333i,0.0034775-0.0016287i,0.0061619+2.9257e-05i,0.016094-0.0024984i,0.00013026-0.0010535i,-0.0057629-0.00084469i,-0.0013157+0.002518i,-0.00026755-0.00039141i,-0.0044164-0.0028521i,-0.0029757+0.00036313i,0.0011472+0.0083712i,0.001306+0.0029393i,0.0021152+0.0011292i,0.0012091+0.002225i,-0.0025552+0.0024376i,-0.0002473+0.0014568i,-0.00078546+0.00090823i,0.0017354-0.0036175i,-0.00074797-0.0017269i,-0.00052385-0.00076508i,-0.00034605+0.00025427i,0.00082937-0.0021731i,-0.009291+0.0084451i,0.0030415+0.00084039i,0.0011331+0.00032149i,-0.0018133+0.0012166i,0.00028474-0.0034145i,-0.0025159-3.4768e-05i,-0.0013112-0.0017467i,-0.0011254+0.0080604i,0.0036115+0.0018183i,-0.031186+0.017664i,-0.058102+0.016916i,-0.031441+0.045194i,-0.02319+0.032655i,-0.015803+0.053487i,-0.017233+0.028374i,0.010082+0.02099i,-0.0031413+0.0015969i,-0.041232-0.0060263i,-0.05233+0.013826i,0.0052844+0.023306i,-0.0025095+0.003159i,-0.0040168-0.00068055i,-0.0091981-0.006621i,0.0087269+0.006565i,0.010082+0.018908i,-0.0025215+0.0037973i,-0.00114-0.010909i,0.0053843+0.00047539i,-0.0014886-0.0079754i,0.0069385-0.0056226i,0.0061856-0.00049603i,-0.0048355+0.0069737i,0.013183+0.0012031i,0.010481-0.0020256i,0.010797-0.0043192i,0.0026342+0.0010598i,-0.0010315-0.0070208i,-0.0041947-0.0058692i,0.0033501+0.00059757i,-0.02663+0.024324i,-0.0044827-0.0065761i,-0.00044331+0.00074976i,0.0021445-0.0069993i,0.0024615-0.00043918i,-0.010651-0.0098005i,0.00071115-0.00056051i,0.0043473-0.0013111i,0.0025388-0.0024627i,0.0013158-0.005829i,-0.0059896+0.0059031i,-0.0021274+0.0027742i,-0.0045836+0.0033243i,-0.0083224-0.0057109i,-0.0097404+0.0018444i,-0.048714+0.03747i,-0.010875+0.020521i,-0.019792-0.0092569i,-0.0036259+0.0025322i,0.0056469+0.019407i,-0.0034515+0.018152i,-0.0031167+0.0015663i
