-0.0087978-0.039093i,-0.013526-0.042925i,0.00032572-0.046407i,-0.027054-0.026924i,-0.020278+0.014374i,-0.032872-0.031019i,-0.06061-0.059751i,-0.023679-0.07245i,-0.022974-0.057327i,0.0013437+0.013985i,-0.0072432+0.010165i,-0.014982+0.013352i,0.002698+0.016498i,-0.0036795-0.0035174i,0.0007027+0.0061088i,0.0012307+0.036827i,0.015019+0.060958i,0.00093629-0.00031454i,-0.0051336-0.008034i,0.0086721+0.0035001i,0.001547+0.00086067i,-0.0010969+0.0035086i,1.9173e-05-0.0014582i,-0.034445-0.0082647i,-0.0021668-0.0072899i,-0.00017665+0.004344i,0.0072532-4.7222e-05i,6.7985e-05+0.00072229i,5.4484e-05-0.0012248i,-0.00038781-0.0025195i,-0.0011588-0.0055803i,-0.0024364-0.0041582i,-0.00070288-0.0075521i,0.0034535-0.00093719i,0.0029097-0.0026073i,-0.0028288+0.032872i,0.0060692-0.0047193i,0.0035965-0.001979i,0.0046783-0.00013209i,-0.011726+0.0030345i,-0.00034641+0.00021136i,0.014978-0.0015297i,0.0059676-0.00024804i,-0.0026697+0.0039391i,0.0031698+0.0017884i,-0.0031481+0.0073913i,0.014386-0.086773i,-0.0061367-0.049399i,-0.025284-0.039642i,-0.020246-0.041699i,0.06202-0.018836i,0.026943-0.061146i,0.038022-0.045376i,0.029008-0.058049i,0.018902-0.015042i,0.0090076+0.0099499i,0.024118-0.031768i,-0.0089801-0.0049171i,0.0023117-0.0027912i,-0.0050585-0.0060867i,0.0016491-0.032181i,-0.023436+0.030492i,0.0074265-0.010158i,-0.010587-0.0014412i,-0.0053038-0.00098295i,-0.0016652-0.013647i,-0.0099364+0.0038781i,0.0042883+0.0083945i,-0.0086048+0.030793i,0.0058991+0.0075896i,-0.0044885-0.001287i,-0.0019069-0.0020293i,-0.012408-0.0082699i,0.00074883-0.0038047i,-0.028095+0.0027349i,0.0023748-0.013059i,-0.0092712-0.0016046i,-0.0060562-0.0030273i,0.0063021+0.0015042i,-0.009278+0.0012531i,0.0014521+0.00053722i,0.0060512+0.0087949i,0.0043823+0.00068592i,-0.0095099-0.0082145i,0.0021841+0.008804i,-0.019174+0.0069174i,0.006591+0.0030878i,-0.029412-0.00796i,-0.033568+0.0020117i,0.026463-0.079759i,0.012716-0.010734i,-0.043052-0.026437i,-0.022522-0.0037123i,0.018256+0.012372i,-0.026484+0.012641i,-0.011201-0.007964i
-0.033012+0.0017329i,-0.046739+0.017543i,-0.050353+0.0434i,-0.027551+0.0065061i,-0.0051038+0.014153i,-0.0079675+0.030989i,-0.029175+0.018125i,-0.056133+0.023045i,-0.020986+0.022933i,0.002705-0.0090967i,0.00184-0.0014216i,0.0036144+0.00020882i,0.0038247+0.0089436i,-0.0038565+0.0017478i,0.0015447+0.0022945i,0.0007403-0.0091416i,-0.011319-0.0073361i,-0.0040766+0.00091483i,0.0040334-0.0024984i,0.0012297-0.0016121i,0.0023398-0.0043067i,0.0019096-0.0040871i,0.0020329-0.0034744i,-0.010356-0.010891i,-0.0026424-0.00040844i,-0.004005-0.00026152i,-0.0035063-0.0010342i,-0.004758-0.0017327i,-0.001083-0.0024692i,0.0011811-0.0018201i,-0.0036007+0.0044345i,0.0012947+0.0018473i,0.0015491+0.0018785i,0.0016533+0.00048973i,-0.0017129+0.0030675i,-0.0032478-0.0079815i,-0.0029457+0.0013611i,0.0013336+4.8856e-05i,-0.00027855+0.0035096i,0.011252+0.0061552i,0.0015885-0.0018625i,0.00092236-0.00031325i,-0.0045036-0.0046669i,0.0020633+0.0037443i,-0.018548-0.015496i,-0.0014031-0.062779i,-0.081597-0.010614i,-0.023301-0.021057i,-0.048182-0.040448i,-0.043678-0.0060045i,-0.093498+0.014302i,-0.062128+0.0015341i,-0.036948-0.028822i,-0.030598-0.054204i,-0.029535-0.019416i,-0.00076917+0.0019545i,-0.024917+0.014383i,0.0049959+0.017927i,0.003662+0.007376i,-0.00085495-0.0075837i,0.0085453+0.0036449i,-0.011297-0.0039786i,0.0028793+0.010433i,-0.0024507+0.0079802i,-0.0010376-0.0022449i,0.00556+0.0026068i,0.0034695-0.0009366i,-0.0043605+0.019497i,0.00016541+0.013405i,0.0013574-0.00455i,0.009213-0.0067758i,0.0033987+0.0037343i,-0.0078673-0.0064998i,-0.0021817-0.0016475i,0.024998-0.03261i,0.0084076+0.0085922i,0.0036456+0.0032682i,-0.0015443+0.0026623i,0.0032067-0.004059i,0.021032+0.0010576i,0.0011618-0.0018625i,-0.00053027-0.0071643i,0.0011259-0.0027359i,0.011871+0.002376i,0.0049489+0.00025157i,0.0028764-0.0064604i,0.0038016+0.0071877i,0.0040222+0.0030065i,0.017441+0.00099558i,-0.065784-0.042417i,-0.0095007+0.0098622i,-0.0063162-0.0050369i,-0.0061959+0.0030212i,-0.032971+0.01118i,-0.0058877+0.0079824i,-0.013736+0.0053953i
-0.030761+0.0055095i,-0.043116+0.022131i,-0.035943+0.046366i,-0.025502+0.01192i,-0.0037+0.011701i,-0.0025242+0.03098i,-0.02688+0.022571i,-0.049367+0.030259i,-0.015226+0.018625i,0.00015562-0.0086726i,0.0012666-0.00089015i,0.0034368-0.0014712i,0.0061298+0.0059039i,-0.0019682+0.0034775i,0.0018869+0.0024007i,-0.0043988-0.0062526i,-0.015744-0.0009385i,-0.0032626+0.002456i,0.0041114-0.0028977i,0.0010882-0.0022267i,0.0013124-0.0041408i,0.001669-0.0031113i,0.0015288-0.0035646i,-0.01188-0.0065222i,-0.0022364-6.8032e-05i,-0.0040579+0.0013158i,-0.0032774+0.00045818i,-0.0043901-0.00021341i,-0.002015-0.0024083i,0.00075279-0.0016008i,-0.0020971+0.0057065i,0.0014622+0.0014342i,0.0028497+0.0013326i,0.00035408+0.00024578i,-0.0022203+0.0026519i,-0.0035386-0.0070913i,-0.002486+0.0021201i,-0.00015594-0.00072204i,-0.00027764+0.0043349i,0.011212-8.6342e-05i,0.0013551-0.0031162i,4.7782e-05-0.00082611i,-0.0064131-0.003379i,0.0032456+0.003365i,-0.019903-0.017574i,-0.020353-0.068685i,-0.078781+0.0034899i,-0.030459-0.022514i,-0.059706-0.033128i,-0.040998+0.0037013i,-0.082008+0.034241i,-0.059524+0.01481i,-0.029029-0.028619i,-0.036877-0.049976i,-0.040189-0.022164i,-0.0010377+7.8543e-05i,-0.016798+0.023744i,0.0091732+0.01301i,0.0061229+0.0028189i,-0.0064209-0.013047i,0.0044748+0.0028496i,-0.010657+0.0031316i,0.0068867+0.0082586i,0.00040469+0.010061i,-0.0016541-0.0017443i,0.007+0.0029344i,0.0034628-0.00069163i,0.0050025+0.015813i,0.0060617+0.0082798i,-0.0033497-0.0056553i,0.0031999-0.0076444i,0.0043503+0.0040159i,-0.011054+0.00071787i,-0.0020381+0.00098646i,0.0111-0.036223i,0.011286+0.0067319i,0.0060687+0.0014527i,0.0014571+0.0016588i,0.00011882-0.0020719i,0.017398-0.0075531i,-0.00047234-0.0022028i,-0.0048618-0.0056099i,-0.0020181-0.0020423i,0.011058-0.00085534i,0.0048356+0.00033268i,0.00076278-0.0038483i,0.0062179+0.006008i,0.0039052+0.0025572i,0.015449-0.0044192i,-0.071986-0.033637i,-0.00293-0.00090071i,-0.0073308-0.0039673i,-0.0059509+0.0021832i,-0.026745+0.01889i,-0.0036658+0.0090899i,-0.011392+0.00018485i
-0.027611+0.0082361i,-0.040569+0.027059i,-0.02732+0.04478i,-0.022651+0.014566i,-0.0011606+0.011519i,0.00284+0.02978i,-0.022977+0.027171i,-0.041856+0.035168i,-0.015387+0.015315i,-0.0040493-0.0079537i,0.0016837-0.00048851i,-0.00028219-0.0024665i,0.0062966+0.0032978i,-0.0012937+0.0037897i,0.0026455+0.0024584i,-0.00746-0.00097206i,-0.015628+0.0073243i,-0.0010663+0.0035746i,0.0041173-0.0047878i,0.0010777-0.0030606i,-0.00024484-0.0046288i,0.0019761-0.0041015i,0.0010562-0.0040893i,-0.012777-0.0029767i,-0.0025001+0.00047356i,-0.002869+0.0029919i,-0.0024976+0.0010476i,-0.003031+0.0016142i,-0.0027275-0.0018346i,0.00019736-0.0024863i,3.3273e-05+0.0061484i,0.0016621+0.00090257i,0.0022116-0.0002942i,0.00059241+0.00021741i,-0.0015222+0.0044743i,-0.0037677-0.0066065i,-0.002899+0.0025131i,-0.00095423-0.00040621i,0.0040124+0.0037742i,0.0083133-0.0035746i,-0.0033032-0.0068128i,0.00026101+6.1276e-05i,-0.0082832-0.00174i,0.0042475+0.0014703i,-0.02347-0.01833i,-0.042224-0.064232i,-0.071693+0.013777i,-0.037617-0.018714i,-0.066356-0.02063i,-0.03404+0.01006i,-0.062699+0.048211i,-0.04518+0.02731i,-0.031553-0.032975i,-0.042468-0.046554i,-0.045287-0.00026797i,-0.0017881-0.00052569i,-0.0061405+0.025776i,0.010882+0.0078279i,0.003411-0.0014412i,-0.018701-0.01193i,0.0037423+0.0020298i,-0.0071363+0.0071729i,0.0091242+0.0038604i,0.0041683+0.0088761i,-0.0038398+0.00019392i,0.007522-0.0015041i,0.0039481-0.0022982i,0.0085109+0.0091064i,0.0058371+0.0036181i,-0.0082344-0.0022223i,0.00072244-0.0055972i,0.0069334+0.0028171i,-0.0065714+0.0089992i,-0.00037553+0.002465i,-0.0025883-0.032917i,0.014345+0.0013007i,0.0067251-0.0010837i,0.00021841+0.00073745i,0.00084837-0.00015011i,0.011363-0.011561i,-0.0029097+0.00083557i,-0.006269-0.0024453i,-0.0032144+0.0019282i,0.0079108-0.0034832i,0.0080087-0.0018106i,0.0013348-0.0034786i,0.0095955+0.0026272i,0.0058081+0.0012106i,0.012064-0.0089685i,-0.07669-0.020518i,-0.0067276-0.011828i,-0.00583-0.0040477i,-0.0062779+0.001833i,-0.02201+0.023135i,-0.0022701+0.0038882i,-0.010819+0.0035936i
-0.02455+0.0092842i,-0.036566+0.032781i,-0.020741+0.04413i,-0.019377+0.018057i,0.0027247+0.0086762i,0.007776+0.027495i,-0.01754+0.030726i,-0.034558+0.037402i,-0.016875+0.016523i,-0.0056278-0.0049829i,0.0018766-0.0017282i,-0.0024781+0.00094218i,0.0052955+0.0014851i,-0.0013087+0.0052201i,0.0031501+0.0017592i,-0.0061776+0.0052728i,-0.01096+0.014378i,0.00079794+0.0025363i,0.0018624-0.0062163i,-0.00037342-0.0041199i,-0.0017486-0.0041223i,0.0013012-0.0047573i,-5.7822e-05-0.0051354i,-0.012533+0.0013161i,-0.0019678+0.00086791i,-0.00081716+0.0029213i,-0.0021509+0.0011371i,-0.0011182+0.0016752i,-0.0033596-0.00060544i,-0.0014802-0.0022372i,0.0018819+0.0055367i,0.0015403+0.00052093i,0.0018607-0.00096736i,0.00049691+0.00012649i,0.0014052+0.0045609i,-0.0048597-0.007198i,-0.0019017+0.0038232i,-0.001405+0.00020945i,0.0038455-0.00024308i,0.0056548-0.0048062i,-0.0010465-0.0024728i,0.0011239-8.8569e-05i,-0.0092153+0.0029144i,0.002349-0.0012942i,-0.029047-0.017068i,-0.059422-0.048816i,-0.063558+0.020003i,-0.043292-0.012422i,-0.069555-0.0073167i,-0.026276+0.011752i,-0.044063+0.051873i,-0.029418+0.026636i,-0.035735-0.03017i,-0.049376-0.040366i,-0.038906+0.013058i,-0.00326-0.00059339i,0.0027013+0.024421i,0.010761+0.0037164i,-0.0011054-0.0018118i,-0.027496+0.0014594i,0.0010437+0.0029431i,-0.0024367+0.007976i,0.0073977-0.0010496i,0.0072153+0.0079107i,-0.0035087+0.0030455i,0.0036831-0.0027009i,0.0033173-0.0050085i,0.0078317+0.0025016i,0.0033799+0.0012225i,-0.0083892+0.0024341i,-0.0010406-0.0044361i,0.0074664+0.00012995i,0.0022466+0.011312i,0.0011541+0.0016628i,-0.0089868-0.025927i,0.01266-0.0040256i,0.0054107-0.003734i,0.0011223+0.0017936i,0.001682-0.00067259i,0.0063006-0.011935i,-7.4194e-06+0.0034509i,-0.0062137+0.00062978i,-0.00055225+0.0041017i,0.0058797-0.0032908i,0.007-0.0067728i,-5.9493e-05-0.0032514i,0.0091934-0.0034582i,0.0054719-0.0018934i,0.007773-0.012261i,-0.073804-0.0064881i,-0.018031-0.014173i,-0.006248-0.007049i,-0.0060976+0.0016775i,-0.013809+0.026094i,-0.0064336+0.0029702i,-0.013015+0.0032276i
-0.023048+0.0099838i,-0.031862+0.037311i,-0.016429+0.043i,-0.013761+0.02079i,0.0046267+0.0043822i,0.011261+0.024677i,-0.011226+0.032365i,-0.029006+0.039497i,-0.015126+0.020062i,-0.0059915-0.0023344i,0.00079836-0.002122i,-0.0013814+0.0038775i,0.0045339+0.00036531i,0.0011671+0.0067095i,0.0036398+0.0013707i,-0.0019548+0.008388i,-0.003911+0.017778i,0.0011715+0.0014565i,6.0842e-05-0.0059261i,-0.0022824-0.0039545i,-0.00289-0.0032795i,0.00021456-0.0050152i,-0.002297-0.005061i,-0.0094344+0.0042476i,-0.0021837+0.00069241i,-0.00031517+0.0018774i,-0.0018153+0.0017314i,-0.00026333+0.00086858i,-0.0031907+0.00086385i,-0.0017624-0.00080633i,0.0032732+0.0040875i,0.0014576+3.2835e-05i,0.0016068-0.00086251i,0.00022804-1.468e-05i,0.0024664+0.0031007i,-0.0072402-0.0070378i,-0.00085549+0.0040532i,-0.0013483+0.0013604i,0.0016728-0.0012573i,0.0035426-0.0046461i,-0.001255-0.0025874i,0.0013645-0.00064617i,0.037903+0.064941i,4.1135e-05-5.5496e-05i,-0.033717-0.012072i,-0.063474-0.028926i,-0.057466+0.023333i,-0.047421-0.0042876i,-0.06918+0.0062585i,-0.021785+0.0089046i,-0.027757+0.050772i,-0.019819+0.022785i,-0.038046-0.027254i,-0.053536-0.033541i,-0.02924+0.023703i,-0.0041591+0.00027012i,0.012479+0.019134i,0.0095867-6.2737e-06i,-0.0045257+0.00056182i,-0.027023+0.014189i,0.0010401+0.0048387i,0.0013996+0.0081463i,0.0031602-0.0022849i,0.01018+0.0055574i,-0.002608+0.0048658i,0.0017257-0.001318i,0.00089048-0.007246i,0.0032007+0.0012938i,0.0010999+0.0022374i,-0.0080516+0.0078446i,-0.0025815-0.0020878i,0.0067949-0.0027307i,0.0067303+0.007189i,0.0016531+0.00072432i,-0.012881-0.023937i,0.0095331-0.0077242i,0.0032948-0.0048803i,0.0042312+0.0021815i,0.0015224-0.00083467i,0.0032763-0.011147i,0.0025296+0.0027383i,-0.0042992+0.0040172i,0.002183+0.0038398i,0.0056415-0.0033584i,0.0032886-0.011334i,-2.1725e-06-0.0024734i,0.0056064-0.0070474i,0.0032902-0.0036723i,0.0016006-0.014596i,-0.068409+0.0010702i,-0.028403-0.0072167i,-0.008951-0.0081826i,-0.0058188+0.00078901i,-0.0090403+0.025607i,-0.0094341+0.005659i,-0.013978+0.0067981i
-0.021895+0.011197i,-0.026591+0.041979i,-0.01338+0.043806i,-0.006998+0.020867i,0.0034688-0.00045159i,0.014924+0.022309i,-0.0046036+0.031853i,-0.023687+0.04194i,-0.011896+0.021256i,-0.0062988-0.0012127i,-0.00090257-0.0017486i,0.00086219+0.0056138i,0.0037112+9.297e-05i,0.003777+0.0054835i,0.003745+0.00064846i,0.0021424+0.0088668i,0.0046134+0.01795i,0.0013985+0.0010621i,-0.0015802-0.0057536i,-0.0036609-0.0029559i,-0.0032475-0.0017047i,-0.00054421-0.0053626i,-0.0035634-0.0034188i,-0.0074743+0.0041025i,-0.0026072+0.0017748i,-0.00028376+0.0017397i,-0.0026664+0.00050193i,8.4966e-05-0.00023339i,-0.0019137+0.0015873i,-0.0015947-0.00032004i,0.0046679+0.0027729i,0.0011571-0.00048552i,0.0004811-0.00044863i,-0.00019133-0.00030377i,0.0029209+0.0024442i,-0.0094041-0.0054001i,0.00022007+0.0036518i,-0.00032566+0.0022089i,0.00065671-0.0012703i,0.0018679-0.0041404i,-0.0020567-0.0022372i,0.00092655-0.0013477i,-0.0078289+0.0055308i,-6.4316e-05+0.0017836i,-0.036556-0.0052354i,-0.058851-0.015951i,-0.053465+0.026785i,-0.047958+0.0070759i,-0.06575+0.021603i,-0.023451+0.006789i,-0.016206+0.045339i,-0.012914+0.018348i,-0.039417-0.023013i,-0.057018-0.026561i,-0.018819+0.026655i,-0.0050791+0.001901i,0.016231+0.0070673i,0.0090258-0.0042123i,-0.0058126+0.004686i,-0.019773+0.025504i,0.0031458+0.004951i,0.0051118+0.0055251i,0.0010073-0.00026147i,0.012197+0.00018986i,-0.0010298+0.0085345i,0.0012312-0.00028129i,-0.0032617-0.0079167i,0.0017371+0.0036584i,0.001466+0.0043102i,-0.0037461+0.014082i,-0.0012479+0.00018678i,0.0053668-0.0040026i,0.0084485+0.002179i,0.0023394-0.00059305i,-0.020913-0.022512i,0.0054413-0.0095684i,0.00075216-0.0056391i,0.0052458-0.0017186i,0.00097368-0.00020465i,0.0017237-0.0092115i,0.0036336+0.00072466i,-0.0012615+0.0052591i,0.0034306+0.0015862i,0.0042811-0.0045242i,-0.0037631-0.011443i,-0.00030483-0.003031i,-0.00017334-0.008836i,0.0022664-0.0052426i,-0.0050473-0.012864i,-0.066061+0.0079822i,-0.026997+0.00709i,-0.012294-0.0084256i,-0.0068405+0.00059215i,-0.0053422+0.0265i,-0.0082203+0.010245i,-0.0088805+0.0091283i
-0.020764+0.012818i,-0.019962+0.046154i,-0.0084861+0.04656i,-0.0041402+0.019084i,-0.00026374-0.0027594i,0.018625+0.018938i,0.0010905+0.030295i,-0.017853+0.044306i,-0.0085113+0.023044i,-0.0072479-0.00016011i,-0.0015819+7.4331e-05i,0.0044166+0.0056182i,0.0030723+0.00020785i,0.0050405+0.0032669i,0.0034259+9.8073e-05i,0.0055619+0.0076397i,0.011465+0.014626i,0.0016519+0.00075745i,-0.002657-0.0052254i,-0.0043817-0.0012726i,-0.0026122-0.0005145i,-0.0019811-0.0056229i,-0.003796-0.0020674i,-0.0072827+0.0053563i,-0.0019522+0.0027468i,2.6008e-05+0.0021844i,-0.0015024+0.0017351i,-0.0010673-0.00096844i,-0.0014607+0.001496i,-0.0015298-0.00015559i,0.0054548+0.0010519i,0.0010983-0.00068719i,0.00019678-0.00039313i,-0.00034827-1.3271e-05i,0.0040736+0.00058132i,-0.011289-0.0027838i,0.0013956+0.0038098i,0.00068561+0.0015507i,3.6749e-05-0.001266i,0.00093041-0.0035325i,-0.0022176-0.001229i,0.00060767-0.0015595i,-0.004843+0.0070309i,0.00060139+0.0022141i,-0.036246+0.0010865i,-0.055634-0.010434i,-0.050216+0.031826i,-0.042719+0.01657i,-0.057237+0.035748i,-0.024703+0.0098075i,-0.0076732+0.041514i,-0.0097291+0.012956i,-0.040055-0.019294i,-0.059412-0.017997i,-0.010595+0.027898i,-0.0038709+0.0024956i,0.010298-0.002834i,0.0057498-0.0086904i,-0.0042373+0.0077657i,-0.0080861+0.029946i,0.0033644+0.0033881i,0.0071054+0.0016235i,0.0021575+0.00080585i,0.010528-0.0034922i,0.0064044+0.0064719i,0.0013948+0.0017311i,-0.0075675-0.0029257i,0.003106+0.0055961i,0.0028924+0.0054164i,0.00042407+0.016641i,-0.00037357+0.00037714i,0.0043095-0.0052933i,0.0072749-0.0041082i,0.00063492-0.0013417i,-0.028538-0.013888i,0.0019651-0.0096846i,-0.0016324-0.0040923i,0.0064708-0.001652i,0.00091636-0.00038548i,0.0017081-0.010042i,0.0032154-0.0010794i,0.001659+0.0042347i,0.0034335+0.00078368i,0.003276-0.0041468i,-0.0079539-0.0066561i,-0.0020501-0.0033212i,-0.0028827-0.0035278i,-0.000115-0.0065176i,-0.0088375-0.009052i,-0.061915+0.015801i,-0.021645+0.0092171i,-0.012114-0.0067222i,-0.0069697+0.0010715i,0.00074674+0.025564i,-0.0069183+0.01125i,-0.0065451+0.0078326i
-0.019396+0.014298i,-0.012056+0.048875i,-0.0015099+0.04877i,-0.003791+0.016796i,-0.0041732-0.0022388i,0.021371+0.01505i,0.0061868+0.027677i,-0.010982+0.046635i,-0.0044322+0.023583i,-0.0074234+0.0011781i,-0.00052798+0.0015289i,0.0073891+0.0028136i,0.0030243+0.00042468i,0.0047461+0.0016484i,0.0034387-9.914e-05i,0.0080827+0.0048737i,0.015299+0.0091261i,0.0021558-0.00021756i,-0.0038451-0.004782i,-0.0041289+0.00056595i,-0.0018135+0.00015522i,-0.0033987-0.0044172i,-0.0037061-0.0010871i,-0.0054809+0.0071013i,-0.0011277+0.0038318i,0.00097821+0.002271i,-0.00091893+0.0023108i,-0.0027416-0.00056122i,-0.0011802+0.0017821i,-0.0015614+0.00036204i,0.0051807-0.0011141i,0.00090905-0.0012726i,4.9755e-05-0.00088019i,-0.00028202+0.00020407i,0.0032184-0.0011976i,-0.01221+0.00079913i,0.0028133+0.0031054i,0.00075203+0.0010783i,-0.00107-0.0013256i,0.00063026-0.0028515i,-0.0017494-0.00083584i,0.00024419-0.0018143i,-0.0029509+0.0074933i,0.001326+0.0026663i,-0.035418+0.0059053i,-0.056571-0.0060044i,-0.045903+0.037464i,-0.037627+0.022945i,-0.044083+0.044671i,-0.025372+0.013263i,0.00096729+0.035704i,-0.0085175+0.010185i,-0.040389-0.015535i,-0.060194-0.0087084i,-0.0032335+0.026977i,-0.0032914+0.0029876i,0.0037711-0.003659i,0.00054015-0.010633i,-0.0009079+0.010672i,0.003745+0.027966i,0.00226+0.001981i,0.0064552-0.0035491i,0.0019556+0.00057873i,0.0077757-0.0071981i,0.008705+0.003296i,0.0030814+0.0022736i,-0.007289+0.00064695i,0.005315+0.0065413i,0.005426+0.0061799i,0.0064411+0.011206i,1.9442e-05+0.00088496i,0.0034274-0.0060827i,0.02053-0.022239i,3.4416e-05+0.00015323i,-0.031415-0.002369i,-0.0003705-0.0090479i,-0.0023023-0.0020536i,0.0059864-0.004081i,0.00088963-0.00012586i,7.5672e-05-0.012118i,0.00209-0.0019153i,0.0033631+0.0030237i,0.0040633-0.00053989i,0.0036202-0.004678i,-0.0091338-0.0029823i,-0.0041788-0.0013357i,-0.002673-0.0012311i,-0.0022527-0.0068288i,-0.010776-0.0049478i,-0.057117+0.021744i,-0.020371+0.011152i,-0.012094-0.0081061i,-0.0071802+0.0017517i,0.0028398+0.023155i,-0.0068026+0.012081i,-0.0050504+0.0068273i
-0.017669+0.016086i,-0.0030346+0.049741i,0.0072249+0.049103i,-0.0032729+0.015813i,-0.0061168+0.00091351i,0.023597+0.010997i,0.01033+0.023664i,-0.0026844+0.047145i,-0.00036482+0.023311i,-0.0071648+0.0030605i,0.00052829+0.0013039i,0.0072691-0.0012817i,0.0036501+0.00014822i,0.0046922+0.00070872i,0.0036483-0.00063897i,0.0081295+0.0012448i,0.016628+0.0032947i,0.0010203-0.0013037i,-0.0055346-0.0033228i,-0.0029203+0.0014981i,-0.00087572+0.00012484i,-0.0038341-0.0035125i,-0.0035384-9.4156e-05i,-0.0025791+0.0076694i,0.00056804+0.0041932i,0.0016379+0.0015223i,3.3694e-05+0.0026274i,-0.0033693+0.0011793i,-0.00045183+0.0018231i,-0.0012418+0.0006808i,0.0040272-0.0028675i,-8.1673e-06-0.0015548i,-0.00080994-0.0010656i,-0.00030486+0.00010157i,0.0017441-0.0019298i,-0.011086+0.0044418i,0.0035799+0.0019895i,0.0010059+0.00073542i,-0.0020666-0.00039776i,0.00039285-0.002764i,-0.0020642-0.00074773i,-8.8496e-05-0.0020951i,-0.0018229+0.0077942i,0.0023917+0.0026511i,-0.034553+0.011439i,-0.059795+0.0019915i,-0.039312+0.042299i,-0.030338+0.027639i,-0.031189+0.049579i,-0.024618+0.020294i,0.0077502+0.028199i,-0.0041561+0.0076078i,-0.040378-0.011226i,-0.058157+0.0016701i,0.0008356+0.024631i,-0.0036781+0.0027401i,-8.1134e-05-0.0032606i,-0.0051595-0.0099868i,0.0047653+0.010389i,0.010299+0.017589i,0.00025997+0.0015859i,0.003947-0.0074935i,0.0030391+0.0017822i,0.0031596-0.0089304i,0.0096087-0.0015418i,0.0046083+0.0015706i,-0.0070918+0.0043579i,0.0093595+0.0061222i,0.0092184+0.0036643i,0.012153+0.0036783i,0.00098445+0.0014544i,0.0015274-0.0069082i,-0.00021454-0.0088053i,0.001433+0.0016912i,-0.031341+0.0084283i,-0.0024863-0.0086305i,-0.0017772-0.00031174i,0.0040407-0.0064042i,0.0013885+0.00022241i,-0.0052317-0.013655i,0.00089664-0.0017413i,0.0042359+0.0012828i,0.0038974-0.0016142i,0.0026914-0.005911i,-0.0090651+0.001822i,-0.0040647+0.0012196i,-0.00417-0.00082005i,-0.0049242-0.0067105i,-0.010825-0.0012461i,-0.053656+0.02715i,-0.018977+0.016468i,-0.015057-0.011019i,-0.0049136+0.0024804i,0.004715+0.02131i,-0.0067288+0.015228i,-0.0032416+0.0052399i
-0.015514+0.017329i,0.0053171+0.04817i,0.016334+0.047751i,-0.0020537+0.016448i,-0.0053726+0.0043644i,0.025583+0.0066001i,0.012854+0.019415i,0.0054986+0.045507i,0.0033012+0.021932i,-0.0057459+0.0063144i,0.00061254+0.0010384i,0.0049941-0.0037982i,0.0036772-0.00099598i,0.0042764-0.00017355i,0.0035356-0.0013885i,0.0063256-0.00081449i,0.015634-0.0013498i,6.7014e-05-0.0010534i,-0.0057144-0.0012816i,-0.0026466+0.0023991i,-0.00026152-0.00030686i,-0.0043589-0.0028421i,-0.0028639+0.00062585i,-0.00047408+0.0079153i,0.0022922+0.0033565i,0.0018504+0.001011i,0.0010753+0.0022659i,-0.0026009+0.0028635i,4.7065e-05+0.0014339i,-0.0011271+0.0010077i,0.0024321-0.0037867i,-0.00073725-0.0013143i,-0.0006946-0.00048i,-0.0005028+0.00011757i,0.00076838-0.0021149i,-0.0090686+0.0072077i,0.0036924+0.00061906i,0.0010908+0.00031496i,-0.0020003+0.0010511i,1.513e-05-0.0029903i,-0.0023386-0.00013721i,-0.00029817-0.0026741i,-0.00032109+0.008408i,0.0033349+0.0020647i,-0.031911+0.016936i,-0.059523+0.014364i,-0.033846+0.044883i,-0.023741+0.030118i,-0.017557+0.052603i,-0.018516+0.028157i,0.010361+0.019185i,-0.0019641+0.00064694i,-0.038156-0.0076372i,-0.052173+0.01182i,0.005721+0.023006i,-0.0036884+0.0025327i,-0.0040209-0.001173i,-0.0092791-0.0069783i,0.008738+0.0065707i,0.0093706+0.015357i,-0.0024385+0.0032215i,-0.00033538-0.01074i,0.004999+0.00055312i,-0.0010539-0.0080517i,0.0074971-0.0051534i,0.0059506-0.00057888i,-0.0052804+0.007246i,0.012922+0.0015562i,0.010636-0.0016161i,0.010812-0.003997i,0.0028343+0.0010309i,-0.00093188-0.0070914i,-0.0037108-0.0055783i,0.0035745+0.00054651i,-0.02905+0.020638i,-0.0046644-0.0095087i,-0.0004523+0.00067725i,0.001428-0.0070125i,0.0020434+5.3032e-05i,-0.011655-0.0095128i,0.00092816-0.00087646i,0.0046422-0.00083513i,0.0030785-0.0029275i,0.0011688-0.0064737i,-0.0062776+0.0057025i,-0.0027744+0.0030318i,-0.0040907+0.0025693i,-0.0079808-0.0054996i,-0.0098074+0.0013777i,-0.047946+0.035324i,-0.011102+0.020827i,-0.021571-0.0097951i,-0.0029454+0.00099519i,0.0064141+0.020335i,-0.0036843+0.018543i,-0.0026416+0.0020484i
