-0.027987-0.04212i,-0.0206-0.022146i,-0.011931-0.037796i,-0.029411-0.021488i,-0.024618-0.0020001i,-0.013232-0.003745i,-0.052152-0.054522i,-0.046981-0.016468i,-0.038284-0.012535i,0.012261+0.013728i,-0.0086475+0.0050923i,-0.019676+0.01981i,0.0018728+0.012058i,-0.0044749-0.0018286i,0.00087309+0.0010267i,-0.00056662+0.029216i,0.023568+0.025412i,0.0026542-0.0020243i,-0.0026379-0.0072906i,0.0084744+0.0025259i,0.0023657+0.00083441i,-0.00021074+0.0030274i,-0.00046559+7.6656e-05i,-0.033611-0.0089419i,0.00041628-0.0083861i,0.0016534+0.0022612i,0.0065941+0.00078104i,0.002261+0.0004312i,0.0011681-0.00039952i,-0.00036366-0.0027586i,0.0015204-0.0022298i,-0.0020419-0.0063325i,-0.00063136-0.0045158i,0.0033873-0.0003842i,0.0050966-0.0031319i,0.00040143+0.030004i,0.0044275-0.0035151i,0.0029877-0.001496i,0.0085291-0.00061129i,-0.0072832-0.0028196i,-0.00044419+0.00083453i,0.0092661+0.00090086i,0.0052745-0.001992i,-0.0029818+0.0083035i,-0.016607-0.0085718i,-0.018405+0.016564i,0.00057881-0.061569i,-0.0040615-0.027196i,-0.025544-0.034183i,-0.0096499-0.027432i,0.052648-0.022846i,0.017424-0.043515i,0.02647-0.045673i,0.0081724-0.052884i,0.028253-0.019767i,0.0087593+0.0064018i,0.027429-0.033654i,-0.0085137-0.0065249i,0.0033297-0.0039613i,-0.0048324-0.0070123i,-0.00075316-0.033495i,-0.019255+0.028831i,0.0091944-0.011797i,-0.0087714-0.004087i,-0.0042924-0.0017954i,0.00076636-0.013102i,-0.011422+0.0040205i,0.002133+0.010568i,-0.0053295+0.026434i,0.0049155+0.0028093i,-0.0053039-0.0016855i,-0.0019932-0.0022709i,-0.013105-0.0087359i,-0.00011776-0.0043352i,-0.032684+0.00077901i,0.0017168-0.010781i,-0.0088242-0.00022452i,-0.007165-0.0024661i,0.0051266+0.0015087i,-0.0084496-0.00055246i,0.0023244+1.6226e-05i,0.0045037+0.0077263i,0.0043202+0.00067133i,-0.0073897-0.012664i,0.0028235+0.0098812i,-0.01524+0.0041186i,0.0072006+0.00021814i,-0.02256-0.0021697i,-0.018217+0.0057537i,-0.0053566-0.06551i,0.0084738-0.012585i,-0.04687-0.025391i,-0.019674-0.0010302i,0.016628+0.013158i,-0.024024+0.014459i,-0.019766-0.0058126i
-0.044124+0.026742i,-0.018973+0.019133i,-0.022153+0.042263i,-0.028219+0.013607i,-0.0049737+0.023041i,-6.3315e-05+0.0080106i,-0.028809+0.022805i,-0.0022408+0.029182i,0.0058911+0.018419i,-0.0055972-0.0062091i,0.0030544+0.0039039i,0.0079194-0.00018397i,0.0055226-0.00022452i,-0.00094552+0.0022631i,3.4754e-05+0.0018955i,0.0059067-0.0050222i,-0.0056509-0.0010731i,-0.0027488+7.6241e-05i,0.0042037-0.0016758i,-0.00019378-0.0011197i,0.0021692-0.0046822i,0.0013072-0.0029777i,0.0014566-0.0026258i,-0.0085004-0.010539i,-0.0015177+0.00312i,-0.0017401+0.00020127i,-0.0037896-0.0011924i,-0.0026963+0.00040444i,-0.0025568-0.00305i,-9.9883e-05-0.00029298i,-0.00055389+0.0034877i,0.00066375+0.0013533i,0.0014614+0.0009914i,-0.00072886+0.0007635i,-0.0028942+0.0029601i,-0.0014176-0.0069394i,-0.0025032+0.00092268i,0.00089362-0.0004915i,-0.0020339+0.0025866i,0.0040081+0.0043326i,-0.00020622-0.0017272i,0.00028194-0.003262i,-0.0041254+8.0939e-05i,0.0039838+0.0020711i,-0.019419+0.023387i,0.0084273-0.040165i,-0.055023+0.00096792i,0.0094408-0.032716i,-0.031483-0.051446i,-0.028798-0.021316i,-0.063979+0.019789i,-0.038519+0.00085388i,-0.034134-0.0097704i,-0.023567-0.02617i,-0.040107-0.024616i,-0.005569+0.0028396i,-0.02981+0.0093436i,0.0068277+0.01928i,0.0023864+0.0084197i,-0.0031497-0.0058946i,0.002282+0.0017693i,-0.011766-0.0074969i,0.0056259+0.012484i,-0.0010164+0.0059127i,-0.0019693-0.001389i,0.0013672+0.0025562i,0.0040113-0.00084803i,-0.0039367+0.017826i,0.0023854+0.016026i,0.0037375+0.00045359i,0.0099465-0.0068672i,0.0041968+0.003261i,-0.0085807-0.0078273i,-0.00090234-0.0031474i,0.025128-0.037507i,0.00821+0.010765i,0.0053895+0.0022102i,-0.0029269+0.0026448i,0.0038128-0.0057612i,0.020789+0.0093909i,0.0030825+0.002854i,0.00078627-0.0065244i,0.001412-0.0032155i,0.016668+0.0072558i,0.0047893+0.0020371i,0.0029562-0.0052224i,0.0035783+0.0088616i,-0.00011262+0.0013245i,0.0095953+0.0037807i,-0.045562-0.016068i,-0.006197+0.011897i,-0.0024237-0.0043001i,-0.0077641+0.004567i,-0.038941+0.0097864i,-0.0061364+0.0075401i,-0.012147+0.013799i
-0.039237+0.032274i,-0.015875+0.019249i,-0.011635+0.038207i,-0.025357+0.016859i,-0.0018991+0.021056i,0.0013588+0.0078824i,-0.025896+0.027308i,0.0035112+0.02807i,0.008493+0.013602i,-0.0069053-0.0033307i,0.0043026+0.0042456i,0.0070306-0.0028334i,0.0050791-0.0019926i,0.00089686+0.0028405i,0.0003408+0.0020304i,0.0018346-0.0043531i,-0.0068226+0.0020317i,-0.0023515+0.00095817i,0.0044726-0.0023535i,1.9613e-05-0.0010071i,0.00075468-0.0047771i,0.0010454-0.0025333i,0.00080617-0.0027247i,-0.010761-0.0067233i,0.00029021+0.0027447i,-0.0017517+0.00064998i,-0.0034174+0.00046697i,-0.0018751+0.00091005i,-0.0032418+0.001114i,0.00016375-0.00019563i,0.00034958+0.0031857i,0.00057293+0.0013723i,0.0013821-5.5684e-05i,-0.00095862+0.0010254i,-0.0025742+0.0033321i,-0.0014603-0.0059262i,-0.0022739+0.00154i,-9.4094e-05-0.0011809i,-0.0014214+0.0025354i,0.0044194+0.0017286i,-0.00047372-0.0014241i,-0.001161-0.0035356i,-0.0040711+0.0014349i,0.0046182+0.0011201i,-0.015401+0.022931i,-0.0059493-0.046018i,-0.048882+0.011879i,0.00014425-0.040794i,-0.045764-0.045728i,-0.029937-0.014503i,-0.052436+0.031735i,-0.035358+0.0092008i,-0.024277-0.011339i,-0.026694-0.022912i,-0.045427-0.0095095i,-0.0048108+0.0027189i,-0.025417+0.021931i,0.011862+0.013143i,0.0052995+0.0048847i,-0.0095054-0.0078949i,-0.0010378+0.0036896i,-0.011244+0.0021872i,0.010425+0.0087047i,0.00037776+0.0083187i,-0.001918+3.0871e-05i,0.0025813+0.0036827i,0.004184-0.0012038i,0.0044473+0.014815i,0.0089847+0.0099605i,-0.00027531-0.0029568i,0.0031209-0.0081589i,0.0046909+0.0027884i,-0.01131+0.00026353i,-0.0027471-0.0011007i,0.0065439-0.038401i,0.012265+0.0081407i,0.0071122-0.00038847i,0.0006916+0.003003i,-0.00040669-0.0035312i,0.022631-0.00080715i,0.0031127+0.001411i,-0.0031839-0.0048212i,-0.0026545-0.0020531i,0.01501+0.0052108i,0.0048921+0.0019179i,0.00097734-0.0037874i,0.0065419+0.0075049i,-1.955e-05+0.002093i,0.010181+3.3986e-05i,-0.048765-0.011795i,-0.00052543-0.0023708i,-0.0016473-0.0041204i,-0.0063191+0.0048908i,-0.03298+0.02219i,-0.0038768+0.0086673i,-0.0050671+0.014206i
-0.033727+0.037257i,-0.013463+0.019792i,-0.0067131+0.031829i,-0.022495+0.019893i,0.0016214+0.020271i,0.0030018+0.007221i,-0.021061+0.031929i,0.0087026+0.025363i,0.0085942+0.0099013i,-0.0073075-0.00046068i,0.0063635+0.003617i,0.0028642-0.0038568i,0.0039179-0.0033102i,0.0016137+0.0024288i,0.00098379+0.0021472i,-0.0013555-0.0018738i,-0.0059527+0.0055614i,-0.0010767+0.0015278i,0.0044925-0.0044357i,0.00024992-0.0015066i,-0.0006561-0.0044487i,0.0011116-0.0028558i,0.00030448-0.0027626i,-0.012287-0.0031939i,0.00093507+0.0021199i,-0.0011727+0.0014939i,-0.0023334+0.00092989i,-0.00080065+0.0011978i,-0.0026579-0.00013438i,6.664e-05-0.00065469i,0.0013714+0.0031599i,0.0007982+0.0015157i,0.0010504-0.00034196i,-0.00055414+0.00099579i,-0.00097291+0.004383i,-0.00085972-0.0059655i,-0.0021399+0.0019234i,-0.0010021-0.0010646i,0.00054002+0.0022975i,0.0038302+0.00021863i,-0.0006598-0.0012134i,-0.00097623-0.0018491i,-0.0037429+0.0023574i,0.0044873-0.0007982i,-0.012724+0.022914i,-0.022915-0.043999i,-0.039289+0.018612i,-0.012267-0.043315i,-0.05447-0.036861i,-0.026776-0.0086464i,-0.036857+0.037771i,-0.02458+0.014562i,-0.025198-0.015872i,-0.028815-0.019591i,-0.044667+0.004902i,-0.0038451+0.0030532i,-0.013516+0.030059i,0.014004+0.0065566i,0.0036453-0.00027098i,-0.018977-0.0043308i,-0.0001935+0.0051146i,-0.0066714+0.0062881i,0.011819+0.0026823i,0.0034217+0.0080615i,-0.0034385+0.001685i,0.002937+0.0017002i,0.0039488-0.0027673i,0.0074019+0.0083916i,0.0088469+0.0036316i,-0.0049072+0.0004272i,0.00022151-0.0061417i,0.0065465+0.0017457i,-0.0064469+0.0084031i,-0.00093423+0.00129i,-0.0039442-0.030865i,0.016121+0.001753i,0.0058777-0.0036031i,0.00093376+0.0016103i,-0.00016337-0.0010651i,0.01831-0.0089215i,0.0016286+0.0030132i,-0.0054412-0.0025791i,-0.0034184+0.0021071i,0.011129+0.00016459i,0.0087837+0.00014409i,0.00095037-0.0035717i,0.010215+0.0039259i,0.0030068+0.0023897i,0.0090239-0.0033878i,-0.052154-0.0024234i,-0.0097253-0.011589i,0.00082172-0.0069544i,-0.0050699+0.0040322i,-0.022344+0.028899i,-0.003171+0.0035851i,-0.0021696+0.010581i
-0.026777+0.040877i,-0.01042+0.021135i,-0.0055332+0.027027i,-0.018309+0.022824i,0.0052552+0.0174i,0.0045513+0.0057275i,-0.014192+0.035355i,0.012776+0.021281i,0.0084271+0.0083476i,-0.0065842+0.0023697i,0.0074476+0.001516i,0.00058597-0.0013888i,0.0023158-0.0039412i,0.0015813+0.0025055i,0.0014086+0.0020308i,-0.0019061+0.0019128i,-0.0026753+0.0082812i,-0.0001973+0.0010848i,0.0025607-0.0055661i,-0.00041844-0.0020457i,-0.0017109-0.0035928i,0.00072426-0.0031492i,-0.00031531-0.0029507i,-0.012266+0.0015422i,0.0015746+0.0011269i,-4.4648e-05+0.0010694i,-0.0020568+0.00020924i,0.00027288+0.00052463i,-0.0029803+0.0012735i,-0.00024693-0.00040316i,0.0025225+0.0021771i,0.0015057+0.0012754i,0.00057364-0.00067377i,-0.00027368+0.00097847i,0.001058+0.0036514i,-0.0014729-0.0076423i,-0.0012717+0.0028596i,-0.0013238-0.00021678i,0.0010488+0.00013287i,0.0034871-0.00070927i,-0.00074691-0.00093576i,0.00011009-0.001903i,-0.0031293+0.0032873i,0.0025683-0.0034272i,-0.010124+0.023972i,-0.03639-0.031755i,-0.029917+0.019901i,-0.023598-0.040357i,-0.063702-0.025872i,-0.02215-0.0067449i,-0.023432+0.036742i,-0.014852+0.011233i,-0.02708-0.013663i,-0.030223-0.014275i,-0.038362+0.016691i,-0.0034904+0.0032082i,-0.00084664+0.030379i,0.015747+0.002908i,-0.0010004-0.0011412i,-0.022888+0.0065241i,2.8194e-05+0.0068659i,-0.0031908+0.0062135i,0.0094054-0.0033137i,0.0063081+0.0070589i,-0.0027705+0.0040442i,0.00081088+0.0021063i,0.0031144-0.0054082i,0.005986+0.0022479i,0.005779+0.00069837i,-0.003354+0.0036167i,-0.0014075-0.0044157i,0.0067349-0.00052269i,0.0021368+0.0081376i,0.00024634+0.00068195i,-0.010678-0.026089i,0.014095-0.0044147i,0.0038894-0.0042691i,0.0024729+0.0027691i,0.00036011-0.0012054i,0.012371-0.012164i,0.0048657+0.0038448i,-0.0057134+0.0006004i,-0.00097706+0.0045268i,0.0085213-0.0014425i,0.008682-0.0057574i,-0.00080912-0.0031651i,0.0095873-0.0025149i,0.0036179-0.00089788i,0.0076848-0.006917i,-0.048707+0.0095476i,-0.019657-0.011193i,-0.0014112-0.012718i,-0.0035349+0.0024392i,-0.014384+0.028859i,-0.0074659+0.0029894i,-0.0029548+0.0091199i
-0.020721+0.043194i,-0.0079123+0.021225i,-0.0063566+0.02482i,-0.013611+0.024462i,0.0072063+0.01409i,0.0050215+0.0039051i,-0.0063986+0.03641i,0.015351+0.016917i,0.0093444+0.0069679i,-0.0044012+0.0042273i,0.006736-0.0019086i,0.0010855+0.00069076i,0.0012009-0.0039287i,0.0027305+0.002833i,0.0017954+0.0016838i,-0.00022421+0.0044491i,0.0012316+0.0090771i,-6.9233e-05+0.00063807i,0.0010166-0.0057677i,-0.001322-0.0018671i,-0.0025344-0.0028042i,2.2528e-06-0.0032827i,-0.0012638-0.0028317i,-0.0080385+0.0049309i,0.0020954-0.0038177i,-0.00013582+6.3644e-05i,-0.00072558+0.0004346i,0.00029681-0.00058054i,0.0011495+0.0035573i,9.4767e-06-0.00018345i,0.0027939+0.00081648i,0.0023703+0.00035423i,-7.1117e-05-0.00068376i,-0.00023676+0.00092829i,0.0015194+0.0025818i,-0.0041034-0.0088357i,-0.00026834+0.0028451i,-0.00016827+0.0020506i,-0.00014143-0.00058185i,0.0025979-0.001533i,-0.00059993-0.00072705i,7.0349e-05-0.0036753i,-0.001997+0.0038082i,-0.00013874-0.0027497i,-0.0062288+0.025717i,-0.037687-0.016115i,-0.023524+0.018259i,-0.033729-0.034161i,-0.07006-0.0097384i,-0.019393-0.0087358i,-0.013422+0.032589i,-0.010296+0.0064636i,-0.02738-0.012272i,-0.029441-0.01064i,-0.031564+0.02486i,-0.002879+0.0032623i,0.011663+0.025758i,0.013138-0.0026383i,-0.0044223+0.0013584i,-0.020262+0.01591i,0.002325+0.0079464i,-0.00046087+0.0078719i,0.0029914-0.0043086i,0.0086244+0.0047843i,-0.001414+0.0062606i,0.00076629+0.0040543i,0.0015972-0.0069751i,0.0017756+0.0022427i,0.0031294+0.0010315i,-0.0023131+0.0054711i,-0.0022833-0.0022365i,0.0060125-0.0026654i,0.0081735+0.002702i,0.00052102+0.00014615i,-0.014479-0.023168i,0.010232-0.0083845i,0.002134-0.005197i,0.0057648+0.00067426i,-8.9064e-05-0.00050226i,0.0083888-0.013221i,0.0075207+0.00115i,-0.0037994+0.0036687i,0.0018575+0.0042605i,0.0081346-0.0027109i,0.0036757-0.010732i,-0.00086087-0.0022434i,0.0054699-0.0060969i,0.0014315-0.0022801i,0.0037909-0.010057i,-0.040828+0.015003i,-0.027754-0.0033624i,-0.0068104-0.015411i,-0.0032144-9.4591e-05i,-0.0081636+0.027858i,-0.010587+0.0057776i,-0.001719+0.0097258i
-0.014518+0.045577i,-0.0054581+0.022069i,-0.0067361+0.025917i,-0.0089003+0.024428i,0.0077817+0.010913i,0.0051812+0.0026417i,0.0014867+0.035032i,0.016695+0.012626i,0.010446+0.0046692i,-0.0024652+0.0042683i,0.0047241-0.0026675i,0.0021008+0.0016026i,-3.2952e-05-0.0038297i,0.0040085+0.0018049i,0.001953+0.001157i,0.0022333+0.0053977i,0.0050896+0.007748i,6.996e-05+0.00055603i,-0.0010136-0.0057985i,-0.001843-0.0013187i,-0.0028308-0.0015517i,-0.00059327-0.0033697i,-0.001963-0.0022362i,-0.0045164+0.0034843i,-0.00095213-0.00083242i,-0.00084177-0.00012904i,-0.00085328+0.00080184i,-0.00020704-0.0015331i,8.2793e-06+0.00082383i,6.7478e-05-0.00046549i,0.0025263-0.00031191i,0.0025734-0.0011941i,-0.00037065-0.00035779i,-8.4194e-05+0.00086564i,0.0017516+0.0020181i,-0.0070868-0.0083488i,0.0003921+0.0025157i,-0.0025436+0.0024537i,-0.00092809+0.00063619i,0.0022359-0.0012498i,-0.00048669-0.00041038i,-0.0018523-0.0034947i,-0.00094462+0.0032982i,-0.0012952-0.0012106i,-0.0015595+0.026901i,-0.032228-0.0074844i,-0.01993+0.016649i,-0.04038-0.023347i,-0.06736+0.010496i,-0.022789-0.011541i,-0.0077671+0.027217i,-0.0075983+0.0024131i,-0.027397-0.0095295i,-0.029948-0.0075465i,-0.023656+0.029107i,-0.003254+0.0036796i,0.018682+0.012212i,0.01047-0.0073292i,-0.0054362+0.0054315i,-0.012703+0.023489i,0.0050567+0.0067348i,0.0043632+0.0059255i,0.00044707-0.001297i,0.010376+0.001102i,0.0013526+0.0076996i,0.0021232+0.005017i,-0.003391-0.0093754i,0.00081651+0.005167i,0.003151+0.0024955i,0.0010442+0.0090823i,-0.0014212-0.00060341i,0.0046108-0.0035186i,0.0095637+0.00068007i,0.0010784-0.00073343i,-0.022111-0.022384i,0.0058398-0.010116i,-0.00030175-0.0053717i,0.0054773+0.00090479i,0.00015247+0.00067479i,0.0060089-0.012723i,0.0072217-0.002269i,-0.00097706+0.0047843i,0.0036713+0.0021373i,0.0065774-0.00511i,-0.003318-0.010315i,-0.0012086-0.0026015i,0.0011065-0.0048928i,0.00077256-0.0029689i,-0.0013975-0.010101i,-0.035911+0.018272i,-0.025758+0.010339i,-0.012077-0.014396i,-0.004537-0.0015393i,-0.0047249+0.026694i,-0.0097473+0.011084i,0.0019648+0.0086213i
-0.0075423+0.047205i,-0.0023553+0.022842i,-0.005028+0.028501i,-0.0055294+0.023387i,0.0073387+0.0088097i,0.0052695+0.001391i,0.0082217+0.031727i,0.017086+0.0089722i,0.011035+0.0025325i,-0.0015119+0.0041533i,0.0031319-0.002267i,0.0040889+0.0020544i,-0.0012285-0.0033248i,0.0042969-0.00035882i,0.0019187+0.00077156i,0.0043527+0.0048681i,0.0074255+0.0051389i,0.000249+0.00060305i,-0.0024756-0.0050394i,-0.0020817-0.00050851i,-0.0024763-0.00043916i,-0.001559-0.0032816i,-0.0024163-0.0015545i,-0.0051446+0.0021622i,-0.0013998-0.00024829i,-0.0013873+0.00045293i,-0.0007672+0.0010096i,-0.0017246-0.0017774i,-0.00041977+0.0006987i,-0.00023588-0.00076015i,0.0022686-0.001033i,0.00063994-0.0025821i,-3.6454e-05-0.00022617i,0.00015732+0.00074849i,0.0022694+0.00094844i,-0.010396-0.0066615i,0.0010555+0.0023297i,-0.0016056+0.0019337i,-0.0011415+0.0015036i,0.0026147-0.0018232i,-0.00028663-0.00024452i,-0.0019147-0.0012902i,-0.00018861+0.0025675i,-0.0014139-0.00034018i,0.0041585+0.026042i,-0.028385-0.0057504i,-0.017227+0.016052i,-0.040864-0.012777i,-0.057114+0.026517i,-0.026354-0.0089737i,-0.0028037+0.024307i,-0.0074194-0.0016856i,-0.026433-0.0075812i,-0.029488-0.0029395i,-0.016549+0.032991i,-0.0020561+0.0039055i,0.013589-0.00083587i,0.0059613-0.010989i,-0.0038032+0.0087363i,-0.0036563+0.024735i,0.0060243+0.0040583i,0.005282+0.0017606i,0.0014586+0.00022016i,0.0095581-0.002311i,0.0061215+0.0069231i,0.0039393+0.0060342i,-0.0080797-0.0039841i,0.0033043+0.0070217i,0.0045239+0.0031325i,0.00601+0.0075204i,-0.001106-0.00014376i,0.0035817-0.0043736i,0.0091907-0.0048885i,-0.00082756-0.001234i,-0.031874-0.014111i,0.0021487-0.010177i,-0.0022376-0.0039368i,0.0055823+0.00025227i,0.00086784+0.00077798i,0.0044814-0.015237i,0.0056209-0.0049063i,0.0013853+0.0038649i,0.0037988+0.00091686i,0.0051647-0.0060247i,-0.0070159-0.0059361i,-0.0026093-0.0024238i,0.00028946-0.0059714i,-0.0012716-0.0035184i,-0.0045764-0.0076118i,-0.029752+0.021171i,-0.019028+0.011573i,-0.012278-0.012771i,-0.0058079-0.0016885i,-2.5453e-05+0.025282i,-0.0078527+0.012869i,0.0025036+0.0058191i
-0.00028018+0.047453i,0.0013872+0.02342i,-0.00092453+0.031438i,-0.0027537+0.023039i,0.0066831+0.0078844i,0.0049509+0.00038665i,0.013664+0.027446i,0.017241+0.0060214i,0.011438-8.4465e-05i,-0.00072895+0.0045334i,0.0030001-0.0016317i,0.0060863+0.00016345i,-0.0021615-0.0023384i,0.0027717-0.0014194i,0.0019889+0.0005877i,0.0060893+0.0032197i,0.0080193+0.0026533i,0.00061123+0.00030192i,-0.0037532-0.0040998i,-0.0017581+0.00039526i,-0.0017825+0.00012915i,-0.0023022-0.0023606i,-0.0026734-0.00083523i,-0.0066577+0.0042797i,-0.0016517+0.00045328i,-0.0011344+0.0012401i,-0.00057689+0.0014118i,-0.0029866-0.0008967i,-0.00042322+0.00067861i,-0.00059381-0.00074837i,0.001648-0.0020176i,0.00065428-0.0032749i,-0.00021381-0.00037536i,0.00018384+0.00059546i,0.0019114-0.00014607i,-0.012822-0.0029788i,0.0015888+0.0018116i,-0.00077909+0.0023202i,-0.0014647+0.0018148i,-0.0017842-0.0017738i,0.00032152-0.00014849i,-0.00085198-0.0005492i,0.00023712+0.0017221i,-0.0013145+0.00041919i,0.0085001+0.023403i,-0.029012-0.0049958i,-0.015317+0.015086i,-0.040614-0.0040086i,-0.043264+0.035031i,-0.029635-0.0054325i,0.0022902+0.018875i,-0.0081979-0.0033657i,-0.026118-0.0061046i,-0.027681+0.002318i,-0.0069209+0.035756i,-0.0010125+0.0037799i,0.0064691-0.0028804i,0.00070569-0.012443i,7.1986e-05+0.011643i,0.0044422+0.022029i,0.0052779+0.0016489i,0.0043385-0.0017761i,0.0011338+0.00049906i,0.0073855-0.0057921i,0.009514+0.0037342i,0.0065663+0.0056071i,-0.0080719+0.00022013i,0.0061221+0.0074492i,0.0063298+0.0028648i,0.0093599+0.0033101i,-0.00067769+0.00057877i,0.0030431-0.0052373i,0.0051939-0.0087878i,-0.0011454+0.00094757i,-0.035609-0.00078411i,-0.00052005-0.0095037i,-0.0029777-0.0019595i,0.0063454-0.0011936i,0.0012231+0.00047726i,-0.0003157-0.018173i,0.0031349-0.0064472i,0.002959+0.0032283i,0.0041048-0.00023175i,0.004894-0.0073049i,-0.0088639-0.0027986i,-0.0039126-0.00059205i,-0.0035499-0.0049219i,-0.0026479-0.0029691i,-0.005895-0.0051826i,-0.024491+0.021748i,-0.017139+0.011697i,-0.013136-0.013738i,-0.0071582-0.0010031i,0.001934+0.024412i,-0.0064327+0.013716i,0.0028292+0.0044018i
0.0072572+0.046881i,0.0061595+0.022949i,0.005652+0.032417i,0.00033878+0.02281i,0.0070138+0.0079408i,0.004712-0.00017901i,0.017683+0.021972i,0.017499+0.0029478i,0.010981-0.002903i,0.0005609+0.0045151i,0.0031194-0.002172i,0.0057567-0.0028694i,-0.0026062-0.0011874i,0.0019835-0.0014724i,0.0021225+0.00030259i,0.0066681+0.00094596i,0.0083819+0.00062095i,0.00021159-0.00014085i,-0.0050776-0.0026285i,-0.001134+0.00063826i,-0.00092971+5.033e-05i,-0.0023496-0.0015776i,-0.0026452+1.1066e-05i,-0.0049678+0.0074101i,-0.001478+0.0010279i,-0.00058592+0.0015825i,7.2471e-05+0.0015156i,-0.0033254+0.00072192i,-0.00037812+0.00054665i,-0.00088324-0.00059112i,0.00057556-0.0024425i,-0.0011101-0.0035478i,-0.00056632-0.00024759i,0.00011964+0.00048174i,0.0012038-0.00069863i,-0.013023+0.0015987i,0.0017315+0.0011451i,7.4678e-05+0.0023646i,-0.0010287+0.0024143i,0.0001872-0.00088449i,0.0023684+0.0036877i,-0.00030414-2.4096e-05i,0.00038633+0.0012377i,-0.0011025+0.00098141i,0.011295+0.020996i,-0.031996-0.00056596i,-0.014141+0.014454i,-0.035824+0.0049035i,-0.030248+0.039574i,-0.031634+0.0021723i,0.0053603+0.01197i,-0.006289-0.0054614i,-0.025338-0.0033885i,-0.024248+0.0075311i,0.0018653+0.035695i,-0.00046362+0.0030158i,0.0025222-0.003261i,-0.0049905-0.012133i,0.0062207+0.011151i,0.0088336+0.017354i,0.0027095+0.00028829i,0.0026798-0.0049338i,0.0020278+0.0030606i,0.0034888-0.0076425i,0.010772-0.0018962i,0.0088114+0.0035387i,-0.0076897+0.0040595i,0.010525+0.0066568i,0.0086668+0.00048619i,0.011095-0.0021833i,0.00011605+0.0010982i,0.0015748-0.0059369i,-5.9576e-05-0.0096075i,0.00068564+0.0025197i,-0.032834+0.012919i,-0.0026796-0.0087191i,-0.0025939-0.0001321i,0.0057139-0.0063075i,0.00158+0.00082663i,-0.0074729-0.01768i,0.00027391-0.006414i,0.0042031+0.0014693i,0.0039707-0.00087391i,0.0029319-0.0090856i,-0.0094227+0.0026783i,-0.003378+0.001712i,-0.0052125-0.0014803i,-0.0041277-0.00264i,-0.0061853-0.0029689i,-0.022112+0.022103i,-0.016207+0.016314i,-0.016242-0.016644i,-0.0060901+0.0007047i,0.0063148+0.024345i,-0.0056636+0.015583i,0.0038198+0.0015408i
0.014886+0.044635i,0.010684+0.020864i,0.012353+0.030303i,0.0037097+0.021991i,0.0082532+0.0077174i,0.0048656-0.00059549i,0.019777+0.016343i,0.017163-0.00019868i,0.010035-0.0051972i,0.0013599+0.0043002i,0.002659-0.0026752i,0.0035654-0.0045753i,-0.0027711-0.00016065i,0.0011804-0.0013546i,0.0021819-4.0675e-05i,0.0057755-0.00090807i,0.0077033-0.0018769i,-6.1145e-05-0.00014903i,-0.0052812-0.00083156i,-0.00082114+0.001042i,-0.00025771-0.0003845i,-0.0023522-0.0012444i,-0.0022198+0.00067762i,-0.001731+0.0085809i,-0.0010842+0.001229i,-0.00010999+0.0017676i,0.00062847+0.0010966i,-0.0026417+0.0019329i,-0.00046861+0.00038966i,-0.0013056-0.00030078i,-0.00051297-0.0022939i,-0.0030839-0.0026476i,-0.0004919+0.00010859i,0.00018505+0.0004057i,0.00054101-0.00089735i,-0.011367+0.0052982i,0.00178+0.00051529i,0.00055203+0.0017339i,0.00014314+0.003446i,0.00034814-0.00094688i,-0.00078663-0.00028624i,-0.0021552+0.0024197i,0.00042893+0.0011577i,-0.00072288+0.001509i,0.014105+0.019181i,-0.031808+0.0072913i,-0.014392+0.014068i,-0.029468+0.0089984i,-0.016976+0.041235i,-0.028254+0.011806i,0.004135+0.0045293i,-0.0065601-0.010942i,-0.022111-0.0010361i,-0.017989+0.012188i,0.012839+0.031174i,-0.00071103+0.0033106i,-0.0016305-0.0022613i,-0.0098257-0.0089i,0.010282+0.0066956i,0.010127+0.011019i,-0.00073297+0.0013899i,-0.00040757-0.0077894i,0.005728+0.0017762i,-0.00062551-0.0070116i,0.0078877-0.0060652i,0.0099512+3.2139e-05i,-0.0064368+0.0070169i,0.014244+0.0010502i,0.0090048-0.0049445i,0.0099287-0.007271i,0.0014261+0.001062i,-0.000294-0.0063226i,-0.0041781-0.0061783i,0.0029503+0.0015118i,-0.025166+0.024592i,-0.0050168-0.0072533i,-0.0013399+0.0010074i,0.0013724-0.0072969i,0.0025571+0.00050422i,-0.013773-0.013339i,-0.0013953-0.0047213i,0.004162-0.00079927i,0.0034608-0.0015907i,6.369e-05-0.009218i,-0.0055184+0.0067833i,-0.0017687+0.0030787i,-0.0056992+0.0021484i,-0.0065916-0.0013005i,-0.0060975-0.0019334i,-0.017603+0.026234i,-0.0082847+0.020592i,-0.023084-0.015911i,-0.0038729-8.7809e-05i,0.009535+0.022088i,-0.0030233+0.018487i,0.0027855-0.0021434i
