-0.00078688-0.041383i,-0.0011389-0.046124i,-0.007783-0.047554i,-0.030714-0.023403i,-0.022738+0.01084i,-0.036649-0.033417i,-0.063192-0.058131i,-0.019209-0.07078i,-0.024422-0.043564i,-0.00081438+0.015878i,-0.010557+0.013055i,-0.014161+0.012948i,0.0036495+0.013337i,-0.0027595-0.0021866i,0.0019125+0.0057211i,0.00027769+0.03347i,0.019702+0.056601i,0.00095485-0.00061808i,-0.0034551-0.0090973i,0.0074293+0.0042461i,0.0016648+0.0013296i,-0.00046391+0.003197i,-2.6865e-05-0.00062127i,-0.037409-0.0091452i,-0.0023832-0.0075553i,-0.0014193+0.0045114i,0.0053499-0.00025926i,1.0927e-05+0.00023749i,0.00056533-0.0008748i,0.00038298-0.0021738i,-0.001355-0.0059471i,-0.0032853-0.0060128i,-0.00075079-0.0072537i,0.0032198-0.0006444i,0.0033802-0.0016643i,-0.001459+0.03887i,0.0066733-0.0036763i,0.0032511-0.00077293i,0.0052377-0.00021536i,-0.01253-0.0060904i,-0.0011042+0.00037632i,0.0095546-0.00044974i,0.0031425+0.0016086i,-0.0046972+0.0021331i,1.6807e-05+0.010277i,-0.0057947+0.018282i,0.026172-0.08172i,-0.00023581-0.05514i,-0.023366-0.043235i,-0.019657-0.037157i,0.063003-0.016345i,0.030383-0.058119i,0.038736-0.044698i,0.033867-0.052573i,0.01935-0.015587i,0.0077976+0.012077i,0.023977-0.034892i,-0.0086709-0.0054709i,0.0030208-0.0016164i,-0.0024387-0.0056227i,0.0048198-0.031769i,-0.025653+0.030786i,0.0087911-0.010372i,-0.012606-0.0026925i,-0.004611-0.0017214i,0.0001418-0.014752i,-0.010774+0.0053786i,0.003371+0.0067307i,-0.014019+0.029851i,0.0054509+0.006935i,-0.0059562-0.0020858i,-0.0011914-0.0024311i,-0.01184-0.0080741i,0.00031718-0.0035796i,-0.036089+0.0064578i,0.0017114-0.012547i,-0.0093361-0.0029191i,-0.0070639-0.0034096i,0.006493+0.0020736i,-0.0092355+0.0021165i,-2.0877e-05+0.0017018i,0.0057933+0.010032i,0.005008+0.00053643i,-0.0093422-0.010322i,0.001957+0.0084516i,-0.020226+0.0053629i,0.006979+0.0031398i,-0.027868-0.0088119i,-0.036041-0.0024861i,0.026586-0.077353i,0.013757-0.0094238i,-0.043098-0.028342i,-0.024619-0.0061101i,0.017337+0.011526i,-0.026968+0.011319i,-0.012116-0.0095544i
-0.042349-0.0069895i,-0.056934+0.0034262i,-0.041613+0.047727i,-0.019087+0.0096178i,-0.0050131+0.018878i,-0.0046917+0.037439i,-0.027178+0.016934i,-0.061476+0.025321i,-0.020716+0.017288i,0.0037506-0.0099288i,0.0030791-0.0022015i,0.00312+0.00027781i,0.0024376+0.0084479i,-0.0035651+0.0012i,-0.00013288+0.0019303i,0.0022884-0.0076045i,-0.012755-0.0087686i,-0.0039528-0.00020106i,0.0035078-0.0027973i,0.00094338+0.00028418i,0.0014654-0.0046961i,0.0021072-0.0039579i,0.0014741-0.0026027i,-0.011757-0.011068i,-0.0029173-0.0012988i,-0.0041013-0.00013123i,-0.0030198-0.00051842i,-0.0045038-0.0013694i,-0.0011123-0.0024135i,0.0013339-0.0012964i,-0.0038263+0.0039359i,0.0015092+0.0019151i,0.0022399+0.0015393i,0.0011586+0.00093851i,-0.0025211+0.0029316i,-0.0042616-0.0096935i,-0.0033978+0.0015099i,0.00056685+0.00031811i,-0.0010975+0.0035093i,0.0099125+0.0085799i,0.0014544-0.0017877i,0.001199-0.00068861i,-0.0037125-0.0042282i,0.002206+0.0056227i,-0.010354-0.018003i,0.017109-0.078418i,-0.086804-0.023408i,-0.02418-0.021983i,-0.051388-0.041008i,-0.042941-0.0080661i,-0.090993+0.01715i,-0.062409-0.0032955i,-0.038613-0.025927i,-0.025871-0.056203i,-0.033224-0.026388i,-0.00080756+0.0041366i,-0.02664+0.010765i,0.0066176+0.017873i,0.0044254+0.008213i,-0.0017297-0.005725i,0.0080813+0.0056977i,-0.011305-0.0047488i,0.0021867+0.011919i,0.00053327+0.0070738i,-0.0013241-0.0016861i,0.0068428+0.0020057i,0.004155-0.0011053i,-0.003334+0.020632i,-0.00055225+0.014594i,0.0014176-0.0047977i,0.011559-0.0083259i,0.004082+0.0042518i,-0.0082347-0.0082207i,-0.0017301-0.0015922i,0.025932-0.033733i,0.008771+0.0088179i,0.0040406+0.0031344i,-0.0020222+0.0028326i,0.0042777-0.0039926i,0.02007+0.0026489i,0.001569-0.0019925i,-0.00074473-0.0082566i,0.0020459-0.0030997i,0.013163+0.0057403i,0.0058935+0.00086249i,0.0035342-0.0066603i,0.0047376+0.0079757i,0.0034703+0.0036282i,0.018828+0.0051176i,-0.065848-0.042497i,-0.011289+0.010264i,-0.00731-0.0038064i,-0.0084561+0.004841i,-0.038148+0.0083144i,-0.0053525+0.0080802i,-0.016264+0.0041221i
-0.041634-0.00092093i,-0.055304+0.0093256i,-0.029426+0.048687i,-0.01774+0.011505i,-0.0014496+0.016414i,0.0022291+0.036822i,-0.025223+0.020735i,-0.053742+0.033512i,-0.016159+0.016081i,0.00030262-0.0097754i,0.0029927-0.0017254i,0.0030111-0.0013343i,0.004427+0.006142i,-0.0020193+0.0030105i,-4.7252e-05+0.0025754i,-0.0025776-0.0057364i,-0.017337-0.0013044i,-0.0033005+0.0012871i,0.0037555-0.003124i,0.0015403-0.00032207i,0.000124-0.0044916i,0.0014067-0.0031957i,0.0012127-0.00254i,-0.013144-0.0066661i,-0.0028192-0.00043487i,-0.0042284+0.0013133i,-0.0024739+0.00052245i,-0.0041809+0.00023287i,-0.0016821-0.0022703i,0.001267-0.0014086i,-0.0021143+0.0053899i,0.0015036+0.0017435i,0.0024113+0.00039294i,0.00027253+0.00079272i,-0.0027797+0.0028418i,-0.0041937-0.0082071i,-0.0027429+0.0019412i,-0.00024097-0.00018233i,-0.00078023+0.0046354i,0.010898+0.002466i,0.00089811-0.0021844i,0.00058552-0.0012476i,-0.0051221-0.0031803i,0.0035358+0.0048589i,-0.012227-0.021041i,-0.0057649-0.088349i,-0.082789-0.0059492i,-0.030772-0.024646i,-0.06169-0.031832i,-0.040455+0.00068998i,-0.078172+0.036848i,-0.059849+0.010889i,-0.0289-0.025305i,-0.032408-0.052447i,-0.040246-0.012648i,-0.0001716+0.0018364i,-0.020997+0.022521i,0.011088+0.011586i,0.0067957+0.0042216i,-0.0072634-0.0098165i,0.0045019+0.004036i,-0.011483+0.0025578i,0.0073627+0.0093729i,0.0020272+0.0086983i,-0.0017821-0.00094081i,0.0068503+0.0021796i,0.0040395-0.0016483i,0.0062844+0.016618i,0.0063009+0.010069i,-0.0039536-0.0057256i,0.0032415-0.0093362i,0.0050504+0.0038622i,-0.011494-0.00045145i,-0.0023943+0.00073703i,0.010256-0.036173i,0.011638+0.006244i,0.0073424+0.0016215i,0.0010914+0.0022333i,0.00067573-0.0021457i,0.018815-0.0066768i,7.4172e-05-0.0026299i,-0.0044678-0.0062582i,-0.0016196-0.0027045i,0.011618+0.0003384i,0.0058184+0.00069139i,0.0012215-0.0044663i,0.00749+0.0063111i,0.0037008+0.0033741i,0.017748-0.0014153i,-0.071669-0.033252i,-0.0025937-0.001293i,-0.0063404-0.0025066i,-0.006724+0.0047865i,-0.032547+0.020595i,-0.0032241+0.0092409i,-0.014754+0.0065698i
-0.039146+0.0040427i,-0.05454+0.015519i,-0.021429+0.047322i,-0.016739+0.013507i,0.0031775+0.014995i,0.0092617+0.034563i,-0.021879+0.024399i,-0.045603+0.03895i,-0.015395+0.014706i,-0.0027136-0.0084872i,0.0036155-0.0020959i,-0.00054936-0.0020219i,0.0056688+0.0042924i,-0.0015229+0.0033452i,0.00069307+0.0032206i,-0.0057779-0.0015017i,-0.016724+0.0077885i,-0.0013507+0.0025669i,0.0036421-0.0053337i,0.0021647-0.0017058i,-0.0010296-0.0039801i,0.0015479-0.0037783i,0.0010577-0.002902i,-0.014292-0.0030193i,-0.0027932+0.00078102i,-0.0031698+0.0033108i,-0.0017731+0.00071535i,-0.0030136+0.001792i,-0.0024233-0.0020755i,0.00047028-0.0024882i,0.00023512+0.0056682i,0.0017138+0.001401i,0.0020487-0.0003318i,0.00050739+0.00056733i,-0.001956+0.0046035i,-0.0040233-0.0080069i,-0.0026935+0.0021357i,-0.00083898-2.9862e-05i,0.0030539+0.0035154i,0.0090062-0.0013173i,0.00023608-0.0022081i,0.00081831-0.00059384i,-0.0067899-0.0017919i,0.0047784+0.0024956i,-0.016678-0.022576i,-0.032151-0.087327i,-0.072883+0.0058912i,-0.039127-0.022058i,-0.067052-0.020784i,-0.034626+0.0067361i,-0.05821+0.049412i,-0.045711+0.023805i,-0.029625-0.030268i,-0.038127-0.049901i,-0.039443+0.001705i,-0.00045264+0.0004851i,-0.0090588+0.027681i,0.012119+0.0055221i,0.0044185-0.0013058i,-0.017558-0.0087244i,0.0041342+0.0029639i,-0.0072401+0.0069306i,0.009716+0.0045274i,0.0047631+0.0087733i,-0.0039699+0.000907i,0.0075716-0.0012799i,0.0037826-0.0033422i,0.0096679+0.0088218i,0.007166+0.0044428i,-0.0084338-0.0015417i,0.0002722-0.0067505i,0.0072349+0.0027756i,-0.0081671+0.0092931i,-0.00042688+0.0027474i,-0.0021152-0.033168i,0.014445+0.00077012i,0.007053-0.0016671i,0.0014286+0.00093825i,0.00088516-0.0004907i,0.011949-0.012073i,-0.0028876+0.00049834i,-0.0071642-0.0029766i,-0.0035109+0.0012662i,0.0083151-0.003048i,0.0088356-0.0017766i,0.0018768-0.0043449i,0.010622+0.0025817i,0.0058732+0.0019458i,0.015199-0.0070636i,-0.075507-0.020288i,-0.0083213-0.012247i,-0.0040225-0.0035946i,-0.0049091+0.0043981i,-0.022982+0.025959i,-0.0019567+0.003934i,-0.011529+0.0035969i
-0.036566+0.0072204i,-0.052839+0.023464i,-0.015044+0.045915i,-0.013608+0.016699i,0.0076516+0.01i,0.01531+0.030413i,-0.017257+0.027563i,-0.037989+0.041965i,-0.015337+0.016242i,-0.004846-0.0067213i,0.0033051-0.0038277i,-0.0023207+0.0011243i,0.0055377+0.0020772i,-0.0012656+0.0050202i,0.0013479+0.0031692i,-0.005545+0.0036164i,-0.010563+0.015095i,0.00033736+0.0018242i,0.0013924-0.006483i,0.0010028-0.0035187i,-0.0018425-0.0034367i,0.0011778-0.0043571i,0.00045336-0.003765i,-0.014441+0.0014948i,-0.0019777+0.0010872i,-0.00071655+0.0032493i,-0.0014744+0.00084413i,-0.0012872+0.0017924i,-0.0032289-0.00087647i,-0.0011725-0.0022576i,0.0019922+0.0048932i,0.0017407+0.00082472i,0.001277-0.00091748i,0.00051989+0.00038791i,0.00044041+0.0047849i,-0.0055035-0.0092593i,-0.0018443+0.0032802i,-0.0010635+0.00046567i,0.0030802-0.00012656i,0.007042-0.0031845i,-9.0839e-05-0.0021436i,0.0011611-0.0010906i,-0.0075615+0.00074435i,0.0029786-0.0011036i,-0.022357-0.022i,-0.054589-0.073714i,-0.063375+0.010589i,-0.046101-0.015848i,-0.071702-0.0084234i,-0.027748+0.0086217i,-0.039493+0.051656i,-0.030101+0.023693i,-0.032727-0.028796i,-0.044786-0.044231i,-0.034387+0.011622i,-0.0015546-0.00034966i,0.0018091+0.025838i,0.011167+0.00071509i,-0.00068234-0.002246i,-0.025005+0.0015967i,0.0011516+0.0029432i,-0.0030653+0.0072376i,0.008205-0.00072555i,0.0082988+0.007719i,-0.0034579+0.0043831i,0.0040306-0.0029321i,0.0026738-0.0057633i,0.0076608+0.0016502i,0.0044754+0.0012764i,-0.0078394+0.00308i,-0.0018047-0.0050932i,0.0078728+0.0003528i,0.0021115+0.012116i,0.0013834+0.0018262i,-0.0098166-0.026929i,0.012795-0.004363i,0.0061414-0.0038581i,0.0019377+0.0018156i,0.0012042-0.00075765i,0.0060918-0.01232i,-0.00029961+0.0033379i,-0.0080981+0.0012387i,-0.0011161+0.0040415i,0.0057069-0.0032417i,0.007701-0.0067762i,-3.2692e-05-0.004499i,0.0096664-0.0039902i,0.0055658-0.0013697i,0.011223-0.01169i,-0.07296-0.0069459i,-0.018701-0.014069i,-0.0045158-0.007889i,-0.0036922+0.0022254i,-0.015193+0.026832i,-0.0063103+0.0030204i,-0.014444+0.003646i
-0.034978+0.010005i,-0.049601+0.030835i,-0.0105+0.044952i,-0.0091635+0.018225i,0.0090608+0.0039281i,0.019277+0.025903i,-0.011818+0.029151i,-0.031344+0.044403i,-0.013007+0.019136i,-0.0058493-0.0044592i,0.0012417-0.0046204i,-0.0010018+0.0037505i,0.0047744+0.00077941i,0.0012728+0.0065238i,0.002398+0.0031711i,-0.0028506+0.0070973i,-0.0022982+0.018289i,0.0007729+0.00090738i,-0.00023028-0.0061598i,-0.0010828-0.0038667i,-0.0029355-0.00295i,5.5437e-05-0.0046309i,-0.0010626-0.0040605i,-0.011446+0.0053122i,-0.0022738+0.0007427i,-0.00023135+0.0018479i,-0.0012598+0.00084802i,-0.00040236+0.0011663i,-0.0032577+0.00049517i,-0.0016084-0.0010249i,0.0031546+0.0038029i,0.0016263-3.7302e-05i,0.00049756-0.0007835i,0.00043311+0.00029675i,0.0016207+0.0040578i,-0.0087755-0.0092951i,-0.00083395+0.0037027i,-0.00088583+0.0012368i,0.00095806-0.00093029i,0.0049437-0.0035592i,-0.00042524-0.0021973i,0.0010956-0.0017268i,-0.006744+0.0030207i,-0.00028399-0.00019231i,-0.02755-0.018352i,-0.06403-0.05356i,-0.058094+0.011687i,-0.051398-0.0068831i,-0.073532+0.0069967i,-0.023748+0.0064391i,-0.024129+0.049423i,-0.02079+0.019833i,-0.034571-0.027458i,-0.048855-0.038593i,-0.028115+0.019035i,-0.0025231-0.00046887i,0.011602+0.020452i,0.0095683-0.0020743i,-0.0044146+0.00021378i,-0.024668+0.012234i,0.00065789+0.0048213i,0.00051122+0.0077207i,0.0031839-0.0021503i,0.011462+0.0047765i,-0.0012256+0.0066484i,0.0014638-0.0015737i,0.00047808-0.0069408i,0.0024196+0.0010488i,0.0017315+0.0021218i,-0.0063929+0.006882i,-0.0033078-0.0021006i,0.0073951-0.0022831i,0.0079888+0.007555i,0.0020302+0.00059395i,-0.014051-0.024123i,0.0093727-0.0082462i,0.0042706-0.0058529i,0.0045756+0.0019899i,0.00081844-0.00037127i,0.0027135-0.010998i,0.0021531+0.0028864i,-0.0053769+0.0059967i,0.0020654+0.0043665i,0.005181-0.0034579i,0.003374-0.011194i,-0.00039665-0.0036571i,0.0051654-0.0072462i,0.0034544-0.0034309i,0.0048925-0.015485i,-0.067536+0.0012276i,-0.028892-0.0077925i,-0.0082972-0.0096811i,-0.0041644-0.00038706i,-0.0095844+0.026481i,-0.0097707+0.0056271i,-0.01444+0.0075017i
-0.033829+0.013316i,-0.04539+0.038063i,-0.0066363+0.046069i,-0.0045597+0.017412i,0.0071014-0.0020304i,0.022997+0.021892i,-0.0062789+0.02882i,-0.02515+0.046397i,-0.009281+0.019721i,-0.0063644-0.0030621i,-0.0015985-0.0038279i,0.0011442+0.0048133i,0.0041075+0.00026364i,0.0040231+0.005368i,0.0032363+0.0024543i,0.00060649+0.0084686i,0.0062403+0.017427i,0.00093499+0.00042142i,-0.001933-0.0060484i,-0.0029208-0.003089i,-0.0032602-0.0016606i,-0.00064953-0.004846i,-0.0021572-0.0033465i,-0.0091421+0.006263i,-0.0027919+0.001599i,-0.00058946+0.0016631i,-0.0013584+0.00096907i,-2.4012e-05+0.00015947i,-0.0024949+0.0016047i,-0.0014494-0.00046736i,0.0042235+0.0026527i,0.0013775-0.00058269i,0.00022809-0.00065624i,0.00025572+7.828e-05i,0.0023688+0.0036747i,-0.012075-0.0073377i,0.00017092+0.0034017i,-4.0488e-05+0.0016196i,8.9298e-05-0.00065926i,0.0037656-0.003447i,-0.00087061-0.0018666i,0.00051827-0.0022869i,-0.0050979+0.0047232i,-0.00099398+0.0023169i,-0.031275-0.012416i,-0.063112-0.039031i,-0.055976+0.013964i,-0.052803+0.0053225i,-0.068406+0.024645i,-0.025907+0.0050663i,-0.013209+0.044083i,-0.01416+0.015374i,-0.037135-0.02418i,-0.053892-0.032616i,-0.021065+0.023018i,-0.0042554+0.00037065i,0.015795+0.0084673i,0.0084558-0.0054502i,-0.0058936+0.0043625i,-0.018524+0.022263i,0.0021304+0.0049059i,0.0051082+0.0055043i,0.0011857+0.00032776i,0.013551-0.0008794i,0.0015835+0.0074573i,0.0008141-2.6945e-05i,-0.0042139-0.0082754i,0.00057379+0.0044069i,0.0020431+0.0041423i,-0.0017598+0.010572i,-0.0017451+0.00049472i,0.0058953-0.003823i,0.010078+0.0025504i,0.0026477-0.0010367i,-0.022116-0.022047i,0.0048026-0.010102i,0.0010899-0.0068415i,0.0045163-0.00066821i,0.00078414+0.00068466i,0.0015589-0.0089622i,0.0033036+0.0010949i,-0.00098574+0.0073143i,0.0039241+0.0017559i,0.0036788-0.0043415i,-0.0036426-0.010764i,-0.0009753-0.0041955i,0.0014571-0.0069119i,0.0022226-0.0045986i,-0.0030153-0.015053i,-0.064872+0.0083682i,-0.02909+0.0069826i,-0.012284-0.0095898i,-0.0066309-0.0009298i,-0.0056279+0.026218i,-0.0091149+0.010336i,-0.0097376+0.0097723i
-0.032257+0.017362i,-0.039548+0.045419i,-0.00063501+0.047861i,-0.0020573+0.015025i,0.0025148-0.0050318i,0.026527+0.017009i,-0.001228+0.027568i,-0.01912+0.048457i,-0.006503+0.02004i,-0.007115-0.0011525i,-0.002912-0.0012398i,0.00385+0.0048188i,0.0037048-1.3875e-05i,0.0052088+0.0029882i,0.0034508+0.0016105i,0.0039266+0.0081661i,0.012793+0.012597i,0.0010191+8.3863e-05i,-0.0032371-0.0051356i,-0.0039612-0.0012266i,-0.0029486-0.00063794i,-0.0019614-0.004949i,-0.0027703-0.0024295i,-0.0080422+0.0084528i,-0.0025895+0.0023926i,-0.00052723+0.0023574i,-0.0012124+0.0015966i,-0.0010033-0.0007211i,-0.001893+0.0019267i,-0.0014775-0.00028447i,0.0047813+0.0010328i,0.0013817-0.00070354i,0.00045568-0.00075959i,0.00023251+4.5776e-05i,0.0035551+0.0019411i,-0.015032-0.0039872i,0.0012461+0.003303i,0.00064089+0.0011907i,-0.00048676-0.00052346i,0.0027381-0.0034971i,-0.0011682-0.0014615i,-0.00013785-0.0023497i,-0.003455+0.0050916i,-4.0049e-05+0.0034415i,-0.032381-0.007334i,-0.063289-0.033256i,-0.05449+0.018737i,-0.048111+0.016442i,-0.057747+0.038967i,-0.026939+0.0086915i,-0.0051151+0.039549i,-0.011462+0.010147i,-0.0391-0.02076i,-0.057561-0.024062i,-0.014772+0.025374i,-0.0038856+0.0011082i,0.0097675-0.0018067i,0.0050386-0.0093635i,-0.0044825+0.0076093i,-0.0092216+0.025914i,0.0024444+0.0037271i,0.0068848+0.00020132i,0.0026577+0.0012262i,0.011576-0.0053731i,0.0059688+0.0066898i,0.0011075+0.0022598i,-0.008346-0.0026709i,0.0024788+0.0068859i,0.0033328+0.0055667i,0.0039128+0.01035i,-0.00077997+0.00063582i,0.0046602-0.0050009i,0.010466-0.0040612i,0.00049513-0.0017577i,-0.030227-0.013677i,0.0010979-0.0097164i,-0.0016158-0.005155i,0.0050946+7.3284e-05i,0.0016076+0.00032665i,0.0013091-0.0099059i,0.0030293-0.0007799i,0.0020224+0.0053181i,0.0036769+0.00087315i,0.0032059-0.0035305i,-0.007162-0.0063044i,-0.0031277-0.004388i,-0.002125-0.0062118i,-0.00017165-0.0055269i,-0.0079844-0.01079i,-0.060551+0.015873i,-0.023053+0.0095477i,-0.012988-0.0076041i,-0.0083198-3.784e-05i,-0.00060752+0.023988i,-0.0077695+0.011884i,-0.0073523+0.008914i
-0.029572+0.021223i,-0.031791+0.051843i,0.0070054+0.048833i,-0.00079865+0.014025i,-0.0025352-0.004834i,0.028858+0.011607i,0.0032271+0.025594i,-0.012497+0.050558i,-0.0036878+0.020193i,-0.0071744+0.00083943i,-0.0017995+0.0010362i,0.0065306+0.002591i,0.003478-0.00019453i,0.0048325+0.0014362i,0.0038086+0.0011949i,0.006631+0.0062153i,0.015765+0.0067519i,0.00109-0.00070877i,-0.0043542-0.0043901i,-0.0038132+0.00097196i,-0.0025057+1.8276e-05i,-0.0032287-0.00378i,-0.0030578-0.0016619i,-0.0045774+0.0099598i,-0.0022164+0.0035721i,0.00067427+0.0027838i,-0.00069741+0.0021884i,-0.0024038-0.00015726i,-0.0012461+0.0023152i,-0.0013328+0.00016553i,0.0044216-0.00070061i,0.0015569-0.0016445i,6.8968e-05-0.0011048i,0.00020081+0.00011718i,0.0032902+1.7069e-05i,-0.016302+0.0013822i,0.0020848+0.0028434i,0.00086189+0.00080948i,-0.0013586-0.00020073i,0.00241-0.0035076i,-0.0011422-0.0011962i,-0.00063097-0.0022486i,-0.0025646+0.0050973i,0.00093176+0.0040652i,-0.03318-0.0030805i,-0.068704-0.027553i,-0.05267+0.024149i,-0.042659+0.024156i,-0.043158+0.047149i,-0.027276+0.012546i,0.0026103+0.033845i,-0.010607+0.0077304i,-0.041004-0.016689i,-0.059227-0.013988i,-0.0083902+0.026109i,-0.0035711+0.0018634i,0.0030254-0.0020097i,-0.00023335-0.011138i,-0.0012263+0.010999i,-0.00064887+0.024626i,0.0016175+0.002546i,0.0052709-0.0045369i,0.0025576+0.00079922i,0.0081718-0.0095819i,0.0093226+0.0035067i,0.0030489+0.0031388i,-0.0074548+0.0014089i,0.0055948+0.0080537i,0.0060555+0.0062386i,0.0090539+0.0071271i,-6.5845e-05+0.0012259i,0.00397-0.0060068i,0.0069111-0.0090473i,-9.2524e-05+3.5228e-06i,-0.034613-0.0017159i,-0.0013033-0.0088981i,-0.0027387-0.0031055i,0.0060196-0.00097541i,0.0016089-0.00026897i,-0.00052114-0.011652i,0.0017574-0.0017056i,0.0043444+0.0043029i,0.0044257-0.00024395i,0.0040786-0.0038962i,-0.0087589-0.0031969i,-0.0053736-0.0019937i,-0.0050218-0.0039353i,-0.0020121-0.0060544i,-0.010285-0.006382i,-0.05578+0.021891i,-0.021071+0.010562i,-0.013087-0.0080215i,-0.009022+0.001612i,0.00078227+0.022203i,-0.007227+0.012453i,-0.0051287+0.0084036i
-0.025932+0.025008i,-0.021875+0.056471i,0.015728+0.047719i,0.00057703+0.013397i,-0.0053181-0.0014187i,0.030366+0.0061341i,0.0068384+0.022377i,-0.0045644+0.051901i,-0.00076838+0.019889i,-0.0067345+0.0029824i,-0.00044808+0.0013293i,0.0069019-0.00099647i,0.0036252-0.00045983i,0.0048049+0.00016461i,0.0042617+0.00039477i,0.0075984+0.0036294i,0.015858+0.0010522i,-0.00024821-0.0014795i,-0.0059336-0.0027305i,-0.0023992+0.0022617i,-0.001804+0.00016174i,-0.0037545-0.0028355i,-0.0032894-0.00078973i,-0.00066492+0.0098097i,-0.00065245+0.0044089i,0.0016897+0.0021218i,0.00017381+0.0022576i,-0.0027212+0.0011362i,-0.00043391+0.0021338i,-0.0010055+0.00051351i,0.0035876-0.0021309i,0.0006155-0.0022399i,-0.00041174-0.00095895i,0.00020286+9.847e-05i,0.0024173-0.0010243i,-0.014966+0.0067489i,0.0026426+0.0020353i,0.0010594+0.0003441i,-0.0017056+0.00083927i,0.0018995-0.0038517i,-0.0013976-0.0011047i,-0.0010696-0.0022121i,-0.0018415+0.0053384i,0.0021254+0.0041817i,-0.034257+0.0023497i,-0.076648-0.01609i,-0.048352+0.029422i,-0.034515+0.030693i,-0.029275+0.051406i,-0.026014+0.019411i,0.0089598+0.026129i,-0.006511+0.005344i,-0.042104-0.010321i,-0.058039-0.0034929i,-0.0034428+0.025893i,-0.0038257+0.0020427i,-0.00021361-0.0009939i,-0.0061685-0.010595i,0.0048866+0.010995i,0.0045908+0.021395i,-0.00047834+0.0022041i,0.0031629-0.0076432i,0.0037247+0.0025245i,0.002329-0.011195i,0.010531-0.0020822i,0.0051624+0.0025657i,-0.0065096+0.0049636i,0.010617+0.0073904i,0.010179+0.0039245i,0.011117+0.0016269i,0.0011984+0.0015048i,0.0024002-0.0072457i,-0.00018881-0.010721i,0.0011594+0.0014154i,-0.034066+0.011578i,-0.0032757-0.0079966i,-0.0024667-0.00084554i,0.0066195-0.0049279i,0.0019647+6.8932e-05i,-0.0051944-0.012443i,0.00067273-0.0013917i,0.005887+0.0015749i,0.0040347-0.0014576i,0.0034996-0.0054783i,-0.0086555+0.0016541i,-0.0051321+0.0013498i,-0.0062338-0.00072585i,-0.0047313-0.006241i,-0.010509-0.0024706i,-0.051649+0.027392i,-0.021072+0.015209i,-0.014808-0.010194i,-0.0068071+0.0037004i,0.0033887+0.022278i,-0.0069578+0.015168i,-0.0023055+0.0059538i
-0.021413+0.027866i,-0.01161+0.058177i,0.024416+0.043985i,0.002126+0.012829i,-0.005118+0.0022941i,0.031464+0.00043731i,0.0090507+0.01895i,0.0037719+0.051165i,0.0020981+0.019514i,-0.0058278+0.0050332i,2.5291e-05+0.0012066i,0.0051504-0.0034118i,0.0036149-0.0014839i,0.004014-0.00086934i,0.0041297-0.00062328i,0.0071621+0.0015101i,0.014135-0.0034379i,-0.0010384-0.00096564i,-0.0059605-0.00045517i,-0.00088573+0.0024784i,-0.0012215-3.4445e-06i,-0.0040314-0.0021095i,-0.0029886+9.5042e-05i,0.0021736+0.0090038i,0.0014007+0.0040966i,0.0020845+0.0014801i,0.00096281+0.0019824i,-0.0019644+0.002414i,0.00016424+0.0016773i,-0.00088969+0.00070668i,0.0022315-0.0028893i,-0.00044401-0.0020745i,-0.00065545-0.00070516i,0.00014034+2.9682e-05i,0.0012893-0.0018298i,-0.011848+0.010995i,0.0029515+0.0009344i,0.00097295-0.00013049i,-0.0010618+0.0019739i,0.00097786-0.0043917i,-0.001604-0.00069899i,-0.0016358-0.0023058i,-0.00093637+0.0059463i,0.0035192+0.0037733i,-0.033141+0.0082748i,-0.078927+0.00039599i,-0.045759+0.032882i,-0.026445+0.033276i,-0.014935+0.052539i,-0.02028+0.026897i,0.0114+0.017214i,-0.0044917-0.0013246i,-0.038947-0.0044658i,-0.05311+0.0074172i,0.0029695+0.025304i,-0.0042737+0.0033302i,-0.0027701+0.0010195i,-0.010594-0.0070669i,0.0089073+0.0068379i,0.0086067+0.018794i,-0.0031709+0.0037543i,-0.00066203-0.010833i,0.0069104+0.00060188i,-0.0031712-0.0095043i,0.0075558-0.0063714i,0.0067785+0.00018455i,-0.0045108+0.0071689i,0.014614+0.0017101i,0.011514-0.0018849i,0.010158-0.0037487i,0.0030557+0.00069386i,-0.0002389-0.0079217i,-0.0048019-0.006728i,0.0028696+0.00047775i,-0.027146+0.026334i,-0.0050199-0.0065403i,-0.0010241+0.00076055i,0.0029974-0.0073911i,0.0027724-0.00028723i,-0.010314-0.0099755i,0.00077859-0.00061221i,0.0056698-0.0016252i,0.0032562-0.002476i,0.0017996-0.0059097i,-0.0058872+0.0057645i,-0.0029858+0.0036952i,-0.0056847+0.0029674i,-0.0082312-0.0049629i,-0.0098837+0.00040475i,-0.045753+0.034778i,-0.013677+0.020947i,-0.020057-0.010373i,-0.0034497+0.0028106i,0.0057933+0.021222i,-0.0041714+0.018783i,-0.0022919+0.0016449i
