-0.030484-0.040025i,-0.022466-0.019334i,-0.013451-0.035475i,-0.029949-0.019849i,-0.022371+2.0045e-05i,-0.013603-0.0053612i,-0.055438-0.058092i,-0.047388-0.017295i,-0.038309-0.014029i,0.010367+0.011636i,-0.0077824+0.0056154i,-0.018972+0.019024i,0.0026557+0.011364i,-0.0060524-0.0029058i,0.00024597+0.0011524i,-0.0014316+0.030233i,0.0277+0.027742i,0.0022682-0.0018777i,-0.0024089-0.0063017i,0.0079154+0.0024694i,0.0026193+0.0010517i,0.00025993+0.0037179i,-0.00034007+0.00029678i,-0.037267-0.011289i,-0.00025681-0.0075638i,0.0012884+0.0022812i,0.006282+0.0015093i,0.0019729+0.00053442i,0.0011537-0.00056845i,-0.00039876-0.0025632i,0.0015686-0.0025147i,-0.002675-0.0055315i,-0.00020343-0.0049239i,0.0029359-0.00081877i,0.0046964-0.0028649i,0.0025127+0.029855i,0.0038333-0.0033106i,0.0031071-0.0017065i,0.0081282-0.0012568i,-0.0048768-0.0020637i,-0.00018492+0.0011461i,0.0092668+8.8192e-05i,0.0039257-0.0025606i,-0.0014329+0.0090187i,-0.018644-0.0078447i,-0.018664+0.014245i,-0.0043896-0.061386i,-0.0055506-0.027113i,-0.026917-0.03268i,-0.011258-0.026757i,0.054044-0.021496i,0.016387-0.043151i,0.022133-0.049347i,0.0051295-0.055191i,0.025999-0.021089i,0.0083806+0.0059966i,0.024269-0.034488i,-0.0081548-0.0065319i,0.0040193-0.0046727i,-0.0047044-0.0071896i,-0.0023001-0.033191i,-0.01837+0.030041i,0.0082654-0.01228i,-0.0091832-0.0038573i,-0.0042709-0.0015281i,0.00065243-0.013039i,-0.011656+0.0047643i,0.0027098+0.010373i,-0.0048625+0.026753i,0.0045409+0.0026225i,-0.0054193-0.001786i,-0.0022061-0.0019742i,-0.0128-0.0076276i,-0.00037959-0.0043202i,-0.035599+0.0015417i,0.00087765-0.010858i,-0.0083592+0.0002048i,-0.0066453-0.0026704i,0.0053535+0.0013032i,-0.0080149-0.0006391i,0.0019595-0.00036845i,0.0037624+0.0068772i,0.0043933+0.00044193i,-0.0085713-0.01317i,0.0029058+0.0093131i,-0.015136+0.0048275i,0.0071019+0.00022357i,-0.022459+0.0003889i,-0.017499+0.0053075i,-0.0084593-0.066186i,0.0071963-0.013128i,-0.049497-0.022522i,-0.02151+0.0012302i,0.01745+0.011168i,-0.022563+0.015109i,-0.019407-0.0047254i
-0.041413+0.034112i,-0.01557+0.018853i,-0.020797+0.042223i,-0.026094+0.013713i,-0.004072+0.021i,-0.00054762+0.00776i,-0.029653+0.017466i,-0.0036309+0.029721i,0.0084863+0.018196i,-0.0045911-0.0066078i,0.0025044+0.0029992i,0.0075456-4.7485e-05i,0.0052022+5.346e-05i,-0.00036037+0.0034022i,0.0006742+0.0021514i,0.0061257-0.0048614i,-0.0065326-0.0007143i,-0.0032151-0.0010824i,0.0037281-0.0014834i,-5.4754e-06-0.00077104i,0.0026276-0.0049531i,0.0016241-0.002784i,0.0013212-0.0024375i,-0.0094927-0.010907i,-0.00090504+0.0017805i,-0.001699+0.00011623i,-0.004175-0.0013192i,-0.0029159-0.0001542i,-0.00077276-0.001523i,-0.00024528-0.00069036i,-0.00096407+0.0036848i,0.00067028+0.00083806i,0.0015707+0.00069689i,-0.00052565+0.00073652i,-0.0029468+0.0028223i,-0.0010681-0.007595i,-0.0025987+0.0010789i,0.00074734-0.00045128i,-0.001794+0.0035885i,0.0037161+0.0027773i,-0.00054178-0.0015856i,-0.00044495-0.0031744i,-0.0034455-0.00037154i,0.0040431+0.0001037i,-0.01654+0.025678i,0.0067373-0.035854i,-0.053707+0.0053128i,0.0072832-0.031653i,-0.032051-0.048056i,-0.029481-0.019432i,-0.061732+0.02164i,-0.037795+0.0018054i,-0.034035-0.0059206i,-0.029118-0.021306i,-0.038975-0.023277i,-0.0051801+0.0029765i,-0.027911+0.009841i,0.0062724+0.018783i,0.0031606+0.0079946i,-0.0032344-0.0052559i,0.0020155+0.0013519i,-0.010641-0.00336i,0.0054874+0.01107i,-0.00034622+0.0060319i,-0.0018073-0.001448i,0.0013096+0.0017783i,0.0038354-0.0012662i,-0.0033449+0.018236i,0.0029197+0.014293i,0.0040463-0.00036918i,0.0095723-0.006458i,0.0044067+0.0031485i,-0.0088539-0.0072191i,-0.00095581-0.0030182i,0.025842-0.034691i,0.0078507+0.0097861i,0.0052068+0.0022945i,-0.002607+0.0031213i,0.0036113-0.0056627i,0.021225+0.0078863i,0.0036208+0.0023427i,6.0301e-05-0.006482i,0.00091912-0.0026292i,0.014866+0.0073026i,0.0048821+0.0012466i,0.0026489-0.0046442i,0.0042869+0.0085424i,-0.0003645+0.001484i,0.0087472+0.0027053i,-0.044558-0.014167i,-0.0054296+0.011149i,-0.0019796-0.0050599i,-0.0063687+0.0055254i,-0.036607+0.012582i,-0.0054378+0.0073085i,-0.0090007+0.013983i
-0.035166+0.04034i,-0.012595+0.018354i,-0.010289+0.038065i,-0.02333+0.016473i,-0.0012074+0.019106i,0.00078694+0.0076539i,-0.028253+0.022411i,0.0021887+0.02885i,0.010606+0.012612i,-0.0059236-0.004009i,0.0034833+0.0034648i,0.0068239-0.002604i,0.0046357-0.0018165i,0.0015792+0.0038911i,0.00099482+0.0021341i,0.0018552-0.0043376i,-0.0077462+0.0031363i,-0.0031297+4.183e-05i,0.0038441-0.0024137i,0.00028483-0.00083605i,0.0010774-0.005228i,0.0012827-0.0025062i,0.00067623-0.0025182i,-0.011421-0.0076894i,0.00012667+0.0013082i,-0.0017318+0.00061113i,-0.0036702+0.00051949i,-0.0021771+0.00057106i,-0.0012737-0.0014449i,-0.00016042-0.00052471i,0.0005298+0.0037578i,0.00020202+0.0007985i,0.0013193-0.00021541i,-0.00065012+0.00087316i,-0.0027589+0.0032574i,-0.0013004-0.0066932i,-0.002118+0.0015652i,-0.00023705-0.001012i,-0.0010928+0.004271i,0.0035528+0.00049633i,-0.00078055-0.0013976i,-0.0021502-0.0029025i,-0.0035249+0.00069835i,0.0043092-0.0009837i,-0.012127+0.024953i,-0.006534-0.041274i,-0.047167+0.015604i,-0.0021076-0.038931i,-0.045731-0.042077i,-0.0298-0.012828i,-0.050233+0.033342i,-0.034957+0.010257i,-0.024977-0.0084846i,-0.030905-0.016843i,-0.044456-0.0078918i,-0.004372+0.0027157i,-0.023164+0.021826i,0.011321+0.012823i,0.0054718+0.0045406i,-0.0085203-0.0080692i,-0.0013208+0.0033312i,-0.010301+0.0032374i,0.0098015+0.0077782i,0.00077079+0.007625i,-0.0019373-6.5388e-05i,0.002103+0.0028547i,0.0038535-0.0014886i,0.00522+0.01467i,0.0083339+0.0086046i,-0.00037079-0.0033499i,0.0033341-0.0077278i,0.0049235+0.0025485i,-0.01155+0.00099088i,-0.0024439-0.00078423i,0.0089743-0.037421i,0.011773+0.007383i,0.0068967-0.00028994i,0.00079353+0.0028076i,-0.0002851-0.0034253i,0.022191-0.0021714i,0.003459+0.00070028i,-0.0032582-0.0050761i,-0.0025868-0.0013697i,0.014115+0.0012426i,0.004893+0.0012772i,0.00083007-0.0034732i,0.0067847+0.0064839i,-0.00026338+0.0025002i,0.0090681-0.00044651i,-0.047769-0.0093137i,-0.00027309-0.0029586i,-0.0012567-0.0047718i,-0.0043506+0.0053249i,-0.030066+0.023443i,-0.0029396+0.0081177i,-0.0046414+0.014447i
-0.027462+0.045177i,-0.010519+0.018221i,-0.0051433+0.031972i,-0.020612+0.019043i,0.0021532+0.018121i,0.0023982+0.0070807i,-0.024319+0.027897i,0.0076523+0.026484i,0.0098344+0.0086161i,-0.0062467-0.0013303i,0.0053142+0.0030213i,0.003013-0.0037851i,0.0035011-0.0029096i,0.002406+0.0032937i,0.0014974+0.0020779i,-0.0012864-0.0015829i,-0.0064429+0.0074317i,-0.0022246+0.0007937i,0.0034361-0.0041808i,0.00057332-0.0014743i,-0.00052439-0.004953i,0.0014076-0.0029488i,0.0001778-0.002508i,-0.013299-0.0048673i,0.00045701+0.00097886i,-0.001176+0.0013785i,-0.0025861+0.0010292i,-0.0010925+0.0011706i,-0.0015296-0.0012011i,-0.00042308-0.00073878i,0.0018698+0.0030299i,0.00024274+0.00096119i,0.0009552-0.00054072i,-0.00045947+0.00086714i,-0.0010802+0.0044367i,-0.0011057-0.0067276i,-0.0019179+0.0018839i,-0.0011202-0.00093669i,0.0016299+0.0030661i,0.002602-0.00063037i,-0.0011094-0.0011007i,-0.0018462-0.0012433i,-0.0033186+0.0016368i,0.003878-0.0028564i,-0.0090874+0.024824i,-0.02237-0.039367i,-0.037345+0.021917i,-0.014159-0.040792i,-0.053626-0.032673i,-0.026507-0.0073375i,-0.034571+0.039399i,-0.023293+0.015549i,-0.027248-0.012112i,-0.031534-0.012946i,-0.042085+0.0066603i,-0.0037432+0.0030564i,-0.011667+0.029143i,0.013193+0.0068081i,0.0033961-0.0002803i,-0.017783-0.0052866i,-0.00061833+0.0048856i,-0.0058509+0.0068242i,0.011362+0.002277i,0.0034846+0.0075175i,-0.0033464+0.0017274i,0.0022615+0.0011995i,0.0039803-0.0030261i,0.0078694+0.0077972i,0.0083168+0.0031317i,-0.0048052-0.00039734i,0.00031662-0.0060258i,0.0065316+0.0014548i,-0.0070712+0.0098309i,-0.00058425+0.0012251i,-0.0039064-0.033347i,0.015426+0.0013406i,0.0057052-0.0027574i,0.0012233+0.0013802i,-0.00023851-0.0014484i,0.017196-0.010143i,0.0017417+0.0023734i,-0.0051968-0.0027322i,-0.0031083+0.0023851i,0.01076-0.0028643i,0.0084632-0.0010777i,0.00075294-0.0033536i,0.009936+0.0027406i,0.00297+0.0022186i,0.008059-0.0034948i,-0.050609+0.00027603i,-0.0091539-0.011683i,0.00081206-0.0079667i,-0.0028252+0.0034595i,-0.01971+0.027969i,-0.0033216+0.0033047i,-0.0017272+0.0095469i
-0.018972+0.04788i,-0.0081084+0.019076i,-0.003466+0.026823i,-0.016799+0.021606i,0.0053116+0.015134i,0.0039182+0.0055244i,-0.017955+0.032279i,0.012195+0.022561i,0.0091774+0.0069876i,-0.0056396+0.0010021i,0.0062311+0.00070044i,0.00081499-0.0013747i,0.0021062-0.0032842i,0.0023925+0.0032893i,0.0018713+0.0016756i,-0.001597+0.0025097i,-0.0022198+0.010531i,-0.0016737+0.00089804i,0.0019376-0.0048785i,-9.6536e-05-0.0022113i,-0.0017139-0.0039732i,0.0010871-0.0032787i,-0.0003552-0.0026717i,-0.014922-0.00035236i,0.00079275+4.3017e-05i,-0.00028109+0.00095724i,-0.0021459+0.0008686i,3.4764e-05+0.00066017i,-0.0017387-0.00052214i,-0.00077131-0.00039732i,0.0026705+0.0018392i,0.00050022+0.0010751i,0.00025402-0.00074909i,-0.00023971+0.00084841i,0.00091977+0.0036931i,-0.0022708-0.0084719i,-0.0010857+0.0026027i,-0.0017224-0.00033597i,0.0015157+0.00023543i,0.0018274-0.00096588i,-0.0011822-0.00063948i,-0.0014536-0.0012361i,-0.0026217+0.0026292i,0.0011994-0.0049953i,-0.0061274+0.025609i,-0.0348-0.027316i,-0.028013+0.022717i,-0.025505-0.03731i,-0.061109-0.021944i,-0.021744-0.0055389i,-0.020672+0.038366i,-0.013341+0.011477i,-0.028559-0.0092022i,-0.031768-0.0079388i,-0.035684+0.017046i,-0.0033188+0.0033655i,0.00079561+0.028897i,0.013507+0.0015801i,-0.0013697-0.00098303i,-0.022778+0.0056309i,-0.00060894+0.0066927i,-0.0017847+0.0060911i,0.0087417-0.0037574i,0.0059823+0.0063839i,-0.0026682+0.0046704i,0.00030255+0.0017849i,0.0031283-0.0057178i,0.0060566+0.0022636i,0.0053747+0.00046053i,-0.0036811+0.002797i,-0.0015235-0.0043981i,0.0066956-0.00070143i,0.0027859+0.011334i,0.00026183+0.00069571i,-0.010986-0.026488i,0.013373-0.0046596i,0.0042102-0.0043136i,0.0020851+0.0023437i,-0.00012909-0.0013257i,0.011222-0.013099i,0.0049704+0.003085i,-0.0057762+0.00031547i,-0.00063503+0.0040968i,0.0078112-0.0036083i,0.0079384-0.0063316i,-0.00069329-0.0028933i,0.0090116-0.0032845i,0.0028944-0.00071566i,0.006744-0.0067641i,-0.046704+0.011876i,-0.01931-0.010201i,-0.0019395-0.013189i,-0.0021308+0.0012549i,-0.011879+0.027551i,-0.0072197+0.0032548i,-0.002415+0.0084721i
-0.010868+0.049113i,-0.006022+0.01899i,-0.0042525+0.024261i,-0.012386+0.023117i,0.006837+0.011832i,0.0041904+0.0036667i,-0.010418+0.03398i,0.015089+0.017954i,0.0097034+0.0058029i,-0.003852+0.0025267i,0.0054743-0.00096973i,0.0012486+0.00054494i,0.0011077-0.0032915i,0.0036689+0.0036442i,0.0021736+0.0012297i,0.00034465+0.0051706i,0.0028088+0.01111i,-0.0014112+0.0010551i,0.00069968-0.0051618i,-0.0011012-0.0022081i,-0.002665-0.0031819i,0.00033562-0.0035362i,-0.0012015-0.0025301i,-0.012554+0.0043646i,-7.8588e-05-0.0011559i,-0.00035425+0.00025302i,-0.0015804+0.0010781i,0.00019556-0.00039083i,-0.0016607+5.3285e-05i,-0.00051014+3.9463e-06i,0.002764+0.00056782i,0.0011532+0.00041998i,-0.00037245-0.00039985i,-0.00028467+0.00089466i,0.0014633+0.0027401i,-0.0055082-0.0092767i,-0.00026232+0.0026321i,-0.0017453+0.00074564i,-0.00024608-0.00016677i,0.0010797-0.00072838i,-0.0010493-0.00039017i,-0.0018824-0.001154i,-0.0013605+0.0031163i,-0.0016149-0.0033679i,-0.0018026+0.026468i,-0.035408-0.012439i,-0.021737+0.020979i,-0.034618-0.030125i,-0.066389-0.0071947i,-0.018926-0.00771i,-0.0095318+0.033783i,-0.0088969+0.0061731i,-0.028344-0.0072589i,-0.030402-0.0046822i,-0.028419+0.024717i,-0.0026192+0.0034434i,0.012921+0.023517i,0.012222-0.0030701i,-0.0046364+0.0017399i,-0.020519+0.015377i,0.0016623+0.0078753i,0.00066208+0.0066615i,0.0025344-0.0047936i,0.0078041+0.0043519i,-0.0004551+0.0063516i,0.00024814+0.0039934i,0.0011834-0.0069709i,0.0018724+0.0025594i,0.0028407+0.0009581i,-0.0026016+0.0045596i,-0.0025496-0.0021799i,0.0058233-0.002841i,0.0079509+0.0066447i,0.00052791+0.00023686i,-0.014987-0.023551i,0.0096019-0.0084431i,0.0021548-0.0052982i,0.0050612+0.0017396i,-0.00052849-0.00074133i,0.0069573-0.013718i,0.0073164+0.0004364i,-0.004118+0.0035203i,0.0020809+0.0038536i,0.0072105-0.0041244i,0.0028996-0.011189i,-0.00063228-0.0020023i,0.0045506-0.0060801i,0.00085562-0.0016813i,0.0028622-0.0096269i,-0.038258+0.016841i,-0.027141-0.0020426i,-0.0070562-0.014818i,-0.002997-0.0011703i,-0.0068435+0.026244i,-0.0096283+0.0061111i,-0.0013426+0.0090611i
-0.0028383+0.049166i,-0.0041125+0.019515i,-0.0046195+0.025019i,-0.0080093+0.023064i,0.0069525+0.008851i,0.0042196+0.0025432i,-0.0023532+0.03309i,0.016634+0.013478i,0.010531+0.0036621i,-0.002527+0.0026156i,0.0038423-0.0018315i,0.0022728+0.0014885i,2.0315e-05-0.0031258i,0.0052311+0.0024247i,0.002201+0.00070466i,0.0031055+0.0059733i,0.0077528+0.0091221i,-0.00095441+0.0014837i,-0.00109-0.0051301i,-0.0019135-0.001726i,-0.002844-0.0019397i,-0.00030006-0.0035562i,-0.0017926-0.0019832i,-0.010396+0.0059929i,-0.0013093-0.00083344i,-0.00082981+0.00016773i,-0.0012569+0.0012029i,-0.00025882-0.0012634i,-0.0013409+0.00044993i,-0.00034261-0.00011456i,0.0024924-0.00042163i,0.0011728-0.00040441i,-0.00055311-1.4282e-05i,-0.00014667+0.0008432i,0.0015761+0.0023195i,-0.0090454-0.0081243i,0.00025284+0.002273i,-0.0011123+0.0013677i,-0.0011194+0.00049483i,0.00081678-0.00031647i,-0.0008932-3.7011e-05i,-0.0021242-0.00050395i,-0.00029656+0.0028515i,-0.002423-0.00097263i,0.0026675+0.026822i,-0.029795-0.0045092i,-0.017806+0.019282i,-0.039782-0.019161i,-0.063875+0.011472i,-0.022371-0.010293i,-0.0026651+0.027216i,-0.0064492+0.0017667i,-0.027267-0.004371i,-0.030281-0.0014834i,-0.020481+0.029016i,-0.0029777+0.0036938i,0.018696+0.010174i,0.01014-0.0075616i,-0.0055185+0.0058335i,-0.012912+0.023368i,0.0041815+0.0068105i,0.0042566+0.0046245i,0.00018356-0.0016743i,0.0094526+0.0010884i,0.0017932+0.0073697i,0.001757+0.0050682i,-0.0035451-0.008766i,0.001325+0.0058728i,0.0028751+0.0023742i,0.00018683+0.0073269i,-0.0017454-0.00036496i,0.004358-0.0036403i,0.0095759+0.001583i,0.0010088-0.00066959i,-0.022705-0.021302i,0.0053397-0.010139i,-0.00021599-0.0052961i,0.0047811-0.001156i,-0.00010761+0.00059124i,0.0044424-0.012946i,0.0070186-0.0029023i,-0.0012989+0.0048005i,0.0033901+0.001736i,0.0055476-0.0059178i,-0.0037482-0.010483i,-0.00095546-0.0022182i,0.0016392-0.0054902i,0.00041412-0.002553i,-0.0019214-0.009079i,-0.033153+0.019345i,-0.024514+0.011341i,-0.011591-0.014146i,-0.0050308-0.0017582i,-0.003165+0.025407i,-0.0086573+0.010558i,0.002076+0.007785i
0.0050459+0.047902i,-0.0015852+0.020384i,-0.0029557+0.027035i,-0.0048122+0.021974i,0.0061091+0.0071614i,0.0043111+0.0014389i,0.004454+0.030128i,0.017073+0.0095477i,0.011054+0.0015755i,-0.0019659+0.0027297i,0.002779-0.0013096i,0.0043691+0.0017113i,-0.00096049-0.0026468i,0.0056213-0.00040439i,0.0020129+0.00034968i,0.0055362+0.0052768i,0.010859+0.0050815i,-0.00038067+0.0017768i,-0.0023114-0.0044002i,-0.0023713-0.00080165i,-0.0024533-0.00086443i,-0.0012585-0.003448i,-0.0021368-0.001358i,-0.0092438+0.0086998i,-0.0018722-0.00010535i,-0.0011574+0.00065916i,-0.00097731+0.0014782i,-0.0014069-0.0015935i,-0.0010947+0.00050671i,-0.00046796-0.00028249i,0.001957-0.001189i,0.0011151-0.00057258i,-0.0001701+4.3244e-05i,4.7528e-05+0.00080852i,0.0021066+0.0012283i,-0.012148-0.0059298i,0.00086708+0.0020963i,-0.00066183+0.001389i,-0.0010548+0.0010604i,0.00084142-0.0001129i,-0.00064483+0.00016689i,-0.0016537-5.9727e-05i,0.00026511+0.0022657i,-0.002052+0.00045844i,0.0079981+0.025564i,-0.026013-0.0031749i,-0.014835+0.018515i,-0.039244-0.0090334i,-0.054176+0.026784i,-0.025648-0.0076881i,0.0016309+0.022006i,-0.006592-0.0023971i,-0.025565-0.0024815i,-0.028973+0.0029168i,-0.012595+0.032071i,-0.0019377+0.0039311i,0.013102-0.0016436i,0.0055693-0.011067i,-0.0037888+0.0089617i,-0.0039139+0.024919i,0.0052152+0.0045119i,0.0049294+0.00059204i,0.0014257-0.0004368i,0.0088369-0.0019334i,0.0063212+0.0065486i,0.0034758+0.0059759i,-0.0078148-0.0034201i,0.0041155+0.0073852i,0.004152+0.0028616i,0.0041203+0.0070257i,-0.0011766+0.000226i,0.0033607-0.0044478i,0.0094437-0.0046766i,-0.00067223-0.0010194i,-0.030771-0.012427i,0.0015658-0.010137i,-0.0021691-0.0038911i,0.0048808-0.00080279i,0.00050028+0.0006885i,0.0028495-0.015023i,0.005144-0.0053833i,0.00089916+0.0038775i,0.0033714+0.00080962i,0.0041676-0.0067296i,-0.0069129-0.0061619i,-0.0022165-0.0020452i,-0.00083935-0.00495i,-0.0011654-0.0030575i,-0.0047988-0.0067852i,-0.027337+0.021564i,-0.017659+0.012032i,-0.012132-0.012823i,-0.0063551-0.00098361i,0.0010903+0.023675i,-0.0073732+0.012179i,0.002496+0.0052441i
0.012326+0.045447i,0.001733+0.021046i,0.00066008+0.029343i,-0.0021452+0.021696i,0.005253+0.0066073i,0.0039309+0.00054572i,0.0097925+0.02608i,0.017069+0.0063524i,0.011306-0.0012214i,-0.0013973+0.0029118i,0.0029952-0.0008143i,0.0062059-0.00051163i,-0.0017085-0.0017692i,0.0037525-0.0016562i,0.0019846+0.00019831i,0.0074316+0.0032992i,0.011664+0.00076435i,0.00044635+0.0015264i,-0.0033046-0.0035403i,-0.0021546+0.00036517i,-0.0017783-0.00027209i,-0.0020992-0.0026166i,-0.0023286-0.00076288i,-0.0051318+0.010937i,-0.0020673+0.00081931i,-0.00087217+0.0012794i,-0.00058897+0.0017522i,-0.0026662-0.0010308i,-0.00099506+0.00058249i,-0.00065811-0.00018417i,0.0011392-0.0016488i,0.0012886-0.0014494i,-0.00034316-6.7011e-05i,0.0001091+0.00069335i,0.0017671+0.00030652i,-0.014461-0.0018867i,0.0013257+0.001599i,-0.00030301+0.0016157i,-0.00098671+0.0012167i,0.0011199+0.00011506i,-0.00026758+0.0001833i,-0.0014442+0.00013777i,0.00045753+0.001713i,-0.0012873+0.0014202i,0.012317+0.022506i,-0.026167-0.0023382i,-0.012933+0.017243i,-0.037971-0.00092216i,-0.040721+0.034808i,-0.028535-0.0045063i,0.005683+0.016162i,-0.0077202-0.0040525i,-0.024556-0.0013394i,-0.026643+0.0074245i,-0.0034973+0.032903i,-0.00088759+0.003789i,0.0060955-0.0034336i,0.00033353-0.012243i,0.00024059+0.011957i,0.0040296+0.022383i,0.004712+0.0022523i,0.0034499-0.0023141i,0.00094202-0.00026404i,0.0071718-0.0052284i,0.0092866+0.0030165i,0.006097+0.0056234i,-0.0076725+0.00070397i,0.0070233+0.0074539i,0.0058051+0.0025838i,0.0081411+0.0048232i,-0.00069633+0.00083234i,0.002865-0.0052894i,0.0054086-0.0085809i,-0.00087374+0.00099654i,-0.03408-8.6861e-05i,-0.0011155-0.0094417i,-0.0029715-0.0020124i,0.0055215-0.0016837i,0.00088503+0.00042172i,-0.0015659-0.017168i,0.0024766-0.0065996i,0.0024776+0.0032784i,0.0037193-0.00021267i,0.0035897-0.0076736i,-0.0088192-0.0034372i,-0.0034855-0.00038364i,-0.0032615-0.0033163i,-0.0022087-0.0027434i,-0.0060413-0.0045164i,-0.022295+0.021771i,-0.01607+0.012231i,-0.012988-0.013467i,-0.0070762+0.00034083i,0.0029861+0.022709i,-0.0062575+0.013032i,0.0029951+0.003978i
0.01944+0.042039i,0.0060612+0.020728i,0.0066246+0.030201i,0.00083221+0.021408i,0.0055332+0.0070666i,0.0036891+0.0001407i,0.013442+0.020722i,0.017065+0.0033788i,0.010593-0.0041076i,-0.00092765+0.0030578i,0.0032469-0.0015373i,0.0055055-0.0037089i,-0.0019703-0.00076768i,0.0028542-0.0017792i,0.0020372-2.8866e-05i,0.0078017+0.00054063i,0.010619-0.0032792i,0.00053374+0.00089385i,-0.0043885-0.0022144i,-0.0013167+0.00093331i,-0.00096035-0.00031623i,-0.0022712-0.0018766i,-0.002312-5.607e-05i,-0.00090759+0.010939i,-0.0016846+0.0016251i,-0.00031092+0.0015423i,0.00015372+0.0018909i,-0.0032089+0.0003016i,-0.00076764+0.00051654i,-0.00077654-5.175e-05i,0.00028957-0.0016802i,0.00017042-0.0020876i,-0.00050166+0.00013936i,0.00013657+0.00067408i,0.0011583-0.00024053i,-0.014394+0.0030679i,0.0014559+0.0010752i,0.00033822+0.0015992i,-0.00084631+0.0016062i,0.0013789-0.00013254i,-0.00010938-8.0179e-05i,-0.0010295+0.0001711i,0.00031629+0.0013278i,-0.00034198+0.0018125i,0.01535+0.019524i,-0.028297+0.0015196i,-0.011252+0.0165i,-0.032855+0.0069031i,-0.028081+0.03916i,-0.030714+0.0024713i,0.0079034+0.0089368i,-0.0059581-0.0061993i,-0.023473+0.0010121i,-0.022329+0.012156i,0.0042691+0.031022i,-0.00047981+0.0029661i,0.0019684-0.0032369i,-0.0052169-0.011709i,0.0063519+0.011377i,0.0086294+0.017261i,0.0028898+0.00081753i,0.0016765-0.0042769i,0.0017435+0.0022182i,0.0035989-0.0071927i,0.010299-0.0024005i,0.0083685+0.0036227i,-0.0069485+0.0045044i,0.011059+0.0059338i,0.00803+0.00023907i,0.0099521-0.0001278i,0.00023418+0.0013495i,0.0013597-0.0059761i,-0.00046937-0.0090395i,0.00088034+0.0023574i,-0.032473+0.012981i,-0.0031494-0.0084991i,-0.0025307-0.00013949i,0.0053279-0.0056292i,0.0013685+0.00072156i,-0.008166-0.016399i,-0.00037868-0.0061528i,0.0036692+0.0017256i,0.0037169-0.00057754i,0.0017055-0.0088884i,-0.0092151+0.0019424i,-0.0031422+0.0017078i,-0.0046628-0.0013865i,-0.0034995-0.0026745i,-0.0062916-0.002273i,-0.019585+0.022367i,-0.015148+0.016425i,-0.016124-0.015788i,-0.0052353+0.0019394i,0.0069702+0.022353i,-0.0055428+0.015123i,0.0040648+0.0012355i
0.025713+0.037401i,0.010205+0.018984i,0.012832+0.02795i,0.0041096+0.020321i,0.0067953+0.0071116i,0.0039538-0.00012651i,0.015098+0.015473i,0.016683+0.00049141i,0.0092235-0.0063547i,-0.00056669+0.0034154i,0.0027899-0.0021944i,0.0030249-0.0052446i,-0.0019302+8.4981e-05i,0.0019538-0.0018577i,0.0020123-0.00030783i,0.006714-0.0016358i,0.0082613-0.0059963i,0.00055253+0.00069565i,-0.0045125-0.00053242i,-0.00054987+0.00092365i,-0.00029253-0.00074107i,-0.0023766-0.0015196i,-0.0019818+0.00052573i,0.0021149+0.0099387i,-0.0011049+0.0020719i,0.00022428+0.0016525i,0.00069051+0.0013481i,-0.0027512+0.0017521i,-0.00075031+0.00033535i,-0.0010083+0.00018853i,-0.00041956-0.0014017i,-0.001161-0.0018234i,-0.00031799+0.00033029i,0.00034345+0.00067668i,0.00052583-0.00055163i,-0.012385+0.0072388i,0.0015139+0.00058542i,0.00072288+0.0011414i,-0.0002601+0.0021418i,0.0014463-0.00076746i,-0.00014559-0.00021808i,-0.00089467-0.00025939i,0.00013568+0.0013198i,0.00056973+0.0017669i,0.017863+0.016884i,-0.027457+0.0084422i,-0.010923+0.015984i,-0.026491+0.010243i,-0.014952+0.040457i,-0.028632+0.011442i,0.0064915+0.0019235i,-0.0064676-0.011583i,-0.020007+0.0023421i,-0.015281+0.016108i,0.012272+0.02696i,-0.00073172+0.0027579i,-0.0017346-0.0017121i,-0.0097453-0.008317i,0.010518+0.0069143i,0.011022+0.013363i,-0.00019286+0.0015734i,-0.00084917-0.0064128i,0.0053277+0.0011144i,-0.00024054-0.0067866i,0.0070898-0.0062909i,0.0095985+8.1902e-05i,-0.00542+0.0071059i,0.014028+0.0003646i,0.0078161-0.0044431i,0.008506-0.0052702i,0.0015446+0.0011802i,-0.00049103-0.0062428i,-0.0041168-0.0057337i,0.0028478+0.001338i,-0.024514+0.026496i,-0.0052518-0.0072508i,-0.0012907+0.001031i,0.0013801-0.0071635i,0.0021714+0.00049519i,-0.014096-0.012416i,-0.0016241-0.0042021i,0.0037911-0.00052176i,0.0033474-0.001362i,-0.00089597-0.0087046i,-0.0055863+0.0067552i,-0.0017913+0.0030631i,-0.0048024+0.0019755i,-0.0053995-0.0019103i,-0.006093-0.0010351i,-0.015188+0.02588i,-0.0067731+0.020306i,-0.022104-0.01518i,-0.0027472+0.00041951i,0.010014+0.020206i,-0.0030853+0.017666i,0.0029812-0.0023988i
