-0.023315-0.019306i,-0.032024-0.034144i,-0.022504-0.019921i,-0.032173-0.020844i,-0.024168+0.0038192i,-0.028821-0.01872i,-0.055086-0.048518i,-0.04159-0.044431i,-0.030028-0.02384i,0.0051577+0.0056747i,-0.0036338+0.0068016i,-0.010813+0.011185i,0.0041351+0.0069447i,-0.0039057-0.0028655i,0.0029075+0.0019507i,0.0014767+0.029214i,0.024952+0.031845i,-3.9203e-06+7.3976e-05i,-0.0029727-0.0026842i,0.0074741+0.0038592i,0.0021163+0.0004815i,-0.00019025+0.0025078i,-0.00065971+0.00013782i,-0.031905-0.0024988i,-0.0033489-0.0051257i,3.6891e-05+0.0024842i,0.0039772-0.00082002i,0.00078772-0.00035172i,-0.00064404-0.0005408i,-0.00099237-0.0020657i,-0.0021404-0.00068961i,-0.0038884-0.0038227i,-0.0030369-0.0050416i,0.00042498-0.0016141i,0.00059243-0.0032141i,-0.0015907+0.025679i,0.0020222-0.0029047i,0.0024144-0.0040103i,0.0046635-0.0022216i,-0.0058966-0.0018025i,0.000602+0.0014008i,0.010049-0.00060317i,-0.0014764+0.00014246i,-0.0031196+0.0017356i,-0.0082199-0.00298i,-0.018728+0.021765i,-0.0085688-0.087126i,-0.0026824-0.061541i,-0.020953-0.054118i,-0.01154-0.045812i,0.052785-0.026771i,0.023968-0.066767i,0.040681-0.054951i,0.018426-0.039993i,0.025786-0.02017i,0.01242+0.011838i,0.025085-0.02881i,-0.011245-0.00082935i,-0.0011131-0.00026956i,-0.0085446-0.0013982i,-0.0049947-0.029725i,-0.021189+0.026212i,0.0072771-0.0097475i,-0.010421-0.0031022i,-0.0025096-0.0017235i,-0.00094468-0.014696i,-0.0082251+0.0054032i,0.0061937+0.010345i,-0.01063+0.029639i,0.006496+0.0075105i,-0.0035123-0.0018645i,-0.0022243-0.0014151i,-0.01246-0.0062249i,0.00040704-0.0042978i,-0.03355+0.0031659i,0.0030778-0.0090483i,-0.0074232-0.0020921i,-0.0053693-0.0028695i,0.0068268+0.0022643i,-0.010124+0.00028876i,0.002472-0.00049647i,0.0060953+0.0077771i,0.0055074+0.001263i,-0.0074614-0.0096252i,0.0029596+0.0083847i,-0.019837+0.0074904i,0.0030697+0.0059764i,-0.021417-0.0091628i,-0.026942-0.0050368i,0.010115-0.061623i,0.018372-0.01567i,-0.050519-0.028654i,-0.021854+0.0008185i,0.018881+0.010636i,-0.026699+0.011889i,-0.012353-0.0080792i
-0.01144+0.013886i,-0.022309+0.041991i,0.0010592+0.041008i,-0.010323+0.025507i,-0.00043081+0.021481i,0.0010228+0.023628i,-0.026802+0.014678i,-0.027077+0.033343i,0.00081386+0.01646i,-0.0012879-0.0013892i,-0.00087094+0.0016323i,0.0040773+0.0036895i,0.0033639+0.0050287i,-0.0030929+0.0016338i,-0.0031113+0.003633i,0.0010824-0.0073066i,-0.0082794-0.0014074i,-0.0019753+0.00029117i,5.6561e-05-0.001335i,-0.0010831-0.00041156i,0.00081987-0.0031488i,0.0011321-0.0027916i,0.0010524-0.0014776i,-0.0094349-0.0098255i,-0.0002073-0.00046545i,-0.0014597+0.00040665i,-0.0024678+0.00017397i,-0.0028205-0.0001713i,-0.00099473-0.00082331i,0.00095196-0.00053954i,-0.001858+0.00023313i,0.001405-0.00017274i,0.0018371-0.00071542i,0.00074384+0.00051051i,-0.00042374+0.0019205i,-0.00064309-0.0070717i,-0.0014127+0.00097937i,0.0017583-1.1722e-05i,0.00063755+0.0023642i,0.0042685+0.0058838i,0.0010661-0.0016775i,-0.0018346-0.001366i,-0.002022-0.0025981i,0.0027419+0.0057195i,-0.0080088+0.007121i,0.019327-0.058416i,-0.074587+0.01515i,-0.028109-0.018094i,-0.061627-0.047319i,-0.053291-0.016907i,-0.086711+0.003832i,-0.074161+0.0018292i,-0.04643-0.034205i,-0.0083595-0.045368i,-0.037858-0.02585i,-0.0062929+0.00044381i,-0.031402+0.010293i,0.0078514+0.011541i,0.0098994+0.0072635i,0.00099879-0.0071036i,0.010823+0.0030044i,-0.011681-0.0033804i,0.0029082+0.011802i,0.0018029+0.0065552i,-0.00014763-0.001542i,0.005943+0.0018608i,0.004111+0.00033327i,-0.0044342+0.018667i,-0.00047191+0.0096099i,-0.000107-0.0043708i,0.0082583-0.0057016i,0.0013262+0.0040011i,-0.0082019-0.0070638i,-0.0021413-0.0011417i,0.020849-0.031119i,0.0050816+0.0085107i,0.0017957+0.0029263i,-0.0018522+0.0042477i,0.002983-0.0035632i,0.019586+0.002867i,0.0012873-0.0016245i,-0.0026476-0.0066179i,-0.00043455-0.0019323i,0.011571+0.0050402i,0.0051744-0.00046109i,0.0032226-0.0079395i,0.0044369+0.0049783i,-0.005693+0.0036084i,0.013622+0.0063805i,-0.043755-0.038389i,-0.011985+0.0058266i,-0.0021541-0.0015323i,-0.0010512+0.0026575i,-0.040379+0.010979i,-0.0067752+0.0085593i,-0.013314+0.0041511i
-0.0085846+0.01466i,-0.01511+0.042835i,0.010246+0.034924i,-0.0052242+0.026121i,0.0026125+0.019145i,0.0055297+0.022339i,-0.025615+0.019122i,-0.019376+0.035533i,0.0040492+0.010923i,-0.0017897-0.00049917i,-6.5094e-05+0.0027922i,0.0048875+0.001315i,0.0041612+0.0031136i,-0.001606+0.0028673i,-0.002365+0.0046707i,-0.0035587-0.0055991i,-0.0092257+0.0028589i,-0.0016787+0.00097455i,0.00070988-0.00080532i,-0.00059021+5.6764e-05i,-5.5277e-07-0.0030809i,0.00095769-0.0022177i,0.00082865-0.0014524i,-0.01177-0.0064781i,4.8706e-05-0.00032614i,-0.0013604+0.00077876i,-0.0017657+0.0008572i,-0.0024463+0.00059997i,-0.0012441-0.00063952i,0.0010225-0.00064715i,-0.0016647+0.0011609i,0.00091302-0.00050798i,0.0010108-0.0014605i,0.00014212+0.00045409i,-0.0009792+0.0015297i,-0.0005888-0.0056413i,-0.00087914+0.0011625i,0.00073412-0.00055529i,0.00067286+0.0024975i,0.0055134+0.003157i,0.00055112-0.002099i,-0.0027301-0.0007826i,-0.003296-0.0014257i,0.0044001+0.0052234i,-0.0060846+0.005043i,0.0011659-0.068028i,-0.065484+0.029588i,-0.035031-0.020827i,-0.07425-0.038137i,-0.053475-0.005559i,-0.077953+0.021511i,-0.071214+0.016951i,-0.040747-0.032287i,-0.014215-0.043924i,-0.044344-0.011184i,-0.0071701+0.00035893i,-0.024666+0.022806i,0.010411+0.0057444i,0.01192+0.00094028i,-0.0038991-0.011402i,0.0072745+0.0023162i,-0.01127+0.0029321i,0.0079357+0.0098615i,0.0038101+0.0075515i,-0.0010464-0.00099309i,0.0066013+0.002096i,0.0050918+0.00015691i,0.0042399+0.015725i,0.0042019+0.0059839i,-0.0041994-0.0055289i,0.002159-0.0067474i,0.0031404+0.0047861i,-0.010636+0.00015343i,-0.0022117+0.0016461i,0.006637-0.031708i,0.0080826+0.0075593i,0.0040336+0.0021497i,0.0018033+0.0034205i,-0.0001046-0.0017111i,0.01742-0.0061534i,-0.00019419-0.002399i,-0.0059636-0.004424i,-0.0029796-0.00077859i,0.010477+8.9206e-05i,0.0046754+1.9415e-05i,0.00057046-0.006329i,0.0062916+0.0035948i,-0.0054799+0.0056832i,0.013659+0.0015474i,-0.050493-0.031998i,-0.0063501-0.0049082i,-0.0024765-0.0022258i,0.0010191+0.001434i,-0.0342+0.023078i,-0.0046437+0.010111i,-0.01061+0.0062676i
-0.0054046+0.014645i,-0.0085082+0.04347i,0.015481+0.027277i,-0.00048841+0.02469i,0.0062156+0.017944i,0.0095737+0.019999i,-0.022251+0.023913i,-0.01213+0.035299i,0.0028155+0.006737i,-0.0018587+0.0005998i,0.0016278+0.0032396i,0.002481-0.0001562i,0.0043251+0.0018561i,-0.00067951+0.0029769i,-0.0010121+0.0056421i,-0.0067225-0.0015765i,-0.0076542+0.0074554i,-0.00084976+0.0015169i,0.0014835-0.0016526i,7.7495e-05-0.00031096i,-0.0010902-0.0030229i,0.001005-0.0028171i,0.00073445-0.001611i,-0.013495-0.0027913i,-0.00010673-0.00029082i,-0.00085758+0.0014198i,-0.00093491+0.00060987i,-0.0015883+0.0016058i,-0.0012933-0.00053566i,0.00069822-0.0014163i,-0.00082938+0.0017515i,0.00055191-0.00059131i,0.00018601-0.0013826i,0.00037625+0.00028192i,-0.00054203+0.0025069i,8.2514e-05-0.0057712i,-0.00073777+0.00095915i,0.00022615-0.0007574i,0.0023501+0.0013291i,0.0053021+0.0010732i,-7.527e-05-0.0021145i,-0.0019927+0.00047563i,-0.0041308+9.9791e-05i,0.005609+0.0034606i,-0.0056896+0.003598i,-0.0213-0.068463i,-0.051678+0.03877i,-0.043897-0.017795i,-0.082093-0.023314i,-0.048891+0.0030668i,-0.063113+0.032596i,-0.058256+0.029634i,-0.043942-0.034157i,-0.019478-0.042787i,-0.043945+0.0036458i,-0.0074159+0.0016673i,-0.012732+0.028856i,0.01084+0.0011695i,0.0082465-0.005177i,-0.013869-0.010809i,0.0072089+0.00055023i,-0.0079347+0.0067879i,0.010087+0.0045148i,0.0062146+0.0066995i,-0.0028405+0.00058177i,0.0068785-0.0016614i,0.0062607-0.0023494i,0.0076752+0.0098985i,0.0044251+0.0017339i,-0.0084903-0.0023076i,-0.00026388-0.0048131i,0.0059413+0.0036319i,-0.0064544+0.0088201i,0.00040098+0.0031293i,-0.0034507-0.02803i,0.011692+0.0037078i,0.0041821+0.00015504i,0.0025002+0.0012943i,0.00069888+0.00020683i,0.011103-0.011194i,-0.0023594+0.0003068i,-0.0071022-0.00079682i,-0.0032563+0.0025494i,0.0072797-0.0026281i,0.0074616-0.0018245i,0.00024062-0.0060214i,0.0090475+0.00029305i,-0.0023159+0.0067621i,0.012024-0.0028288i,-0.05532-0.021181i,-0.012363-0.013974i,-0.0015338-0.0035946i,0.0030197-0.00059837i,-0.02398+0.02901i,-0.0025883+0.0053983i,-0.0070339+0.00252i
-0.002614+0.013346i,-0.0012066+0.043695i,0.017615+0.019959i,0.0041543+0.023375i,0.010389+0.014545i,0.013139+0.016667i,-0.017331+0.027473i,-0.0066389+0.033099i,0.0017377+0.0057978i,-0.001136+0.0016858i,0.002854+0.0020905i,0.0011957+0.0014752i,0.0042032+0.00072502i,-0.00063054+0.0035764i,0.00053357+0.0057767i,-0.0065878+0.0038222i,-0.0033609+0.010789i,-2.5471e-05+0.0013334i,0.00065401-0.002208i,-0.00010737-0.00099451i,-0.0019174-0.0023786i,0.00030683-0.0030662i,0.00049955-0.0021312i,-0.013349+0.0019173i,-1.7659e-05-0.00033548i,0.00015355+0.0010154i,-0.00099027+0.00030072i,-0.00039844+0.001487i,-0.001533+7.2579e-05i,-0.00020895-0.0014253i,-2.1473e-05+0.0017603i,0.00025928-0.00063564i,-0.00060001-0.001056i,0.00034013+9.3244e-05i,0.00091716+0.0022109i,-0.00068446-0.0076628i,-0.00034869+0.0011997i,-0.00044286-0.0005688i,0.0018257-0.00069952i,0.0048906-0.00047471i,-0.00062613-0.0021018i,-0.0011651+0.00054079i,-0.0040591+0.0020554i,0.0050431+0.00088983i,-0.0060432+0.0033981i,-0.040539-0.05658i,-0.037901+0.041085i,-0.05082-0.010107i,-0.085895-0.0078509i,-0.043015+0.008125i,-0.049828+0.036421i,-0.044576+0.03209i,-0.048054-0.029162i,-0.024673-0.038667i,-0.039236+0.015014i,-0.0076347+0.0031016i,-0.00082623+0.029366i,0.0095199-0.0034041i,0.0027424-0.0067295i,-0.020941-0.0021271i,0.004657-0.00031427i,-0.0041426+0.0079802i,0.0089307-0.001212i,0.0085187+0.0052455i,-0.0026953+0.0031076i,0.0035503-0.0027735i,0.0053527-0.0064223i,0.0072925+0.0038308i,0.0017525-0.00011332i,-0.0086607+0.0018669i,-0.0018257-0.0035748i,0.0070877+0.0012131i,0.0027137+0.010047i,0.0019398+0.0018324i,-0.0094265-0.022211i,0.011854-0.00090421i,0.0037471-0.0012872i,0.0030405+0.001399i,0.00090859-0.00020251i,0.005626-0.011122i,9.4199e-05+0.002674i,-0.0065489+0.0025335i,-0.00072667+0.0045154i,0.0050361-0.0024707i,0.0067727-0.0061595i,-0.0022262-0.0055147i,0.0080665-0.0051427i,-0.00062203+0.0053392i,0.010065-0.0067768i,-0.053767-0.00847i,-0.023075-0.01501i,-0.0027718-0.0074398i,0.0036487-0.0054857i,-0.015463+0.030063i,-0.0065889+0.0040187i,-0.0099204+0.00023338i
-0.00097262+0.012001i,0.0055861+0.042029i,0.017062+0.014301i,0.0086405+0.020658i,0.012786+0.0098914i,0.015179+0.012746i,-0.011381+0.029523i,-0.0028026+0.031196i,0.0022962+0.0057629i,1.6141e-05+0.0020516i,0.0030453+0.0012111i,0.0020227+0.0025522i,0.0039093-0.00031753i,0.00087733+0.0045863i,0.0021204+0.005513i,-0.0037028+0.0072233i,0.0015088+0.011363i,0.00042247+0.0011061i,0.000431-0.0021962i,-0.00067303-0.0011812i,-0.0026023-0.0016776i,-0.00048835-0.0028991i,-0.00033047-0.0024322i,-0.010751+0.00546i,-0.00032734-0.00071342i,0.00012512+0.00019565i,-0.00089093+0.00041961i,0.00014847+0.00088514i,-0.0013177+0.00080714i,-0.00037424-0.00089367i,0.00050432+0.001596i,0.0001388-0.00085364i,-0.00097754-0.000428i,0.00023622+3.2558e-05i,0.0011147+0.0014123i,-0.0032438-0.0087571i,-0.00013559+0.0011523i,-0.00049491+0.00020729i,0.00047414-0.00097822i,0.0042052-0.001263i,-0.0011663-0.0018223i,-0.00084833+0.0005637i,-0.0025618+0.0035087i,0.0038881+0.00091763i,-0.0058467+0.0042869i,-0.047608-0.039153i,-0.027931+0.039143i,-0.055306+0.00012283i,-0.08716+0.0089295i,-0.038816+0.0093326i,-0.038592+0.037377i,-0.034938+0.031581i,-0.049725-0.02457i,-0.027195-0.035333i,-0.032103+0.024899i,-0.0069506+0.0048239i,0.012199+0.024593i,0.0070775-0.0059379i,-0.0019298-0.0055347i,-0.021206+0.0070562i,0.0035381+0.00011737i,-0.00031784+0.0091441i,0.0040745-0.003387i,0.01012+0.0024975i,-0.0010578+0.0051095i,0.0015481-0.0015068i,0.0024836-0.0091077i,0.0037277+0.0024773i,-0.00071075+0.0010052i,-0.0078395+0.0069142i,-0.0029394-0.0012753i,0.0069155-0.0014977i,0.0070154+0.005451i,0.0024926+0.00080108i,-0.012331-0.019394i,0.010033-0.0055907i,0.0026223-0.0023811i,0.0050573+0.00027256i,0.0010172+6.3434e-05i,0.0029777-0.0096234i,0.0023752+0.0017262i,-0.0041314+0.0056218i,0.0021888+0.0043093i,0.0046143-0.0022334i,0.0033029-0.010659i,-0.0029852-0.0036515i,0.0039736-0.0079378i,-0.00019394+0.0041074i,0.0053774-0.010489i,-0.047532-0.0015035i,-0.033014-0.0062809i,-0.0055831-0.0089471i,0.0010368-0.010538i,-0.0084562+0.029613i,-0.0098769+0.0070657i,-0.011466+0.0024277i
0.00044896+0.011011i,0.01171+0.039802i,0.016289+0.011453i,0.011901+0.016781i,0.012885+0.0051457i,0.016492+0.0093409i,-0.0050896+0.02932i,0.00036575+0.029708i,0.0031509+0.00406i,0.00074374+0.0014403i,0.0026076+0.00042904i,0.0030792+0.0026099i,0.0033565-0.0011961i,0.0027143+0.0038119i,0.0033334+0.0047126i,-0.00022196+0.008641i,0.0062912+0.0096097i,0.0008235+0.0008442i,-0.00016565-0.0025624i,-0.0012582-0.0010375i,-0.0027318-0.00053997i,-0.0009329-0.0026794i,-0.0010174-0.0020752i,-0.0083188+0.0067008i,-0.00079608-0.00047049i,-0.00025747+1.8821e-05i,-0.00089291+0.0004158i,0.00032966+0.0002692i,-0.00060103+0.0011679i,-0.00038773-0.00072974i,0.0010863+0.0013644i,-0.00036714-0.00097642i,-0.00095635+0.00011679i,2.2772e-05-7.3753e-05i,0.0012547+0.0014089i,-0.0063386-0.0085091i,5.8412e-05+0.00085421i,5.699e-05+0.00037098i,-0.00014185-0.00072816i,0.0035162-0.00189i,-0.0015426-0.0010494i,-0.00064569+0.00058004i,-0.00070667+0.0037309i,0.0038694+0.0013276i,-0.0047564+0.005496i,-0.046133-0.027147i,-0.020674+0.037175i,-0.055479+0.013316i,-0.081929+0.029043i,-0.039435+0.0101i,-0.03001+0.035901i,-0.026905+0.030207i,-0.050349-0.018791i,-0.031085-0.032274i,-0.023251+0.029943i,-0.0063367+0.0066499i,0.018337+0.010709i,0.0048601-0.0082681i,-0.0048962-0.0020304i,-0.016692+0.015493i,0.003411-0.00066803i,0.0045009+0.0068801i,0.0011295-0.0013138i,0.011396-0.0018653i,0.001076+0.006404i,0.00099289-0.00039037i,-0.0031826-0.010526i,0.0022689+0.0045242i,-0.00056275+0.0035064i,-0.0024528+0.011833i,-0.0017338+0.00076441i,0.0056981-0.0030914i,0.0079998+0.0014273i,0.0031941-0.00060829i,-0.018346-0.018006i,0.0064106-0.0079539i,0.00093401-0.0027971i,0.0041402-0.0018219i,0.0010154+0.00078068i,0.0021173-0.0078312i,0.0029229-3.6925e-05i,-0.00071817+0.0067551i,0.0037796+0.0018662i,0.0036466-0.0032714i,-0.0032991-0.010833i,-0.0033637-0.0032329i,4.1826e-05-0.0075953i,0.00057898+0.0029465i,-0.0010153-0.010567i,-0.044378+0.0023217i,-0.030471+0.008067i,-0.0087471-0.009384i,-0.0040264-0.012464i,-0.0037048+0.028152i,-0.0087337+0.012151i,-0.008757+0.0035181i
0.0017279+0.0098824i,0.017594+0.037051i,0.016627+0.0092607i,0.013551+0.012457i,0.011513+0.0018459i,0.017539+0.0058695i,0.00024103+0.027815i,0.0033255+0.028789i,0.0035994+0.0027717i,0.00085627+0.0011226i,0.002227+0.00054183i,0.004586+0.002297i,0.0025031-0.0016823i,0.0036074+0.002071i,0.0041273+0.0037784i,0.0030665+0.0083823i,0.0093498+0.0060855i,0.0011967+0.000591i,-0.00094719-0.0026446i,-0.0016924-0.00041051i,-0.0022361+0.00036958i,-0.0015562-0.0025187i,-0.0014221-0.0015589i,-0.0068547+0.0086343i,-0.00091001-9.2658e-05i,-0.00056803+0.00027286i,-0.00099286+0.00071505i,-0.00010579-0.00020275i,-0.00018633+0.00090233i,-0.00054136-0.00071215i,0.0015904+0.00081801i,-0.00054781-0.00034229i,-0.00041258+0.00027169i,-5.4271e-05-9.4528e-07i,0.0017842+0.00049784i,-0.0093394-0.0071733i,0.00031577+0.00070531i,0.00013979-0.00011934i,-0.00057754-0.00051251i,0.0027042-0.002357i,-0.0014298-0.00042548i,-0.00019846+0.00054998i,0.00039318+0.0028314i,0.0042419+0.00087966i,-0.0029209+0.0057791i,-0.044502-0.022168i,-0.015422+0.035455i,-0.049747+0.025463i,-0.070322+0.045208i,-0.039657+0.015881i,-0.023508+0.035052i,-0.021644+0.027534i,-0.050499-0.014489i,-0.033558-0.027045i,-0.0154+0.032676i,-0.0037437+0.0072822i,0.012925-0.0018378i,0.00084531-0.010545i,-0.0050989+0.0011115i,-0.010067+0.019017i,0.0020656-0.0017394i,0.0058909+0.0025362i,0.0019387+0.00011337i,0.0095205-0.0054529i,0.0051156+0.0061584i,0.0011706+0.0012585i,-0.008109-0.005075i,0.0040657+0.0060506i,0.00088564+0.0052266i,0.0039018+0.011478i,-0.00088286+0.0010239i,0.0046283-0.004474i,0.0081197-0.0039566i,0.0015285-0.0018156i,-0.025046-0.011261i,0.0032586-0.008724i,-0.00031107-0.0017062i,0.0040303-0.0011613i,0.0015652+0.0005603i,0.0023913-0.0089877i,0.0022154-0.0015644i,0.0020994+0.0053892i,0.0034491+0.00080038i,0.003129-0.002672i,-0.0070544-0.0069234i,-0.0050546-0.0024074i,-0.0032009-0.0063902i,0.00028639+0.0018405i,-0.0047792-0.0076075i,-0.041211+0.0073248i,-0.024207+0.01026i,-0.0090668-0.0086158i,-0.0081602-0.011711i,0.0015099+0.025144i,-0.0063133+0.013186i,-0.0082102+0.0029886i
0.0026485+0.0085949i,0.023273+0.033668i,0.017538+0.0073067i,0.013948+0.0089002i,0.0096486-0.00018373i,0.01782+0.0023865i,0.00486+0.025318i,0.006695+0.028053i,0.0037958+0.00098075i,0.00097093+0.0010326i,0.0026256+0.00066299i,0.005929+0.00042479i,0.0016738-0.0017399i,0.0030241+0.00095358i,0.0048322+0.0029147i,0.0058094+0.0064416i,0.010507+0.0023669i,0.0015942-3.255e-05i,-0.0017546-0.0023698i,-0.0015437+0.00055498i,-0.0015263+0.00092292i,-0.002107-0.0017784i,-0.0015342-0.0011207i,-0.0031476+0.010064i,-0.00084033+0.00025998i,-0.00033537+0.00068721i,-0.00083036+0.0011959i,-0.00082405-2.6671e-05i,-4.3775e-05+0.0007694i,-0.00070749-0.00050951i,0.0016658+7.1162e-05i,-0.0002384-0.00036582i,-0.0004668+0.00016637i,-0.00011263+4.0172e-05i,0.0015278-0.00029012i,-0.01193-0.0041099i,0.00032937+0.00058986i,-0.00012997-8.7466e-05i,-0.0010659-0.0002386i,0.0020889-0.0025324i,-0.0010792-0.00023455i,-0.00010245+0.00029897i,0.0006247+0.0020594i,0.0045365+0.0003169i,-0.0014745+0.0048793i,-0.046881-0.018463i,-0.011103+0.03357i,-0.041853+0.03459i,-0.055254+0.055513i,-0.038398+0.021726i,-0.016755+0.033277i,-0.017814+0.026157i,-0.051432-0.0097915i,-0.034926-0.021319i,-0.0066007+0.033923i,-0.0019398+0.006776i,0.0055108-0.0040146i,-0.0036554-0.010696i,-0.0033828+0.0045136i,-0.0035438+0.019041i,-4.7751e-05-0.0022996i,0.0047107-0.001212i,0.0017706+0.00030631i,0.006787-0.0086301i,0.008086+0.003397i,0.0024517+0.0017169i,-0.0086036-0.001038i,0.0065622+0.0061791i,0.003471+0.0059283i,0.0090584+0.0085774i,-0.00034791+0.0014997i,0.0037871-0.0054851i,0.0050091-0.0078516i,0.00041662-0.00058965i,-0.028707-0.001453i,0.00089424-0.0086035i,-0.00037226-0.00043713i,0.004725-0.0011196i,0.0020434+0.00033955i,0.0008344-0.011295i,0.00061666-0.001764i,0.0039477+0.0040285i,0.0034423-0.00011892i,0.0042893-0.0032184i,-0.0085987-0.0040665i,-0.0063897+0.00030699i,-0.0062604-0.0038592i,0.00020146+0.00082888i,-0.0061514-0.0045412i,-0.037272+0.011053i,-0.021749+0.011644i,-0.0089553-0.010144i,-0.011418-0.0098496i,0.0024607+0.02235i,-0.005598+0.01331i,-0.0071008+0.0030809i
0.0036494+0.0076327i,0.029234+0.029081i,0.019424+0.0046517i,0.013763+0.0061339i,0.0085259-0.00067663i,0.017528-0.00088899i,0.0084605+0.021796i,0.011003+0.026796i,0.0032239-0.00073464i,0.0010133+0.00074025i,0.0031295-8.9595e-05i,0.0053698-0.0024011i,0.0010874-0.0015616i,0.0028342+0.00045487i,0.0055247+0.001704i,0.0068401+0.003831i,0.0099854-0.0012971i,0.0011264-0.00082189i,-0.0025471-0.0016296i,-0.00077114+0.0010115i,-0.0005799+0.00090382i,-0.0020063-0.0012246i,-0.0017119-0.00072748i,0.00027824+0.0094922i,-0.0006579+0.00043659i,-4.6442e-05+0.00068853i,-0.00018863+0.0015131i,-0.00090829+0.00071719i,0.00027932+0.000413i,-0.00076557-0.00041363i,0.0013894-0.00052125i,-0.00058746-0.00041095i,-0.00055803+0.00043921i,-0.00027166+9.8994e-05i,0.0010216-0.00070796i,-0.012582+0.00016825i,0.00036995+0.00054421i,-6.8328e-05-1.8413e-05i,-0.0012752+0.0003197i,0.0014204-0.0027401i,-0.0010745-8.7261e-05i,-9.8441e-06+0.00018822i,0.00061274+0.0016912i,0.0046213-0.00055741i,-0.0010049+0.0040525i,-0.051576-0.011614i,-0.0072132+0.031583i,-0.030817+0.040151i,-0.040348+0.062105i,-0.035906+0.029683i,-0.010655+0.029819i,-0.011861+0.024536i,-0.051595-0.003757i,-0.034033-0.015427i,0.00092841+0.033229i,-0.0012928+0.0059882i,0.0008112-0.0045172i,-0.0082896-0.0095824i,0.00060503+0.0053996i,0.00075655+0.01742i,-0.0027827-0.0012982i,0.0028218-0.0040445i,0.0028311+0.0019858i,0.0021074-0.010531i,0.0090213-0.0011133i,0.0037825+0.0011622i,-0.0084363+0.0034075i,0.010091+0.004954i,0.0072445+0.0043585i,0.012312+0.0031763i,0.00066885+0.0020148i,0.0020692-0.006341i,-0.00064708-0.0086733i,0.0014834+0.00069989i,-0.028465+0.0095882i,-0.001458-0.0082653i,0.00041359+0.00067471i,0.0052828-0.0046749i,0.0026792-0.00016268i,-0.0038869-0.01284i,-0.00059404-0.00096865i,0.0047989+0.0019109i,0.0033512-0.00058235i,0.0037805-0.0047769i,-0.0086598+0.00056451i,-0.0055477+0.0035624i,-0.007662-0.00049291i,-0.00091557-0.00044429i,-0.0064382-0.0021612i,-0.033903+0.013436i,-0.019739+0.0162i,-0.01104-0.013886i,-0.01128-0.0068414i,0.0043417+0.021219i,-0.0059198+0.015676i,-0.0051698+0.0015475i
0.0046502+0.0063185i,0.033997+0.022705i,0.020697+0.0003194i,0.013512+0.0037872i,0.0083215-0.0010236i,0.016993-0.0037873i,0.010641+0.018075i,0.015041+0.024149i,0.0020737-0.0019661i,0.00095601+0.00066337i,0.0028867-0.00091333i,0.0033253-0.0038656i,0.00070383-0.0014247i,0.0024632-7.8407e-05i,0.0056295+0.00023297i,0.006292+0.0019499i,0.0083097-0.0040258i,0.00066227-0.0010212i,-0.0027002-0.00065808i,-4.7765e-05+0.00098625i,0.00020908+0.00049656i,-0.0019471-0.00096948i,-0.0016693-0.00032461i,0.0029558+0.0087173i,-0.00047224+0.00049212i,0.0001352+0.00071129i,0.00041063+0.001299i,-0.00054175+0.0011615i,0.00021522-6.0606e-05i,-0.00095662-0.00022116i,0.00097007-0.00093465i,-0.00093758-0.00010067i,-0.0002724+0.00077115i,-0.00032269+0.00025517i,0.00050469-0.0010758i,-0.01154+0.0038294i,0.00048687+0.00035972i,-0.00016227-0.00015318i,-0.0010759+0.0010471i,0.00061743-0.0030236i,-0.00094764+0.00021976i,-7.1615e-05-0.00022241i,0.00067264+0.0016404i,0.004446-0.0013694i,-0.00060505+0.0036902i,-0.053372-0.00052156i,-0.0049086+0.030063i,-0.020872+0.041198i,-0.023718+0.066189i,-0.029226+0.038536i,-0.0072215+0.024899i,-0.0080836+0.019219i,-0.048873+0.0020564i,-0.031178-0.009734i,0.0093761+0.030401i,-0.00087412+0.0061572i,-0.0046119-0.0030502i,-0.011958-0.0061155i,0.0033349+0.0031069i,0.0042368+0.016046i,-0.0055427+0.0011762i,-0.00072835-0.0065111i,0.0054384+0.00061741i,-0.0029491-0.0093733i,0.0067453-0.0047589i,0.0048501-0.00067055i,-0.0069478+0.0070593i,0.012804+0.0001952i,0.0089295-0.00034093i,0.011851-0.004004i,0.0021866+0.0016031i,-1.8567e-05-0.0063115i,-0.0040605-0.005313i,0.0031176-0.00030162i,-0.023184+0.021787i,-0.0034358-0.0066628i,0.0018435+0.00085864i,0.0020879-0.006432i,0.0027195-0.0007861i,-0.0095804-0.010603i,-0.00016983+0.00069492i,0.0049276-0.00011553i,0.0028296-0.0014056i,0.0024371-0.0054814i,-0.0065251+0.0043118i,-0.0032014+0.0054226i,-0.0073987+0.0036474i,-0.0030574-0.00023757i,-0.0061424-0.00068803i,-0.029935+0.017625i,-0.011654+0.019415i,-0.017371-0.014975i,-0.0098974-0.0064563i,0.0052486+0.020242i,-0.0032838+0.018847i,-0.0051262-0.0018549i
