-0.023128-0.018442i,-0.032271-0.033058i,-0.022256-0.019469i,-0.032488-0.020398i,-0.023872+0.0044353i,-0.028725-0.017353i,-0.058506-0.04368i,-0.040683-0.040162i,-0.030597-0.019335i,0.0053286+0.0054511i,-0.0037704+0.0061471i,-0.010552+0.011175i,0.003667+0.0071106i,-0.0039491-0.0024799i,0.0028365+0.0017905i,0.0041598+0.028475i,0.020016+0.01961i,5.5326e-05+0.00022889i,-0.0030105-0.0027822i,0.0079389+0.0040319i,0.0020494+0.0006433i,-9.1426e-06+0.0024108i,-0.00065351+0.00047214i,-0.030737-0.00061606i,-0.0033791-0.0049537i,-1.0018e-05+0.0027022i,0.0049202-0.00093931i,0.00048744-0.00033729i,-0.00034448-0.00048017i,-0.0014055-0.001856i,-0.0021249-0.00050582i,-0.0039202-0.0039233i,-0.0036453-0.0050607i,0.00033312-0.0011762i,0.00031252-0.0026786i,-0.0030078+0.024818i,0.0022154-0.0030519i,0.0022867-0.0038186i,0.0040874-0.002588i,-0.0084985-0.002273i,0.00063424+0.0012546i,0.014279-0.00016094i,-0.002458-0.00019784i,-0.0035593+0.0012283i,-0.0096766-0.0027693i,-0.018926+0.021571i,-0.0079997-0.0854i,-0.0023963-0.060981i,-0.021383-0.053102i,-0.010673-0.045319i,0.054049-0.025306i,0.024264-0.067462i,0.041493-0.052628i,0.018737-0.038855i,0.025615-0.019669i,0.012216+0.011911i,0.025593-0.029842i,-0.010916-0.0010472i,-0.00073536-0.001019i,-0.0071545-0.0014295i,-0.0047612-0.029197i,-0.020432+0.026903i,0.0073743-0.009346i,-0.010437-0.0033072i,-0.0024724-0.0019173i,-0.00053908-0.014526i,-0.0078388+0.0052912i,0.005384+0.01021i,-0.011345+0.032154i,0.0069685+0.0075232i,-0.0035703-0.001929i,-0.0021038-0.0015776i,-0.012863-0.0057128i,0.00020694-0.0037469i,-0.030102+0.0025802i,0.0033178-0.0089848i,-0.0074086-0.0016996i,-0.0049888-0.0027687i,0.0065588+0.001831i,-0.01106+0.00075685i,0.0023852-0.00026219i,0.0062247+0.008i,0.0054723+0.0013198i,-0.0079774-0.0095461i,0.002403+0.0076179i,-0.020306+0.0087837i,0.0032148+0.0056711i,-0.02094-0.0084167i,-0.027139-0.0049545i,0.0092284-0.061997i,0.019011-0.014775i,-0.050704-0.029289i,-0.024614+0.0020949i,0.019131+0.010238i,-0.027937+0.011451i,-0.01266-0.0076744i
-0.011634+0.013455i,-0.020592+0.041407i,0.0022274+0.040307i,-0.010174+0.023904i,-0.00012067+0.020909i,0.0018519+0.023303i,-0.024796+0.016138i,-0.025763+0.033759i,7.2685e-05+0.017245i,-0.0011206-0.0013737i,-0.00094023+0.0017392i,0.0043577+0.0033691i,0.0032758+0.0050052i,-0.0032019+0.0018516i,-0.0031007+0.0037772i,0.0010394-0.0064637i,-0.0093213-0.0016108i,-0.0015387+0.00052711i,0.00028719-0.001311i,-0.0010052-0.00041493i,0.00099286-0.003307i,0.001225-0.0027814i,0.00093472-0.0014962i,-0.010049-0.0078065i,-9.3458e-05-0.00038269i,-0.0014053+0.00040404i,-0.0022044+1.9867e-05i,-0.0025188+0.00014674i,-0.00087106-0.0009384i,0.0011215-0.0006958i,-0.0016526-3.8468e-06i,0.0016574-0.00022075i,0.0017513-0.00058995i,0.00067359+0.00064566i,-0.00030125+0.0018186i,-0.000407-0.0062097i,-0.0013439+0.0008727i,0.0016758+0.00020139i,0.0016877+0.001688i,0.0037165+0.0047609i,0.0013985-0.0016571i,-0.0016466-0.0011329i,-0.0017657-0.0017365i,0.0030076+0.0062374i,-0.0074788+0.0070527i,0.020436-0.057693i,-0.073543+0.014943i,-0.028014-0.018608i,-0.060551-0.047506i,-0.052645-0.017376i,-0.085767+0.0047727i,-0.073462+0.0024832i,-0.047655-0.03377i,-0.0080194-0.045287i,-0.038174-0.025886i,-0.0064213+0.00018955i,-0.030587+0.010244i,0.0080813+0.011063i,0.0097552+0.0072246i,0.0019232-0.0062626i,0.010021+0.0038747i,-0.011461-0.0026955i,0.0019274+0.011758i,0.0020365+0.0069769i,-0.00035817-0.0015317i,0.0056701+0.0017159i,0.0040707+0.00028167i,-0.0057153+0.019642i,0.00044647+0.009742i,0.0010492-0.0037759i,0.0083704-0.0060347i,0.0014504+0.0040388i,-0.0074108-0.0068439i,-0.0028746-0.0013082i,0.019979-0.028021i,0.0050918+0.0090706i,0.0019026+0.0028816i,-0.0016979+0.0043965i,0.0035953-0.0036883i,0.019793+0.0028828i,0.0017498-0.0017824i,-0.0016361-0.0072931i,-0.00067-0.0018587i,0.01224+0.0027236i,0.0052033-0.00030936i,0.0031947-0.0084736i,0.0042201+0.0050876i,-0.0056898+0.0030268i,0.013703+0.0071055i,-0.042442-0.038534i,-0.012165+0.0037841i,-0.0022459-0.0018147i,-0.0008184+0.0030604i,-0.041537+0.011617i,-0.0065463+0.0085181i,-0.013212+0.0031293i
-0.0088162+0.014285i,-0.0136+0.041933i,0.011123+0.033604i,-0.0055595+0.024719i,0.0026659+0.018662i,0.0063356+0.021786i,-0.023164+0.019814i,-0.017604+0.03551i,0.0036054+0.012377i,-0.0016859-0.00049565i,-0.0002128+0.0028806i,0.0049719+0.00088542i,0.0041458+0.0031682i,-0.0014494+0.0028162i,-0.002223+0.0048122i,-0.0030253-0.0050398i,-0.010496+0.0038467i,-0.0013553+0.00098459i,0.0011003-0.00078187i,-0.00047692+2.4938e-05i,-4.1906e-05-0.0033677i,0.00092797-0.0022391i,0.00080023-0.0013309i,-0.011116-0.0043044i,8.5908e-05-0.00033892i,-0.0013375+0.00074691i,-0.0015522+0.00061138i,-0.0020641+0.00069009i,-0.0010742-0.00070052i,0.0010541-0.00081466i,-0.0015019+0.00079727i,0.0010453-0.00047072i,0.0010711-0.0011918i,0.00030579+0.00055303i,-0.00088415+0.0015376i,0.00020185-0.0052175i,-0.00086212+0.00092798i,0.0010099-0.00041386i,0.00083429+0.00152i,0.0048403+0.0026588i,0.00084639-0.0022601i,-0.0024071-0.00076132i,-0.002574-0.00066991i,0.0042663+0.0057826i,-0.0055682+0.005347i,0.0022478-0.067256i,-0.064578+0.028936i,-0.034828-0.021127i,-0.073477-0.038242i,-0.053173-0.006026i,-0.07666+0.02107i,-0.070254+0.016754i,-0.041406-0.030696i,-0.013841-0.043981i,-0.044976-0.011566i,-0.0072627+0.00049414i,-0.023762+0.022728i,0.010015+0.0057139i,0.011909+0.0008257i,-0.0027182-0.011252i,0.0072556+0.0034849i,-0.010477+0.0030332i,0.0070931+0.010293i,0.0050884+0.0075406i,-0.00079909-0.00106i,0.006632+0.0019924i,0.0048258+9.1028e-05i,0.0035717+0.016842i,0.004876+0.0053676i,-0.002866-0.0059928i,0.0020533-0.007009i,0.0030218+0.0045033i,-0.010176-0.00065558i,-0.0022333+0.001887i,0.0074674-0.029801i,0.008202+0.0079569i,0.0042061+0.002454i,0.0021147+0.0030744i,2.6344e-05-0.0020292i,0.017414-0.006302i,-0.00011842-0.0024308i,-0.0059728-0.0046354i,-0.0028872-0.00090489i,0.010291-0.00048788i,0.0046715+4.0907e-05i,0.00019411-0.0058972i,0.006133+0.0036283i,-0.0059772+0.0053603i,0.013481+0.0018882i,-0.049578-0.032579i,-0.0064038-0.0056594i,-0.0031819-0.0025655i,0.00088716+0.0019341i,-0.033306+0.024466i,-0.0044468+0.0094627i,-0.011111+0.0057424i
-0.0056244+0.014439i,-0.0071942+0.042209i,0.015573+0.025977i,-0.00099869+0.023942i,0.0062704+0.01749i,0.010171+0.019248i,-0.019939+0.02369i,-0.010318+0.034581i,0.0032327+0.0084929i,-0.0017192+0.00063559i,0.0015155+0.0033617i,0.0022305-0.00039103i,0.00439+0.0018482i,-0.00072138+0.0028989i,-0.00085306+0.0056622i,-0.005999-0.0014817i,-0.0075591+0.00955i,-0.00061902+0.001585i,0.0016226-0.0016834i,0.00022823-0.00036443i,-0.0010867-0.0030002i,0.00095736-0.002833i,0.0007862-0.0014865i,-0.011683-0.0011534i,-5.3441e-05-0.0003038i,-0.00094729+0.0014465i,-0.0010542+0.00051083i,-0.0014572+0.0016131i,-0.0012176-0.00058256i,0.00063488-0.0013824i,-0.00086503+0.0014107i,0.00060543-0.00067865i,0.000549-0.0013246i,0.0005537+0.00020573i,-0.00049194+0.0024028i,0.00091893-0.0059333i,-0.0007711+0.00086539i,0.00046483-0.00072807i,0.0019985+0.00022576i,0.0046868+0.00090287i,8.1553e-05-0.0024246i,-0.0016486+0.00033819i,-0.0030924+0.00035123i,0.0057636+0.0042204i,-0.0049278+0.0040728i,-0.019736-0.067908i,-0.050999+0.038162i,-0.043019-0.017523i,-0.080741-0.023503i,-0.048663+0.0027253i,-0.061931+0.032011i,-0.057673+0.029437i,-0.042687-0.032496i,-0.019233-0.043346i,-0.044115+0.0040781i,-0.0073504+0.0017696i,-0.01133+0.028085i,0.0104+0.0014107i,0.0081245-0.0051034i,-0.012849-0.011388i,0.0076566+0.0013199i,-0.0070849+0.0064032i,0.010654+0.0049392i,0.006129+0.0066844i,-0.003041+0.00043499i,0.0067072-0.0017349i,0.005908-0.0024081i,0.0075993+0.011448i,0.0041194+0.0012968i,-0.0083873-0.0032513i,-0.00022374-0.0047785i,0.0057829+0.0035024i,-0.0065953+0.00838i,0.00016748+0.003106i,-0.0044577-0.027484i,0.01223+0.0036901i,0.0045207-1.0347e-05i,0.002549+0.0020449i,0.00048819-0.00017434i,0.011464-0.010928i,-0.0023887+0.00022569i,-0.0071032-0.00022038i,-0.0038582+0.0021357i,0.0069071-0.0024455i,0.0071455-0.0016681i,0.00046504-0.0058188i,0.0090257+0.00090345i,-0.0028068+0.0068074i,0.012151-0.0024208i,-0.054844-0.021808i,-0.0133-0.015172i,-0.0016275-0.0031762i,0.0035224-0.00041637i,-0.022452+0.029964i,-0.0036515+0.0051483i,-0.0075681+0.0012332i
-0.0026633+0.013418i,-2.601e-05+0.042084i,0.017495+0.018835i,0.0037199+0.022874i,0.010324+0.014015i,0.013427+0.015864i,-0.015247+0.026805i,-0.004967+0.032149i,0.0028931+0.0071895i,-0.0010688+0.0015622i,0.0029036+0.0024678i,0.0010677+0.0013061i,0.0042407+0.00072414i,-0.0005317+0.0036152i,0.00058496+0.0057172i,-0.0059549+0.0035065i,-0.0021031+0.011783i,0.00015366+0.001414i,0.00067344-0.002401i,-2.7478e-05-0.0009998i,-0.0017202-0.0025198i,0.00025698-0.0030788i,0.0005932-0.0020503i,-0.011094+0.0025385i,2.9113e-05-0.00044467i,0.00019746+0.0011546i,-0.00090209+0.00035419i,-0.00030572+0.001509i,-0.001517+5.9829e-05i,-0.00020775-0.0013049i,-0.00019904+0.0014811i,0.00018882-0.00075314i,-0.00038249-0.0012679i,0.00052319+1.9305e-05i,0.00080373+0.0021426i,0.00051536-0.0078277i,-0.00024131+0.0013094i,-0.000276-0.0005373i,0.001537-0.00043949i,0.0042428-0.00023984i,-0.00041801-0.0023549i,-0.00095539+0.00034449i,-0.0029334+0.0019086i,0.0051599+0.0013001i,-0.0052009+0.0037025i,-0.039107-0.056866i,-0.037194+0.040745i,-0.049256-0.010684i,-0.084769-0.0088295i,-0.042614+0.0079399i,-0.049134+0.035615i,-0.043731+0.0317i,-0.046529-0.02891i,-0.024864-0.039193i,-0.03893+0.014888i,-0.0075723+0.0032764i,-0.00092803+0.027699i,0.0093139-0.0031582i,0.0027352-0.0064779i,-0.020548-0.0029199i,0.0050356-2.2641e-05i,-0.0032685+0.0073607i,0.0094848-0.0011158i,0.0083744+0.0058042i,-0.0027984+0.0032887i,0.0033693-0.0028321i,0.0050228-0.0061663i,0.0078595+0.0062072i,0.0014628-0.0003049i,-0.0088885+0.0012095i,-0.0016243-0.0034596i,0.006968+0.0011099i,0.0023648+0.0093187i,0.0018784+0.0020438i,-0.01035-0.022578i,0.012355-0.001179i,0.0035438-0.0013378i,0.0031702+0.001538i,0.00073886-0.00038252i,0.0059214-0.011199i,-7.2253e-05+0.0026876i,-0.0064738+0.002637i,-0.0010656+0.004638i,0.005018-0.002168i,0.0066972-0.005568i,-0.0021405-0.0055032i,0.0083524-0.0044961i,-0.00064286+0.0059166i,0.010232-0.0065653i,-0.053272-0.0092638i,-0.023165-0.014741i,-0.0020764-0.0076246i,0.0039176-0.005726i,-0.013731+0.03043i,-0.0073426+0.0045175i,-0.011064-0.00027138i
-0.00077574+0.012051i,0.0063444+0.040458i,0.016718+0.013273i,0.0080919+0.020285i,0.012706+0.009426i,0.015296+0.011912i,-0.009878+0.028241i,-0.0010819+0.02995i,0.0035062+0.0063035i,2.4039e-05+0.001953i,0.0032227+0.0013079i,0.0018335+0.002437i,0.0039221-0.00036158i,0.0010374+0.0044877i,0.0021423+0.005454i,-0.0035+0.0068423i,0.0029903+0.01149i,0.00063914+0.0011386i,0.0001632-0.0021718i,-0.00054681-0.0011738i,-0.002543-0.0018635i,-0.00053357-0.0028932i,-0.00025284-0.0023645i,-0.0087074+0.005041i,-0.00038278-0.00073213i,0.00018371+0.00027026i,-0.00084929+0.0001853i,0.00019856+0.00084663i,-0.0011924+0.00092261i,-0.00032594-0.00081062i,0.00029708+0.0014597i,2.4235e-05-0.00098159i,-0.00074259-0.0004992i,0.00032897-0.00016391i,0.0010747+0.0014612i,-0.0014401-0.0095828i,0.0001848+0.0012088i,-0.00026712+0.00018657i,0.00067848-0.00090183i,0.0037054-0.00077419i,-0.0012676-0.0025139i,-0.00070325+0.00028103i,-0.0016378+0.0027615i,0.0034997+0.0011982i,-0.0050233+0.0046691i,-0.046574-0.039469i,-0.026957+0.038647i,-0.054102-0.0013125i,-0.086629+0.0077317i,-0.038458+0.0088446i,-0.038339+0.036553i,-0.034246+0.030676i,-0.048765-0.025196i,-0.027481-0.035314i,-0.031862+0.024312i,-0.0068927+0.0049851i,0.011015+0.02408i,0.0065898-0.0056725i,-0.001665-0.0052299i,-0.021497+0.0061355i,0.0037264+0.00016128i,0.00016376+0.0075306i,0.0046136-0.003631i,0.010565+0.0028782i,-0.0012016+0.0052983i,0.0012179-0.0014768i,0.0021433-0.0088688i,0.0039676+0.0016491i,-0.00078173+0.0010771i,-0.00856+0.0068453i,-0.002723-0.001321i,0.0070028-0.0015796i,0.0063702+0.0055089i,0.0026094+0.0010013i,-0.012104-0.020117i,0.010297-0.0059779i,0.0025989-0.0022001i,0.003572+0.0006791i,0.00065117-0.00016485i,0.0031827-0.0096362i,0.0021771+0.0016149i,-0.0041065+0.0055118i,0.0022074+0.0047426i,0.0044907-0.0021625i,0.0037274-0.010712i,-0.0029119-0.0034918i,0.0041049-0.0075425i,-0.00013848+0.0046706i,0.0054668-0.010323i,-0.047628-0.0026437i,-0.032951-0.0068877i,-0.0056266-0.0094896i,0.0011219-0.010409i,-0.007639+0.028843i,-0.010403+0.0076485i,-0.012398+0.0025573i
0.00064174+0.010986i,0.012143+0.038308i,0.015786+0.010498i,0.011296+0.016533i,0.012832+0.0046914i,0.016415+0.0084935i,-0.0042101+0.027918i,0.0017089+0.027527i,0.0044597+0.0042287i,0.00060635+0.0013363i,0.0027386+0.00036312i,0.0028892+0.0025535i,0.0032801-0.0012306i,0.0027642+0.0036454i,0.0034442+0.004612i,-0.00024903+0.0083858i,0.0075002+0.0087182i,0.0010727+0.00084568i,-0.00038723-0.0023197i,-0.0011543-0.0010601i,-0.0027361-0.00060617i,-0.00097715-0.002609i,-0.00094837-0.0020195i,-0.0068311+0.0056447i,-0.0011203-0.00039803i,-0.00022649+2.5444e-06i,-0.00094605+9.9503e-05i,0.00035224+0.00012083i,-0.00043431+0.0011878i,-0.00035481-0.00067666i,0.00083431+0.0013041i,-0.00076923-0.0010442i,-0.00063585+0.00012717i,1.392e-05-0.00030567i,0.0013336+0.0013961i,-0.0050051-0.010566i,0.0002011+0.00086136i,0.0001933+0.00025225i,0.00017798-0.00082213i,0.003275-0.0013032i,-0.0020097-0.0011668i,-0.00072412+0.00028909i,-0.00041624+0.0027568i,0.0037885+0.0019399i,-0.0037019+0.0056837i,-0.045107-0.027492i,-0.019987+0.036165i,-0.055101+0.011857i,-0.081845+0.02811i,-0.03944+0.0098247i,-0.030164+0.035138i,-0.026927+0.02915i,-0.049869-0.019471i,-0.031267-0.031784i,-0.022991+0.029369i,-0.0061884+0.0068834i,0.01793+0.010558i,0.0044252-0.007574i,-0.0045331-0.0019785i,-0.017882+0.014241i,0.0036187-0.00072489i,0.0034945+0.0054936i,0.0017171-0.0018367i,0.011658-0.0021606i,0.0015149+0.0061429i,0.00083277-0.00022785i,-0.0027981-0.0098812i,0.0027174+0.0042481i,-0.00052042+0.003493i,-0.002745+0.011271i,-0.0016829+0.00079694i,0.0057036-0.0032761i,0.0078209+0.0018966i,0.003476-0.00063632i,-0.01743-0.018318i,0.006244-0.0082946i,0.00096698-0.0027113i,0.0048542-0.0011608i,0.00086797+0.00082924i,0.0021286-0.0079436i,0.0026491-5.7737e-05i,-0.00078146+0.0062951i,0.0038728+0.0018708i,0.0038029-0.0031082i,-0.0032301-0.010683i,-0.0032412-0.0033208i,-2.7438e-05-0.0073355i,0.0004659+0.003524i,-0.00083749-0.010339i,-0.044344+0.0015023i,-0.029842+0.008235i,-0.0092445-0.0097923i,-0.0039374-0.012164i,-0.0032472+0.027903i,-0.0085481+0.012174i,-0.0095409+0.0041621i
0.0019076+0.0099401i,0.017973+0.035607i,0.015747+0.0084616i,0.012976+0.012413i,0.011461+0.0013542i,0.017261+0.005071i,0.00080636+0.026521i,0.003635+0.026618i,0.0047169+0.0023612i,0.00067299+0.001124i,0.0022872+0.00046822i,0.004442+0.0023839i,0.0024244-0.00171i,0.0035119+0.001937i,0.0041966+0.0035749i,0.0029675+0.0082944i,0.0099952+0.0039544i,0.0014171+0.00051646i,-0.0010292-0.0023548i,-0.0015413-0.00048721i,-0.0022351+0.00038843i,-0.0015132-0.0024693i,-0.0013815-0.0015454i,-0.0060075+0.0072564i,-0.0010226+4.0835e-05i,-0.00059627+0.00028705i,-0.00079323+0.00071252i,-0.0001849-0.00032858i,-9.5511e-05+0.00080288i,-0.00053142-0.00066147i,0.001339+0.00080765i,-0.00085602-0.00028553i,-0.00025713+0.00022398i,-0.0001435-0.00020401i,0.0018104+0.00047457i,-0.0096298-0.009924i,0.00047635+0.00077269i,0.00012601-0.00011614i,-0.00028643-0.00072067i,0.0026385-0.001928i,-0.0018142-0.00043834i,-0.00041355+0.00035356i,0.00025327+0.0020107i,0.0043653+0.0010517i,-0.0018573+0.0056869i,-0.043575-0.022796i,-0.014826+0.034573i,-0.049567+0.024359i,-0.070379+0.044549i,-0.039785+0.015694i,-0.023748+0.034572i,-0.02192+0.026635i,-0.050398-0.015187i,-0.033391-0.026403i,-0.014828+0.032075i,-0.0033991+0.0074138i,0.012458-0.0018287i,0.0011287-0.0098939i,-0.0048446+0.0011483i,-0.011118+0.01825i,0.0020859-0.0017906i,0.0047173+0.0024173i,0.0018647-0.0005978i,0.0097061-0.0055296i,0.0048523+0.0063138i,0.001123+0.0014186i,-0.0078434-0.0049916i,0.004406+0.0054789i,0.0011554+0.0049872i,0.0031155+0.010579i,-0.00083975+0.0011582i,0.004561-0.0045976i,0.0082611-0.0029955i,0.0014971-0.0019473i,-0.025116-0.01179i,0.0027961-0.0090686i,-0.00024636-0.0016457i,0.0042504-0.00074527i,0.0018085+0.00064893i,0.002273-0.0090561i,0.0020259-0.0014207i,0.0018533+0.0050993i,0.003385+0.00090057i,0.0033994-0.0026129i,-0.0065706-0.0063942i,-0.0048539-0.0026409i,-0.0031591-0.0068971i,0.00039853+0.0022123i,-0.0043702-0.0074178i,-0.041268+0.0062064i,-0.023844+0.0097262i,-0.0095971-0.0089083i,-0.0079228-0.011329i,0.0014584+0.024622i,-0.0062521+0.013266i,-0.0085947+0.0040971i
0.002997+0.008721i,0.023288+0.032072i,0.016574+0.0068947i,0.013466+0.0090136i,0.0095124-0.0006623i,0.017455+0.0016719i,0.0052163+0.024187i,0.0063875+0.026339i,0.0046309+0.00014974i,0.00084355+0.00094254i,0.0027158+0.0005579i,0.005963+0.00058363i,0.0016316-0.0018127i,0.0028852+0.00089916i,0.0048268+0.0026691i,0.0056793+0.006529i,0.0089804-0.00062284i,0.0017256-0.00026247i,-0.0016772-0.0021952i,-0.0014497+0.00045139i,-0.0014395+0.00095434i,-0.0020599-0.001734i,-0.0015497-0.0011391i,-0.0032392+0.008576i,-0.00086903+0.00037814i,-0.00037013+0.00071424i,-0.00072818+0.0012788i,-0.00094244-5.2514e-05i,2.8253e-05+0.00065414i,-0.00063545-0.00053139i,0.001558+0.00035243i,-0.00029031-0.00032162i,-0.00042801+0.00027539i,-0.00023136-9.0589e-05i,0.0015839-0.00033596i,-0.014273-0.0059887i,0.00044592+0.00090854i,-0.00015497-4.1629e-05i,-0.00087219-0.0005542i,0.0021396-0.0020017i,-0.0014852-0.0003362i,-0.00021091+0.00027385i,0.00029668+0.0015977i,0.0046155+0.00017105i,-0.00053949+0.0044183i,-0.046257-0.019414i,-0.010625+0.032709i,-0.041682+0.033335i,-0.055528+0.054906i,-0.038538+0.021553i,-0.017025+0.032986i,-0.018393+0.02534i,-0.051424-0.010271i,-0.034337-0.021078i,-0.0066177+0.033211i,-0.0015757+0.0068073i,0.0050858-0.0037321i,-0.0030662-0.010948i,-0.003216+0.0044324i,-0.0040659+0.01788i,7.2866e-06-0.0023947i,0.0036865-0.00025487i,0.0015406-0.00023941i,0.0071387-0.0088308i,0.0078836+0.0032943i,0.0025986+0.0019247i,-0.0083078-0.0010054i,0.0065603+0.0056977i,0.0035739+0.0056075i,0.0079402+0.0087393i,-0.0002862+0.0016753i,0.0037348-0.0053402i,0.0061021-0.0076947i,0.00054937-0.00061072i,-0.030211-0.0017296i,0.00050325-0.0093553i,-0.0003266-0.00045088i,0.0045112-0.0013181i,0.0022222+0.0001795i,0.00069876-0.011399i,0.00039458-0.001681i,0.0035448+0.0035976i,0.0038585+5.752e-05i,0.0042474-0.0032403i,-0.0077514-0.003638i,-0.0064832+6.4594e-05i,-0.0072948-0.0047017i,0.00053404+0.00077945i,-0.0060604-0.0043086i,-0.03746+0.010051i,-0.021719+0.011173i,-0.0089882-0.010488i,-0.011088-0.009642i,0.0014854+0.0222i,-0.0054718+0.013245i,-0.0068936+0.0041259i
0.0041178+0.0076889i,0.029084+0.027552i,0.018513+0.0045709i,0.013391+0.0063647i,0.0082299-0.0011562i,0.017092-0.0015117i,0.0086924+0.020835i,0.010401+0.025718i,0.0034969-0.0017758i,0.00084159+0.00068319i,0.0030955-0.00019088i,0.0056145-0.0022269i,0.0010005-0.0016257i,0.0027148+0.00044866i,0.005421+0.0014999i,0.0066383+0.0039115i,0.0068577-0.0019533i,0.0011299-0.0010157i,-0.0025503-0.0016223i,-0.00073353+0.00092911i,-0.00052137+0.0008862i,-0.0020424-0.0012756i,-0.0017444-0.00072453i,-3.0232e-05+0.0085644i,-0.00070949+0.000537i,-5.9736e-05+0.00075086i,9.8378e-06+0.0015441i,-0.00094061+0.00062025i,0.00023796+0.00033141i,-0.0006802-0.00045069i,0.0015333-0.00043512i,-0.00060505-0.00041472i,-0.00047739+0.00043668i,-0.0003452+4.1765e-05i,0.0010382-0.00080108i,-0.015676+0.0004757i,-0.00011512+0.00058593i,-3.0429e-05+4.7761e-05i,-0.0013145-3.3445e-05i,0.0018003-0.0024451i,-0.0020241-0.0011896i,1.4098e-05+0.00012955i,0.00032249+0.0013885i,0.0044139-0.00065916i,-0.00019862+0.0034014i,-0.051206-0.012509i,-0.0066932+0.030743i,-0.0308+0.038726i,-0.041096+0.061646i,-0.036101+0.029833i,-0.010876+0.029598i,-0.012534+0.023885i,-0.051606-0.0039816i,-0.033573-0.015324i,0.00027016+0.033187i,-0.00085127+0.0059745i,0.00046994-0.004053i,-0.0083312-0.010128i,0.0005632+0.0052138i,0.00036523+0.01785i,-0.0027131-0.001421i,0.002806-0.0054514i,0.0024488+0.0016002i,0.0023258-0.010824i,0.0087695-0.0012803i,0.0039758+0.001336i,-0.0082257+0.0032721i,0.009941+0.0046655i,0.0073724+0.0040007i,0.012047+0.0035357i,0.00068488+0.0021817i,0.0022883-0.0062443i,-0.00058874-0.0088168i,0.0016137+0.00075421i,-0.034634+0.01067i,-0.0010207-0.0077204i,0.00036564+0.00069609i,0.0054894-0.0042682i,0.002648-0.00014451i,-0.0039552-0.012784i,-0.00057595-0.00090293i,0.0042428+0.0020644i,0.0035681-0.00076898i,0.0036126-0.0047603i,-0.0081964+0.00045282i,-0.0058546+0.0033398i,-0.0084139+0.00028079i,-0.00074488-0.000686i,-0.0061091-0.0018096i,-0.034261+0.012586i,-0.02041+0.015737i,-0.011381-0.014273i,-0.010921-0.0069632i,0.0035673+0.021744i,-0.0058378+0.015388i,-0.0046722+0.002226i
0.0051181+0.0063204i,0.033664+0.021063i,0.019863+0.00038512i,0.013362+0.0041718i,0.0078852-0.00143i,0.016491-0.0043601i,0.010865+0.017305i,0.014709+0.023404i,0.0020553-0.0027736i,0.00076421+0.00070691i,0.0027668-0.00095733i,0.003613-0.0039254i,0.00059252-0.0013812i,0.0024081+2.3967e-05i,0.00548+6.2075e-05i,0.0063277+0.0020204i,0.0059924-0.0026162i,0.00058338-0.0011606i,-0.0026761-0.00057411i,-0.00010832+0.00095383i,0.00024876+0.00040891i,-0.0020189-0.00090635i,-0.0016642-0.00033866i,0.0027254+0.0081345i,-0.00045091+0.00061165i,0.00012257+0.00073937i,0.00063315+0.0012604i,-0.00018524+0.0010112i,0.00012252-6.8352e-05i,-0.00092916-0.00033654i,0.0011255-0.00095374i,-0.0010399+1.6855e-05i,-0.00019675+0.00060514i,-0.00032525+0.00025921i,0.00044136-0.0011579i,-0.014887+0.005184i,0.00062437+0.0004206i,-0.00011461-9.0389e-05i,-0.0013168+0.00068682i,0.0012033-0.0030033i,-0.00027539-5.3225e-05i,-1.2633e-05-0.00019018i,0.00045082+0.0014388i,0.0042382-0.0013875i,5.9215e-05+0.0027906i,-0.053323-0.0014033i,-0.0046245+0.029029i,-0.021628+0.039845i,-0.024714+0.066319i,-0.029125+0.038719i,-0.0073578+0.024715i,-0.0089155+0.018927i,-0.048705+0.0022487i,-0.030631-0.0093698i,0.0091897+0.031413i,-0.00066623+0.0059041i,-0.0046366-0.0022036i,-0.011724-0.00649i,0.0033647+0.0031915i,0.0044024+0.016934i,-0.0053918+0.0010369i,-0.0011641-0.0062868i,0.0048447+0.0007399i,-0.0027617-0.00965i,0.0065586-0.0047019i,0.0050853-0.00046369i,-0.0066837+0.0068025i,0.012797+0.00022737i,0.0086075-0.00087189i,0.011823-0.0042699i,0.0022829+0.0018354i,0.00016353-0.0064254i,-0.0045345-0.0053477i,0.0030466-0.00041453i,-0.027162+0.020311i,-0.0034388-0.0062607i,0.0018634+0.00093819i,0.0023831-0.0068027i,0.0030048-0.00068245i,-0.0096408-0.0105i,-0.00017391+0.00056289i,0.004655+6.0809e-05i,0.0025999-0.001679i,0.002387-0.0054031i,-0.0064333+0.0044917i,-0.0035085+0.0054152i,-0.0072033+0.0044146i,-0.0031856-0.00047985i,-0.0055614-0.00047647i,-0.030313+0.016542i,-0.012293+0.019541i,-0.017549-0.01506i,-0.010429-0.0071495i,0.0051753+0.021028i,-0.0034204+0.018477i,-0.0045836-0.0013948i
