-0.023168-0.03972i,-0.0093092-0.050416i,-0.018238-0.046372i,-0.031672-0.035682i,-0.029727-0.017517i,-0.051496-0.028932i,-0.061618-0.025452i,-0.045991-0.038947i,-0.029917-0.040166i,0.0076578+0.012503i,-0.0058502+0.015984i,-0.0049782+0.015402i,0.0098358+0.022025i,-0.00014138+0.0052598i,0.0037976+0.0034711i,0.0075165+0.018615i,0.027472+0.038245i,-0.0028901-0.0013652i,-0.0044559-0.0062095i,0.0071714+0.00099849i,-0.00029209-0.0010575i,-0.0010158+0.0012126i,0.00013543-0.00034471i,-0.032302-0.0014729i,-0.0015436-0.0058671i,0.0020186+0.0048098i,0.0041412+0.00034103i,-0.00033962+0.00062245i,0.00066821-0.0006029i,-0.00080552-0.0027238i,-0.001717-0.0063027i,-0.0052202-0.0048021i,-0.0021374-0.0051571i,0.0025059-0.0008535i,0.0020855-0.0028376i,0.0037258+0.026613i,0.0015639-0.0033093i,0.0025052+0.00070997i,0.0063349+0.00067431i,-0.011633-0.0034419i,-0.0032985+0.00055696i,0.0072927+0.0006029i,0.005539+0.00037439i,-0.0033291+0.0048774i,0.0021657-0.0091141i,-0.011091+0.016659i,0.034979-0.092403i,0.011962-0.071945i,-0.015636-0.060981i,-0.017603-0.056422i,0.035661-0.049812i,0.016199-0.06472i,0.034405-0.056762i,0.031516-0.060608i,0.014917-0.013352i,0.0045097+0.017301i,0.015638-0.026467i,-0.010518+0.0063201i,-0.00067657+0.0061236i,-0.0049251-0.00010614i,-0.0032202-0.027052i,-0.023799+0.032696i,0.010687-0.011372i,-0.012687-0.0030372i,-0.00015572-0.0051218i,-0.0015095-0.015697i,-0.0076453+0.0046576i,0.0053043+0.0060049i,-0.0076684+0.031434i,0.0054722+0.0056097i,-0.0046527-0.00047809i,-0.0032219-0.00020452i,-0.012511-0.0078191i,-0.00034734-0.0043193i,-0.0038181-0.0032878i,0.00016712-0.0095036i,-0.0097745-0.001097i,-0.0063586-0.0023329i,0.0070703+0.0032204i,-0.0076491+0.0012836i,1.5124e-05+0.00053395i,0.0062926+0.01102i,0.0038793+0.0016621i,-0.0094459-0.0095563i,0.0034508+0.0078969i,-0.021804+0.0058665i,0.0082866+0.00025373i,-0.029544-0.0029368i,-0.042203+0.0040706i,0.020057-0.098976i,-0.0021152-0.012587i,-0.055035-0.021102i,-0.024512+0.0014656i,0.018595+0.010692i,-0.024495+0.013237i,-0.018606-0.012341i
-0.03257+0.018016i,-0.053063+0.018466i,-0.032862+0.046882i,-0.031669+0.025277i,-0.028979+0.040426i,0.0053352+0.048574i,-0.003592+0.025518i,-0.017036+0.040773i,-0.013926+0.022708i,-0.0039017-0.0045649i,-0.0042379-0.0031442i,-0.0015749-0.0039073i,-0.0040756-0.0013005i,-0.0069743-0.0047708i,-0.0021152+0.0040934i,-0.0034301-0.0017741i,-0.011694-0.0040668i,-0.001419-0.00035239i,0.0030212-0.0017262i,0.0021471-0.00088898i,0.0025974-0.0037415i,0.002442-0.0039942i,0.0012192-0.0027577i,-0.0095678-0.0080568i,-0.0018124+0.0005537i,-0.0039573+0.0010764i,-0.0019135-8.1187e-05i,-0.0032233-0.0010146i,-0.0011697-0.0015007i,0.001244-0.0018556i,-0.0016348+0.006711i,0.0015417+1.1193e-05i,0.0029158+0.00015655i,0.0011679+0.0015012i,-0.0012477+0.0035728i,-0.0007389-0.0065094i,-0.0015584+0.0012619i,0.0002706-0.00031411i,-1.0156e-05+0.0037167i,0.0082751+0.0048771i,0.0016947-0.0029064i,0.0017831-0.0032777i,-0.003899+0.001337i,0.00071288+0.0031479i,-0.033521-0.0076641i,0.0076335-0.07741i,-0.094804-0.029098i,-0.055028-0.034275i,-0.07749-0.048227i,-0.058642-0.0036083i,-0.093702+0.02192i,-0.059708+0.013245i,-0.050126-0.025076i,-0.034221-0.057236i,-0.023822-0.028003i,0.0034512+0.0052958i,-0.017775+0.010264i,0.0088143+0.0023736i,0.011619+0.0035927i,0.00075009-0.0068107i,0.0087131-0.00027212i,-0.0077539-0.0030073i,0.0032713+0.014083i,-0.0018715+0.0097306i,0.0008513+0.0018237i,0.0053855+0.0033001i,0.0017889-0.00072814i,-0.00088665+0.015137i,1.8782e-05+0.011317i,0.0031205-0.0049046i,0.0097276-0.0065037i,0.0023279+0.0023638i,-0.0082027-0.0079778i,-0.002405-0.0027738i,0.018004-0.025046i,0.0059367+0.0037454i,0.0034293+0.0041847i,-0.0030543+0.0025852i,0.0021652-0.0037187i,0.02196+0.0028131i,0.0022726-0.0027789i,-0.0014914-0.008563i,0.0005406-0.0028854i,0.012879+0.0029838i,0.0042988-0.00035069i,0.0049927-0.0062273i,0.0025285+0.0089619i,0.0047436-0.001057i,0.024204+0.0050601i,-0.081496-0.034897i,-0.0050672+0.019153i,0.0080471-0.0022375i,-0.00050942+0.0045347i,-0.034755+0.012765i,-0.0071251+0.0067675i,-0.016525+0.013655i
-0.028122+0.022063i,-0.049537+0.023759i,-0.021685+0.045203i,-0.027437+0.029514i,-0.022332+0.041983i,0.01431+0.045566i,3.6807e-05+0.02522i,-0.0088179+0.041977i,-0.0092498+0.019909i,-0.0050405-0.0021949i,-0.004458-0.00096986i,-0.0028486-0.0042086i,-0.00504-0.00047457i,-0.0072249-0.002079i,-0.00079365+0.005167i,-0.0057471+0.00050687i,-0.013571+0.001555i,-0.0010859+0.00053635i,0.003243-0.0024134i,0.0020962-0.0017764i,0.0013607-0.0041641i,0.0015539-0.0039609i,0.00077761-0.0027452i,-0.010857-0.0045059i,-0.0011436+0.0008519i,-0.003455+0.002131i,-0.0013721+0.00047546i,-0.0031879-3.3167e-06i,-0.0017651-0.0012607i,0.00066048-0.0018108i,0.0013785+0.0071069i,0.001143-0.0003115i,0.0024459-0.00096875i,0.0011132+0.0012944i,-0.0012373+0.0032094i,-0.0010515-0.0062409i,-0.000842+0.00070662i,-0.00074277-0.00050792i,0.00024636+0.0044333i,0.00812+0.00085733i,0.00070102-0.0032222i,-0.00047309-0.003995i,-0.0040361+0.0024837i,0.0014159+0.0030752i,-0.034405-0.006821i,-0.015755-0.08755i,-0.091237-0.010584i,-0.063675-0.032002i,-0.089264-0.036329i,-0.057432+0.0067142i,-0.083779+0.038918i,-0.055573+0.02501i,-0.042136-0.024139i,-0.041277-0.052283i,-0.031053-0.017803i,0.0049467+0.0021123i,-0.011884+0.018933i,0.0084574-0.0011238i,0.012059-0.0028509i,-0.0044015-0.010211i,0.0039193-0.00032602i,-0.0078845+0.0032238i,0.0085404+0.011738i,0.0008958+0.010666i,0.0012165+0.0015621i,0.0071063+0.0036285i,0.0025516+0.0003748i,0.005801+0.011069i,0.0052751+0.0072882i,-0.0022878-0.0063741i,0.0034252-0.0077236i,0.0031631+0.0026266i,-0.011913-0.00036458i,-0.0026427+5.3451e-05i,0.0070755-0.025512i,0.0067586+0.0031603i,0.0074109+0.0033208i,7.5166e-06+0.0030409i,-0.00033667-0.001203i,0.018779-0.0075795i,0.00033289-0.0032069i,-0.00594-0.007912i,-0.0027948-0.0019142i,0.011485-0.0014561i,0.0038143+0.00047216i,0.0023359-0.0047692i,0.0055007+0.0076974i,0.0035377-0.0014448i,0.024068-0.0025465i,-0.086505-0.025541i,0.0033073+0.0088481i,0.0062581-0.0054644i,0.0010715+0.0017118i,-0.028041+0.022834i,-0.0051255+0.0071848i,-0.013204+0.016612i
-0.022691+0.024675i,-0.046938+0.028986i,-0.015074+0.041101i,-0.022892+0.032013i,-0.014605+0.044069i,0.022398+0.040642i,0.0039512+0.024677i,-0.00073445+0.041053i,-0.0082833+0.017847i,-0.0053713-2.0079e-05i,-0.0034203+0.000861i,-0.0064128-0.0034891i,-0.005167+0.0016824i,-0.0073992+7.2572e-05i,0.00112+0.0057191i,-0.0062983+0.0041855i,-0.011982+0.0074462i,0.00029665+0.00094106i,0.0030482-0.0041588i,0.0018136-0.0029841i,-1.8042e-05-0.004564i,0.00058958-0.0047018i,0.00039389-0.0028341i,-0.011191-0.0015799i,-0.00090325+0.0011446i,-0.0020805+0.0038224i,-0.00091266+0.00035627i,-0.0025965+0.0014621i,-0.0021995-0.00090699i,-0.00032708-0.0025643i,0.0040584+0.0053951i,0.00082801-0.0005535i,0.0019323-0.0014248i,0.0015673+0.00071168i,0.00010611+0.0040286i,-0.00077412-0.0063095i,-0.0011797+0.00066289i,-0.0011933-0.00025933i,0.0036535+0.0030598i,0.0065063-0.0017469i,-0.00018784-0.0030851i,-0.00063069-0.0030368i,-0.0040207+0.0042246i,0.0018205+0.0015754i,-0.03706-0.0037618i,-0.044726-0.085678i,-0.081289+0.0027953i,-0.073069-0.024345i,-0.095614-0.020497i,-0.05251+0.015107i,-0.068872+0.050552i,-0.041178+0.035561i,-0.045865-0.02529i,-0.04725-0.047881i,-0.031553-0.0053828i,0.0051129-0.0014733i,-0.0016681+0.021173i,0.0074094-0.0036613i,0.0076781-0.0077754i,-0.01292-0.010043i,0.0027862-0.00090732i,-0.0036244+0.0068153i,0.011664+0.0063929i,0.0037696+0.011563i,0.00040074+0.001933i,0.008091-0.00066985i,0.0039945-0.0014888i,0.0073701+0.0057496i,0.0052848+0.0020375i,-0.0068396-0.0026484i,0.00087603-0.0062608i,0.0052266+0.0016715i,-0.0076221+0.010305i,-0.00083462+0.0014312i,-0.0026823-0.023585i,0.0086039+0.0001223i,0.0074953-0.0003323i,0.00034834+0.0018123i,0.00074883+0.00032604i,0.011901-0.012099i,-0.0022187-0.00033794i,-0.008892-0.004487i,-0.0037058+0.0015686i,0.0071032-0.0045406i,0.006929-0.0011633i,0.0029783-0.0048551i,0.009207+0.004552i,0.0046446-0.0031562i,0.021155-0.0097093i,-0.089995-0.011918i,0.00083375-0.0015216i,0.006189-0.0085705i,0.0013265-0.0019242i,-0.018013+0.025722i,-0.0057788+0.0030348i,-0.0091127+0.014886i
-0.017339+0.025066i,-0.042676+0.035294i,-0.01147+0.037833i,-0.017623+0.03516i,-0.0059664+0.043262i,0.028922+0.034218i,0.0084543+0.023582i,0.006286+0.038187i,-0.007799+0.018265i,-0.0052215+0.0023091i,-0.0026892+0.0011072i,-0.0082815+0.00077986i,-0.004766+0.0034459i,-0.0074673+0.0027034i,0.0029023+0.0051743i,-0.0046214+0.0079934i,-0.0075143+0.012581i,0.001044-7.1683e-05i,0.0012705-0.0050489i,8.4415e-05-0.0041624i,-0.0016229-0.004257i,-0.00074346-0.0047072i,-0.00011299-0.0033739i,-0.01104+0.0016587i,-0.00039999+0.00079127i,0.0001482+0.0029536i,-0.00097206+0.00028143i,-0.0014658+0.0017964i,-0.0024785+4.124e-06i,-0.0018306-0.0019138i,0.0045429+0.0034572i,0.00029661-0.00051519i,0.0010814-0.0020614i,0.0015985+0.00012557i,0.0020757+0.0034004i,-0.0014821-0.0081582i,-0.00074518+0.0013396i,-0.0015011+0.00029594i,0.0033476-0.0011059i,0.0045167-0.0027703i,-0.00088178-0.0027154i,-0.00024151-0.0026469i,-0.0030047+0.0046939i,-0.00055077-0.00040092i,-0.039309+0.00067877i,-0.069039-0.069261i,-0.071397+0.0081659i,-0.080171-0.012662i,-0.098946-0.0040784i,-0.04639+0.020506i,-0.055015+0.056507i,-0.026794+0.03464i,-0.048462-0.01992i,-0.053768-0.040696i,-0.029396+0.0035664i,0.0027628-0.0043385i,0.0062756+0.018563i,0.0061261-0.006042i,0.002104-0.0090059i,-0.017737+0.0057349i,-0.00043903-1.3232e-05i,0.00048262+0.0057693i,0.010577+0.00083202i,0.0092362+0.011856i,0.00089494+0.002956i,0.00474-0.0025518i,0.003534-0.0045734i,0.0059875+0.0014696i,0.0025335+0.000532i,-0.006672+0.00083478i,-0.0013977-0.0049072i,0.0057162-0.00064482i,0.0036878+0.0093747i,-0.00014974+0.00084556i,-0.0065387-0.016403i,0.0078634-0.0028754i,0.0061183-0.0030014i,0.0017959+0.0025815i,0.001336+0.00017727i,0.0064695-0.012399i,-8.5302e-05+0.0017827i,-0.0097693+8.1021e-05i,-0.0012538+0.0038837i,0.0038704-0.0042008i,0.0060494-0.0047703i,0.00052089-0.0052955i,0.0094544-0.0011125i,0.0026417-0.0060441i,0.016921-0.016158i,-0.087173+0.0035542i,-0.0065102-0.0055502i,0.0042455-0.013469i,-0.00012034-0.0050362i,-0.011554+0.02517i,-0.0093681+0.0031752i,-0.007842+0.011907i
-0.013509+0.024749i,-0.037711+0.040952i,-0.010187+0.036589i,-0.011064+0.036878i,0.0011857+0.040459i,0.033383+0.026963i,0.013047+0.021068i,0.012151+0.034569i,-0.0057396+0.01961i,-0.0031404+0.0040637i,-0.0029962+0.001929i,-0.007163+0.0043349i,-0.0038734+0.0050841i,-0.0057915+0.0055636i,0.0045201+0.004066i,-0.0012047+0.010234i,-0.0012765+0.014833i,0.00082583-0.0007538i,0.00014055-0.0047418i,-0.0020692-0.0038015i,-0.0029975-0.0033705i,-0.0020373-0.0042333i,-0.0014843-0.0034139i,-0.0088304+0.0043547i,-0.00080707+0.00034523i,0.00029741+0.0017336i,-0.0011055+0.0003142i,-0.00073274+0.0017582i,-0.0021186+0.0010081i,-0.0019717-0.00050166i,0.0059253+0.0027096i,0.00022486-0.00056217i,9.4514e-05-0.0019463i,0.0013065-0.00042472i,0.0027038+0.0019833i,-0.0049631-0.0081763i,-0.00041056+0.0016152i,-0.0014361+0.0011694i,0.00055946-0.0012327i,0.0032871-0.0027048i,-0.001325-0.0024381i,-0.00064149-0.0025166i,-0.00096579+0.0057001i,-0.002662+0.002309i,-0.040063+0.0072737i,-0.07778-0.044705i,-0.066226+0.00974i,-0.084234+0.0016034i,-0.098984+0.014035i,-0.041767+0.023281i,-0.041382+0.059685i,-0.017333+0.031617i,-0.049835-0.015396i,-0.057233-0.033615i,-0.026832+0.010035i,0.00029264-0.0058005i,0.014461+0.013486i,0.0039086-0.0073739i,-0.0028675-0.0075333i,-0.020053+0.0095736i,-0.001252+0.0022903i,0.0031227+0.0054721i,0.006565-0.00087057i,0.014483+0.0080548i,0.0019501+0.0031017i,0.0026323-0.0014966i,0.0017278-0.0065176i,0.0032096+0.0013162i,0.00068442+0.0015768i,-0.0059006+0.0052309i,-0.0027167-0.0024344i,0.0049306-0.0025077i,0.0053807+0.0053998i,0.0002183+0.00069316i,-0.0088642-0.016156i,0.0060841-0.0053977i,0.004308-0.0045525i,0.0045725+0.0019047i,0.0017412-2.7932e-05i,0.0035336-0.011729i,0.0016403+0.0012717i,-0.0072584+0.0058078i,0.0017988+0.0035873i,0.0033704-0.0034885i,0.0024798-0.0081389i,0.0003268-0.0041557i,0.0062406-0.005304i,-0.0010131-0.0071187i,0.0089194-0.021928i,-0.080685+0.013389i,-0.014371-0.0018029i,-0.00016175-0.016779i,-0.0022312-0.0076034i,-0.0075217+0.024587i,-0.011947+0.0063401i,-0.0069101+0.012822i
-0.010563+0.024632i,-0.031834+0.046377i,-0.0085999+0.038403i,-0.0046693+0.036286i,0.0058509+0.036437i,0.036494+0.019853i,0.017355+0.017071i,0.016674+0.030568i,-0.0029101+0.019743i,-0.0014446+0.0039772i,-0.0032335+0.0035559i,-0.0051802+0.0067981i,-0.0021909+0.0066731i,-0.0034029+0.0067302i,0.0052928+0.0025001i,0.0026152+0.010567i,0.0051948+0.013734i,0.00072537-0.00071681i,-0.0013836-0.0046878i,-0.0032847-0.0025588i,-0.0033652-0.0018615i,-0.0029261-0.003355i,-0.0023873-0.0026356i,-0.007277+0.0052899i,-0.0013309+0.00080562i,-2.0857e-05+0.0014141i,-0.0014291+0.00077569i,-0.00010915+0.0013572i,-0.0013535+0.0014721i,-0.0016351+0.00020855i,0.0064007-0.00029241i,5.9235e-05-0.00063895i,-0.00058865-0.0015412i,0.00088414-0.00089602i,0.0027132+0.0013702i,-0.0080731-0.0066357i,-0.00032649+0.0014676i,-0.00046219+0.0019223i,-3.6424e-05-0.0011689i,0.0023826-0.0024428i,-0.0019616-0.0018054i,-0.0015299-0.0024927i,0.0012821+0.005524i,-0.0017347+0.0051242i,-0.039076+0.014907i,-0.074973-0.028577i,-0.063675+0.012816i,-0.083452+0.018772i,-0.093137+0.033633i,-0.039721+0.026186i,-0.029445+0.059494i,-0.0096148+0.027715i,-0.049706-0.0091968i,-0.061813-0.02626i,-0.022965+0.014315i,-0.003579-0.0051912i,0.017404+0.0015623i,0.0021815-0.0090518i,-0.0061756-0.0037217i,-0.015047+0.017452i,3.3195e-05+0.0032903i,0.0063235+0.0026092i,0.0054049+0.00021072i,0.017566+0.00053712i,0.0030694+0.0031595i,0.0023077-0.0007652i,-0.0025979-0.0085886i,0.0022034+0.0028182i,0.00084562+0.0033924i,-0.0010857+0.008616i,-0.0017788-0.00033169i,0.0034799-0.0033238i,0.0072867+0.0014432i,0.0011073-0.00011198i,-0.01398-0.013258i,0.0032482-0.0062856i,0.0014909-0.0057257i,0.0036622-0.00032577i,0.0018343+0.00025299i,0.0018337-0.010603i,0.0022764+9.7427e-05i,-0.0022423+0.0072091i,0.0030806+0.0016328i,0.0023218-0.0039525i,-0.0020694-0.0086035i,-0.00022534-0.0053607i,0.002642-0.0059266i,-0.002869-0.0068121i,-0.0010824-0.022415i,-0.076938+0.022425i,-0.012439+0.0083367i,-0.0051984-0.016924i,-0.0057221-0.0079608i,-0.0043456+0.02395i,-0.011061+0.010946i,-0.0023721+0.012903i
-0.0075946+0.025002i,-0.024467+0.051239i,-0.0045558+0.041172i,0.00030869+0.03482i,0.0085802+0.033839i,0.038563+0.012436i,0.020298+0.0122i,0.020391+0.026493i,-0.00024483+0.019997i,-0.00080168+0.0039723i,-0.0020346+0.0059411i,-0.0020871+0.0085821i,1.6796e-05+0.007306i,-0.001156+0.0068001i,0.0053969+0.00095968i,0.0061394+0.009466i,0.0097254+0.010183i,0.00075636-0.00075396i,-0.0027299-0.0038825i,-0.0038186-0.00099086i,-0.0031484-0.00062273i,-0.0036175-0.0025386i,-0.0028516-0.0017514i,-0.0066472+0.0067721i,-0.0011464+0.001608i,-2.4769e-05+0.0019182i,-0.0012482+0.001512i,-0.00016781+0.00091064i,-0.00082349+0.0014696i,-0.0012854+0.00057145i,0.0060981-0.0031643i,0.00013685-0.00034767i,-0.00081227-0.0013498i,0.00045759-0.0010832i,0.0030896-3.8673e-05i,-0.010165-0.0036698i,9.6522e-05+0.0016652i,0.0003946+0.0016479i,-0.00068109-0.0010715i,0.0020756-0.0025957i,-0.0021016-0.00089966i,-0.0020851-0.001518i,0.0026041+0.0040626i,-0.0002317+0.0061527i,-0.035159+0.021467i,-0.074035-0.021265i,-0.06271+0.01795i,-0.076537+0.03365i,-0.081971+0.050666i,-0.0367+0.031861i,-0.019282+0.058964i,-0.0051818+0.022912i,-0.049026-0.0037435i,-0.064642-0.016834i,-0.019661+0.017626i,-0.0046211-0.0048487i,0.010704-0.0087445i,-0.00079374-0.010589i,-0.0067358-0.00016041i,-0.0058911+0.019179i,0.00039137+0.003077i,0.006696-0.0017322i,0.0064367-0.00047782i,0.015604-0.0054917i,0.0045965+0.0027159i,0.0024588+0.00035837i,-0.0074091-0.0040497i,0.0035937+0.0040839i,0.0020035+0.0047432i,0.0028279+0.0080087i,-0.00133-5.1175e-05i,0.0023159-0.0037113i,0.0058549-0.0028718i,-0.0002587-0.00059157i,-0.018076-0.010144i,0.0012759-0.006297i,-0.00085947-0.0042788i,0.0044493+8.3879e-05i,0.001913-0.00049747i,0.00076879-0.011365i,0.0019367-0.001366i,0.00049019+0.0060777i,0.002921+0.00088425i,0.0021294-0.0034103i,-0.0059133-0.005196i,-0.0036635-0.0058526i,-0.00014092-0.0050081i,-0.0051749-0.0066355i,-0.0083717-0.018556i,-0.070504+0.031517i,-0.0077078+0.0071742i,-0.0062549-0.015885i,-0.0079748-0.0067571i,-0.000752+0.022195i,-0.010083+0.012658i,-0.00035746+0.010055i
-0.0043688+0.025005i,-0.015875+0.054776i,0.0018845+0.043743i,0.0047633+0.033621i,0.011191+0.032417i,0.038959+0.005051i,0.022054+0.0070908i,0.023677+0.022289i,0.0029554+0.019801i,0.00014237+0.0043283i,0.00085912+0.0070428i,0.0014809+0.0084336i,0.0020697+0.0071081i,0.00035444+0.0066628i,0.005347-0.00033674i,0.008925+0.0069842i,0.012045+0.0058988i,0.001004-0.0016135i,-0.0035544-0.0028333i,-0.0033845+0.00078704i,-0.0025657+0.00030502i,-0.0041234-0.00099621i,-0.0030416-0.00099835i,-0.0041355+0.0088205i,-0.00056224+0.0023034i,0.00088401+0.0021711i,-0.00056636+0.0021018i,-0.00062629+0.0010388i,-0.00024294+0.0016455i,-0.00094337+0.00082627i,0.0032715-0.0045463i,0.00039014-0.00068048i,-0.0013796-0.0010708i,-3.8852e-05-0.0011424i,0.0022944-0.0013235i,-0.011227-0.00067759i,0.00063451+0.0015143i,0.0009058+0.0015004i,-0.0015282-0.00081035i,0.0016457-0.0025851i,-0.001842-0.00030516i,-0.0020149-0.00099449i,0.0032643+0.0027191i,0.0015501+0.0067258i,-0.030774+0.025314i,-0.078442-0.014588i,-0.061006+0.024493i,-0.068142+0.045416i,-0.06638+0.062035i,-0.032229+0.036617i,-0.009223+0.057101i,-0.0023395+0.019809i,-0.047259+0.0018234i,-0.064824-0.0060703i,-0.016067+0.020802i,-0.006117-0.0037526i,0.0026094-0.0098437i,-0.0047575-0.010669i,-0.0054445+0.0035698i,0.00019898+0.017248i,1.1381e-05+0.0027454i,0.00494-0.0056552i,0.0055351-0.0018101i,0.011069-0.011071i,0.0064815+0.00065601i,0.0034672+0.00042608i,-0.0078126-0.00015451i,0.0051637+0.0044335i,0.004631+0.005252i,0.0067169+0.005863i,-0.00097993+0.0010392i,0.0019146-0.004012i,0.0039072-0.0084291i,-0.00033161+0.0010376i,-0.022899-0.0050264i,-0.00026983-0.0061259i,-0.0018074-0.0025085i,0.0051431-0.001134i,0.0017288-0.00075626i,-0.0016426-0.013003i,0.00075808-0.0017251i,0.0033856+0.00611i,0.0033311-7.8093e-05i,0.002856-0.0036798i,-0.0072643-0.0021491i,-0.0069465-0.0027802i,-0.002947-0.0035402i,-0.007032-0.0053366i,-0.012408-0.013697i,-0.064015+0.038129i,-0.007349+0.0058621i,-0.0071332-0.018126i,-0.0095751-0.0049654i,0.00052668+0.021694i,-0.0097538+0.01437i,0.00059342+0.0082299i
-0.00055656+0.024975i,-0.0060889+0.056448i,0.010271+0.043858i,0.0091441+0.032383i,0.014991+0.032i,0.038361-0.0019048i,0.022524+0.0014748i,0.02692+0.017762i,0.0064588+0.018635i,0.0010058+0.0042258i,0.0035312+0.0057799i,0.0037317+0.0064073i,0.0042056+0.0064925i,0.0022393+0.0063353i,0.0049685-0.0016564i,0.01012+0.0035049i,0.012409+0.0014904i,-0.00019805-0.0023683i,-0.0044625-0.0014687i,-0.0019377+0.0017526i,-0.0015547+0.000563i,-0.0036768+0.00022688i,-0.0031324+1.7588e-05i,-0.00076671+0.0089096i,0.00039905+0.0025457i,0.0015924+0.001707i,0.0002572+0.0021743i,-0.00028553+0.0016804i,0.00038766+0.0013814i,-0.00051489+0.00088196i,0.00099245-0.0048116i,-2.6917e-05-0.0011113i,-0.0016824-0.00038324i,-0.00066321-0.0010644i,0.0012571-0.0021195i,-0.011145+0.0031494i,0.00088415+0.0012983i,0.0015933+0.0010514i,-0.0019494+8.4466e-05i,0.0013166-0.0028974i,-0.0017234-4.8699e-05i,-0.0019662-0.0008292i,0.0031493+0.0016544i,0.0036336+0.0067626i,-0.026642+0.029501i,-0.085824-0.0010414i,-0.056231+0.03041i,-0.056387+0.054011i,-0.051348+0.069257i,-0.026956+0.042502i,0.000804+0.053037i,0.0030231+0.016566i,-0.044619+0.0073166i,-0.062114+0.004581i,-0.011447+0.023511i,-0.0077509-0.0025155i,-0.0029953-0.0093706i,-0.0092032-0.00889i,-0.0017097+0.0050379i,0.0038434+0.014486i,-0.00074657+0.0028808i,0.0023017-0.0082396i,0.0058211-0.001541i,0.0043166-0.013434i,0.0065224-0.0028195i,0.0046752-0.00050537i,-0.0077354+0.0038224i,0.0078202+0.0036706i,0.0076956+0.0025825i,0.0086038+0.0019746i,0.00027151+0.0017428i,0.00091184-0.0042086i,-0.0011809-0.0084493i,0.0011447+0.0022767i,-0.023226+0.0042923i,-0.0019559-0.0056141i,-0.0013598-0.00058656i,0.0054869-0.0043919i,0.0019288-0.00060281i,-0.00752-0.013581i,-0.00011183-0.0013308i,0.0059396+0.0040838i,0.0031605-0.00056606i,0.0021241-0.0045425i,-0.0066364+0.0019941i,-0.0074309+0.0021626i,-0.0041382-0.0013112i,-0.0089891-0.0038019i,-0.014578-0.0085685i,-0.058404+0.044204i,-0.0077036+0.0085627i,-0.011816-0.021752i,-0.0078822-0.0034406i,0.0034184+0.021912i,-0.0089838+0.017964i,0.002175+0.00572i
0.0034377+0.023881i,0.0035674+0.055815i,0.018338+0.041092i,0.013732+0.030502i,0.020015+0.030676i,0.037035-0.0084585i,0.02149-0.003938i,0.029136+0.012499i,0.0094348+0.016793i,0.0016619+0.0043017i,0.0045946+0.0042044i,0.004337+0.0046899i,0.0058213+0.0048589i,0.0038099+0.0053257i,0.0041634-0.0027199i,0.0097248+0.00048988i,0.011215-0.0020572i,-0.0010639-0.0019878i,-0.0043461+2.0491e-05i,-0.0006152+0.0015336i,-0.00091367+0.00022564i,-0.0031372+0.0008717i,-0.0024986+0.00085403i,0.0017536+0.008608i,0.0014875+0.0020468i,0.0020817+0.0011952i,0.001102+0.0018846i,0.00052268+0.0017962i,0.00076004+0.00090831i,-0.00044816+0.0009352i,-0.0010372-0.0041674i,-0.00074768-0.0010748i,-0.0016662+0.00035172i,-0.0011626-0.00066554i,0.00022258-0.0022368i,-0.0094121+0.0061523i,0.001152+0.00088558i,0.0018067+0.00020002i,-0.0019325+0.0012041i,0.00056333-0.0034605i,-0.001661+0.00032432i,-0.0021521-0.00092321i,0.0029163+0.0010511i,0.0056694+0.0060124i,-0.021575+0.033208i,-0.087065+0.018311i,-0.052991+0.034635i,-0.045363+0.058598i,-0.03469+0.073954i,-0.018528+0.048282i,0.0083192+0.046494i,0.0061524+0.0091651i,-0.039862+0.011271i,-0.056271+0.015186i,-0.0052362+0.024763i,-0.0091268+0.00010973i,-0.0087815-0.006045i,-0.011887-0.0052918i,0.0011474+0.0034885i,0.0061041+0.011584i,-0.0023255+0.0041431i,-0.0011449-0.010666i,0.0068104-0.0037036i,-0.0021383-0.011954i,0.0043279-0.0049884i,0.0051218-0.0027838i,-0.0059481+0.007222i,0.010059+5.2321e-05i,0.0076559-0.0020557i,0.0078392-0.00392i,0.0022655+0.0013123i,0.0001401-0.00426i,-0.0044492-0.0048707i,0.0030782+0.001281i,-0.028852+0.02037i,-0.0044433-0.0049842i,-6.7217e-05+0.00044024i,0.0021701-0.0062519i,0.0020971-0.00081437i,-0.013129-0.0098216i,7.1821e-06-0.00030147i,0.0069558+0.0001659i,0.0027985-0.0010836i,0.0010602-0.0048385i,-0.0039412+0.0052069i,-0.0050522+0.0052379i,-0.0040863+0.001796i,-0.010955-0.0014273i,-0.014819-0.0043189i,-0.050873+0.052498i,-0.0015735+0.010903i,-0.019402-0.021639i,-0.0067524-0.0045592i,0.0060353+0.020843i,-0.0056352+0.021513i,0.00238+0.0019202i
