-0.00070723-0.041906i,-0.00049171-0.046272i,-0.0078567-0.047672i,-0.03044-0.02329i,-0.022782+0.010842i,-0.036547-0.033707i,-0.064119-0.058361i,-0.019449-0.071151i,-0.024066-0.04399i,-0.00091498+0.016568i,-0.010022+0.012518i,-0.014432+0.013501i,0.003417+0.0138i,-0.0029905-0.0019888i,0.0017882+0.0058623i,0.00026334+0.033412i,0.019239+0.057099i,0.0014717-0.00039808i,-0.0030871-0.0094877i,0.0075973+0.0043035i,0.0015737+0.0014633i,-0.00046742+0.0032233i,2.6817e-06-0.00063382i,-0.037988-0.0098418i,-0.0025181-0.0075735i,-0.00096487+0.0044879i,0.0055284-0.00016395i,-8.7837e-05+0.0002729i,0.00062268-0.00084784i,0.00031663-0.002223i,-0.0015161-0.0058671i,-0.003161-0.006078i,-0.001002-0.007133i,0.0032703-0.00032219i,0.0032311-0.0014362i,-0.0021007+0.038989i,0.0066754-0.0039981i,0.0031972-0.00082726i,0.0052328-0.00038372i,-0.012554-0.0062624i,-0.00084705+0.00017258i,0.0098186-0.00041995i,0.0032581+0.0015614i,-0.0043838+0.0019597i,-0.00028867+0.0098983i,-0.0051459+0.017866i,0.026016-0.081951i,-0.00066318-0.052788i,-0.02313-0.041639i,-0.019813-0.037202i,0.063093-0.016423i,0.030715-0.058424i,0.039005-0.044604i,0.034008-0.052383i,0.019822-0.015847i,0.0074879+0.011446i,0.023905-0.034405i,-0.0081115-0.0049939i,0.0031788-0.0012128i,-0.0026803-0.0053704i,0.0050076-0.031908i,-0.025439+0.03069i,0.0083362-0.0099588i,-0.012668-0.0026457i,-0.0044731-0.0018063i,0.00016321-0.013914i,-0.010786+0.0053882i,0.0031538+0.006725i,-0.01425+0.030495i,0.0055075+0.0066918i,-0.005949-0.0018149i,-0.0012907-0.0025135i,-0.011828-0.0072201i,5.6175e-05-0.0035025i,-0.036447+0.0062009i,0.0017981-0.012444i,-0.0092874-0.0027479i,-0.0068807-0.0033698i,0.0060842+0.0017982i,-0.0090506+0.0022729i,-0.00014957+0.0017148i,0.0058152+0.010244i,0.0048926+0.00055645i,-0.0091824-0.009764i,0.0017886+0.0085249i,-0.020474+0.0053225i,0.0059477+0.0033589i,-0.028058-0.0086647i,-0.036007-0.0018843i,0.026388-0.077879i,0.014342-0.0090231i,-0.043023-0.028278i,-0.024891-0.0059623i,0.017335+0.012208i,-0.027263+0.010875i,-0.012024-0.0099052i
-0.042082-0.0066756i,-0.057407+0.0035523i,-0.041656+0.047946i,-0.019188+0.0099782i,-0.0050203+0.018995i,-0.0049065+0.037698i,-0.027524+0.016931i,-0.061799+0.024872i,-0.020454+0.016976i,0.0037446-0.0098999i,0.0032556-0.0019439i,0.0030209+0.00052105i,0.0024688+0.0085995i,-0.0036927+0.0012389i,-8.5151e-05+0.0018066i,0.0020877-0.0077481i,-0.012377-0.0086279i,-0.0039405+0.00018597i,0.0038238-0.0033552i,0.00093704+0.00033933i,0.0013621-0.0048294i,0.0021119-0.0040437i,0.001571-0.0026822i,-0.011403-0.011756i,-0.0029144-0.0015114i,-0.0040688-0.00024332i,-0.0030507-0.00042407i,-0.0044447-0.0013669i,-0.0010711-0.0025173i,0.0014001-0.0011604i,-0.0040586+0.0039628i,0.0015571+0.0019508i,0.0021949+0.0016994i,0.0011676+0.00097625i,-0.0024413+0.0025622i,-0.0039768-0.0096176i,-0.0036062+0.0013958i,0.00072532+0.00026806i,-0.0010427+0.003778i,0.0098855+0.0086213i,0.0015294-0.0015923i,0.001091-0.00028156i,-0.0037083-0.004785i,0.0014575+0.0052882i,-0.0090589-0.017956i,0.016502-0.077789i,-0.087256-0.022526i,-0.023535-0.020877i,-0.049304-0.039489i,-0.043391-0.0081877i,-0.091259+0.01742i,-0.062459-0.0033579i,-0.038493-0.026163i,-0.025794-0.055797i,-0.033327-0.02572i,-0.00053547+0.0036403i,-0.026575+0.010382i,0.0060786+0.017093i,0.0041555+0.0083159i,-0.0018789-0.0059553i,0.0081976+0.0057391i,-0.011297-0.0049934i,0.0028562+0.011433i,0.00089538+0.0069593i,-0.0012731-0.0016355i,0.0064124+0.0021247i,0.0042403-0.00092184i,-0.0031119+0.020461i,-0.0008717+0.014748i,0.0020487-0.0045019i,0.011374-0.0084048i,0.0039895+0.0042482i,-0.0078768-0.007691i,-0.0016082-0.0015496i,0.025776-0.03337i,0.0090976+0.0087569i,0.0041885+0.0032291i,-0.0019823+0.0027287i,0.0036377-0.0033375i,0.019763+0.0027286i,0.0017622-0.0021679i,-0.0011953-0.0081917i,0.0019482-0.0032302i,0.012267+0.0058708i,0.0053749+0.00067986i,0.0036531-0.0065804i,0.004545+0.0079749i,0.0035497+0.0029993i,0.0189+0.0051138i,-0.06608-0.041483i,-0.011403+0.010585i,-0.0073834-0.0036393i,-0.0085933+0.0051859i,-0.03776+0.0081153i,-0.0053702+0.0075813i,-0.016311+0.0041959i
-0.041235-0.00053192i,-0.055695+0.0095913i,-0.029432+0.048765i,-0.017704+0.011733i,-0.0015327+0.016451i,0.0021032+0.037112i,-0.025484+0.020812i,-0.054169+0.033068i,-0.015928+0.015765i,0.00026198-0.0097641i,0.0032469-0.0015474i,0.0030052-0.0010896i,0.0045395+0.0062404i,-0.0020126+0.0030013i,-3.2319e-05+0.0024334i,-0.0027509-0.0057925i,-0.017226-0.0013081i,-0.0032513+0.00158i,0.0037175-0.0036003i,0.0015338-0.00032643i,-1.436e-05-0.004526i,0.0014963-0.0032878i,0.0012663-0.0026317i,-0.013053-0.0073657i,-0.003065-0.00067434i,-0.0042986+0.0012433i,-0.0024883+0.0005614i,-0.0041101+0.00020026i,-0.0017179-0.0023686i,0.0013081-0.0013726i,-0.0023419+0.0055143i,0.0015567+0.0016516i,0.0024114+0.00054675i,0.00042434+0.00077966i,-0.0029105+0.0023626i,-0.0038999-0.0083148i,-0.0029381+0.0019139i,-0.00020357-0.00035997i,-0.00055341+0.004822i,0.01077+0.0024767i,0.0010651-0.0018991i,0.00051664-0.00090838i,-0.0052929-0.0037153i,0.0026478+0.0048787i,-0.010745-0.021389i,-0.0065605-0.087653i,-0.08289-0.0052511i,-0.029914-0.023278i,-0.059377-0.030479i,-0.041034+0.00081017i,-0.078228+0.036972i,-0.060088+0.010914i,-0.029079-0.025646i,-0.03214-0.052374i,-0.04016-0.011803i,-9.9194e-05+0.0014775i,-0.021035+0.022182i,0.010286+0.011281i,0.006913+0.0045309i,-0.007351-0.0099769i,0.0046196+0.0039573i,-0.011433+0.0021847i,0.0075751+0.0086669i,0.0019856+0.0082567i,-0.0016614-0.00096593i,0.0066824+0.0023376i,0.0041089-0.0017417i,0.0065516+0.016443i,0.0061848+0.010357i,-0.0036965-0.0057713i,0.0029946-0.009277i,0.0049609+0.0040447i,-0.010988-0.00029664i,-0.0022278+0.00080837i,0.010157-0.035966i,0.011787+0.0061178i,0.0074362+0.0016427i,0.0010869+0.0020733i,0.0004777-0.0016253i,0.018738-0.0064859i,0.00023389-0.0026429i,-0.0047253-0.0062174i,-0.0019071-0.0028274i,0.011247+0.00057802i,0.0053845+0.00062852i,0.0013234-0.0042043i,0.0071397+0.0064004i,0.0036673+0.0028306i,0.017946-0.0018895i,-0.07179-0.032242i,-0.0027823-0.00094406i,-0.0064985-0.0022468i,-0.0067635+0.0052734i,-0.032306+0.020585i,-0.0034342+0.0089734i,-0.014877+0.0066442i
-0.038654+0.0044898i,-0.054861+0.015871i,-0.021443+0.047355i,-0.016636+0.013631i,0.0030566+0.015126i,0.0090817+0.034846i,-0.022046+0.024524i,-0.046083+0.038517i,-0.01536+0.014262i,-0.0027293-0.0084577i,0.0038775-0.0019806i,-0.00040503-0.0018798i,0.005758+0.0041782i,-0.0016109+0.0032839i,0.00069521+0.003079i,-0.0058805-0.0015336i,-0.016678+0.0077201i,-0.0011565+0.0027512i,0.0035435-0.005575i,0.0021417-0.0016849i,-0.0010881-0.0040113i,0.0016538-0.0038734i,0.00099955-0.0029525i,-0.014397-0.0035495i,-0.0033779+0.00066882i,-0.0033292+0.0033303i,-0.0017902+0.00077076i,-0.0029069+0.0016204i,-0.0024476-0.0021134i,0.000455-0.0025159i,8.8443e-05+0.0058419i,0.0016673+0.0012303i,0.0021782-9.3534e-05i,0.00055145+0.00061961i,-0.002091+0.0041892i,-0.0038599-0.008287i,-0.0028364+0.0021939i,-0.00087673-0.00010616i,0.0034006+0.0036175i,0.0087463-0.0014059i,0.00049738-0.0019823i,0.00082817-0.00031106i,-0.0070781-0.0021158i,0.0038709+0.0028911i,-0.015196-0.023204i,-0.033102-0.086394i,-0.072923+0.0063177i,-0.037733-0.020618i,-0.064314-0.019838i,-0.034922+0.0070681i,-0.058325+0.049543i,-0.045957+0.024014i,-0.030107-0.030221i,-0.038031-0.049693i,-0.038945+0.002531i,-0.00033959+9.0895e-05i,-0.0093864+0.027533i,0.011429+0.0056359i,0.0044808-0.0011081i,-0.017949-0.0087406i,0.0042389+0.0028988i,-0.0073591+0.0068043i,0.0094093+0.0039102i,0.0048078+0.0084779i,-0.0039373+0.00079889i,0.0073188-0.0012191i,0.0038477-0.0034646i,0.0098832+0.0085989i,0.0072974+0.004544i,-0.0081748-0.0012318i,9.9578e-05-0.0066547i,0.0071838+0.0029312i,-0.0078482+0.009061i,-0.00027328+0.002665i,-0.0024167-0.033002i,0.014594+0.00072699i,0.0070044-0.0016831i,0.0012884+0.00087955i,0.00092632-3.5945e-05i,0.012042-0.011863i,-0.002732+0.00047154i,-0.0072186-0.0030327i,-0.0036843+0.0013123i,0.0080421-0.0028025i,0.0085738-0.0016707i,0.0020718-0.0040974i,0.010313+0.0027091i,0.0060213+0.0015604i,0.014997-0.0075902i,-0.075485-0.019061i,-0.0081798-0.011865i,-0.0040413-0.0033738i,-0.004833+0.0046575i,-0.022866+0.025963i,-0.0021854+0.0039073i,-0.01167+0.0037752i
-0.035658+0.0076596i,-0.052922+0.023985i,-0.01523+0.045919i,-0.013524+0.016916i,0.0075183+0.010217i,0.015105+0.030769i,-0.017416+0.027628i,-0.03855+0.041615i,-0.015479+0.015816i,-0.0048474-0.0066751i,0.0035626-0.0038133i,-0.0021127+0.0011864i,0.0054706+0.0019308i,-0.0014624+0.0051213i,0.001262+0.0031321i,-0.0056536+0.003555i,-0.01033+0.014979i,0.00042969+0.0018771i,0.0011904-0.0064973i,0.0010236-0.0035527i,-0.001905-0.0035694i,0.0011685-0.004342i,0.00040454-0.0037915i,-0.014612+0.0012272i,-0.0025178+0.0013637i,-0.00071567+0.0033341i,-0.0013985+0.00076505i,-0.0012777+0.0015149i,-0.0032244-0.0009685i,-0.0011665-0.0023547i,0.0020312+0.0051799i,0.0016289+0.00073988i,0.0014326-0.00072326i,0.00052806+0.00042007i,0.00039341+0.0045651i,-0.00546-0.0095221i,-0.0017031+0.0034859i,-0.0011331+0.00041271i,0.0033103-0.00012189i,0.0066898-0.0031514i,0.00025205-0.0020577i,0.0014479-0.00091156i,-0.0077546+0.00054033i,0.0023592-0.00059353i,-0.020669-0.023022i,-0.055327-0.072749i,-0.063534+0.010912i,-0.044076-0.014693i,-0.068618-0.0079428i,-0.027794+0.009005i,-0.039552+0.051895i,-0.030375+0.023681i,-0.032859-0.028666i,-0.044542-0.044171i,-0.033756+0.012282i,-0.0016483-0.00059296i,0.0015299+0.025984i,0.01086+0.00094704i,-0.00066958-0.0021967i,-0.025337+0.0016231i,0.001232+0.0029272i,-0.0029647+0.0071399i,0.007736-0.0011004i,0.008199+0.0074i,-0.0034601+0.0042583i,0.0038444-0.0028471i,0.0028006-0.005658i,0.0077614+0.0013956i,0.0045155+0.0012778i,-0.0075181+0.0032237i,-0.0019488-0.0049844i,0.0078408+0.00041754i,0.0020536+0.011766i,0.0015545+0.0017773i,-0.0099624-0.026535i,0.012843-0.0044293i,0.0060811-0.0039064i,0.0020176+0.0019174i,0.0013455-0.00066865i,0.0061012-0.012268i,-0.00010176+0.0032919i,-0.0080677+0.0011224i,-0.001109+0.0042631i,0.0056367-0.0030522i,0.007642-0.0065934i,0.00019719-0.0043653i,0.0094926-0.0036845i,0.0055647-0.0016148i,0.011009-0.012225i,-0.072734-0.0055415i,-0.018238-0.014603i,-0.0049596-0.0078616i,-0.0036912+0.0022802i,-0.015006+0.026794i,-0.0064512+0.0030093i,-0.014201+0.0038547i
-0.033647+0.010119i,-0.049664+0.031277i,-0.010837+0.045041i,-0.0089665+0.018343i,0.0090367+0.0041915i,0.019194+0.026281i,-0.012059+0.029234i,-0.03203+0.044175i,-0.013274+0.018723i,-0.0058383-0.004558i,0.0013768-0.0046994i,-0.00079025+0.0036852i,0.0046792+0.00062846i,0.0010296+0.0066109i,0.0022903+0.0032115i,-0.0028942+0.0070876i,-0.0020861+0.018039i,0.00072973+0.00088766i,-0.00017559-0.0059089i,-0.0010902-0.004008i,-0.0029512-0.0030341i,9.6305e-05-0.0044782i,-0.0010949-0.0040948i,-0.011662+0.0052021i,-0.0026132+0.0011471i,-0.0002379+0.0017531i,-0.0012346+0.00082649i,-0.00049157+0.00085406i,-0.003293+0.0004048i,-0.0017102-0.0011622i,0.0033339+0.0039916i,0.0016673-7.8843e-05i,0.00076118-0.00073452i,0.00041045+0.00033094i,0.0015139+0.0038735i,-0.0088276-0.0094702i,-0.00057134+0.0038261i,-0.00098548+0.001243i,0.0010959-0.0011066i,0.0046029-0.0034055i,-4.9776e-05-0.0021983i,0.0014281-0.001638i,-0.006794+0.0030147i,-0.00069339+0.00053374i,-0.025987-0.020006i,-0.064636-0.052578i,-0.058247+0.011997i,-0.048977-0.0065109i,-0.070089+0.0066941i,-0.023597+0.0066788i,-0.024148+0.049696i,-0.021051+0.019892i,-0.034627-0.027338i,-0.048673-0.038618i,-0.027471+0.019576i,-0.0024452-0.00041711i,0.011665+0.020786i,0.0092568-0.0019364i,-0.0045238+0.00019686i,-0.025161+0.01227i,0.0007672+0.0048454i,0.00065901+0.0078454i,0.0029205-0.0020805i,0.011204+0.004533i,-0.0011885+0.0063976i,0.0012924-0.0016013i,0.00076304-0.0069889i,0.0022998+0.00083074i,0.0019235+0.0021221i,-0.0061049+0.0067298i,-0.0031929-0.0021197i,0.0074119-0.002344i,0.0075734+0.007284i,0.0022609+0.00048236i,-0.013964-0.023897i,0.0094375-0.0083057i,0.0042298-0.0059402i,0.0046207+0.0017702i,0.00087806-0.00061683i,0.0026503-0.010899i,0.0024022+0.0027321i,-0.0053175+0.0059022i,0.0022254+0.0043251i,0.0052705-0.0032185i,0.0033746-0.01076i,-0.00012711-0.0035907i,0.0050122-0.0069739i,0.0032865-0.0033679i,0.0045314-0.015874i,-0.067172+0.0024916i,-0.029144-0.0083669i,-0.0085478-0.0094505i,-0.004126-0.00048559i,-0.0094904+0.026266i,-0.0096856+0.0057148i,-0.014184+0.0073968i
-0.032373+0.012914i,-0.045349+0.038593i,-0.006896+0.046232i,-0.0044792+0.017559i,0.0070563-0.001763i,0.022996+0.022251i,-0.0065624+0.028934i,-0.025843+0.04633i,-0.0096614+0.019293i,-0.0064324-0.0032801i,-0.0014775-0.0040715i,0.0013327+0.0045434i,0.003971+0.00015217i,0.0038171+0.0055961i,0.0031349+0.0025647i,0.00052601+0.0084775i,0.0062129+0.017045i,0.00082491+0.00051836i,-0.0019274-0.0058861i,-0.0030063-0.003206i,-0.0033855-0.0016987i,-0.00057864-0.0047478i,-0.002197-0.0033418i,-0.0093339+0.0062055i,-0.003004+0.0023055i,-0.00067265+0.0015179i,-0.001339+0.00091494i,-0.00019991-5.7405e-05i,-0.0025544+0.0015425i,-0.001607-0.0005558i,0.0044789+0.0027954i,0.0014683-0.00069396i,0.00046469-0.00074829i,0.00023771+0.00011334i,0.002305+0.0035157i,-0.012198-0.0074807i,0.00044177+0.003506i,-0.00012295+0.0016522i,-2.1353e-05-0.00084891i,0.0034426-0.0031469i,-0.00056197-0.0020602i,0.0008736-0.002223i,-0.0051794+0.0046874i,-0.001131+0.0030648i,-0.030159-0.014406i,-0.063723-0.038145i,-0.056076+0.014266i,-0.050627+0.0050406i,-0.065424+0.023446i,-0.02574+0.0051068i,-0.013231+0.044298i,-0.014463+0.015459i,-0.037056-0.024019i,-0.053737-0.032804i,-0.020493+0.023353i,-0.0039966+0.00053431i,0.016067+0.0087244i,0.0083485-0.005186i,-0.0060039+0.0043103i,-0.01895+0.022455i,0.0020816+0.0048907i,0.0054418+0.0055677i,0.0010052+0.00032996i,0.013279-0.00093601i,0.0014875+0.0072879i,0.00067126-0.00014131i,-0.0042347-0.0084152i,0.00041+0.0044177i,0.0020711+0.0041872i,-0.0017515+0.01036i,-0.0016896+0.00043661i,0.0058285-0.0038458i,0.0095849+0.0024091i,0.0026672-0.0012463i,-0.021933-0.02218i,0.0050162-0.010106i,0.00098804-0.0069249i,0.00457-0.00075913i,0.00078719+0.00027137i,0.0015202-0.0088812i,0.0035158+0.00091388i,-0.00080289+0.0071587i,0.0040175+0.0018031i,0.003853-0.0041077i,-0.0034929-0.010311i,-0.00083323-0.0041141i,0.0012297-0.0066819i,0.002255-0.0045711i,-0.0032158-0.015439i,-0.064334+0.0094713i,-0.029058+0.0067529i,-0.01237-0.0093704i,-0.0066214-0.0010347i,-0.0054523+0.026071i,-0.0088759+0.010548i,-0.009339+0.0097747i
-0.030738+0.016479i,-0.039347+0.046049i,-0.00088036+0.048112i,-0.0018939+0.015294i,0.0025038-0.0047515i,0.026623+0.017338i,-0.0015358+0.027717i,-0.019761+0.04847i,-0.0070506+0.019753i,-0.0072733-0.0014175i,-0.0029003-0.0014646i,0.0038961+0.0045365i,0.0035316-5.3776e-05i,0.0052032+0.0032718i,0.0033971+0.0017683i,0.0038145+0.008242i,0.012747+0.01249i,0.00089223+0.0003427i,-0.0030587-0.0050346i,-0.004111-0.0013578i,-0.0029859-0.00064208i,-0.0019528-0.0049288i,-0.0027723-0.0024008i,-0.0082916+0.0083996i,-0.0024138+0.0032107i,-0.00071684+0.0021969i,-0.001215+0.0015364i,-0.0011984-0.00083691i,-0.0019818+0.0018133i,-0.0016913-0.00029328i,0.0051605+0.0010622i,0.0013918-0.00089478i,0.00066986-0.00085513i,0.0002235+0.00015062i,0.0035989+0.0017355i,-0.015133-0.0040169i,0.0014402+0.00331i,0.00062518+0.0012628i,-0.00062358-0.00063204i,0.0024446-0.0032346i,-0.0011019-0.0017059i,0.000203-0.0023712i,-0.0036625+0.005088i,4.6041e-05+0.0040545i,-0.031831-0.0096156i,-0.063715-0.032147i,-0.054636+0.019272i,-0.046272+0.01575i,-0.05518+0.037156i,-0.02683+0.0086087i,-0.0051675+0.039783i,-0.011671+0.010258i,-0.038787-0.020637i,-0.057542-0.024179i,-0.014331+0.025406i,-0.0035372+0.0011575i,0.0098623-0.001717i,0.0050146-0.0091475i,-0.0045916+0.007616i,-0.009456+0.026081i,0.0023767+0.0037125i,0.0071885+0.00055666i,0.0025869+0.0013199i,0.01147-0.005346i,0.0059277+0.0066875i,0.0010056+0.0020863i,-0.0084414-0.0026251i,0.0024094+0.0069978i,0.0035372+0.0053427i,0.0038343+0.010165i,-0.00076667+0.00051733i,0.0045409-0.005006i,0.0098652-0.0039362i,0.00045037-0.0019085i,-0.030152-0.013683i,0.001407-0.0098637i,-0.0016612-0.0052484i,0.0051131-0.00012799i,0.0013273+9.9664e-05i,0.0014598-0.0098305i,0.0031758-0.00091544i,0.0021692+0.0052271i,0.0039174+0.00075039i,0.0032424-0.0035252i,-0.0069511-0.0059909i,-0.0030268-0.0042485i,-0.0019857-0.0058749i,-0.00019197-0.0056292i,-0.0082448-0.010891i,-0.059662+0.016653i,-0.02276+0.0092166i,-0.013011-0.007372i,-0.0083443-0.00021866i,-0.00031818+0.023853i,-0.007341+0.01185i,-0.0070119+0.0088629i
-0.028217+0.019811i,-0.031386+0.052441i,0.0068312+0.049066i,-0.00052396+0.014181i,-0.0024158-0.0045429i,0.029033+0.011898i,0.0028988+0.025756i,-0.013095+0.050709i,-0.0042192+0.020131i,-0.0075043+0.00076698i,-0.0018854+0.000848i,0.0064144+0.0024144i,0.0033983-0.00015158i,0.00497+0.0016141i,0.0038274+0.0013561i,0.006597+0.0063934i,0.015778+0.0066324i,0.0010331-0.00047249i,-0.0041097-0.0042506i,-0.003928+0.00082874i,-0.0025453+1.7833e-05i,-0.0032546-0.0038474i,-0.003033-0.0016155i,-0.0048177+0.010059i,-0.0017738+0.0042363i,0.00045355+0.0026607i,-0.00076088+0.0021556i,-0.0025492-0.0001321i,-0.0013686+0.0022331i,-0.001629+0.00019443i,0.0048381-0.00083507i,0.0014488-0.0018744i,0.00022707-0.0012783i,0.00025584+0.00016847i,0.0032859-0.00019071i,-0.016326+0.0014687i,0.0022557+0.0027898i,0.00091611+0.00087791i,-0.0015999-0.00023697i,0.0022518-0.0031498i,-0.0011469-0.0013391i,-0.00032947-0.0023959i,-0.002829+0.0052132i,0.0011132+0.0045923i,-0.033044-0.0054853i,-0.068831-0.026511i,-0.052677+0.024754i,-0.041217+0.023404i,-0.041379+0.045056i,-0.027334+0.012416i,0.0025868+0.03408i,-0.010707+0.0079111i,-0.040657-0.016583i,-0.059091-0.014242i,-0.0083332+0.026161i,-0.0034184+0.0018081i,0.0033194-0.0018489i,-7.6261e-05-0.010956i,-0.001245+0.011005i,-0.00071247+0.024634i,0.001586+0.0026097i,0.0055851-0.0041706i,0.0025513+0.00076984i,0.0080908-0.0095299i,0.0092517+0.0034793i,0.0028974+0.0029521i,-0.0075565+0.0014402i,0.0056755+0.0082325i,0.0061003+0.005976i,0.0088904+0.0071183i,-9.8545e-05+0.0011095i,0.0038606-0.005849i,0.0064739-0.0086563i,-6.7376e-05-6.4762e-07i,-0.034478-0.0018018i,-0.0010964-0.0091172i,-0.002749-0.0030984i,0.00606-0.0012842i,0.001356-0.00030102i,-0.00046637-0.011838i,0.0019413-0.0018557i,0.004421+0.0043106i,0.0044705-0.00048894i,0.0041969-0.0039369i,-0.0084946-0.0029048i,-0.0053023-0.0016576i,-0.0048897-0.0037773i,-0.0022555-0.0061224i,-0.010352-0.0063925i,-0.054881+0.022278i,-0.020995+0.010046i,-0.013025-0.0075068i,-0.0090264+0.0015125i,0.00098163+0.022181i,-0.0070296+0.012413i,-0.0049734+0.008351i
-0.025068+0.023176i,-0.021299+0.056837i,0.015677+0.048038i,0.0007362+0.013355i,-0.0051204-0.001192i,0.030632+0.0063725i,0.0065352+0.022635i,-0.0050955+0.052156i,-0.0011819+0.019941i,-0.0070746+0.0030218i,-0.00053805+0.0012111i,0.0066201-0.001098i,0.0036511-0.00046675i,0.0050272+0.00024408i,0.0043372+0.00055135i,0.0076545+0.003812i,0.015702+0.00094978i,-0.00018243-0.0012368i,-0.0057159-0.0027159i,-0.0025572+0.0021823i,-0.0018691+0.00019324i,-0.0038167-0.0028772i,-0.0032461-0.00071383i,-0.00083451+0.0099668i,-5.0244e-05+0.0048064i,0.0014634+0.0020699i,8.9521e-05+0.002327i,-0.0028837+0.0012622i,-0.00049442+0.002165i,-0.0012039+0.00065465i,0.0039327-0.0023941i,0.00043157-0.0024257i,-0.00035243-0.0012096i,0.00024192+1.6987e-05i,0.0023273-0.0013105i,-0.014917+0.0067668i,0.0026725+0.0019179i,0.0011335+0.00040135i,-0.0019624+0.00087329i,0.0019382-0.0034205i,-0.0014382-0.0011893i,-0.00088154-0.0024508i,-0.0021196+0.0055962i,0.002371+0.0047156i,-0.034702-3.4892e-05i,-0.076437-0.014813i,-0.048314+0.030055i,-0.033283+0.029833i,-0.028224+0.049005i,-0.026097+0.019366i,0.0088897+0.02634i,-0.0065899+0.0056762i,-0.041735-0.010433i,-0.057896-0.0036248i,-0.0033136+0.025941i,-0.0035981+0.0019448i,8.9009e-05-0.0011206i,-0.0059503-0.010411i,0.004849+0.010928i,0.0046197+0.021441i,-0.0004214+0.0022252i,0.0033098-0.0074904i,0.0036918+0.0023721i,0.0024517-0.010959i,0.010511-0.0020329i,0.0048891+0.0023716i,-0.0066594+0.0049843i,0.01059+0.0075698i,0.010342+0.0038642i,0.010934+0.0015313i,0.0011453+0.0014136i,0.0023608-0.0070516i,-0.00022973-0.010267i,0.0012821+0.0012853i,-0.033996+0.011431i,-0.0030882-0.0082412i,-0.0024435-0.00080957i,0.0064802-0.0052681i,0.0018255+0.0002503i,-0.0052663-0.012463i,0.00067709-0.0016175i,0.0060626+0.001596i,0.0040988-0.0016437i,0.0032247-0.0055802i,-0.0083852+0.0019769i,-0.0051948+0.0017973i,-0.006193-0.00056844i,-0.0049551-0.0062548i,-0.010526-0.0026058i,-0.050761+0.027762i,-0.021248+0.014931i,-0.014489-0.009992i,-0.0066142+0.0036177i,0.0035704+0.022393i,-0.007048+0.015164i,-0.0023939+0.0059038i
-0.021126+0.025755i,-0.010994+0.058326i,0.024491+0.044289i,0.002034+0.012806i,-0.0048927+0.0024755i,0.031752+0.00060918i,0.0088525+0.019201i,0.0033635+0.051511i,0.0017849+0.019573i,-0.0061997+0.0052548i,-0.00012274+0.0011007i,0.0048215-0.0033847i,0.0035949-0.0014232i,0.0042404-0.00090286i,0.0042401-0.00049552i,0.0072275+0.0016668i,0.013855-0.0033409i,-0.00085456-0.00082949i,-0.0058816-0.00056552i,-0.0010456+0.0025459i,-0.0012378+4.1211e-05i,-0.0041251-0.0021452i,-0.0029253+0.00017629i,0.0019889+0.0091637i,0.001895+0.0043205i,0.0018703+0.0014973i,0.00092948+0.0020399i,-0.0021506+0.0026322i,0.00017356+0.0017126i,-0.00095726+0.0008797i,0.0024612-0.0032392i,-0.00065231-0.0022432i,-0.00075395-0.00089948i,0.00011712-2.2755e-05i,0.0011069-0.0021175i,-0.011761+0.010937i,0.0028824+0.00077709i,0.0010717-8.6596e-05i,-0.0013697+0.0020431i,0.0011991-0.0040425i,-0.0016505-0.00079121i,-0.0015703-0.0026619i,-0.0011439+0.0062718i,0.0038099+0.004224i,-0.034076+0.0059732i,-0.078152+0.001652i,-0.045516+0.033544i,-0.025526+0.032354i,-0.01486+0.050226i,-0.020384+0.026801i,0.011135+0.0174i,-0.0045469-0.0011066i,-0.038833-0.0046674i,-0.052982+0.0072695i,0.0028422+0.025308i,-0.0041558+0.0031312i,-0.0027166+0.00073362i,-0.01021-0.0070032i,0.0088694+0.0068951i,0.0087505+0.018819i,-0.0032942+0.0037576i,-0.00039116-0.010628i,0.0066239+0.00031776i,-0.0028268-0.0093042i,0.0075486-0.0062081i,0.0064465+0.00012219i,-0.0047895+0.0072415i,0.014564+0.0018819i,0.011669-0.0020529i,0.0098805-0.0038491i,0.0029535+0.00068207i,-0.00025265-0.0076912i,-0.0045265-0.0063863i,0.0029092+0.00031827i,-0.027214+0.02615i,-0.0050294-0.006824i,-0.0010941+0.0006945i,0.0027936-0.0076427i,0.0027236+1.4124e-05i,-0.010462-0.0098475i,0.00062034-0.00064065i,0.0059216-0.0016579i,0.003067-0.0026287i,0.0013415-0.0059537i,-0.005495+0.0056342i,-0.0030552+0.0039823i,-0.0056177+0.0031622i,-0.0084108-0.0049316i,-0.0098897+0.00018768i,-0.04462+0.034883i,-0.01372+0.020901i,-0.019856-0.010191i,-0.0033178+0.0027251i,0.0060482+0.021441i,-0.004338+0.018943i,-0.0023705+0.0019123i
