-0.030334-0.042223i,-0.021968-0.02113i,-0.013856-0.036967i,-0.030196-0.021305i,-0.023006-0.00097978i,-0.014347-0.0059588i,-0.05611-0.05921i,-0.049113-0.018052i,-0.037838-0.01226i,0.011867+0.011899i,-0.0082336+0.0053442i,-0.019635+0.019325i,0.0023658+0.011952i,-0.005732-0.0022469i,0.00030865+0.0013079i,-0.0017895+0.031401i,0.024848+0.025752i,0.0026751-0.0025098i,-0.0026197-0.0069662i,0.0081058+0.0031957i,0.0026535+0.0010174i,-0.00069347+0.0042189i,-0.00034799+0.00020292i,-0.034794-0.011477i,-0.00068094-0.0083983i,0.0013559+0.0022971i,0.0067201+0.0012945i,0.0021633+0.00062961i,0.0012302-0.00042178i,-0.0005058-0.0028368i,0.0015081-0.0025432i,-0.0024749-0.0061875i,-0.001089-0.0048792i,0.0031104-0.00071468i,0.0048367-0.0031972i,0.0024557+0.031391i,0.0044068-0.0036969i,0.0029527-0.0017408i,0.0084984-0.0012843i,-0.0062403-0.0026171i,-0.00036287+0.00079403i,0.0088123+0.0006906i,0.0049909-0.0026916i,-0.0022478+0.0090044i,-0.017623-0.0091026i,-0.017728+0.015272i,-0.0033438-0.063773i,-0.0050341-0.027346i,-0.025967-0.033183i,-0.01143-0.026663i,0.053913-0.022051i,0.01674-0.043916i,0.023031-0.049123i,0.0043812-0.055406i,0.02633-0.020784i,0.0085552+0.0060577i,0.025018-0.033228i,-0.0080968-0.0059577i,0.0030477-0.0046405i,-0.0048458-0.0069818i,-0.0021685-0.032873i,-0.018223+0.029233i,0.0089296-0.012007i,-0.0095565-0.0039558i,-0.004168-0.001545i,0.00091915-0.01273i,-0.010886+0.0048575i,0.002641+0.010073i,-0.003914+0.026024i,0.0049658+0.0025086i,-0.0055315-0.0014817i,-0.0019548-0.0022532i,-0.012545-0.0070665i,-0.00069139-0.0043808i,-0.034099+0.010817i,0.0011914-0.010678i,-0.008494+0.00046643i,-0.0067886-0.0019765i,0.0051082+0.0015361i,-0.0081857-0.00016879i,0.0021596+0.00017386i,0.0045917+0.0071704i,0.0040384+0.00060509i,-0.0090381-0.011889i,0.0031267+0.0099137i,-0.014329+0.0050842i,0.0073111-0.00042458i,-0.022069+0.00014862i,-0.017516+0.0069874i,-0.0065535-0.06647i,0.0071749-0.012596i,-0.049922-0.023016i,-0.021083+0.00062805i,0.017233+0.011573i,-0.023406+0.014563i,-0.019379-0.0055983i
-0.042363+0.031545i,-0.017777+0.020291i,-0.021827+0.042829i,-0.027402+0.013798i,-0.0048797+0.022379i,-0.00099964+0.0083457i,-0.03212+0.019138i,-0.0035365+0.030158i,0.0067574+0.018735i,-0.0067622-0.0058883i,0.0026901+0.0036569i,0.0077474-0.00054218i,0.0062015-7.7639e-05i,-0.00064712+0.0030279i,0.00048516+0.0020179i,0.0066949-0.0054437i,-0.006316-0.0007044i,-0.0032531+0.0002171i,0.0044025-0.0011396i,-7.0923e-05-0.00096808i,0.0027958-0.0051774i,0.0015025-0.0029534i,0.0013501-0.0025851i,-0.0095075-0.011318i,-0.0015761+0.0027456i,-0.0016031+0.00032839i,-0.0045939-0.0014035i,-0.0030268-4.0689e-05i,-0.0015091-0.0023634i,-7.1617e-05-0.0004827i,0.00059772+0.0041501i,0.00074038+0.0010201i,0.0014459+0.00095124i,-0.0004547+0.00062947i,-0.0026723+0.0030504i,-0.0018542-0.0068559i,-0.0029208+0.00144i,0.00079651-0.00045096i,-0.0013809+0.0030174i,0.0040701+0.0032344i,-0.00032596-0.0015969i,-0.00040072-0.0029452i,-0.0036224-0.00029446i,0.0041086+0.00056629i,-0.018522+0.025139i,0.0040239-0.037087i,-0.054348+0.0053463i,0.0070627-0.031637i,-0.032213-0.048632i,-0.029892-0.019522i,-0.063886+0.021622i,-0.038303+0.00041493i,-0.034349-0.0072238i,-0.027696-0.02149i,-0.037265-0.022189i,-0.0052706+0.0029507i,-0.027803+0.0098804i,0.006564+0.018684i,0.0025174+0.0080926i,-0.003019-0.0047968i,0.0018378+0.0012894i,-0.01207-0.0047401i,0.0055495+0.010865i,-0.0013912+0.0058645i,-0.0017897-0.0017248i,0.0011543+0.0022145i,0.0037815-0.00098894i,-0.003539+0.018016i,0.0023644+0.015732i,0.0036522-0.00021562i,0.0090969-0.0067996i,0.0043556+0.0030905i,-0.0083805-0.0072977i,-0.00097977-0.0028721i,0.024149-0.04048i,0.0080089+0.010078i,0.0051153+0.002206i,-0.0025109+0.0026508i,0.0037595-0.0057768i,0.021413+0.006925i,0.0033354+0.0029622i,-3.9814e-07-0.0068071i,0.0012567-0.0031114i,0.018007+0.010156i,0.0047483+0.0015375i,0.0028656-0.004989i,0.0047377+0.0087503i,-0.00044899+0.0010401i,0.009321+0.0022305i,-0.045586-0.011051i,-0.0044981+0.010765i,-0.0021504-0.0041245i,-0.0065185+0.0055957i,-0.035728+0.012499i,-0.0058629+0.007356i,-0.010127+0.014742i
-0.036937+0.037097i,-0.014171+0.020159i,-0.011144+0.038499i,-0.024859+0.016901i,-0.0017564+0.020385i,0.00040152+0.0083097i,-0.030236+0.024509i,0.0022403+0.029177i,0.0092352+0.013681i,-0.0075578-0.0028603i,0.0040686+0.0040819i,0.0066886-0.0030929i,0.0053994-0.0022718i,0.0013518+0.0036774i,0.00081693+0.0020959i,0.0021068-0.0045953i,-0.0073576+0.0029355i,-0.0025862+0.0011564i,0.0047701-0.0022696i,0.00014709-0.00096327i,0.0013297-0.0053184i,0.0011988-0.0026056i,0.00069422-0.0026456i,-0.011749-0.0075332i,-1.6149e-05+0.0026032i,-0.0015839+0.00071574i,-0.0040134+0.00067341i,-0.002277+0.00076451i,-0.0028199-0.00054934i,0.00016754-0.00040777i,0.0014818+0.002467i,0.00047549+0.0011473i,0.001407-0.00012055i,-0.00066874+0.00077476i,-0.0023595+0.0034721i,-0.0019128-0.005587i,-0.0024033+0.0020981i,-0.00014859-0.00096659i,-0.00047107+0.0033646i,0.0038989+0.00086141i,-0.00062445-0.0013715i,-0.0019032-0.0028664i,-0.0037696+0.0008007i,0.0043836-0.00047213i,-0.014267+0.024855i,-0.0093907-0.041796i,-0.047843+0.015851i,-0.0023632-0.039311i,-0.046622-0.042313i,-0.030259-0.012897i,-0.051945+0.033828i,-0.036499+0.0088809i,-0.025357-0.010183i,-0.029952-0.017546i,-0.042899-0.0075184i,-0.0045064+0.0027057i,-0.023348+0.021747i,0.011879+0.012587i,0.0051472+0.0047912i,-0.0089226-0.0083648i,-0.0015355+0.0035502i,-0.012067+0.0036631i,0.0094455+0.0077662i,0.0004826+0.008004i,-0.002031+1.1977e-05i,0.0020978+0.0036291i,0.003878-0.0012876i,0.0050125+0.014682i,0.0088286+0.0091484i,-0.00051841-0.002867i,0.0031718-0.0079741i,0.0049074+0.0024758i,-0.010175+0.0012158i,-0.0025618-0.00080325i,0.006051-0.042354i,0.012001+0.007603i,0.006578-0.00037886i,0.00066567+0.0025672i,-0.00024905-0.0035239i,0.02172-0.0028974i,0.0034403+0.0012625i,-0.0037782-0.0052992i,-0.0026604-0.001811i,0.014823+0.0060831i,0.0048099+0.0017924i,0.0010519-0.0036578i,0.0072585+0.0070491i,-4.4148e-05+0.0019504i,0.0092911-0.0011631i,-0.048348-0.0065436i,0.00041834-0.0024402i,-0.001381-0.0039369i,-0.004623+0.005249i,-0.029398+0.023203i,-0.0033894+0.0084348i,-0.0031852+0.0096577i
-0.030493+0.041984i,-0.011595+0.020122i,-0.0062036+0.032645i,-0.021961+0.020039i,0.0017048+0.019418i,0.0022039+0.0077894i,-0.025897+0.030197i,0.0075493+0.026721i,0.0089882+0.0097944i,-0.0075614+1.9008e-06i,0.00608+0.0035076i,0.0025709-0.0040253i,0.0037968-0.0033461i,0.0023001+0.0032553i,0.0013965+0.0020269i,-0.0014156-0.0015638i,-0.0060278+0.006942i,-0.0013066+0.001661i,0.0043056-0.0044648i,0.00042631-0.0015655i,-0.00037445-0.0051392i,0.0012611-0.0029955i,0.00019612-0.0026433i,-0.013748-0.0042094i,0.00081887+0.0022647i,-0.0010405+0.0014899i,-0.0028677+0.00094845i,-0.00096854+0.0012521i,-0.0022162-0.00060795i,-1.0125e-05-0.00082919i,0.0015106+0.0021843i,0.0007026+0.0012967i,0.00098281-0.00029611i,-0.00045608+0.00081194i,-0.00065408+0.004318i,-0.0010503-0.0054843i,-0.0020368+0.0023753i,-0.00097478-0.00074635i,0.001651+0.0021254i,0.0029134-0.00038039i,-0.00079737-0.0012141i,-0.0015133-0.0011841i,-0.0035219+0.0018161i,0.0039297-0.0024069i,-0.011101+0.02496i,-0.025224-0.039031i,-0.037674+0.021853i,-0.014316-0.041225i,-0.05451-0.032412i,-0.02697-0.0074803i,-0.035896+0.040206i,-0.025121+0.01563i,-0.027728-0.013113i,-0.030883-0.013519i,-0.039891+0.0061797i,-0.0037904+0.0029241i,-0.011756+0.028974i,0.013607+0.0064544i,0.0034135-0.00039356i,-0.017772-0.0055472i,-0.00045055+0.0051841i,-0.0065554+0.0068154i,0.01139+0.0025411i,0.0037296+0.0078917i,-0.0036311+0.0018309i,0.0026417+0.0016853i,0.0038254-0.0027537i,0.0077573+0.0080405i,0.008672+0.0035385i,-0.0047557+0.00037838i,6.8525e-05-0.0062384i,0.006506+0.0014931i,-0.0027628+0.01001i,-0.00067754+0.0010388i,-0.0088671-0.031927i,0.015768+0.0013992i,0.0056459-0.0027892i,0.00073219+0.0014375i,2.6728e-06-0.0014402i,0.016693-0.010249i,0.0019518+0.0027644i,-0.0057919-0.0023634i,-0.003249+0.0020829i,0.0095205-0.00054692i,0.0084967-0.00044919i,0.0007782-0.0035136i,0.010438+0.002757i,0.0030917+0.0014709i,0.0079528-0.0038768i,-0.051048+0.002995i,-0.0085027-0.01189i,0.00038276-0.0069775i,-0.0037596+0.0040013i,-0.020549+0.026471i,-0.003597+0.0036631i,-0.001501+0.0091184i
-0.022702+0.045148i,-0.0087645+0.021088i,-0.0045492+0.027813i,-0.01794+0.023011i,0.0049521+0.016493i,0.0039518+0.0061667i,-0.019069+0.034731i,0.011856+0.022757i,0.0086627+0.0082528i,-0.0065751+0.0027008i,0.0071439+0.0015957i,0.00037193-0.0014039i,0.0021892-0.0036473i,0.0021603+0.0032634i,0.0019519+0.0017026i,-0.0017683+0.0026059i,-0.0019664+0.0096931i,-0.00045828+0.0013324i,0.0024437-0.0054682i,-0.00026687-0.0020835i,-0.0016641-0.0043418i,0.00090156-0.0032872i,-0.00037277-0.0028509i,-0.014377+0.00084209i,0.0014006+0.0012547i,0.00010163+0.00096109i,-0.0027097+0.00068647i,0.00020392+0.00058641i,-0.0023238+0.0002759i,-0.00040472-0.00056082i,0.0020989+0.0015903i,0.0013445+0.0010205i,0.00050331-0.00063451i,-0.00024965+0.00083912i,0.0013028+0.0034177i,-0.0018422-0.0072793i,-0.0010042+0.0031983i,-0.0012333+8.9999e-05i,0.0014453-0.00018613i,0.0024461-0.00072189i,-0.0009821-0.0010409i,-0.00068913-0.0011293i,-0.0026706+0.0030617i,0.001454-0.0045568i,-0.0080108+0.025904i,-0.037435-0.026363i,-0.028569+0.02205i,-0.025808-0.037889i,-0.062248-0.021881i,-0.022268-0.005675i,-0.021615+0.039356i,-0.014622+0.01206i,-0.028537-0.0099174i,-0.030781-0.0085544i,-0.0354+0.014873i,-0.0034039+0.0032819i,0.00048844+0.028563i,0.013583+0.0019527i,-0.0013979-0.001142i,-0.022782+0.0053629i,0.00012552+0.0066651i,-0.0027413+0.0058887i,0.0091363-0.0034421i,0.0066572+0.0063187i,-0.0026957+0.0045977i,0.00058091+0.0019385i,0.003022-0.0052379i,0.0060748+0.0019283i,0.0059865+0.00028668i,-0.0033089+0.0034968i,-0.0015538-0.0045107i,0.0066779-0.00067309i,0.0090139+0.0063264i,0.00013627+0.00045854i,-0.012696-0.024914i,0.013694-0.0046958i,0.0042831-0.004505i,0.00173+0.0029025i,0.00021125-0.0015264i,0.010685-0.012665i,0.0050787+0.0035579i,-0.006076+0.0010014i,-0.00092363+0.0042423i,0.0068499-0.0017935i,0.0083347-0.0057431i,-0.00071807-0.0028874i,0.0091115-0.003424i,0.0029218-0.0015791i,0.0065909-0.0068863i,-0.046736+0.014632i,-0.018872-0.010568i,-0.0031111-0.011601i,-0.0026758+0.0020619i,-0.013215+0.027765i,-0.0072167+0.0035434i,-0.0023264+0.0082969i
-0.01578+0.046673i,-0.0059885+0.02111i,-0.0052229+0.025654i,-0.01324+0.024685i,0.0066389+0.013246i,0.0043073+0.0042761i,-0.010939+0.036616i,0.014587+0.018553i,0.009643+0.0070548i,-0.0043615+0.0043997i,0.0068112-0.0024877i,0.00089189+0.00073707i,0.0010962-0.0035846i,0.0034671+0.0037283i,0.0022071+0.0012849i,0.00027686+0.0053754i,0.0025158+0.0099172i,-0.00019595+0.00094927i,0.0010475-0.0057717i,-0.0011016-0.0020646i,-0.0027444-0.0034072i,0.00018456-0.0034622i,-0.0012947-0.0027479i,-0.010839+0.0049956i,0.0017541-0.0052913i,-0.00011668-5.6941e-06i,-0.0014484+0.00047417i,0.00026435-0.00064891i,-0.0017214+0.0021621i,-0.0001632-0.00024376i,0.0025056+0.00039027i,0.0021834-0.00013565i,-0.00013341-0.00065261i,-0.00024438+0.00080365i,0.0016838+0.0023917i,-0.0043631-0.008326i,4.8786e-06+0.0031096i,0.0001094+0.0027396i,0.00015504-0.00047479i,0.0018735-0.00065912i,-0.0010142-0.00064208i,-0.00080265-0.0018256i,-0.0010359+0.0034622i,-0.0011096-0.003434i,-0.00357+0.02712i,-0.037424-0.011102i,-0.022683+0.02037i,-0.035173-0.030426i,-0.067351-0.0064235i,-0.019509-0.008084i,-0.010046+0.035153i,-0.0098587+0.0070002i,-0.028074-0.0083857i,-0.029345-0.0052606i,-0.03058+0.02263i,-0.0026783+0.0034083i,0.012259+0.023616i,0.012405-0.0029462i,-0.0047069+0.001498i,-0.02021+0.015222i,0.0021249+0.0077832i,-0.00045626+0.0060719i,0.0031095-0.0044242i,0.0081666+0.0043329i,-0.0010665+0.0064599i,0.00050457+0.0039606i,0.0017636-0.0071075i,0.0019028+0.0020847i,0.0033088+0.00071919i,-0.0020615+0.0049424i,-0.00248-0.002405i,0.0057424-0.0029982i,0.011536-0.0014139i,0.00039495+0.0001374i,-0.016381-0.022543i,0.0098339-0.0085243i,0.0021504-0.0052857i,0.0045071+0.0023871i,-0.00031158-0.00070971i,0.0067327-0.013142i,0.007597+0.00083642i,-0.003901+0.0038138i,0.001946+0.0039279i,0.0069504-0.0025768i,0.0037249-0.01074i,-0.00071036-0.0021072i,0.0046119-0.0068008i,0.00088622-0.0024902i,0.0028211-0.0096945i,-0.038518+0.019585i,-0.026923-0.0030029i,-0.0064521-0.012651i,-0.0031408-0.00038316i,-0.007506+0.026516i,-0.010047+0.0064776i,-0.001139+0.0090073i
-0.0091082+0.048046i,-0.0036369+0.021368i,-0.0053324+0.026726i,-0.0083939+0.024784i,0.0068257+0.010208i,0.0044706+0.0031349i,-0.0025621+0.035756i,0.016256+0.014282i,0.010893+0.004679i,-0.002511+0.0043919i,0.0042416-0.0029228i,0.0020962+0.0017507i,-3.9304e-06-0.0034049i,0.0050718+0.0025012i,0.0022203+0.00078421i,0.0032581+0.0062739i,0.0065774+0.0081498i,-2.2601e-05+0.000881i,-0.00095751-0.0057687i,-0.0018451-0.0015558i,-0.0029488-0.0021384i,-0.00050912-0.0035868i,-0.0019927-0.0021386i,-0.0078754+0.0051681i,-0.00083309-0.00083836i,-0.0008604-0.00016937i,-0.001206+0.00090335i,-0.00041121-0.001578i,-0.00027203+0.00099572i,-0.00010386-0.00053477i,0.0022521-0.00085082i,0.0018543-0.0016088i,-0.00045835-0.00035157i,-0.00011404+0.00072907i,0.001842+0.0018044i,-0.0068714-0.0078099i,0.00069715+0.0025702i,-0.0032528+0.0010384i,-0.00050427+0.00095969i,0.0015956-0.00020396i,-0.00081649-0.00021987i,-0.0018506-0.0012327i,0.00024507+0.0029777i,-0.0021533-0.0014698i,0.0012253+0.027604i,-0.03126-0.0030758i,-0.019069+0.018868i,-0.040285-0.019403i,-0.063751+0.012544i,-0.023196-0.011097i,-0.0023844+0.028241i,-0.0071145+0.0026126i,-0.027513-0.0055771i,-0.029281-0.0022428i,-0.022718+0.030256i,-0.0029091+0.0035846i,0.018521+0.010289i,0.010128-0.0074631i,-0.0055903+0.0055577i,-0.012423+0.022707i,0.0046177+0.0065087i,0.0031703+0.0052073i,0.00045399-0.0014463i,0.0099856+0.00084034i,0.0016+0.0075467i,0.0019275+0.0050065i,-0.0038331-0.0090466i,0.0010832+0.0050221i,0.0033449+0.0021999i,0.0013631+0.00786i,-0.0016582-0.00067039i,0.0042133-0.0037013i,0.0093545+0.00012459i,0.0010015-0.00075164i,-0.024769-0.020126i,0.0057452-0.010185i,0.00021221-0.0055922i,0.0036242-0.0013369i,-0.00019099+0.00065973i,0.0043347-0.012371i,0.0071362-0.0025951i,-0.0012178+0.0049451i,0.0034699+0.0017758i,0.005775-0.0049248i,-0.0036766-0.0096864i,-0.00099974-0.002454i,0.00029255-0.0077434i,0.00030766-0.0031047i,-0.0018445-0.0092092i,-0.033327+0.022131i,-0.024973+0.010451i,-0.010798-0.012915i,-0.0049455-0.0010626i,-0.0036644+0.02606i,-0.0088301+0.011196i,0.0024104+0.0076834i
-0.0017106+0.048655i,-0.00083939+0.021916i,-0.0034069+0.028814i,-0.0047362+0.023703i,0.0060994+0.008531i,0.0046243+0.0019368i,0.0044769+0.032673i,0.016959+0.010491i,0.011487+0.0024062i,-0.0015429+0.0043718i,0.0029861-0.0021466i,0.0042689+0.0019682i,-0.0010192-0.0028652i,0.005477-0.00011798i,0.0020515+0.00038282i,0.0057696+0.0054978i,0.0089027+0.0049015i,0.00022249+0.00095205i,-0.0024682-0.0050843i,-0.002152-0.000695i,-0.0026735-0.0009649i,-0.001509-0.0034709i,-0.0023396-0.001442i,-0.0076422+0.0055223i,-0.0012209-0.00033829i,-0.0012823+0.00052526i,-0.0010166+0.0012469i,-0.0017553-0.0016459i,-0.00050689+0.00068644i,-0.00042129-0.00074677i,0.0017899-0.0013703i,-0.00040966-0.0026666i,-0.0001033-0.00018901i,6.6602e-05+0.0007115i,0.0021261+0.00072892i,-0.0097766-0.0065043i,0.0014193+0.0022338i,-0.0019756+0.0015911i,-0.00050196+0.0016985i,0.0017847+0.00019866i,-0.00061666+4.8465e-05i,-0.0014424-0.00019781i,0.00079616+0.0022188i,-0.0020642-0.00033878i,0.0068802+0.026178i,-0.027294-0.0015695i,-0.016228+0.018301i,-0.039786-0.0094421i,-0.05384+0.027222i,-0.026871-0.0083723i,0.0017898+0.02216i,-0.0070682-0.0016694i,-0.025698-0.0036847i,-0.027847+0.0020317i,-0.013684+0.033517i,-0.0018403+0.0036882i,0.012938-0.0017368i,0.0056208-0.011157i,-0.0038789+0.0087962i,-0.0036417+0.023773i,0.0054846+0.0038625i,0.004633+0.0019752i,0.0014615+4.5004e-05i,0.0091377-0.0023455i,0.0063855+0.0066016i,0.003787+0.0061116i,-0.008274-0.0034022i,0.0034544+0.0066039i,0.0048028+0.0026444i,0.0060249+0.0064111i,-0.001279-0.00014666i,0.0031477-0.0044113i,0.0096577-0.0057634i,-0.00084456-0.001122i,-0.032909-0.010699i,0.0018984-0.010344i,-0.0020419-0.004302i,0.004298-0.0012992i,0.00062778+0.00088453i,0.0029127-0.014557i,0.0053122-0.0050509i,0.0013603+0.0041536i,0.003387+0.00079256i,0.0043088-0.0056764i,-0.0068941-0.0055432i,-0.0023421-0.0023146i,-0.0019962-0.0028387i,-0.0018477-0.0033859i,-0.0046027-0.006913i,-0.027207+0.024444i,-0.018248+0.011596i,-0.011516-0.01196i,-0.0060548-0.00051142i,0.0011883+0.023903i,-0.0071037+0.012794i,0.0026655+0.0051097i
0.0056477+0.047947i,0.0026825+0.022327i,0.00067231+0.031219i,-0.0018837+0.02312i,0.0053845+0.0080447i,0.0043251+0.00099363i,0.01018+0.028527i,0.017235+0.0073651i,0.011786-0.000254i,-0.00060195+0.00479i,0.0029519-0.0015323i,0.0061747-0.00015227i,-0.0018099-0.0019534i,0.0038049-0.0014146i,0.0020132+0.00023712i,0.0078167+0.0033507i,0.009367+0.0019688i,0.00067008+0.00064321i,-0.0037123-0.0041088i,-0.0019463+0.00025416i,-0.0019611-0.00030078i,-0.0022503-0.0025601i,-0.0025396-0.00079008i,-0.0069028+0.0083869i,-0.0015203+0.00034417i,-0.00094336+0.0012433i,-0.00073492+0.0017584i,-0.0029979-0.00078893i,-0.00054359+0.00072317i,-0.00071023-0.00065931i,0.0012202-0.0021378i,-0.00043301-0.0024037i,-0.00026104-0.00034769i,0.00013314+0.00058048i,0.0017242-0.00023602i,-0.012307-0.0034867i,0.0018182+0.0015504i,-0.00094251+0.0025868i,-0.0010364+0.0016944i,0.0011282+0.0046038i,-3.2785e-05+0.00020444i,-0.00075011-3.2088e-05i,0.00091978+0.0015199i,-0.0017078+0.0005526i,0.011266+0.023202i,-0.027364-0.00059097i,-0.014272+0.017567i,-0.038685-0.0010385i,-0.040545+0.035057i,-0.030338-0.0052328i,0.0050261+0.015816i,-0.0080233-0.0034711i,-0.024754-0.0027545i,-0.025363+0.0063625i,-0.0046621+0.03415i,-0.0011442+0.0035531i,0.0058104-0.0034818i,0.00039361-0.012172i,9.9231e-05+0.01188i,0.0038689+0.021166i,0.0049306+0.0015961i,0.0039507-0.0014173i,0.0010373+0.00026077i,0.0072299-0.0056045i,0.0094368+0.0030937i,0.0064031+0.0055362i,-0.0080629+0.00072419i,0.0061397+0.0068705i,0.0064989+0.0022315i,0.010449+0.0037527i,-0.00078321+0.00063499i,0.0027259-0.005229i,0.0059881-0.0092894i,-0.0010351+0.0010273i,-0.035563+0.002409i,-0.0010201-0.0097378i,-0.0029996-0.0022428i,0.0050674-0.0017772i,0.001056+0.00050545i,-0.0015685-0.016791i,0.0029355-0.0063206i,0.0030195+0.0030841i,0.0037577-0.00010125i,0.0038251-0.0067104i,-0.0085662-0.0027065i,-0.0034426-0.00060099i,-0.001668-0.0014213i,-0.0030173-0.0025904i,-0.0058534-0.0047321i,-0.021854+0.024885i,-0.016469+0.01201i,-0.012392-0.012744i,-0.0067762+0.0007568i,0.0030485+0.022796i,-0.0058494+0.013548i,0.0029838+0.0038974i
0.01327+0.046209i,0.0071991+0.021648i,0.006978+0.031843i,0.0012854+0.022705i,0.0060363+0.0085358i,0.0041652+0.00056033i,0.014252+0.023092i,0.017491+0.0043804i,0.011235-0.0031414i,0.00078627+0.0046706i,0.0030862-0.0020513i,0.0056397-0.0031514i,-0.0020792-0.00086898i,0.0031154-0.0017207i,0.0020669-2.8229e-06i,0.0081583+0.00045307i,0.0090212-0.00045816i,0.00033328+0.00015253i,-0.0048826-0.0025864i,-0.0014295+0.00071367i,-0.0011661-0.00038508i,-0.0023477-0.0018187i,-0.0025146-1.4164e-05i,-0.0032306+0.010295i,-0.0013271+0.00098907i,-0.00042552+0.0015056i,7.6591e-05+0.0018654i,-0.0031542+0.00078787i,-0.00044651+0.00056237i,-0.00095935-0.00048407i,0.00010184-0.0024201i,-0.0013713-0.0024934i,-0.00058806-0.00014675i,8.0129e-05+0.00047107i,0.00109-0.00070979i,-0.012888+0.00069834i,0.0018574+0.00085388i,0.00025074+0.0022937i,-0.001048+0.0022829i,-0.00076598-0.0011995i,0.0010824-0.00035857i,-0.00033831-1.9153e-05i,0.0008196+0.0011388i,-0.0012239+0.001064i,0.014108+0.020365i,-0.02937+0.0036353i,-0.012606+0.017094i,-0.033394+0.0070328i,-0.02792+0.039241i,-0.033462+0.001739i,0.006703+0.0091874i,-0.0061168-0.0058597i,-0.023664-0.00029477i,-0.021793+0.010686i,0.0046536+0.033327i,-0.000959+0.0029146i,0.0018254-0.0033579i,-0.0050568-0.011658i,0.0064299+0.011287i,0.0079399+0.015907i,0.0024713+0.00048647i,0.0025496-0.0041754i,0.0020042+0.0026842i,0.003278-0.0073771i,0.010507-0.0022989i,0.0085625+0.0033509i,-0.0074811+0.0045528i,0.010281+0.006073i,0.0086241-0.00037665i,0.011788-0.0017851i,8.6704e-05+0.0011924i,0.0012659-0.0059437i,-0.00018895-0.0094145i,0.00082064+0.0024424i,-0.033631+0.016134i,-0.0032876-0.0088835i,-0.0026671-0.00017766i,0.0057257-0.0057333i,0.0013712+0.00074335i,-0.0082557-0.015857i,0.000239-0.0062584i,0.0041065+0.0014064i,0.0037402-0.00079073i,0.0020609-0.0080395i,-0.0090378+0.0025405i,-0.0031474+0.0015578i,-0.0040228-0.0019826i,-0.0043395-0.0021568i,-0.0060926-0.0026706i,-0.019157+0.025419i,-0.015354+0.016125i,-0.014854-0.014914i,-0.0049603+0.002169i,0.0067739+0.022551i,-0.0051102+0.015453i,0.0041396+0.0011109i
0.020571+0.043003i,0.011298+0.019484i,0.013416+0.029392i,0.0046421+0.021641i,0.0076202+0.0083975i,0.0045319+0.00019841i,0.016164+0.017746i,0.017418+0.0011494i,0.010148-0.005414i,0.0016979+0.0042961i,0.0026147-0.002524i,0.0034954-0.0049368i,-0.0020426-0.00010233i,0.0020965-0.0019612i,0.0020274-0.00028244i,0.0069231-0.0018263i,0.0084781-0.0026661i,0.00011926+0.00013081i,-0.0051099-0.00070221i,-0.00059117+0.0011072i,-0.00049049-0.00074515i,-0.002384-0.0014577i,-0.0020999+0.00062442i,0.00054666+0.010487i,-0.00097138+0.0011972i,8.5782e-05+0.0016358i,0.00072804+0.0013628i,-0.0025236+0.0018318i,-0.000566+0.00035773i,-0.0013332-0.00015679i,-0.00093353-0.0021035i,-0.0027591-0.0013423i,-0.00044666+0.00017192i,0.00014399+0.00046054i,0.00041015-0.00087729i,-0.011649+0.0044917i,0.0017771+0.00016555i,0.00066222+0.0015763i,0.00020019+0.0032887i,-0.00014151-0.0010406i,-0.00063683-0.00030628i,0.0010552-0.0011227i,0.00072306+0.0010286i,-0.00077505+0.0014109i,0.016825+0.018063i,-0.027925+0.011048i,-0.012301+0.016712i,-0.027144+0.010415i,-0.015186+0.040302i,-0.032839+0.010342i,0.0054073+0.0026089i,-0.0066057-0.011558i,-0.020301+0.0016699i,-0.015521+0.014541i,0.014076+0.027644i,-0.0013182+0.0026379i,-0.0020238-0.0018945i,-0.0096614-0.0085605i,0.010529+0.0068185i,0.010483+0.014084i,-0.00065774+0.0016849i,-0.00013238-0.0069446i,0.0054833+0.0014648i,-0.00064679-0.006782i,0.0075592-0.0064132i,0.0095816+8.8154e-05i,-0.0059982+0.0074438i,0.013779+0.00078814i,0.008156-0.0051278i,0.0093426-0.0065747i,0.0013739+0.0011516i,-0.0006231-0.0060971i,-0.0040957-0.0058728i,0.0028603+0.0013483i,-0.023521+0.030964i,-0.0054814-0.0076662i,-0.0013904+0.00098966i,0.0014503-0.0074003i,0.0023471+0.00046419i,-0.013435-0.011505i,-0.0012388-0.0046817i,0.0039661-0.00077126i,0.0032941-0.0015905i,-0.00073913-0.0082092i,-0.0053812+0.0067848i,-0.0017735+0.0030487i,-0.0046844+0.0016509i,-0.0065579-0.00080406i,-0.0059457-0.0016601i,-0.013965+0.028929i,-0.0072223+0.020075i,-0.018463-0.014638i,-0.003041+0.00032305i,0.0099339+0.020809i,-0.0022977+0.017854i,0.0029574-0.0027386i
