-0.026657-0.042843i,-0.021358-0.021019i,-0.011758-0.037778i,-0.029723-0.021884i,-0.024159-0.0018663i,-0.013202-0.0040403i,-0.05266-0.054047i,-0.046947-0.017153i,-0.038346-0.015463i,0.0099155+0.01394i,-0.0090462+0.0062264i,-0.019906+0.019348i,0.0022482+0.012163i,-0.0041743-0.0025459i,0.00097206+0.00085064i,-0.00035747+0.028441i,0.026276+0.026773i,0.0028606-0.001785i,-0.0020907-0.0065135i,0.0081971+0.0026719i,0.002728+0.00092641i,0.00023676+0.0034794i,-0.00038808+2.5167e-05i,-0.035302-0.010122i,0.00045919-0.0078209i,0.001528+0.0023971i,0.0059318+0.0010757i,0.0023489+0.00035352i,0.0013213-0.00066201i,-9.1356e-05-0.0025592i,0.0018288-0.0022795i,-0.002666-0.0055374i,-0.00021622-0.0047242i,0.0032557-0.00072769i,0.0052326-0.0027116i,0.0027124+0.029549i,0.0042411-0.0032953i,0.0032764-0.0015036i,0.0086044-0.00082036i,-0.0049891-0.0022531i,-0.00036+0.0011653i,0.010264+0.0010936i,0.0044619-0.0016394i,-0.003231+0.0094596i,-0.016992-0.0070848i,-0.017531+0.016551i,0.00074086-0.062142i,-0.0039245-0.027138i,-0.025422-0.034161i,-0.010113-0.026867i,0.053577-0.022797i,0.017514-0.043406i,0.025547-0.047697i,0.0098257-0.053435i,0.027782-0.019668i,0.0087143+0.0063719i,0.0273-0.03314i,-0.0082757-0.0065268i,0.0031552-0.0042185i,-0.0047705-0.007117i,-0.0010203-0.03378i,-0.02071+0.029277i,0.0091265-0.011973i,-0.0093407-0.0038584i,-0.0039784-0.0018598i,0.00063276-0.013277i,-0.011197+0.00393i,0.0024363+0.010806i,-0.0061505+0.027106i,0.0046493+0.0025217i,-0.0054462-0.0019012i,-0.002001-0.002202i,-0.012922-0.0077609i,1.6076e-05-0.0044791i,-0.036121-0.0013323i,0.0014564-0.010916i,-0.0085589-0.00015446i,-0.0072601-0.0027543i,0.0054608+0.0012893i,-0.007983-0.00097205i,0.0021097-0.00011024i,0.0040931+0.007237i,0.00461+0.00057485i,-0.0072951-0.013869i,0.002819+0.009575i,-0.015241+0.004439i,0.0070478+0.00056559i,-0.022722-0.001094i,-0.018094+0.0045655i,-0.003221-0.0645i,0.0081321-0.012683i,-0.047152-0.025593i,-0.019981-0.0008822i,0.016774+0.013046i,-0.02409+0.014231i,-0.0193-0.0063086i
-0.046572+0.028454i,-0.018338+0.018559i,-0.022633+0.042481i,-0.027861+0.01368i,-0.0049809+0.022775i,-0.0001125+0.0081034i,-0.028489+0.022666i,-0.0030762+0.029866i,0.0068762+0.018846i,-0.0045303-0.0077354i,0.0029699+0.0030889i,0.0079153+0.00020205i,0.0054482-2.4883e-05i,-0.00095709+0.0023085i,0.00010408+0.0019427i,0.0052829-0.0048552i,-0.0065732-0.00088863i,-0.0029985-0.0013241i,0.0040497-0.0016147i,-0.00026687-0.0010303i,0.0020941-0.0045901i,0.0013166-0.0029358i,0.0015109-0.0025226i,-0.0089188-0.010828i,-0.0012652+0.0020112i,-0.0019041+6.6305e-05i,-0.0040107-0.0011563i,-0.0028343+9.8759e-05i,-0.0008899-0.0014632i,-0.00034661-0.00056686i,-0.0014003+0.0039369i,0.00063253+0.0010025i,0.0016698+0.0007929i,-0.00072017+0.00072098i,-0.0032394+0.0029806i,-0.0015786-0.0074528i,-0.0028292+0.0008239i,0.00081732-0.0006507i,-0.0019252+0.0030369i,0.0036789+0.0027596i,-9.1492e-05-0.0018249i,-0.00071234-0.0037197i,-0.0034643-0.00047593i,0.0050145+0.0013689i,-0.018277+0.021407i,0.0082027-0.040944i,-0.055181+0.0012959i,0.0098336-0.032931i,-0.031579-0.051122i,-0.028737-0.021313i,-0.064139+0.019807i,-0.039108+0.00048754i,-0.034186-0.0080807i,-0.02584-0.025773i,-0.039386-0.026462i,-0.0054254+0.0030224i,-0.029797+0.0090233i,0.0059848+0.019147i,0.0030544+0.0084563i,-0.0031736-0.0053334i,0.0022638+0.0021074i,-0.011336-0.0037682i,0.0050248+0.011838i,-0.00083218+0.0062078i,-0.0016599-0.0015367i,0.0015215+0.0024251i,0.0041569-0.0010928i,-0.0041634+0.017759i,0.0023665+0.014955i,0.0039947-0.00011088i,0.0096183-0.0064418i,0.0044521+0.0034517i,-0.0089543-0.0076737i,-0.0008093-0.0030587i,0.028874-0.033909i,0.007969+0.010186i,0.0054808+0.0023681i,-0.0027338+0.0028337i,0.0039782-0.0055305i,0.021333+0.010237i,0.0034304+0.0025603i,0.00017193-0.0068037i,0.0015868-0.0028823i,0.014991+0.0092769i,0.0052322+0.0019023i,0.0030623-0.0049293i,0.0038084+0.0096572i,-0.00045419+0.001456i,0.0097576+0.0039359i,-0.040923-0.019171i,-0.006553+0.012061i,-0.0024792-0.0042434i,-0.0078138+0.0042641i,-0.038797+0.010583i,-0.0062769+0.007404i,-0.011589+0.01411i
-0.041268+0.035519i,-0.015384+0.018227i,-0.011909+0.038366i,-0.025122+0.016933i,-0.0018586+0.020963i,0.0012724+0.0079393i,-0.025713+0.027161i,0.0027247+0.028961i,0.0096294+0.013547i,-0.0063101-0.0048855i,0.0041397+0.00341i,0.00721-0.0024792i,0.0048858-0.002027i,0.00079494+0.002947i,0.00037988+0.002089i,0.0014863-0.0042i,-0.0077544+0.0025645i,-0.0028713-0.00024151i,0.0042273-0.0026156i,4.4952e-05-0.00094378i,0.00069202-0.0047122i,0.0010442-0.0024798i,0.00083248-0.0026665i,-0.010641-0.00767i,-9.323e-05+0.0015737i,-0.0019199+0.00061585i,-0.0034883+0.00055243i,-0.0020933+0.00077731i,-0.0014107-0.0012853i,-0.00016465-0.00038081i,0.00026967+0.0042119i,0.00034087+0.0010065i,0.0014296-0.0002287i,-0.00084006+0.0009968i,-0.0030129+0.0034812i,-0.0017898-0.0065856i,-0.0023818+0.0013407i,-0.00024917-0.0012602i,-0.0012312+0.0037377i,0.0034999+0.00039841i,-0.00042939-0.0017023i,-0.0024853-0.0033449i,-0.0035127+0.00067209i,0.0055676-2.3072e-05i,-0.014832+0.020643i,-0.0064376-0.046733i,-0.048944+0.012166i,0.000282-0.041298i,-0.045848-0.045246i,-0.029719-0.014702i,-0.052651+0.032002i,-0.036166+0.0094256i,-0.024247-0.010228i,-0.028331-0.022111i,-0.046277-0.010817i,-0.0046742+0.0027196i,-0.025537+0.02183i,0.011287+0.013346i,0.0056497+0.0046104i,-0.0083029-0.00808i,-0.00097394+0.0039176i,-0.011142+0.0034492i,0.009699+0.0084318i,0.00041501+0.0081698i,-0.002023-3.4892e-05i,0.0023649+0.0034019i,0.0043206-0.0015302i,0.0043153+0.014803i,0.0082083+0.0092254i,0.000151-0.0031534i,0.0032761-0.0078936i,0.0050199+0.0029281i,-0.011682+0.00065655i,-0.0025456-0.0010535i,0.011851-0.038043i,0.011916+0.0077423i,0.0072038-0.00034654i,0.00094247+0.0029697i,-0.00018465-0.0034541i,0.023524-0.00031163i,0.0032508+0.00095607i,-0.0033397-0.0054091i,-0.0023627-0.001781i,0.014847+0.0027204i,0.0054585+0.0017554i,0.0011238-0.0036289i,0.0070028+0.0081745i,-0.00016235+0.0020452i,0.010344+4.693e-05i,-0.044891-0.015483i,-0.00071162-0.0020417i,-0.0016286-0.004187i,-0.0063731+0.0047049i,-0.032845+0.02276i,-0.0039745+0.0085681i,-0.007014+0.015369i
-0.034153+0.041246i,-0.013509+0.018503i,-0.0068399+0.032125i,-0.022306+0.019919i,0.0017752+0.020119i,0.0028942+0.0073048i,-0.020957+0.031847i,0.0080526+0.026624i,0.0094992+0.0093652i,-0.0069141-0.0018209i,0.006053+0.0028514i,0.0031151-0.0037149i,0.0036584-0.0031987i,0.0015763+0.0026015i,0.00089172+0.0021793i,-0.0015329-0.0016622i,-0.0067216+0.0066676i,-0.0019027+0.00050718i,0.0037474-0.0044933i,0.00037515-0.0015017i,-0.00081387-0.004408i,0.0011367-0.0028005i,0.00030946-0.002692i,-0.012344-0.0050691i,0.00025665+0.0012976i,-0.0012931+0.0014333i,-0.0023345+0.00099957i,-0.0010026+0.0012249i,-0.0015341-0.0010755i,-0.00036278-0.00075653i,0.0018267+0.0034988i,0.00038067+0.0012928i,0.001042-0.00058268i,-0.00053284+0.00092091i,-0.0013161+0.0047552i,-0.0016206-0.0067193i,-0.0021995+0.001668i,-0.0012257-0.0012013i,0.0016563+0.0026885i,0.0024796-0.00071715i,-0.00086041-0.0014617i,-0.0020051-0.0015559i,-0.0032794+0.0013803i,0.0050969-0.002362i,-0.012805+0.020705i,-0.023594-0.04496i,-0.038999+0.018828i,-0.012238-0.043919i,-0.054587-0.035808i,-0.026754-0.0091773i,-0.037087+0.038384i,-0.024656+0.01507i,-0.025282-0.014973i,-0.029931-0.01897i,-0.044672+0.0047174i,-0.003895+0.0030329i,-0.013725+0.029906i,0.013361+0.0071126i,0.0037077-0.00056479i,-0.01769-0.0051166i,-0.00015806+0.0052236i,-0.0067118+0.007582i,0.011572+0.0026426i,0.0033454+0.0082026i,-0.0035703+0.0015909i,0.0026863+0.0014728i,0.0040841-0.0030624i,0.0071763+0.0083767i,0.0083661+0.0034216i,-0.0045377-0.00046223i,0.00023543-0.0061126i,0.0068632+0.0018978i,-0.0069142+0.0098318i,-0.00080803+0.0010897i,-0.0016263-0.034835i,0.015812+0.0017031i,0.0060162-0.0029413i,0.0012735+0.0013135i,-1.4086e-05-0.0010997i,0.019233-0.0091008i,0.0016646+0.0025707i,-0.0054517-0.0027402i,-0.0033761+0.0021152i,0.011619-0.0020163i,0.00907-0.00059912i,0.0011921-0.00357i,0.01072+0.0042486i,0.0026416+0.0022947i,0.0092129-0.0034437i,-0.048977-0.0062639i,-0.009607-0.011579i,0.00042767-0.0069227i,-0.005118+0.0039388i,-0.022706+0.028352i,-0.0031276+0.0036596i,-0.00258+0.010694i
-0.026158+0.044974i,-0.010991+0.019818i,-0.0053815+0.027141i,-0.018287+0.022941i,0.0053598+0.017242i,0.0044612+0.0058221i,-0.01408+0.035327i,0.012666+0.022782i,0.0089549+0.0074784i,-0.0064612+0.00096262i,0.0069734+0.00030855i,0.00077767-0.0013147i,0.0022113-0.0036001i,0.0016613+0.0026817i,0.0013358+0.0019277i,-0.0017855+0.0021352i,-0.0029305+0.0099488i,-0.0013918+0.00036171i,0.0020531-0.0054095i,-0.00028258-0.0021283i,-0.0018758-0.0034278i,0.00081904-0.0031209i,-0.00030004-0.0028583i,-0.013707-0.00085148i,0.00081995+0.00033878i,-0.0003172+0.0010331i,-0.001837+0.00090761i,5.9314e-05+0.00068088i,-0.0017144-0.00041902i,-0.00074137-0.00033858i,0.0027949+0.0022156i,0.00083246+0.0012881i,0.00029654-0.00088523i,-0.00036831+0.00098498i,0.00098339+0.0040694i,-0.0029444-0.0082335i,-0.0014198+0.0024998i,-0.0019444-0.00056512i,0.0013658-7.8453e-05i,0.0017098-0.0010999i,-0.00095028-0.0010529i,-0.0015253-0.0014558i,-0.0027159+0.0022635i,0.0023288-0.0049955i,-0.010888+0.022068i,-0.037425-0.032635i,-0.029613+0.019667i,-0.024136-0.040945i,-0.062968-0.024802i,-0.022392-0.0071873i,-0.023347+0.037763i,-0.014664+0.011331i,-0.027292-0.012882i,-0.031242-0.013761i,-0.038992+0.015975i,-0.003516+0.0032387i,-0.00094875+0.03018i,0.013714+0.0015465i,-0.0011195-0.0013737i,-0.02244+0.0053627i,-0.00022737+0.0068361i,-0.0027029+0.0070282i,0.0092023-0.003405i,0.0062217+0.0069764i,-0.0030643+0.0046245i,0.00064645+0.0017743i,0.0033601-0.0056444i,0.0058915+0.0025324i,0.0054881+0.00019737i,-0.0035483+0.0026818i,-0.0015017-0.0044718i,0.0070253-0.00041955i,0.002969+0.011453i,0.00018564+0.00046423i,-0.0096615-0.028468i,0.01388-0.0044009i,0.0045309-0.0044691i,0.0020449+0.0024329i,0.00026616-0.0012655i,0.012996-0.012697i,0.0048065+0.0033707i,-0.0060353+0.00044969i,-0.00089046+0.0043374i,0.0087323-0.0029642i,0.0086595-0.0061184i,-0.00066288-0.0032793i,0.010064-0.0024824i,0.0033935-0.00067417i,0.0077613-0.0071249i,-0.04627+0.0054809i,-0.019931-0.0108i,-0.0018818-0.012349i,-0.0035609+0.0024327i,-0.014263+0.028876i,-0.0074861+0.0029661i,-0.0035315+0.0090973i
-0.018494+0.047273i,-0.0088962+0.020162i,-0.0063244+0.024894i,-0.013568+0.02461i,0.0073507+0.013926i,0.0049313+0.0040235i,-0.0063189+0.036378i,0.015678+0.018236i,0.0095348+0.0061257i,-0.0045303+0.0028469i,0.0058969-0.0015395i,0.0011723+0.00069683i,0.0011567-0.0036379i,0.0028381+0.00302i,0.0017278+0.001599i,5.1664e-05+0.0046163i,0.0020475+0.01067i,-0.0013962+0.00042076i,0.00061655-0.0056062i,-0.0012004-0.0020489i,-0.0025776-0.0025296i,6.318e-05-0.0033269i,-0.0011954-0.0027099i,-0.011734+0.0034597i,5.9921e-05-0.001082i,-0.00037233+0.00026299i,-0.0014873+0.00099229i,0.00016101-0.00030243i,-0.0016407+0.00011269i,-0.00041411+4.7749e-05i,0.0030166+0.00085989i,0.0014834+0.00067261i,-0.0003563-0.00060665i,-0.00040276+0.0010901i,0.0015187+0.0029243i,-0.0059862-0.0086314i,-0.00056263+0.002648i,-0.002007+0.00063152i,-0.00046777-0.00047673i,0.00090066-0.00088032i,-0.0010111-0.00081491i,-0.0019271-0.0013676i,-0.0017021+0.0028064i,-0.00080097-0.0037911i,-0.0072509+0.023989i,-0.03913-0.0167i,-0.023429+0.017919i,-0.034339-0.034129i,-0.068656-0.0095785i,-0.019908-0.0091152i,-0.012305+0.033783i,-0.010221+0.0062605i,-0.027557-0.011262i,-0.030602-0.010397i,-0.032112+0.024358i,-0.0029124+0.0032841i,0.011999+0.025479i,0.012512-0.0030714i,-0.0046396+0.0012605i,-0.019963+0.015045i,0.0019797+0.0081029i,-0.00012532+0.0077682i,0.0028935-0.0043434i,0.0083101+0.0047934i,-0.0012187+0.0066005i,0.00050413+0.0038605i,0.0013636-0.0073832i,0.0017087+0.0026215i,0.0027066+0.00055927i,-0.0026688+0.0044141i,-0.0025309-0.0023456i,0.0061028-0.0026089i,0.0083041+0.0068357i,0.00041568-5.3178e-05i,-0.014369-0.025878i,0.010163-0.008462i,0.0024272-0.0054931i,0.0049356+0.0021916i,-0.00023409-0.00044143i,0.0086811-0.01369i,0.0071497+0.00071382i,-0.0040954+0.0038175i,0.0017067+0.004037i,0.0082584-0.0039541i,0.0038409-0.011031i,-0.00085311-0.0022725i,0.0059537-0.0061506i,0.0014454-0.0022855i,0.0036602-0.01039i,-0.038866+0.010874i,-0.028012-0.002938i,-0.0066238-0.014026i,-0.0033735-5.5456e-05i,-0.0084971+0.028074i,-0.010427+0.0058109i,-0.0023055+0.0098882i
-0.010737+0.048644i,-0.0069009+0.021285i,-0.0065095+0.026049i,-0.0088234+0.024777i,0.0078563+0.010719i,0.0051188+0.0027942i,0.0016292+0.034998i,0.017323+0.013791i,0.01031+0.0038657i,-0.002999+0.0029322i,0.0040518-0.0023874i,0.0022065+0.0016982i,3.4574e-05-0.003542i,0.0041646+0.0019093i,0.0019015+0.0011502i,0.0026381+0.0053895i,0.0068114+0.0088817i,-0.0011617+0.00084907i,-0.0013024-0.0054891i,-0.0019257-0.0015849i,-0.0025851-0.0013701i,-0.00063682-0.0034066i,-0.0018346-0.0021488i,-0.0099737+0.0050602i,-0.0012761-0.00095146i,-0.00088206+9.6423e-05i,-0.0012265+0.0011793i,-0.00021047-0.0011162i,-0.001339+0.00053791i,-0.00023436-0.00015899i,0.0028261-0.00024772i,0.0014866-0.00031677i,-0.00059022-0.00024932i,-0.00012057+0.001058i,0.0017148+0.0023854i,-0.0089866-0.007302i,5.8482e-05+0.002407i,-0.0014147+0.0013226i,-0.0013525+0.00033054i,0.00051594-0.00033237i,-0.00096826-0.00035052i,-0.0021375-0.00054952i,-0.00070045+0.0026962i,-0.0019549-0.001393i,-0.0030767+0.02544i,-0.033882-0.0076109i,-0.019837+0.016229i,-0.040704-0.02316i,-0.066576+0.0098593i,-0.023469-0.011736i,-0.0055352+0.027628i,-0.0077212+0.0020547i,-0.027465-0.0085667i,-0.031486-0.0070844i,-0.023806+0.029838i,-0.0033725+0.0035659i,0.018946+0.011803i,0.010119-0.0074467i,-0.0056255+0.0053804i,-0.012551+0.022524i,0.0047091+0.0068268i,0.0044756+0.0062755i,0.00021821-0.0011303i,0.010121+0.0010984i,0.0014184+0.0079489i,0.0019+0.0048907i,-0.0038256-0.0093327i,0.00098559+0.0057268i,0.0026961+0.0021687i,-3.7245e-05+0.0074185i,-0.0016597-0.00059122i,0.0047122-0.0035395i,0.009872+0.0015828i,0.00092121-0.00078577i,-0.022973-0.024043i,0.0058199-0.010366i,-5.3729e-05-0.0055605i,0.0052121-0.00051947i,-1.561e-05+0.00067124i,0.0060141-0.013298i,0.0069945-0.002399i,-0.001065+0.0049906i,0.0033559+0.0020962i,0.0067193-0.0061401i,-0.0033074-0.010637i,-0.0012152-0.0025295i,0.0023829-0.0058649i,0.0006546-0.0029158i,-0.0017876-0.010198i,-0.034331+0.013648i,-0.025969+0.010619i,-0.0112-0.013828i,-0.004832-0.001317i,-0.0043776+0.027577i,-0.0096532+0.010592i,0.0015301+0.0087074i
-0.002763+0.048707i,-0.0040454+0.022676i,-0.004699+0.028351i,-0.0053009+0.023811i,0.007345+0.0086977i,0.0052502+0.0015334i,0.0083744+0.031648i,0.01791+0.0097883i,0.010722+0.0018705i,-0.0022268+0.0031429i,0.0027823-0.0017252i,0.0043948+0.0020274i,-0.0010498-0.0030638i,0.0044328-0.00038705i,0.0018792+0.00078666i,0.0047881+0.0047737i,0.0097777+0.0053188i,-0.00071203+0.0012271i,-0.0025877-0.0047328i,-0.0023339-0.00069118i,-0.0022158-0.00039694i,-0.0016184-0.0032953i,-0.0022275-0.0014973i,-0.0089418+0.007713i,-0.0019644-0.00026454i,-0.0012927+0.00060681i,-0.00096734+0.0013859i,-0.0013147-0.0014322i,-0.0011055+0.0005905i,-0.00041474-0.00038197i,0.0023429-0.0011431i,0.0014-0.00061581i,-0.00026502-9.9492e-05i,0.00016075+0.00096484i,0.0022432+0.0012821i,-0.011682-0.0050809i,0.0007614+0.0023068i,-0.00093585+0.0014491i,-0.0015058+0.00099611i,0.00053209-3.3983e-05i,-0.00076044-6.9521e-05i,-0.0016074-8.2217e-05i,-0.00012016+0.0022181i,-0.0018161-0.00014579i,0.0021416+0.025168i,-0.03015-0.0054216i,-0.017262+0.015576i,-0.040973-0.01252i,-0.056945+0.025831i,-0.027011-0.0089682i,-0.0012309+0.022815i,-0.0078078-0.0020142i,-0.026507-0.006652i,-0.031144-0.0020787i,-0.015554+0.03349i,-0.0022815+0.0038292i,0.013721-0.0010926i,0.0055718-0.011024i,-0.0039986+0.0086907i,-0.0037255+0.023761i,0.0055352+0.0041345i,0.0059022+0.0019105i,0.0015614+0.00050058i,0.0094131-0.0020822i,0.0064177+0.0071052i,0.0036918+0.0058876i,-0.0083414-0.0037151i,0.0035342+0.007253i,0.0041841+0.0028281i,0.0039706+0.0071189i,-0.0012076-2.1943e-05i,0.0036824-0.0045055i,0.009456-0.0046819i,-0.00082549-0.001142i,-0.032084-0.014991i,0.0019265-0.010466i,-0.0020753-0.0041082i,0.0053338-0.00073694i,0.00070666+0.00088478i,0.0044998-0.015683i,0.0054889-0.0053172i,0.0012952+0.0039889i,0.0035417+0.0010464i,0.0050093-0.0071242i,-0.0071222-0.0064541i,-0.002518-0.0023348i,-0.00060927-0.0055984i,-0.0011942-0.0032958i,-0.0050787-0.0076371i,-0.029009+0.016196i,-0.019142+0.011855i,-0.011752-0.012478i,-0.0060788-0.0012769i,0.00068719+0.025792i,-0.0080402+0.012392i,0.002061+0.0059626i
0.0047076+0.047497i,-0.00023092+0.023785i,-0.00086+0.030955i,-0.0022832+0.023497i,0.0066789+0.0078126i,0.004966+0.0005261i,0.013808+0.027249i,0.01813+0.0064887i,0.010938-0.00059069i,-0.0014646+0.0033775i,0.0029509-0.0010693i,0.0064455-0.00012315i,-0.0019035-0.0021622i,0.0028155-0.0014514i,0.0019553+0.0006226i,0.0065353+0.0030097i,0.01066+0.0015156i,-2.0168e-05+0.0011287i,-0.003715-0.0038036i,-0.0021106+0.0004573i,-0.0015357+6.006e-05i,-0.0023801-0.0023458i,-0.0024579-0.00086607i,-0.0054486+0.0098215i,-0.0022345+0.00071263i,-0.0010537+0.0013186i,-0.00065407+0.001756i,-0.0025272-0.00086655i,-0.00099902+0.00066226i,-0.00060383-0.00030005i,0.0014597-0.0017755i,0.001559-0.0016912i,-0.00046754-0.00015107i,0.00024767+0.00084598i,0.0019466+0.00019949i,-0.013504-0.0011817i,0.0013293+0.0018645i,-0.00056461+0.0017214i,-0.0015627+0.0014059i,0.00087695+0.00020282i,-0.00035741-1.2231e-05i,-0.0012895+8.5856e-07i,4.8801e-05+0.0017028i,-0.0012443+0.00081665i,0.0063749+0.023375i,-0.030664-0.0039967i,-0.015671+0.014612i,-0.040373-0.0037459i,-0.043457+0.03473i,-0.030256-0.0055554i,0.0027481+0.017427i,-0.0086664-0.0035826i,-0.026253-0.0050723i,-0.029356+0.0036278i,-0.0061853+0.035128i,-0.0013509+0.0038092i,0.0063792-0.0033138i,0.00043424-0.012172i,-9.0053e-05+0.011773i,0.0041029+0.021014i,0.0048929+0.0018199i,0.0046822-0.0021804i,0.0013047+0.00065259i,0.007551-0.005501i,0.0097278+0.0035514i,0.0062827+0.0055744i,-0.0081416+0.00043611i,0.0063677+0.0076105i,0.0059387+0.0025999i,0.008246+0.0050535i,-0.00055968+0.00065024i,0.0030458-0.0054554i,0.0053413-0.0085096i,-0.0010895+0.00095624i,-0.03629-0.0020853i,-0.00097856-0.009679i,-0.0029017-0.0021182i,0.005933-0.0017521i,0.0011647+0.00056855i,-2.5357e-05-0.018655i,0.0027439-0.006693i,0.0029899+0.0032858i,0.0040432+2.7673e-05i,0.0045366-0.008039i,-0.0090915-0.0034321i,-0.0038363-0.00046098i,-0.0033439-0.0041215i,-0.0023149-0.0029397i,-0.0065981-0.0050377i,-0.024407+0.01677i,-0.017131+0.012373i,-0.012529-0.013423i,-0.0073257-0.00055674i,0.0030544+0.024461i,-0.006999+0.013324i,0.0024789+0.0046098i
0.012203+0.045347i,0.0046713+0.02384i,0.0053469+0.032048i,0.00099358+0.023015i,0.0070355+0.0079316i,0.0047436-6.3019e-05i,0.017684+0.021702i,0.01827+0.003272i,0.010349-0.0032653i,-0.0008643+0.0034414i,0.0033022-0.0016982i,0.0059212-0.003373i,-0.0022898-0.0011138i,0.0020275-0.0014902i,0.0021166+0.00035491i,0.0069305+0.00056798i,0.0099974-0.0021457i,-0.00011489+0.00074034i,-0.0048777-0.0023006i,-0.0012457+0.001002i,-0.00078464-0.00012322i,-0.0024333-0.0015096i,-0.0024653-0.00012445i,-0.0015509+0.0099946i,-0.0019361+0.0015728i,-0.00049022+0.0016655i,9.7124e-05+0.0017883i,-0.0030099+0.00043599i,-0.00073817+0.00061823i,-0.00073284-0.00020101i,0.0005075-0.0019445i,0.00033547-0.0024912i,-0.00067073+0.00012175i,0.00031602+0.00079095i,0.0013137-0.00034761i,-0.013129+0.0033233i,0.0014997+0.001266i,0.00014459+0.0017911i,-0.001274+0.0018837i,0.0012638+0.00013649i,-0.00021855-0.00024352i,-0.00086146-4.5957e-06i,-1.7537e-05+0.0014597i,-0.00051807+0.0013292i,0.0094677+0.021683i,-0.033348+0.0008314i,-0.014481+0.014056i,-0.035518+0.0049051i,-0.030598+0.039677i,-0.0327+0.0018116i,0.0051753+0.010694i,-0.0067875-0.0057589i,-0.025443-0.0022563i,-0.025381+0.0092283i,0.0025954+0.034164i,-0.00095669+0.0031614i,0.0021178-0.003534i,-0.0050837-0.011654i,0.0061715+0.011319i,0.0080497+0.016008i,0.0026891+0.00039544i,0.002641-0.0049836i,0.0022995+0.0029705i,0.0036703-0.0074008i,0.010944-0.0020093i,0.0085705+0.0035064i,-0.0077039+0.0042167i,0.010689+0.0067356i,0.0083162+0.00019228i,0.010387+3.411e-05i,0.00030088+0.0011041i,0.0015594-0.0061986i,-0.00047478-0.0090802i,0.00056949+0.002537i,-0.035372+0.011971i,-0.0030922-0.0086981i,-0.0025282-0.0001813i,0.0059544-0.0056197i,0.0016707+0.00071958i,-0.0073469-0.01839i,-0.00023249-0.0062466i,0.0042458+0.0015611i,0.0040305-0.00073048i,0.0025643-0.0093481i,-0.0099093+0.0020728i,-0.0033238+0.0019312i,-0.0049415-0.0018333i,-0.0039454-0.0028666i,-0.0068825-0.0026369i,-0.022548+0.017191i,-0.015989+0.016713i,-0.01555-0.01608i,-0.0061077+0.0010398i,0.0071636+0.023944i,-0.0062745+0.015461i,0.0037912+0.0018374i
0.019174+0.041823i,0.0095171+0.022214i,0.011934+0.029945i,0.0043915+0.021992i,0.0082712+0.0077193i,0.0049266-0.00049599i,0.019716+0.016172i,0.017867+1.041e-05i,0.0093209-0.0053435i,-0.00043953+0.0038338i,0.0029601-0.0023269i,0.0035393-0.0050574i,-0.0023694-0.00021148i,0.0012417-0.0014247i,0.0021846+1.7649e-05i,0.0058842-0.0013351i,0.0079437-0.0047163i,-0.00012676+0.00073493i,-0.0049527-0.00040881i,-0.00047942+0.00096807i,-0.0001902-0.00059321i,-0.0023584-0.0011178i,-0.002139+0.00050927i,0.0014401+0.0094121i,-0.0013051+0.0020198i,5.4576e-05+0.0018452i,0.00067126+0.0012762i,-0.0025876+0.001774i,-0.00068886+0.00037436i,-0.0010283-1.923e-06i,-0.00034769-0.0017147i,-0.0010557-0.0022886i,-0.00052532+0.00042243i,0.00056427+0.00065779i,0.00064661-0.00058641i,-0.011064+0.0068239i,0.0016045+0.00070273i,0.00061171+0.001363i,-0.00066674+0.0025091i,0.0014318-0.00044346i,-0.00022557-0.00039146i,-0.0006528-0.00046126i,-0.00011273+0.0014202i,0.00025252+0.0014487i,0.012705+0.02032i,-0.032592+0.0090525i,-0.014782+0.013723i,-0.029324+0.0088126i,-0.017275+0.04161i,-0.030612+0.011209i,0.0038987+0.0039028i,-0.007173-0.011159i,-0.022315-7.0796e-05i,-0.018393+0.014048i,0.011883+0.030332i,-0.001048+0.003086i,-0.0021226-0.0022552i,-0.0097205-0.0085171i,0.010452+0.0068851i,0.0098547+0.01268i,-0.00056899+0.0012621i,-0.00015573-0.0076641i,0.0059791+0.0017867i,-0.00036514-0.0068319i,0.0079967-0.0062829i,0.0098417+0.00010132i,-0.0062931+0.0070842i,0.014351+0.0011524i,0.0082393-0.0048331i,0.0092108-0.0053606i,0.0016202+0.0010199i,-0.00036642-0.0066239i,-0.0043826-0.0057142i,0.0027877+0.0016737i,-0.027643+0.026834i,-0.005242-0.0073364i,-0.0012284+0.00095424i,0.0019668-0.0073775i,0.0025131+0.00030935i,-0.014129-0.014488i,-0.0014434-0.0043764i,0.0042393-0.00080204i,0.00361-0.0015523i,-0.00016905-0.0092545i,-0.0063397+0.006861i,-0.0016394+0.0033736i,-0.0053391+0.0018786i,-0.0063355-0.0017692i,-0.0067281-0.0012725i,-0.019003+0.021012i,-0.0078078+0.020777i,-0.021942-0.015923i,-0.0039708-4.655e-05i,0.010299+0.021611i,-0.0037264+0.018453i,0.0028306-0.0021349i
