-0.025202-0.046051i,-0.023048-0.020094i,-0.011907-0.038565i,-0.029821-0.021759i,-0.02392-0.0015101i,-0.013596-0.0042078i,-0.053811-0.055395i,-0.047283-0.016497i,-0.039039-0.01536i,0.0084762+0.013337i,-0.0083062+0.0068641i,-0.019418+0.019072i,0.0025691+0.011582i,-0.0045736-0.0027724i,0.00089016+0.00072637i,0.00016171+0.02913i,0.026666+0.027196i,0.0023046-0.0011999i,-0.0020065-0.0062133i,0.0080358+0.0026219i,0.0028984+0.0011403i,0.00052515+0.0034466i,-0.00041127+0.00011747i,-0.035353-0.0087987i,-0.00019371-0.0075019i,0.001524+0.0025677i,0.0058064+0.0014945i,0.0025761+0.00032998i,0.0012931-0.00076704i,-0.00044247-0.0025603i,0.0014198-0.0025027i,-0.0032723-0.0056158i,-0.00034572-0.0048517i,0.0031621-0.00093253i,0.0046767-0.0026342i,0.0030464+0.030334i,0.0040764-0.0034697i,0.0034427-0.0018147i,0.0084646-0.00060066i,-0.0050949-0.0019363i,-0.00029432+0.0014734i,0.0096036+0.00095483i,0.0041888-0.0018i,-0.002955+0.0087333i,-0.015103-0.0085263i,-0.018252+0.012872i,-0.00097295-0.061721i,-0.0046495-0.027365i,-0.025328-0.032801i,-0.010708-0.026881i,0.051848-0.024929i,0.016075-0.044244i,0.0229-0.049011i,0.0084451-0.055629i,0.026383-0.019127i,0.0089628+0.0060059i,0.026157-0.034675i,-0.0080106-0.0061503i,0.0029327-0.0045909i,-0.004581-0.0068555i,-0.0023222-0.03243i,-0.020017+0.029638i,0.0077702-0.011197i,-0.0089121-0.0039412i,-0.0040647-0.0017657i,0.0001905-0.012693i,-0.011248+0.0044571i,0.0025737+0.009862i,-0.0052122+0.026641i,0.0044217+0.0025407i,-0.0054714-0.0017642i,-0.001798-0.0023263i,-0.012684-0.0075045i,-0.00051705-0.0044337i,-0.0364+0.00048791i,0.001138-0.010431i,-0.0084695+0.00013779i,-0.0069259-0.0024058i,0.0051312+0.0010921i,-0.0089341-0.0008323i,0.00094313-0.00065982i,0.00407+0.0071994i,0.0045109+0.00074358i,-0.0082964-0.012988i,0.0025599+0.0095633i,-0.015543+0.0049142i,0.0062702+0.0003662i,-0.022525-0.0010607i,-0.01856+0.0037221i,-0.0034297-0.062091i,0.0081539-0.011946i,-0.049419-0.023833i,-0.020883+0.00019606i,0.017534+0.0121i,-0.023278+0.014009i,-0.019996-0.0064586i
-0.05003+0.03114i,-0.016828+0.017824i,-0.023463+0.04343i,-0.027839+0.013113i,-0.0045158+0.022409i,-0.00018272+0.0082461i,-0.029919+0.021863i,-0.0028074+0.029999i,0.0077929+0.019012i,-0.0030449-0.0078841i,0.0026025+0.0030722i,0.0082451+0.00030322i,0.0053356-4.7435e-05i,-0.00085189+0.0027608i,0.00029745+0.0019206i,0.0055176-0.0046662i,-0.006413-0.00062387i,-0.0033457-0.0014505i,0.0036162-0.0020068i,-5.3864e-05-0.00079755i,0.0022835-0.0048065i,0.0015449-0.0028021i,0.0013787-0.0025608i,-0.00966-0.010307i,-0.0013356+0.0010244i,-0.002138-0.00010013i,-0.0041567-0.001231i,-0.0028936+8.9899e-05i,-0.00080003-0.0017302i,-0.00054749-0.00093838i,-0.0014142+0.0034072i,0.00073093+0.00067828i,0.0018195+0.00073357i,-0.00056101+0.00065696i,-0.0032242+0.0023472i,-0.0019756-0.0084609i,-0.0025326+0.00091825i,0.00079951-0.00038177i,-0.001659+0.0030619i,0.0037341+0.0028476i,-0.00036209-0.001949i,-0.00051068-0.0035649i,-0.0033595-0.00041326i,0.0044227+0.0012662i,-0.020488+0.021844i,0.0061912-0.038305i,-0.055342+0.0036181i,0.0075613-0.030793i,-0.031061-0.048713i,-0.029341-0.020253i,-0.06294+0.02163i,-0.038424+0.0018831i,-0.034637-0.0077011i,-0.028665-0.024703i,-0.038355-0.0249i,-0.0049378+0.0028811i,-0.02826+0.0098295i,0.0061531+0.017555i,0.0030327+0.0078383i,-0.0034656-0.0051499i,0.0017111+0.0012101i,-0.010706-0.004486i,0.0051323+0.010644i,-0.001103+0.0060559i,-0.0015646-0.0014867i,0.0013267+0.0022411i,0.0041873-0.00071166i,-0.0039416+0.01818i,0.0028893+0.013074i,0.0045769-0.0016289i,0.0092141-0.0066472i,0.0046519+0.0033303i,-0.0085307-0.0072453i,-0.0011583-0.0028231i,0.027336-0.034826i,0.0081305+0.0088262i,0.0050829+0.0018935i,-0.0026539+0.0028332i,0.003328-0.0051177i,0.022219+0.0079141i,0.0039467+0.00088576i,0.00013828-0.0064486i,0.0012703-0.0029812i,0.014105+0.0074137i,0.0051202+0.00077761i,0.0026779-0.0047333i,0.0037719+0.008966i,-0.00086547+0.00076806i,0.009048+0.002662i,-0.041523-0.023443i,-0.0062534+0.01363i,-0.0019963-0.0036642i,-0.0066609+0.0050932i,-0.037543+0.012186i,-0.0057103+0.0072836i,-0.010258+0.014281i
-0.044052+0.038909i,-0.014236+0.017368i,-0.012514+0.039304i,-0.025344+0.016799i,-0.0015577+0.020619i,0.0012743+0.0080965i,-0.027274+0.026715i,0.0029684+0.028901i,0.010233+0.013378i,-0.0049929-0.0055664i,0.0037349+0.0035156i,0.0074846-0.0026613i,0.0047692-0.0020067i,0.0011107+0.0034252i,0.00054782+0.0020185i,0.0016757-0.0040235i,-0.0075209+0.0028587i,-0.0032001-0.00029605i,0.0037376-0.0027568i,0.00032983-0.00081256i,0.00074078-0.0049209i,0.0012493-0.0024454i,0.00068396-0.0026307i,-0.011194-0.0072114i,-0.00064814+0.000697i,-0.0022139+0.00056193i,-0.0037011+0.00054893i,-0.0020621+0.00084709i,-0.0015064-0.0014856i,-0.00054455-0.00064066i,1.989e-05+0.0037115i,0.00029994+0.00060458i,0.0015416-0.00030987i,-0.00068057+0.00094299i,-0.0033137+0.0028415i,-0.0024572-0.0073462i,-0.0020631+0.0012854i,-0.00025396-0.00097708i,-0.0011481+0.0036794i,0.0035661+0.00045341i,-0.00068797-0.0018386i,-0.002312-0.0033621i,-0.0034732+0.00068129i,0.004958+0.00014473i,-0.017105+0.021579i,-0.007742-0.043788i,-0.048754+0.014225i,-0.0011848-0.038217i,-0.04488-0.04308i,-0.03035-0.013527i,-0.051309+0.033279i,-0.035285+0.01059i,-0.025475-0.010396i,-0.03091-0.020575i,-0.044502-0.0099005i,-0.0042333+0.0025809i,-0.02346+0.021757i,0.010655+0.012022i,0.0054278+0.0039168i,-0.0084902-0.0079097i,-0.0016702+0.0034331i,-0.010774+0.0026214i,0.0092151+0.00735i,0.00012031+0.0078395i,-0.0018968-0.00019392i,0.0022745+0.0031765i,0.0045048-0.0012493i,0.0046475+0.015114i,0.0078072+0.0075015i,-6.1711e-05-0.005013i,0.0029565-0.0077481i,0.0051736+0.0027313i,-0.011106+0.00073633i,-0.0026681-0.00070892i,0.010207-0.038299i,0.01134+0.0064463i,0.0065734-0.00055676i,0.00080751+0.0026661i,-0.00028007-0.0029404i,0.023483-0.0028368i,0.0028646-0.00079241i,-0.0031996-0.0051116i,-0.0027075-0.0018661i,0.013639+0.0013862i,0.0048745+0.0009801i,0.00098053-0.0033463i,0.0066318+0.0075521i,-0.000725+0.0016993i,0.0090551-0.00094464i,-0.046627-0.019072i,-0.0002336-0.00058822i,-0.0008335-0.0039525i,-0.0049657+0.0049792i,-0.030932+0.023966i,-0.0033471+0.0081659i,-0.0058092+0.015356i
-0.036277+0.045066i,-0.012555+0.017512i,-0.0073774+0.033074i,-0.022427+0.019861i,0.0020018+0.019777i,0.0029554+0.0074107i,-0.022499+0.031669i,0.0083292+0.026363i,0.0097981+0.0091984i,-0.0059244-0.0028891i,0.0057093+0.003025i,0.0032831-0.0038109i,0.0035836-0.0032i,0.002086+0.0028123i,0.0010063+0.002079i,-0.0013489-0.0012959i,-0.0063492+0.0069578i,-0.0023329+0.00050711i,0.0033112-0.004489i,0.00066474-0.0014965i,-0.00080676-0.0045484i,0.0013605-0.0028948i,0.00018534-0.0025825i,-0.013006-0.0046085i,-0.00043558+0.00082335i,-0.0016233+0.0015077i,-0.0025799+0.00094205i,-0.00092283+0.0012655i,-0.0017172-0.0011046i,-0.0007619-0.00078104i,0.0013699+0.0031711i,0.00010236+0.00081795i,0.0010385-0.0007266i,-0.00045756+0.00086202i,-0.0018868+0.0042986i,-0.0023498-0.0072936i,-0.0019887+0.0015089i,-0.0011162-0.00088573i,0.0016222+0.0025363i,0.0025705-0.00074168i,-0.0011723-0.0015443i,-0.0019644-0.0017259i,-0.0032573+0.0014593i,0.0045535-0.0019484i,-0.014936+0.022171i,-0.024292-0.041714i,-0.038698+0.020645i,-0.012638-0.040488i,-0.053448-0.033604i,-0.027146-0.0077852i,-0.035886+0.039195i,-0.023914+0.016035i,-0.027898-0.013717i,-0.03213-0.016946i,-0.042633+0.0046941i,-0.0035231+0.0027917i,-0.012227+0.028922i,0.012366+0.0064705i,0.00321-0.00091698i,-0.017496-0.0049389i,-0.00071406+0.0050936i,-0.0065852+0.0067248i,0.010807+0.0019447i,0.0029432+0.0081607i,-0.0037176+0.0014103i,0.002628+0.0013273i,0.004274-0.0032454i,0.0075133+0.0085073i,0.0074112+0.0022063i,-0.0055332-0.0019181i,0.00016636-0.0059629i,0.0068497+0.0015452i,-0.0066401+0.009284i,-0.00060221+0.0012368i,-0.0031045-0.034648i,0.014498+0.0007537i,0.0054273-0.0028344i,0.00088911+0.0012084i,4.7582e-06-0.0010124i,0.017847-0.011242i,0.00075203+0.0011896i,-0.0052445-0.0026695i,-0.0033975+0.0022681i,0.01037-0.0028695i,0.0083356-0.0010879i,0.00092888-0.0033118i,0.010275+0.0038652i,0.0020678+0.0016745i,0.0075304-0.004012i,-0.051115-0.0092714i,-0.0083721-0.010026i,0.0013602-0.0070438i,-0.0038986+0.0035998i,-0.020605+0.028637i,-0.0035562+0.0032867i,-0.0019952+0.010724i
-0.027521+0.049239i,-0.010435+0.018691i,-0.0058064+0.028245i,-0.018329+0.022931i,0.0054855+0.016914i,0.0045329+0.005841i,-0.015598+0.035434i,0.012835+0.022374i,0.009103+0.0075279i,-0.0057118-0.00040246i,0.006707+0.00050933i,0.00098704-0.0013872i,0.0020958-0.0036157i,0.0019857+0.0027832i,0.0013967+0.0018394i,-0.0013959+0.0024496i,-0.0023827+0.010078i,-0.0018723+0.0006186i,0.0015579-0.005094i,-4.81e-05-0.0022437i,-0.0018564-0.003515i,0.00093727-0.0032848i,-0.00033574-0.0027074i,-0.014288-0.00010176i,-1.8971e-05+0.00014232i,-0.00059847+0.001278i,-0.0021153+0.00096491i,0.00014914+0.00064934i,-0.001857-0.00035311i,-0.0010782-0.00026401i,0.0022288+0.0021193i,0.00032861+0.00099213i,0.00025704-0.0009361i,-0.00032186+0.0009292i,0.00032112+0.0039403i,-0.0038437-0.0086903i,-0.0013332+0.0023933i,-0.0016944-0.00025847i,0.0012487-0.00013461i,0.0017164-0.0011646i,-0.0013278-0.0010588i,-0.0016801-0.001756i,-0.0026047+0.0023687i,0.0019577-0.0041951i,-0.012471+0.024027i,-0.037409-0.029317i,-0.029336+0.021441i,-0.023508-0.037509i,-0.061029-0.022439i,-0.022563-0.0058387i,-0.022396+0.038365i,-0.013942+0.012279i,-0.029048-0.010444i,-0.032839-0.01182i,-0.037114+0.014951i,-0.0032415+0.0030037i,-0.00027675+0.029016i,0.012714+0.0013286i,-0.0014913-0.0014092i,-0.021974+0.0054776i,-0.00051013+0.0067417i,-0.0029031+0.0063611i,0.0081776-0.0036485i,0.0059197+0.0072473i,-0.003196+0.0045962i,0.00070515+0.0015964i,0.0030615-0.0059101i,0.0060993+0.0024792i,0.0044581-0.00034391i,-0.0051887+0.0015781i,-0.0014481-0.0042962i,0.0069464-0.00072686i,0.0028887+0.010831i,0.00024664+0.00050424i,-0.01089-0.027891i,0.012497-0.0046586i,0.0040891-0.0042097i,0.0017635+0.0027909i,0.00024958-0.0010264i,0.011028-0.013822i,0.0034671+0.0025373i,-0.0057981+0.00037271i,-0.00080122+0.0043832i,0.0074701-0.0034051i,0.0078233-0.0066465i,-0.00062192-0.002833i,0.0094416-0.002741i,0.0024046-0.0010981i,0.0057943-0.007053i,-0.048795+0.0028372i,-0.018162-0.0099773i,-0.0014398-0.012706i,-0.0028876+0.0016595i,-0.012556+0.02868i,-0.0073352+0.0031213i,-0.002516+0.00932i
-0.018845+0.051768i,-0.0086114+0.019202i,-0.0064676+0.026122i,-0.013486+0.024609i,0.0074561+0.013575i,0.0049688+0.0040507i,-0.0077168+0.036753i,0.015657+0.017786i,0.0097251+0.0063695i,-0.0043014+0.0012223i,0.0057815-0.0013564i,0.0014649+0.00069483i,0.001001-0.0036067i,0.0031762+0.0030932i,0.0017639+0.0015267i,0.00050762+0.0047709i,0.0025442+0.0107i,-0.0016931+0.00083285i,0.00034944-0.0050408i,-0.0010404-0.0022396i,-0.0025373-0.0026272i,0.00014773-0.0035112i,-0.0011797-0.002563i,-0.012047+0.0044296i,-0.00083788-0.00082826i,-0.00046808+0.00064581i,-0.0016987+0.0011724i,0.0002311-0.00036564i,-0.0016762+0.00026373i,-0.00068973+0.00026719i,0.0024767+0.0010177i,0.00094918+0.00060065i,-0.0004004-0.00068772i,-0.00033042+0.0010057i,0.00093664+0.0031406i,-0.007114-0.0088645i,-0.00052053+0.0025668i,-0.0016477+0.00080837i,-0.00062475-0.00038622i,0.00086823-0.00084767i,-0.0013495-0.00072007i,-0.0021793-0.0015473i,-0.0015326+0.0028737i,-0.00074035-0.002948i,-0.0084587+0.026155i,-0.038309-0.013616i,-0.023109+0.019729i,-0.032588-0.031283i,-0.065808-0.0074733i,-0.019892-0.007819i,-0.011593+0.03439i,-0.0094873+0.0071766i,-0.028637-0.0083931i,-0.031985-0.0084543i,-0.030893+0.023217i,-0.002766+0.003134i,0.012182+0.024517i,0.011569-0.0029849i,-0.0047678+0.0012446i,-0.019524+0.014863i,0.00173+0.0079838i,-0.00050619+0.0071488i,0.0020228-0.0045327i,0.0083862+0.0052297i,-0.0012498+0.0064856i,0.00044374+0.0035556i,0.0010111-0.0072025i,0.0019756+0.0024728i,0.0017773+0.00047783i,-0.0048688+0.0041023i,-0.0024098-0.002174i,0.0060045-0.0030455i,0.0079545+0.0061329i,0.00032801+7.1451e-05i,-0.015443-0.024741i,0.0088289-0.0082641i,0.0021269-0.0051125i,0.0050376+0.0024763i,-0.0001287-0.00037295i,0.0065253-0.014087i,0.0058465+0.00042399i,-0.0039934+0.0036202i,0.0018783+0.0040607i,0.0069502-0.0039102i,0.0028837-0.010871i,-0.00069526-0.0019907i,0.0053115-0.0063899i,0.00035506-0.0021429i,0.0017975-0.0096388i,-0.041961+0.0087283i,-0.026647-0.0029002i,-0.0063267-0.014682i,-0.0032288-0.00070553i,-0.0069356+0.02781i,-0.010072+0.005871i,-0.0012216+0.00967i
-0.010134+0.052942i,-0.0067733+0.0204i,-0.0065427+0.027294i,-0.0087373+0.024752i,0.0078794+0.01032i,0.0051464+0.0027935i,0.00035329+0.035529i,0.017116+0.013281i,0.010734+0.0040803i,-0.0032953+0.0013956i,0.0040245-0.0022332i,0.0026511+0.0015493i,-0.00015727-0.0034423i,0.0044798+0.0018897i,0.0019284+0.0011021i,0.0031213+0.0054808i,0.0072836+0.0087941i,-0.0012467+0.0013142i,-0.0013577-0.0049162i,-0.001864-0.0018426i,-0.0026014-0.0014802i,-0.00057687-0.0035844i,-0.0017676-0.0019943i,-0.0099436+0.0061048i,-0.0019971-0.0002931i,-0.00079681+0.00050527i,-0.0013178+0.0014301i,-0.0001822-0.0011937i,-0.0012219+0.00066327i,-0.00040754+0.00016141i,0.0024102+0.00012335i,0.001035-0.00022363i,-0.00065597-0.00028038i,-0.00013797+0.0010157i,0.0013105+0.002744i,-0.0102-0.0070896i,6.9781e-05+0.0022982i,-0.0010051+0.0013539i,-0.0014588+0.00046008i,0.00054542-0.00021978i,-0.0012784-0.00019948i,-0.0024471-0.00068906i,-0.00058779+0.0027446i,-0.001642-0.00083316i,-0.0039902+0.027703i,-0.032694-0.0048456i,-0.019437+0.018194i,-0.038145-0.021297i,-0.063034+0.010816i,-0.023412-0.010265i,-0.0048691+0.028292i,-0.006992+0.0028622i,-0.027654-0.0054744i,-0.032811-0.005037i,-0.022669+0.028399i,-0.0031123+0.0035921i,0.01877+0.010809i,0.0093387-0.0070191i,-0.0056891+0.005369i,-0.012323+0.022264i,0.0044296+0.0067396i,0.0034715+0.0057527i,-0.00070028-0.0013669i,0.010376+0.0013732i,0.0014111+0.0077621i,0.0017066+0.0045915i,-0.0039964-0.0090734i,0.0012724+0.0053936i,0.0019298+0.0024507i,-0.0016995+0.0080677i,-0.0016345-0.00037909i,0.0043562-0.0039466i,0.0093175+0.0012199i,0.00087653-0.00059542i,-0.023538-0.022364i,0.0046373-0.0096039i,-0.00011766-0.0051388i,0.0052793-0.00031131i,6.5051e-05+0.00067461i,0.0037331-0.012948i,0.0054893-0.0024735i,-0.0010712+0.0048102i,0.0034994+0.002066i,0.0055653-0.0057434i,-0.003892-0.0099459i,-0.0010252-0.002257i,0.0015484-0.0058531i,-0.00013593-0.0024362i,-0.0031155-0.0089767i,-0.038301+0.012101i,-0.024373+0.01047i,-0.01126-0.014394i,-0.0049563-0.0015642i,-0.002717+0.027227i,-0.0091392+0.010622i,0.0024251+0.0082302i
-0.0014622+0.052589i,-0.0041003+0.021857i,-0.0045225+0.029651i,-0.0052591+0.023778i,0.0072401+0.008343i,0.005237+0.0015222i,0.0072418+0.032305i,0.01757+0.0093714i,0.011259+0.0019718i,-0.0029383+0.0018161i,0.0028266-0.0016209i,0.0047368+0.0017189i,-0.0012015-0.0029217i,0.0045963-0.00044264i,0.0019136+0.00074783i,0.0053591+0.0048041i,0.010191+0.0050223i,-0.00065159+0.0016277i,-0.0024669-0.0042274i,-0.0023867-0.00095513i,-0.0021547-0.00055278i,-0.0015386-0.0034326i,-0.0021046-0.0014187i,-0.0084891+0.0087592i,-0.0023576+0.0007167i,-0.0010378+0.00093542i,-0.00089023+0.0016264i,-0.0013762-0.0015574i,-0.00093163+0.00057391i,-0.00042321-1.8521e-05i,0.0021069-0.00064249i,0.0010418-0.00035855i,-0.00038313-0.00013525i,0.00013654+0.00095577i,0.0020176+0.0017693i,-0.012711-0.004445i,0.00075321+0.0021914i,-0.00050335+0.0013396i,-0.0015547+0.0011357i,0.00066468+8.5175e-05i,-0.0010316+0.00019789i,-0.0020818-0.00017i,3.1489e-05+0.0022647i,-0.0013159+0.00033106i,0.00165+0.027453i,-0.028644-0.0029193i,-0.016625+0.017675i,-0.038672-0.011778i,-0.05365+0.025704i,-0.026669-0.0074887i,-0.00048113+0.023523i,-0.0070737-0.00113i,-0.025891-0.0038082i,-0.032244+0.00026907i,-0.015017+0.031604i,-0.0019452+0.0038264i,0.013275-0.0016323i,0.0053188-0.010379i,-0.0039668+0.0086747i,-0.003615+0.023602i,0.0052497+0.0042131i,0.0048428+0.001922i,0.0003657+0.00049114i,0.009745-0.0019586i,0.0062738+0.0069715i,0.0033215+0.0057062i,-0.0084655-0.0034297i,0.0036921+0.0068606i,0.0035837+0.003275i,0.0028065+0.0082102i,-0.0011443+8.7216e-05i,0.0032084-0.0046776i,0.0089584-0.0047423i,-0.00086231-0.00092461i,-0.031808-0.013237i,0.0013525-0.0093562i,-0.0019776-0.0037709i,0.0055014-0.00051696i,0.00071438+0.00077935i,0.0023649-0.014414i,0.0040783-0.0046506i,0.0012245+0.0038419i,0.0035925+0.0010723i,0.0041394-0.0063227i,-0.0072798-0.0057662i,-0.0022266-0.0021643i,-0.00095392-0.0052093i,-0.0019332-0.0028675i,-0.0060651-0.0060914i,-0.033419+0.015676i,-0.018361+0.011257i,-0.012168-0.013047i,-0.0062397-0.0011301i,0.0023695+0.024869i,-0.0074189+0.012252i,0.0028147+0.0054636i
0.0065496+0.050943i,-0.00044021+0.023149i,-0.00041149+0.032222i,-0.0021594+0.023419i,0.0065242+0.0075381i,0.0049143+0.00051941i,0.01282+0.027958i,0.017707+0.0061713i,0.011525-0.00064927i,-0.0025148+0.002339i,0.0030276-0.0010991i,0.0066215-0.00055506i,-0.0019935-0.0019812i,0.0029184-0.0014399i,0.0019906+0.00058043i,0.0071571+0.0028796i,0.01097+0.0011014i,0.00011694+0.0013914i,-0.0034161-0.0033712i,-0.0022469+0.00025138i,-0.0015702-0.00013444i,-0.0023021-0.002493i,-0.0023385-0.0008531i,-0.0045671+0.010604i,-0.002134+0.0017425i,-0.00067808+0.0015396i,-0.00052911+0.0019406i,-0.0026269-0.00094434i,-0.00080782+0.00057712i,-0.00045348+2.1255e-06i,0.0014428-0.0012109i,0.0013598-0.0013418i,-0.00056624-0.00010034i,0.00021876+0.00082616i,0.0019873+0.00068892i,-0.014217-0.00024431i,0.0012811+0.0017545i,-0.0001695+0.001512i,-0.0016399+0.0015489i,0.0011003+0.00028228i,-0.00052274+0.00037772i,-0.0018382+0.00017349i,0.00018689+0.0017349i,-0.00070733+0.0012744i,0.0063123+0.025656i,-0.028753-0.0017192i,-0.014624+0.016821i,-0.038575-0.0033828i,-0.040679+0.033822i,-0.029659-0.0040367i,0.0035573+0.018105i,-0.0078293-0.0027592i,-0.02514-0.00283i,-0.029997+0.0060949i,-0.0065111+0.033378i,-0.00094909+0.0036864i,0.006133-0.003413i,0.00052302-0.011563i,-1.1561e-05+0.011729i,0.0041244+0.020963i,0.0048+0.0019706i,0.0038073-0.0016288i,0.00024669+0.0010763i,0.0079069-0.005514i,0.0096605+0.0035091i,0.0057978+0.0054218i,-0.0080683+0.00081074i,0.0064689+0.0071879i,0.0054665+0.0031507i,0.0075817+0.006241i,-0.00060624+0.00072659i,0.0026652-0.0053961i,0.005036-0.0082579i,-0.0010387+0.0012512i,-0.035341-0.00060246i,-0.00097649-0.0087014i,-0.0027064-0.0018857i,0.0061366-0.0016893i,0.00099129+0.00041628i,-0.0014068-0.016794i,0.0017602-0.0056485i,0.0028217+0.0032337i,0.0039655-9.1741e-05i,0.0038776-0.0070455i,-0.0090091-0.0026286i,-0.003467-0.00047448i,-0.0033653-0.0038577i,-0.0032012-0.0023029i,-0.0070497-0.0031741i,-0.028993+0.017472i,-0.017014+0.011889i,-0.013396-0.013653i,-0.0072511+6.2042e-05i,0.0044318+0.023177i,-0.0063302+0.012991i,0.0030135+0.0040179i
0.01445+0.048317i,0.0045035+0.02338i,0.0059972+0.033223i,0.0010453+0.022822i,0.0068539+0.0077045i,0.0047164-2.9871e-05i,0.016791+0.022459i,0.017757+0.0030302i,0.01091-0.0035218i,-0.0021741+0.002861i,0.0033099-0.0017742i,0.0058737-0.0038557i,-0.0023049-0.00091983i,0.0021696-0.0014816i,0.0021536+0.00029886i,0.0073965+0.00030191i,0.010065-0.0025932i,5.9112e-05+0.00092957i,-0.004408-0.0020633i,-0.0014489+0.00086478i,-0.00083411-0.00025683i,-0.002362-0.0016698i,-0.0023747-0.00015518i,-0.00052822+0.010314i,-0.0013897+0.0024003i,-3.7918e-05+0.0017108i,0.00024587+0.0019436i,-0.0031081+0.00036207i,-0.00062773+0.00046869i,-0.00048145+3.5174e-05i,0.00074072-0.0014249i,0.00026326-0.0021297i,-0.00070634+0.00018493i,0.00026962+0.00073896i,0.0015356+5.8467e-05i,-0.013448+0.0044401i,0.0014259+0.001158i,0.00046562+0.0014695i,-0.0012837+0.0019642i,0.0015087+0.00010489i,-0.00024285+0.00018908i,-0.0013414+0.00041644i,0.00017294+0.0014753i,0.00014388+0.0016911i,0.0098116+0.023836i,-0.030989+0.0026513i,-0.013105+0.016133i,-0.033924+0.0050891i,-0.028262+0.038129i,-0.031696+0.0032018i,0.006061+0.011464i,-0.005973-0.0050488i,-0.024262-0.00043653i,-0.025684+0.011673i,0.0018434+0.033077i,-0.00054318+0.0028475i,0.002201-0.0035191i,-0.0047198-0.01126i,0.0061076+0.011197i,0.0081442+0.016007i,0.0027904+0.00046363i,0.0022828-0.0042486i,0.0015038+0.003796i,0.0039668-0.0075374i,0.010664-0.0022343i,0.008044+0.0035296i,-0.0073082+0.0045242i,0.010697+0.0061838i,0.0078247+0.0008721i,0.010109+0.0012268i,0.00029063+0.0011592i,0.0012274-0.0060823i,-0.0005294-0.0087506i,0.00094027+0.0027849i,-0.033915+0.012957i,-0.0029066-0.0079266i,-0.0023539-4.0348e-05i,0.0060195-0.0057866i,0.0013105+0.00073155i,-0.0080459-0.016434i,-0.00064723-0.0051158i,0.0040676+0.0016119i,0.0037784-0.00066671i,0.0022997-0.0083844i,-0.009538+0.0028989i,-0.0030515+0.0017838i,-0.0048838-0.0017688i,-0.0046029-0.0018534i,-0.0067106-0.00072057i,-0.026698+0.01908i,-0.016011+0.016583i,-0.016345-0.015828i,-0.0055299+0.0016376i,0.0081001+0.0222i,-0.005784+0.014939i,0.0039944+0.0012669i
0.02165+0.044326i,0.0094349+0.021779i,0.012731+0.031124i,0.00422+0.021782i,0.0080454+0.0075624i,0.0049128-0.00052916i,0.018838+0.016982i,0.017359-0.00010771i,0.0097601-0.0058071i,-0.0017517+0.0037542i,0.0028788-0.0023614i,0.0032209-0.0054713i,-0.0023611-4.8312e-05i,0.0013976-0.0014058i,0.002201-5.6556e-05i,0.0062073-0.0016884i,0.0077904-0.0051853i,7.633e-05+0.00090901i,-0.0044127-0.00041501i,-0.00071427+0.00091213i,-0.00026983-0.00073594i,-0.0023338-0.0013131i,-0.0020699+0.00044917i,0.0024054+0.0091328i,-0.00054328+0.0025209i,0.00048102+0.0016888i,0.00086308+0.0014087i,-0.0027435+0.0017165i,-0.00067903+0.00021248i,-0.00073686+0.00010472i,8.5799e-05-0.0013277i,-0.0010142-0.0019841i,-0.0005094+0.00049039i,0.00047743+0.00066534i,0.0010551-0.0003621i,-0.010888+0.0079727i,0.0014868+0.00060414i,0.00082744+0.00097052i,-0.0005316+0.0025712i,0.001657-0.000556i,-0.00015624+2.4536e-05i,-0.00091237+0.00014902i,0.0001185+0.0013667i,0.001046+0.0016689i,0.01346+0.022309i,-0.029953+0.010273i,-0.012927+0.015722i,-0.02792+0.0088641i,-0.015796+0.039583i,-0.029274+0.012271i,0.0050768+0.0046404i,-0.0063454-0.010427i,-0.02122+0.0015275i,-0.018306+0.016287i,0.011131+0.029198i,-0.00074347+0.0025916i,-0.0019754-0.0023679i,-0.0091843-0.0082704i,0.010274+0.0069066i,0.010003+0.012615i,-0.0003751+0.0011604i,-0.00029473-0.0069738i,0.0054734+0.0028202i,-0.00011798-0.0071238i,0.0076737-0.0062635i,0.0093718+0.00027538i,-0.0058407+0.0071978i,0.013975+0.00071676i,0.0079952-0.0038216i,0.0094233-0.0042637i,0.0015606+0.0010339i,-0.0006296-0.0062918i,-0.0042879-0.0052732i,0.0031968+0.0015318i,-0.025852+0.026946i,-0.0046444-0.006628i,-0.0010683+0.0010159i,0.0017963-0.0074937i,0.0023112+0.00046137i,-0.014311-0.01228i,-0.0016924-0.0033622i,0.0041631-0.00063968i,0.0034169-0.0015163i,-0.00036449-0.0083655i,-0.0058768+0.0073838i,-0.0014855+0.003156i,-0.0054894+0.0019594i,-0.0065686-0.0007175i,-0.0060147+0.00043952i,-0.022602+0.023679i,-0.0075635+0.02061i,-0.022504-0.015303i,-0.0031708+0.00029225i,0.010583+0.019687i,-0.0033967+0.017797i,0.0028769-0.0024265i
